word	Turkish-tr	emotion	emotion-intensity-score
dumbbitch	NO TRANSLATION	anger	0.841
detest	nefret etmek	anger	0.838
hostilities	düşmanlıkların	anger	0.837
prick	dikmek	anger	0.835
torture	işkence	anger	0.833
rabid	kuduz	anger	0.833
horrid	korkunç	anger	0.833
rampage	tantana	anger	0.833
cruelty	acımasızlık	anger	0.833
hate	nefret	anger	0.828
demonic	şeytani	anger	0.828
hating	nefret	anger	0.828
satanic	şeytani	anger	0.828
tyrannical	zalim	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	adi	anger	0.828
ruinous	yıkıcı	anger	0.825
condemn	kınamak	anger	0.825
riots	ayaklanmalar	anger	0.824
demolish	yıkmak	anger	0.824
angry	kızgın	anger	0.824
extermination	imha	anger	0.824
dickhead	çük kafalı	anger	0.824
livid	mosmor	anger	0.821
madman	deli	anger	0.820
vindictive	kindar	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	vahşilik	anger	0.818
venomous	zehirli	anger	0.818
threaten	tehdit etmek	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terörist	anger	0.818
abhor	iğrenmek	anger	0.816
savage	vahşi	anger	0.814
atrocity	gaddarlık	anger	0.814
carnage	katliam	anger	0.814
berserk	çılgın	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	taciz	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	kızgın	anger	0.812
vendetta	kan davası	anger	0.812
fierce	sert	anger	0.812
destroyer	yok edici	anger	0.812
pissesmeoff	beni kızdırıyor	anger	0.812
fuming	dumanlı	anger	0.812
barbaric	barbar	anger	0.812
anger	öfke	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	çarpmak	anger	0.803
fights	kavgalar	anger	0.803
punched	delikli	anger	0.803
bitch	orospu	anger	0.803
punching	boks	anger	0.803
homicide	cinayet	anger	0.803
destructive	yıkıcı	anger	0.797
ruthless	acımasız	anger	0.797
villainous	iğrenç	anger	0.797
slap	tokat	anger	0.791
slaughterhouse	kesimhane	anger	0.788
punishing	cezalandırıyor	anger	0.788
destroyed	yerlebir edilmiş	anger	0.788
retaliatory	misilleme	anger	0.788
riot	isyan	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	seslenme	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	şeytani	anger	0.788
manslaughter	adam öldürme	anger	0.783
clash	çatışma	anger	0.783
bloody	kanlı	anger	0.781
hellish	cehennemi	anger	0.781
loath	gönülsüz	anger	0.781
detonation	patlama	anger	0.781
quarrel	kavga	anger	0.781
sinister	uğursuz	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	itham	anger	0.779
treacherous	hain	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	misilleme yapmak	anger	0.773
revulsion	uzaklaştırılma	anger	0.773
madder	kızılkök	anger	0.773
horrific	korkunç	anger	0.773
scorn	aşağılamak	anger	0.769
deplorable	içler acısı	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarşist	anger	0.765
devastation	tahribat	anger	0.765
resent	Yeniden gönderilen	anger	0.765
firestorm	yangının neden olduğu fırtına	anger	0.765
contemptible	aşağılık	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	acımasız	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ölümcül	anger	0.758
smash	parçalamak	anger	0.758
rant	farfaralık	anger	0.758
outburst	patlama	anger	0.757
snarl	söylenmek	anger	0.754
profane	dinle ilgisi olmayan	anger	0.750
offend	gücendirmek	anger	0.750
douchebags	douchebags	anger	0.750
growling	hırıltı	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kabalık	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	çılgın	anger	0.750
despise	küçümsemek	anger	0.750
horror	korku	anger	0.750
aggravating	ağırlaştırıcı	anger	0.750
revolting	iğrenç	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	tehdit	anger	0.742
erupt	patlamak	anger	0.742
screaming	bağıran	anger	0.742
violence	şiddet	anger	0.742
horrible	korkunç	anger	0.742
molestation	sarkıntılık	anger	0.742
bastards	piçler	anger	0.741
revenge	intikam	anger	0.738
catastrophe	afet	anger	0.735
menacing	tehditkar	anger	0.735
demon	iblis	anger	0.735
crushing	ezme	anger	0.735
damn	Lanet olsun	anger	0.735
persecute	acı çektirmek	anger	0.734
argue	tartışmak	anger	0.734
flog	kamçılamak	anger	0.734
revolt	isyan	anger	0.734
thrash	kıvranmak	anger	0.734
deplore	beğenmemek	anger	0.734
warfare	savaş	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	şiddetli	anger	0.734
riotous	sefih	anger	0.734
altercation	tartışma	anger	0.729
warlike	savaşçı	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	isyan	anger	0.727
castrate	hadım etmek	anger	0.727
sabotage	sabotaj	anger	0.727
malevolent	kötü niyetli	anger	0.721
strike	vuruş	anger	0.721
disaster	afet	anger	0.721
disastrous	feci	anger	0.720
tumult	hengâme	anger	0.719
madden	delirtmek	anger	0.719
devil	şeytan	anger	0.719
scream	çığlık	anger	0.719
brutal	acımasız	anger	0.719
treachery	hıyanet	anger	0.719
scorching	kavurucu	anger	0.719
vermin	haşarat	anger	0.719
arseholes	Arseholes	anger	0.719
horseshit	saçmalık	anger	0.719
aggravates	ağırlaştırmaktadır	anger	0.719
spiteful	kindar	anger	0.719
slay	öldürmek	anger	0.719
disdain	küçümseme	anger	0.719
choke	boğma	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarşizm	anger	0.714
mutilation	sakatlama	anger	0.714
criminal	adli	anger	0.714
denunciation	ihbar	anger	0.713
punch	yumruk	anger	0.713
crucifixion	çarmıha germe	anger	0.712
virulence	öldürücülük	anger	0.712
battled	mücadele	anger	0.712
fatal	ölümcül	anger	0.712
holocaust	soykırım	anger	0.712
blasphemous	kâfir	anger	0.712
hurting	zarar	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	dengesiz	anger	0.706
atrocious	gaddarca	anger	0.706
evil	kötülük	anger	0.706
irritated	tedirgin	anger	0.706
assassin	katil	anger	0.703
dicks	yarak	anger	0.703
persecution	zulüm	anger	0.703
slayer	katil	anger	0.703
kidnap	kaçırmak	anger	0.703
scolding	azarlama	anger	0.703
intimidation	gözdağı	anger	0.703
aggravated	ağırlaştırılmış	anger	0.703
aggression	saldırganlık	anger	0.702
armed	silâhlı	anger	0.700
poison	zehir	anger	0.697
snarling	hırlama	anger	0.697
venom	zehir	anger	0.697
battle	savaş	anger	0.697
disgruntled	hoşnutsuz	anger	0.693
insidious	sinsi	anger	0.691
assailant	saldırgan	anger	0.691
resentment	kin	anger	0.691
lynch	linç	anger	0.690
contemptuous	aşağılayıcı	anger	0.690
temper	öfke	anger	0.688
imprisonment	hapis cezası	anger	0.688
disparage	kötülemek	anger	0.688
bully	zorba	anger	0.688
terrible	korkunç	anger	0.688
lunatic	çılgın	anger	0.688
curse	lanet	anger	0.688
makesmemad	beni delirtiyor	anger	0.688
peeved	sinirli	anger	0.688
domination	egemenlik	anger	0.688
mad	deli	anger	0.688
infanticide	bebek öldürme	anger	0.688
volatility	uçuculuk	anger	0.687
eradication	yok etme	anger	0.685
tantrum	aksilik	anger	0.682
devastate	mahvetmek	anger	0.682
eradicate	kökünü kurutmak	anger	0.682
scoundrel	alçak	anger	0.682
aggressively	agresif	anger	0.680
agitation	çalkalama	anger	0.680
dictatorship	diktatörlük	anger	0.676
irritates	Gözle	anger	0.676
profanity	küfür	anger	0.673
egregious	yaman	anger	0.672
expletive	küfür	anger	0.672
nasty	pis	anger	0.672
shove	kıpırdamak	anger	0.672
shot	atış	anger	0.672
harmful	zararlı	anger	0.672
aggravation	kızdırma	anger	0.672
contempt	aşağılama	anger	0.672
poisonous	zehirli	anger	0.672
dastardly	alçak	anger	0.672
shoot	ateş etme	anger	0.672
corrupting	ayartıcı	anger	0.672
condemnation	kınama	anger	0.672
wreak	çıkarmak	anger	0.672
crushed	ezilmiş	anger	0.672
cruelly	zalimce	anger	0.672
crime	suç	anger	0.672
maniac	manyak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	püskürme	anger	0.667
odious	iğrenç	anger	0.667
shooting	çekim	anger	0.667
kick	tekme	anger	0.667
aggressive	agresif	anger	0.667
combat	savaş	anger	0.667
shout	bağırmak	anger	0.667
hit	vurmak	anger	0.667
fight	kavga	anger	0.667
cutthroat	kıyasıya	anger	0.667
enemy	düşman	anger	0.667
irritable	asabi	anger	0.667
punished	cezalandırılmış	anger	0.662
ambush	pusu	anger	0.661
yell	bağırma	anger	0.661
harass	bezdirmek	anger	0.659
malignant	habis	anger	0.656
aggressor	saldırgan	anger	0.656
antichrist	Deccal	anger	0.656
gore	peş	anger	0.656
incense	tütsü	anger	0.656
expel	kovmak	anger	0.656
destruction	imha	anger	0.656
grudge	kin	anger	0.656
cranky	huysuz	anger	0.653
offended	kırgın	anger	0.652
spank	şaplak	anger	0.652
growl	Büyün	anger	0.652
insurrection	ayaklanma	anger	0.652
reprisal	misilleme	anger	0.652
slave	köle	anger	0.652
denounce	kınamak	anger	0.652
animosity	düşmanlık	anger	0.652
insulting	aşağılayıcı	anger	0.652
clashing	çatışan	anger	0.652
growls	growls	anger	0.649
executioner	cellat	anger	0.644
twat	dallama	anger	0.644
doomsday	kiyamet gunu	anger	0.643
daemon	şeytan	anger	0.641
obscenity	müstehcenlik	anger	0.641
bombard	bombalamak	anger	0.641
spat	atışma	anger	0.641
havoc	tahribat	anger	0.641
feud	kavga	anger	0.641
grr	grr	anger	0.641
arson	kundakçılık	anger	0.641
reprimand	azarlama	anger	0.641
expulsion	kovma	anger	0.641
inexcusable	affedilmez	anger	0.641
accused	sanık	anger	0.641
indignant	öfkeli	anger	0.641
shackle	kelepçe	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	yara	anger	0.636
suicidal	intihar niteliğinde	anger	0.636
poisoned	zehirlenmiş	anger	0.636
batter	sulu hamur	anger	0.636
kicking	tekme	anger	0.636
hanging	asılı	anger	0.636
spanking	şaplak	anger	0.636
disgusting	iğrenç	anger	0.636
combatant	savaşçı	anger	0.636
frustrated	hayal kırıklığına uğramış	anger	0.636
anarchy	anarşi	anger	0.636
glaring	göze batan	anger	0.636
inflict	vermek	anger	0.633
wrecked	kaza yapmış	anger	0.633
grievous	ağır	anger	0.632
prosecute	dava açmak	anger	0.630
agitated	tedirgin	anger	0.630
cheat	hile	anger	0.630
swastika	gamalı haç	anger	0.627
defamatory	lekeleyen	anger	0.625
suffocation	boğulma	anger	0.625
strife	kavga	anger	0.625
provocation	provokasyon	anger	0.625
injure	yaralamak	anger	0.625
harassing	taciz	anger	0.625
scourge	kırbaç	anger	0.625
cursing	lanet okuma	anger	0.625
betray	açığa vurmak	anger	0.625
indict	suçlamak	anger	0.625
raid	baskın	anger	0.625
thundering	gürleme	anger	0.625
enslaved	köle	anger	0.625
arsehole	göt deliği	anger	0.624
insane	deli	anger	0.621
fiend	şeytan	anger	0.621
irritate	kızdırmak	anger	0.621
convict	hükümlü	anger	0.621
jerk	pislik	anger	0.621
theft	Çalınması	anger	0.621
retaliation	misilleme	anger	0.621
deprivation	yoksunluk	anger	0.621
cussed	inatçı	anger	0.619
turmoil	telaş	anger	0.618
smack	şaplak	anger	0.615
retribution	ceza	anger	0.614
twats	twats	anger	0.609
intolerable	dayanılmaz	anger	0.609
rebellion	isyan	anger	0.609
injurious	zararlı	anger	0.609
oppressor	zalim	anger	0.609
slavery	kölelik	anger	0.609
irritability	sinirlilik	anger	0.609
collision	çarpışma	anger	0.609
bitterly	acı	anger	0.609
gang	çete	anger	0.609
antagonism	düşmanlık	anger	0.609
battery	pil	anger	0.609
adverse	ters	anger	0.609
disgraced	rezil	anger	0.608
irritating	rahatsız edici	anger	0.606
revolution	devrim	anger	0.606
thug	haydut	anger	0.606
diatribe	hiciv	anger	0.606
bombardment	bombardıman	anger	0.606
blast	üfleme	anger	0.606
irks	rahatsız ediyor	anger	0.606
sickening	mide bulandırıcı	anger	0.606
discrimination	ayırt etme	anger	0.606
antagonistic	muhalif	anger	0.606
ranting	ranting	anger	0.606
asshole	Pislik	anger	0.606
frustrate	boşa çıkarmak	anger	0.604
manipulation	hile	anger	0.603
tension	gerginlik	anger	0.603
insult	hakaret	anger	0.603
bigot	yobaz	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	yaralayıcı	anger	0.603
oppression	Baskı	anger	0.603
disgust	iğrenme	anger	0.602
spite	nispet	anger	0.600
intrusive	davetsiz	anger	0.598
harshness	sertlik	anger	0.597
slur	ağzında yuvarlamak	anger	0.596
wretch	sefil	anger	0.594
inferno	cehennem	anger	0.594
invasion	istila	anger	0.594
puncture	delinme	anger	0.594
miserable	sefil	anger	0.594
assail	saldırmak	anger	0.594
storming	fırtınası	anger	0.594
casualty	kaza	anger	0.594
bitterness	acılık	anger	0.594
morbidity	morbidite	anger	0.594
tempest	fırtına	anger	0.594
consternation	şaşkınlık	anger	0.592
depraved	ahlaksız	anger	0.591
raving	çılgın	anger	0.591
guillotine	giyotin	anger	0.591
guilty	suçlu	anger	0.591
immoral	ahlaksız	anger	0.591
forcibly	zorla	anger	0.591
overpowering	baskın	anger	0.591
accursed	lanetli	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	inatçı	anger	0.588
invader	istilâcı	anger	0.588
scare	korkutmak	anger	0.588
screwed	berbat	anger	0.588
indignation	öfke	anger	0.587
jealousy	kıskançlık	anger	0.587
vexed	kızgın	anger	0.586
confront	karşısına çıkmak	anger	0.582
brute	canavar	anger	0.581
throttle	boğaz	anger	0.579
wreck	enkaz	anger	0.578
revolver	revolver	anger	0.578
slut	sürtük	anger	0.578
yousuck	iğrençsin	anger	0.578
damage	hasar	anger	0.578
butcher	Kasap	anger	0.578
conflict	fikir ayrılığı	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	suç	anger	0.578
bickering	çekişme	anger	0.578
pillage	talan	anger	0.578
blaze	yangın	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	darbe	anger	0.578
contentious	çekişmeli	anger	0.578
incarceration	hapsetme	anger	0.578
defiant	meydan okuyan	anger	0.578
provoking	uyandıran	anger	0.578
lash	kirpik	anger	0.578
cancer	kanser	anger	0.577
frustration	hüsran	anger	0.576
gory	kanlı	anger	0.576
alienation	yabancılaştırma	anger	0.576
discord	anlaşmazlık	anger	0.576
disturbance	rahatsızlık	anger	0.576
grope	okşamak	anger	0.576
condescension	tenezzül	anger	0.576
pernicious	zararlı	anger	0.576
blasphemy	küfür	anger	0.576
discriminate	fark gözetmek	anger	0.576
chaotic	karmakarışık	anger	0.576
gun	tabanca	anger	0.576
standoff	soğukluk	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	alay	anger	0.574
lunacy	çılgınlık	anger	0.574
oppressive	baskıcı	anger	0.574
death	ölüm	anger	0.574
jab	aşı	anger	0.574
cursed	lanetli	anger	0.574
scandalous	kepaze	anger	0.574
monstrosity	canavarlık	anger	0.574
shit	bok	anger	0.573
disparaging	kötüleyici	anger	0.571
slash	yırtmaç	anger	0.571
unfair	haksız	anger	0.571
gallows	darağacı	anger	0.570
escalate	kızıştırmak	anger	0.569
intolerant	hoşgörüsüz	anger	0.564
lawlessness	kanunsuzluk	anger	0.563
bluddy	bluddy	anger	0.562
perdition	cehennem azabı	anger	0.562
taunt	alay	anger	0.562
grouchy	mızmız	anger	0.562
torpedo	torpido	anger	0.562
deceived	aldatılmış	anger	0.562
slander	iftira	anger	0.562
retards	gerzeklerle	anger	0.562
bearish	kaba	anger	0.562
invade	saldırmak	anger	0.562
bellows	körük	anger	0.562
beast	canavar	anger	0.562
frightful	korkunç	anger	0.562
derogatory	küçültücü	anger	0.562
glare	parıltı	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	korkunç	anger	0.562
traitor	hain	anger	0.562
malign	habis	anger	0.562
wrangling	çekişmeler	anger	0.562
dissension	anlaşmazlık	anger	0.561
banshee	ölüm perisi	anger	0.561
shatter	kırmak	anger	0.561
conflagration	yangın felâketi	anger	0.561
jeopardize	tehlikeye atmak	anger	0.561
thief	hırsız	anger	0.561
rave	rave	anger	0.561
grating	ızgara	anger	0.561
devastating	yıkıcı	anger	0.561
idiots	salaklar	anger	0.561
betrayal	ihanet	anger	0.561
uncontrollable	kontrol edilemez	anger	0.561
fits	nöbetleri	anger	0.561
cross	çapraz	anger	0.561
hurt	canını yakmak	anger	0.561
disturbed	rahatsız	anger	0.559
subjugation	boyun eğdirme	anger	0.559
stomped	stomped	anger	0.557
grab	kapmak	anger	0.557
ticked	işaretli	anger	0.556
masochism	mazoşizm	anger	0.556
grievance	şikâyet	anger	0.556
defiance	nispet	anger	0.552
blackmail	şantaj	anger	0.550
offensive	saldırgan	anger	0.549
decry	kınamak	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ihlal	anger	0.547
punishment	ceza	anger	0.547
shrill	tiz	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	karanlık taraf	anger	0.547
misery	sefalet	anger	0.547
frustrates	boşa çıkarıyor	anger	0.547
disgraceful	ayıp	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	zorba	anger	0.547
disparity	eşitsizlik	anger	0.547
confine	hapsetmek	anger	0.547
firearms	ateşli silahlar	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	mantıksız	anger	0.547
rebel	asi	anger	0.547
deceive	aldatmak	anger	0.547
stolen	çalıntı	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	otuzbirci	anger	0.545
heated	ısıtılmış	anger	0.545
ruined	harap	anger	0.545
menace	tehdit	anger	0.545
humiliate	aşağılamak	anger	0.545
tackle	ele almak	anger	0.545
conspirator	komplocu	anger	0.545
foul	faul	anger	0.545
antagonist	rakip	anger	0.545
resentful	içerlemiş	anger	0.545
prejudice	önyargı	anger	0.545
adversary	hasım	anger	0.545
argument	tartışma	anger	0.545
skirmish	çatışma	anger	0.545
callous	duygusuz	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	dolaşık	anger	0.544
robbery	soygun	anger	0.544
sting	acı	anger	0.544
outcry	haykırış	anger	0.544
grumble	homurdanma	anger	0.544
irreconcilable	uzlaşmaz	anger	0.543
resistance	direnç	anger	0.543
obstructive	obstrüktif	anger	0.542
dismay	dehşet	anger	0.540
mob	çete	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	kötülük	anger	0.536
ridicule	alay	anger	0.534
incendiary	tahrik edici	anger	0.533
flares	fişekleri	anger	0.532
degeneracy	yozlaşma	anger	0.531
confinement	kapatılma	anger	0.531
exacerbation	azdırma	anger	0.531
prejudicial	önyargılı	anger	0.531
uprising	ayaklanma	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	pervasız	anger	0.531
unbridled	dizginsiz	anger	0.531
allegation	iddia	anger	0.531
communism	komünizm	anger	0.531
whip	kırbaç	anger	0.531
intruder	davetsiz misafir	anger	0.531
dispute	ihtilaf	anger	0.531
belittle	küçümsemek	anger	0.531
bigoted	bağnaz	anger	0.530
offender	suçlu	anger	0.530
hassle	güçlük	anger	0.530
dissonance	uyumsuzluk	anger	0.530
unjust	haksız	anger	0.530
dictatorial	diktatörce	anger	0.530
unjustifiable	yersiz	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	sapıklık	anger	0.530
tackled	ele	anger	0.530
renegade	dönek	anger	0.529
hot	Sıcak	anger	0.529
prison	hapis	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	tecâvüz	anger	0.529
suicide	intihar	anger	0.521
annoy	kızdırmak	anger	0.520
leavemealone	beni yalnız bırak	anger	0.517
idiotic	aptalca	anger	0.516
distrust	güvensizlik	anger	0.516
depravity	ahlaksızlık	anger	0.516
cretins	kretinler	anger	0.516
divorce	boşanma	anger	0.516
broil	kavrulmak	anger	0.516
grrr	grrr	anger	0.516
venting	havalandırma	anger	0.516
inimical	zararlı	anger	0.516
duress	zorlama	anger	0.516
disrespectful	saygısız	anger	0.516
tortious	haksız	anger	0.516
criticize	eleştirmek	anger	0.516
prisoner	tutsak	anger	0.516
dishonest	sahtekâr	anger	0.516
treason	vatan hainliği	anger	0.516
victimized	mağdur	anger	0.515
bile	safra	anger	0.515
unkind	kırıcı	anger	0.515
unforgiving	affetmez	anger	0.515
unleash	salmak	anger	0.515
coercion	zorlama	anger	0.515
scold	azarlamak	anger	0.515
chaos	kaos	anger	0.515
grump	söylenen kimse	anger	0.515
roar	kükreme	anger	0.515
jerks	gerizekalı	anger	0.515
poaching	kaçak avcılık	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	pişiriciler	anger	0.515
argumentation	tartışma	anger	0.515
frustrating	sinir bozucu	anger	0.515
tussle	mücâdele	anger	0.514
bane	yıkım	anger	0.511
accusation	suçlama	anger	0.510
repudiation	boşama	anger	0.510
enmity	düşmanlık	anger	0.510
banish	kovmak	anger	0.509
disfigured	biçimsiz	anger	0.508
storm	fırtına	anger	0.507
shun	sakınmak	anger	0.500
suppression	Bastırma	anger	0.500
unruly	asi	anger	0.500
intractable	inatçı	anger	0.500
ordeal	çile	anger	0.500
obstruct	engellemek	anger	0.500
derogation	eksiltme	anger	0.500
fervor	şevk	anger	0.500
foaming	köpürme	anger	0.500
derision	alay	anger	0.500
animus	düşmanlık	anger	0.500
rejects	reddeder	anger	0.500
bout	müddet	anger	0.500
spear	mızrak	anger	0.500
crazy	çılgın	anger	0.500
brazen	pirinç	anger	0.500
antithesis	antitez	anger	0.500
injustice	adaletsizlik	anger	0.500
banished	sürgün	anger	0.500
confined	hapsedilmiş	anger	0.500
frenzied	çılgın	anger	0.500
dominate	hükmetmek	anger	0.500
disrupting	bozan	anger	0.500
hammering	dövme	anger	0.500
fear	korku	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ızdırap	anger	0.500
brunt	darbe	anger	0.500
possessed	deli	anger	0.500
defy	karşı gelmek	anger	0.500
scoff	alay	anger	0.500
patronising	tepeden	anger	0.500
delusional	sanrısal	anger	0.500
malpractice	yanlış tedavi	anger	0.500
reject	reddetmek	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	dayanıklılık	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	delilik	anger	0.491
sinful	günahkâr	anger	0.491
avarice	açgözlülük	anger	0.490
oppress	ezmek	anger	0.490
disapproved	onaylanmadı	anger	0.485
inhuman	insanlık dışı	anger	0.485
demand	talep	anger	0.485
abolish	ortadan kaldırmak	anger	0.485
anathema	aforoz	anger	0.485
fricking	fricking	anger	0.485
complaint	şikâyet	anger	0.485
disservice	kötülük	anger	0.485
smuggler	kaçakçı	anger	0.485
revoke	geri almak	anger	0.485
infraction	ihlal	anger	0.485
claw	pençe	anger	0.485
dissident	muhalif	anger	0.485
pervert	sapık	anger	0.485
incest	ensest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	itaatsiz	anger	0.485
usurp	gaspetmek	anger	0.485
alienate	yabancılaştırmak	anger	0.485
avenger	intikamcı	anger	0.485
annoyed	kızgın	anger	0.485
cutting	kesim	anger	0.485
disgrace	rezalet	anger	0.484
deceit	aldatma	anger	0.484
suspicious	şüpheli	anger	0.484
thresh	harman dövmek	anger	0.484
sucker	enayi	anger	0.484
strained	gergin	anger	0.484
blame	suçlama	anger	0.484
upheaval	karışıklık	anger	0.484
renounce	vazgeçmek	anger	0.484
obnoxious	iğrenç	anger	0.484
restrain	dizginlemek	anger	0.484
oust	yerinden etmek	anger	0.484
litigious	kavgalı	anger	0.484
rivalry	rekabet	anger	0.484
penalty	ceza	anger	0.484
imprisoned	hapsedilmiş	anger	0.484
mocking	alaycı	anger	0.484
opposed	karşıt	anger	0.484
turbulence	türbülans	anger	0.483
pound	pound	anger	0.481
coldness	soğukluk	anger	0.477
ungrateful	nankör	anger	0.472
battalion	tabur	anger	0.471
stoopid	stoopid	anger	0.471
hostage	rehin	anger	0.470
infidel	kâfir	anger	0.470
ram	Veri deposu	anger	0.470
accuser	suçlayan kimse	anger	0.470
gall	safra	anger	0.470
subversion	yıkılma	anger	0.470
annoying	Can sıkıcı	anger	0.470
adversity	sıkıntı	anger	0.470
dispossessed	mülksüzleştirilmiş	anger	0.470
friction	sürtünme	anger	0.470
jealous	kıskanç	anger	0.470
feudalism	feodalite	anger	0.470
armament	silâhlanma	anger	0.470
thump	yumruk	anger	0.469
