word	Hmong-hmn	emotion	emotion-intensity-score
horrible	phev heev	anger	0.742
molestation	molestation	anger	0.742
bastards	puav	anger	0.741
revenge	kua zaub ntsuab	anger	0.738
catastrophe	kev teeb meem	anger	0.735
menacing	menacing	anger	0.735
demon	dab	anger	0.735
crushing	crushing	anger	0.735
damn	hmoov phem	anger	0.735
persecute	tsim txom	anger	0.734
argue	sib cav	anger	0.734
flog	flog	anger	0.734
revolt	kev tawm tsam	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	tsovrog	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ua tsaug	anger	0.734
riotous	riotous	anger	0.734
altercation	kev hloov altercation	anger	0.729
warlike	tsov rog	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sab sab	anger	0.727
malevolent	malevolent	anger	0.721
strike	tawm tsam	anger	0.721
disaster	kev phem	anger	0.721
disastrous	disastrous	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	dab ntxwg nyoog	anger	0.719
scream	quaj qw	anger	0.719
brutal	brutal	anger	0.719
treachery	treachery	anger	0.719
scorching	scorching	anger	0.719
vermin	kab ntsig	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	hnyav dua	anger	0.719
spiteful	ntsim siab	anger	0.719
slay	tua	anger	0.719
disdain	disdain	anger	0.719
choke	txhawm chim	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	mutilation	anger	0.714
criminal	txhaum	anger	0.714
denunciation	denunciation	anger	0.713
punch	punch	anger	0.713
crucifixion	raug ntsia saum ntoo khaub lig	anger	0.712
virulence	virulence	anger	0.712
battled	sib ntaus sib tua	anger	0.712
fatal	tuag taus	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasphemous	anger	0.712
hurting	ua phem	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	siab phem	anger	0.706
irritated	khaus	anger	0.706
assassin	tua neeg	anger	0.703
dicks	dicks	anger	0.703
persecution	kev tsim txom	anger	0.703
slayer	tua neeg	anger	0.703
kidnap	nyaum	anger	0.703
scolding	scolding	anger	0.703
intimidation	sib thuam	anger	0.703
aggravated	hnyav dua	anger	0.703
aggression	kev ua phem	anger	0.702
armed	armed	anger	0.700
poison	tshuaj lom	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	sib ntaus sib tua	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidious	anger	0.691
assailant	kev saib xyuas	anger	0.691
resentment	kev chim siab	anger	0.691
lynch	lynch	anger	0.690
contemptuous	kev tsim txom	anger	0.690
temper	npau	anger	0.688
imprisonment	raug kaw	anger	0.688
disparage	disparage	anger	0.688
bully	siab phem	anger	0.688
terrible	phem	anger	0.688
lunatic	lunatic	anger	0.688
curse	foom phem	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peev	anger	0.688
domination	domination	anger	0.688
mad	chim chim	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatility	anger	0.687
eradication	eradication	anger	0.685
tantrum	tantrum	anger	0.682
devastate	devastate	anger	0.682
eradicate	rhuav tshem	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	dhau heev lawm	anger	0.680
agitation	ntxhov siab	anger	0.680
dictatorship	dictatorship	anger	0.676
irritates	irritates	anger	0.676
profanity	hais lus dev	anger	0.673
egregious	egregious	anger	0.672
expletive	Tshawb nrhiav	anger	0.672
nasty	siab phem	anger	0.672
shove	shove	anger	0.672
shot	txhaj tshuaj	anger	0.672
harmful	teeb meem	anger	0.672
aggravation	hnyav dua	anger	0.672
contempt	kev yuam cai	anger	0.672
poisonous	poisonous	anger	0.672
dastardly	dastardly	anger	0.672
shoot	tua	anger	0.672
corrupting	corrupting	anger	0.672
condemnation	kev raug txim	anger	0.672
wreak	wreak	anger	0.672
crushed	crushed	anger	0.672
cruelly	cruelly	anger	0.672
crime	kev txhaum	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	kev tawg	anger	0.667
odious	odious	anger	0.667
shooting	shooting	anger	0.667
kick	ncaws	anger	0.667
aggressive	txhoj puab heev	anger	0.667
combat	kev sib ntaus los	anger	0.667
shout	qw	anger	0.667
hit	ntaus	anger	0.667
fight	sib ntaus	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	yeeb ncuab	anger	0.667
irritable	kev chim siab	anger	0.667
punished	raug txim	anger	0.662
ambush	ambush	anger	0.661
yell	qw	anger	0.661
harass	ua phem	anger	0.659
malignant	malignant	anger	0.656
aggressor	tus neeg dag	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	xyab	anger	0.656
expel	tshem tawm	anger	0.656
destruction	kev puas tsuaj	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	tu siab	anger	0.652
spank	spank	anger	0.652
growl	loj hlob	anger	0.652
insurrection	kev poob siab	anger	0.652
reprisal	kev ua haujlwm	anger	0.652
slave	qhev	anger	0.652
denounce	ua txhaum	anger	0.652
animosity	kev thuam	anger	0.652
insulting	thuam	anger	0.652
clashing	sib cav sib ceg	anger	0.652
growls	loj hlob	anger	0.649
executioner	kev ua tiav	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	kev qias neeg	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	hmoov zoo	anger	0.641
feud	kev sib cav	anger	0.641
grr	grr	anger	0.641
arson	hluav taws	anger	0.641
reprimand	reprimand	anger	0.641
expulsion	tshem tawm	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	liam	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	mob	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	tshuaj lom	anger	0.636
batter	batter	anger	0.636
kicking	roj hmab	anger	0.636
hanging	dai	anger	0.636
spanking	spanking	anger	0.636
disgusting	disgusting	anger	0.636
combatant	combatant	anger	0.636
frustrated	ntxhov siab	anger	0.636
anarchy	anarchy	anger	0.636
glaring	glaring	anger	0.636
inflict	ua phem	anger	0.633
wrecked	wrecked	anger	0.633
grievous	grievous	anger	0.632
prosecute	raug plaub ntug	anger	0.630
agitated	ntxhov siab	anger	0.630
cheat	khib lav	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	kev txhawm chim	anger	0.625
strife	strife	anger	0.625
provocation	kev tsis txaus siab	anger	0.625
injure	raug mob	anger	0.625
harassing	ua phem	anger	0.625
scourge	scourge	anger	0.625
cursing	cursing	anger	0.625
betray	ntxeev siab	anger	0.625
indict	ua txhaum	anger	0.625
raid	tua	anger	0.625
thundering	thundering	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	arsehole	anger	0.624
insane	insane	anger	0.621
fiend	khoov	anger	0.621
irritate	khaus	anger	0.621
convict	raug txim	anger	0.621
jerk	ntsuag	anger	0.621
theft	tub sab	anger	0.621
retaliation	kev ua pauj	anger	0.621
deprivation	deprivation	anger	0.621
cussed	cussed	anger	0.619
turmoil	kev kub ntxhov	anger	0.618
smack	smack	anger	0.615
retribution	kev sib pauj	anger	0.614
twats	twats	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	ntxeev siab	anger	0.609
injurious	raug mob	anger	0.609
oppressor	tsim txom	anger	0.609
slavery	qhev	anger	0.609
irritability	txob taus	anger	0.609
collision	kev sib tsoo	anger	0.609
bitterly	bitterly	anger	0.609
gang	pawg neeg	anger	0.609
antagonism	kev sib ceg	anger	0.609
battery	roj teeb	anger	0.609
adverse	adverse	anger	0.609
disgraced	disgraced	anger	0.608
irritating	khaus	anger	0.606
revolution	kiv puag ncig	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	moj tej tawg	anger	0.606
irks	irks	anger	0.606
sickening	mob	anger	0.606
discrimination	kev ntxub ntxaug	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	ntxhov siab	anger	0.604
manipulation	manipulation	anger	0.603
tension	nro	anger	0.603
insult	thuam	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	raug mob	anger	0.603
oppression	kev tsim txom	anger	0.603
disgust	qias neeg	anger	0.602
spite	tis	anger	0.600
intrusive	intrusive	anger	0.598
harshness	hnyav	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	ntxeem tau	anger	0.594
puncture	puncture	anger	0.594
miserable	miserable	anger	0.594
assail	kev ua phem	anger	0.594
storming	storming	anger	0.594
casualty	casualty	anger	0.594
bitterness	bitterness	anger	0.594
morbidity	morbidity	anger	0.594
tempest	tempest	anger	0.594
consternation	consternation	anger	0.592
depraved	poob siab	anger	0.591
raving	rawm	anger	0.591
guillotine	guillotine	anger	0.591
guilty	txhaum	anger	0.591
immoral	tsis ncaj ncees	anger	0.591
forcibly	ua yuam kev	anger	0.591
overpowering	overpowering	anger	0.591
accursed	accursed	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	tus neeg ua haujlwm	anger	0.588
scare	ntshai	anger	0.588
screwed	screwed	anger	0.588
indignation	kev npau taws	anger	0.587
jealousy	khib siab	anger	0.587
vexed	vexed	anger	0.586
confront	ua ntej	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	wreck	anger	0.578
revolver	phom sij	anger	0.578
slut	slut	anger	0.578
yousuck	koj dag	anger	0.578
damage	puas tsuaj	anger	0.578
butcher	neeg tua tsiaj	anger	0.578
conflict	tsis sib haum xeeb	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	txhaum	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ntxeev	anger	0.578
contentious	kev sib cav	anger	0.578
incarceration	incarceration	anger	0.578
defiant	defiant	anger	0.578
provoking	provoking	anger	0.578
lash	lash	anger	0.578
cancer	cancer	anger	0.577
frustration	ntxhov siab	anger	0.576
gory	gory	anger	0.576
alienation	kev tsis sib haum	anger	0.576
discord	sib cav	anger	0.576
disturbance	cuam ​​tshuam	anger	0.576
grope	grope	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	thuam	anger	0.576
discriminate	ntxub ntxaug	anger	0.576
chaotic	chaotic	anger	0.576
gun	phom	anger	0.576
standoff	sawv ntsug	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	tsim txom	anger	0.574
death	tuag	anger	0.574
jab	tawg	anger	0.574
cursed	cursed	anger	0.574
scandalous	scandalous	anger	0.574
monstrosity	kev tsim tsa	anger	0.574
shit	shit	anger	0.573
disparaging	disparaging	anger	0.571
slash	luaj	anger	0.571
unfair	tsis ncaj ncees	anger	0.571
gallows	gallows	anger	0.570
escalate	nce siab	anger	0.569
intolerant	tsis txaus ntseeg	anger	0.564
lawlessness	kev tsis ncaj ncees	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kev puas tsuaj	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	dag	anger	0.562
slander	rhuav npe	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	txeeb chaw	anger	0.562
bellows	lwj	anger	0.562
beast	tsiaj nyaum	anger	0.562
frightful	frightful	anger	0.562
derogatory	derogatory	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	dreadful	anger	0.562
traitor	tus neeg ntxeev siab	anger	0.562
malign	mob plab	anger	0.562
wrangling	wrangling	anger	0.562
dissension	kev sib cav	anger	0.561
banshee	banshee	anger	0.561
shatter	tawg	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	jeopardize	anger	0.561
thief	tub sab	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	ntsoog loj heev	anger	0.561
idiots	ruam	anger	0.561
betrayal	ntxeev siab	anger	0.561
uncontrollable	uncontrollable	anger	0.561
fits	fits	anger	0.561
cross	hla	anger	0.561
hurt	raug mob	anger	0.561
disturbed	ntxhov siab	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	lob	anger	0.557
ticked	rho tawm	anger	0.556
masochism	masochism	anger	0.556
grievance	kev tsis txaus siab	anger	0.556
defiance	tawm tsam	anger	0.552
blackmail	blackmail	anger	0.550
offensive	ua txhaum	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ua txhaum	anger	0.547
punishment	txim	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	kev nyuaj siab	anger	0.547
frustrates	ntxhov siab	anger	0.547
disgraceful	poob ntsej muag	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	disparity	anger	0.547
confine	confine	anger	0.547
firearms	phom	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	ntxeev siab	anger	0.547
deceive	deceive	anger	0.547
stolen	raug nyiag	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	rhuab	anger	0.545
ruined	puas tsuaj	anger	0.545
menace	mob siab	anger	0.545
humiliate	poob siab	anger	0.545
tackle	tackle	anger	0.545
conspirator	conspirator	anger	0.545
foul	foul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	resentful	anger	0.545
prejudice	kev ntxub ntxaug	anger	0.545
adversary	tus yeeb ncuab	anger	0.545
argument	sib cav	anger	0.545
skirmish	skirmish	anger	0.545
callous	mob siab	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	entangled	anger	0.544
robbery	nyiag khoom	anger	0.544
sting	plev	anger	0.544
outcry	outcry	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	tsis kam	anger	0.543
obstructive	obstructive	anger	0.542
dismay	dismay	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	phem	anger	0.536
ridicule	thuam	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	kaw	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	kev ntxub ntxaug	anger	0.531
uprising	uprising	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	tsis txaus ntseeg	anger	0.531
unbridled	unbridled	anger	0.531
allegation	kev liam	anger	0.531
communism	communism	anger	0.531
whip	nplawm	anger	0.531
intruder	intruder	anger	0.531
dispute	kev sib cav	anger	0.531
belittle	poob siab	anger	0.531
bigoted	bigoted	anger	0.530
offender	tus neeg txhaum	anger	0.530
hassle	hassle	anger	0.530
dissonance	dissonance	anger	0.530
unjust	tsis ncaj ncees	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	unjustifiable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	tackled	anger	0.530
renegade	renegade	anger	0.529
hot	kub	anger	0.529
prison	tsev loj cuj	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	ua txhaum	anger	0.529
suicide	yus tua yus	anger	0.521
annoy	annoy	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	ruam	anger	0.516
distrust	tsis ntseeg	anger	0.516
depravity	kev phem	anger	0.516
cretins	cretins	anger	0.516
divorce	sib nrauj	anger	0.516
broil	ci nplaum	anger	0.516
grrr	grrr	anger	0.516
venting	tso pa	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	tsis hwm	anger	0.516
tortious	tortious	anger	0.516
criticize	thuam	anger	0.516
prisoner	neeg raug txim	anger	0.516
dishonest	tsis ncaj ncees	anger	0.516
treason	treason	anger	0.516
victimized	raug tsim txom	anger	0.515
bile	bile	anger	0.515
unkind	tsis zoo	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	unleash	anger	0.515
coercion	quab yuam	anger	0.515
scold	thuam	anger	0.515
chaos	chaos	anger	0.515
grump	zeeg	anger	0.515
roar	nyooj	anger	0.515
jerks	sib cav	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	sib cav	anger	0.515
frustrating	ntxhov siab	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	kev liam	anger	0.510
repudiation	kev tsis lees paub	anger	0.510
enmity	ua yeebncuab	anger	0.510
banish	banish	anger	0.509
disfigured	disfigured	anger	0.508
storm	cua daj cua dub	anger	0.507
shun	shun	anger	0.500
suppression	kev tua	anger	0.500
unruly	tsis ncaj ncees	anger	0.500
intractable	intractable	anger	0.500
ordeal	kev cog qoob loo	anger	0.500
obstruct	sib cav	anger	0.500
derogation	derogation	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	rejects	anger	0.500
bout	bout	anger	0.500
spear	hmuv	anger	0.500
crazy	vwm	anger	0.500
brazen	brazen	anger	0.500
antithesis	kev thuam	anger	0.500
injustice	kev tsis ncaj ncees	anger	0.500
banished	banished	anger	0.500
confined	tawm tsis tau	anger	0.500
frenzied	frenzied	anger	0.500
dominate	dominate	anger	0.500
disrupting	cuam ​​tshuam	anger	0.500
hammering	hammering	anger	0.500
fear	ntshai	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguish	anger	0.500
brunt	brunt	anger	0.500
possessed	muaj	anger	0.500
defy	defy	anger	0.500
scoff	scoff	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	kev ua tsis ncaj ncees	anger	0.500
reject	xyeej	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	toughness	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	kev chim	anger	0.491
sinful	kev txhaum	anger	0.491
avarice	avarice	anger	0.490
oppress	oppress	anger	0.490
disapproved	tsis pom zoo	anger	0.485
inhuman	tsis yog neeg	anger	0.485
demand	thov	anger	0.485
abolish	tshem tawm	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	kev tsis txaus siab	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	tshem tawm	anger	0.485
infraction	kev ua txhaum	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	tsis mloog lus	anger	0.485
usurp	usurp	anger	0.485
alienate	Alienate	anger	0.485
avenger	avenger	anger	0.485
annoyed	ntxhov siab	anger	0.485
cutting	txiav	anger	0.485
disgrace	disgrace	anger	0.484
deceit	dag	anger	0.484
suspicious	yam txawv	anger	0.484
thresh	thresh	anger	0.484
sucker	sucker	anger	0.484
strained	strained	anger	0.484
blame	txhaum	anger	0.484
upheaval	upheaval	anger	0.484
renounce	tshem tawm	anger	0.484
obnoxious	obnoxious	anger	0.484
restrain	tswj yus tus kheej	anger	0.484
oust	oust	anger	0.484
litigious	litigious	anger	0.484
rivalry	kev sib tw	anger	0.484
penalty	nplua	anger	0.484
imprisoned	raug kaw	anger	0.484
mocking	thuam	anger	0.484
opposed	tawm tsam	anger	0.484
turbulence	kiv cua	anger	0.483
pound	phaus	anger	0.481
coldness	txias	anger	0.477
ungrateful	ungrateful	anger	0.472
battalion	battalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	khoo	anger	0.470
infidel	infidel	anger	0.470
ram	ram	anger	0.470
accuser	tus neeg dag	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	annoying	anger	0.470
adversity	kev nyuaj siab	anger	0.470
dispossessed	disassessed	anger	0.470
friction	kev sib txhuam	anger	0.470
jealous	khib siab	anger	0.470
feudalism	feudalism	anger	0.470
armament	Caj Laj	anger	0.470
thump	thump	anger	0.469
complain	yws	anger	0.469
incite	incite	anger	0.469
steal	nyiag	anger	0.469
