word	French-fr	emotion	emotion-intensity-score
pissingmeoff	pisser	anger	0.848
outrage	outrage	anger	0.848
stab	poignarder	anger	0.844
slaughter	abattage	anger	0.844
violent	violent	anger	0.844
destroying	détruire	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultueux	anger	0.844
irate	furieux	anger	0.844
infuriate	exaspérer	anger	0.844
obliterate	effacer	anger	0.843
belligerent	belligérant	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	détester	anger	0.838
hostilities	hostilités	anger	0.837
prick	piquer	anger	0.835
torture	torture	anger	0.833
rabid	enragé	anger	0.833
horrid	affreux	anger	0.833
rampage	déchaînement	anger	0.833
cruelty	cruauté	anger	0.833
hate	haine	anger	0.828
demonic	démoniaque	anger	0.828
hating	haïr	anger	0.828
satanic	satanique	anger	0.828
tyrannical	tyrannique	anger	0.828
ragemode	mode rage	anger	0.828
despicable	méprisable	anger	0.828
ruinous	ruineux	anger	0.825
condemn	condamner	anger	0.825
riots	émeutes	anger	0.824
demolish	démolir	anger	0.824
angry	en colère	anger	0.824
extermination	extermination	anger	0.824
dickhead	Dickhead	anger	0.824
livid	livide	anger	0.821
madman	fou	anger	0.820
vindictive	vindicatif	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	férocité	anger	0.818
venomous	venimeux	anger	0.818
threaten	menacer	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terroriste	anger	0.818
abhor	abhorrer	anger	0.816
savage	sauvage	anger	0.814
atrocity	atrocité	anger	0.814
carnage	carnage	anger	0.814
berserk	fou furieux	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuser de	anger	0.812
tyrant	tyran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	énervé	anger	0.812
vendetta	Vendetta	anger	0.812
fierce	féroce	anger	0.812
destroyer	destructeur	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumant	anger	0.812
barbaric	barbare	anger	0.812
anger	colère	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	claquer	anger	0.803
fights	combats	anger	0.803
punched	perforé	anger	0.803
bitch	chienne	anger	0.803
punching	perforation	anger	0.803
homicide	homicide	anger	0.803
destructive	destructeur	anger	0.797
ruthless	impitoyable	anger	0.797
villainous	infâme	anger	0.797
slap	gifler	anger	0.791
slaughterhouse	abattoir	anger	0.788
punishing	punir	anger	0.788
destroyed	détruit	anger	0.788
retaliatory	de représailles	anger	0.788
riot	émeute	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	en hurlant	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolique	anger	0.788
manslaughter	homicide involontaire	anger	0.783
clash	choc	anger	0.783
bloody	sanglant	anger	0.781
hellish	atroce	anger	0.781
loath	répugner	anger	0.781
detonation	détonation	anger	0.781
quarrel	querelle	anger	0.781
sinister	sinistre	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	accuser	anger	0.779
treacherous	perfide	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	user de représailles	anger	0.773
revulsion	dégoût	anger	0.773
madder	garance	anger	0.773
horrific	horrible	anger	0.773
scorn	mépris	anger	0.769
deplorable	déplorable	anger	0.766
bomb	bombe	anger	0.766
anarchist	anarchiste	anger	0.765
devastation	dévastation	anger	0.765
resent	renvoyé	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	méprisable	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortel	anger	0.758
smash	fracasser	anger	0.758
rant	déclamer	anger	0.758
outburst	explosion	anger	0.757
snarl	gronder	anger	0.754
profane	profane	anger	0.750
offend	offenser	anger	0.750
douchebags	douchebags	anger	0.750
growling	grondement	anger	0.750
stfu	stfu	anger	0.750
vulgarity	la vulgarité	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	fou	anger	0.750
despise	mépriser	anger	0.750
horror	horreur	anger	0.750
aggravating	aggravant	anger	0.750
revolting	révoltant	anger	0.750
fuckedoff	baisée	anger	0.742
threat	menace	anger	0.742
erupt	éclater	anger	0.742
screaming	en hurlant	anger	0.742
violence	la violence	anger	0.742
horrible	horrible	anger	0.742
molestation	attentat à la pudeur	anger	0.742
bastards	bâtards	anger	0.741
revenge	vengeance	anger	0.738
catastrophe	catastrophe	anger	0.735
menacing	menaçant	anger	0.735
demon	démon	anger	0.735
crushing	écrasement	anger	0.735
damn	Zut	anger	0.735
persecute	persécuter	anger	0.734
argue	se disputer	anger	0.734
flog	fouetter	anger	0.734
revolt	révolte	anger	0.734
thrash	débattre	anger	0.734
deplore	déplorer	anger	0.734
warfare	guerre	anger	0.734
fedup	marre	anger	0.734
vehement	véhément	anger	0.734
riotous	séditieux	anger	0.734
altercation	altercation	anger	0.729
warlike	guerrier	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutinerie	anger	0.727
castrate	castrer	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	malveillant	anger	0.721
strike	la grève	anger	0.721
disaster	catastrophe	anger	0.721
disastrous	catastrophique	anger	0.720
tumult	tumulte	anger	0.719
madden	madden	anger	0.719
devil	diable	anger	0.719
scream	crier	anger	0.719
brutal	brutal	anger	0.719
treachery	traîtrise	anger	0.719
scorching	brûlant	anger	0.719
vermin	vermine	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggrave	anger	0.719
spiteful	malveillant	anger	0.719
slay	tuer	anger	0.719
disdain	mépris	anger	0.719
choke	étranglement	anger	0.719
bastarding	bâtard	anger	0.719
mangle	mutiler	anger	0.714
anarchism	anarchisme	anger	0.714
mutilation	mutilation	anger	0.714
criminal	criminel	anger	0.714
denunciation	dénonciation	anger	0.713
punch	coup de poing	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	virulence	anger	0.712
battled	lutté	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocauste	anger	0.712
blasphemous	blasphématoire	anger	0.712
hurting	blesser	anger	0.712
dumbasses	imbéciles	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	dérangé	anger	0.706
atrocious	atroce	anger	0.706
evil	mal	anger	0.706
irritated	irrité	anger	0.706
assassin	assassin	anger	0.703
dicks	bites	anger	0.703
persecution	persécution	anger	0.703
slayer	tueur	anger	0.703
kidnap	kidnapper	anger	0.703
scolding	réprimande	anger	0.703
intimidation	intimidation	anger	0.703
aggravated	aggravé	anger	0.703
aggression	agression	anger	0.702
armed	armé	anger	0.700
poison	poison	anger	0.697
snarling	harceler	anger	0.697
venom	venin	anger	0.697
battle	bataille	anger	0.697
disgruntled	mécontent	anger	0.693
insidious	insidieux	anger	0.691
assailant	agresseur	anger	0.691
resentment	rancœur	anger	0.691
lynch	lyncher	anger	0.690
contemptuous	méprisant	anger	0.690
temper	tempérer	anger	0.688
imprisonment	emprisonnement	anger	0.688
disparage	dénigrer	anger	0.688
bully	brute	anger	0.688
terrible	terrible	anger	0.688
lunatic	fou	anger	0.688
curse	malédiction	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	pissé	anger	0.688
domination	domination	anger	0.688
mad	furieux	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatilité	anger	0.687
eradication	éradication	anger	0.685
tantrum	colère	anger	0.682
devastate	dévaster	anger	0.682
eradicate	éradiquer	anger	0.682
scoundrel	scélérat	anger	0.682
aggressively	agressivement	anger	0.680
agitation	agitation	anger	0.680
dictatorship	dictature	anger	0.676
irritates	irrite	anger	0.676
profanity	impiété	anger	0.673
egregious	énorme	anger	0.672
expletive	explétif	anger	0.672
nasty	méchant	anger	0.672
shove	pousser	anger	0.672
shot	coup	anger	0.672
harmful	nocif	anger	0.672
aggravation	aggravation	anger	0.672
contempt	mépris	anger	0.672
poisonous	toxique	anger	0.672
dastardly	lâche	anger	0.672
shoot	tirer	anger	0.672
corrupting	corrompant	anger	0.672
condemnation	condamnation	anger	0.672
wreak	assouvir	anger	0.672
crushed	écrasé	anger	0.672
cruelly	cruellement	anger	0.672
crime	la criminalité	anger	0.672
maniac	maniaque	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	éruption	anger	0.667
odious	odieux	anger	0.667
shooting	tournage	anger	0.667
kick	donner un coup	anger	0.667
aggressive	agressif	anger	0.667
combat	combat	anger	0.667
shout	crier	anger	0.667
hit	frappé	anger	0.667
fight	bats toi	anger	0.667
cutthroat	gorge folle	anger	0.667
enemy	ennemi	anger	0.667
irritable	irritable	anger	0.667
punished	puni	anger	0.662
ambush	embuscade	anger	0.661
yell	hurler	anger	0.661
harass	harceler	anger	0.659
malignant	malin	anger	0.656
aggressor	agresseur	anger	0.656
antichrist	Antéchrist	anger	0.656
gore	sang	anger	0.656
incense	encens	anger	0.656
expel	expulser	anger	0.656
destruction	destruction	anger	0.656
grudge	rancune	anger	0.656
cranky	excentrique	anger	0.653
offended	offensé	anger	0.652
spank	fesser	anger	0.652
growl	grognement	anger	0.652
insurrection	insurrection	anger	0.652
reprisal	représailles	anger	0.652
slave	esclave	anger	0.652
denounce	dénoncer	anger	0.652
animosity	animosité	anger	0.652
insulting	insultant	anger	0.652
clashing	affrontement	anger	0.652
growls	grogne	anger	0.649
executioner	bourreau	anger	0.644
twat	chatte	anger	0.644
doomsday	jour du Jugement dernier	anger	0.643
daemon	démon	anger	0.641
obscenity	obscénité	anger	0.641
bombard	bombarder	anger	0.641
spat	prise de bec	anger	0.641
havoc	ravage	anger	0.641
feud	querelle	anger	0.641
grr	grr	anger	0.641
arson	incendie volontaire	anger	0.641
reprimand	réprimande	anger	0.641
expulsion	expulsion	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	accusé	anger	0.641
indignant	indigné	anger	0.641
shackle	manille	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	blessure	anger	0.636
suicidal	suicidaire	anger	0.636
poisoned	empoisonné	anger	0.636
batter	Battre	anger	0.636
kicking	coups de pied	anger	0.636
hanging	pendaison	anger	0.636
spanking	fessée	anger	0.636
disgusting	répugnant	anger	0.636
combatant	combattant	anger	0.636
frustrated	frustré	anger	0.636
anarchy	anarchie	anger	0.636
glaring	flagrant	anger	0.636
inflict	infliger	anger	0.633
wrecked	détruit	anger	0.633
grievous	grave	anger	0.632
prosecute	poursuivre	anger	0.630
agitated	agité	anger	0.630
cheat	Tricher	anger	0.630
swastika	svastika	anger	0.627
defamatory	diffamatoire	anger	0.625
suffocation	suffocation	anger	0.625
strife	conflit	anger	0.625
provocation	provocation	anger	0.625
injure	blesser	anger	0.625
harassing	harcèlement	anger	0.625
scourge	fléau	anger	0.625
cursing	maudire	anger	0.625
betray	trahir	anger	0.625
indict	accuser	anger	0.625
raid	raid	anger	0.625
thundering	tonner	anger	0.625
enslaved	esclave	anger	0.625
arsehole	arsehole	anger	0.624
insane	insensé	anger	0.621
fiend	démon	anger	0.621
irritate	irriter	anger	0.621
convict	condamné	anger	0.621
jerk	secousse	anger	0.621
theft	vol	anger	0.621
retaliation	représailles	anger	0.621
deprivation	privation	anger	0.621
cussed	juré	anger	0.619
turmoil	la tourmente	anger	0.618
smack	claque	anger	0.615
retribution	châtiment	anger	0.614
twats	twats	anger	0.609
intolerable	intolérable	anger	0.609
rebellion	rébellion	anger	0.609
injurious	préjudiciable	anger	0.609
oppressor	oppresseur	anger	0.609
slavery	esclavage	anger	0.609
irritability	irritabilité	anger	0.609
collision	collision	anger	0.609
bitterly	amèrement	anger	0.609
gang	gang	anger	0.609
antagonism	antagonisme	anger	0.609
battery	batterie	anger	0.609
adverse	négatif	anger	0.609
disgraced	disgracié	anger	0.608
irritating	irritant	anger	0.606
revolution	révolution	anger	0.606
thug	voyou	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardement	anger	0.606
blast	explosion	anger	0.606
irks	irks	anger	0.606
sickening	écœurant	anger	0.606
discrimination	discrimination	anger	0.606
antagonistic	antagoniste	anger	0.606
ranting	déclamer	anger	0.606
asshole	Connard	anger	0.606
frustrate	frustrer	anger	0.604
manipulation	manipulation	anger	0.603
tension	tension	anger	0.603
insult	insulter	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	nuisible	anger	0.603
oppression	oppression	anger	0.603
disgust	dégoûter	anger	0.602
spite	dépit	anger	0.600
intrusive	intrusif	anger	0.598
harshness	dureté	anger	0.597
slur	liaison	anger	0.596
wretch	misérable	anger	0.594
inferno	enfer	anger	0.594
invasion	invasion	anger	0.594
puncture	crevaison	anger	0.594
miserable	misérable	anger	0.594
assail	assaillir	anger	0.594
storming	assaut	anger	0.594
casualty	victime	anger	0.594
bitterness	amertume	anger	0.594
morbidity	morbidité	anger	0.594
tempest	tempête	anger	0.594
consternation	consternation	anger	0.592
depraved	dépravé	anger	0.591
raving	délirant	anger	0.591
guillotine	guillotine	anger	0.591
guilty	coupable	anger	0.591
immoral	immoral	anger	0.591
forcibly	de force	anger	0.591
overpowering	irrésistible	anger	0.591
accursed	maudit	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	récalcitrant	anger	0.588
invader	envahisseur	anger	0.588
scare	effrayer	anger	0.588
screwed	vissé	anger	0.588
indignation	indignation	anger	0.587
jealousy	jalousie	anger	0.587
vexed	fâché	anger	0.586
confront	affronter	anger	0.582
brute	brute	anger	0.581
throttle	étrangler	anger	0.579
wreck	épave	anger	0.578
revolver	revolver	anger	0.578
slut	salope	anger	0.578
yousuck	tu crains	anger	0.578
damage	dommage	anger	0.578
butcher	Boucher	anger	0.578
conflict	conflit	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalité	anger	0.578
bickering	chamaillerie	anger	0.578
pillage	pillage	anger	0.578
blaze	flamber	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	contentieux	anger	0.578
incarceration	incarcération	anger	0.578
defiant	de défi	anger	0.578
provoking	provoquant	anger	0.578
lash	fouetter	anger	0.578
cancer	cancer	anger	0.577
frustration	frustration	anger	0.576
gory	sanglant	anger	0.576
alienation	aliénation	anger	0.576
discord	discorde	anger	0.576
disturbance	perturbation	anger	0.576
grope	tâtonner	anger	0.576
condescension	condescendance	anger	0.576
pernicious	pernicieux	anger	0.576
blasphemy	blasphème	anger	0.576
discriminate	discriminer	anger	0.576
chaotic	chaotique	anger	0.576
gun	pistolet	anger	0.576
standoff	impasse	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	ricanement	anger	0.574
lunacy	folie	anger	0.574
oppressive	oppressif	anger	0.574
death	décès	anger	0.574
jab	coup	anger	0.574
cursed	maudit	anger	0.574
scandalous	scandaleux	anger	0.574
monstrosity	monstruosité	anger	0.574
shit	merde	anger	0.573
disparaging	désobligeant	anger	0.571
slash	sabrer	anger	0.571
unfair	injuste	anger	0.571
gallows	potence	anger	0.570
escalate	intensifier	anger	0.569
intolerant	intolérant	anger	0.564
lawlessness	anarchie	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	raillerie	anger	0.562
grouchy	grognon	anger	0.562
torpedo	torpille	anger	0.562
deceived	trompé	anger	0.562
slander	calomnie	anger	0.562
retards	retarde	anger	0.562
bearish	baissier	anger	0.562
invade	envahir	anger	0.562
bellows	soufflet	anger	0.562
beast	bête	anger	0.562
frightful	affreux	anger	0.562
derogatory	dérogatoire	anger	0.562
glare	éblouissement	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	horrible	anger	0.562
traitor	traitre	anger	0.562
malign	calomnier	anger	0.562
wrangling	querelles	anger	0.562
dissension	dissension	anger	0.561
banshee	banshee	anger	0.561
shatter	briser	anger	0.561
conflagration	incendie	anger	0.561
jeopardize	compromettre	anger	0.561
thief	voleur	anger	0.561
rave	délirer	anger	0.561
grating	grille	anger	0.561
devastating	dévastateur	anger	0.561
idiots	idiots	anger	0.561
betrayal	trahison	anger	0.561
uncontrollable	incontrôlable	anger	0.561
fits	convient	anger	0.561
cross	traverser	anger	0.561
hurt	blesser	anger	0.561
disturbed	perturbé	anger	0.559
subjugation	assujettissement	anger	0.559
stomped	piétiné	anger	0.557
grab	saisir	anger	0.557
ticked	coché	anger	0.556
masochism	masochisme	anger	0.556
grievance	grief	anger	0.556
defiance	défi	anger	0.552
blackmail	chantage	anger	0.550
offensive	offensive	anger	0.549
decry	décrier	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	violation	anger	0.547
punishment	Châtiment	anger	0.547
shrill	aigu	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	côté obscur	anger	0.547
misery	misère	anger	0.547
frustrates	frustre	anger	0.547
disgraceful	honteux	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	autoritaire	anger	0.547
disparity	disparité	anger	0.547
confine	confiner	anger	0.547
firearms	armes à feu	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurde	anger	0.547
rebel	rebelle	anger	0.547
deceive	tromper	anger	0.547
stolen	volé	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	branleur	anger	0.545
heated	chauffé	anger	0.545
ruined	ruiné	anger	0.545
menace	menace	anger	0.545
humiliate	humilier	anger	0.545
tackle	tacle	anger	0.545
conspirator	conspirateur	anger	0.545
foul	faute	anger	0.545
antagonist	antagoniste	anger	0.545
resentful	irrité	anger	0.545
prejudice	préjudice	anger	0.545
adversary	adversaire	anger	0.545
argument	argument	anger	0.545
skirmish	escarmouche	anger	0.545
callous	insensible	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	enchevêtré	anger	0.544
robbery	vol	anger	0.544
sting	piquer	anger	0.544
outcry	tollé	anger	0.544
grumble	plaindre	anger	0.544
irreconcilable	irréconciliable	anger	0.543
resistance	la résistance	anger	0.543
obstructive	obstructif	anger	0.542
dismay	consternation	anger	0.540
mob	foule	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	méchanceté	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	incendiaire	anger	0.533
flares	fusées éclairantes	anger	0.532
degeneracy	dégénérescence	anger	0.531
confinement	accouchement	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	préjudiciable	anger	0.531
uprising	soulèvement	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	téméraire	anger	0.531
unbridled	débridé	anger	0.531
allegation	allégation	anger	0.531
communism	communisme	anger	0.531
whip	fouet	anger	0.531
intruder	intrus	anger	0.531
dispute	contestation	anger	0.531
belittle	rabaisser	anger	0.531
bigoted	fanatique	anger	0.530
offender	délinquant	anger	0.530
hassle	tracas	anger	0.530
dissonance	dissonance	anger	0.530
unjust	injuste	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	injustifiable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	plaqué	anger	0.530
renegade	renégat	anger	0.529
hot	chaud	anger	0.529
prison	prison	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	intrusion	anger	0.529
suicide	suicide	anger	0.521
annoy	ennuyer	anger	0.520
leavemealone	Laisse-moi tranquille	anger	0.517
idiotic	idiot	anger	0.516
distrust	méfiance	anger	0.516
depravity	dépravation	anger	0.516
cretins	cretins	anger	0.516
divorce	divorce	anger	0.516
broil	griller	anger	0.516
grrr	grrr	anger	0.516
venting	ventilation	anger	0.516
inimical	hostile	anger	0.516
duress	contrainte	anger	0.516
disrespectful	irrespectueux	anger	0.516
tortious	déloyal	anger	0.516
criticize	critiquer	anger	0.516
prisoner	prisonnier	anger	0.516
dishonest	malhonnête	anger	0.516
treason	trahison	anger	0.516
victimized	victimisé	anger	0.515
bile	bile	anger	0.515
unkind	méchant	anger	0.515
unforgiving	impitoyable	anger	0.515
unleash	déchaîner	anger	0.515
coercion	coercition	anger	0.515
scold	gronder	anger	0.515
chaos	le chaos	anger	0.515
grump	grincheux	anger	0.515
roar	rugir	anger	0.515
jerks	saccades	anger	0.515
poaching	braconnage	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	braconniers	anger	0.515
argumentation	argumentation	anger	0.515
frustrating	frustrant	anger	0.515
tussle	lutte	anger	0.514
bane	fléau	anger	0.511
accusation	accusation	anger	0.510
repudiation	répudiation	anger	0.510
enmity	hostilité	anger	0.510
banish	bannir	anger	0.509
disfigured	défiguré	anger	0.508
storm	orage	anger	0.507
shun	éviter	anger	0.500
suppression	suppression	anger	0.500
unruly	indiscipliné	anger	0.500
intractable	intraitable	anger	0.500
ordeal	supplice	anger	0.500
obstruct	obstruer	anger	0.500
derogation	dérogation	anger	0.500
fervor	ferveur	anger	0.500
foaming	moussant	anger	0.500
derision	dérision	anger	0.500
animus	animus	anger	0.500
rejects	rejette	anger	0.500
bout	combat	anger	0.500
spear	lance	anger	0.500
crazy	fou	anger	0.500
brazen	effronté	anger	0.500
antithesis	antithèse	anger	0.500
injustice	injustice	anger	0.500
banished	banni	anger	0.500
confined	confiné	anger	0.500
frenzied	frénétique	anger	0.500
dominate	dominer	anger	0.500
disrupting	perturber	anger	0.500
hammering	martelage	anger	0.500
fear	peur	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angoisse	anger	0.500
brunt	brunt	anger	0.500
possessed	possédé	anger	0.500
defy	defier	anger	0.500
scoff	moquerie	anger	0.500
patronising	condescendant	anger	0.500
delusional	délirant	anger	0.500
malpractice	faute professionnelle	anger	0.500
reject	rejeter	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	dureté	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	la démence	anger	0.491
sinful	coupable	anger	0.491
avarice	avarice	anger	0.490
oppress	opprimer	anger	0.490
disapproved	refusé	anger	0.485
inhuman	inhumain	anger	0.485
demand	demande	anger	0.485
abolish	abolir	anger	0.485
anathema	anathème	anger	0.485
fricking	frotter	anger	0.485
complaint	plainte	anger	0.485
disservice	mauvais service	anger	0.485
smuggler	contrebandier	anger	0.485
revoke	révoquer	anger	0.485
infraction	infraction	anger	0.485
claw	griffe	anger	0.485
dissident	dissident	anger	0.485
pervert	pervertir	anger	0.485
incest	inceste	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	désobéissant	anger	0.485
usurp	usurper	anger	0.485
alienate	aliéner	anger	0.485
avenger	vengeur	anger	0.485
annoyed	agacé	anger	0.485
cutting	Coupe	anger	0.485
disgrace	disgrâce	anger	0.484
deceit	tromperie	anger	0.484
suspicious	méfiant	anger	0.484
thresh	battre	anger	0.484
sucker	ventouse	anger	0.484
strained	tendu	anger	0.484
blame	faire des reproches	anger	0.484
upheaval	bouleversement	anger	0.484
renounce	renoncer	anger	0.484
obnoxious	odieux	anger	0.484
restrain	restreindre	anger	0.484
oust	évincer	anger	0.484
litigious	litigieux	anger	0.484
rivalry	rivalité	anger	0.484
penalty	peine	anger	0.484
imprisoned	détenu	anger	0.484
mocking	railleur	anger	0.484
opposed	opposé	anger	0.484
turbulence	turbulence	anger	0.483
pound	livre	anger	0.481
coldness	froideur	anger	0.477
ungrateful	ingrat	anger	0.472
battalion	bataillon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	otage	anger	0.470
infidel	infidèle	anger	0.470
ram	RAM	anger	0.470
accuser	accusateur	anger	0.470
gall	fiel	anger	0.470
subversion	subversion	anger	0.470
annoying	ennuyeux	anger	0.470
adversity	adversité	anger	0.470
dispossessed	dépossédé	anger	0.470
friction	friction	anger	0.470
jealous	jaloux	anger	0.470
feudalism	féodalisme	anger	0.470
armament	armement	anger	0.470
thump	cogner	anger	0.469
complain	se plaindre	anger	0.469
incite	inciter	anger	0.469
steal	voler	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	désobéir	anger	0.469
injury	blessure	anger	0.469
simmer	mijoter	anger	0.469
distress	détresse	anger	0.469
insanity	folie	anger	0.469
selfish	égoïste	anger	0.469
huff	souffler	anger	0.469
selfishness	égoïsme	anger	0.469
backoff	reculer	anger	0.469
plunder	pillage	anger	0.469
stifled	étouffé	anger	0.469
subversive	subversif	anger	0.469
exile	exilé	anger	0.469
offense	infraction	anger	0.469
objection	objection	anger	0.469
recidivism	récidive	anger	0.469
smother	étouffer	anger	0.469
perpetrator	auteur	anger	0.469
dislike	Ne pas aimer	anger	0.469
disruption	perturbation	anger	0.469
intolerance	intolérance	anger	0.469
opposition	opposition	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	agresser	anger	0.467
agony	agonie	anger	0.465
arrogant	arrogant	anger	0.461
sux	sux	anger	0.456
vent	évent	anger	0.456
elimination	élimination	anger	0.456
picketing	piquets de grève	anger	0.456
haughty	hautain	anger	0.456
troublesome	gênant	anger	0.455
clamor	clameur	anger	0.455
busted	cassé	anger	0.455
constraint	contrainte	anger	0.455
crabby	crabby	anger	0.455
veto	veto	anger	0.455
stubbed	écrasé	anger	0.455
mislead	tromper	anger	0.455
illicit	illicite	anger	0.455
dying	en train de mourir	anger	0.455
grated	râpé	anger	0.455
idiocy	idiotie	anger	0.455
illegality	illégalité	anger	0.455
flagrant	flagrant	anger	0.455
impermeable	imperméable	anger	0.455
bad	mal	anger	0.453
despotism	despotisme	anger	0.453
usurped	usurpé	anger	0.453
