word	Afrikaans-af	emotion	emotion-intensity-score
punching	pons	anger	0.803
homicide	moord	anger	0.803
destructive	vernietigende	anger	0.797
ruthless	genadelose	anger	0.797
villainous	gemeen	anger	0.797
slap	klap	anger	0.791
slaughterhouse	slagpale	anger	0.788
punishing	straf	anger	0.788
destroyed	vernietig	anger	0.788
retaliatory	vergelding	anger	0.788
riot	oproer	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	skree	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diaboliese	anger	0.788
manslaughter	strafbare manslag	anger	0.783
clash	botsing	anger	0.783
bloody	bloedige	anger	0.781
hellish	helse	anger	0.781
loath	onwillig	anger	0.781
detonation	ontploffing	anger	0.781
quarrel	rusie	anger	0.781
sinister	sinistere	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	beskuldig	anger	0.779
treacherous	verraderlike	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	baklei	anger	0.773
revulsion	afkeer	anger	0.773
madder	meekrap	anger	0.773
horrific	gruwelike	anger	0.773
scorn	spot	anger	0.769
deplorable	betreurenswaardig	anger	0.766
bomb	bom	anger	0.766
anarchist	anarchist	anger	0.765
devastation	verwoesting	anger	0.765
resent	aanstoot	anger	0.765
firestorm	Fire Storm	anger	0.765
contemptible	veragtelik	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	wrede	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	dodelike	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	uitbarsting	anger	0.757
snarl	warboel	anger	0.754
profane	onheilige	anger	0.750
offend	aanstoot	anger	0.750
douchebags	douchebags	anger	0.750
growling	grom	anger	0.750
stfu	Stfu	anger	0.750
vulgarity	vulgariteit	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	waansinnige	anger	0.750
despise	minag	anger	0.750
horror	gruwel	anger	0.750
aggravating	verswarende	anger	0.750
revolting	oproerige	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	bedreiging	anger	0.742
erupt	uitbars	anger	0.742
screaming	skree	anger	0.742
violence	geweld	anger	0.742
horrible	aaklig	anger	0.742
molestation	molestering	anger	0.742
bastards	bastards	anger	0.741
revenge	wraak	anger	0.738
catastrophe	katastrofe	anger	0.735
menacing	dreigende	anger	0.735
demon	demoon	anger	0.735
crushing	breek	anger	0.735
damn	damn	anger	0.735
persecute	vervolg	anger	0.734
argue	argumenteer	anger	0.734
flog	slaan	anger	0.734
revolt	opstand	anger	0.734
thrash	thrash	anger	0.734
deplore	betreur	anger	0.734
warfare	oorlogvoering	anger	0.734
fedup	siek en sat	anger	0.734
vehement	heftige	anger	0.734
riotous	oproerige	anger	0.734
altercation	onderonsie	anger	0.729
warlike	oorlogsugtige	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	muitery	anger	0.727
castrate	lubben	anger	0.727
sabotage	sabotasie	anger	0.727
malevolent	kwaadwillig	anger	0.721
strike	staking	anger	0.721
disaster	ramp	anger	0.721
disastrous	rampspoedige	anger	0.720
tumult	rumoer	anger	0.719
madden	Madden	anger	0.719
devil	duiwel	anger	0.719
scream	skree	anger	0.719
brutal	wrede	anger	0.719
treachery	verraad	anger	0.719
scorching	versengende	anger	0.719
vermin	ongediertes	anger	0.719
arseholes	poepholle	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	vererger	anger	0.719
spiteful	moedswillig	anger	0.719
slay	doodmaak	anger	0.719
disdain	minagting	anger	0.719
choke	verstik	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangel	anger	0.714
anarchism	anargisme	anger	0.714
mutilation	verminking	anger	0.714
criminal	kriminele	anger	0.714
denunciation	veroordeling	anger	0.713
punch	punch	anger	0.713
crucifixion	kruisiging	anger	0.712
virulence	virulensie	anger	0.712
battled	gesukkel	anger	0.712
fatal	noodlottige	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	lasterlike	anger	0.712
hurting	seer	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	versteurde	anger	0.706
atrocious	gruwelike	anger	0.706
evil	kwaad	anger	0.706
irritated	geïrriteerd	anger	0.706
assassin	sluipmoordenaar	anger	0.703
dicks	Dicks	anger	0.703
persecution	vervolging	anger	0.703
slayer	'n doodslag begaan	anger	0.703
kidnap	ontvoering	anger	0.703
scolding	uitbrander	anger	0.703
intimidation	intimidasie	anger	0.703
aggravated	vererger	anger	0.703
aggression	aggressie	anger	0.702
armed	gewapende	anger	0.700
poison	gif	anger	0.697
snarling	grommende	anger	0.697
venom	gif	anger	0.697
battle	stryd	anger	0.697
disgruntled	ontevrede	anger	0.693
insidious	verraderlike	anger	0.691
assailant	aanvaller	anger	0.691
resentment	wrok	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	minagtende	anger	0.690
temper	humeur	anger	0.688
imprisonment	gevangenisstraf	anger	0.688
disparage	afkraak	anger	0.688
bully	boelie	anger	0.688
terrible	verskriklike	anger	0.688
lunatic	kranksinnige	anger	0.688
curse	vloek	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	omgekrap	anger	0.688
domination	oorheersing	anger	0.688
mad	mal	anger	0.688
infanticide	kindermoord	anger	0.688
volatility	wisselvalligheid	anger	0.687
eradication	uitwissing	anger	0.685
tantrum	vloermoer	anger	0.682
devastate	verwoes	anger	0.682
eradicate	uit te wis	anger	0.682
scoundrel	skurk	anger	0.682
aggressively	aggressief	anger	0.680
agitation	geroer	anger	0.680
dictatorship	diktatorskap	anger	0.676
irritates	irriteer	anger	0.676
profanity	vloek	anger	0.673
egregious	uitmuntend	anger	0.672
expletive	vloek	anger	0.672
nasty	nare	anger	0.672
shove	stoot	anger	0.672
shot	skoot	anger	0.672
harmful	skadelike	anger	0.672
aggravation	struikelblok	anger	0.672
contempt	minagting	anger	0.672
poisonous	giftige	anger	0.672
dastardly	duistere	anger	0.672
shoot	skiet	anger	0.672
corrupting	onheil	anger	0.672
condemnation	veroordeling	anger	0.672
wreak	saai	anger	0.672
crushed	gekneus	anger	0.672
cruelly	wreed	anger	0.672
crime	misdaad	anger	0.672
maniac	maniak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	uitbarsting	anger	0.667
odious	gehaat	anger	0.667
shooting	skiet	anger	0.667
kick	skop	anger	0.667
aggressive	aggressiewe	anger	0.667
combat	bestry	anger	0.667
shout	skree	anger	0.667
hit	getref	anger	0.667
fight	stryd	anger	0.667
cutthroat	moordende	anger	0.667
enemy	vyand	anger	0.667
irritable	prikkelbare	anger	0.667
punished	gestraf	anger	0.662
ambush	hinderlaag	anger	0.661
yell	skree	anger	0.661
harass	teister	anger	0.659
malignant	kwaadaardige	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	antichris	anger	0.656
gore	Gore	anger	0.656
incense	speserye	anger	0.656
expel	skors	anger	0.656
destruction	vernietiging	anger	0.656
grudge	wrok	anger	0.656
cranky	cranky	anger	0.653
offended	aanstoot	anger	0.652
spank	klap	anger	0.652
growl	grom	anger	0.652
insurrection	opstand	anger	0.652
reprisal	vergelding	anger	0.652
slave	slaaf	anger	0.652
denounce	veroordeel	anger	0.652
animosity	vyandigheid	anger	0.652
insulting	beledigende	anger	0.652
clashing	bots	anger	0.652
growls	grom	anger	0.649
executioner	laksman	anger	0.644
twat	TWAT	anger	0.644
doomsday	doem	anger	0.643
daemon	daemon	anger	0.641
obscenity	obsceniteiten	anger	0.641
bombard	bombardeer	anger	0.641
spat	gespoeg	anger	0.641
havoc	verwoesting	anger	0.641
feud	vete	anger	0.641
grr	GrR	anger	0.641
arson	brandstigting	anger	0.641
reprimand	teregwysing	anger	0.641
expulsion	uitsetting	anger	0.641
inexcusable	onverskoonbaar	anger	0.641
accused	beskuldigde	anger	0.641
indignant	verontwaardig	anger	0.641
shackle	boei	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	wond	anger	0.636
suicidal	selfmoord	anger	0.636
poisoned	vergiftig	anger	0.636
batter	beslag	anger	0.636
kicking	skop	anger	0.636
hanging	hang	anger	0.636
spanking	king	anger	0.636
disgusting	disgusting	anger	0.636
combatant	vegter	anger	0.636
frustrated	gefrustreerd	anger	0.636
anarchy	anargie	anger	0.636
glaring	flagrante	anger	0.636
inflict	veroorsaak	anger	0.633
wrecked	vergaan	anger	0.633
grievous	swaar	anger	0.632
prosecute	vervolg	anger	0.630
agitated	geroer	anger	0.630
cheat	oneerlik	anger	0.630
swastika	swastika	anger	0.627
defamatory	lasterlik	anger	0.625
suffocation	versmoring	anger	0.625
strife	twis	anger	0.625
provocation	provokasie	anger	0.625
injure	beseer	anger	0.625
harassing	teister	anger	0.625
scourge	plaag	anger	0.625
cursing	vloek	anger	0.625
betray	verraai	anger	0.625
indict	kla	anger	0.625
raid	aanval	anger	0.625
thundering	donderende	anger	0.625
enslaved	verslaaf	anger	0.625
arsehole	gat	anger	0.624
insane	stapelgek	anger	0.621
fiend	monster	anger	0.621
irritate	irriteer	anger	0.621
convict	gevangene	anger	0.621
jerk	stoot	anger	0.621
theft	diefstal	anger	0.621
retaliation	vergelding	anger	0.621
deprivation	ontneming	anger	0.621
cussed	koppig	anger	0.619
turmoil	onrus	anger	0.618
smack	slaan	anger	0.615
retribution	vergelding	anger	0.614
twats	twats	anger	0.609
intolerable	ondraaglik	anger	0.609
rebellion	rebellie	anger	0.609
injurious	skadelik	anger	0.609
oppressor	onderdrukker	anger	0.609
slavery	slawerny	anger	0.609
irritability	prikkelbaarheid	anger	0.609
collision	botsing	anger	0.609
bitterly	bitterlik	anger	0.609
gang	bende	anger	0.609
antagonism	antagonisme	anger	0.609
battery	battery	anger	0.609
adverse	ongunstige	anger	0.609
disgraced	skande	anger	0.608
irritating	irriterend	anger	0.606
revolution	revolusie	anger	0.606
thug	boef	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardement	anger	0.606
blast	ontploffing	anger	0.606
irks	irks	anger	0.606
sickening	walglike	anger	0.606
discrimination	diskriminasie	anger	0.606
antagonistic	antagonistiese	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustreer	anger	0.604
manipulation	manipulasie	anger	0.603
tension	spanning	anger	0.603
insult	belediging	anger	0.603
bigot	kwezelaar	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	kwetsende	anger	0.603
oppression	onderdrukking	anger	0.603
disgust	walging	anger	0.602
spite	ondanks	anger	0.600
intrusive	indringende	anger	0.598
harshness	felheid	anger	0.597
slur	klad	anger	0.596
wretch	ellendeling	anger	0.594
inferno	inferno	anger	0.594
invasion	inval	anger	0.594
puncture	lek	anger	0.594
miserable	miserabel	anger	0.594
assail	aanstorm	anger	0.594
storming	storm	anger	0.594
casualty	ongevalle	anger	0.594
bitterness	bitterheid	anger	0.594
morbidity	morbiditeit	anger	0.594
tempest	storm	anger	0.594
consternation	konsternasie	anger	0.592
depraved	verdorwe	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	skuldig	anger	0.591
immoral	immoreel	anger	0.591
forcibly	geweld	anger	0.591
overpowering	oorweldigend	anger	0.591
accursed	vervloekte	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	weerspannige	anger	0.588
invader	indringer	anger	0.588
scare	bang	anger	0.588
screwed	geskroef	anger	0.588
indignation	verontwaardiging	anger	0.587
jealousy	jaloesie	anger	0.587
vexed	netelige	anger	0.586
confront	konfronteer	anger	0.582
brute	brute	anger	0.581
throttle	smoor	anger	0.579
wreck	wrak	anger	0.578
revolver	rewolwer	anger	0.578
slut	slet	anger	0.578
yousuck	jy suig	anger	0.578
damage	skade	anger	0.578
butcher	slagter	anger	0.578
conflict	konflik	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminaliteit	anger	0.578
bickering	gekibbel	anger	0.578
pillage	roof	anger	0.578
blaze	brand	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	staatsgreep	anger	0.578
contentious	omstrede	anger	0.578
incarceration	opsluiting	anger	0.578
defiant	uitdagend	anger	0.578
provoking	uitdagende	anger	0.578
lash	wimper	anger	0.578
cancer	Kanker	anger	0.577
frustration	frustrasie	anger	0.576
gory	bloedige	anger	0.576
alienation	vervreemding	anger	0.576
discord	onmin	anger	0.576
disturbance	versteuring	anger	0.576
grope	tas	anger	0.576
condescension	genadig	anger	0.576
pernicious	verderflike	anger	0.576
blasphemy	laster	anger	0.576
discriminate	diskrimineer	anger	0.576
chaotic	chaotiese	anger	0.576
gun	geweer	anger	0.576
standoff	nekslag	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	ginnegappen	anger	0.574
lunacy	gekheid	anger	0.574
oppressive	onderdrukkende	anger	0.574
death	dood	anger	0.574
jab	steek	anger	0.574
cursed	vervloek	anger	0.574
scandalous	skandalig	anger	0.574
monstrosity	gedrog	anger	0.574
shit	kak	anger	0.573
disparaging	neerhalende	anger	0.571
slash	streep	anger	0.571
unfair	onregverdige	anger	0.571
gallows	galg	anger	0.570
escalate	eskaleer	anger	0.569
intolerant	onverdraagsaam	anger	0.564
lawlessness	wetteloosheid	anger	0.563
bluddy	bluddy	anger	0.562
perdition	verderf	anger	0.562
taunt	spot	anger	0.562
grouchy	knorrig	anger	0.562
torpedo	torpedo	anger	0.562
deceived	mislei	anger	0.562
slander	laster	anger	0.562
retards	vertraag	anger	0.562
bearish	lomp	anger	0.562
invade	val	anger	0.562
bellows	blaasbalk	anger	0.562
beast	dier	anger	0.562
frightful	vreeslike	anger	0.562
derogatory	neerhalende	anger	0.562
glare	glans	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	vreeslike	anger	0.562
traitor	verraaier	anger	0.562
malign	skadelike	anger	0.562
wrangling	twis	anger	0.562
dissension	verdeeldheid	anger	0.561
banshee	Banshee	anger	0.561
shatter	breek	anger	0.561
conflagration	verwoestende brand	anger	0.561
jeopardize	gevaar	anger	0.561
thief	dief	anger	0.561
rave	rave	anger	0.561
grating	traliewerk	anger	0.561
devastating	verwoestende	anger	0.561
idiots	idiote	anger	0.561
betrayal	verraad	anger	0.561
uncontrollable	onbeheerbare	anger	0.561
fits	pas	anger	0.561
cross	kwaad	anger	0.561
hurt	seer	anger	0.561
disturbed	versteurde	anger	0.559
subjugation	onderwerping	anger	0.559
stomped	gestamp	anger	0.557
grab	gryp	anger	0.557
ticked	afgemerk	anger	0.556
masochism	masochisme	anger	0.556
grievance	grief	anger	0.556
defiance	tarting	anger	0.552
blackmail	afpersing	anger	0.550
offensive	offensief	anger	0.549
decry	afbreek	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	skending	anger	0.547
punishment	straf	anger	0.547
shrill	skril	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	Darkside	anger	0.547
misery	ellende	anger	0.547
frustrates	frustreer	anger	0.547
disgraceful	skande	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	baasspelerig	anger	0.547
disparity	verskil	anger	0.547
confine	beperk	anger	0.547
firearms	vuurwapens	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	belaglik	anger	0.547
rebel	rebel	anger	0.547
deceive	mislei	anger	0.547
stolen	gesteel	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	verhitte	anger	0.545
ruined	verwoes	anger	0.545
menace	bedreiging	anger	0.545
humiliate	verneder	anger	0.545
tackle	pak	anger	0.545
conspirator	samesweerder	anger	0.545
foul	vuil	anger	0.545
antagonist	antagonis	anger	0.545
resentful	gegrief	anger	0.545
prejudice	vooroordeel	anger	0.545
adversary	teenstander	anger	0.545
argument	argument	anger	0.545
skirmish	skermutseling	anger	0.545
callous	gevoellose	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	gekoek	anger	0.544
robbery	roof	anger	0.544
sting	angel	anger	0.544
outcry	verontwaardiging	anger	0.544
grumble	gebrom	anger	0.544
irreconcilable	onversoenbare	anger	0.543
resistance	weerstand	anger	0.543
obstructive	obstruktiewe	anger	0.542
dismay	ontsteltenis	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	sleg	anger	0.536
ridicule	bespotting	anger	0.534
incendiary	brandbomme	anger	0.533
flares	fakkels	anger	0.532
degeneracy	ontaarding	anger	0.531
confinement	bevalling	anger	0.531
exacerbation	verergering	anger	0.531
prejudicial	nadelig	anger	0.531
uprising	opstand	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	roekelose	anger	0.531
unbridled	ongebreidelde	anger	0.531
allegation	bewering	anger	0.531
communism	kommunisme	anger	0.531
whip	sweep	anger	0.531
intruder	indringer	anger	0.531
dispute	geskil	anger	0.531
belittle	verkleineer	anger	0.531
bigoted	bevooroordeelde	anger	0.530
offender	oortreder	anger	0.530
hassle	moeite	anger	0.530
dissonance	onenigheid	anger	0.530
unjust	onregverdige	anger	0.530
dictatorial	diktatoriale	anger	0.530
unjustifiable	onregverdigbare	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversie	anger	0.530
tackled	aangepak	anger	0.530
renegade	afvallige	anger	0.529
hot	warm	anger	0.529
prison	gevangenis	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	oortreding	anger	0.529
suicide	selfmoord	anger	0.521
annoy	irriteer	anger	0.520
leavemealone	los my uit	anger	0.517
idiotic	idiotiese	anger	0.516
distrust	wantroue	anger	0.516
depravity	verdorwenheid	anger	0.516
cretins	cretins	anger	0.516
divorce	egskeiding	anger	0.516
broil	twis	anger	0.516
grrr	grrr	anger	0.516
venting	ventilatievlamdovers	anger	0.516
inimical	skadelik	anger	0.516
duress	dwang	anger	0.516
disrespectful	minagtende	anger	0.516
tortious	onrechtmatig	anger	0.516
criticize	kritiseer	anger	0.516
prisoner	gevangene	anger	0.516
dishonest	oneerlik	anger	0.516
treason	verraad	anger	0.516
victimized	geviktimiseer	anger	0.515
bile	gal	anger	0.515
unkind	onvriendelike	anger	0.515
unforgiving	onversoenlik	anger	0.515
unleash	loslaat	anger	0.515
coercion	dwang	anger	0.515
scold	raas	anger	0.515
chaos	chaos	anger	0.515
grump	Grump	anger	0.515
roar	brul	anger	0.515
jerks	tuig	anger	0.515
poaching	stropery	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	stropers	anger	0.515
argumentation	argumentasie	anger	0.515
frustrating	frustrerende	anger	0.515
tussle	worsteling	anger	0.514
bane	vloek	anger	0.511
accusation	beskuldiging	anger	0.510
repudiation	verwerping	anger	0.510
enmity	vyandskap	anger	0.510
banish	verban	anger	0.509
disfigured	vermink	anger	0.508
storm	storm	anger	0.507
shun	Shun	anger	0.500
suppression	onderdrukking	anger	0.500
unruly	oproerige	anger	0.500
intractable	onregeerbaar	anger	0.500
ordeal	beproewing	anger	0.500
obstruct	belemmer	anger	0.500
derogation	uitsondering	anger	0.500
fervor	ywer	anger	0.500
foaming	skuim	anger	0.500
derision	bespotting	anger	0.500
animus	animus	anger	0.500
rejects	verwerp	anger	0.500
bout	bout	anger	0.500
spear	spies	anger	0.500
crazy	gek	anger	0.500
brazen	kopersee	anger	0.500
antithesis	antitese	anger	0.500
injustice	onreg	anger	0.500
banished	verban	anger	0.500
confined	beperk	anger	0.500
frenzied	oordrewe	anger	0.500
dominate	oorheers	anger	0.500
disrupting	ontwrigtende	anger	0.500
hammering	gehamer	anger	0.500
fear	vrees	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angs	anger	0.500
brunt	skok	anger	0.500
possessed	besit	anger	0.500
defy	daag	anger	0.500
scoff	spot	anger	0.500
patronising	neerbuigend	anger	0.500
delusional	waan	anger	0.500
malpractice	wanpraktyke	anger	0.500
reject	verwerp	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	taaiheid	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	waansin	anger	0.491
sinful	sondige	anger	0.491
avarice	gierigheid	anger	0.490
oppress	onderdruk	anger	0.490
disapproved	afgekeur	anger	0.485
inhuman	onmenslike	anger	0.485
demand	vraag	anger	0.485
abolish	af te skaf	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	klagte	anger	0.485
disservice	slegte	anger	0.485
smuggler	smokkelaar	anger	0.485
revoke	herroep	anger	0.485
infraction	oortreding	anger	0.485
claw	klou	anger	0.485
dissident	dissident	anger	0.485
pervert	verdraai	anger	0.485
incest	bloedskande	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ongehoorsame	anger	0.485
usurp	heers	anger	0.485
alienate	vervreem	anger	0.485
avenger	wraakgierige	anger	0.485
annoyed	vererg	anger	0.485
cutting	sny	anger	0.485
disgrace	skande	anger	0.484
deceit	bedrog	anger	0.484
suspicious	verdagte	anger	0.484
thresh	dors	anger	0.484
sucker	sucker	anger	0.484
strained	gespanne	anger	0.484
blame	blaam	anger	0.484
upheaval	omwenteling	anger	0.484
renounce	verwerp	anger	0.484
obnoxious	onaangenaam	anger	0.484
restrain	toom	anger	0.484
oust	verdryf	anger	0.484
litigious	hofwerk	anger	0.484
rivalry	wedywering	anger	0.484
penalty	straf	anger	0.484
imprisoned	gevange	anger	0.484
mocking	spottende	anger	0.484
opposed	teenstelling	anger	0.484
turbulence	onstuimigheid	anger	0.483
pound	pond	anger	0.481
coldness	koue	anger	0.477
ungrateful	ondankbare	anger	0.472
battalion	bataljon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	gyselaar	anger	0.470
infidel	ongelowige	anger	0.470
ram	ram	anger	0.470
accuser	aanklaer	anger	0.470
gall	gal	anger	0.470
subversion	ondermyning	anger	0.470
annoying	irriterende	anger	0.470
adversity	teenspoed	anger	0.470
dispossessed	verdrywe	anger	0.470
friction	wrywing	anger	0.470
jealous	jaloers	anger	0.470
feudalism	feodalisme	anger	0.470
armament	wapentuig	anger	0.470
thump	doef	anger	0.469
complain	kla	anger	0.469
incite	aanhits	anger	0.469
steal	steel	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	gehoorsaam	anger	0.469
injury	besering	anger	0.469
simmer	prut	anger	0.469
distress	nood	anger	0.469
insanity	waansin	anger	0.469
selfish	selfsugtig	anger	0.469
huff	vlaag van woede	anger	0.469
selfishness	selfsug	anger	0.469
backoff	backoff	anger	0.469
plunder	buit	anger	0.469
stifled	gesmoor	anger	0.469
subversive	ondermynende	anger	0.469
exile	ballingskap	anger	0.469
offense	oortreding	anger	0.469
objection	beswaar	anger	0.469
recidivism	herhaling	anger	0.469
smother	versmoor	anger	0.469
perpetrator	oortreder	anger	0.469
dislike	afkeer	anger	0.469
disruption	ontwrigting	anger	0.469
intolerance	onverdraagsaamheid	anger	0.469
opposition	opposisie	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	beker	anger	0.467
agony	foltering	anger	0.465
arrogant	arrogant	anger	0.461
sux	sux	anger	0.456
vent	vent	anger	0.456
elimination	uitskakeling	anger	0.456
