word	Macedonian-mk	emotion	emotion-intensity-score
retaliatory	одмазднички	anger	0.788
riot	немири	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	викање	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	ѓаволски	anger	0.788
manslaughter	убиство без насилство	anger	0.783
clash	судир	anger	0.783
bloody	крвав	anger	0.781
hellish	пеколен	anger	0.781
loath	омраза	anger	0.781
detonation	детонација	anger	0.781
quarrel	караница	anger	0.781
sinister	злобна	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	обвинувајќи	anger	0.779
treacherous	предавничка	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	одмазди	anger	0.773
revulsion	одвратност	anger	0.773
madder	Мадер	anger	0.773
horrific	ужасно	anger	0.773
scorn	презир	anger	0.769
deplorable	непристоен	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархист	anger	0.765
devastation	уништување	anger	0.765
resent	навредува	anger	0.765
firestorm	огнена бура	anger	0.765
contemptible	презир	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	сурово	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	смртоносна	anger	0.758
smash	пресече	anger	0.758
rant	проповед	anger	0.758
outburst	излив	anger	0.757
snarl	огорчено	anger	0.754
profane	профана	anger	0.750
offend	навреди	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	вулгарност	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	избрзани	anger	0.750
despise	презираат	anger	0.750
horror	хорор	anger	0.750
aggravating	отежнувачки	anger	0.750
revolting	револт	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	закана	anger	0.742
erupt	еруптира	anger	0.742
screaming	вреска	anger	0.742
violence	насилство	anger	0.742
horrible	ужасно	anger	0.742
molestation	малтретирање	anger	0.742
bastards	копилиња	anger	0.741
revenge	одмазда	anger	0.738
catastrophe	катастрофа	anger	0.735
menacing	заканувачки	anger	0.735
demon	демонот	anger	0.735
crushing	дробење	anger	0.735
damn	проклето	anger	0.735
persecute	прогони	anger	0.734
argue	тврдат	anger	0.734
flog	каламбур	anger	0.734
revolt	револт	anger	0.734
thrash	ѓубре	anger	0.734
deplore	огорчавам	anger	0.734
warfare	војување	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	жестоко	anger	0.734
riotous	немири	anger	0.734
altercation	раздразнување	anger	0.729
warlike	воинствен	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	бунт	anger	0.727
castrate	кастрат	anger	0.727
sabotage	саботажа	anger	0.727
malevolent	злонамерни	anger	0.721
strike	штрајк	anger	0.721
disaster	катастрофа	anger	0.721
disastrous	катастрофално	anger	0.720
tumult	метеж	anger	0.719
madden	луд	anger	0.719
devil	ѓавол	anger	0.719
scream	крик	anger	0.719
brutal	брутално	anger	0.719
treachery	предавство	anger	0.719
scorching	врел	anger	0.719
vermin	штетници	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	коњиш	anger	0.719
aggravates	влошува	anger	0.719
spiteful	зајадлив	anger	0.719
slay	убие	anger	0.719
disdain	презир	anger	0.719
choke	задави	anger	0.719
bastarding	копилење	anger	0.719
mangle	магли	anger	0.714
anarchism	анархизам	anger	0.714
mutilation	осакатување	anger	0.714
criminal	криминалец	anger	0.714
denunciation	откажување	anger	0.713
punch	удар	anger	0.713
crucifixion	распнување	anger	0.712
virulence	вирулентност	anger	0.712
battled	се бореше	anger	0.712
fatal	фатално	anger	0.712
holocaust	холокауст	anger	0.712
blasphemous	богохулен	anger	0.712
hurting	боли	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	пореметени	anger	0.706
atrocious	крволочен	anger	0.706
evil	зло	anger	0.706
irritated	иритирана	anger	0.706
assassin	атентатор	anger	0.703
dicks	клинци	anger	0.703
persecution	прогон	anger	0.703
slayer	убиец	anger	0.703
kidnap	киднапирање	anger	0.703
scolding	прекршување	anger	0.703
intimidation	заплашување	anger	0.703
aggravated	отежнат	anger	0.703
aggression	агресија	anger	0.702
armed	вооружени	anger	0.700
poison	отров	anger	0.697
snarling	рбет	anger	0.697
venom	отров	anger	0.697
battle	битка	anger	0.697
disgruntled	незадоволни	anger	0.693
insidious	подмолно	anger	0.691
assailant	напаѓач	anger	0.691
resentment	незадоволство	anger	0.691
lynch	Линч	anger	0.690
contemptuous	презир	anger	0.690
temper	темперамент	anger	0.688
imprisonment	затвор	anger	0.688
disparage	омаловажување	anger	0.688
bully	силеџија	anger	0.688
terrible	страшно	anger	0.688
lunatic	лудак	anger	0.688
curse	проклетство	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	пее	anger	0.688
domination	доминација	anger	0.688
mad	луд	anger	0.688
infanticide	инфантицид	anger	0.688
volatility	нестабилност	anger	0.687
eradication	искоренување	anger	0.685
tantrum	луто	anger	0.682
devastate	уништи	anger	0.682
eradicate	искоренување	anger	0.682
scoundrel	измамник	anger	0.682
aggressively	агресивно	anger	0.680
agitation	агитација	anger	0.680
dictatorship	диктатура	anger	0.676
irritates	иритира	anger	0.676
profanity	вулгарност	anger	0.673
egregious	исклучително	anger	0.672
expletive	појасна	anger	0.672
nasty	гаден	anger	0.672
shove	бутам	anger	0.672
shot	shot	anger	0.672
harmful	штетно	anger	0.672
aggravation	влошување	anger	0.672
contempt	презир	anger	0.672
poisonous	отровен	anger	0.672
dastardly	лошо	anger	0.672
shoot	пука	anger	0.672
corrupting	корумпиран	anger	0.672
condemnation	осуда	anger	0.672
wreak	изливам	anger	0.672
crushed	смачкана	anger	0.672
cruelly	сурово	anger	0.672
crime	криминал	anger	0.672
maniac	манијак	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ерупција	anger	0.667
odious	омразен	anger	0.667
shooting	снимање	anger	0.667
kick	удар	anger	0.667
aggressive	агресивен	anger	0.667
combat	борба	anger	0.667
shout	викај	anger	0.667
hit	удри	anger	0.667
fight	борба	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	непријател	anger	0.667
irritable	нервозни	anger	0.667
punished	казнет	anger	0.662
ambush	заседа	anger	0.661
yell	викај	anger	0.661
harass	малтретирање	anger	0.659
malignant	малигни	anger	0.656
aggressor	агресор	anger	0.656
antichrist	антихрист	anger	0.656
gore	гор	anger	0.656
incense	темјан	anger	0.656
expel	избркај	anger	0.656
destruction	уништување	anger	0.656
grudge	злоба	anger	0.656
cranky	чудно	anger	0.653
offended	навреден	anger	0.652
spank	плескам	anger	0.652
growl	режеш	anger	0.652
insurrection	востание	anger	0.652
reprisal	одмазда	anger	0.652
slave	роб	anger	0.652
denounce	се откаже	anger	0.652
animosity	непријателство	anger	0.652
insulting	навреда	anger	0.652
clashing	судир	anger	0.652
growls	ржи	anger	0.649
executioner	џелард	anger	0.644
twat	twat	anger	0.644
doomsday	судниот ден	anger	0.643
daemon	демон	anger	0.641
obscenity	непристојност	anger	0.641
bombard	бомбардирам	anger	0.641
spat	плукаат	anger	0.641
havoc	хаос	anger	0.641
feud	караница	anger	0.641
grr	grr	anger	0.641
arson	подметнување пожар	anger	0.641
reprimand	опомена	anger	0.641
expulsion	протерување	anger	0.641
inexcusable	неоправдано	anger	0.641
accused	обвинети	anger	0.641
indignant	огорчен	anger	0.641
shackle	кал	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	рана	anger	0.636
suicidal	самоубиство	anger	0.636
poisoned	отруен	anger	0.636
batter	тесто	anger	0.636
kicking	удирање	anger	0.636
hanging	виси	anger	0.636
spanking	тепање	anger	0.636
disgusting	одвратно	anger	0.636
combatant	борбен	anger	0.636
frustrated	фрустрирани	anger	0.636
anarchy	анархија	anger	0.636
glaring	блескав	anger	0.636
inflict	нанесете	anger	0.633
wrecked	уништен	anger	0.633
grievous	тешки	anger	0.632
prosecute	гонење	anger	0.630
agitated	вознемирен	anger	0.630
cheat	измамник	anger	0.630
swastika	свастика	anger	0.627
defamatory	клеветнички	anger	0.625
suffocation	задушување	anger	0.625
strife	расправии	anger	0.625
provocation	провокација	anger	0.625
injure	повредите	anger	0.625
harassing	вознемирувачки	anger	0.625
scourge	зло	anger	0.625
cursing	пцуејќи	anger	0.625
betray	предавам	anger	0.625
indict	обвинение	anger	0.625
raid	рација	anger	0.625
thundering	гром	anger	0.625
enslaved	поробена	anger	0.625
arsehole	arsehole	anger	0.624
insane	лудо	anger	0.621
fiend	тежок	anger	0.621
irritate	иритирај	anger	0.621
convict	осуденик	anger	0.621
jerk	непредвидлив	anger	0.621
theft	кражба	anger	0.621
retaliation	одмазда	anger	0.621
deprivation	лишување	anger	0.621
cussed	cussed	anger	0.619
turmoil	превирања	anger	0.618
smack	мирис	anger	0.615
retribution	одмазда	anger	0.614
twats	twats	anger	0.609
intolerable	неподносливо	anger	0.609
rebellion	бунт	anger	0.609
injurious	штетни	anger	0.609
oppressor	угнетувач	anger	0.609
slavery	ропство	anger	0.609
irritability	раздразливост	anger	0.609
collision	судир	anger	0.609
bitterly	горко	anger	0.609
gang	банда	anger	0.609
antagonism	антагонизам	anger	0.609
battery	батерија	anger	0.609
adverse	негативни	anger	0.609
disgraced	посрамен	anger	0.608
irritating	иритирачки	anger	0.606
revolution	револуција	anger	0.606
thug	криминалец	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	бомбардирање	anger	0.606
blast	експлозија	anger	0.606
irks	irks	anger	0.606
sickening	болен	anger	0.606
discrimination	дискриминација	anger	0.606
antagonistic	антагонистички	anger	0.606
ranting	Вртење	anger	0.606
asshole	кретену	anger	0.606
frustrate	фрустрираат	anger	0.604
manipulation	манипулација	anger	0.603
tension	тензија	anger	0.603
insult	навреда	anger	0.603
bigot	фанатик	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	штетен	anger	0.603
oppression	угнетување	anger	0.603
disgust	одвратност	anger	0.602
spite	инает	anger	0.600
intrusive	наметлива	anger	0.598
harshness	грубост	anger	0.597
slur	slur	anger	0.596
wretch	беден	anger	0.594
inferno	пекол	anger	0.594
invasion	инвазија	anger	0.594
puncture	пункција	anger	0.594
miserable	мизерни	anger	0.594
assail	нападам	anger	0.594
storming	невреме	anger	0.594
casualty	жртва	anger	0.594
bitterness	горчина	anger	0.594
morbidity	морбидитет	anger	0.594
tempest	бура	anger	0.594
consternation	вчудоневиденост	anger	0.592
depraved	расипани	anger	0.591
raving	бесно	anger	0.591
guillotine	гилотина	anger	0.591
guilty	виновен	anger	0.591
immoral	неморално	anger	0.591
forcibly	насилно	anger	0.591
overpowering	надмоќна	anger	0.591
accursed	проклети	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	непослушен	anger	0.588
invader	напаѓач	anger	0.588
scare	плашиш	anger	0.588
screwed	зезнав	anger	0.588
indignation	индигнација	anger	0.587
jealousy	љубомора	anger	0.587
vexed	тежок	anger	0.586
confront	се соочи	anger	0.582
brute	брутален	anger	0.581
throttle	гас	anger	0.579
wreck	руина	anger	0.578
revolver	револвер	anger	0.578
slut	курва	anger	0.578
yousuck	за нигде си	anger	0.578
damage	штета	anger	0.578
butcher	Месар	anger	0.578
conflict	конфликт	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	криминал	anger	0.578
bickering	расправии	anger	0.578
pillage	грабеж	anger	0.578
blaze	пожар	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	државен удар	anger	0.578
contentious	спорно	anger	0.578
incarceration	затворање	anger	0.578
defiant	пркосен	anger	0.578
provoking	предизвикувајќи	anger	0.578
lash	камшик	anger	0.578
cancer	рак	anger	0.577
frustration	фрустрација	anger	0.576
gory	Крвав	anger	0.576
alienation	отуѓување	anger	0.576
discord	раздор	anger	0.576
disturbance	нарушување	anger	0.576
grope	грозје	anger	0.576
condescension	понижување	anger	0.576
pernicious	пернициозен	anger	0.576
blasphemy	богохулство	anger	0.576
discriminate	дискриминираат	anger	0.576
chaotic	хаотичен	anger	0.576
gun	пиштол	anger	0.576
standoff	ќор-сокак	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	потсмев	anger	0.574
lunacy	лудило	anger	0.574
oppressive	угнетувачки	anger	0.574
death	смрт	anger	0.574
jab	удар	anger	0.574
cursed	проколнати	anger	0.574
scandalous	скандалозно	anger	0.574
monstrosity	монструозност	anger	0.574
shit	срање	anger	0.573
disparaging	омаловажувачки	anger	0.571
slash	коса црта	anger	0.571
unfair	нефер	anger	0.571
gallows	бесилка	anger	0.570
escalate	ескалира	anger	0.569
intolerant	нетолерантен	anger	0.564
lawlessness	беззаконие	anger	0.563
bluddy	bluddy	anger	0.562
perdition	погибел	anger	0.562
taunt	потсмев	anger	0.562
grouchy	груб	anger	0.562
torpedo	торпедо	anger	0.562
deceived	измамени	anger	0.562
slander	клевета	anger	0.562
retards	ретардира	anger	0.562
bearish	мечешки	anger	0.562
invade	нападне	anger	0.562
bellows	охладители	anger	0.562
beast	ѕвер	anger	0.562
frightful	страшно	anger	0.562
derogatory	навредлив	anger	0.562
glare	сјајот	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	страшна	anger	0.562
traitor	предавник	anger	0.562
malign	малигни	anger	0.562
wrangling	расправии	anger	0.562
dissension	раздор	anger	0.561
banshee	banshee	anger	0.561
shatter	распарчи	anger	0.561
conflagration	пожар	anger	0.561
jeopardize	загрози	anger	0.561
thief	крадец	anger	0.561
rave	рејвинг	anger	0.561
grating	хелиум	anger	0.561
devastating	катастрофални	anger	0.561
idiots	идиоти	anger	0.561
betrayal	предавство	anger	0.561
uncontrollable	неконтролирано	anger	0.561
fits	се вклопува	anger	0.561
cross	крстот	anger	0.561
hurt	боли	anger	0.561
disturbed	вознемирени	anger	0.559
subjugation	потчинување	anger	0.559
stomped	цврсто	anger	0.557
grab	грабне	anger	0.557
ticked	означени	anger	0.556
masochism	мазохизам	anger	0.556
grievance	поплака	anger	0.556
defiance	пркос	anger	0.552
blackmail	уцена	anger	0.550
offensive	офанзива	anger	0.549
decry	дери	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	повреда	anger	0.547
punishment	казна	anger	0.547
shrill	писклив	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	темна страна	anger	0.547
misery	мизерија	anger	0.547
frustrates	фрустрира	anger	0.547
disgraceful	срамно	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	арогантен	anger	0.547
disparity	диспаритет	anger	0.547
confine	ограничи	anger	0.547
firearms	огнено оружје	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	безобразен	anger	0.547
rebel	бунтовник	anger	0.547
deceive	измами	anger	0.547
stolen	украден	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	навивач	anger	0.545
heated	загрева	anger	0.545
ruined	руиниран	anger	0.545
menace	закана	anger	0.545
humiliate	понижувај	anger	0.545
tackle	се справи	anger	0.545
conspirator	конспиратор	anger	0.545
foul	фаул	anger	0.545
antagonist	антагонист	anger	0.545
resentful	огорчен	anger	0.545
prejudice	предрасуда	anger	0.545
adversary	противник	anger	0.545
argument	аргумент	anger	0.545
skirmish	престрелка	anger	0.545
callous	бездушен	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	заплеткано	anger	0.544
robbery	кражба	anger	0.544
sting	Стинг	anger	0.544
outcry	негодување	anger	0.544
grumble	поплака	anger	0.544
irreconcilable	непомирлив	anger	0.543
resistance	отпор	anger	0.543
obstructive	опструктивна	anger	0.542
dismay	разочарување	anger	0.540
mob	моб	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	лошо	anger	0.536
ridicule	потсмев	anger	0.534
incendiary	запален	anger	0.533
flares	ракети	anger	0.532
degeneracy	дегенерација	anger	0.531
confinement	затвор	anger	0.531
exacerbation	егзацербација	anger	0.531
prejudicial	предрасуди	anger	0.531
uprising	востание	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	невнимателен	anger	0.531
unbridled	неограничен	anger	0.531
allegation	тврдење	anger	0.531
communism	комунизмот	anger	0.531
whip	камшик	anger	0.531
intruder	натрапник	anger	0.531
dispute	спор	anger	0.531
belittle	омаловажувај	anger	0.531
bigoted	фатално	anger	0.530
offender	сторителот	anger	0.530
hassle	кавга	anger	0.530
dissonance	дисонанца	anger	0.530
unjust	неправеден	anger	0.530
dictatorial	диктаторски	anger	0.530
unjustifiable	неоправдано	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	перверзија	anger	0.530
tackled	решени	anger	0.530
renegade	отпадник	anger	0.529
hot	топло	anger	0.529
prison	затвор	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	злосторство	anger	0.529
suicide	самоубиство	anger	0.521
annoy	нервирај	anger	0.520
leavemealone	остави ме на мира	anger	0.517
idiotic	идиотски	anger	0.516
distrust	недоверба	anger	0.516
depravity	изопаченост	anger	0.516
cretins	кретени	anger	0.516
divorce	развод	anger	0.516
broil	петел	anger	0.516
grrr	grrr	anger	0.516
venting	вентилација	anger	0.516
inimical	неповреден	anger	0.516
duress	принуда	anger	0.516
disrespectful	непочитување	anger	0.516
tortious	тивко	anger	0.516
criticize	критикуваат	anger	0.516
prisoner	затвореник	anger	0.516
dishonest	нечесен	anger	0.516
treason	предавство	anger	0.516
victimized	жртва	anger	0.515
bile	жолчка	anger	0.515
unkind	нељубезен	anger	0.515
unforgiving	Непростлив	anger	0.515
unleash	ослободете се	anger	0.515
coercion	принуда	anger	0.515
scold	караница	anger	0.515
chaos	хаос	anger	0.515
grump	грмушки	anger	0.515
roar	рикање	anger	0.515
jerks	грчи	anger	0.515
poaching	ловење	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	ловокрадците	anger	0.515
argumentation	аргументација	anger	0.515
frustrating	фрустрирачки	anger	0.515
tussle	битка	anger	0.514
bane	бен	anger	0.511
accusation	обвинение	anger	0.510
repudiation	отфрлање	anger	0.510
enmity	непријателство	anger	0.510
banish	прогони	anger	0.509
disfigured	изобличено	anger	0.508
storm	бура	anger	0.507
shun	избегнувај	anger	0.500
suppression	потиснување	anger	0.500
unruly	непослушен	anger	0.500
intractable	неподнослива	anger	0.500
ordeal	тешко искушение	anger	0.500
obstruct	опструирај	anger	0.500
derogation	дерогација	anger	0.500
fervor	страст	anger	0.500
foaming	пенење	anger	0.500
derision	потсмев	anger	0.500
animus	анимус	anger	0.500
rejects	отфрла	anger	0.500
bout	рунда	anger	0.500
spear	копје	anger	0.500
crazy	луд	anger	0.500
brazen	безобразен	anger	0.500
antithesis	антитеза	anger	0.500
injustice	неправда	anger	0.500
banished	протерани	anger	0.500
confined	ограничени	anger	0.500
frenzied	жестоки	anger	0.500
dominate	доминираат	anger	0.500
disrupting	попречување	anger	0.500
hammering	ковале	anger	0.500
fear	страв	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	болка	anger	0.500
brunt	тежок товар	anger	0.500
possessed	поседува	anger	0.500
defy	пркосат	anger	0.500
scoff	потсмев	anger	0.500
patronising	покровител	anger	0.500
delusional	делумно	anger	0.500
malpractice	небрежност	anger	0.500
reject	отфрли	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	цврстина	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	лудило	anger	0.491
sinful	грешен	anger	0.491
avarice	страст	anger	0.490
oppress	угнетување	anger	0.490
disapproved	неодобрени	anger	0.485
inhuman	нечовечно	anger	0.485
demand	побарувачка	anger	0.485
abolish	укинување	anger	0.485
anathema	анатема	anger	0.485
fricking	fricking	anger	0.485
complaint	жалба	anger	0.485
disservice	лоша услуга	anger	0.485
smuggler	шверцер	anger	0.485
revoke	одземе	anger	0.485
infraction	прекршок	anger	0.485
claw	ноктот	anger	0.485
dissident	дисидент	anger	0.485
pervert	Перверзен	anger	0.485
incest	инцест	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	непослушен	anger	0.485
usurp	usurp	anger	0.485
alienate	отуѓи	anger	0.485
avenger	Одмазднички	anger	0.485
annoyed	вознемирен	anger	0.485
cutting	сечење	anger	0.485
disgrace	срам	anger	0.484
deceit	измама	anger	0.484
suspicious	сомнителен	anger	0.484
thresh	thresh	anger	0.484
sucker	морон	anger	0.484
strained	затегнати	anger	0.484
blame	Вина	anger	0.484
upheaval	пресврт	anger	0.484
renounce	се откажат	anger	0.484
obnoxious	ништожно	anger	0.484
restrain	воздржи	anger	0.484
oust	исфрли	anger	0.484
litigious	парничен	anger	0.484
rivalry	ривалство	anger	0.484
penalty	казна	anger	0.484
imprisoned	затворен	anger	0.484
mocking	потсмевање	anger	0.484
opposed	наспроти	anger	0.484
turbulence	турбуленција	anger	0.483
pound	фунта	anger	0.481
coldness	студенило	anger	0.477
ungrateful	неблагодарна	anger	0.472
battalion	баталјон	anger	0.471
stoopid	стоплоден	anger	0.471
hostage	заложник	anger	0.470
infidel	неверник	anger	0.470
ram	овен	anger	0.470
accuser	обвинител	anger	0.470
gall	жолчка	anger	0.470
subversion	субверзија	anger	0.470
annoying	досадни	anger	0.470
adversity	катастрофа	anger	0.470
dispossessed	отфрлен	anger	0.470
friction	триење	anger	0.470
jealous	љубоморен	anger	0.470
feudalism	феудализмот	anger	0.470
armament	вооружување	anger	0.470
thump	удар	anger	0.469
complain	се жалат	anger	0.469
incite	поттикнување	anger	0.469
steal	крадат	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	непослушни	anger	0.469
injury	повреда	anger	0.469
simmer	врие	anger	0.469
distress	вознемиреност	anger	0.469
insanity	лудило	anger	0.469
selfish	себични	anger	0.469
huff	тежок	anger	0.469
selfishness	себичност	anger	0.469
backoff	отстапи	anger	0.469
plunder	грабеж	anger	0.469
stifled	задушено	anger	0.469
subversive	субверзивен	anger	0.469
exile	егзил	anger	0.469
offense	прекршок	anger	0.469
objection	приговор	anger	0.469
recidivism	рецидивизам	anger	0.469
smother	задуши	anger	0.469
perpetrator	сторител	anger	0.469
dislike	не им се допаѓаат	anger	0.469
disruption	нарушување	anger	0.469
intolerance	нетолеранција	anger	0.469
opposition	опозиција	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	кригла	anger	0.467
agony	агонија	anger	0.465
arrogant	арогантен	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	пропустливи	anger	0.456
elimination	елиминација	anger	0.456
picketing	пикетирање	anger	0.456
haughty	шокантен	anger	0.456
troublesome	проблематично	anger	0.455
clamor	врева	anger	0.455
busted	разби	anger	0.455
constraint	ограничување	anger	0.455
crabby	crabby	anger	0.455
veto	вето	anger	0.455
stubbed	потиснати	anger	0.455
mislead	заблуда	anger	0.455
illicit	незаконски	anger	0.455
dying	умирање	anger	0.455
grated	рендан	anger	0.455
idiocy	идиотизам	anger	0.455
illegality	незаконитост	anger	0.455
flagrant	флагрантно	anger	0.455
