word	Swedish-sv	emotion	emotion-intensity-score
hateeee	NO TRANSLATION	anger	0.779
retaliate	hämnas	anger	0.773
revulsion	motvilja	anger	0.773
madder	galnare	anger	0.773
horrific	fruktansvärda	anger	0.773
scorn	förakt	anger	0.769
deplorable	beklaglig	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarkist	anger	0.765
devastation	förödelse	anger	0.765
resent	harmas över	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	föraktlig	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	grym	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	dödligt	anger	0.758
smash	smash	anger	0.758
rant	utläggning	anger	0.758
outburst	utbrott	anger	0.757
snarl	morra	anger	0.754
profane	vanhelga	anger	0.750
offend	förolämpa	anger	0.750
douchebags	douchebags	anger	0.750
growling	morrande	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaritet	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	förvirrade	anger	0.750
despise	förakta	anger	0.750
horror	Skräck	anger	0.750
aggravating	försvårande	anger	0.750
revolting	upprörande	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	hot	anger	0.742
erupt	få ett utbrott	anger	0.742
screaming	skrikande	anger	0.742
violence	våld	anger	0.742
horrible	fruktansvärd	anger	0.742
molestation	ofredande	anger	0.742
bastards	jävlarna	anger	0.741
revenge	hämnd	anger	0.738
catastrophe	katastrof	anger	0.735
menacing	hotfulla	anger	0.735
demon	demon	anger	0.735
crushing	förkrossande	anger	0.735
damn	attans	anger	0.735
persecute	förfölja	anger	0.734
argue	argumentera	anger	0.734
flog	prygla	anger	0.734
revolt	revolt	anger	0.734
thrash	tröska	anger	0.734
deplore	djupt beklaga	anger	0.734
warfare	krigföring	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	häftig	anger	0.734
riotous	utsvävande	anger	0.734
altercation	gräl	anger	0.729
warlike	krigisk	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	myteri	anger	0.727
castrate	kastrera	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	illvillig	anger	0.721
strike	strejk	anger	0.721
disaster	katastrof	anger	0.721
disastrous	katastrofal	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	jäkel	anger	0.719
scream	skrika	anger	0.719
brutal	Brutal	anger	0.719
treachery	förräderi	anger	0.719
scorching	brännhet	anger	0.719
vermin	skadedjur	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	hästskit	anger	0.719
aggravates	förvärrar	anger	0.719
spiteful	hätsk	anger	0.719
slay	dräpa	anger	0.719
disdain	förakt	anger	0.719
choke	sätta i halsen	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarkism	anger	0.714
mutilation	stympning	anger	0.714
criminal	kriminell	anger	0.714
denunciation	uppsägning	anger	0.713
punch	stansa	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	virulens	anger	0.712
battled	kämpat	anger	0.712
fatal	dödlig	anger	0.712
holocaust	förintelse	anger	0.712
blasphemous	hädisk	anger	0.712
hurting	skada	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	rubbad	anger	0.706
atrocious	avskyvärda	anger	0.706
evil	ondska	anger	0.706
irritated	irriterad	anger	0.706
assassin	mördare	anger	0.703
dicks	dicks	anger	0.703
persecution	förföljelse	anger	0.703
slayer	baneman	anger	0.703
kidnap	kidnappa	anger	0.703
scolding	utskällning	anger	0.703
intimidation	skrämsel	anger	0.703
aggravated	förvärras	anger	0.703
aggression	aggression	anger	0.702
armed	väpnad	anger	0.700
poison	förgifta	anger	0.697
snarling	morr	anger	0.697
venom	gift	anger	0.697
battle	slåss	anger	0.697
disgruntled	missnöjd	anger	0.693
insidious	smygande	anger	0.691
assailant	angripare	anger	0.691
resentment	förbittring	anger	0.691
lynch	lyncha	anger	0.690
contemptuous	förakt	anger	0.690
temper	humör	anger	0.688
imprisonment	fängelse	anger	0.688
disparage	nedvärdera	anger	0.688
bully	översittare	anger	0.688
terrible	fruktansvärd	anger	0.688
lunatic	galning	anger	0.688
curse	förbanna	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	herravälde	anger	0.688
mad	galen	anger	0.688
infanticide	barnamord	anger	0.688
volatility	flyktighet	anger	0.687
eradication	utrotning	anger	0.685
tantrum	raserianfall	anger	0.682
devastate	ödelägga	anger	0.682
eradicate	utrota	anger	0.682
scoundrel	skurk	anger	0.682
aggressively	aggressivt	anger	0.680
agitation	agitation	anger	0.680
dictatorship	diktatur	anger	0.676
irritates	irriterar	anger	0.676
profanity	hädelser	anger	0.673
egregious	oerhörd	anger	0.672
expletive	svordom	anger	0.672
nasty	otäck	anger	0.672
shove	knuff	anger	0.672
shot	skott	anger	0.672
harmful	skadlig	anger	0.672
aggravation	förvärrande	anger	0.672
contempt	förakt	anger	0.672
poisonous	giftig	anger	0.672
dastardly	usel	anger	0.672
shoot	skjuta	anger	0.672
corrupting	korrumperande	anger	0.672
condemnation	fördömelse	anger	0.672
wreak	utlösa	anger	0.672
crushed	krossad	anger	0.672
cruelly	grymt	anger	0.672
crime	brottslighet	anger	0.672
maniac	galning	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	utbrott	anger	0.667
odious	motbjudande	anger	0.667
shooting	skytte	anger	0.667
kick	sparka	anger	0.667
aggressive	aggressiv	anger	0.667
combat	bekämpa	anger	0.667
shout	skrika	anger	0.667
hit	träffa	anger	0.667
fight	bekämpa	anger	0.667
cutthroat	mördande	anger	0.667
enemy	fiende	anger	0.667
irritable	irritabel	anger	0.667
punished	straffad	anger	0.662
ambush	bakhåll	anger	0.661
yell	skrik	anger	0.661
harass	plåga	anger	0.659
malignant	malign	anger	0.656
aggressor	angripare	anger	0.656
antichrist	antikrist	anger	0.656
gore	levrat blod	anger	0.656
incense	rökelse	anger	0.656
expel	utvisa	anger	0.656
destruction	förstörelse	anger	0.656
grudge	agg	anger	0.656
cranky	cranky	anger	0.653
offended	stött	anger	0.652
spank	daska	anger	0.652
growl	morra	anger	0.652
insurrection	uppror	anger	0.652
reprisal	vedergällning	anger	0.652
slave	slav	anger	0.652
denounce	fördöma	anger	0.652
animosity	fientlighet	anger	0.652
insulting	kränkande	anger	0.652
clashing	kolliderar	anger	0.652
growls	morr	anger	0.649
executioner	bödel	anger	0.644
twat	fitta	anger	0.644
doomsday	domedag	anger	0.643
daemon	demon	anger	0.641
obscenity	obscenitet	anger	0.641
bombard	bombardera	anger	0.641
spat	spottade	anger	0.641
havoc	kaos	anger	0.641
feud	fejd	anger	0.641
grr	grr	anger	0.641
arson	anlagd brand	anger	0.641
reprimand	tillrättavisning	anger	0.641
expulsion	uteslutning	anger	0.641
inexcusable	oursäktlig	anger	0.641
accused	den anklagade	anger	0.641
indignant	indignerad	anger	0.641
shackle	schackel	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	sår	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	förgiftad	anger	0.636
batter	smet	anger	0.636
kicking	sparkar	anger	0.636
hanging	hängande	anger	0.636
spanking	dask	anger	0.636
disgusting	äcklig	anger	0.636
combatant	stridande	anger	0.636
frustrated	frustrerad	anger	0.636
anarchy	anarki	anger	0.636
glaring	bländande	anger	0.636
inflict	vålla	anger	0.633
wrecked	havere	anger	0.633
grievous	svår	anger	0.632
prosecute	åtala	anger	0.630
agitated	agiterad	anger	0.630
cheat	fuska	anger	0.630
swastika	hakkors	anger	0.627
defamatory	ärekränkande	anger	0.625
suffocation	kvävning	anger	0.625
strife	kiv	anger	0.625
provocation	provokation	anger	0.625
injure	skada	anger	0.625
harassing	trakasserande	anger	0.625
scourge	gissel	anger	0.625
cursing	skälla	anger	0.625
betray	förråda	anger	0.625
indict	åtala	anger	0.625
raid	räd	anger	0.625
thundering	dundrande	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	arsehole	anger	0.624
insane	sinnessjuk	anger	0.621
fiend	djävul	anger	0.621
irritate	irritera	anger	0.621
convict	fånge	anger	0.621
jerk	rycka	anger	0.621
theft	stöld	anger	0.621
retaliation	hämnd	anger	0.621
deprivation	berövande	anger	0.621
cussed	cussed	anger	0.619
turmoil	kaos	anger	0.618
smack	smack	anger	0.615
retribution	vedergällning	anger	0.614
twats	twats	anger	0.609
intolerable	outhärdlig	anger	0.609
rebellion	uppror	anger	0.609
injurious	skadlig	anger	0.609
oppressor	förtryckare	anger	0.609
slavery	slaveri	anger	0.609
irritability	irritabilitet	anger	0.609
collision	kollision	anger	0.609
bitterly	bittert	anger	0.609
gang	gäng	anger	0.609
antagonism	antagonism	anger	0.609
battery	batteri	anger	0.609
adverse	ogynnsam	anger	0.609
disgraced	disgraced	anger	0.608
irritating	irriterande	anger	0.606
revolution	rotation	anger	0.606
thug	gangster	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardemang	anger	0.606
blast	kul	anger	0.606
irks	irriterar	anger	0.606
sickening	kväljande	anger	0.606
discrimination	diskriminering	anger	0.606
antagonistic	antagonistisk	anger	0.606
ranting	ranting	anger	0.606
asshole	idiot	anger	0.606
frustrate	omintetgöra	anger	0.604
manipulation	manipulation	anger	0.603
tension	spänning	anger	0.603
insult	förolämpning	anger	0.603
bigot	trångsynt	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	sårande	anger	0.603
oppression	förtryck	anger	0.603
disgust	avsky	anger	0.602
spite	trots	anger	0.600
intrusive	påträngande	anger	0.598
harshness	hårdhet	anger	0.597
slur	sluddra	anger	0.596
wretch	usling	anger	0.594
inferno	inferno	anger	0.594
invasion	invasion	anger	0.594
puncture	punktera	anger	0.594
miserable	eländig	anger	0.594
assail	angripa	anger	0.594
storming	storming	anger	0.594
casualty	skadade	anger	0.594
bitterness	bitterhet	anger	0.594
morbidity	sjuklighet	anger	0.594
tempest	storm	anger	0.594
consternation	bestörtning	anger	0.592
depraved	depraverad	anger	0.591
raving	yra	anger	0.591
guillotine	giljotin	anger	0.591
guilty	skyldig	anger	0.591
immoral	omoralisk	anger	0.591
forcibly	med våld	anger	0.591
overpowering	dominera över	anger	0.591
accursed	förbannad	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	motsträvig	anger	0.588
invader	inkräktare	anger	0.588
scare	skrämma	anger	0.588
screwed	skruvad	anger	0.588
indignation	indignation	anger	0.587
jealousy	svartsjuka	anger	0.587
vexed	förargad	anger	0.586
confront	konfrontera	anger	0.582
brute	djurisk	anger	0.581
throttle	strypa	anger	0.579
wreck	förstöra	anger	0.578
revolver	revolver	anger	0.578
slut	slampa	anger	0.578
yousuck	du suger	anger	0.578
damage	skada	anger	0.578
butcher	slaktare	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	brottslighet	anger	0.578
bickering	gnabb	anger	0.578
pillage	plundring	anger	0.578
blaze	bläs	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kupp	anger	0.578
contentious	omtvistad	anger	0.578
incarceration	fängslande	anger	0.578
defiant	trotsig	anger	0.578
provoking	provocera	anger	0.578
lash	surra	anger	0.578
cancer	cancer	anger	0.577
frustration	frustration	anger	0.576
gory	blodig	anger	0.576
alienation	alienation	anger	0.576
discord	disharmoni	anger	0.576
disturbance	störning	anger	0.576
grope	famla	anger	0.576
condescension	nedlåtenhet	anger	0.576
pernicious	skadlig	anger	0.576
blasphemy	hädelse	anger	0.576
discriminate	diskriminera	anger	0.576
chaotic	kaotisk	anger	0.576
gun	pistol	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	håna	anger	0.574
lunacy	vansinne	anger	0.574
oppressive	förtryckande	anger	0.574
death	död	anger	0.574
jab	stöt	anger	0.574
cursed	förbannad	anger	0.574
scandalous	skandal-	anger	0.574
monstrosity	monster	anger	0.574
shit	Skit	anger	0.573
disparaging	nedsättande	anger	0.571
slash	snedstreck	anger	0.571
unfair	orättvis	anger	0.571
gallows	galge	anger	0.570
escalate	eskalera	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	laglöshet	anger	0.563
bluddy	bluddy	anger	0.562
perdition	fördärv	anger	0.562
taunt	håna	anger	0.562
grouchy	vresig	anger	0.562
torpedo	torped	anger	0.562
deceived	bedragna	anger	0.562
slander	förtal	anger	0.562
retards	retards	anger	0.562
bearish	baisse	anger	0.562
invade	invadera	anger	0.562
bellows	bälg	anger	0.562
beast	fä	anger	0.562
frightful	förskräcklig	anger	0.562
derogatory	nedsättande	anger	0.562
glare	lysa skarpt	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	hemsk	anger	0.562
traitor	förrädare	anger	0.562
malign	baktala	anger	0.562
wrangling	wrangling	anger	0.562
dissension	oenighet	anger	0.561
banshee	banshee	anger	0.561
shatter	splittra, krossa	anger	0.561
conflagration	brand	anger	0.561
jeopardize	äventyra	anger	0.561
thief	tjuv	anger	0.561
rave	rave	anger	0.561
grating	galler	anger	0.561
devastating	förödande	anger	0.561
idiots	idioter	anger	0.561
betrayal	svek	anger	0.561
uncontrollable	okontrollerbar	anger	0.561
fits	passar	anger	0.561
cross	korsa	anger	0.561
hurt	ont	anger	0.561
disturbed	störd	anger	0.559
subjugation	underkuvande	anger	0.559
stomped	stampade	anger	0.557
grab	hugg	anger	0.557
ticked	förkryssat	anger	0.556
masochism	masochism	anger	0.556
grievance	klagomål	anger	0.556
defiance	trots	anger	0.552
blackmail	utpressning	anger	0.550
offensive	offensiv	anger	0.549
decry	fördöma	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	överträdelse	anger	0.547
punishment	bestraffning	anger	0.547
shrill	gäll	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	mörk sida	anger	0.547
misery	elände	anger	0.547
frustrates	omintetgör	anger	0.547
disgraceful	vanhedrande	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	högdragen	anger	0.547
disparity	skillnad	anger	0.547
confine	begränsa	anger	0.547
firearms	skjutvapen	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	orimlig	anger	0.547
rebel	rebell	anger	0.547
deceive	lura	anger	0.547
stolen	stulna	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	uppvärmd	anger	0.545
ruined	förstörd	anger	0.545
menace	hot	anger	0.545
humiliate	förödmjuka	anger	0.545
tackle	tackla	anger	0.545
conspirator	konspiratör	anger	0.545
foul	ojust spel	anger	0.545
antagonist	antagonist	anger	0.545
resentful	förbittrad	anger	0.545
prejudice	fördomar	anger	0.545
adversary	motståndare	anger	0.545
argument	argument	anger	0.545
skirmish	skärmytsling	anger	0.545
callous	okänslig	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	intrasslad	anger	0.544
robbery	rån	anger	0.544
sting	sting	anger	0.544
outcry	skrik	anger	0.544
grumble	klaga	anger	0.544
irreconcilable	oförenlig	anger	0.543
resistance	motstånd	anger	0.543
obstructive	hindrande	anger	0.542
dismay	bestörtning	anger	0.540
mob	folkhop	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	dålighet	anger	0.536
ridicule	förlöjliga	anger	0.534
incendiary	upphetsande	anger	0.533
flares	bloss	anger	0.532
degeneracy	degeneration	anger	0.531
confinement	förlossning	anger	0.531
exacerbation	förvärrande	anger	0.531
prejudicial	skadlig	anger	0.531
uprising	uppror	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	hänsynslös	anger	0.531
unbridled	ohämmad	anger	0.531
allegation	påstående	anger	0.531
communism	kommunism	anger	0.531
whip	piska	anger	0.531
intruder	inkräktare	anger	0.531
dispute	tvist	anger	0.531
belittle	förringa	anger	0.531
bigoted	bigott	anger	0.530
offender	lagbrytare	anger	0.530
hassle	krångel	anger	0.530
dissonance	dissonans	anger	0.530
unjust	orättvis	anger	0.530
dictatorial	diktatorisk	anger	0.530
unjustifiable	oberättigad	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	förvrängning	anger	0.530
tackled	tacklas	anger	0.530
renegade	renegat	anger	0.529
hot	varm	anger	0.529
prison	fängelse	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	intrång	anger	0.529
suicide	självmord	anger	0.521
annoy	förarga	anger	0.520
leavemealone	lämna mig ifred	anger	0.517
idiotic	idiotisk	anger	0.516
distrust	misstro	anger	0.516
depravity	sedefördärv	anger	0.516
cretins	cretins	anger	0.516
divorce	äktenskapsskillnad	anger	0.516
broil	halstra	anger	0.516
grrr	grrr	anger	0.516
venting	avluftning	anger	0.516
inimical	fientlig	anger	0.516
duress	tvång	anger	0.516
disrespectful	respektlös	anger	0.516
tortious	skadegörande	anger	0.516
criticize	klandra	anger	0.516
prisoner	fånge	anger	0.516
dishonest	oärlig	anger	0.516
treason	förräderi	anger	0.516
victimized	offer	anger	0.515
bile	galla	anger	0.515
unkind	ovänlig	anger	0.515
unforgiving	oförsonlig	anger	0.515
unleash	frigöra	anger	0.515
coercion	tvång	anger	0.515
scold	skälla	anger	0.515
chaos	kaos	anger	0.515
grump	grump	anger	0.515
roar	ryta	anger	0.515
jerks	ryck	anger	0.515
poaching	tjuvjakt	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	tjuvskyttar	anger	0.515
argumentation	argumentation	anger	0.515
frustrating	frustrerande	anger	0.515
tussle	tampas	anger	0.514
bane	fördärv	anger	0.511
accusation	anklagelse	anger	0.510
repudiation	förkastande	anger	0.510
enmity	fiendskap	anger	0.510
banish	förvisa	anger	0.509
disfigured	vanställd	anger	0.508
storm	storm	anger	0.507
shun	sky	anger	0.500
suppression	undertryckande	anger	0.500
unruly	ostyrig	anger	0.500
intractable	svårbehandlad	anger	0.500
ordeal	prövning	anger	0.500
obstruct	hindra	anger	0.500
derogation	avvikelse	anger	0.500
fervor	glöd	anger	0.500
foaming	skumning	anger	0.500
derision	hån	anger	0.500
animus	animus	anger	0.500
rejects	avvisar	anger	0.500
bout	anfall	anger	0.500
spear	spjut	anger	0.500
crazy	galen	anger	0.500
brazen	fräck	anger	0.500
antithesis	antites	anger	0.500
injustice	orätt	anger	0.500
banished	förvisat	anger	0.500
confined	begränsad	anger	0.500
frenzied	frenetisk	anger	0.500
dominate	dominera	anger	0.500
disrupting	sönderdelande	anger	0.500
hammering	hamring	anger	0.500
fear	rädsla	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ångest	anger	0.500
brunt	brunt	anger	0.500
possessed	besatt	anger	0.500
defy	trotsa	anger	0.500
scoff	håna	anger	0.500
patronising	nedlåtande	anger	0.500
delusional	förvirrad	anger	0.500
malpractice	försummelse	anger	0.500
reject	avvisa	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	seghet	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	galenskap	anger	0.491
sinful	syndig	anger	0.491
avarice	girighet	anger	0.490
oppress	förtrycka	anger	0.490
disapproved	ej godkänd	anger	0.485
inhuman	omänsklig	anger	0.485
demand	efterfrågan	anger	0.485
abolish	avskaffa	anger	0.485
anathema	förbannelse	anger	0.485
fricking	fricking	anger	0.485
complaint	klagomål	anger	0.485
disservice	otjänst	anger	0.485
smuggler	smugglare	anger	0.485
revoke	återkalla	anger	0.485
infraction	överträdelse	anger	0.485
claw	klo	anger	0.485
dissident	dissident	anger	0.485
pervert	pervers	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	olydig	anger	0.485
usurp	tillskansa sig	anger	0.485
alienate	fjärma	anger	0.485
avenger	hämnare	anger	0.485
annoyed	irriterad	anger	0.485
cutting	skärande	anger	0.485
disgrace	skam	anger	0.484
deceit	svek	anger	0.484
suspicious	misstänksam	anger	0.484
thresh	tröska	anger	0.484
sucker	parasit	anger	0.484
strained	spänd	anger	0.484
blame	skylla	anger	0.484
upheaval	omvälvning	anger	0.484
renounce	avsäga sig	anger	0.484
obnoxious	motbjudande	anger	0.484
restrain	hålla tillbaka	anger	0.484
oust	kasta ut	anger	0.484
litigious	stridslysten	anger	0.484
rivalry	rivalitet	anger	0.484
penalty	straff	anger	0.484
imprisoned	fången	anger	0.484
mocking	hånfull	anger	0.484
opposed	motsatt	anger	0.484
turbulence	turbulens	anger	0.483
pound	pund	anger	0.481
coldness	kyla	anger	0.477
ungrateful	otacksam	anger	0.472
battalion	bataljon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	gisslan	anger	0.470
infidel	otrogen	anger	0.470
ram	Bagge	anger	0.470
accuser	åklagare	anger	0.470
gall	galla	anger	0.470
subversion	omstörtning	anger	0.470
annoying	irriterande	anger	0.470
adversity	motgång	anger	0.470
dispossessed	fördrivna	anger	0.470
friction	friktion	anger	0.470
jealous	svartsjuk	anger	0.470
feudalism	feodalism	anger	0.470
armament	beväpning	anger	0.470
thump	dunk	anger	0.469
complain	klaga	anger	0.469
incite	hetsa	anger	0.469
steal	stjäla	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	inte lyda	anger	0.469
injury	skada	anger	0.469
simmer	sjuda	anger	0.469
distress	ångest	anger	0.469
insanity	vansinne	anger	0.469
selfish	självisk	anger	0.469
huff	huff	anger	0.469
selfishness	själviskhet	anger	0.469
backoff	backoff	anger	0.469
plunder	plundra	anger	0.469
stifled	kvävas	anger	0.469
subversive	omstörtande	anger	0.469
exile	exil	anger	0.469
offense	anfall	anger	0.469
objection	invändning	anger	0.469
recidivism	återfall	anger	0.469
smother	kväva	anger	0.469
perpetrator	förövare	anger	0.469
dislike	motvilja	anger	0.469
disruption	avbrott	anger	0.469
intolerance	intolerans	anger	0.469
opposition	opposition	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mugg	anger	0.467
agony	vånda	anger	0.465
arrogant	arrogant	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	ventilera	anger	0.456
elimination	eliminering	anger	0.456
picketing	strejkvakt	anger	0.456
haughty	högdragen	anger	0.456
troublesome	besvärlig	anger	0.455
clamor	larm	anger	0.455
