word	Japanese-ja	emotion	emotion-intensity-score
offensive	攻撃	anger	0.549
decry	デクリ	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	違反	anger	0.547
punishment	罰	anger	0.547
shrill	甲高い	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	暗黒面	anger	0.547
misery	不幸	anger	0.547
frustrates	挫折	anger	0.547
disgraceful	恥ずべき	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	圧倒	anger	0.547
disparity	不一致	anger	0.547
confine	閉じ込める	anger	0.547
firearms	銃器	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	不名誉な	anger	0.547
rebel	反逆の	anger	0.547
deceive	欺く	anger	0.547
stolen	盗まれた	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	ワッカー	anger	0.545
heated	加熱された	anger	0.545
ruined	台無し	anger	0.545
menace	脅威	anger	0.545
humiliate	屈辱的な	anger	0.545
tackle	タックル	anger	0.545
conspirator	共謀者	anger	0.545
foul	ファウル	anger	0.545
antagonist	アンタゴニスト	anger	0.545
resentful	憤慨する	anger	0.545
prejudice	偏見	anger	0.545
adversary	敵	anger	0.545
argument	引数	anger	0.545
skirmish	小競り合い	anger	0.545
callous	無情な	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	もつれた	anger	0.544
robbery	強盗	anger	0.544
sting	刺す	anger	0.544
outcry	抗議	anger	0.544
grumble	不平を言う	anger	0.544
irreconcilable	和解できない	anger	0.543
resistance	抵抗	anger	0.543
obstructive	閉塞性の	anger	0.542
dismay	うんざりする	anger	0.540
mob	暴徒	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	不良	anger	0.536
ridicule	嘲笑	anger	0.534
incendiary	焼夷弾	anger	0.533
flares	フレア	anger	0.532
degeneracy	縮退	anger	0.531
confinement	閉じ込め	anger	0.531
exacerbation	悪化	anger	0.531
prejudicial	不利益な	anger	0.531
uprising	蜂起	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	無謀	anger	0.531
unbridled	無制限の	anger	0.531
allegation	申し立て	anger	0.531
communism	共産主義	anger	0.531
whip	ホイップ	anger	0.531
intruder	侵入者	anger	0.531
dispute	紛争	anger	0.531
belittle	卑劣な	anger	0.531
bigoted	股間	anger	0.530
offender	違反者	anger	0.530
hassle	面倒	anger	0.530
dissonance	不協和音	anger	0.530
unjust	不当	anger	0.530
dictatorial	独裁者	anger	0.530
unjustifiable	不当な	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	倒錯	anger	0.530
tackled	取り組む	anger	0.530
renegade	反逆者	anger	0.529
hot	ホット	anger	0.529
prison	刑務所	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	侵入	anger	0.529
suicide	自殺	anger	0.521
annoy	悩ます	anger	0.520
leavemealone	私をほっといて	anger	0.517
idiotic	馬鹿馬鹿しい	anger	0.516
distrust	不信	anger	0.516
depravity	堕落	anger	0.516
cretins	クレチン類	anger	0.516
divorce	離婚	anger	0.516
broil	焼く	anger	0.516
grrr	grrr	anger	0.516
venting	通気	anger	0.516
inimical	不自然な	anger	0.516
duress	強迫	anger	0.516
disrespectful	無礼な	anger	0.516
tortious	不愉快な	anger	0.516
criticize	批判する	anger	0.516
prisoner	囚人	anger	0.516
dishonest	不正直な	anger	0.516
treason	反逆	anger	0.516
victimized	被害者	anger	0.515
bile	胆汁	anger	0.515
unkind	不親切	anger	0.515
unforgiving	容赦のない	anger	0.515
unleash	解き放つ	anger	0.515
coercion	強要	anger	0.515
scold	叱る	anger	0.515
chaos	混沌	anger	0.515
grump	ひどい	anger	0.515
roar	轟音	anger	0.515
jerks	ジャーク	anger	0.515
poaching	密猟	anger	0.515
hangry	ハンギング	anger	0.515
pow	捕虜	anger	0.515
poachers	密猟者	anger	0.515
argumentation	議論	anger	0.515
frustrating	イライラする	anger	0.515
tussle	闘争	anger	0.514
bane	ベーン	anger	0.511
accusation	告発	anger	0.510
repudiation	否認	anger	0.510
enmity	敵意	anger	0.510
banish	追い払う	anger	0.509
disfigured	醜い	anger	0.508
storm	嵐	anger	0.507
shun	避ける	anger	0.500
suppression	抑制	anger	0.500
unruly	手が出ない	anger	0.500
intractable	扱いにくい	anger	0.500
ordeal	試練	anger	0.500
obstruct	妨害する	anger	0.500
derogation	逸脱	anger	0.500
fervor	熱狂	anger	0.500
foaming	発泡	anger	0.500
derision	嘲り	anger	0.500
animus	アニミス	anger	0.500
rejects	拒否	anger	0.500
bout	試合	anger	0.500
spear	槍	anger	0.500
crazy	狂った	anger	0.500
brazen	厚かましい	anger	0.500
antithesis	アンチテーゼ	anger	0.500
injustice	不正	anger	0.500
banished	追放された	anger	0.500
confined	閉じ込められた	anger	0.500
frenzied	狂った	anger	0.500
dominate	支配的	anger	0.500
disrupting	混乱する	anger	0.500
hammering	ハンマー	anger	0.500
fear	恐れ	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	苦悩	anger	0.500
brunt	鋭い	anger	0.500
possessed	所有していた	anger	0.500
defy	無視する	anger	0.500
scoff	嘲笑する	anger	0.500
patronising	懐かしい	anger	0.500
delusional	妄想	anger	0.500
malpractice	過誤	anger	0.500
reject	拒絶する	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	靭性	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	狂気	anger	0.491
sinful	罪深い	anger	0.491
avarice	貪欲	anger	0.490
oppress	抑圧する	anger	0.490
disapproved	不承認	anger	0.485
inhuman	非人道的な	anger	0.485
demand	デマンド	anger	0.485
abolish	廃止する	anger	0.485
anathema	嫌悪	anger	0.485
fricking	フライキング	anger	0.485
complaint	苦情	anger	0.485
disservice	失礼	anger	0.485
smuggler	密輸業者	anger	0.485
revoke	取り消す	anger	0.485
infraction	違反	anger	0.485
claw	爪	anger	0.485
dissident	反論する	anger	0.485
pervert	変態	anger	0.485
incest	近親相姦	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	不従順な	anger	0.485
usurp	奪う	anger	0.485
alienate	疎外	anger	0.485
avenger	復讐者	anger	0.485
annoyed	悩まされる	anger	0.485
cutting	切断	anger	0.485
disgrace	恥ずべき	anger	0.484
deceit	詐欺	anger	0.484
suspicious	疑わしい	anger	0.484
thresh	スレッシュ	anger	0.484
sucker	吸盤	anger	0.484
strained	緊張した	anger	0.484
blame	責任	anger	0.484
upheaval	激動	anger	0.484
renounce	放棄する	anger	0.484
obnoxious	嫌な	anger	0.484
restrain	抑える	anger	0.484
oust	失う	anger	0.484
litigious	訴訟の	anger	0.484
rivalry	競争	anger	0.484
penalty	ペナルティ	anger	0.484
imprisoned	投獄された	anger	0.484
mocking	モッキング	anger	0.484
opposed	反対	anger	0.484
turbulence	乱気流	anger	0.483
pound	ポンド	anger	0.481
coldness	寒さ	anger	0.477
ungrateful	恩知らず	anger	0.472
battalion	大隊	anger	0.471
stoopid	stoopid	anger	0.471
hostage	人質	anger	0.470
infidel	異端者	anger	0.470
ram	RAM	anger	0.470
accuser	告発者	anger	0.470
gall	胆汁	anger	0.470
subversion	転覆	anger	0.470
annoying	迷惑な	anger	0.470
adversity	逆境	anger	0.470
dispossessed	放棄された	anger	0.470
friction	摩擦	anger	0.470
jealous	嫉妬	anger	0.470
feudalism	封建主義	anger	0.470
armament	武装	anger	0.470
thump	勝つ	anger	0.469
complain	文句を言う	anger	0.469
incite	扇動する	anger	0.469
steal	スチール	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	不従順な	anger	0.469
injury	損傷	anger	0.469
simmer	煮る	anger	0.469
distress	苦痛	anger	0.469
insanity	狂気	anger	0.469
selfish	利己的	anger	0.469
huff	かわいそう	anger	0.469
selfishness	利己主義	anger	0.469
backoff	バックオフ	anger	0.469
plunder	略奪	anger	0.469
stifled	渋った	anger	0.469
subversive	破壊的な	anger	0.469
exile	亡命	anger	0.469
offense	犯罪	anger	0.469
objection	異議	anger	0.469
recidivism	再犯	anger	0.469
smother	吸う	anger	0.469
perpetrator	加害者	anger	0.469
dislike	嫌い	anger	0.469
disruption	混乱	anger	0.469
intolerance	不寛容	anger	0.469
opposition	反対	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	マグ	anger	0.467
agony	苦しみ	anger	0.465
arrogant	傲慢な	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	ベント	anger	0.456
