word	Latvian-lv	emotion	emotion-intensity-score
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	nepareizs	anger	0.706
atrocious	žēlsirdīgs	anger	0.706
evil	ļaunums	anger	0.706
irritated	iekaisis	anger	0.706
assassin	slepkavas	anger	0.703
dicks	Dikki	anger	0.703
persecution	vajāšana	anger	0.703
slayer	Slayer	anger	0.703
kidnap	nolaupīšana	anger	0.703
scolding	novājēšana	anger	0.703
intimidation	iebiedēšana	anger	0.703
aggravated	pasliktinās	anger	0.703
aggression	agresija	anger	0.702
armed	bruņota	anger	0.700
poison	indes	anger	0.697
snarling	snarling	anger	0.697
venom	inde	anger	0.697
battle	cīņa	anger	0.697
disgruntled	neapmierināts	anger	0.693
insidious	mānīgs	anger	0.691
assailant	uzbrucējs	anger	0.691
resentment	aizvainojums	anger	0.691
lynch	lynch	anger	0.690
contemptuous	nicināms	anger	0.690
temper	temperaments	anger	0.688
imprisonment	brīvības atņemšana	anger	0.688
disparage	nolaidība	anger	0.688
bully	bruņinieks	anger	0.688
terrible	briesmīgi	anger	0.688
lunatic	dusmīgs	anger	0.688
curse	lāstu	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominance	anger	0.688
mad	dusmīgs	anger	0.688
infanticide	infantiķskābe	anger	0.688
volatility	nepastāvība	anger	0.687
eradication	izskaušana	anger	0.685
tantrum	tantrums	anger	0.682
devastate	iznīcināt	anger	0.682
eradicate	iznīcināt	anger	0.682
scoundrel	nelietis	anger	0.682
aggressively	agresīvi	anger	0.680
agitation	uzbudinājums	anger	0.680
dictatorship	diktatūra	anger	0.676
irritates	kairina	anger	0.676
profanity	nelaime	anger	0.673
egregious	briesmīgs	anger	0.672
expletive	izteiksmīgs	anger	0.672
nasty	šķebinošs	anger	0.672
shove	slaucīt	anger	0.672
shot	šāviens	anger	0.672
harmful	kaitīgs	anger	0.672
aggravation	pasliktināšanās	anger	0.672
contempt	nicinājums	anger	0.672
poisonous	indīgs	anger	0.672
dastardly	dusmīgs	anger	0.672
shoot	šaut	anger	0.672
corrupting	bojāties	anger	0.672
condemnation	nosodījums	anger	0.672
wreak	sagrābt	anger	0.672
crushed	sasmalcināts	anger	0.672
cruelly	nežēlīgi	anger	0.672
crime	noziegums	anger	0.672
maniac	maniaks	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	izvirdums	anger	0.667
odious	apbēdinošs	anger	0.667
shooting	šaušana	anger	0.667
kick	kick	anger	0.667
aggressive	agresīvs	anger	0.667
combat	cīnīties	anger	0.667
shout	kliegt	anger	0.667
hit	sist	anger	0.667
fight	cīņa	anger	0.667
cutthroat	glāstīt	anger	0.667
enemy	ienaidnieks	anger	0.667
irritable	uzbudināms	anger	0.667
punished	soda	anger	0.662
ambush	noslēpums	anger	0.661
yell	kliedz	anger	0.661
harass	uzmākties	anger	0.659
malignant	ļaundabīgs	anger	0.656
aggressor	agresors	anger	0.656
antichrist	antikrists	anger	0.656
gore	gore	anger	0.656
incense	vīraks	anger	0.656
expel	izraidīt	anger	0.656
destruction	iznīcināšana	anger	0.656
grudge	aizskart	anger	0.656
cranky	cranky	anger	0.653
offended	apvainots	anger	0.652
spank	spank	anger	0.652
growl	rūkt	anger	0.652
insurrection	sacelšanās	anger	0.652
reprisal	atriebība	anger	0.652
slave	vergs	anger	0.652
denounce	denonsēt	anger	0.652
animosity	naidīgums	anger	0.652
insulting	aizvainojoša	anger	0.652
clashing	saskaroties	anger	0.652
growls	growls	anger	0.649
executioner	kaķis	anger	0.644
twat	twat	anger	0.644
doomsday	pasludināšanas diena	anger	0.643
daemon	dēmons	anger	0.641
obscenity	neķītrība	anger	0.641
bombard	bombardēt	anger	0.641
spat	spata	anger	0.641
havoc	postījumi	anger	0.641
feud	nelaimi	anger	0.641
grr	grr	anger	0.641
arson	dedzināšana	anger	0.641
reprimand	rājiens	anger	0.641
expulsion	izraidīšana	anger	0.641
inexcusable	nepiedodams	anger	0.641
accused	apsūdzētais	anger	0.641
indignant	sašutums	anger	0.641
shackle	važas	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	brūces	anger	0.636
suicidal	pašnāvniecisks	anger	0.636
poisoned	saindēta	anger	0.636
batter	mīklu	anger	0.636
kicking	kicking	anger	0.636
hanging	karājas	anger	0.636
spanking	pēriens	anger	0.636
disgusting	pretīgi	anger	0.636
combatant	kaujnieks	anger	0.636
frustrated	neapmierinātas	anger	0.636
anarchy	anarhija	anger	0.636
glaring	spilgts	anger	0.636
inflict	nodarīt	anger	0.633
wrecked	sagrauzis	anger	0.633
grievous	slikts	anger	0.632
prosecute	kriminālvajāšana	anger	0.630
agitated	satraukti	anger	0.630
cheat	apkrāptu	anger	0.630
swastika	svaastika	anger	0.627
defamatory	apmelojoša	anger	0.625
suffocation	nosmakšana	anger	0.625
strife	nesaskaņas	anger	0.625
provocation	provokācija	anger	0.625
injure	ievainot	anger	0.625
harassing	uzmākšanās	anger	0.625
scourge	pēkšņi	anger	0.625
cursing	lāsts	anger	0.625
betray	nodot	anger	0.625
indict	apsūdzība	anger	0.625
raid	RAID	anger	0.625
thundering	pērkona negaiss	anger	0.625
enslaved	verdzība	anger	0.625
arsehole	arsehole	anger	0.624
insane	neprāts	anger	0.621
fiend	velns	anger	0.621
irritate	kairināt	anger	0.621
convict	notiesāts	anger	0.621
jerk	jerk	anger	0.621
theft	zādzība	anger	0.621
retaliation	atriebība	anger	0.621
deprivation	atņemšana	anger	0.621
cussed	cussed	anger	0.619
turmoil	nestabilitāte	anger	0.618
smack	smaku	anger	0.615
retribution	atriebība	anger	0.614
twats	twats	anger	0.609
intolerable	neciešams	anger	0.609
rebellion	sacelšanās	anger	0.609
injurious	kaitīgs	anger	0.609
oppressor	apslāpētājs	anger	0.609
slavery	verdzība	anger	0.609
irritability	uzbudināmība	anger	0.609
collision	sadursme	anger	0.609
bitterly	rūgti	anger	0.609
gang	banda	anger	0.609
antagonism	antagonisms	anger	0.609
battery	akumulators	anger	0.609
adverse	nelabvēlīgs	anger	0.609
disgraced	apkaunojošs	anger	0.608
irritating	kairinošs	anger	0.606
revolution	revolūcija	anger	0.606
thug	slepkava	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardēšana	anger	0.606
blast	sprādziens	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	diskriminācija	anger	0.606
antagonistic	antagonists	anger	0.606
ranting	ranting	anger	0.606
asshole	asins	anger	0.606
frustrate	izjaukt	anger	0.604
manipulation	manipulācijas	anger	0.603
tension	spriedze	anger	0.603
insult	apvainojums	anger	0.603
bigot	fanāts	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ievainojams	anger	0.603
oppression	apspiestība	anger	0.603
disgust	riebums	anger	0.602
spite	neskatoties	anger	0.600
intrusive	uzmācīgs	anger	0.598
harshness	skarbums	anger	0.597
slur	sajaukt	anger	0.596
wretch	vēdīgs	anger	0.594
inferno	dievība	anger	0.594
invasion	iebrukums	anger	0.594
puncture	punkcija	anger	0.594
miserable	nožēlojams	anger	0.594
assail	uzbāzties	anger	0.594
storming	vētra	anger	0.594
casualty	kritušais	anger	0.594
bitterness	rūgtums	anger	0.594
morbidity	saslimstība	anger	0.594
tempest	tempest	anger	0.594
consternation	sašutums	anger	0.592
depraved	izpostīts	anger	0.591
raving	trakojošs	anger	0.591
guillotine	giljotīna	anger	0.591
guilty	vainīgs	anger	0.591
immoral	amorāls	anger	0.591
forcibly	piespiedu kārtā	anger	0.591
overpowering	pārvaroša	anger	0.591
accursed	nolādēts	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	nepārliecinošs	anger	0.588
invader	iebrucējs	anger	0.588
scare	nobiedēt	anger	0.588
screwed	ieskrūvēts	anger	0.588
indignation	sašutums	anger	0.587
jealousy	greizsirdība	anger	0.587
vexed	apgrūtināts	anger	0.586
confront	konfrontēt	anger	0.582
brute	brutāls	anger	0.581
throttle	droseļvārsts	anger	0.579
wreck	vraks	anger	0.578
revolver	revolveris	anger	0.578
slut	slampa	anger	0.578
yousuck	Tu esi tizls	anger	0.578
damage	bojājums	anger	0.578
butcher	miesnieks	anger	0.578
conflict	konflikts	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	noziedzība	anger	0.578
bickering	bikardēšana	anger	0.578
pillage	izlaupīšana	anger	0.578
blaze	spīdēt	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	apvērsums	anger	0.578
contentious	strīdīgs	anger	0.578
incarceration	ieslodzījums	anger	0.578
defiant	izaicinošs	anger	0.578
provoking	provocējot	anger	0.578
lash	skropstas	anger	0.578
cancer	vēzis	anger	0.577
frustration	vilšanās	anger	0.576
gory	gory	anger	0.576
alienation	atsvešināšanās	anger	0.576
discord	nesaskaņas	anger	0.576
disturbance	traucējumi	anger	0.576
grope	izskrūvēt	anger	0.576
condescension	panesība	anger	0.576
pernicious	kaitīga	anger	0.576
blasphemy	zaimošana	anger	0.576
discriminate	diskriminēt	anger	0.576
chaotic	haotisks	anger	0.576
gun	lielgabals	anger	0.576
standoff	starpība	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	garlaicība	anger	0.574
oppressive	represīvs	anger	0.574
death	nāve	anger	0.574
jab	jab	anger	0.574
cursed	nolādēts	anger	0.574
scandalous	skandalozs	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	sūdi	anger	0.573
disparaging	negodīgi	anger	0.571
slash	slīpsvītra	anger	0.571
unfair	negodīgi	anger	0.571
gallows	galvas	anger	0.570
escalate	pastiprināties	anger	0.569
intolerant	neiecietīgs	anger	0.564
lawlessness	likumsakarība	anger	0.563
bluddy	bluddy	anger	0.562
perdition	bojāeja	anger	0.562
taunt	uzbudinājums	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpēds	anger	0.562
deceived	maldināts	anger	0.562
slander	laupīšana	anger	0.562
retards	kavē	anger	0.562
bearish	lācīgs	anger	0.562
invade	iebrukt	anger	0.562
bellows	silfoni	anger	0.562
beast	zvērs	anger	0.562
frightful	briesmīgs	anger	0.562
derogatory	izmisīgs	anger	0.562
glare	mirdzums	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	briesmīgs	anger	0.562
traitor	nodevējs	anger	0.562
malign	malign	anger	0.562
wrangling	sarunāties	anger	0.562
dissension	domstarpības	anger	0.561
banshee	banshee	anger	0.561
shatter	satricināt	anger	0.561
conflagration	ugunsgrēks	anger	0.561
jeopardize	apdraudēt	anger	0.561
thief	zaglis	anger	0.561
rave	rave	anger	0.561
grating	režģi	anger	0.561
devastating	postošu	anger	0.561
idiots	idiots	anger	0.561
betrayal	nodevība	anger	0.561
uncontrollable	nekontrolējama	anger	0.561
fits	fit	anger	0.561
cross	šķērsot	anger	0.561
hurt	ievainot	anger	0.561
disturbed	traucēta	anger	0.559
subjugation	pakļaušana	anger	0.559
stomped	stomped	anger	0.557
grab	greifers	anger	0.557
ticked	atzīmēts	anger	0.556
masochism	masochisms	anger	0.556
grievance	sūdzība	anger	0.556
defiance	izaicinājums	anger	0.552
blackmail	šantāža	anger	0.550
offensive	aizvainojoša	anger	0.549
decry	noliegt	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	pārkāpums	anger	0.547
punishment	sods	anger	0.547
shrill	šorīt	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	tumšā puse	anger	0.547
misery	nelaime	anger	0.547
frustrates	nomāc	anger	0.547
disgraceful	apkaunojošs	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	valdošs	anger	0.547
disparity	atšķirība	anger	0.547
confine	ierobežot	anger	0.547
firearms	šaujamieroči	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	nevainīgs	anger	0.547
rebel	nemiernieki	anger	0.547
deceive	maldināt	anger	0.547
stolen	nozagts	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	apsildāms	anger	0.545
ruined	izpostīts	anger	0.545
menace	draudi	anger	0.545
humiliate	pazemot	anger	0.545
tackle	risināt	anger	0.545
conspirator	sazvērējs	anger	0.545
foul	nediena	anger	0.545
antagonist	antagonists	anger	0.545
resentful	apvainojošs	anger	0.545
prejudice	aizspriedumi	anger	0.545
adversary	pretinieks	anger	0.545
argument	arguments	anger	0.545
skirmish	sadursme	anger	0.545
callous	nikns	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	sapinušies	anger	0.544
robbery	laupīšana	anger	0.544
sting	dzelt	anger	0.544
outcry	protests	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	nesavienojams	anger	0.543
resistance	pretestība	anger	0.543
obstructive	obstruktīva	anger	0.542
dismay	izbailes	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	sliktība	anger	0.536
ridicule	izsmiekls	anger	0.534
incendiary	aizdegšanās	anger	0.533
flares	uzliesmojumi	anger	0.532
degeneracy	deģenerācija	anger	0.531
confinement	dzemdības	anger	0.531
exacerbation	paasinājums	anger	0.531
prejudicial	nelabvēlīgs	anger	0.531
uprising	sacelšanās	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	neapdomāti	anger	0.531
unbridled	nekonkurēts	anger	0.531
allegation	apgalvojums	anger	0.531
communism	komunisms	anger	0.531
whip	pātaga	anger	0.531
intruder	iebrucējs	anger	0.531
dispute	strīds	anger	0.531
belittle	pazemot	anger	0.531
bigoted	fanāti	anger	0.530
offender	likumpārkāpējs	anger	0.530
hassle	problēmu	anger	0.530
dissonance	disonanss	anger	0.530
unjust	netaisna	anger	0.530
dictatorial	diktatorisks	anger	0.530
unjustifiable	nepamatots	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversija	anger	0.530
tackled	risina	anger	0.530
renegade	renegāde	anger	0.529
hot	karsts	anger	0.529
prison	cietums	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	cietsirdīgs	anger	0.529
suicide	pašnāvība	anger	0.521
annoy	uzbudini	anger	0.520
leavemealone	atstāj mani vienu	anger	0.517
idiotic	idiotisks	anger	0.516
distrust	neuzticēšanās	anger	0.516
depravity	izvarīgums	anger	0.516
cretins	kretiņi	anger	0.516
divorce	laulības šķiršana	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	ventilācija	anger	0.516
inimical	nelabvēlīgs	anger	0.516
duress	piespiešana	anger	0.516
disrespectful	necienīgs	anger	0.516
tortious	negodīgs	anger	0.516
criticize	kritizēt	anger	0.516
prisoner	ieslodzītais	anger	0.516
dishonest	negodīgi	anger	0.516
treason	nodevība	anger	0.516
victimized	victimized	anger	0.515
bile	žults	anger	0.515
unkind	nepatīkams	anger	0.515
unforgiving	nepagodinošs	anger	0.515
unleash	atlaist	anger	0.515
coercion	piespiešana	anger	0.515
scold	nicināt	anger	0.515
chaos	haoss	anger	0.515
grump	sūkāt	anger	0.515
roar	rēkt	anger	0.515
jerks	jerks	anger	0.515
poaching	laupīšana	anger	0.515
hangry	hangri	anger	0.515
pow	pow	anger	0.515
poachers	boikeri	anger	0.515
argumentation	argumentācija	anger	0.515
frustrating	nomākta	anger	0.515
tussle	pietrūkst	anger	0.514
bane	bane	anger	0.511
accusation	apsūdzība	anger	0.510
repudiation	atteikšanās	anger	0.510
enmity	naids	anger	0.510
banish	izraidīt	anger	0.509
disfigured	izkropļots	anger	0.508
storm	vētra	anger	0.507
shun	izvairīties	anger	0.500
suppression	apspiešana	anger	0.500
unruly	nepaklausīgs	anger	0.500
intractable	grūti atrisināms	anger	0.500
ordeal	smaga pārbaude	anger	0.500
obstruct	aizsegt	anger	0.500
derogation	atkāpe	anger	0.500
fervor	dedzība	anger	0.500
foaming	putošana	anger	0.500
derision	izmainīšana	anger	0.500
animus	animus	anger	0.500
rejects	noraida	anger	0.500
bout	kaujas	anger	0.500
spear	šķēps	anger	0.500
crazy	traks	anger	0.500
brazen	neprātīgs	anger	0.500
antithesis	antiteze	anger	0.500
injustice	netaisnība	anger	0.500
banished	izraidīts	anger	0.500
confined	ierobežots	anger	0.500
frenzied	satriekts	anger	0.500
dominate	dominē	anger	0.500
disrupting	izjaucot	anger	0.500
hammering	āmurs	anger	0.500
fear	bailes	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	mokas	anger	0.500
brunt	trieciens	anger	0.500
possessed	piederēja	anger	0.500
defy	nepareizs	anger	0.500
scoff	nožēlot	anger	0.500
patronising	aizbildnība	anger	0.500
delusional	mānīgs	anger	0.500
malpractice	nepareiza rīcība	anger	0.500
reject	noraidīt	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	stingrība	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	trakums	anger	0.491
sinful	grēcīgs	anger	0.491
avarice	avarice	anger	0.490
oppress	apspiest	anger	0.490
disapproved	noraidīts	anger	0.485
inhuman	necilvēcīgi	anger	0.485
demand	pieprasījums	anger	0.485
abolish	atcelt	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	sūdzība	anger	0.485
disservice	kalpošana	anger	0.485
smuggler	kontrabandists	anger	0.485
revoke	atcelt	anger	0.485
infraction	pārkāpums	anger	0.485
claw	nags	anger	0.485
dissident	disidents	anger	0.485
pervert	izgriezt	anger	0.485
incest	incests	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	nepaklausīgs	anger	0.485
usurp	usurp	anger	0.485
alienate	atsavināt	anger	0.485
avenger	atriebējs	anger	0.485
annoyed	kaitina	anger	0.485
cutting	griešana	anger	0.485
disgrace	apkaunojums	anger	0.484
deceit	krāpšana	anger	0.484
suspicious	aizdomīgs	anger	0.484
thresh	slaucīt	anger	0.484
sucker	sūkāt	anger	0.484
strained	saspringts	anger	0.484
blame	vainīgs	anger	0.484
upheaval	aplaupīšana	anger	0.484
renounce	atteikties	anger	0.484
obnoxious	nepatīkams	anger	0.484
restrain	atturēt	anger	0.484
oust	izstumt	anger	0.484
litigious	strīdīgs jautājums	anger	0.484
rivalry	sāncensība	anger	0.484
penalty	sods	anger	0.484
imprisoned	ieslodzīts	anger	0.484
mocking	mocīšana	anger	0.484
opposed	iebilda pret	anger	0.484
turbulence	turbulence	anger	0.483
pound	mārciņa	anger	0.481
coldness	vēsums	anger	0.477
ungrateful	nepateicīgs	anger	0.472
battalion	bataljons	anger	0.471
stoopid	stoopids	anger	0.471
hostage	ķīlnieks	anger	0.470
infidel	neticīgs	anger	0.470
ram	ram	anger	0.470
accuser	apsūdzētājs	anger	0.470
gall	želeja	anger	0.470
