word	Nyanja (Chichewa)-ny	emotion	emotion-intensity-score
pissesmeoff	pissesmeoff	anger	0.812
fuming	kusuta	anger	0.812
barbaric	zovuta	anger	0.812
anger	mkwiyo	anger	0.811
pieceofshit	chidutswa	anger	0.810
slam	slam	anger	0.803
fights	nkhondo	anger	0.803
punched	adanyozedwa	anger	0.803
bitch	bitch	anger	0.803
punching	kuponya	anger	0.803
homicide	kudzipha	anger	0.803
destructive	chiwonongeko	anger	0.797
ruthless	nkhanza	anger	0.797
villainous	woipa	anger	0.797
slap	kukwapula	anger	0.791
slaughterhouse	nyumba yophera	anger	0.788
punishing	kulanga	anger	0.788
destroyed	kuwonongedwa	anger	0.788
retaliatory	kubwezera	anger	0.788
riot	chisokonezo	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	akufuula	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	kupha anthu	anger	0.783
clash	kutsutsana	anger	0.783
bloody	magazi	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	kukangana	anger	0.781
sinister	wochimwa	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akuimba mlandu	anger	0.779
treacherous	achinyengo	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	kubwezera	anger	0.773
revulsion	chiwonongeko	anger	0.773
madder	madder	anger	0.773
horrific	zoopsa	anger	0.773
scorn	kunyozedwa	anger	0.769
deplorable	zovuta	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchist	anger	0.765
devastation	kuwonongeka	anger	0.765
resent	mkwiyo	anger	0.765
firestorm	chimphepo	anger	0.765
contemptible	amanyansidwa	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	nkhanza	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	chakupha	anger	0.758
smash	smash	anger	0.758
rant	ndikuyang'ana	anger	0.758
outburst	kupsa mtima	anger	0.757
snarl	sungani	anger	0.754
profane	wonyansa	anger	0.750
offend	akukhumudwitsa	anger	0.750
douchebags	douchebags	anger	0.750
growling	kukulira	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kunyansa	anger	0.750
dontmesswithme	kumakumada	anger	0.750
crazed	wodetsedwa	anger	0.750
despise	kunyoza	anger	0.750
horror	mantha	anger	0.750
aggravating	kukulirakulira	anger	0.750
revolting	kupanduka	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	mantha	anger	0.742
erupt	akuphulika	anger	0.742
screaming	akufuula	anger	0.742
violence	chiwawa	anger	0.742
horrible	zoopsa	anger	0.742
molestation	chiwonongeko	anger	0.742
bastards	ziphuphu	anger	0.741
revenge	kubwezera	anger	0.738
catastrophe	masautso	anger	0.735
menacing	kuopseza	anger	0.735
demon	ziwanda	anger	0.735
crushing	kusweka	anger	0.735
damn	Asa	anger	0.735
persecute	akuzunza	anger	0.734
argue	kutsutsana	anger	0.734
flog	sungani	anger	0.734
revolt	kupanduka	anger	0.734
thrash	thrash	anger	0.734
deplore	dandaula	anger	0.734
warfare	nkhondo	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	zovuta	anger	0.734
riotous	zosokoneza	anger	0.734
altercation	kusinthika	anger	0.729
warlike	nkhondo	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	chiwonongeko	anger	0.727
malevolent	zachiwawa	anger	0.721
strike	yesani	anger	0.721
disaster	tsoka	anger	0.721
disastrous	zoopsa	anger	0.720
tumult	chisokonezo	anger	0.719
madden	wamisala	anger	0.719
devil	mdierekezi	anger	0.719
scream	kufuula	anger	0.719
brutal	nkhanza	anger	0.719
treachery	chinyengo	anger	0.719
scorching	kuwotcha	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	akavalo	anger	0.719
aggravates	zimakula	anger	0.719
spiteful	zokwiya	anger	0.719
slay	iphani	anger	0.719
disdain	kunyoza	anger	0.719
choke	chokha	anger	0.719
bastarding	kunyada	anger	0.719
mangle	mangolo	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	kudulidwa	anger	0.714
criminal	chigawenga	anger	0.714
denunciation	chidzudzulo	anger	0.713
punch	nkhonya	anger	0.713
crucifixion	kupachikidwa	anger	0.712
virulence	chiwawa	anger	0.712
battled	nkhondo	anger	0.712
fatal	amafa	anger	0.712
holocaust	zopsereza	anger	0.712
blasphemous	wonyoza	anger	0.712
hurting	kuvulaza	anger	0.712
dumbasses	zovuta	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	zowawa	anger	0.706
evil	zoipa	anger	0.706
irritated	anakwiya	anger	0.706
assassin	wakupha	anger	0.703
dicks	madontho	anger	0.703
persecution	kuzunzidwa	anger	0.703
slayer	wakupha	anger	0.703
kidnap	kuthandizani	anger	0.703
scolding	kuwombera	anger	0.703
intimidation	kuwopsyeza	anger	0.703
aggravated	kuwonjezereka	anger	0.703
aggression	nkhanza	anger	0.702
armed	zida	anger	0.700
poison	poizoni	anger	0.697
snarling	kusangalatsa	anger	0.697
venom	utsi	anger	0.697
battle	nkhondo	anger	0.697
disgruntled	osakondwera	anger	0.693
insidious	zosayenera	anger	0.691
assailant	wotsutsa	anger	0.691
resentment	mkwiyo	anger	0.691
lynch	lynch	anger	0.690
contemptuous	wopusa	anger	0.690
temper	mkwiyo	anger	0.688
imprisonment	kumangidwa	anger	0.688
disparage	kusokoneza	anger	0.688
bully	wonyoza	anger	0.688
terrible	zoopsa	anger	0.688
lunatic	lunatic	anger	0.688
curse	temberero	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	zojambula	anger	0.688
domination	ulamuliro	anger	0.688
mad	opusa	anger	0.688
infanticide	infanticide	anger	0.688
volatility	kusasinthasintha	anger	0.687
eradication	kutha	anger	0.685
tantrum	kukwiya	anger	0.682
devastate	kuwononga	anger	0.682
eradicate	kuthetseratu	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	mwaukali	anger	0.680
agitation	kusokonezeka	anger	0.680
dictatorship	kupondereza	anger	0.676
irritates	zimakwiyitsa	anger	0.676
profanity	chonyansa	anger	0.673
egregious	zovuta	anger	0.672
expletive	zofufuzira	anger	0.672
nasty	zovuta	anger	0.672
shove	dulani	anger	0.672
shot	kuwombera	anger	0.672
harmful	zoipa	anger	0.672
aggravation	zovuta	anger	0.672
contempt	kunyansidwa	anger	0.672
poisonous	woopsa	anger	0.672
dastardly	kudya mowa	anger	0.672
shoot	kuwombera	anger	0.672
corrupting	kuwononga	anger	0.672
condemnation	kutsutsidwa	anger	0.672
wreak	wreak	anger	0.672
crushed	wosweka	anger	0.672
cruelly	mwankhanza	anger	0.672
crime	umbanda	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	mphukira	anger	0.667
odious	odyetsa	anger	0.667
shooting	kuwombera	anger	0.667
kick	kukankha	anger	0.667
aggressive	nkhanza	anger	0.667
combat	nkhondo	anger	0.667
shout	kufuula	anger	0.667
hit	kugunda	anger	0.667
fight	kumenyana	anger	0.667
cutthroat	kudula	anger	0.667
enemy	mdani	anger	0.667
irritable	amakwiya	anger	0.667
punished	adzalangidwa	anger	0.662
ambush	akubisala	anger	0.661
yell	dandaula	anger	0.661
harass	kuzunza	anger	0.659
malignant	zovuta	anger	0.656
aggressor	nkhanza	anger	0.656
antichrist	wotsutsakhristu	anger	0.656
gore	chaka	anger	0.656
incense	zofukiza	anger	0.656
expel	tulutsani	anger	0.656
destruction	chiwonongeko	anger	0.656
grudge	kukwiya	anger	0.656
cranky	chisokonezo	anger	0.653
offended	anakhumudwitsidwa	anger	0.652
spank	spank	anger	0.652
growl	kulira	anger	0.652
insurrection	kupanduka	anger	0.652
reprisal	akunyoza	anger	0.652
slave	kapolo	anger	0.652
denounce	onyoza	anger	0.652
animosity	chidani	anger	0.652
insulting	kunyoza	anger	0.652
clashing	kuwomba	anger	0.652
growls	ziphuphu	anger	0.649
executioner	wakupha	anger	0.644
twat	nsalu	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	kunyada	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	chiwonongeko	anger	0.641
feud	nkhanza	anger	0.641
grr	grr	anger	0.641
arson	chophimba	anger	0.641
reprimand	chidzudzula	anger	0.641
expulsion	kuchotsedwa	anger	0.641
inexcusable	opanda chifukwa	anger	0.641
accused	amatsutsidwa	anger	0.641
indignant	wokwiya	anger	0.641
shackle	kumangirira	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	bala	anger	0.636
suicidal	kudzipha	anger	0.636
poisoned	poizoni	anger	0.636
batter	kumenyana	anger	0.636
kicking	kukankha	anger	0.636
hanging	atapachikidwa	anger	0.636
spanking	kupalasa	anger	0.636
disgusting	zonyansa	anger	0.636
combatant	msilikali	anger	0.636
frustrated	wokhumudwa	anger	0.636
anarchy	chisokonezo	anger	0.636
glaring	kutentha	anger	0.636
inflict	amachititsa	anger	0.633
wrecked	inasweka	anger	0.633
grievous	zowawa	anger	0.632
prosecute	kutsutsa	anger	0.630
agitated	adagwedezeka	anger	0.630
cheat	chinyengo	anger	0.630
swastika	swastika	anger	0.627
defamatory	kusokoneza	anger	0.625
suffocation	Kutupa	anger	0.625
strife	mikangano	anger	0.625
provocation	kukwiya	anger	0.625
injure	kuvulaza	anger	0.625
harassing	kuzunza	anger	0.625
scourge	mliri	anger	0.625
cursing	kutemberera	anger	0.625
betray	akupereka	anger	0.625
indict	kutsutsa	anger	0.625
raid	kuwomba	anger	0.625
thundering	mabingu	anger	0.625
enslaved	akapolo	anger	0.625
arsehole	kupitiliza	anger	0.624
insane	achinyengo	anger	0.621
fiend	fiend	anger	0.621
irritate	zimakwiyitsa	anger	0.621
convict	amatsutsa	anger	0.621
jerk	nsomba	anger	0.621
theft	kuba	anger	0.621
retaliation	kubwezera	anger	0.621
deprivation	kunyansidwa	anger	0.621
cussed	anatsutsana	anger	0.619
turmoil	chisokonezo	anger	0.618
smack	sungani	anger	0.615
retribution	chilango	anger	0.614
twats	mphutsi	anger	0.609
intolerable	chosamvetseka	anger	0.609
rebellion	kupanduka	anger	0.609
injurious	zovulaza	anger	0.609
oppressor	wopondereza	anger	0.609
slavery	ukapolo	anger	0.609
irritability	kukwiya	anger	0.609
collision	kugunda	anger	0.609
bitterly	zowawa	anger	0.609
gang	kagulu	anger	0.609
antagonism	kutsutsana	anger	0.609
battery	batteries	anger	0.609
adverse	zovuta	anger	0.609
disgraced	manyazi	anger	0.608
irritating	kukwiya	anger	0.606
revolution	revolution	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	mabomba	anger	0.606
blast	kuphulika	anger	0.606
irks	irks	anger	0.606
sickening	odwala	anger	0.606
discrimination	tsankho	anger	0.606
antagonistic	kutsutsa	anger	0.606
ranting	kupuma	anger	0.606
asshole	Chitsiru	anger	0.606
frustrate	zokhumudwitsa	anger	0.604
manipulation	kusokoneza	anger	0.603
tension	kukangana	anger	0.603
insult	kunyoza	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	zopweteka	anger	0.603
oppression	kuponderezedwa	anger	0.603
disgust	kunyansidwa	anger	0.602
spite	kupweteka	anger	0.600
intrusive	intrusive	anger	0.598
harshness	nkhanza	anger	0.597
slur	slur	anger	0.596
wretch	nthiti	anger	0.594
inferno	inferno	anger	0.594
invasion	kupandukira	anger	0.594
puncture	kupuma	anger	0.594
miserable	zomvetsa chisoni	anger	0.594
assail	kuzunzidwa	anger	0.594
storming	zovuta	anger	0.594
casualty	kuwonongeka	anger	0.594
bitterness	kuwawa	anger	0.594
morbidity	matenda	anger	0.594
tempest	mphepo yamkuntho	anger	0.594
consternation	kudzikuza	anger	0.592
depraved	zonyansa	anger	0.591
raving	kusuta	anger	0.591
guillotine	guillotine	anger	0.591
guilty	wolakwa	anger	0.591
immoral	chiwerewere	anger	0.591
forcibly	kukakamizika	anger	0.591
overpowering	kupambana	anger	0.591
accursed	wotembereredwa	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	wosakaza	anger	0.588
scare	mantha	anger	0.588
screwed	zofufuzidwa	anger	0.588
indignation	mkwiyo	anger	0.587
jealousy	nsanje	anger	0.587
vexed	akuvutika	anger	0.586
confront	kumenyana	anger	0.582
brute	zopweteka	anger	0.581
throttle	kupweteka	anger	0.579
wreck	kuwonongeka	anger	0.578
revolver	wopandukira	anger	0.578
slut	slut	anger	0.578
yousuck	ukuchititsa manyazi	anger	0.578
damage	kuwonongeka	anger	0.578
butcher	wopha nyama	anger	0.578
conflict	mikangano	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	zigawenga	anger	0.578
bickering	kukangana	anger	0.578
pillage	kuphwanya	anger	0.578
blaze	yatsala	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kuwombera	anger	0.578
contentious	kukangana	anger	0.578
incarceration	kutsekeredwa	anger	0.578
defiant	wotsutsa	anger	0.578
provoking	zowawa	anger	0.578
lash	lash	anger	0.578
cancer	khansa	anger	0.577
frustration	kusokonezeka	anger	0.576
gory	gory	anger	0.576
alienation	kuchoka	anger	0.576
discord	kusagwirizana	anger	0.576
disturbance	chisokonezo	anger	0.576
grope	kupusitsa	anger	0.576
condescension	kudzichepetsa	anger	0.576
pernicious	zoipa	anger	0.576
blasphemy	mwano	anger	0.576
discriminate	sankhani	anger	0.576
chaotic	chisokonezo	anger	0.576
gun	mfuti	anger	0.576
standoff	choyimira	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	kunyoza	anger	0.574
lunacy	kudya	anger	0.574
oppressive	opondereza	anger	0.574
death	imfa	anger	0.574
jab	jab	anger	0.574
cursed	watembereredwa	anger	0.574
scandalous	zonyansa	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	mdima	anger	0.573
disparaging	kusokoneza	anger	0.571
slash	kupha	anger	0.571
unfair	chosalungama	anger	0.571
gallows	akugwedeza	anger	0.570
escalate	kuwonjezeka	anger	0.569
intolerant	osakondana	anger	0.564
lawlessness	kusayeruzika	anger	0.563
bluddy	bluddy	anger	0.562
perdition	chiwonongeko	anger	0.562
taunt	kunyoza	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	atanyengedwa	anger	0.562
slander	miseche	anger	0.562
retards	zobwerera	anger	0.562
bearish	bearish	anger	0.562
invade	pitani	anger	0.562
bellows	mimba	anger	0.562
beast	chirombo	anger	0.562
frightful	zoopsa	anger	0.562
derogatory	kunyoza	anger	0.562
glare	kuyera	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	zoopsa	anger	0.562
traitor	wotsutsa	anger	0.562
malign	kunyoza	anger	0.562
wrangling	kukangana	anger	0.562
dissension	kusagwirizana	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	kusokoneza	anger	0.561
jeopardize	kuopsya	anger	0.561
thief	wakuba	anger	0.561
rave	sangalalani	anger	0.561
grating	kugaya	anger	0.561
devastating	zopweteka	anger	0.561
idiots	zizindikiro	anger	0.561
betrayal	kusakhulupirika	anger	0.561
uncontrollable	osasintha	anger	0.561
fits	zimagwirizana	anger	0.561
cross	mtanda	anger	0.561
hurt	kukhumudwa	anger	0.561
disturbed	kusokonezeka	anger	0.559
subjugation	kugonjetsedwa	anger	0.559
stomped	adadulidwa	anger	0.557
grab	tenga	anger	0.557
ticked	amachotsedwa	anger	0.556
masochism	masochism	anger	0.556
grievance	zodandaula	anger	0.556
defiance	kutsutsa	anger	0.552
blackmail	wosasamala	anger	0.550
offensive	chokhumudwitsa	anger	0.549
decry	kudula	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	kuphwanya	anger	0.547
punishment	chilango	anger	0.547
shrill	zosangalatsa	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	zowawa	anger	0.547
frustrates	amakhumudwitsidwa	anger	0.547
disgraceful	zochititsa manyazi	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	kudandaula	anger	0.547
disparity	kusagwirizana	anger	0.547
confine	sungani	anger	0.547
firearms	zida	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	wanyengerera	anger	0.547
rebel	wopanduka	anger	0.547
deceive	kunyenga	anger	0.547
stolen	kuba	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	kukwiya	anger	0.545
ruined	kuwonongeka	anger	0.545
menace	chiopsezo	anger	0.545
humiliate	kunyalanyaza	anger	0.545
tackle	kuthandizani	anger	0.545
conspirator	wolemba boma	anger	0.545
foul	zonyansa	anger	0.545
antagonist	wotsutsa	anger	0.545
resentful	wokwiya	anger	0.545
prejudice	tsankho	anger	0.545
adversary	mdani	anger	0.545
argument	ndewu	anger	0.545
skirmish	skirmish	anger	0.545
callous	wosayamika	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	kulowerera	anger	0.544
robbery	kuba	anger	0.544
sting	kuluma	anger	0.544
outcry	kulira	anger	0.544
grumble	sungani	anger	0.544
irreconcilable	zosagwirizana	anger	0.543
resistance	kukana	anger	0.543
obstructive	zolepheretsa	anger	0.542
dismay	mantha	anger	0.540
mob	gulu	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	zoipa	anger	0.536
ridicule	kunyoza	anger	0.534
incendiary	zovuta	anger	0.533
flares	mipira	anger	0.532
degeneracy	kuchepa	anger	0.531
confinement	kutsekeredwa	anger	0.531
exacerbation	kuwonjezera	anger	0.531
prejudicial	tsankho	anger	0.531
uprising	kuuka	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	osasamala	anger	0.531
unbridled	wosayendetsedwa	anger	0.531
allegation	zifukwa	anger	0.531
communism	chikominisi	anger	0.531
whip	chikwapu	anger	0.531
intruder	wolanda	anger	0.531
dispute	mkangano	anger	0.531
belittle	onyoza	anger	0.531
bigoted	adagwedezeka	anger	0.530
offender	wolakwira	anger	0.530
hassle	tsoka	anger	0.530
dissonance	dissonance	anger	0.530
unjust	chosalungama	anger	0.530
dictatorial	olamulira	anger	0.530
unjustifiable	osadziwika	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	kupotoza	anger	0.530
tackled	atakonzedwa	anger	0.530
renegade	zigawenga	anger	0.529
hot	otentha	anger	0.529
prison	ndende	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	kulakwa	anger	0.529
suicide	kudzipha	anger	0.521
annoy	kukwiya	anger	0.520
leavemealone	tandilekeni	anger	0.517
idiotic	zosangalatsa	anger	0.516
distrust	kusakhulupirika	anger	0.516
depravity	kunyansa	anger	0.516
cretins	cretins	anger	0.516
divorce	kusudzulana	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	kutuluka	anger	0.516
inimical	zosavomerezeka	anger	0.516
duress	kuthandizani	anger	0.516
disrespectful	kusalemekeza	anger	0.516
tortious	zowawa	anger	0.516
criticize	kutsutsa	anger	0.516
prisoner	mkaidi	anger	0.516
dishonest	wosakhulupirika	anger	0.516
treason	chiwembu	anger	0.516
victimized	ozunzidwa	anger	0.515
bile	bile	anger	0.515
unkind	zosakoma mtima	anger	0.515
unforgiving	osakhululukira	anger	0.515
unleash	unleash	anger	0.515
coercion	kuumirizidwa	anger	0.515
scold	sungani	anger	0.515
chaos	chisokonezo	anger	0.515
grump	phulusa	anger	0.515
roar	kubuma	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	oyendetsa	anger	0.515
argumentation	ndemanga	anger	0.515
frustrating	zokhumudwitsa	anger	0.515
tussle	tambani	anger	0.514
bane	bane	anger	0.511
accusation	mlandu	anger	0.510
repudiation	kukana	anger	0.510
enmity	udani	anger	0.510
banish	zitha	anger	0.509
disfigured	osasintha	anger	0.508
storm	mphepo	anger	0.507
shun	pewani	anger	0.500
suppression	kuchotsa	anger	0.500
unruly	osayenera	anger	0.500
intractable	chosasokonezeka	anger	0.500
ordeal	mavuto	anger	0.500
obstruct	ziletsa	anger	0.500
derogation	kunyoza	anger	0.500
fervor	mwamphamvu	anger	0.500
foaming	kupupa	anger	0.500
derision	kunyozedwa	anger	0.500
animus	animus	anger	0.500
rejects	amakana	anger	0.500
bout	mphindi	anger	0.500
spear	mkondo	anger	0.500
crazy	wopenga	anger	0.500
brazen	zamkuwa	anger	0.500
antithesis	chiwonetsero	anger	0.500
injustice	kupanda chilungamo	anger	0.500
banished	anathamangitsidwa	anger	0.500
confined	atsekeredwa	anger	0.500
frenzied	zozizira	anger	0.500
dominate	kulamulira	anger	0.500
disrupting	kusokoneza	anger	0.500
hammering	kusuntha	anger	0.500
fear	mantha	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	zowawa	anger	0.500
brunt	kusasamala	anger	0.500
possessed	ali nawo	anger	0.500
defy	kutaya	anger	0.500
scoff	kunyoza	anger	0.500
patronising	patronizing	anger	0.500
delusional	zopanda pake	anger	0.500
malpractice	zolakwika	anger	0.500
reject	sakana	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kuvutika	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	misala	anger	0.491
sinful	wochimwa	anger	0.491
avarice	avarice	anger	0.490
oppress	kupondereza	anger	0.490
disapproved	osavomerezedwa	anger	0.485
inhuman	opanda umunthu	anger	0.485
demand	zofuna	anger	0.485
abolish	kuthetseratu	anger	0.485
anathema	anathema	anger	0.485
fricking	kusokoneza	anger	0.485
complaint	kudandaula	anger	0.485
disservice	sungani	anger	0.485
smuggler	kusuta	anger	0.485
revoke	kubwezeretsani	anger	0.485
infraction	kulakwitsa	anger	0.485
claw	claw	anger	0.485
dissident	osagwirizana	anger	0.485
pervert	kupotoza	anger	0.485
incest	achibale	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	osamvera	anger	0.485
usurp	kubwezera	anger	0.485
alienate	kuchotsa	anger	0.485
avenger	wobwezera	anger	0.485
annoyed	anakwiya	anger	0.485
cutting	kudula	anger	0.485
disgrace	manyazi	anger	0.484
deceit	chinyengo	anger	0.484
suspicious	akukayikira	anger	0.484
thresh	phulani	anger	0.484
sucker	sucker	anger	0.484
strained	kufooka	anger	0.484
blame	mlandu	anger	0.484
upheaval	kusokonezeka	anger	0.484
renounce	kusiya	anger	0.484
obnoxious	zosautsa	anger	0.484
restrain	lekani	anger	0.484
oust	kuchotsa	anger	0.484
litigious	zovuta	anger	0.484
rivalry	mpikisano	anger	0.484
penalty	chilango	anger	0.484
imprisoned	kumangidwa	anger	0.484
mocking	kunyoza	anger	0.484
opposed	otsutsa	anger	0.484
turbulence	chisokonezo	anger	0.483
pound	mapaundi	anger	0.481
coldness	kuzizira	anger	0.477
ungrateful	osayamika	anger	0.472
battalion	battalion	anger	0.471
