word	Lithuanian-lt	emotion	emotion-intensity-score
scorching	karštas	anger	0.719
vermin	kenkėjai	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	žirgais	anger	0.719
aggravates	sustiprėja	anger	0.719
spiteful	piktas	anger	0.719
slay	sunaikinti	anger	0.719
disdain	nusivylimas	anger	0.719
choke	užspringti	anger	0.719
bastarding	bustarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchizmas	anger	0.714
mutilation	žalojimas	anger	0.714
criminal	nusikalstamas	anger	0.714
denunciation	denonsavimas	anger	0.713
punch	Punch	anger	0.713
crucifixion	nukryžiavimas	anger	0.712
virulence	virulentiškumas	anger	0.712
battled	kovojo	anger	0.712
fatal	mirtinas	anger	0.712
holocaust	holokaustas	anger	0.712
blasphemous	šventvagiškas	anger	0.712
hurting	skauda	anger	0.712
dumbasses	kumšteliai	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	iškraipytas	anger	0.706
atrocious	žiaurus	anger	0.706
evil	velnias	anger	0.706
irritated	sudirgusi	anger	0.706
assassin	Assassin	anger	0.703
dicks	dicks	anger	0.703
persecution	persekiojimas	anger	0.703
slayer	Slayer	anger	0.703
kidnap	pagrobti	anger	0.703
scolding	sumušimas	anger	0.703
intimidation	bauginimas	anger	0.703
aggravated	sustiprėja	anger	0.703
aggression	agresija	anger	0.702
armed	ginkluotosios	anger	0.700
poison	nuodai	anger	0.697
snarling	snarlingas	anger	0.697
venom	nuodai	anger	0.697
battle	mūšis	anger	0.697
disgruntled	nepatogus	anger	0.693
insidious	klastingas	anger	0.691
assailant	užpuolikas	anger	0.691
resentment	apmaudas	anger	0.691
lynch	lynch	anger	0.690
contemptuous	nusivylęs	anger	0.690
temper	temperamentas	anger	0.688
imprisonment	laisvės atėmimas	anger	0.688
disparage	nusiminusi	anger	0.688
bully	patyčias	anger	0.688
terrible	baisi	anger	0.688
lunatic	nemalonus	anger	0.688
curse	prakeiksmas	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominavimas	anger	0.688
mad	piktas	anger	0.688
infanticide	kūdikiams	anger	0.688
volatility	kintamumas	anger	0.687
eradication	likvidavimas	anger	0.685
tantrum	tantrum	anger	0.682
devastate	sunaikinti	anger	0.682
eradicate	išnaikinti	anger	0.682
scoundrel	nesąmonė	anger	0.682
aggressively	agresyviai	anger	0.680
agitation	agitacija	anger	0.680
dictatorship	diktatūra	anger	0.676
irritates	dirgina	anger	0.676
profanity	neteisybė	anger	0.673
egregious	kankinantis	anger	0.672
expletive	pagarbus	anger	0.672
nasty	bjaurus	anger	0.672
shove	nuleisti	anger	0.672
shot	kulka	anger	0.672
harmful	kenksmingas	anger	0.672
aggravation	pablogėjimas	anger	0.672
contempt	panieka	anger	0.672
poisonous	nuodingas	anger	0.672
dastardly	netyčia	anger	0.672
shoot	šaudyti	anger	0.672
corrupting	sugadintas	anger	0.672
condemnation	pasmerkimas	anger	0.672
wreak	sumušti	anger	0.672
crushed	susmulkintas	anger	0.672
cruelly	žiauriai	anger	0.672
crime	nusikaltimas	anger	0.672
maniac	maniakas	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	išsiveržimas	anger	0.667
odious	bjaurus	anger	0.667
shooting	Šaudymas	anger	0.667
kick	smūgis	anger	0.667
aggressive	agresyvus	anger	0.667
combat	kovoti	anger	0.667
shout	šaukti	anger	0.667
hit	nukentėti	anger	0.667
fight	kovoti	anger	0.667
cutthroat	pjūvis	anger	0.667
enemy	priešas	anger	0.667
irritable	irzlus	anger	0.667
punished	nubaustas	anger	0.662
ambush	pasala	anger	0.661
yell	klaida	anger	0.661
harass	priekabiauti	anger	0.659
malignant	piktybinis	anger	0.656
aggressor	agresoriaus	anger	0.656
antichrist	antikristas	anger	0.656
gore	įsiuvas	anger	0.656
incense	smilkalai	anger	0.656
expel	išsiųsti	anger	0.656
destruction	sunaikinimas	anger	0.656
grudge	apgailestauti	anger	0.656
cranky	Cranky	anger	0.653
offended	įžeistas	anger	0.652
spank	spank	anger	0.652
growl	Groti	anger	0.652
insurrection	sukilimas	anger	0.652
reprisal	represija	anger	0.652
slave	vergas	anger	0.652
denounce	denonsuoti	anger	0.652
animosity	priešiškumas	anger	0.652
insulting	įžeidimas	anger	0.652
clashing	susidūrimas	anger	0.652
growls	giria	anger	0.649
executioner	kareivis	anger	0.644
twat	twat	anger	0.644
doomsday	pasimatymų diena	anger	0.643
daemon	daemonas	anger	0.641
obscenity	nešvankumas	anger	0.641
bombard	bombarduoti	anger	0.641
spat	švaistyti	anger	0.641
havoc	žlugimas	anger	0.641
feud	feudas	anger	0.641
grr	grr	anger	0.641
arson	padegimas	anger	0.641
reprimand	papeikimas	anger	0.641
expulsion	išsiuntimas iš šalies	anger	0.641
inexcusable	nepateisinamas	anger	0.641
accused	kaltinamas	anger	0.641
indignant	pasipiktinęs	anger	0.641
shackle	sijonas	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	žaizdos	anger	0.636
suicidal	savižudis	anger	0.636
poisoned	apsinuodijęs	anger	0.636
batter	tešlą	anger	0.636
kicking	spardyti	anger	0.636
hanging	kabantis	anger	0.636
spanking	spanking	anger	0.636
disgusting	bjaurus	anger	0.636
combatant	kovotojas	anger	0.636
frustrated	nusivylęs	anger	0.636
anarchy	anarchija	anger	0.636
glaring	akivaizdu	anger	0.636
inflict	sukelti	anger	0.633
wrecked	sudaužytas	anger	0.633
grievous	sunkus	anger	0.632
prosecute	baudžiamasis persekiojimas	anger	0.630
agitated	susijaudinęs	anger	0.630
cheat	apgauti	anger	0.630
swastika	Swastika	anger	0.627
defamatory	šmeižikiškas	anger	0.625
suffocation	dusulys	anger	0.625
strife	nesantaika	anger	0.625
provocation	provokacija	anger	0.625
injure	sužeisti	anger	0.625
harassing	priekabiavimas	anger	0.625
scourge	rykštė	anger	0.625
cursing	prakeikimas	anger	0.625
betray	išduoti	anger	0.625
indict	kaltinamasis	anger	0.625
raid	reidas	anger	0.625
thundering	griauniantis	anger	0.625
enslaved	pavergė	anger	0.625
arsehole	arsehole	anger	0.624
insane	psichiškas	anger	0.621
fiend	velnias	anger	0.621
irritate	sudirginti	anger	0.621
convict	kaltinamasis	anger	0.621
jerk	šoktelėti	anger	0.621
theft	vagystė	anger	0.621
retaliation	kerštas	anger	0.621
deprivation	atėmimas	anger	0.621
cussed	cussed	anger	0.619
turmoil	neramumai	anger	0.618
smack	šokti	anger	0.615
retribution	atlyginimas	anger	0.614
twats	twats	anger	0.609
intolerable	nepakeliamas	anger	0.609
rebellion	sukilimas	anger	0.609
injurious	žalingas	anger	0.609
oppressor	prispaudėjas	anger	0.609
slavery	vergija	anger	0.609
irritability	dirglumas	anger	0.609
collision	susidūrimas	anger	0.609
bitterly	kartaus	anger	0.609
gang	gauja	anger	0.609
antagonism	antagonizmas	anger	0.609
battery	baterija	anger	0.609
adverse	neigiamas	anger	0.609
disgraced	gėda	anger	0.608
irritating	dirgina	anger	0.606
revolution	revoliucija	anger	0.606
thug	bjaurus	anger	0.606
diatribe	Diatribe	anger	0.606
bombardment	bombardavimas	anger	0.606
blast	sprogimas	anger	0.606
irks	riestai	anger	0.606
sickening	sielvartas	anger	0.606
discrimination	diskriminacija	anger	0.606
antagonistic	antagonistinis	anger	0.606
ranting	ranting	anger	0.606
asshole	asilas	anger	0.606
frustrate	iškraipyti	anger	0.604
manipulation	manipuliavimas	anger	0.603
tension	įtampa	anger	0.603
insult	įžeidimas	anger	0.603
bigot	fanatas	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	žalingas	anger	0.603
oppression	priespauda	anger	0.603
disgust	pasibjaurėjimas	anger	0.602
spite	nepaisant to	anger	0.600
intrusive	intrusyvus	anger	0.598
harshness	kietumas	anger	0.597
slur	slysti	anger	0.596
wretch	nelaimingas	anger	0.594
inferno	inferno	anger	0.594
invasion	invazija	anger	0.594
puncture	punkcija	anger	0.594
miserable	apgailėtinas	anger	0.594
assail	užmušti	anger	0.594
storming	šturmas	anger	0.594
casualty	nelaimingas atsitikimas	anger	0.594
bitterness	kartumas	anger	0.594
morbidity	sergamumas	anger	0.594
tempest	audra	anger	0.594
consternation	sąmyšis	anger	0.592
depraved	iškraipytas	anger	0.591
raving	ravingas	anger	0.591
guillotine	giljotina	anger	0.591
guilty	kaltas	anger	0.591
immoral	amoralus	anger	0.591
forcibly	prievarta	anger	0.591
overpowering	pergalingas	anger	0.591
accursed	prakeiktas	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	nepaklusnus	anger	0.588
invader	įsibrovėlis	anger	0.588
scare	panika	anger	0.588
screwed	prisukamas	anger	0.588
indignation	pasipiktinimas	anger	0.587
jealousy	pavydas	anger	0.587
vexed	apgailėtinas	anger	0.586
confront	priešintis	anger	0.582
brute	brute	anger	0.581
throttle	droselinė sklendė	anger	0.579
wreck	avarija	anger	0.578
revolver	revolveris	anger	0.578
slut	liemenė	anger	0.578
yousuck	yousuck	anger	0.578
damage	žala	anger	0.578
butcher	mėsininkas	anger	0.578
conflict	konfliktas	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	nusikalstamumas	anger	0.578
bickering	siaubti	anger	0.578
pillage	plėšimas	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	perversmas	anger	0.578
contentious	ginčytina	anger	0.578
incarceration	įkalinimas	anger	0.578
defiant	iššaukiantis	anger	0.578
provoking	provokuojantis	anger	0.578
lash	blakstiena	anger	0.578
cancer	vėžys	anger	0.577
frustration	nusivylimas	anger	0.576
gory	gory	anger	0.576
alienation	atsiskyrimas	anger	0.576
discord	nesantaika	anger	0.576
disturbance	trikdymas	anger	0.576
grope	išplėšti	anger	0.576
condescension	nusivylimas	anger	0.576
pernicious	žalingas	anger	0.576
blasphemy	šventvagystė	anger	0.576
discriminate	diskriminuoti	anger	0.576
chaotic	chaotiškas	anger	0.576
gun	ginklas	anger	0.576
standoff	atsilikimas	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	nepaklusnumas	anger	0.574
oppressive	slegiantis	anger	0.574
death	mirtis	anger	0.574
jab	Jabas	anger	0.574
cursed	prakeiktas	anger	0.574
scandalous	skandalingas	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	šūdas	anger	0.573
disparaging	nusivylimas	anger	0.571
slash	trafaretas	anger	0.571
unfair	Nesąžininga	anger	0.571
gallows	šiaudai	anger	0.570
escalate	išsiplėsti	anger	0.569
intolerant	netoleranti	anger	0.564
lawlessness	neteisybė	anger	0.563
bluddy	bluddy	anger	0.562
perdition	žudymas	anger	0.562
taunt	juoktis	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedas	anger	0.562
deceived	apgauti	anger	0.562
slander	šmeižtas	anger	0.562
retards	vėluoja	anger	0.562
bearish	lydekas	anger	0.562
invade	įsiveržti	anger	0.562
bellows	silfonas	anger	0.562
beast	žvėris	anger	0.562
frightful	baisus	anger	0.562
derogatory	žalingas	anger	0.562
glare	atspindys	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	baisus	anger	0.562
traitor	išdavikas	anger	0.562
malign	kenksmingas	anger	0.562
wrangling	ginčytis	anger	0.562
dissension	nesantaika	anger	0.561
banshee	banshee	anger	0.561
shatter	suplakti	anger	0.561
conflagration	gaisras	anger	0.561
jeopardize	pavojaus	anger	0.561
thief	vagis	anger	0.561
rave	rave	anger	0.561
grating	groteles	anger	0.561
devastating	niokojantis	anger	0.561
idiots	idiots	anger	0.561
betrayal	išdavystė	anger	0.561
uncontrollable	nekontroliuojamas	anger	0.561
fits	tinka	anger	0.561
cross	kirsti	anger	0.561
hurt	skauda	anger	0.561
disturbed	sutrikdyta	anger	0.559
subjugation	subjugavimas	anger	0.559
stomped	Stomped	anger	0.557
grab	patraukti	anger	0.557
ticked	pažymėta	anger	0.556
masochism	masochizmas	anger	0.556
grievance	skundas	anger	0.556
defiance	nepasitenkinimas	anger	0.552
blackmail	šantažas	anger	0.550
offensive	agresyvus	anger	0.549
decry	sunaikinti	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	pažeidimas	anger	0.547
punishment	bausmė	anger	0.547
shrill	siautėti	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	tamsioji pusė	anger	0.547
misery	nelaimė	anger	0.547
frustrates	nusivylęs	anger	0.547
disgraceful	gėdingas	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	valdomas	anger	0.547
disparity	skirtumas	anger	0.547
confine	apsiriboti	anger	0.547
firearms	šaunamieji ginklai	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	nepagrįstas	anger	0.547
rebel	sukilėlių	anger	0.547
deceive	apgauti	anger	0.547
stolen	pavogtas	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Wanker	anger	0.545
heated	įkaitintas	anger	0.545
ruined	sugadintas	anger	0.545
menace	Gresmė	anger	0.545
humiliate	pažeminti	anger	0.545
tackle	spręsti	anger	0.545
conspirator	sąmokslininkas	anger	0.545
foul	negerai	anger	0.545
antagonist	antagonistas	anger	0.545
resentful	įsižeidęs	anger	0.545
prejudice	prietarai	anger	0.545
adversary	priešas	anger	0.545
argument	argumentas	anger	0.545
skirmish	sustingimas	anger	0.545
callous	kuklus	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	įsipainiojęs	anger	0.544
robbery	apiplėšimas	anger	0.544
sting	girtis	anger	0.544
outcry	protestas	anger	0.544
grumble	šoktelėti	anger	0.544
irreconcilable	nesuderinamas	anger	0.543
resistance	pasipriešinimas	anger	0.543
obstructive	obstrukcinis	anger	0.542
dismay	sumišimas	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	blogybė	anger	0.536
ridicule	juoktis	anger	0.534
incendiary	uždegiminis	anger	0.533
flares	sprogstai	anger	0.532
degeneracy	išnykimas	anger	0.531
confinement	gimdymas	anger	0.531
exacerbation	paūmėjimas	anger	0.531
prejudicial	žalingas	anger	0.531
uprising	sukilimas	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	neapgalvota	anger	0.531
unbridled	nevaldomas	anger	0.531
allegation	tvirtinimas	anger	0.531
communism	komunizmas	anger	0.531
whip	plakti	anger	0.531
intruder	įsibrovėlis	anger	0.531
dispute	gintis	anger	0.531
belittle	nuraminti	anger	0.531
bigoted	fantazuoti	anger	0.530
offender	nusikaltėlis	anger	0.530
hassle	vargo	anger	0.530
dissonance	disonansas	anger	0.530
unjust	neteisingas	anger	0.530
dictatorial	diktatūrinis	anger	0.530
unjustifiable	nepagrįstas	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversimas	anger	0.530
tackled	spręsti	anger	0.530
renegade	Renegade	anger	0.529
hot	karštas	anger	0.529
prison	kalėjimas	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	nusižengimas	anger	0.529
suicide	savižudis	anger	0.521
annoy	erzina	anger	0.520
leavemealone	palik mane vieną	anger	0.517
idiotic	idiotiškas	anger	0.516
distrust	nepasitikėjimas	anger	0.516
depravity	nusikaltimas	anger	0.516
cretins	Kretinai	anger	0.516
divorce	skyrybos	anger	0.516
broil	broil	anger	0.516
grrr	Grrr	anger	0.516
venting	išleidimas	anger	0.516
inimical	neigiamas	anger	0.516
duress	priversti	anger	0.516
disrespectful	nepagarbus	anger	0.516
tortious	tariamai	anger	0.516
criticize	kritikuoti	anger	0.516
prisoner	kalinys	anger	0.516
dishonest	nesąžiningas	anger	0.516
treason	išdavystė	anger	0.516
victimized	nukentėjęs	anger	0.515
bile	tulžis	anger	0.515
unkind	negeras	anger	0.515
unforgiving	nepagarbus	anger	0.515
unleash	atskleisti	anger	0.515
coercion	prievarta	anger	0.515
scold	šmeižti	anger	0.515
chaos	chaosas	anger	0.515
grump	griūtis	anger	0.515
roar	riaumoti	anger	0.515
jerks	jerks	anger	0.515
poaching	brakonieriavimas	anger	0.515
hangry	Hangri	anger	0.515
pow	pow	anger	0.515
poachers	brakonieriai	anger	0.515
argumentation	argumentavimas	anger	0.515
frustrating	nelinksma	anger	0.515
tussle	Tulsle	anger	0.514
bane	buna	anger	0.511
accusation	kaltinimas	anger	0.510
repudiation	atsisakymas	anger	0.510
enmity	priešiškumas	anger	0.510
banish	pašalinti	anger	0.509
disfigured	iškraipyta	anger	0.508
storm	audra	anger	0.507
shun	apsisaugoti	anger	0.500
suppression	slopinimas	anger	0.500
unruly	nepaklusnus	anger	0.500
intractable	nesuderinamas	anger	0.500
ordeal	išbandymas	anger	0.500
obstruct	trukdyti	anger	0.500
derogation	nukrypimas	anger	0.500
fervor	pasigailėjimas	anger	0.500
foaming	putojantis	anger	0.500
derision	sumišimas	anger	0.500
animus	animusas	anger	0.500
rejects	atmeta	anger	0.500
bout	bout	anger	0.500
spear	ietis	anger	0.500
crazy	pamišęs	anger	0.500
brazen	bjaurus	anger	0.500
antithesis	antitezė	anger	0.500
injustice	neteisinga	anger	0.500
banished	ištremtas	anger	0.500
confined	uždaras	anger	0.500
frenzied	siaubingas	anger	0.500
dominate	dominuoti	anger	0.500
disrupting	sutrikdyti	anger	0.500
hammering	kalimas	anger	0.500
fear	baimė	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	sielvartas	anger	0.500
brunt	smūgis	anger	0.500
possessed	turima	anger	0.500
defy	iššaukti	anger	0.500
scoff	siautėti	anger	0.500
patronising	globoja	anger	0.500
delusional	klaidinantis	anger	0.500
malpractice	piktnaudžiavimas	anger	0.500
reject	atmesti	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	tvirtumas	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	beprotybė	anger	0.491
sinful	nuodėmingas	anger	0.491
avarice	avarija	anger	0.490
oppress	prispausti	anger	0.490
disapproved	nepatvirtintas	anger	0.485
inhuman	nežmoniškas	anger	0.485
demand	paklausa	anger	0.485
abolish	panaikinti	anger	0.485
anathema	Anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	skundas	anger	0.485
disservice	kantrumas	anger	0.485
smuggler	kontrabandininkas	anger	0.485
revoke	atšaukti	anger	0.485
infraction	pažeidimas	anger	0.485
claw	kiškis	anger	0.485
dissident	disidentas	anger	0.485
pervert	iškrypėlis	anger	0.485
incest	incestas	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	nepaklusnus	anger	0.485
usurp	usurp	anger	0.485
alienate	atsikratyti	anger	0.485
avenger	keršytojas	anger	0.485
annoyed	erzina	anger	0.485
cutting	pjaustymas	anger	0.485
disgrace	gėda	anger	0.484
deceit	apgaulė	anger	0.484
suspicious	įtartinas	anger	0.484
thresh	šluostyti	anger	0.484
sucker	siurblys	anger	0.484
strained	įtemptas	anger	0.484
blame	kaltinti	anger	0.484
upheaval	perversmas	anger	0.484
renounce	atsisakyti	anger	0.484
obnoxious	nemalonus	anger	0.484
restrain	sulaikyti	anger	0.484
oust	išstumti	anger	0.484
litigious	ginčytinas	anger	0.484
rivalry	varžymasis	anger	0.484
penalty	bausmė	anger	0.484
imprisoned	įkalintas	anger	0.484
mocking	išminkimas	anger	0.484
opposed	priešinosi	anger	0.484
turbulence	turbulencija	anger	0.483
pound	svaras	anger	0.481
coldness	šaltis	anger	0.477
