word	Danish-da	emotion	emotion-intensity-score
devastation	ødelæggelser	anger	0.765
resent	harmes over	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	foragtelig	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	grusom	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	dødelig	anger	0.758
smash	smadre	anger	0.758
rant	tirade	anger	0.758
outburst	udbrud	anger	0.757
snarl	snerren	anger	0.754
profane	blasfemisk	anger	0.750
offend	fornærme	anger	0.750
douchebags	douchebags	anger	0.750
growling	knurren	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaritet	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	forrykte	anger	0.750
despise	foragte	anger	0.750
horror	rædsel	anger	0.750
aggravating	forværret	anger	0.750
revolting	oprørende	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	trussel	anger	0.742
erupt	bryde ud	anger	0.742
screaming	skrigende	anger	0.742
violence	vold	anger	0.742
horrible	forfærdelig	anger	0.742
molestation	forulempelse	anger	0.742
bastards	skiderikker	anger	0.741
revenge	hævn	anger	0.738
catastrophe	katastrofe	anger	0.735
menacing	truende	anger	0.735
demon	dæmon	anger	0.735
crushing	knusning	anger	0.735
damn	for pokker	anger	0.735
persecute	forfølge	anger	0.734
argue	argumentere	anger	0.734
flog	piske	anger	0.734
revolt	opstand	anger	0.734
thrash	thrash	anger	0.734
deplore	beklage	anger	0.734
warfare	krigsførelse	anger	0.734
fedup	træt af	anger	0.734
vehement	heftige	anger	0.734
riotous	riotous	anger	0.734
altercation	skænderi	anger	0.729
warlike	krigerisk	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mytteri	anger	0.727
castrate	kastrere	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	ondsindet	anger	0.721
strike	strejke	anger	0.721
disaster	katastrofe	anger	0.721
disastrous	katastrofal	anger	0.720
tumult	tumult	anger	0.719
madden	Madden	anger	0.719
devil	djævel	anger	0.719
scream	skrige	anger	0.719
brutal	brutal	anger	0.719
treachery	forræderi	anger	0.719
scorching	glohed	anger	0.719
vermin	skadedyr	anger	0.719
arseholes	røvhuller	anger	0.719
horseshit	lort	anger	0.719
aggravates	forværrer	anger	0.719
spiteful	ondsindet	anger	0.719
slay	dræbe	anger	0.719
disdain	Foragt	anger	0.719
choke	kvæle	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkisme	anger	0.714
mutilation	lemlæstelse	anger	0.714
criminal	kriminel	anger	0.714
denunciation	opsigelse	anger	0.713
punch	patrice	anger	0.713
crucifixion	korsfæstelse	anger	0.712
virulence	virulens	anger	0.712
battled	kæmpet	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasfemisk	anger	0.712
hurting	såre	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	sindsforvirret	anger	0.706
atrocious	grusomme	anger	0.706
evil	ond	anger	0.706
irritated	irriteret	anger	0.706
assassin	snigmorder	anger	0.703
dicks	dicks	anger	0.703
persecution	forfølgelse	anger	0.703
slayer	slayer	anger	0.703
kidnap	kidnappe	anger	0.703
scolding	skæld ud	anger	0.703
intimidation	intimidering	anger	0.703
aggravated	forværret	anger	0.703
aggression	aggression	anger	0.702
armed	bevæbnet	anger	0.700
poison	gift	anger	0.697
snarling	snerrende	anger	0.697
venom	venom	anger	0.697
battle	kamp	anger	0.697
disgruntled	utilfredse	anger	0.693
insidious	snigende	anger	0.691
assailant	voldsmand	anger	0.691
resentment	vrede	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	foragtende	anger	0.690
temper	temperament	anger	0.688
imprisonment	fængsling	anger	0.688
disparage	underkende	anger	0.688
bully	Bølle	anger	0.688
terrible	forfærdeligt	anger	0.688
lunatic	sindssyg	anger	0.688
curse	forbande	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	irriteret	anger	0.688
domination	dominans	anger	0.688
mad	gal	anger	0.688
infanticide	barnemord	anger	0.688
volatility	volatilitet	anger	0.687
eradication	udryddelse	anger	0.685
tantrum	raserianfald	anger	0.682
devastate	ødelægge	anger	0.682
eradicate	udrydde	anger	0.682
scoundrel	slyngel	anger	0.682
aggressively	aggressivt	anger	0.680
agitation	agitation	anger	0.680
dictatorship	diktatur	anger	0.676
irritates	irriterer	anger	0.676
profanity	bandeord	anger	0.673
egregious	ekstreme	anger	0.672
expletive	udråb	anger	0.672
nasty	grim	anger	0.672
shove	puffe	anger	0.672
shot	skud	anger	0.672
harmful	skadelig	anger	0.672
aggravation	forværring	anger	0.672
contempt	foragt	anger	0.672
poisonous	giftig	anger	0.672
dastardly	nedrige	anger	0.672
shoot	skyde	anger	0.672
corrupting	korrumperende	anger	0.672
condemnation	fordømmelse	anger	0.672
wreak	anrette	anger	0.672
crushed	knust	anger	0.672
cruelly	grusomt	anger	0.672
crime	forbrydelse	anger	0.672
maniac	sindsyg	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	udbrud	anger	0.667
odious	frastødende	anger	0.667
shooting	skydning	anger	0.667
kick	sparke	anger	0.667
aggressive	aggressiv	anger	0.667
combat	bekæmpe	anger	0.667
shout	råbe	anger	0.667
hit	hit	anger	0.667
fight	kæmpe	anger	0.667
cutthroat	skarp	anger	0.667
enemy	fjende	anger	0.667
irritable	irritabel	anger	0.667
punished	straffet	anger	0.662
ambush	baghold	anger	0.661
yell	råbe	anger	0.661
harass	plage	anger	0.659
malignant	ondartet	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	Antikrist	anger	0.656
gore	Gore	anger	0.656
incense	røgelse	anger	0.656
expel	bortvise	anger	0.656
destruction	ødelæggelse	anger	0.656
grudge	nag	anger	0.656
cranky	mærkelig	anger	0.653
offended	fornærmet	anger	0.652
spank	Spank	anger	0.652
growl	knurre	anger	0.652
insurrection	oprør	anger	0.652
reprisal	repressalier	anger	0.652
slave	slave	anger	0.652
denounce	opsige	anger	0.652
animosity	fjendskab	anger	0.652
insulting	fornærmende	anger	0.652
clashing	modstridende	anger	0.652
growls	knurren	anger	0.649
executioner	bøddel	anger	0.644
twat	twat	anger	0.644
doomsday	dommedag	anger	0.643
daemon	dæmon	anger	0.641
obscenity	obskønitet	anger	0.641
bombard	bombardere	anger	0.641
spat	spyttede	anger	0.641
havoc	ødelæggelse	anger	0.641
feud	fejde	anger	0.641
grr	GRR	anger	0.641
arson	brandstiftelse	anger	0.641
reprimand	irettesættelse	anger	0.641
expulsion	udvisning	anger	0.641
inexcusable	utilgiveligt	anger	0.641
accused	anklagede	anger	0.641
indignant	indignerede	anger	0.641
shackle	bøjle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	sår	anger	0.636
suicidal	selvmordstanker	anger	0.636
poisoned	forgiftet	anger	0.636
batter	dej	anger	0.636
kicking	sparke	anger	0.636
hanging	hængende	anger	0.636
spanking	spanking	anger	0.636
disgusting	ulækkert	anger	0.636
combatant	kombattant	anger	0.636
frustrated	frustreret	anger	0.636
anarchy	anarki	anger	0.636
glaring	grelt	anger	0.636
inflict	påføre	anger	0.633
wrecked	ødelagt	anger	0.633
grievous	grov	anger	0.632
prosecute	rejse tiltale	anger	0.630
agitated	ophidsede	anger	0.630
cheat	snyde	anger	0.630
swastika	hagekors	anger	0.627
defamatory	ærekrænkende	anger	0.625
suffocation	kvælning	anger	0.625
strife	strid	anger	0.625
provocation	provokation	anger	0.625
injure	beskadige	anger	0.625
harassing	chikanerende	anger	0.625
scourge	svøbe	anger	0.625
cursing	forbandelse	anger	0.625
betray	forråde	anger	0.625
indict	anklage	anger	0.625
raid	raid	anger	0.625
thundering	tordnende	anger	0.625
enslaved	gjort til slaver	anger	0.625
arsehole	arsehole	anger	0.624
insane	sindssyg	anger	0.621
fiend	djævel	anger	0.621
irritate	irritere	anger	0.621
convict	straffefange	anger	0.621
jerk	fjols	anger	0.621
theft	tyveri	anger	0.621
retaliation	repressalier	anger	0.621
deprivation	afsavn	anger	0.621
cussed	drøftet	anger	0.619
turmoil	oprør	anger	0.618
smack	lussing	anger	0.615
retribution	gengældelse	anger	0.614
twats	twats	anger	0.609
intolerable	utålelig	anger	0.609
rebellion	oprør	anger	0.609
injurious	skadelig	anger	0.609
oppressor	undertrykkeren	anger	0.609
slavery	slaveri	anger	0.609
irritability	irritabilitet	anger	0.609
collision	kollision	anger	0.609
bitterly	bittert	anger	0.609
gang	bande	anger	0.609
antagonism	antagonisme	anger	0.609
battery	batteri	anger	0.609
adverse	ugunstig	anger	0.609
disgraced	vanærede	anger	0.608
irritating	irriterende	anger	0.606
revolution	revolution	anger	0.606
thug	bandit	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardement	anger	0.606
blast	blast	anger	0.606
irks	irriterer	anger	0.606
sickening	kvalmende	anger	0.606
discrimination	forskelsbehandling	anger	0.606
antagonistic	antagonistiske	anger	0.606
ranting	fantasmer	anger	0.606
asshole	røvhul	anger	0.606
frustrate	frustrere	anger	0.604
manipulation	manipulation	anger	0.603
tension	spænding	anger	0.603
insult	fornærme	anger	0.603
bigot	selvretfærdig	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	sårende	anger	0.603
oppression	undertrykkelse	anger	0.603
disgust	afsky	anger	0.602
spite	trods	anger	0.600
intrusive	påtrængende	anger	0.598
harshness	hårdhed	anger	0.597
slur	nedværdigelse	anger	0.596
wretch	stakkel	anger	0.594
inferno	helvede	anger	0.594
invasion	invasion	anger	0.594
puncture	punktering	anger	0.594
miserable	elendig	anger	0.594
assail	angribe	anger	0.594
storming	storming	anger	0.594
casualty	tilskadekomne	anger	0.594
bitterness	bitterhed	anger	0.594
morbidity	sygelighed	anger	0.594
tempest	storm	anger	0.594
consternation	bestyrtelse	anger	0.592
depraved	fordærvet	anger	0.591
raving	rablende	anger	0.591
guillotine	guillotinen	anger	0.591
guilty	skyldig	anger	0.591
immoral	umoralsk	anger	0.591
forcibly	med magt	anger	0.591
overpowering	overvældende	anger	0.591
accursed	forbandede	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	genstridige	anger	0.588
invader	angriber	anger	0.588
scare	skræmme	anger	0.588
screwed	skruet	anger	0.588
indignation	harme	anger	0.587
jealousy	misundelse	anger	0.587
vexed	ærgerlig	anger	0.586
confront	konfrontere	anger	0.582
brute	brute	anger	0.581
throttle	gashåndtag	anger	0.579
wreck	vrag	anger	0.578
revolver	revolver	anger	0.578
slut	tøs	anger	0.578
yousuck	du stinker	anger	0.578
damage	skade	anger	0.578
butcher	slagter	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitet	anger	0.578
bickering	skænderier	anger	0.578
pillage	plyndring	anger	0.578
blaze	blis	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kup	anger	0.578
contentious	omstridt	anger	0.578
incarceration	indespærring	anger	0.578
defiant	trodsig	anger	0.578
provoking	provokerende	anger	0.578
lash	øjenvippe	anger	0.578
cancer	Kræft	anger	0.577
frustration	frustration	anger	0.576
gory	bloddryppende	anger	0.576
alienation	fremmedgørelse	anger	0.576
discord	disharmoni	anger	0.576
disturbance	forstyrrelse	anger	0.576
grope	Befamle	anger	0.576
condescension	nedladenhed	anger	0.576
pernicious	perniciøs	anger	0.576
blasphemy	blasfemi	anger	0.576
discriminate	diskriminere	anger	0.576
chaotic	kaotisk	anger	0.576
gun	kanon	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	vrængen	anger	0.574
lunacy	vanvid	anger	0.574
oppressive	undertrykkende	anger	0.574
death	død	anger	0.574
jab	jab	anger	0.574
cursed	forbandet	anger	0.574
scandalous	skandaløs	anger	0.574
monstrosity	skrummel	anger	0.574
shit	lort	anger	0.573
disparaging	nedsættende	anger	0.571
slash	skråstreg	anger	0.571
unfair	urimelig	anger	0.571
gallows	galger	anger	0.570
escalate	eskalere	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	lovløshed	anger	0.563
bluddy	bluddy	anger	0.562
perdition	fortabelse	anger	0.562
taunt	håne	anger	0.562
grouchy	gnaven	anger	0.562
torpedo	torpedo	anger	0.562
deceived	bedraget	anger	0.562
slander	bagvaskelse	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	invadere	anger	0.562
bellows	bælge	anger	0.562
beast	dyr	anger	0.562
frightful	frygtelige	anger	0.562
derogatory	nedsættende	anger	0.562
glare	blænding	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	forfærdelig	anger	0.562
traitor	forræder	anger	0.562
malign	malign	anger	0.562
wrangling	tovtrækkeri	anger	0.562
dissension	splid	anger	0.561
banshee	Banshee	anger	0.561
shatter	splintre	anger	0.561
conflagration	storbrand	anger	0.561
jeopardize	true	anger	0.561
thief	tyv	anger	0.561
rave	rave	anger	0.561
grating	rist	anger	0.561
devastating	ødelæggende	anger	0.561
idiots	idioter	anger	0.561
betrayal	forræderi	anger	0.561
uncontrollable	ustyrlig	anger	0.561
fits	passer	anger	0.561
cross	kryds	anger	0.561
hurt	gøre ondt	anger	0.561
disturbed	forstyrret	anger	0.559
subjugation	undertvingelse	anger	0.559
stomped	trampede	anger	0.557
grab	tag fat	anger	0.557
ticked	afkrydset	anger	0.556
masochism	masochisme	anger	0.556
grievance	klage	anger	0.556
defiance	trodsighed	anger	0.552
blackmail	afpresse	anger	0.550
offensive	offensiv	anger	0.549
decry	nedvurderer	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	krænkelse	anger	0.547
punishment	straf	anger	0.547
shrill	skingrende	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	mørk side	anger	0.547
misery	elendighed	anger	0.547
frustrates	frustrerer	anger	0.547
disgraceful	vanærende	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	anmassende	anger	0.547
disparity	ulighed	anger	0.547
confine	begrænse	anger	0.547
firearms	skydevåben	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurd	anger	0.547
rebel	Rebel	anger	0.547
deceive	bedrage	anger	0.547
stolen	stjålet	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	opvarmet	anger	0.545
ruined	ødelagt	anger	0.545
menace	trussel	anger	0.545
humiliate	ydmyge	anger	0.545
tackle	tackle	anger	0.545
conspirator	medsammensvoren	anger	0.545
foul	modbydeligt	anger	0.545
antagonist	modstander	anger	0.545
resentful	krænket	anger	0.545
prejudice	fordomme	anger	0.545
adversary	modstander	anger	0.545
argument	argument	anger	0.545
skirmish	træfning	anger	0.545
callous	afstumpede	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	viklet ind	anger	0.544
robbery	røveri	anger	0.544
sting	stik	anger	0.544
outcry	ramaskrig	anger	0.544
grumble	knurre	anger	0.544
irreconcilable	uforenelige	anger	0.543
resistance	modstand	anger	0.543
obstructive	obstruktiv	anger	0.542
dismay	forfærdelse	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ondskab	anger	0.536
ridicule	latterliggøre	anger	0.534
incendiary	brandbomber	anger	0.533
flares	nødblus	anger	0.532
degeneracy	degeneration	anger	0.531
confinement	indespærring	anger	0.531
exacerbation	forværring	anger	0.531
prejudicial	skade	anger	0.531
uprising	opstand	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	hensynsløs	anger	0.531
unbridled	utøjlede	anger	0.531
allegation	påstand	anger	0.531
communism	kommunisme	anger	0.531
whip	pisk	anger	0.531
intruder	ubuden gæst	anger	0.531
dispute	bestride	anger	0.531
belittle	forklejne	anger	0.531
bigoted	bigot	anger	0.530
offender	gerningsmand	anger	0.530
hassle	besvær	anger	0.530
dissonance	dissonans	anger	0.530
unjust	uretfærdig	anger	0.530
dictatorial	diktatorisk	anger	0.530
unjustifiable	uberettiget	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	tackles	anger	0.530
renegade	frafalden	anger	0.529
hot	hed	anger	0.529
prison	fængsel	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	ulovlig indtrængen	anger	0.529
suicide	selvmord	anger	0.521
annoy	irritere	anger	0.520
leavemealone	Lad mig være i fred	anger	0.517
idiotic	idiotisk	anger	0.516
distrust	mistillid	anger	0.516
depravity	fordærvelse	anger	0.516
cretins	cretins	anger	0.516
divorce	skilsmisse	anger	0.516
broil	stege	anger	0.516
grrr	Grrr	anger	0.516
venting	udluftning	anger	0.516
inimical	fjendtlig	anger	0.516
duress	tvang	anger	0.516
disrespectful	respektløst	anger	0.516
tortious	skadevoldende	anger	0.516
criticize	kritisere	anger	0.516
prisoner	fange	anger	0.516
dishonest	uærlig	anger	0.516
treason	forræderi	anger	0.516
victimized	offer	anger	0.515
bile	galde	anger	0.515
unkind	uvenlig	anger	0.515
unforgiving	nådesløs	anger	0.515
unleash	frigøre	anger	0.515
coercion	tvang	anger	0.515
scold	skælde ud	anger	0.515
chaos	kaos	anger	0.515
grump	grump	anger	0.515
roar	brøl	anger	0.515
jerks	ryk	anger	0.515
poaching	krybskytteri	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	krybskytter	anger	0.515
argumentation	argumentation	anger	0.515
frustrating	frustrerende	anger	0.515
tussle	slagsmål	anger	0.514
bane	bane	anger	0.511
accusation	anklage	anger	0.510
repudiation	afvisning	anger	0.510
enmity	fjendskab	anger	0.510
banish	forjage	anger	0.509
disfigured	vansiret	anger	0.508
storm	storm	anger	0.507
shun	skye	anger	0.500
suppression	undertrykkelse	anger	0.500
unruly	uregerlig	anger	0.500
intractable	umedgørlig	anger	0.500
ordeal	prøvelser	anger	0.500
obstruct	hindre	anger	0.500
derogation	dispensation	anger	0.500
fervor	iver	anger	0.500
foaming	skummende	anger	0.500
derision	hån	anger	0.500
animus	animus	anger	0.500
rejects	afviser	anger	0.500
bout	Bout	anger	0.500
spear	spyd	anger	0.500
crazy	helt vildt	anger	0.500
brazen	fræk	anger	0.500
antithesis	antitese	anger	0.500
injustice	uretfærdighed	anger	0.500
banished	forvist	anger	0.500
confined	begrænset	anger	0.500
frenzied	forrykte	anger	0.500
dominate	dominere	anger	0.500
disrupting	forstyrrende	anger	0.500
hammering	hamring	anger	0.500
fear	frygt	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	kvaler	anger	0.500
brunt	hovedparten	anger	0.500
possessed	besad	anger	0.500
defy	trodse	anger	0.500
scoff	håner	anger	0.500
patronising	nedladende	anger	0.500
delusional	vrangforestilling	anger	0.500
malpractice	fejlbehandling	anger	0.500
reject	afvise	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	sejhed	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	vanvid	anger	0.491
sinful	syndig	anger	0.491
avarice	griskhed	anger	0.490
oppress	undertrykke	anger	0.490
disapproved	afvist	anger	0.485
inhuman	umenneskelig	anger	0.485
demand	efterspørgsel	anger	0.485
abolish	afskaffe	anger	0.485
anathema	bandlyst	anger	0.485
fricking	fricking	anger	0.485
complaint	klage	anger	0.485
disservice	bjørnetjeneste	anger	0.485
smuggler	smugler	anger	0.485
revoke	tilbagekalde	anger	0.485
infraction	overtrædelse	anger	0.485
claw	klo	anger	0.485
dissident	dissident	anger	0.485
pervert	pervers	anger	0.485
incest	blodskam	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ulydig	anger	0.485
usurp	tilrane	anger	0.485
alienate	fremmedgøre	anger	0.485
avenger	hævner	anger	0.485
annoyed	irriteret	anger	0.485
cutting	skæring	anger	0.485
disgrace	vanære	anger	0.484
deceit	bedrag	anger	0.484
suspicious	mistænksom	anger	0.484
thresh	tærske	anger	0.484
sucker	sugekop	anger	0.484
strained	anstrengt	anger	0.484
blame	bebrejde	anger	0.484
upheaval	omvæltning	anger	0.484
renounce	give afkald på	anger	0.484
obnoxious	klamt	anger	0.484
restrain	begrænse	anger	0.484
oust	fortrænge	anger	0.484
litigious	litigious	anger	0.484
rivalry	rivalisering	anger	0.484
penalty	straf	anger	0.484
imprisoned	fængslet	anger	0.484
mocking	spottende	anger	0.484
opposed	imod	anger	0.484
turbulence	turbulens	anger	0.483
pound	pund	anger	0.481
coldness	kulde	anger	0.477
ungrateful	utaknemmelig	anger	0.472
battalion	bataljon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	gidsel	anger	0.470
infidel	vantro	anger	0.470
ram	vædder	anger	0.470
accuser	anklager	anger	0.470
gall	galde	anger	0.470
subversion	subversion	anger	0.470
annoying	irriterende	anger	0.470
adversity	modgang	anger	0.470
dispossessed	fordrevne	anger	0.470
friction	friktion	anger	0.470
jealous	jaloux	anger	0.470
feudalism	feudalisme	anger	0.470
armament	bevæbning	anger	0.470
thump	dunk	anger	0.469
complain	brokke sig	anger	0.469
incite	tilskynde	anger	0.469
steal	stjæle	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	være ulydig	anger	0.469
injury	skade	anger	0.469
simmer	simre	anger	0.469
distress	nød	anger	0.469
insanity	sindssyge	anger	0.469
selfish	selvisk	anger	0.469
huff	mopset	anger	0.469
selfishness	selvoptagethed	anger	0.469
backoff	gå væk	anger	0.469
plunder	plyndre	anger	0.469
stifled	kvalt	anger	0.469
subversive	undergravende	anger	0.469
exile	eksil	anger	0.469
offense	forbrydelse	anger	0.469
objection	indvending	anger	0.469
recidivism	tilbagefald	anger	0.469
smother	kvæle	anger	0.469
perpetrator	gerningsmand	anger	0.469
dislike	kan ikke lide	anger	0.469
disruption	forstyrrelser	anger	0.469
intolerance	intolerance	anger	0.469
opposition	modstand	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
