word	Irish-ga	emotion	emotion-intensity-score
persecute	géarleanúint	anger	0.734
argue	argóint	anger	0.734
flog	flog	anger	0.734
revolt	réabhlóid	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	cogaíocht	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	riotous	anger	0.734
altercation	athrú	anger	0.729
warlike	cogaidh	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	coitianta	anger	0.727
castrate	castra	anger	0.727
sabotage	sabotáiste	anger	0.727
malevolent	gan choinne	anger	0.721
strike	stailc	anger	0.721
disaster	Tubaiste	anger	0.721
disastrous	tubaisteach	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	diabhal	anger	0.719
scream	scream	anger	0.719
brutal	brutal	anger	0.719
treachery	tuile	anger	0.719
scorching	scorching	anger	0.719
vermin	mná	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	ainneoin	anger	0.719
slay	maraigh	anger	0.719
disdain	dífhostú	anger	0.719
choke	choke	anger	0.719
bastarding	básta	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchachas	anger	0.714
mutilation	milleadh	anger	0.714
criminal	coiriúil	anger	0.714
denunciation	séanadh	anger	0.713
punch	punch	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	virulence	anger	0.712
battled	cath	anger	0.712
fatal	marfach	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasphemous	anger	0.712
hurting	hurting	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	aisteach	anger	0.706
evil	olc	anger	0.706
irritated	greannmhar	anger	0.706
assassin	assassin	anger	0.703
dicks	dicks	anger	0.703
persecution	géarleanúint	anger	0.703
slayer	slayer	anger	0.703
kidnap	kidnap	anger	0.703
scolding	scolding	anger	0.703
intimidation	imeaglú	anger	0.703
aggravated	méadaithe	anger	0.703
aggression	ionsaí	anger	0.702
armed	armtha	anger	0.700
poison	nimh	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	cath	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidious	anger	0.691
assailant	assailant	anger	0.691
resentment	brónach	anger	0.691
lynch	lynch	anger	0.690
contemptuous	mealltach	anger	0.690
temper	temper	anger	0.688
imprisonment	príosúnacht	anger	0.688
disparage	díghlas	anger	0.688
bully	bulaí	anger	0.688
terrible	uafásach	anger	0.688
lunatic	gráinneach	anger	0.688
curse	curse	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	tubaistí	anger	0.688
mad	mire	anger	0.688
infanticide	naíonán	anger	0.688
volatility	luaineacht	anger	0.687
eradication	díothú	anger	0.685
tantrum	tantrum	anger	0.682
devastate	tubaiste	anger	0.682
eradicate	deireadh a chur	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	aggressively	anger	0.680
agitation	agitation	anger	0.680
dictatorship	deachtóireacht	anger	0.676
irritates	greannú	anger	0.676
profanity	profanity	anger	0.673
egregious	egregious	anger	0.672
expletive	iomarcach	anger	0.672
nasty	olc	anger	0.672
shove	shove	anger	0.672
shot	lámhaigh	anger	0.672
harmful	dochrach	anger	0.672
aggravation	tromchúiseach	anger	0.672
contempt	díspeagadh	anger	0.672
poisonous	nimhiúil	anger	0.672
dastardly	dastardly	anger	0.672
shoot	shoot	anger	0.672
corrupting	truaillithe	anger	0.672
condemnation	cáineadh	anger	0.672
wreak	wreak	anger	0.672
crushed	brúite	anger	0.672
cruelly	cruálach	anger	0.672
crime	coireacht	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	brúchtadh	anger	0.667
odious	odious	anger	0.667
shooting	lámhach	anger	0.667
kick	ciceáil	anger	0.667
aggressive	ionsaitheach	anger	0.667
combat	comhrac	anger	0.667
shout	shout	anger	0.667
hit	Buail	anger	0.667
fight	troid	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	namhaid	anger	0.667
irritable	irritable	anger	0.667
punished	a phionósú	anger	0.662
ambush	luíochán	anger	0.661
yell	yell	anger	0.661
harass	ciapadh	anger	0.659
malignant	urchóideach	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	incense	anger	0.656
expel	díbirt	anger	0.656
destruction	scrios	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	chiontaigh	anger	0.652
spank	spank	anger	0.652
growl	growl	anger	0.652
insurrection	aisling	anger	0.652
reprisal	briseadh	anger	0.652
slave	daor	anger	0.652
denounce	nochtadh	anger	0.652
animosity	animosity	anger	0.652
insulting	insulting	anger	0.652
clashing	clashing	anger	0.652
growls	folaíonn	anger	0.649
executioner	forghníomhóir	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	géarchacht	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	cónaí	anger	0.641
reprimand	iomarcach	anger	0.641
expulsion	díbirt	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	cúisí	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	créachta	anger	0.636
suicidal	féinmharú	anger	0.636
poisoned	nimhithe	anger	0.636
batter	batter	anger	0.636
kicking	ag ciceáil	anger	0.636
hanging	crochta	anger	0.636
spanking	ag rith	anger	0.636
disgusting	disgusting	anger	0.636
combatant	comhracóir	anger	0.636
frustrated	frustrated	anger	0.636
anarchy	anarchy	anger	0.636
glaring	glaring	anger	0.636
inflict	inflict	anger	0.633
wrecked	rabhadh	anger	0.633
grievous	grievous	anger	0.632
prosecute	ionchúiseamh	anger	0.630
agitated	agitated	anger	0.630
cheat	cheat	anger	0.630
swastika	swastika	anger	0.627
defamatory	clúmhillteach	anger	0.625
suffocation	lobhadh	anger	0.625
strife	strife	anger	0.625
provocation	briogadh	anger	0.625
injure	díobháil	anger	0.625
harassing	ciapadh	anger	0.625
scourge	sciúradh	anger	0.625
cursing	cursing	anger	0.625
betray	bratach	anger	0.625
indict	díotáil	anger	0.625
raid	ruathar	anger	0.625
thundering	thundering	anger	0.625
enslaved	slabhra	anger	0.625
arsehole	arsehole	anger	0.624
insane	dÚsachtach	anger	0.621
fiend	fiend	anger	0.621
irritate	greannú	anger	0.621
convict	ciontach	anger	0.621
jerk	jerk	anger	0.621
theft	goid	anger	0.621
retaliation	cúiteamh	anger	0.621
deprivation	díothacht	anger	0.621
cussed	cussed	anger	0.619
turmoil	suaitheadh	anger	0.618
smack	smack	anger	0.615
retribution	cúiteamh	anger	0.614
twats	twats	anger	0.609
intolerable	inghlactha	anger	0.609
rebellion	éirí amach	anger	0.609
injurious	díobhálach	anger	0.609
oppressor	brúiteoir	anger	0.609
slavery	sclábhaíocht	anger	0.609
irritability	greannaitheacht	anger	0.609
collision	imbhualadh	anger	0.609
bitterly	go searbh	anger	0.609
gang	gang	anger	0.609
antagonism	antagonism	anger	0.609
battery	ceallraí	anger	0.609
adverse	díobhálach	anger	0.609
disgraced	disgraced	anger	0.608
irritating	greannmhar	anger	0.606
revolution	réabhlóid	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	soinneáin	anger	0.606
irks	leideanna	anger	0.606
sickening	breoite	anger	0.606
discrimination	idirdhealú	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrachas	anger	0.604
manipulation	ionramháil	anger	0.603
tension	teannas	anger	0.603
insult	insult	anger	0.603
bigot	móróide	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	díobhálach	anger	0.603
oppression	brú	anger	0.603
disgust	disgust	anger	0.602
spite	ainneoin	anger	0.600
intrusive	intrusive	anger	0.598
harshness	harshness	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	ionradh	anger	0.594
puncture	puncture	anger	0.594
miserable	olc	anger	0.594
assail	assail	anger	0.594
storming	stoirmeacha	anger	0.594
casualty	taisme	anger	0.594
bitterness	searbh	anger	0.594
morbidity	morbacht	anger	0.594
tempest	aimsir	anger	0.594
consternation	suaimhneas	anger	0.592
depraved	cráite	anger	0.591
raving	raving	anger	0.591
guillotine	gilillín	anger	0.591
guilty	ciontach	anger	0.591
immoral	mímhorálta	anger	0.591
forcibly	go forleathan	anger	0.591
overpowering	overpowering	anger	0.591
accursed	scamallach	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	athchothromach	anger	0.588
invader	ionróir	anger	0.588
scare	scare	anger	0.588
screwed	screwed	anger	0.588
indignation	fearg	anger	0.587
jealousy	éad	anger	0.587
vexed	vexed	anger	0.586
confront	dul i ngleic leo	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	raic	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	tá tú úafásach	anger	0.578
damage	damáiste	anger	0.578
butcher	búistéir	anger	0.578
conflict	coimhlint	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	coiriúlacht	anger	0.578
bickering	bickering	anger	0.578
pillage	briseadh	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	contúirteach	anger	0.578
incarceration	claonadh	anger	0.578
defiant	defiant	anger	0.578
provoking	provoking	anger	0.578
lash	lash	anger	0.578
cancer	ailse	anger	0.577
frustration	frustrachas	anger	0.576
gory	gory	anger	0.576
alienation	coimhthiú	anger	0.576
discord	diúltú	anger	0.576
disturbance	suaitheadh	anger	0.576
grope	grope	anger	0.576
condescension	coinséis	anger	0.576
pernicious	deacair	anger	0.576
blasphemy	blasphemy	anger	0.576
discriminate	idirdhealú	anger	0.576
chaotic	chaotic	anger	0.576
gun	gunna	anger	0.576
standoff	dífhostú	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	geallann	anger	0.574
oppressive	oppressive	anger	0.574
death	bás	anger	0.574
jab	jab	anger	0.574
cursed	cursed	anger	0.574
scandalous	scannalach	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	cac	anger	0.573
disparaging	díograiseach	anger	0.571
slash	Slais	anger	0.571
unfair	éagórach	anger	0.571
gallows	gallows	anger	0.570
escalate	ardú	anger	0.569
intolerant	inlerant	anger	0.564
lawlessness	neamhdhlíthe	anger	0.563
bluddy	bluddy	anger	0.562
perdition	caillteanas	anger	0.562
taunt	taunt	anger	0.562
grouchy	ceathrú	anger	0.562
torpedo	torpedo	anger	0.562
deceived	deceived	anger	0.562
slander	cailliúint	anger	0.562
retards	aisghabhálacha	anger	0.562
bearish	líne saor in aisce	anger	0.562
invade	invade	anger	0.562
bellows	clocha	anger	0.562
beast	Beast	anger	0.562
frightful	eagal	anger	0.562
derogatory	mhaolú	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	aisteach	anger	0.562
traitor	fealltóir	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	diúltú	anger	0.561
banshee	banshee	anger	0.561
shatter	crith	anger	0.561
conflagration	mearbhall	anger	0.561
jeopardize	gcontúirt	anger	0.561
thief	thief	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	tubaisteach	anger	0.561
idiots	idiots	anger	0.561
betrayal	bradóireacht	anger	0.561
uncontrollable	neamhrialaithe	anger	0.561
fits	oireann	anger	0.561
cross	trasna	anger	0.561
hurt	gortaithe	anger	0.561
disturbed	suaite	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	grab	anger	0.557
ticked	tic	anger	0.556
masochism	masochachas	anger	0.556
grievance	gearán	anger	0.556
defiance	ar neamhchead	anger	0.552
blackmail	dúmhál	anger	0.550
offensive	ionsaitheacha	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	sárú	anger	0.547
punishment	pionós	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	taobh dorcha	anger	0.547
misery	trua	anger	0.547
frustrates	frustrachas	anger	0.547
disgraceful	náire	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ró-ghrá	anger	0.547
disparity	neamhionannas	anger	0.547
confine	teorannú	anger	0.547
firearms	arm tine	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	neamhchruinniúil	anger	0.547
rebel	reibiliúnach	anger	0.547
deceive	meabhlaireachta	anger	0.547
stolen	goidte	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	téite	anger	0.545
ruined	scriosta	anger	0.545
menace	bagairt	anger	0.545
humiliate	humiliate	anger	0.545
tackle	dul i ngleic	anger	0.545
conspirator	conspirator	anger	0.545
foul	salach	anger	0.545
antagonist	antagonist	anger	0.545
resentful	brónach	anger	0.545
prejudice	dochar	anger	0.545
adversary	adversary	anger	0.545
argument	argóint	anger	0.545
skirmish	skirmish	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	isteach	anger	0.544
robbery	robáil	anger	0.544
sting	sting	anger	0.544
outcry	outcry	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	friotaíocht	anger	0.543
obstructive	bacainn	anger	0.542
dismay	briseadh	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	bochtaineacht	anger	0.536
ridicule	magadh	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	teorannú	anger	0.531
exacerbation	níos measa	anger	0.531
prejudicial	dochar	anger	0.531
uprising	ardaigh	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	meargánta	anger	0.531
unbridled	unbridled	anger	0.531
allegation	líomhain	anger	0.531
communism	cumannachas	anger	0.531
whip	fuip	anger	0.531
intruder	intruder	anger	0.531
dispute	díospóid	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	ciontóir	anger	0.530
hassle	hassle	anger	0.530
dissonance	dissonance	anger	0.530
unjust	éagórach	anger	0.530
dictatorial	deachtóireacht	anger	0.530
unjustifiable	neamh-inghlactha	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	sárú	anger	0.530
tackled	dul i ngleic leis	anger	0.530
renegade	renegade	anger	0.529
hot	te	anger	0.529
prison	príosún	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trína chéile	anger	0.529
suicide	féinmharú	anger	0.521
annoy	annoy	anger	0.520
leavemealone	Fág mé ar m'aonar	anger	0.517
idiotic	idiotic	anger	0.516
distrust	míshuim	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	colscaradh	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	fánaíochta	anger	0.516
inimical	inimical	anger	0.516
duress	diúltacht	anger	0.516
disrespectful	míshósta	anger	0.516
tortious	tortious	anger	0.516
criticize	cáineadh	anger	0.516
prisoner	príosúnach	anger	0.516
dishonest	mímhacánta	anger	0.516
treason	tréas	anger	0.516
victimized	íospartach	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	unleash	anger	0.515
coercion	coigeartú	anger	0.515
scold	scold	anger	0.515
chaos	anord	anger	0.515
grump	grump	anger	0.515
roar	roar	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	púdar	anger	0.515
poachers	poachers	anger	0.515
argumentation	argóint	anger	0.515
frustrating	frustrating	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	líomhaintí	anger	0.510
repudiation	aisghabháil	anger	0.510
enmity	imní	anger	0.510
banish	banish	anger	0.509
disfigured	disfigured	anger	0.508
storm	stoirm	anger	0.507
shun	shun	anger	0.500
suppression	faoi ​​chois	anger	0.500
unruly	neamhriallach	anger	0.500
intractable	intractable	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	bacainn	anger	0.500
derogation	maolú	anger	0.500
fervor	fervor	anger	0.500
foaming	cúr	anger	0.500
derision	mhaolú	anger	0.500
animus	animus	anger	0.500
rejects	diúltaíonn	anger	0.500
bout	bout	anger	0.500
spear	spear	anger	0.500
crazy	dÚsachtach	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	éagóir	anger	0.500
banished	éalaithe	anger	0.500
confined	teoranta	anger	0.500
frenzied	frenzied	anger	0.500
dominate	tionchar an-mhór	anger	0.500
disrupting	cur isteach ar	anger	0.500
hammering	hammering	anger	0.500
fear	eagla	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguish	anger	0.500
brunt	brunt	anger	0.500
possessed	seilbh	anger	0.500
defy	defy	anger	0.500
scoff	scoff	anger	0.500
patronising	patronizing	anger	0.500
delusional	deusional	anger	0.500
malpractice	míchleachtas	anger	0.500
reject	diúltú	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	diúltacht	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	madness	anger	0.491
sinful	sinful	anger	0.491
avarice	avarice	anger	0.490
oppress	brúigh	anger	0.490
disapproved	míshásta	anger	0.485
inhuman	neamhhiontach	anger	0.485
demand	éileamh	anger	0.485
abolish	díothú	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	gearán	anger	0.485
disservice	neamhspleách	anger	0.485
smuggler	smuggler	anger	0.485
revoke	cúlghairm	anger	0.485
infraction	briseadh	anger	0.485
claw	claw	anger	0.485
dissident	easaontach	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neamhchoitianta	anger	0.485
usurp	usurp	anger	0.485
alienate	eachtrannach	anger	0.485
avenger	díogair	anger	0.485
annoyed	ar buile	anger	0.485
cutting	gearradh	anger	0.485
disgrace	náire	anger	0.484
deceit	cealg	anger	0.484
suspicious	amhrasach	anger	0.484
thresh	thresh	anger	0.484
sucker	sucker	anger	0.484
strained	strained	anger	0.484
blame	an milleán	anger	0.484
upheaval	sárú	anger	0.484
renounce	scoirfidh	anger	0.484
obnoxious	éagrach	anger	0.484
restrain	srian	anger	0.484
oust	oust	anger	0.484
litigious	litigious	anger	0.484
rivalry	iomaíocht	anger	0.484
penalty	pionós	anger	0.484
imprisoned	príosúnachta	anger	0.484
mocking	magadh	anger	0.484
opposed	i gcoinne	anger	0.484
turbulence	suaiteacht	anger	0.483
pound	punt	anger	0.481
coldness	fuar	anger	0.477
ungrateful	neamhghrách	anger	0.472
battalion	catalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	giall	anger	0.470
infidel	infidel	anger	0.470
ram	Ram	anger	0.470
accuser	accuser	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	annoying	anger	0.470
adversity	diúltacht	anger	0.470
dispossessed	diúscartha	anger	0.470
friction	cuimilte	anger	0.470
jealous	éad	anger	0.470
feudalism	feudalism	anger	0.470
armament	armament	anger	0.470
thump	thump	anger	0.469
complain	gearán a dhéanamh	anger	0.469
incite	spreagadh	anger	0.469
steal	steal	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	neamhchruinniú	anger	0.469
injury	díobháil	anger	0.469
simmer	suanbhruith	anger	0.469
distress	anacair	anger	0.469
insanity	gealtachta	anger	0.469
selfish	seansach	anger	0.469
huff	huff	anger	0.469
selfishness	féinmharlacht	anger	0.469
backoff	ar ais	anger	0.469
plunder	plunder	anger	0.469
stifled	stifled	anger	0.469
subversive	subversive	anger	0.469
exile	deoraíocht	anger	0.469
offense	cionta	anger	0.469
objection	agóid	anger	0.469
recidivism	athbheochan	anger	0.469
smother	smother	anger	0.469
perpetrator	an té a rinne	anger	0.469
dislike	nach dtaitníonn leat	anger	0.469
disruption	cur isteach	anger	0.469
intolerance	éadulaingt	anger	0.469
opposition	freasúra	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mug	anger	0.467
agony	agony	anger	0.465
arrogant	sotalach	anger	0.461
