word	Bosnian-bs	emotion	emotion-intensity-score
satanic	satanic	anger	0.828
tyrannical	tiranski	anger	0.828
ragemode	ragemode	anger	0.828
despicable	odvratan	anger	0.828
ruinous	ruševina	anger	0.825
condemn	osuditi	anger	0.825
riots	nemiri	anger	0.824
demolish	uništiti	anger	0.824
angry	ljuti	anger	0.824
extermination	istrebljenje	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	ludak	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	otrovna	anger	0.818
threaten	pretnja	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	uznemiri se	anger	0.816
savage	divljač	anger	0.814
atrocity	zločin	anger	0.814
carnage	krvarenje	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	zloupotreba	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	popizdio	anger	0.812
vendetta	vendetta	anger	0.812
fierce	žestoko	anger	0.812
destroyer	razarač	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	varvarski	anger	0.812
anger	bes	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	bori se	anger	0.803
punched	udarane	anger	0.803
bitch	kučka	anger	0.803
punching	udaranje	anger	0.803
homicide	ubistvo	anger	0.803
destructive	destruktivno	anger	0.797
ruthless	nemilosrdan	anger	0.797
villainous	negativan	anger	0.797
slap	šamar	anger	0.791
slaughterhouse	klanica	anger	0.788
punishing	kazni	anger	0.788
destroyed	uništeno	anger	0.788
retaliatory	Povratni	anger	0.788
riot	nemiri	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	vikanje	anger	0.788
growthefuckup	gajiti jebu	anger	0.788
diabolical	dijabolično	anger	0.788
manslaughter	ubojstvo	anger	0.783
clash	sukob	anger	0.783
bloody	krvavo	anger	0.781
hellish	pakleno	anger	0.781
loath	loat	anger	0.781
detonation	detonacija	anger	0.781
quarrel	svađa	anger	0.781
sinister	zloban	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	optužujući	anger	0.779
treacherous	izdajnički	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	odmaziti	anger	0.773
revulsion	odvratnost	anger	0.773
madder	madder	anger	0.773
horrific	užasno	anger	0.773
scorn	prezir	anger	0.769
deplorable	žalosno	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarhista	anger	0.765
devastation	pustoš	anger	0.765
resent	ponosan	anger	0.765
firestorm	vatrena oluja	anger	0.765
contemptible	zanemarljiv	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	okrutno	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	smrtonosno	anger	0.758
smash	razbiti	anger	0.758
rant	rant	anger	0.758
outburst	izbacivanje	anger	0.757
snarl	gnjaviti	anger	0.754
profane	profane	anger	0.750
offend	uvrijediti	anger	0.750
douchebags	douchebags	anger	0.750
growling	kreten	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarnost	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	prezira	anger	0.750
horror	užas	anger	0.750
aggravating	otežavajuće	anger	0.750
revolting	revolting	anger	0.750
fuckedoff	jebeno	anger	0.742
threat	prijetnja	anger	0.742
erupt	erupt	anger	0.742
screaming	vrištanje	anger	0.742
violence	nasilje	anger	0.742
horrible	užasno	anger	0.742
molestation	zlostavljanje	anger	0.742
bastards	gadovi	anger	0.741
revenge	osveta	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	preteći	anger	0.735
demon	demon	anger	0.735
crushing	drobljenje	anger	0.735
damn	Prokletstvo	anger	0.735
persecute	progoni	anger	0.734
argue	rasprava	anger	0.734
flog	flog	anger	0.734
revolt	revolt	anger	0.734
thrash	trh	anger	0.734
deplore	oštro	anger	0.734
warfare	ratovanje	anger	0.734
fedup	fedup	anger	0.734
vehement	vehement	anger	0.734
riotous	riotno	anger	0.734
altercation	altercation	anger	0.729
warlike	ratni	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	pobuna	anger	0.727
castrate	castrat	anger	0.727
sabotage	sabotaža	anger	0.727
malevolent	zlonamjeran	anger	0.721
strike	štrajk	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	katastrofalno	anger	0.720
tumult	mutant	anger	0.719
madden	madden	anger	0.719
devil	đavo	anger	0.719
scream	vrišti	anger	0.719
brutal	brutalno	anger	0.719
treachery	izdajstvo	anger	0.719
scorching	žganje	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	sranje	anger	0.719
aggravates	otežava	anger	0.719
spiteful	zeznuti	anger	0.719
slay	ubij	anger	0.719
disdain	prezira	anger	0.719
choke	zagušiti	anger	0.719
bastarding	kopile	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarhizam	anger	0.714
mutilation	sakaćenje	anger	0.714
criminal	kriminalac	anger	0.714
denunciation	otkazivanje	anger	0.713
punch	udarac	anger	0.713
crucifixion	raspeće	anger	0.712
virulence	virulencija	anger	0.712
battled	bori se	anger	0.712
fatal	fatalan	anger	0.712
holocaust	holokaust	anger	0.712
blasphemous	blasphem	anger	0.712
hurting	boli	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	poremećeni	anger	0.706
atrocious	odvratno	anger	0.706
evil	zlo	anger	0.706
irritated	iritiran	anger	0.706
assassin	ubica	anger	0.703
dicks	dicks	anger	0.703
persecution	progon	anger	0.703
slayer	ubica	anger	0.703
kidnap	otmica	anger	0.703
scolding	hvatanje	anger	0.703
intimidation	zastrašivanje	anger	0.703
aggravated	otežano	anger	0.703
aggression	agresija	anger	0.702
armed	naoružan	anger	0.700
poison	otrov	anger	0.697
snarling	gurati	anger	0.697
venom	otrov	anger	0.697
battle	bitka	anger	0.697
disgruntled	nezadovoljan	anger	0.693
insidious	podmukao	anger	0.691
assailant	napadač	anger	0.691
resentment	nezadovoljstvo	anger	0.691
lynch	linč	anger	0.690
contemptuous	prezir	anger	0.690
temper	temper	anger	0.688
imprisonment	zatvaranje	anger	0.688
disparage	omalovažavanje	anger	0.688
bully	siledžija	anger	0.688
terrible	strašno	anger	0.688
lunatic	ludak	anger	0.688
curse	prokletstvo	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominacija	anger	0.688
mad	lud	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatilnost	anger	0.687
eradication	iskorenjivanje	anger	0.685
tantrum	tantrum	anger	0.682
devastate	pusti	anger	0.682
eradicate	iskoreniti	anger	0.682
scoundrel	neljto	anger	0.682
aggressively	agresivno	anger	0.680
agitation	agitiranje	anger	0.680
dictatorship	diktatura	anger	0.676
irritates	iritira	anger	0.676
profanity	profanity	anger	0.673
egregious	egregious	anger	0.672
expletive	obavezno	anger	0.672
nasty	gadno	anger	0.672
shove	šav	anger	0.672
shot	ubijen	anger	0.672
harmful	štetno	anger	0.672
aggravation	pogoršanje	anger	0.672
contempt	prezir	anger	0.672
poisonous	otrovna	anger	0.672
dastardly	kasno	anger	0.672
shoot	pucaj	anger	0.672
corrupting	korupcija	anger	0.672
condemnation	osuda	anger	0.672
wreak	izazvati	anger	0.672
crushed	srušeno	anger	0.672
cruelly	okrutno	anger	0.672
crime	kriminal	anger	0.672
maniac	manijak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupcija	anger	0.667
odious	odvratan	anger	0.667
shooting	pucanje	anger	0.667
kick	udarac	anger	0.667
aggressive	agresivan	anger	0.667
combat	borba	anger	0.667
shout	vikaš	anger	0.667
hit	udario	anger	0.667
fight	borba	anger	0.667
cutthroat	razbojnik	anger	0.667
enemy	neprijatelj	anger	0.667
irritable	razdražljiv	anger	0.667
punished	kažnjeno	anger	0.662
ambush	zaseda	anger	0.661
yell	vikao	anger	0.661
harass	maltretiranje	anger	0.659
malignant	maligni	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antihrist	anger	0.656
gore	gore	anger	0.656
incense	tamjan	anger	0.656
expel	expel	anger	0.656
destruction	uništenje	anger	0.656
grudge	ljupka	anger	0.656
cranky	Čudno	anger	0.653
offended	uvrijedio	anger	0.652
spank	pank	anger	0.652
growl	grli	anger	0.652
insurrection	insurrekcija	anger	0.652
reprisal	odmazda	anger	0.652
slave	rob	anger	0.652
denounce	otkazati	anger	0.652
animosity	animozitet	anger	0.652
insulting	vređanje	anger	0.652
clashing	sukobljavanje	anger	0.652
growls	grli	anger	0.649
executioner	izvršilac	anger	0.644
twat	twat	anger	0.644
doomsday	Doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	opscenost	anger	0.641
bombard	bombardiraj	anger	0.641
spat	pljunuti	anger	0.641
havoc	havoc	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	podmetanje požara	anger	0.641
reprimand	ukor	anger	0.641
expulsion	protjerivanje	anger	0.641
inexcusable	neoprostivo	anger	0.641
accused	optuženi	anger	0.641
indignant	besan	anger	0.641
shackle	šakl	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	rana	anger	0.636
suicidal	suicidalan	anger	0.636
poisoned	otrovan	anger	0.636
batter	testo	anger	0.636
kicking	udaranje	anger	0.636
hanging	visi	anger	0.636
spanking	pankanje	anger	0.636
disgusting	odvratno	anger	0.636
combatant	borac	anger	0.636
frustrated	frustriran	anger	0.636
anarchy	anarhija	anger	0.636
glaring	očaravajući	anger	0.636
inflict	nanositi	anger	0.633
wrecked	razbijen	anger	0.633
grievous	teško	anger	0.632
prosecute	krivično gonjenje	anger	0.630
agitated	uznemiren	anger	0.630
cheat	varaj	anger	0.630
swastika	swastika	anger	0.627
defamatory	klevetnički	anger	0.625
suffocation	gušenje	anger	0.625
strife	borba	anger	0.625
provocation	provokacija	anger	0.625
injure	povrediti	anger	0.625
harassing	uznemiravanje	anger	0.625
scourge	zla	anger	0.625
cursing	psovanje	anger	0.625
betray	izdaj	anger	0.625
indict	optužnica	anger	0.625
raid	raid	anger	0.625
thundering	grmljavinu	anger	0.625
enslaved	porobljen	anger	0.625
arsehole	arsehole	anger	0.624
insane	ludak	anger	0.621
fiend	fiend	anger	0.621
irritate	iritirati	anger	0.621
convict	osuđenik	anger	0.621
jerk	kreten	anger	0.621
theft	krađa	anger	0.621
retaliation	odmazda	anger	0.621
deprivation	deprivacija	anger	0.621
cussed	cussed	anger	0.619
turmoil	previranja	anger	0.618
smack	smek	anger	0.615
retribution	odmazda	anger	0.614
twats	twats	anger	0.609
intolerable	nedopustivo	anger	0.609
rebellion	pobuna	anger	0.609
injurious	štetno	anger	0.609
oppressor	tlačitelj	anger	0.609
slavery	ropstvo	anger	0.609
irritability	razdražljivost	anger	0.609
collision	sudar	anger	0.609
bitterly	gorko	anger	0.609
gang	bande	anger	0.609
antagonism	antagonizam	anger	0.609
battery	baterija	anger	0.609
adverse	negativno	anger	0.609
disgraced	poniženi	anger	0.608
irritating	iritantno	anger	0.606
revolution	revolucija	anger	0.606
thug	siledžija	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardovanje	anger	0.606
blast	eksplozija	anger	0.606
irks	irks	anger	0.606
sickening	bolesno	anger	0.606
discrimination	diskriminacija	anger	0.606
antagonistic	antagonistički	anger	0.606
ranting	ranjavanje	anger	0.606
asshole	seronja	anger	0.606
frustrate	frustriraju	anger	0.604
manipulation	manipulacija	anger	0.603
tension	tenzija	anger	0.603
insult	uvreda	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	šteta	anger	0.603
oppression	ugnjetavanje	anger	0.603
disgust	odugovlačenje	anger	0.602
spite	inače	anger	0.600
intrusive	intrusivno	anger	0.598
harshness	krutost	anger	0.597
slur	slur	anger	0.596
wretch	nervoza	anger	0.594
inferno	inferno	anger	0.594
invasion	invazija	anger	0.594
puncture	punkcija	anger	0.594
miserable	mizeran	anger	0.594
assail	assail	anger	0.594
storming	oluje	anger	0.594
casualty	žrtva	anger	0.594
bitterness	gorčina	anger	0.594
morbidity	morbiditet	anger	0.594
tempest	tempest	anger	0.594
consternation	zbunjenost	anger	0.592
depraved	odvratan	anger	0.591
raving	bijelo	anger	0.591
guillotine	giljotina	anger	0.591
guilty	kriv	anger	0.591
immoral	nemoralno	anger	0.591
forcibly	prisilno	anger	0.591
overpowering	nadmoćan	anger	0.591
accursed	proklet	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	neposlušni	anger	0.588
invader	invader	anger	0.588
scare	uplašiti	anger	0.588
screwed	zeznuti	anger	0.588
indignation	indignation	anger	0.587
jealousy	ljubomora	anger	0.587
vexed	uznemiren	anger	0.586
confront	suočiti se	anger	0.582
brute	brute	anger	0.581
throttle	gas	anger	0.579
wreck	olupina	anger	0.578
revolver	revolver	anger	0.578
slut	drolja	anger	0.578
yousuck	ti	anger	0.578
damage	šteta	anger	0.578
butcher	mesar	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitet	anger	0.578
bickering	peckanje	anger	0.578
pillage	pljačka	anger	0.578
blaze	požar	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	državni udar	anger	0.578
contentious	sporno	anger	0.578
incarceration	zatvaranje	anger	0.578
defiant	prkosno	anger	0.578
provoking	izazivanje	anger	0.578
lash	lash	anger	0.578
cancer	rak	anger	0.577
frustration	frustracija	anger	0.576
gory	kora	anger	0.576
alienation	otuđenje	anger	0.576
discord	razdora	anger	0.576
disturbance	poremećaj	anger	0.576
grope	grope	anger	0.576
condescension	poniženje	anger	0.576
pernicious	pogubno	anger	0.576
blasphemy	blasfemija	anger	0.576
discriminate	diskriminišu	anger	0.576
chaotic	haotično	anger	0.576
gun	pištolj	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	Lunacy	anger	0.574
oppressive	opresivna	anger	0.574
death	smrt	anger	0.574
jab	jab	anger	0.574
cursed	proklet	anger	0.574
scandalous	skandalozno	anger	0.574
monstrosity	monstrosnost	anger	0.574
shit	sranje	anger	0.573
disparaging	omalovažavanje	anger	0.571
slash	slash	anger	0.571
unfair	nepravedno	anger	0.571
gallows	gelove	anger	0.570
escalate	eskaliraju	anger	0.569
intolerant	netolerantno	anger	0.564
lawlessness	bezakonje	anger	0.563
bluddy	bluddy	anger	0.562
perdition	propast	anger	0.562
taunt	uznemiri	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	prevareni	anger	0.562
slander	klevetanje	anger	0.562
retards	retardira	anger	0.562
bearish	medvjed	anger	0.562
invade	napasti	anger	0.562
bellows	mehovi	anger	0.562
beast	zver	anger	0.562
frightful	strašno	anger	0.562
derogatory	ponižavajuće	anger	0.562
glare	blek	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	strašno	anger	0.562
traitor	izdajnik	anger	0.562
malign	maligni	anger	0.562
wrangling	nervoza	anger	0.562
dissension	neslaganje	anger	0.561
banshee	banshee	anger	0.561
shatter	razbiti	anger	0.561
conflagration	požara	anger	0.561
jeopardize	ugroziti	anger	0.561
thief	lopov	anger	0.561
rave	rave	anger	0.561
grating	rešetka	anger	0.561
devastating	razarajuće	anger	0.561
idiots	idioti	anger	0.561
betrayal	izdaja	anger	0.561
uncontrollable	nekontrolisano	anger	0.561
fits	odgovara	anger	0.561
cross	krst	anger	0.561
hurt	boli	anger	0.561
disturbed	uznemiren	anger	0.559
subjugation	potčinjavanje	anger	0.559
stomped	stomano	anger	0.557
grab	zgrabite	anger	0.557
ticked	ticked	anger	0.556
masochism	mazohizam	anger	0.556
grievance	Žalba	anger	0.556
defiance	prkos	anger	0.552
blackmail	ucjena	anger	0.550
offensive	ofanzivno	anger	0.549
decry	dekri	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	kršenje	anger	0.547
punishment	kazna	anger	0.547
shrill	prokletstvo	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	tamna strana	anger	0.547
misery	beda	anger	0.547
frustrates	frustrates	anger	0.547
disgraceful	sramota	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	nadmoć	anger	0.547
disparity	disparitet	anger	0.547
confine	ograniči	anger	0.547
firearms	vatreno oružje	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	apsurdno	anger	0.547
rebel	pobunjenik	anger	0.547
deceive	prevariti	anger	0.547
stolen	ukraden	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	vanker	anger	0.545
heated	zagrejan	anger	0.545
ruined	uništena	anger	0.545
menace	pretnja	anger	0.545
humiliate	ponižavajuće	anger	0.545
tackle	rešiti	anger	0.545
conspirator	zaverenik	anger	0.545
foul	foul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	žao	anger	0.545
prejudice	predrasude	anger	0.545
adversary	protivnik	anger	0.545
argument	argument	anger	0.545
skirmish	sukob	anger	0.545
callous	nepopustljiv	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	zapletena	anger	0.544
robbery	pljačka	anger	0.544
sting	sting	anger	0.544
outcry	neprijatelj	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	nepopravljivo	anger	0.543
resistance	otpora	anger	0.543
obstructive	opstruktivno	anger	0.542
dismay	užas	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	loše	anger	0.536
ridicule	posmeh	anger	0.534
incendiary	zapaljivo	anger	0.533
flares	rakete	anger	0.532
degeneracy	degeneracija	anger	0.531
confinement	zatvaranje	anger	0.531
exacerbation	pogoršanje	anger	0.531
prejudicial	štetno	anger	0.531
uprising	ustanak	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	nepromišljen	anger	0.531
unbridled	neograničeno	anger	0.531
allegation	navod	anger	0.531
communism	komunizam	anger	0.531
whip	bič	anger	0.531
intruder	uljez	anger	0.531
dispute	spor	anger	0.531
belittle	omalovažava	anger	0.531
bigoted	pobunjenik	anger	0.530
offender	prestupnik	anger	0.530
hassle	hvatanje	anger	0.530
dissonance	dissonance	anger	0.530
unjust	nepravedno	anger	0.530
dictatorial	diktatorski	anger	0.530
unjustifiable	neopravdano	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perverznost	anger	0.530
tackled	riješeno	anger	0.530
renegade	otpadnik	anger	0.529
hot	vruće	anger	0.529
prison	zatvor	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	prestupnost	anger	0.529
suicide	samoubistvo	anger	0.521
annoy	annoy	anger	0.520
leavemealone	ostavi me na miru	anger	0.517
idiotic	idioti	anger	0.516
distrust	nepoverenje	anger	0.516
depravity	omalovažavanje	anger	0.516
cretins	kreteni	anger	0.516
divorce	razvod	anger	0.516
broil	pismo	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	neprijateljski	anger	0.516
duress	prinuda	anger	0.516
disrespectful	nepoštiv	anger	0.516
tortious	tortuno	anger	0.516
criticize	kritikovati	anger	0.516
prisoner	zatvorenik	anger	0.516
dishonest	neiskreno	anger	0.516
treason	izdaju	anger	0.516
victimized	žrtva	anger	0.515
bile	žuč	anger	0.515
unkind	unkind	anger	0.515
unforgiving	neprocjenjiv	anger	0.515
unleash	oslobodite se	anger	0.515
coercion	prinuda	anger	0.515
scold	ružno	anger	0.515
chaos	haos	anger	0.515
grump	grumpiran	anger	0.515
roar	rar	anger	0.515
jerks	kreten	anger	0.515
poaching	lovstvo	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	lovci	anger	0.515
argumentation	argumentacija	anger	0.515
frustrating	frustrirajuće	anger	0.515
tussle	omot	anger	0.514
bane	bane	anger	0.511
accusation	optužba	anger	0.510
repudiation	odbacivanje	anger	0.510
enmity	neprijateljstvo	anger	0.510
banish	izbaciti	anger	0.509
disfigured	izobličeno	anger	0.508
storm	oluja	anger	0.507
shun	shun	anger	0.500
suppression	supresija	anger	0.500
unruly	nepopravljivo	anger	0.500
intractable	nepodnošljiv	anger	0.500
ordeal	teško	anger	0.500
obstruct	spriječiti	anger	0.500
derogation	odstupanje	anger	0.500
fervor	žudnja	anger	0.500
foaming	penjenje	anger	0.500
derision	podmirenje	anger	0.500
animus	animus	anger	0.500
rejects	odbacuje	anger	0.500
bout	bout	anger	0.500
spear	koplje	anger	0.500
crazy	lud	anger	0.500
brazen	brave	anger	0.500
antithesis	antiteza	anger	0.500
injustice	nepravda	anger	0.500
banished	proteran	anger	0.500
confined	ograničeno	anger	0.500
frenzied	zeznuti	anger	0.500
dominate	dominiraju	anger	0.500
disrupting	poremećaj	anger	0.500
hammering	udaranje	anger	0.500
fear	strah	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	mučnina	anger	0.500
brunt	brutalno	anger	0.500
possessed	posjedovao	anger	0.500
defy	prkositi	anger	0.500
scoff	iscrpljuju	anger	0.500
patronising	pokroviteljstvo	anger	0.500
delusional	zabluda	anger	0.500
malpractice	zloupotreba	anger	0.500
reject	odbaciti	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	žilavost	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	ludilo	anger	0.491
sinful	grešno	anger	0.491
avarice	avarice	anger	0.490
oppress	potlačiti	anger	0.490
disapproved	neodobreno	anger	0.485
inhuman	nečovječno	anger	0.485
demand	potražnja	anger	0.485
abolish	ukinuti	anger	0.485
anathema	anatema	anger	0.485
fricking	fricking	anger	0.485
complaint	žalba	anger	0.485
disservice	loše usluge	anger	0.485
smuggler	švercer	anger	0.485
revoke	opozvati	anger	0.485
infraction	prekršaj	anger	0.485
claw	kandža	anger	0.485
dissident	disident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neposlušni	anger	0.485
usurp	usurp	anger	0.485
alienate	otuđi	anger	0.485
avenger	avenger	anger	0.485
annoyed	uznemiren	anger	0.485
cutting	sečenje	anger	0.485
disgrace	sramota	anger	0.484
deceit	prevara	anger	0.484
suspicious	sumnjiv	anger	0.484
thresh	prašak	anger	0.484
sucker	sucker	anger	0.484
strained	napeto	anger	0.484
blame	krivicu	anger	0.484
upheaval	previranja	anger	0.484
renounce	odreći se	anger	0.484
obnoxious	bezobrazno	anger	0.484
restrain	obuzdati	anger	0.484
oust	srušiti	anger	0.484
litigious	parnični	anger	0.484
rivalry	rivalstvo	anger	0.484
penalty	kazna	anger	0.484
imprisoned	zatvoren	anger	0.484
mocking	mocking	anger	0.484
opposed	protiv	anger	0.484
turbulence	turbulencija	anger	0.483
pound	funta	anger	0.481
coldness	hladnoće	anger	0.477
ungrateful	nezahvalno	anger	0.472
battalion	bataljon	anger	0.471
stoopid	stoopidan	anger	0.471
hostage	talac	anger	0.470
infidel	nevernik	anger	0.470
ram	RAM	anger	0.470
accuser	optužilac	anger	0.470
gall	gall	anger	0.470
subversion	subverzija	anger	0.470
annoying	dosadan	anger	0.470
adversity	nesreća	anger	0.470
dispossessed	deponovan	anger	0.470
friction	trenje	anger	0.470
jealous	ljubomorna	anger	0.470
feudalism	feudalizam	anger	0.470
armament	naoružanje	anger	0.470
thump	udarac	anger	0.469
complain	žalite se	anger	0.469
incite	podsticati	anger	0.469
steal	ukradi	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	neposlušni	anger	0.469
injury	povreda	anger	0.469
simmer	simmer	anger	0.469
distress	nevolja	anger	0.469
insanity	ludilo	anger	0.469
selfish	sebično	anger	0.469
huff	Huff	anger	0.469
selfishness	sebičnost	anger	0.469
backoff	backoff	anger	0.469
plunder	pljačka	anger	0.469
stifled	ugušene	anger	0.469
subversive	subverzivno	anger	0.469
exile	proterivanje	anger	0.469
offense	prekršaj	anger	0.469
objection	prigovor	anger	0.469
recidivism	recidivizam	anger	0.469
smother	smotati	anger	0.469
perpetrator	počinioca	anger	0.469
dislike	Ne volim	anger	0.469
disruption	poremećaj	anger	0.469
intolerance	netolerancija	anger	0.469
opposition	opozicija	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	šolja	anger	0.467
agony	agonija	anger	0.465
