word	Korean-ko	emotion	emotion-intensity-score
detest	싫어하다	anger	0.838
hostilities	반항	anger	0.837
prick	찌르기	anger	0.835
torture	고문	anger	0.833
rabid	맹렬한	anger	0.833
horrid	무서운	anger	0.833
rampage	날 뛰다	anger	0.833
cruelty	잔학	anger	0.833
hate	미움	anger	0.828
demonic	악마 같은	anger	0.828
hating	싫어하는	anger	0.828
satanic	악마 같은	anger	0.828
tyrannical	폭군의	anger	0.828
ragemode	래그 모드	anger	0.828
despicable	비열한	anger	0.828
ruinous	파멸적인	anger	0.825
condemn	비난하다	anger	0.825
riots	폭동	anger	0.824
demolish	헐다	anger	0.824
angry	성난	anger	0.824
extermination	구제	anger	0.824
dickhead	멍청이	anger	0.824
livid	선명한	anger	0.821
madman	광인	anger	0.820
vindictive	복수심 있는	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	사나움	anger	0.818
venomous	역겨운	anger	0.818
threaten	위협하다	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	테러리스트	anger	0.818
abhor	싫어하다	anger	0.816
savage	야만인	anger	0.814
atrocity	포악	anger	0.814
carnage	대학살	anger	0.814
berserk	맹렬한	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	남용	anger	0.812
tyrant	폭군	anger	0.812
fucksake	새끼	anger	0.812
pissedoff	열망하는	anger	0.812
vendetta	상호 복수	anger	0.812
fierce	맹렬한	anger	0.812
destroyer	파괴자	anger	0.812
pissesmeoff	열망하는	anger	0.812
fuming	연기가 나는	anger	0.812
barbaric	야만인 같은	anger	0.812
anger	분노	anger	0.811
pieceofshit	조각	anger	0.810
slam	쾅	anger	0.803
fights	싸움	anger	0.803
punched	구멍을 뚫은	anger	0.803
bitch	암캐	anger	0.803
punching	펀칭	anger	0.803
homicide	살인	anger	0.803
destructive	파괴적인	anger	0.797
ruthless	무자비한	anger	0.797
villainous	악한 같은	anger	0.797
slap	찰싹	anger	0.791
slaughterhouse	도살장	anger	0.788
punishing	처벌하는	anger	0.788
destroyed	의해 파괴됨	anger	0.788
retaliatory	보복적인	anger	0.788
riot	폭동	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	고함	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	악마 같은	anger	0.788
manslaughter	살인	anger	0.783
clash	충돌	anger	0.783
bloody	피의	anger	0.781
hellish	지옥 같은	anger	0.781
loath	싫은	anger	0.781
detonation	폭발	anger	0.781
quarrel	싸움	anger	0.781
sinister	불길한	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	비난하는	anger	0.779
treacherous	믿을 수 없는	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	보복하다	anger	0.773
revulsion	격변	anger	0.773
madder	마더	anger	0.773
horrific	무서운	anger	0.773
scorn	경멸	anger	0.769
deplorable	탄탄한	anger	0.766
bomb	폭탄	anger	0.766
anarchist	무정부주의자	anger	0.765
devastation	폐허	anger	0.765
resent	화내다	anger	0.765
firestorm	폭풍	anger	0.765
contemptible	경멸적인	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	잔인한	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	치명적인	anger	0.758
smash	스매시	anger	0.758
rant	폭언	anger	0.758
outburst	폭발	anger	0.757
snarl	혼란	anger	0.754
profane	모독하는	anger	0.750
offend	긁다	anger	0.750
douchebags	독서 가방	anger	0.750
growling	으르렁 거리는 소리	anger	0.750
stfu	stfu	anger	0.750
vulgarity	속악	anger	0.750
dontmesswithme	돈	anger	0.750
crazed	미친	anger	0.750
despise	경멸하다	anger	0.750
horror	공포	anger	0.750
aggravating	악화시키는	anger	0.750
revolting	반란군	anger	0.750
fuckedoff	망할 놈	anger	0.742
threat	위협	anger	0.742
erupt	나다	anger	0.742
screaming	외침	anger	0.742
violence	폭력	anger	0.742
horrible	끔찍한	anger	0.742
molestation	방해	anger	0.742
bastards	나쁜 놈들	anger	0.741
revenge	복수	anger	0.738
catastrophe	대단원	anger	0.735
menacing	협박하는	anger	0.735
demon	악마	anger	0.735
crushing	눌러 터뜨리는	anger	0.735
damn	조금도	anger	0.735
persecute	박해하다	anger	0.734
argue	논하다	anger	0.734
flog	팔다	anger	0.734
revolt	반란	anger	0.734
thrash	뒹굴다	anger	0.734
deplore	비탄하다	anger	0.734
warfare	전쟁	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	격렬한	anger	0.734
riotous	폭동의	anger	0.734
altercation	언쟁	anger	0.729
warlike	호전적인	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	폭동	anger	0.727
castrate	거세	anger	0.727
sabotage	사보타주	anger	0.727
malevolent	악의 있는	anger	0.721
strike	스트라이크	anger	0.721
disaster	재앙	anger	0.721
disastrous	비참한	anger	0.720
tumult	소란	anger	0.719
madden	미치게 하다	anger	0.719
devil	악마	anger	0.719
scream	비명	anger	0.719
brutal	잔인한	anger	0.719
treachery	배반	anger	0.719
scorching	맹렬한	anger	0.719
vermin	해충	anger	0.719
arseholes	아치 홀	anger	0.719
horseshit	말장난	anger	0.719
aggravates	악화시키다	anger	0.719
spiteful	짓궂은	anger	0.719
slay	몹시 웃기다	anger	0.719
disdain	경멸감	anger	0.719
choke	초크	anger	0.719
bastarding	야만적 인	anger	0.719
mangle	압착 롤러	anger	0.714
anarchism	무정부주의	anger	0.714
mutilation	절단	anger	0.714
criminal	범죄자	anger	0.714
denunciation	비난	anger	0.713
punch	펀치	anger	0.713
crucifixion	큰 시련	anger	0.712
virulence	독성	anger	0.712
battled	싸우다	anger	0.712
fatal	치명적인	anger	0.712
holocaust	대학살	anger	0.712
blasphemous	불경스러운	anger	0.712
hurting	아프다	anger	0.712
dumbasses	덤 버스	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	엉망이 된	anger	0.706
atrocious	극악한	anger	0.706
evil	악	anger	0.706
irritated	자극받은	anger	0.706
assassin	암살자	anger	0.703
dicks	거시기	anger	0.703
persecution	박해	anger	0.703
slayer	살해자	anger	0.703
kidnap	채가다	anger	0.703
scolding	꾸지람	anger	0.703
intimidation	위협	anger	0.703
aggravated	악화 된	anger	0.703
aggression	침략	anger	0.702
armed	무장 한	anger	0.700
poison	독	anger	0.697
snarling	혼수 상태의	anger	0.697
venom	독액	anger	0.697
battle	전투	anger	0.697
disgruntled	불만을 품은	anger	0.693
insidious	교활한	anger	0.691
assailant	공격자	anger	0.691
resentment	원한	anger	0.691
lynch	사형	anger	0.690
contemptuous	경멸적인	anger	0.690
temper	기질	anger	0.688
imprisonment	투옥	anger	0.688
disparage	얕보다	anger	0.688
bully	약한 자를 괴롭히는 사람	anger	0.688
terrible	무서운	anger	0.688
lunatic	미치광이	anger	0.688
curse	저주	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	오줌 누운	anger	0.688
domination	지배	anger	0.688
mad	미친	anger	0.688
infanticide	유아 살해	anger	0.688
volatility	휘발성	anger	0.687
eradication	근절	anger	0.685
tantrum	언짢은 기분	anger	0.682
devastate	파괴하다	anger	0.682
eradicate	근절하다	anger	0.682
scoundrel	악당	anger	0.682
aggressively	공격적으로	anger	0.680
agitation	동요	anger	0.680
dictatorship	절대권	anger	0.676
irritates	자극적이다	anger	0.676
profanity	욕설	anger	0.673
egregious	악명 높은	anger	0.672
expletive	조어	anger	0.672
nasty	추잡한	anger	0.672
shove	지지	anger	0.672
shot	샷	anger	0.672
harmful	해로운	anger	0.672
aggravation	악화	anger	0.672
contempt	경멸	anger	0.672
poisonous	유해한	anger	0.672
dastardly	비겁한	anger	0.672
shoot	사격	anger	0.672
corrupting	부패하는	anger	0.672
condemnation	비난	anger	0.672
wreak	가하다	anger	0.672
crushed	밀어 넣는	anger	0.672
cruelly	잔인하게	anger	0.672
crime	범죄	anger	0.672
maniac	미치광이	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	분화	anger	0.667
odious	추악한	anger	0.667
shooting	촬영	anger	0.667
kick	발 차기	anger	0.667
aggressive	적극적인	anger	0.667
combat	전투	anger	0.667
shout	외침	anger	0.667
hit	히트	anger	0.667
fight	싸움	anger	0.667
cutthroat	치열한	anger	0.667
enemy	적	anger	0.667
irritable	민감한	anger	0.667
punished	처벌 된	anger	0.662
ambush	매복	anger	0.661
yell	외침	anger	0.661
harass	괴롭히다	anger	0.659
malignant	악의 있는	anger	0.656
aggressor	침략자	anger	0.656
antichrist	적 그리스도	anger	0.656
gore	핏덩어리	anger	0.656
incense	향	anger	0.656
expel	내쫓다	anger	0.656
destruction	파괴	anger	0.656
grudge	악의	anger	0.656
cranky	까다로운	anger	0.653
offended	불쾌한	anger	0.652
spank	찰싹 때리기	anger	0.652
growl	으르렁 거리는 소리	anger	0.652
insurrection	폭동	anger	0.652
reprisal	보복	anger	0.652
slave	노예	anger	0.652
denounce	비난하다	anger	0.652
animosity	악의	anger	0.652
insulting	모욕하는	anger	0.652
clashing	충돌	anger	0.652
growls	으르렁 거리는 소리	anger	0.649
executioner	실행자	anger	0.644
twat	트랏	anger	0.644
doomsday	최후의 심판의 날	anger	0.643
daemon	악마	anger	0.641
obscenity	외설	anger	0.641
bombard	포	anger	0.641
spat	말다툼	anger	0.641
havoc	큰 파란	anger	0.641
feud	불화	anger	0.641
grr	grr	anger	0.641
arson	방화	anger	0.641
reprimand	견책	anger	0.641
expulsion	제명	anger	0.641
inexcusable	용서가없는	anger	0.641
accused	고발 당한	anger	0.641
indignant	분개하다	anger	0.641
shackle	걸쇠	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	상처	anger	0.636
suicidal	자살적인	anger	0.636
poisoned	중독 된	anger	0.636
batter	반죽	anger	0.636
kicking	발길질	anger	0.636
hanging	교수형	anger	0.636
spanking	매우	anger	0.636
disgusting	역겨운	anger	0.636
combatant	전투원	anger	0.636
frustrated	실망한	anger	0.636
anarchy	무정부 상태	anger	0.636
glaring	현란한	anger	0.636
inflict	가하다	anger	0.633
wrecked	난파 된	anger	0.633
grievous	괴롭게 하는	anger	0.632
prosecute	기소하다	anger	0.630
agitated	흥분한	anger	0.630
cheat	사기	anger	0.630
swastika	만자	anger	0.627
defamatory	명예 훼손적인	anger	0.625
suffocation	질식	anger	0.625
strife	싸움	anger	0.625
provocation	성나게 하기	anger	0.625
injure	해치다	anger	0.625
harassing	괴롭히는	anger	0.625
scourge	채찍	anger	0.625
cursing	저주	anger	0.625
betray	팔다	anger	0.625
indict	기소하다	anger	0.625
raid	급습	anger	0.625
thundering	우뢰 같은	anger	0.625
enslaved	예속 된	anger	0.625
arsehole	아치 홀	anger	0.624
insane	미친 것 같은	anger	0.621
fiend	악마	anger	0.621
irritate	짜증나게 하다	anger	0.621
convict	죄수	anger	0.621
jerk	얼간이	anger	0.621
theft	훔침	anger	0.621
retaliation	앙갚음	anger	0.621
deprivation	박탈	anger	0.621
cussed	저주 받은	anger	0.619
turmoil	소란	anger	0.618
smack	헤로인	anger	0.615
retribution	보복	anger	0.614
twats	트 와츠	anger	0.609
intolerable	참을 수없는	anger	0.609
rebellion	반항	anger	0.609
injurious	유해한	anger	0.609
oppressor	압제자	anger	0.609
slavery	노예 제도	anger	0.609
irritability	과민 반응	anger	0.609
collision	충돌	anger	0.609
bitterly	몹시	anger	0.609
gang	한 떼	anger	0.609
antagonism	반대	anger	0.609
battery	배터리	anger	0.609
adverse	불리한	anger	0.609
disgraced	불명예스러운	anger	0.608
irritating	화나게 하는	anger	0.606
revolution	혁명	anger	0.606
thug	자객	anger	0.606
diatribe	비난하다	anger	0.606
bombardment	충격	anger	0.606
blast	쏘다	anger	0.606
irks	얼간이	anger	0.606
sickening	병 들게하는	anger	0.606
discrimination	차별	anger	0.606
antagonistic	적대적인	anger	0.606
ranting	불평	anger	0.606
asshole	항문	anger	0.606
frustrate	좌절하다	anger	0.604
manipulation	시장 조작	anger	0.603
tension	장력	anger	0.603
insult	모욕	anger	0.603
bigot	뱃머리	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	상처가 나는	anger	0.603
oppression	압박	anger	0.603
disgust	싫음	anger	0.602
spite	악의	anger	0.600
intrusive	관입하는	anger	0.598
harshness	거친 것	anger	0.597
slur	중상	anger	0.596
wretch	놈	anger	0.594
inferno	지옥	anger	0.594
invasion	침입	anger	0.594
puncture	찌름	anger	0.594
miserable	딱한	anger	0.594
assail	공격하다	anger	0.594
storming	폭풍	anger	0.594
casualty	사상자 수	anger	0.594
bitterness	신랄	anger	0.594
morbidity	병적 상태	anger	0.594
tempest	대소동	anger	0.594
consternation	깜짝 놀람	anger	0.592
depraved	타락한	anger	0.591
raving	미쳐 날뛰는	anger	0.591
guillotine	기요틴	anger	0.591
guilty	저지른	anger	0.591
immoral	부도덕 한	anger	0.591
forcibly	억지로	anger	0.591
overpowering	압도하는	anger	0.591
accursed	저주 받은	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	고집 불통	anger	0.588
invader	침입자	anger	0.588
scare	공황	anger	0.588
screwed	나사로 죈	anger	0.588
indignation	분개	anger	0.587
jealousy	질투	anger	0.587
vexed	안절부절 못하는	anger	0.586
confront	대치하다	anger	0.582
brute	짐승	anger	0.581
throttle	조절판	anger	0.579
wreck	난파선	anger	0.578
revolver	리볼버	anger	0.578
slut	암캐	anger	0.578
yousuck	너네 잘한다	anger	0.578
damage	손해	anger	0.578
butcher	푸주한	anger	0.578
conflict	충돌	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	범죄	anger	0.578
bickering	말다툼하는	anger	0.578
pillage	약탈	anger	0.578
blaze	불꽃	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	일격	anger	0.578
contentious	논쟁의	anger	0.578
incarceration	감금	anger	0.578
defiant	도전적인	anger	0.578
provoking	자극하는	anger	0.578
lash	속눈썹	anger	0.578
cancer	암	anger	0.577
frustration	좌절	anger	0.576
gory	피투성이의	anger	0.576
alienation	소원	anger	0.576
discord	불일치	anger	0.576
disturbance	방해	anger	0.576
grope	더듬다	anger	0.576
condescension	겸손	anger	0.576
pernicious	유해한	anger	0.576
blasphemy	신성 모독	anger	0.576
discriminate	차별하다	anger	0.576
chaotic	혼란스러운	anger	0.576
gun	총	anger	0.576
standoff	교착 상태	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	비웃음	anger	0.574
lunacy	전광	anger	0.574
oppressive	억압적인	anger	0.574
death	죽음	anger	0.574
jab	갑자기 찌르기	anger	0.574
cursed	저주 받은	anger	0.574
scandalous	추잡한	anger	0.574
monstrosity	기괴	anger	0.574
shit	똥	anger	0.573
disparaging	비하하는	anger	0.571
slash	삭감	anger	0.571
unfair	불공정	anger	0.571
gallows	교수대	anger	0.570
escalate	차츰 오르다	anger	0.569
intolerant	편협한	anger	0.564
lawlessness	무법	anger	0.563
bluddy	불길한	anger	0.562
perdition	파멸	anger	0.562
taunt	조롱	anger	0.562
grouchy	시무룩한	anger	0.562
torpedo	수뢰	anger	0.562
deceived	속은	anger	0.562
slander	중상	anger	0.562
retards	걸림돌	anger	0.562
bearish	곰 같은	anger	0.562
invade	침략하다	anger	0.562
bellows	풀무	anger	0.562
beast	짐승	anger	0.562
frightful	무서운	anger	0.562
derogatory	경멸적인	anger	0.562
glare	섬광	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	무서운	anger	0.562
traitor	배신자	anger	0.562
malign	유해한	anger	0.562
wrangling	승강이	anger	0.562
dissension	불화	anger	0.561
banshee	반시	anger	0.561
shatter	파편	anger	0.561
conflagration	큰 화재	anger	0.561
jeopardize	위태롭게 하다	anger	0.561
thief	도둑	anger	0.561
rave	날뛰다	anger	0.561
grating	창살	anger	0.561
devastating	지독한	anger	0.561
idiots	바보	anger	0.561
betrayal	배신	anger	0.561
uncontrollable	제어 할 수없는	anger	0.561
fits	맞다	anger	0.561
cross	십자가	anger	0.561
hurt	상처	anger	0.561
disturbed	방해받은	anger	0.559
subjugation	진압	anger	0.559
stomped	밟은	anger	0.557
grab	그랩	anger	0.557
ticked	똑딱 거리는	anger	0.556
masochism	마조히즘	anger	0.556
grievance	고충	anger	0.556
defiance	도전	anger	0.552
blackmail	약탈	anger	0.550
offensive	공격	anger	0.549
decry	비난하다	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	위반	anger	0.547
punishment	처벌	anger	0.547
shrill	날카로운	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	어두운면	anger	0.547
misery	불행	anger	0.547
frustrates	좌절하다	anger	0.547
disgraceful	불명예스러운	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	뽐내는	anger	0.547
disparity	상이	anger	0.547
confine	경계	anger	0.547
firearms	총기류	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	터무니없는	anger	0.547
rebel	반역자	anger	0.547
deceive	속이다	anger	0.547
stolen	훔친	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	유모	anger	0.545
heated	가열 된	anger	0.545
ruined	망가진	anger	0.545
menace	협박	anger	0.545
humiliate	창피하다	anger	0.545
tackle	태클	anger	0.545
conspirator	공모자	anger	0.545
foul	반칙	anger	0.545
antagonist	길항근	anger	0.545
resentful	분개 한	anger	0.545
prejudice	편견	anger	0.545
adversary	적	anger	0.545
argument	논의	anger	0.545
skirmish	작은 접전	anger	0.545
callous	굳어진	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	빠뜨리는	anger	0.544
robbery	강도	anger	0.544
sting	찌르기	anger	0.544
outcry	항의	anger	0.544
grumble	투덜 대다	anger	0.544
irreconcilable	화해 할 수없는	anger	0.543
resistance	저항	anger	0.543
obstructive	폐쇄적 인	anger	0.542
dismay	당황	anger	0.540
mob	폭도	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	나쁜 상태	anger	0.536
ridicule	조소	anger	0.534
incendiary	방화범	anger	0.533
flares	조명탄	anger	0.532
degeneracy	퇴화	anger	0.531
confinement	제한	anger	0.531
exacerbation	격화	anger	0.531
prejudicial	편견없는	anger	0.531
uprising	반란	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	무모한	anger	0.531
unbridled	구속을받지 않은	anger	0.531
allegation	진술	anger	0.531
communism	공산주의	anger	0.531
whip	채찍	anger	0.531
intruder	침입자	anger	0.531
dispute	분쟁	anger	0.531
belittle	얕보다	anger	0.531
bigoted	편견없는	anger	0.530
offender	범죄자	anger	0.530
hassle	혼전	anger	0.530
dissonance	불협화음	anger	0.530
unjust	부당한	anger	0.530
dictatorial	독재적인	anger	0.530
unjustifiable	정당하지 못한	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	곡해	anger	0.530
tackled	태클 된	anger	0.530
renegade	배신자	anger	0.529
hot	뜨거운	anger	0.529
prison	감옥	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	죄	anger	0.529
suicide	자살	anger	0.521
annoy	괴롭히다	anger	0.520
leavemealone	휴근	anger	0.517
idiotic	바보 같은	anger	0.516
distrust	불신	anger	0.516
depravity	타락	anger	0.516
cretins	크레 톤스	anger	0.516
divorce	이혼	anger	0.516
broil	굽다	anger	0.516
grrr	grrr	anger	0.516
venting	배기	anger	0.516
inimical	반하는	anger	0.516
duress	협박	anger	0.516
disrespectful	무례한	anger	0.516
tortious	불법의	anger	0.516
criticize	흠잡다	anger	0.516
prisoner	죄인	anger	0.516
dishonest	부정한	anger	0.516
treason	반역	anger	0.516
victimized	희생 된	anger	0.515
bile	담즙	anger	0.515
unkind	불친절한	anger	0.515
unforgiving	용서를주지 않는	anger	0.515
unleash	풀다	anger	0.515
coercion	강제	anger	0.515
scold	꾸짖다	anger	0.515
chaos	혼돈	anger	0.515
grump	심술 궂은	anger	0.515
roar	노호	anger	0.515
jerks	바보	anger	0.515
poaching	밀렵	anger	0.515
hangry	매달린	anger	0.515
pow	힘	anger	0.515
poachers	밀렵꾼들	anger	0.515
argumentation	입론	anger	0.515
frustrating	실망한	anger	0.515
tussle	격투	anger	0.514
bane	독	anger	0.511
accusation	고발	anger	0.510
repudiation	포기	anger	0.510
enmity	증오	anger	0.510
banish	덜어 없애다	anger	0.509
disfigured	모양이 변형 된	anger	0.508
storm	폭풍	anger	0.507
shun	피하다	anger	0.500
suppression	억압	anger	0.500
unruly	~을	anger	0.500
intractable	다루기 힘든	anger	0.500
ordeal	지독한 시련	anger	0.500
obstruct	막다	anger	0.500
derogation	감손	anger	0.500
fervor	열렬	anger	0.500
foaming	거품이 일다	anger	0.500
derision	비웃음	anger	0.500
animus	적의	anger	0.500
rejects	거부하다	anger	0.500
bout	합	anger	0.500
spear	창	anger	0.500
crazy	미친	anger	0.500
brazen	단단한	anger	0.500
antithesis	대조법	anger	0.500
injustice	부당	anger	0.500
banished	추방 된	anger	0.500
confined	갇힌	anger	0.500
frenzied	광란의	anger	0.500
dominate	억누르다	anger	0.500
disrupting	혼란	anger	0.500
hammering	망치질	anger	0.500
fear	무서움	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	격통	anger	0.500
brunt	정면의	anger	0.500
possessed	소유 한	anger	0.500
defy	무시하다	anger	0.500
scoff	비웃다	anger	0.500
patronising	우호적 인	anger	0.500
delusional	망상적인	anger	0.500
malpractice	부정 요법	anger	0.500
reject	받지 않다	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	인성	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	광기	anger	0.491
sinful	죄가 많은	anger	0.491
avarice	탐욕	anger	0.490
oppress	억압하다	anger	0.490
disapproved	비 승인 된	anger	0.485
inhuman	비인간적 인	anger	0.485
demand	수요	anger	0.485
abolish	폐하다	anger	0.485
anathema	저주	anger	0.485
fricking	사기	anger	0.485
complaint	불평	anger	0.485
disservice	해	anger	0.485
smuggler	밀수선	anger	0.485
revoke	취소	anger	0.485
infraction	위반	anger	0.485
claw	갈고리 발톱	anger	0.485
dissident	반체제의	anger	0.485
pervert	나쁜 길로 이끌다	anger	0.485
incest	근친 상간	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	불순종 한	anger	0.485
usurp	빼앗다	anger	0.485
alienate	소외시키다	anger	0.485
avenger	복수 자	anger	0.485
annoyed	괴로운	anger	0.485
cutting	절단	anger	0.485
disgrace	불명예	anger	0.484
deceit	책략	anger	0.484
suspicious	의심 많은	anger	0.484
thresh	뒹굴다	anger	0.484
sucker	빨판	anger	0.484
strained	팽팽한	anger	0.484
blame	비난	anger	0.484
upheaval	대변동	anger	0.484
renounce	포기하다	anger	0.484
obnoxious	불쾌한	anger	0.484
restrain	제지하다	anger	0.484
oust	쫓아 내다	anger	0.484
litigious	소송중인	anger	0.484
rivalry	경쟁	anger	0.484
penalty	패널티	anger	0.484
imprisoned	투옥 된	anger	0.484
mocking	조롱	anger	0.484
opposed	반대하는	anger	0.484
turbulence	난류	anger	0.483
pound	파운드	anger	0.481
coldness	추위	anger	0.477
ungrateful	일한 보람 없는	anger	0.472
battalion	대대	anger	0.471
stoopid	stoopid	anger	0.471
hostage	인질	anger	0.470
infidel	신앙심 없는 사람	anger	0.470
ram	램	anger	0.470
accuser	고발인	anger	0.470
gall	담즙	anger	0.470
subversion	파괴	anger	0.470
annoying	성가신	anger	0.470
adversity	역경	anger	0.470
dispossessed	떼어 놓은	anger	0.470
friction	마찰	anger	0.470
jealous	질투심 많은	anger	0.470
feudalism	봉건 제도	anger	0.470
armament	군비	anger	0.470
thump	때림	anger	0.469
complain	불평하다	anger	0.469
incite	선동하다	anger	0.469
steal	훔치다	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	좇지 않다	anger	0.469
injury	해	anger	0.469
simmer	끓이다	anger	0.469
distress	고통	anger	0.469
insanity	광기	anger	0.469
selfish	이기적인	anger	0.469
huff	성냄	anger	0.469
selfishness	이기주의	anger	0.469
backoff	물러나 다	anger	0.469
plunder	약탈	anger	0.469
stifled	억 눌린	anger	0.469
subversive	파괴적 인	anger	0.469
exile	망명	anger	0.469
offense	위반	anger	0.469
objection	반대	anger	0.469
recidivism	상습적 범행	anger	0.469
smother	연기 내는 것	anger	0.469
perpetrator	범인	anger	0.469
dislike	싫어함	anger	0.469
disruption	붕괴	anger	0.469
intolerance	견딜 수 없기	anger	0.469
opposition	반대	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	얼굴	anger	0.467
agony	고뇌	anger	0.465
arrogant	거만한	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	벤트	anger	0.456
elimination	제거	anger	0.456
picketing	피켓팅	anger	0.456
haughty	거만한	anger	0.456
troublesome	귀찮은	anger	0.455
clamor	외치다	anger	0.455
busted	체포 된	anger	0.455
constraint	강제	anger	0.455
crabby	게 같은	anger	0.455
veto	거부권	anger	0.455
stubbed	스텁이있는	anger	0.455
