word	Kazakh-kk	emotion	emotion-intensity-score
demolish	бұзады	anger	0.824
angry	ашуланған	anger	0.824
extermination	жою	anger	0.824
dickhead	дикчер	anger	0.824
livid	livid	anger	0.821
madman	ақылсыз	anger	0.820
vindictive	кек алу	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	қатыгездік	anger	0.818
venomous	улы	anger	0.818
threaten	қауіп төндіреді	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	террорист	anger	0.818
abhor	жек көріңіз	anger	0.816
savage	жыртқыш	anger	0.814
atrocity	зорлық-зомбылық	anger	0.814
carnage	қырғын	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	теріс пайдалану	anger	0.812
tyrant	титан	anger	0.812
fucksake	тамақ дайындауға арналған	anger	0.812
pissedoff	ашулы	anger	0.812
vendetta	вендеттеу	anger	0.812
fierce	қатал	anger	0.812
destroyer	бұзушы	anger	0.812
pissesmeoff	жұмыс істемеуі	anger	0.812
fuming	тұман	anger	0.812
barbaric	варвардік	anger	0.812
anger	ашулану	anger	0.811
pieceofshit	үзінді	anger	0.810
slam	слэм	anger	0.803
fights	жекпе-жектер	anger	0.803
punched	пышақпен	anger	0.803
bitch	ботқа	anger	0.803
punching	бұрғылау	anger	0.803
homicide	кісі өлтіру	anger	0.803
destructive	деструктивті	anger	0.797
ruthless	ажалсыз	anger	0.797
villainous	түршігерлік	anger	0.797
slap	ұрлық	anger	0.791
slaughterhouse	кесу үйі	anger	0.788
punishing	жазалау	anger	0.788
destroyed	жойылды	anger	0.788
retaliatory	жауап қайтару	anger	0.788
riot	тәртіпсіздік	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	мылқау	anger	0.788
growthefuckup	көбейіп кетеді	anger	0.788
diabolical	диаболикалық	anger	0.788
manslaughter	адам өлтіру	anger	0.783
clash	қақтығыс	anger	0.783
bloody	қанды	anger	0.781
hellish	тозақ	anger	0.781
loath	лақ	anger	0.781
detonation	детонация	anger	0.781
quarrel	жанжал	anger	0.781
sinister	қатерлі	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	айыптау	anger	0.779
treacherous	алдамшы	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	кек алу	anger	0.773
revulsion	қуғындау	anger	0.773
madder	шабандоз	anger	0.773
horrific	түршігерлік	anger	0.773
scorn	қорлау	anger	0.769
deplorable	қайғылы	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархист	anger	0.765
devastation	қирату	anger	0.765
resent	ренжітті	anger	0.765
firestorm	өрт соққысы	anger	0.765
contemptible	жексұрын	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	қатыгез	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	өлім	anger	0.758
smash	соққы	anger	0.758
rant	рента	anger	0.758
outburst	жарылыс	anger	0.757
snarl	соққы	anger	0.754
profane	қорлау	anger	0.750
offend	қорлау	anger	0.750
douchebags	douchebags	anger	0.750
growling	қызықтырады	anger	0.750
stfu	stfu	anger	0.750
vulgarity	вульгарность	anger	0.750
dontmesswithme	жоқ	anger	0.750
crazed	ақылсыз	anger	0.750
despise	реніш	anger	0.750
horror	қасіретін	anger	0.750
aggravating	ауырлататын	anger	0.750
revolting	көтеріліс	anger	0.750
fuckedoff	ұрып-соғу	anger	0.742
threat	қауіп-қатер	anger	0.742
erupt	атқылау	anger	0.742
screaming	кричать	anger	0.742
violence	зорлық	anger	0.742
horrible	түршігерлік	anger	0.742
molestation	ұрлық	anger	0.742
bastards	соққылар	anger	0.741
revenge	кек алу	anger	0.738
catastrophe	апат	anger	0.735
menacing	қорқыту	anger	0.735
demon	демон	anger	0.735
crushing	ұсақтау	anger	0.735
damn	Шайтан алғыр	anger	0.735
persecute	қудалау	anger	0.734
argue	дау айту	anger	0.734
flog	соққы	anger	0.734
revolt	көтеріліс	anger	0.734
thrash	thrash	anger	0.734
deplore	күйзеліс	anger	0.734
warfare	соғыс	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	кернеуі	anger	0.734
riotous	алаяқтық	anger	0.734
altercation	алаяқтық	anger	0.729
warlike	соғысқа ұқсас	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	мятежі	anger	0.727
castrate	кастрат	anger	0.727
sabotage	саботаж	anger	0.727
malevolent	зиянды	anger	0.721
strike	ереуіл	anger	0.721
disaster	апат	anger	0.721
disastrous	апат	anger	0.720
tumult	көтеріліс	anger	0.719
madden	madden	anger	0.719
devil	шайтан	anger	0.719
scream	кричать	anger	0.719
brutal	қатал	anger	0.719
treachery	сатқындық	anger	0.719
scorching	шабу	anger	0.719
vermin	жәндіктер	anger	0.719
arseholes	арсенолдар	anger	0.719
horseshit	жіліншік	anger	0.719
aggravates	ауырлатады	anger	0.719
spiteful	жалған	anger	0.719
slay	өлтіру	anger	0.719
disdain	кемсіту	anger	0.719
choke	шөгуді	anger	0.719
bastarding	құлдырау	anger	0.719
mangle	манжа	anger	0.714
anarchism	анархизм	anger	0.714
mutilation	мылтық	anger	0.714
criminal	қылмыскер	anger	0.714
denunciation	күшін жою	anger	0.713
punch	соққы	anger	0.713
crucifixion	шегелеу	anger	0.712
virulence	вируленттілік	anger	0.712
battled	шайқасты	anger	0.712
fatal	өлім	anger	0.712
holocaust	Холокост	anger	0.712
blasphemous	қорлайтын	anger	0.712
hurting	зардап шегеді	anger	0.712
dumbasses	шіркеу	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	бұзылған	anger	0.706
atrocious	қатал	anger	0.706
evil	жауыз	anger	0.706
irritated	тітіркендіреді	anger	0.706
assassin	өлтіруші	anger	0.703
dicks	дикс	anger	0.703
persecution	қудалау	anger	0.703
slayer	өлтіруші	anger	0.703
kidnap	ұрлау	anger	0.703
scolding	қорлау	anger	0.703
intimidation	қорқыту	anger	0.703
aggravated	ауырлатылды	anger	0.703
aggression	агрессия	anger	0.702
armed	қарулы	anger	0.700
poison	улану	anger	0.697
snarling	снарлау	anger	0.697
venom	улы	anger	0.697
battle	шайқас	anger	0.697
disgruntled	ренжіген	anger	0.693
insidious	ұятсыз	anger	0.691
assailant	шабуылшы	anger	0.691
resentment	наразылық	anger	0.691
lynch	линч	anger	0.690
contemptuous	қорлайтын	anger	0.690
temper	мінез	anger	0.688
imprisonment	түрмеге қамау	anger	0.688
disparage	теңсіздік	anger	0.688
bully	қорлау	anger	0.688
terrible	түршігерлік	anger	0.688
lunatic	ақылсыз	anger	0.688
curse	қарғыс	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	шыңдалған	anger	0.688
domination	үстемдік	anger	0.688
mad	ақылсыз	anger	0.688
infanticide	нәресте жанұясы	anger	0.688
volatility	құбылмалылық	anger	0.687
eradication	жою	anger	0.685
tantrum	танкрум	anger	0.682
devastate	қираған	anger	0.682
eradicate	жою	anger	0.682
scoundrel	қорлау	anger	0.682
aggressively	агрессивті түрде	anger	0.680
agitation	үгіт	anger	0.680
dictatorship	диктатура	anger	0.676
irritates	тітіркендіреді	anger	0.676
profanity	күлкі	anger	0.673
egregious	еріксіз	anger	0.672
expletive	эксплуатациялық	anger	0.672
nasty	нашар	anger	0.672
shove	жылжыту	anger	0.672
shot	ату	anger	0.672
harmful	зиянды	anger	0.672
aggravation	шиеленісуі	anger	0.672
contempt	жек көрушілік	anger	0.672
poisonous	улы	anger	0.672
dastardly	ерікті түрде	anger	0.672
shoot	түсіру	anger	0.672
corrupting	бүлінген	anger	0.672
condemnation	айыптау	anger	0.672
wreak	жарылуы	anger	0.672
crushed	ұсақталған	anger	0.672
cruelly	қатал	anger	0.672
crime	қылмыс	anger	0.672
maniac	маньяк	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	атқылау	anger	0.667
odious	қасірет	anger	0.667
shooting	түсіру	anger	0.667
kick	соққы	anger	0.667
aggressive	агрессивті	anger	0.667
combat	күрес	anger	0.667
shout	кричать	anger	0.667
hit	хит	anger	0.667
fight	күрес	anger	0.667
cutthroat	қылыштасу	anger	0.667
enemy	жау	anger	0.667
irritable	тітіркендіргіш	anger	0.667
punished	жазаланды	anger	0.662
ambush	бүркіт	anger	0.661
yell	жалбарыну	anger	0.661
harass	тітіркендіреді	anger	0.659
malignant	қатерлі	anger	0.656
aggressor	агрессорды	anger	0.656
antichrist	Дьяхрист	anger	0.656
gore	горы	anger	0.656
incense	хош иісті заттар	anger	0.656
expel	шығарыңыз	anger	0.656
destruction	жою	anger	0.656
grudge	кек алу	anger	0.656
cranky	мылтық	anger	0.653
offended	ренжіген	anger	0.652
spank	шірік	anger	0.652
growl	өсіріледі	anger	0.652
insurrection	көтеріліс	anger	0.652
reprisal	қудалау	anger	0.652
slave	құл	anger	0.652
denounce	denounce	anger	0.652
animosity	қиянат	anger	0.652
insulting	қорлау	anger	0.652
clashing	қақтығысты	anger	0.652
growls	өсіріледі	anger	0.649
executioner	ceiling	anger	0.644
twat	twat	anger	0.644
doomsday	ақырзаман	anger	0.643
daemon	демон	anger	0.641
obscenity	ұятсыздық	anger	0.641
bombard	бомбалау	anger	0.641
spat	спот	anger	0.641
havoc	қасірет	anger	0.641
feud	қасірет	anger	0.641
grr	Grr	anger	0.641
arson	өрт	anger	0.641
reprimand	сөгіс	anger	0.641
expulsion	шығарып тастау	anger	0.641
inexcusable	ақтауға болмайды	anger	0.641
accused	айыпталушы	anger	0.641
indignant	ашуланған	anger	0.641
shackle	шкаф	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	жарақат	anger	0.636
suicidal	өзіне-өзі қол жұмсау	anger	0.636
poisoned	уланған	anger	0.636
batter	баттер	anger	0.636
kicking	шабуылдау	anger	0.636
hanging	ілулі	anger	0.636
spanking	шпинг	anger	0.636
disgusting	жиренішті	anger	0.636
combatant	жауынгер	anger	0.636
frustrated	бұзылған	anger	0.636
anarchy	анархия	anger	0.636
glaring	жарқырау	anger	0.636
inflict	әкеледі	anger	0.633
wrecked	бұзылған	anger	0.633
grievous	ауыр	anger	0.632
prosecute	қудалау	anger	0.630
agitated	араласқан	anger	0.630
cheat	алдау	anger	0.630
swastika	свастика	anger	0.627
defamatory	жала жабу	anger	0.625
suffocation	тұншығу	anger	0.625
strife	дау-дамай	anger	0.625
provocation	арандату	anger	0.625
injure	зиян келтіру	anger	0.625
harassing	мазасыздану	anger	0.625
scourge	жазалау	anger	0.625
cursing	қарғыс	anger	0.625
betray	сатқындық	anger	0.625
indict	айыптау	anger	0.625
raid	рейд	anger	0.625
thundering	күн күркіреп	anger	0.625
enslaved	құлдықта	anger	0.625
arsehole	арсенол	anger	0.624
insane	ақылсыз	anger	0.621
fiend	fiend	anger	0.621
irritate	тітіркендіреді	anger	0.621
convict	сотталған адам	anger	0.621
jerk	соққы	anger	0.621
theft	ұрлық	anger	0.621
retaliation	өтеу	anger	0.621
deprivation	айыру	anger	0.621
cussed	күлді	anger	0.619
turmoil	шиеленіс	anger	0.618
smack	шегу	anger	0.615
retribution	жазалау	anger	0.614
twats	жіптер	anger	0.609
intolerable	төзімсіз	anger	0.609
rebellion	көтеріліс	anger	0.609
injurious	зиянды	anger	0.609
oppressor	зұлым адам	anger	0.609
slavery	құлдық	anger	0.609
irritability	тітіркену	anger	0.609
collision	соқтығысу	anger	0.609
bitterly	ащы	anger	0.609
gang	банды	anger	0.609
antagonism	антагонизм	anger	0.609
battery	батарея	anger	0.609
adverse	жағымсыз	anger	0.609
disgraced	ренжіген	anger	0.608
irritating	тітіркендіргіш	anger	0.606
revolution	революция	anger	0.606
thug	ұрлық	anger	0.606
diatribe	диатриба	anger	0.606
bombardment	бомбалау	anger	0.606
blast	жарылыс	anger	0.606
irks	иркс	anger	0.606
sickening	ауру	anger	0.606
discrimination	кемсіту	anger	0.606
antagonistic	антагонистикалық	anger	0.606
ranting	ранжировка	anger	0.606
asshole	Нақұрыс	anger	0.606
frustrate	ақылсыз	anger	0.604
manipulation	манипуляция	anger	0.603
tension	кернеу	anger	0.603
insult	қорлау	anger	0.603
bigot	фанат	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	зиянды	anger	0.603
oppression	қысымшылық	anger	0.603
disgust	жиренішті	anger	0.602
spite	қарамастан	anger	0.600
intrusive	интрузивті	anger	0.598
harshness	қатаңдық	anger	0.597
slur	жұмсақтық	anger	0.596
wretch	қасқыр	anger	0.594
inferno	басу	anger	0.594
invasion	шабуыл	anger	0.594
puncture	пункция	anger	0.594
miserable	бақытсыздық	anger	0.594
assail	ұрлық	anger	0.594
storming	шабуылдау	anger	0.594
casualty	жазатайым оқиға	anger	0.594
bitterness	ащы	anger	0.594
morbidity	ауру	anger	0.594
tempest	дауыл	anger	0.594
consternation	шатыстылық	anger	0.592
depraved	бұзылған	anger	0.591
raving	ренжіту	anger	0.591
guillotine	гильотин	anger	0.591
guilty	кінәлі	anger	0.591
immoral	ақымақтық	anger	0.591
forcibly	мәжбүрлеп	anger	0.591
overpowering	қуатты жеңу	anger	0.591
accursed	қарғыс	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	қайтарымсыз	anger	0.588
invader	басқыншы	anger	0.588
scare	қорқыныш	anger	0.588
screwed	бұрандалы	anger	0.588
indignation	наразылық	anger	0.587
jealousy	қызғаныш	anger	0.587
vexed	күйзелген	anger	0.586
confront	қарсы тұру	anger	0.582
brute	қатал	anger	0.581
throttle	дроссель	anger	0.579
wreck	қирау	anger	0.578
revolver	револьвер	anger	0.578
slut	фрагмент	anger	0.578
yousuck	сен біткенсің	anger	0.578
damage	зақымдануы	anger	0.578
butcher	қасапшы	anger	0.578
conflict	қақтығыс	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	қылмыс	anger	0.578
bickering	дау-дамай	anger	0.578
pillage	тонау	anger	0.578
blaze	өрттен	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	төңкеріс	anger	0.578
contentious	даулы	anger	0.578
incarceration	қамауға алу	anger	0.578
defiant	қарсылас	anger	0.578
provoking	қызықтырады	anger	0.578
lash	кірпік	anger	0.578
cancer	қатерлі ісік	anger	0.577
frustration	бұзылулар	anger	0.576
gory	қорқыныш	anger	0.576
alienation	иеліктен шығару	anger	0.576
discord	келіспеушілік	anger	0.576
disturbance	бұзылу	anger	0.576
grope	grope	anger	0.576
condescension	сыпайылық	anger	0.576
pernicious	зиянды	anger	0.576
blasphemy	Құдайға тіл тигізу	anger	0.576
discriminate	кемсітушілік	anger	0.576
chaotic	хаотикалық	anger	0.576
gun	мылтық	anger	0.576
standoff	тұрақсыздық	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	күлкі	anger	0.574
lunacy	ұятсыздық	anger	0.574
oppressive	ренішті	anger	0.574
death	өлім	anger	0.574
jab	jab	anger	0.574
cursed	қарғыс	anger	0.574
scandalous	жанжалды	anger	0.574
monstrosity	монстросия	anger	0.574
shit	қоқыс	anger	0.573
disparaging	наразылық	anger	0.571
slash	слэш	anger	0.571
unfair	әділетсіз	anger	0.571
gallows	шірік	anger	0.570
escalate	ұлғайту	anger	0.569
intolerant	төзімсіз	anger	0.564
lawlessness	заңсыздық	anger	0.563
bluddy	былғарыдан жасалған	anger	0.562
perdition	бұзылу	anger	0.562
taunt	қорлау	anger	0.562
grouchy	күлкілі	anger	0.562
torpedo	торпедо	anger	0.562
deceived	алданған	anger	0.562
slander	жала жапты	anger	0.562
retards	кешігу	anger	0.562
bearish	аюлар	anger	0.562
invade	басып алу	anger	0.562
bellows	сөрелер	anger	0.562
beast	аңдар	anger	0.562
frightful	қорқынышты	anger	0.562
derogatory	кемсітушілік	anger	0.562
glare	жарқырау	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	қорқынышты	anger	0.562
traitor	сатқын	anger	0.562
malign	қатерлі ісік	anger	0.562
wrangling	қасіретін	anger	0.562
dissension	дау-дамай	anger	0.561
banshee	бэнши	anger	0.561
shatter	сілкініс	anger	0.561
conflagration	өрт	anger	0.561
jeopardize	қауіп төндіреді	anger	0.561
thief	ұры	anger	0.561
rave	сүңгу	anger	0.561
grating	торлар	anger	0.561
devastating	қиратушы	anger	0.561
idiots	идиот	anger	0.561
betrayal	сатқындық	anger	0.561
uncontrollable	бақыланбайтын	anger	0.561
fits	сәйкес келеді	anger	0.561
cross	кросс	anger	0.561
hurt	зардап шегеді	anger	0.561
disturbed	бұзылған	anger	0.559
subjugation	бағындыру	anger	0.559
stomped	соққыға ұшырады	anger	0.557
grab	басып алу	anger	0.557
ticked	таңбаланған	anger	0.556
masochism	масочизм	anger	0.556
grievance	шағым	anger	0.556
defiance	қарсылық	anger	0.552
blackmail	шантаж	anger	0.550
offensive	қорлайтын	anger	0.549
decry	шешті	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	бұзу	anger	0.547
punishment	жаза	anger	0.547
shrill	шіркеу	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	қараңғы жақ	anger	0.547
misery	қасірет	anger	0.547
frustrates	бұзылады	anger	0.547
disgraceful	ұятсыз	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	төзімділік	anger	0.547
disparity	теңсіздік	anger	0.547
confine	шектеу	anger	0.547
firearms	атыс қаруы	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ақылсыз	anger	0.547
rebel	бүлікші	anger	0.547
deceive	алдау	anger	0.547
stolen	ұрланған	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	ванкир	anger	0.545
heated	қыздырылған	anger	0.545
ruined	бұзылған	anger	0.545
menace	қауіп-қатер	anger	0.545
humiliate	қорлау	anger	0.545
tackle	араласу	anger	0.545
conspirator	күзетші	anger	0.545
foul	фол	anger	0.545
antagonist	антагонист	anger	0.545
resentful	ренжіген	anger	0.545
prejudice	предрассудки	anger	0.545
adversary	қарсылас	anger	0.545
argument	дәлел	anger	0.545
skirmish	қақтығыстар	anger	0.545
callous	шулы	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	араласқан	anger	0.544
robbery	қарақшылық	anger	0.544
sting	стинг	anger	0.544
outcry	шағым	anger	0.544
grumble	ұнамсыз	anger	0.544
irreconcilable	келіспесіз	anger	0.543
resistance	қарсылық	anger	0.543
obstructive	обструктивті	anger	0.542
dismay	қасіретін	anger	0.540
mob	моб	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	жамандық	anger	0.536
ridicule	күлкі	anger	0.534
incendiary	өрттендіргіш	anger	0.533
flares	алау	anger	0.532
degeneracy	вирустар	anger	0.531
confinement	ұстау	anger	0.531
exacerbation	шиеленісу	anger	0.531
prejudicial	нұқсан келтіреді	anger	0.531
uprising	көтеріліс	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ақылсыз	anger	0.531
unbridled	нашар	anger	0.531
allegation	айыптау	anger	0.531
communism	коммунизм	anger	0.531
whip	қамшы	anger	0.531
intruder	зиянкестер	anger	0.531
dispute	дау	anger	0.531
belittle	кемсіту	anger	0.531
bigoted	фанат	anger	0.530
offender	құқық бұзушы	anger	0.530
hassle	қиындық	anger	0.530
dissonance	диссонанс	anger	0.530
unjust	әділетсіз	anger	0.530
dictatorial	диктаторлық	anger	0.530
unjustifiable	әділетсіз	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	бұзақылық	anger	0.530
tackled	шешілді	anger	0.530
renegade	ренегат	anger	0.529
hot	ыстық	anger	0.529
prison	түрме	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	қылмыс	anger	0.529
suicide	өзіне-өзі қол жұмсау	anger	0.521
annoy	тітіркендіреді	anger	0.520
leavemealone	мені жалғыз қалдыр	anger	0.517
idiotic	идиотикалық	anger	0.516
distrust	сенімсіздік	anger	0.516
depravity	бұзақылық	anger	0.516
cretins	кратиндер	anger	0.516
divorce	ажырасу	anger	0.516
broil	бұршақ	anger	0.516
grrr	grrr	anger	0.516
venting	желдету	anger	0.516
inimical	интимикалық	anger	0.516
duress	мәжбүрлеу	anger	0.516
disrespectful	құрметтемейді	anger	0.516
tortious	қауіпті	anger	0.516
criticize	сынға алыңыз	anger	0.516
prisoner	тұтқын	anger	0.516
dishonest	адал емес	anger	0.516
treason	наразылық	anger	0.516
victimized	зардап шеккен	anger	0.515
bile	өт	anger	0.515
unkind	мейірімсіз	anger	0.515
unforgiving	кешірімсіз	anger	0.515
unleash	босату	anger	0.515
coercion	мәжбүрлеу	anger	0.515
scold	қорлау	anger	0.515
chaos	хаос	anger	0.515
grump	тоздырады	anger	0.515
roar	қисық	anger	0.515
jerks	шыңдары	anger	0.515
poaching	браконьерлік	anger	0.515
hangry	іліңіз	anger	0.515
pow	қуат	anger	0.515
poachers	браконьерлер	anger	0.515
argumentation	дәлелдеу	anger	0.515
frustrating	қайғылы	anger	0.515
tussle	тұмсық	anger	0.514
bane	қате	anger	0.511
accusation	айыптау	anger	0.510
repudiation	бас тарту	anger	0.510
enmity	қастық	anger	0.510
banish	кетеді	anger	0.509
disfigured	нашар	anger	0.508
storm	дауыл	anger	0.507
shun	болдырмау	anger	0.500
suppression	басу	anger	0.500
unruly	дұрыс емес	anger	0.500
intractable	қиын емес	anger	0.500
ordeal	сынақ	anger	0.500
obstruct	кедергі жасау	anger	0.500
derogation	ауытқу	anger	0.500
fervor	шаттыққа толы	anger	0.500
foaming	көбіктенеді	anger	0.500
derision	шерту	anger	0.500
animus	анимус	anger	0.500
rejects	қабылдамайды	anger	0.500
bout	айқас	anger	0.500
spear	найза	anger	0.500
crazy	ақылсыз	anger	0.500
brazen	ұсақ	anger	0.500
antithesis	антитез	anger	0.500
injustice	әділетсіздік	anger	0.500
banished	жойылды	anger	0.500
confined	шектелген	anger	0.500
frenzied	қуғынға ұшырады	anger	0.500
dominate	басым	anger	0.500
disrupting	бұзу	anger	0.500
hammering	балғалары	anger	0.500
fear	қорқыныш	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	күйзеліс	anger	0.500
brunt	тым көп	anger	0.500
possessed	иеленді	anger	0.500
defy	қарсылық	anger	0.500
scoff	күлкі	anger	0.500
patronising	патронизм	anger	0.500
delusional	алдамшы	anger	0.500
malpractice	бұзу	anger	0.500
reject	бас тарту	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	төзімділік	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	ақылсыздық	anger	0.491
sinful	күнәкар	anger	0.491
avarice	авария	anger	0.490
oppress	қысым көрсетіңіз	anger	0.490
disapproved	мақұлдамады	anger	0.485
inhuman	адамгершілік емес	anger	0.485
demand	сұраныс	anger	0.485
abolish	жою	anger	0.485
anathema	анатея	anger	0.485
fricking	бұралу	anger	0.485
complaint	шағым	anger	0.485
disservice	диссертация	anger	0.485
smuggler	контрабандашы	anger	0.485
revoke	күшін жою	anger	0.485
infraction	бұзушылық	anger	0.485
claw	тығын	anger	0.485
dissident	диссидент	anger	0.485
pervert	бұзақылық	anger	0.485
incest	инсайт	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	тілазар емес	anger	0.485
usurp	усурп	anger	0.485
alienate	иеліктен шығару	anger	0.485
avenger	авангард	anger	0.485
annoyed	тітіркендіреді	anger	0.485
cutting	кесу	anger	0.485
disgrace	қорлау	anger	0.484
deceit	алдау	anger	0.484
suspicious	күдікті	anger	0.484
thresh	жаңадан	anger	0.484
sucker	сорғыш	anger	0.484
strained	шиеленісті	anger	0.484
blame	кінә	anger	0.484
upheaval	төңкеріс	anger	0.484
renounce	бас тарту	anger	0.484
obnoxious	жағымсыз	anger	0.484
restrain	ұстаңыз	anger	0.484
oust	құтылу	anger	0.484
litigious	литвалық	anger	0.484
rivalry	бәсекелестік	anger	0.484
penalty	айыппұл	anger	0.484
imprisoned	түрмеге қамалды	anger	0.484
mocking	мазақ ету	anger	0.484
opposed	қарсы	anger	0.484
turbulence	турбуленттілік	anger	0.483
pound	фунт	anger	0.481
coldness	салқындық	anger	0.477
ungrateful	нашар	anger	0.472
