word	Latin-la	emotion	emotion-intensity-score
denunciation	accusatio	anger	0.713
punch	ferrum	anger	0.713
crucifixion	crucis	anger	0.712
virulence	rabie petulanter	anger	0.712
battled	proeliatus est,	anger	0.712
fatal	exitiale	anger	0.712
holocaust	holocaustum	anger	0.712
blasphemous	blasphemantes	anger	0.712
hurting	malum	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	captas	anger	0.706
atrocious	atrox	anger	0.706
evil	malum	anger	0.706
irritated	manibus milito	anger	0.706
assassin	cum sicario disputabo	anger	0.703
dicks	nequeunt movere	anger	0.703
persecution	persecutionem	anger	0.703
slayer	interfectorem	anger	0.703
kidnap	kidnap	anger	0.703
scolding	dein increpare	anger	0.703
intimidation	si metus,	anger	0.703
aggravated	scelesto	anger	0.703
aggression	hostilia	anger	0.702
armed	armato	anger	0.700
poison	venenum	anger	0.697
snarling	quod gannit	anger	0.697
venom	ostium	anger	0.697
battle	proelium	anger	0.697
disgruntled	simulatque furcae	anger	0.693
insidious	insidiosa	anger	0.691
assailant	insectator	anger	0.691
resentment	nee ira	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	intumescat superbia	anger	0.690
temper	ingenium	anger	0.688
imprisonment	custodia	anger	0.688
disparage	obtrectant;	anger	0.688
bully	corruptor, saevus	anger	0.688
terrible	horribilis	anger	0.688
lunatic	impotente	anger	0.688
curse	execratione maledicta congessit	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	imperium	anger	0.688
mad	ad insaniam convertunt	anger	0.688
infanticide	infanticidium	anger	0.688
volatility	LEVITAS	anger	0.687
eradication	eradication	anger	0.685
tantrum	tantrum	anger	0.682
devastate	populandum	anger	0.682
eradicate	eradicate	anger	0.682
scoundrel	fraudulenti vasa	anger	0.682
aggressively	aggressively	anger	0.680
agitation	agitatione	anger	0.680
dictatorship	dictatura	anger	0.676
irritates	irritat	anger	0.676
profanity	sacrilegium	anger	0.673
egregious	insignis	anger	0.672
expletive	expletivas	anger	0.672
nasty	phaulius	anger	0.672
shove	shove	anger	0.672
shot	iaculat	anger	0.672
harmful	nocivis	anger	0.672
aggravation	aspernantem tumentemque lacrimis	anger	0.672
contempt	semper	anger	0.672
poisonous	venenata	anger	0.672
dastardly	ausum nepharium	anger	0.672
shoot	germinat	anger	0.672
corrupting	putridis	anger	0.672
condemnation	judicium	anger	0.672
wreak	perdat,	anger	0.672
crushed	oppressi	anger	0.672
cruelly	ferox	anger	0.672
crime	scelus	anger	0.672
maniac	proluit	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruptio	anger	0.667
odious	odiosa	anger	0.667
shooting	dirigentes	anger	0.667
kick	calcitrare	anger	0.667
aggressive	ferox	anger	0.667
combat	pugna	anger	0.667
shout	clamor	anger	0.667
hit	ledo	anger	0.667
fight	pugna	anger	0.667
cutthroat	remittere percussori	anger	0.667
enemy	inimicus	anger	0.667
irritable	iracundior	anger	0.667
punished	poenas	anger	0.662
ambush	insidiis	anger	0.661
yell	clamo	anger	0.661
harass	pugnes	anger	0.659
malignant	malignum	anger	0.656
aggressor	ultro lacessenti incussit	anger	0.656
antichrist	antichristi	anger	0.656
gore	caedes	anger	0.656
incense	thymiamatis	anger	0.656
expel	geniti forent pelli	anger	0.656
destruction	exitium	anger	0.656
grudge	dissent	anger	0.656
cranky	cranky	anger	0.653
offended	scandalizabantur	anger	0.652
spank	spank	anger	0.652
growl	vox leaenae	anger	0.652
insurrection	motus	anger	0.652
reprisal	ulciscoribus	anger	0.652
slave	servus	anger	0.652
denounce	qua ratione detester	anger	0.652
animosity	animositate defendunt,	anger	0.652
insulting	contumeliosa	anger	0.652
clashing	vetuit concurrere montes	anger	0.652
growls	gemitus iraeque	anger	0.649
executioner	carnifice internuntio	anger	0.644
twat	twat	anger	0.644
doomsday	super viros Iuda	anger	0.643
daemon	daemon	anger	0.641
obscenity	turpitudinem	anger	0.641
bombard	bombard	anger	0.641
spat	expuit	anger	0.641
havoc	expugnabat	anger	0.641
feud	odia,	anger	0.641
grr	grr	anger	0.641
arson	incendium	anger	0.641
reprimand	correptio	anger	0.641
expulsion	urbe regnoque Tarquinios	anger	0.641
inexcusable	quod inexcusabilis	anger	0.641
accused	accusatus	anger	0.641
indignant	indignati	anger	0.641
shackle	& pe dica	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	vulnere	anger	0.636
suicidal	funesta	anger	0.636
poisoned	dicitur venenum bibendum	anger	0.636
batter	COMMETO	anger	0.636
kicking	kicking	anger	0.636
hanging	tentorium	anger	0.636
spanking	LONGE	anger	0.636
disgusting	deformia meditari;	anger	0.636
combatant	inbellis	anger	0.636
frustrated	pudore cooperti	anger	0.636
anarchy	LICENTIA	anger	0.636
glaring	efflantes angebant	anger	0.636
inflict	inferet	anger	0.633
wrecked	cana naufraga puppis	anger	0.633
grievous	gravissimum	anger	0.632
prosecute	de prosequendo,	anger	0.630
agitated	sollicitis	anger	0.630
cheat	decipiat	anger	0.630
swastika	swastika	anger	0.627
defamatory	ad infamiam	anger	0.625
suffocation	suffocatione interiit	anger	0.625
strife	suscitat rixas	anger	0.625
provocation	exacerbatione	anger	0.625
injure	laedere,	anger	0.625
harassing	exasperantem contumeliis, insectantem	anger	0.625
scourge	flagellum	anger	0.625
cursing	maledicto	anger	0.625
betray	transgressorum praevaricati sunt	anger	0.625
indict	Manes accersere	anger	0.625
raid	diruendis exercuisset	anger	0.625
thundering	torquetque sonantia	anger	0.625
enslaved	eramus servientes	anger	0.625
arsehole	cimex	anger	0.624
insane	insaniam convertunt	anger	0.621
fiend	pe fende	anger	0.621
irritate	irritare	anger	0.621
convict	argue obsecra	anger	0.621
jerk	inprobus	anger	0.621
theft	furta	anger	0.621
retaliation	talionis	anger	0.621
deprivation	privatio	anger	0.621
cussed	disputavi	anger	0.619
turmoil	turbat	anger	0.618
smack	saperent,	anger	0.615
retribution	retributionem	anger	0.614
twats	twats	anger	0.609
intolerable	intolerandum	anger	0.609
rebellion	rebellionis	anger	0.609
injurious	iniuriosus;	anger	0.609
oppressor	sceptrum exactoris eius	anger	0.609
slavery	servitutem	anger	0.609
irritability	iracundias	anger	0.609
collision	concursus	anger	0.609
bitterly	ostendens amaritudinem animi	anger	0.609
gang	cohors	anger	0.609
antagonism	conflictatio	anger	0.609
battery	altilium	anger	0.609
adverse	adversa	anger	0.609
disgraced	ignominia affici	anger	0.608
irritating	asperioribus verbis	anger	0.606
revolution	revolution	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	pyrobolorum coniectionem	anger	0.606
blast	inspiratione	anger	0.606
irks	taedet obestque	anger	0.606
sickening	nunc prae angustia	anger	0.606
discrimination	discrimen,	anger	0.606
antagonistic	INFENSUS	anger	0.606
ranting	ranting	anger	0.606
asshole	culus	anger	0.606
frustrate	proturbatis fraudibus	anger	0.604
manipulation	manipulation	anger	0.603
tension	tensio	anger	0.603
insult	contumeliae	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	noxium	anger	0.603
oppression	calumniam	anger	0.603
disgust	fastidiosum	anger	0.602
spite	malignitas	anger	0.600
intrusive	MOLESTUS	anger	0.598
harshness	asperitas	anger	0.597
slur	insectatione	anger	0.596
wretch	miser?	anger	0.594
inferno	Inferno	anger	0.594
invasion	tumultus	anger	0.594
puncture	PUNCTUM	anger	0.594
miserable	miser	anger	0.594
assail	adgrediar	anger	0.594
storming	oppidi oppugnatione	anger	0.594
casualty	casus comparant	anger	0.594
bitterness	amaritudinem	anger	0.594
morbidity	IMBECILLITAS	anger	0.594
tempest	tempestas	anger	0.594
consternation	ubi perterritis	anger	0.592
depraved	improbus	anger	0.591
raving	insani	anger	0.591
guillotine	guillotine	anger	0.591
guilty	reus	anger	0.591
immoral	et fornicatoribus	anger	0.591
forcibly	fortiter	anger	0.591
overpowering	meo frui liceret	anger	0.591
accursed	maledicti sunt	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrat	anger	0.588
invader	accinctum nostrum	anger	0.588
scare	terrent	anger	0.588
screwed	Habes	anger	0.588
indignation	indignatio	anger	0.587
jealousy	invidia	anger	0.587
vexed	usque lassata est	anger	0.586
confront	adversus	anger	0.582
brute	muta	anger	0.581
throttle	IUGULUS	anger	0.579
wreck	wreccum	anger	0.578
revolver	revolver	anger	0.578
slut	cunnus	anger	0.578
yousuck	yousuck	anger	0.578
damage	damnum	anger	0.578
butcher	macello	anger	0.578
conflict	conflictus	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	falsae conscriptiones	anger	0.578
bickering	litigant	anger	0.578
pillage	rapinas,	anger	0.578
blaze	coruscare,	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	res	anger	0.578
contentious	ex contentione,	anger	0.578
incarceration	incarceratione	anger	0.578
defiant	ferox	anger	0.578
provoking	provocantes	anger	0.578
lash	verberum notas exprobrant	anger	0.578
cancer	cancer	anger	0.577
frustration	vanitati	anger	0.576
gory	umbra cruenta	anger	0.576
alienation	alienationem	anger	0.576
discord	discordiae	anger	0.576
disturbance	commotio	anger	0.576
grope	sic palpabunt	anger	0.576
condescension	dignationis	anger	0.576
pernicious	perniciosa	anger	0.576
blasphemy	blasphemia	anger	0.576
discriminate	discernere,	anger	0.576
chaotic	Orcorum tenebrarum	anger	0.576
gun	gun	anger	0.576
standoff	dirigebant	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	rideat	anger	0.574
lunacy	dementia	anger	0.574
oppressive	dominationum crudelium	anger	0.574
death	mortem	anger	0.574
jab	figito,	anger	0.574
cursed	in maledictione reputabitur	anger	0.574
scandalous	ecquid indignius,	anger	0.574
monstrosity	monstrum	anger	0.574
shit	stercore	anger	0.573
disparaging	derogare,	anger	0.571
slash	exacuere vade	anger	0.571
unfair	unfair	anger	0.571
gallows	En lignum,	anger	0.570
escalate	escalate	anger	0.569
intolerant	impatientes	anger	0.564
lawlessness	iniquitatem	anger	0.563
bluddy	funestum conseruit	anger	0.562
perdition	perditionem	anger	0.562
taunt	parabolam istam	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	decipi	anger	0.562
slander	calumniare	anger	0.562
retards	obstet	anger	0.562
bearish	conquerimur	anger	0.562
invade	invadendi	anger	0.562
bellows	defecit sufflatorium;	anger	0.562
beast	bestia	anger	0.562
frightful	immani	anger	0.562
derogatory	noxium	anger	0.562
glare	fulgor	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	horribili	anger	0.562
traitor	proditor	anger	0.562
malign	malignum	anger	0.562
wrangling	altercationem vertisset	anger	0.562
dissension	dissensio	anger	0.561
banshee	banshee	anger	0.561
shatter	et conlidam	anger	0.561
conflagration	incendium	anger	0.561
jeopardize	periclitari	anger	0.561
thief	fur	anger	0.561
rave	flexanima	anger	0.561
grating	totidem retiaculi summitates	anger	0.561
devastating	vastare	anger	0.561
idiots	fatuis	anger	0.561
betrayal	proditione	anger	0.561
uncontrollable	impotent!	anger	0.561
fits	Vices;	anger	0.561
cross	traicere	anger	0.561
hurt	nocere	anger	0.561
disturbed	conturbati sunt	anger	0.559
subjugation	subjugatio	anger	0.559
stomped	stomped	anger	0.557
grab	iaculis	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	negotium	anger	0.556
defiance	PROVOCATIO	anger	0.552
blackmail	INTERMINOR	anger	0.550
offensive	ingrata	anger	0.549
decry	indignandum	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	contra	anger	0.547
punishment	poena	anger	0.547
shrill	argutae lammina	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	miseriae	anger	0.547
frustrates	irrita faciens	anger	0.547
disgraceful	turpe	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ferox	anger	0.547
disparity	dissimilitudo	anger	0.547
confine	obsides praeberet	anger	0.547
firearms	sclopetis	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	praeposterum	anger	0.547
rebel	rebel	anger	0.547
deceive	circumventionem erroris	anger	0.547
stolen	furatus	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	succenderetur fornax	anger	0.545
ruined	Perii	anger	0.545
menace	exscindere adgressi	anger	0.545
humiliate	confunditis	anger	0.545
tackle	tackle	anger	0.545
conspirator	e coniuratis,	anger	0.545
foul	turpi	anger	0.545
antagonist	mortem occupavi	anger	0.545
resentful	displicuit	anger	0.545
prejudice	salvis	anger	0.545
adversary	ut adversaretur ei	anger	0.545
argument	ratio	anger	0.545
skirmish	equestre proelium	anger	0.545
callous	Incrassatum	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	Involutæ	anger	0.544
robbery	rapinam	anger	0.544
sting	mors stimulus tuus	anger	0.544
outcry	clamor	anger	0.544
grumble	LIBELLUS	anger	0.544
irreconcilable	dissociabilis miscuerit	anger	0.543
resistance	resistentiam	anger	0.543
obstructive	obstructivus	anger	0.542
dismay	angustia	anger	0.540
mob	vulgus	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	quod pessimae sint	anger	0.536
ridicule	ludibrium	anger	0.534
incendiary	incendiarius extitisti	anger	0.533
flares	fulsere ignes	anger	0.532
degeneracy	degeneretque	anger	0.531
confinement	alligatum,	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	praeiudicium	anger	0.531
uprising	motus	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	praecipitem	anger	0.531
unbridled	infreni cingunt	anger	0.531
allegation	dictum	anger	0.531
communism	communismi	anger	0.531
whip	flagellum	anger	0.531
intruder	intrusus	anger	0.531
dispute	disputatione	anger	0.531
belittle	abice elevaque	anger	0.531
bigoted	bigoted	anger	0.530
offender	delinquentis	anger	0.530
hassle	hassle	anger	0.530
dissonance	dissonantia	anger	0.530
unjust	iniquis	anger	0.530
dictatorial	dictatoris	anger	0.530
unjustifiable	nunc inritas	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	scelus est	anger	0.530
tackled	investigavit	anger	0.530
renegade	profugus	anger	0.529
hot	calidi	anger	0.529
prison	carcerem	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	pro delicto,	anger	0.529
suicide	mortem	anger	0.521
annoy	vexas	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	fatuus	anger	0.516
distrust	diffidentiae	anger	0.516
depravity	pravitatem	anger	0.516
cretins	cretins	anger	0.516
divorce	repudium	anger	0.516
broil	JURGIUM	anger	0.516
grrr	Mu	anger	0.516
venting	instigabant	anger	0.516
inimical	inimicum	anger	0.516
duress	metum	anger	0.516
disrespectful	despiciens censenda est adnumerari	anger	0.516
tortious	injuriosum	anger	0.516
criticize	detrahere	anger	0.516
prisoner	captivus	anger	0.516
dishonest	ad sectanda	anger	0.516
treason	coniurationis	anger	0.516
victimized	pertulit	anger	0.515
bile	bilem	anger	0.515
unkind	aequus	anger	0.515
unforgiving	absque fœdere	anger	0.515
unleash	emittam furorem	anger	0.515
coercion	coactio	anger	0.515
scold	obiurgare solere,	anger	0.515
chaos	chao	anger	0.515
grump	Grump	anger	0.515
roar	rugiet	anger	0.515
jerks	vincit	anger	0.515
poaching	si assa	anger	0.515
hangry	hangry	anger	0.515
pow	tremunt potes	anger	0.515
poachers	malefactoribus	anger	0.515
argumentation	ratio	anger	0.515
frustrating	frustrating	anger	0.515
tussle	PROELIOR	anger	0.514
bane	perniciosa	anger	0.511
accusation	accusatio	anger	0.510
repudiation	repudium	anger	0.510
enmity	inimicitias veteres	anger	0.510
banish	exilium	anger	0.509
disfigured	squallentes	anger	0.508
storm	tempestas	anger	0.507
shun	fuge	anger	0.500
suppression	earumque oppres	anger	0.500
unruly	non subditos	anger	0.500
intractable	implacabiles cernebam	anger	0.500
ordeal	iudicio	anger	0.500
obstruct	intercludere	anger	0.500
derogation	derogationem	anger	0.500
fervor	fervor	anger	0.500
foaming	spumans	anger	0.500
derision	subsannabit	anger	0.500
animus	animo,	anger	0.500
rejects	respuit	anger	0.500
bout	IRCA	anger	0.500
spear	hastam	anger	0.500
crazy	insanis	anger	0.500
brazen	et procacis	anger	0.500
antithesis	evenientem seiunctionem transgrediendi	anger	0.500
injustice	iniustitiam	anger	0.500
banished	exilium	anger	0.500
confined	ibi clausus	anger	0.500
frenzied	Respicit insano ferientem	anger	0.500
dominate	imperare	anger	0.500
disrupting	Disrupting	anger	0.500
hammering	percussio	anger	0.500
fear	timor	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	morem parturientium contremescant	anger	0.500
brunt	Etruscis Vmbri adiecti	anger	0.500
possessed	habiti	anger	0.500
defy	qua ratione detester	anger	0.500
scoff	dies festos Dei	anger	0.500
patronising	solebat,	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	repellam	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	fortitudo	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	insanire	anger	0.491
sinful	peccatum	anger	0.491
avarice	avaritia	anger	0.490
oppress	vi opprimes	anger	0.490
disapproved	reprobaverunt	anger	0.485
inhuman	adeo inhumanum excogitassent	anger	0.485
demand	demanda	anger	0.485
abolish	Quiéscere faciámus	anger	0.485
anathema	AS	anger	0.485
fricking	fricking	anger	0.485
complaint	querimonia	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	novis	anger	0.485
infraction	pacta turbarentur	anger	0.485
claw	pes	anger	0.485
dissident	dissidens	anger	0.485
pervert	subplantat	anger	0.485
incest	incestum	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	non subditos	anger	0.485
usurp	dominium usurpare,	anger	0.485
alienate	excludere	anger	0.485
avenger	Propinquus	anger	0.485
annoyed	Dolens	anger	0.485
cutting	amputatis testiculis	anger	0.485
disgrace	ignominiam	anger	0.484
deceit	dolo	anger	0.484
suspicious	suspectum	anger	0.484
thresh	triturabis	anger	0.484
sucker	DECIPIO	anger	0.484
strained	accersitum	anger	0.484
blame	peccati reus ero	anger	0.484
upheaval	motus	anger	0.484
renounce	renuntiat	anger	0.484
obnoxious	noxium	anger	0.484
restrain	coercere	anger	0.484
oust	Foras eiciat	anger	0.484
litigious	esse litigiosam	anger	0.484
rivalry	aemulatio	anger	0.484
penalty	supplicium	anger	0.484
imprisoned	vincula	anger	0.484
mocking	inludere	anger	0.484
opposed	opposuit	anger	0.484
turbulence	tumultuosum	anger	0.483
pound	talentum	anger	0.481
coldness	frigidum	anger	0.477
ungrateful	gratus	anger	0.472
battalion	phalanx	anger	0.471
stoopid	stoopid	anger	0.471
hostage	obside,	anger	0.470
infidel	infidele	anger	0.470
ram	aries	anger	0.470
