word	Portuguese (Portugal, Brazil)-pt	emotion	emotion-intensity-score
obliterate	obliterar	anger	0.843
belligerent	beligerante	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detestar	anger	0.838
hostilities	hostilidades	anger	0.837
prick	pica	anger	0.835
torture	tortura	anger	0.833
rabid	raivoso	anger	0.833
horrid	horrível	anger	0.833
rampage	fúria	anger	0.833
cruelty	crueldade	anger	0.833
hate	ódio	anger	0.828
demonic	demoníaco	anger	0.828
hating	odiando	anger	0.828
satanic	satânico	anger	0.828
tyrannical	tirânico	anger	0.828
ragemode	modo furioso	anger	0.828
despicable	desprezível	anger	0.828
ruinous	ruinoso	anger	0.825
condemn	condenar	anger	0.825
riots	tumultos	anger	0.824
demolish	demolir	anger	0.824
angry	Bravo	anger	0.824
extermination	extermínio	anger	0.824
dickhead	idiota	anger	0.824
livid	lívido	anger	0.821
madman	louco	anger	0.820
vindictive	vingativo	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocidade	anger	0.818
venomous	venenoso	anger	0.818
threaten	ameaçar	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorista	anger	0.818
abhor	abominar	anger	0.816
savage	selvagem	anger	0.814
atrocity	atrocidade	anger	0.814
carnage	carnificina	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	Abuso	anger	0.812
tyrant	tirano	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	irritado	anger	0.812
vendetta	vendeta	anger	0.812
fierce	feroz	anger	0.812
destroyer	destruidor	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumegante	anger	0.812
barbaric	bárbaro	anger	0.812
anger	raiva	anger	0.811
pieceofshit	tolo	anger	0.810
slam	slam	anger	0.803
fights	lutas	anger	0.803
punched	perfurado	anger	0.803
bitch	cadela	anger	0.803
punching	perfuração	anger	0.803
homicide	homicídio	anger	0.803
destructive	destrutivo	anger	0.797
ruthless	cruel	anger	0.797
villainous	vilão	anger	0.797
slap	tapa	anger	0.791
slaughterhouse	matadouro	anger	0.788
punishing	punir	anger	0.788
destroyed	destruído	anger	0.788
retaliatory	retaliação	anger	0.788
riot	tumulto	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	gritando	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabólico	anger	0.788
manslaughter	homicídio	anger	0.783
clash	choque	anger	0.783
bloody	sangrento	anger	0.781
hellish	infernal	anger	0.781
loath	relutante	anger	0.781
detonation	detonação	anger	0.781
quarrel	discutir	anger	0.781
sinister	sinistro	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	acusando	anger	0.779
treacherous	traiçoeiro	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	retaliar	anger	0.773
revulsion	repulsa	anger	0.773
madder	mais louca	anger	0.773
horrific	horrível	anger	0.773
scorn	desprezo	anger	0.769
deplorable	deplorável	anger	0.766
bomb	bombear	anger	0.766
anarchist	anarquista	anger	0.765
devastation	devastação	anger	0.765
resent	reenviar	anger	0.765
firestorm	tempestade de fogo	anger	0.765
contemptible	desprezível	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortal	anger	0.758
smash	esmagar	anger	0.758
rant	divertido	anger	0.758
outburst	explosão	anger	0.757
snarl	rosnar	anger	0.754
profane	profano	anger	0.750
offend	ofender	anger	0.750
douchebags	Idiotas	anger	0.750
growling	rosnando	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaridade	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	enlouquecido	anger	0.750
despise	desprezar	anger	0.750
horror	Horror	anger	0.750
aggravating	agravante	anger	0.750
revolting	revoltante	anger	0.750
fuckedoff	fodido	anger	0.742
threat	ameaça	anger	0.742
erupt	entrar em erupção	anger	0.742
screaming	gritando	anger	0.742
violence	violência	anger	0.742
horrible	horrível	anger	0.742
molestation	molestação	anger	0.742
bastards	bastardos	anger	0.741
revenge	vingança	anger	0.738
catastrophe	catástrofe	anger	0.735
menacing	ameaçador	anger	0.735
demon	demônio	anger	0.735
crushing	esmagamento	anger	0.735
damn	Droga	anger	0.735
persecute	perseguir	anger	0.734
argue	argumentar	anger	0.734
flog	flog	anger	0.734
revolt	revolta	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	guerra	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	veemente	anger	0.734
riotous	desenfreado	anger	0.734
altercation	altercação	anger	0.729
warlike	guerreiro	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	motim	anger	0.727
castrate	castração	anger	0.727
sabotage	sabotar	anger	0.727
malevolent	malévolo	anger	0.721
strike	greve	anger	0.721
disaster	desastre	anger	0.721
disastrous	desastroso	anger	0.720
tumult	tumulto	anger	0.719
madden	enlouquecer	anger	0.719
devil	diabo	anger	0.719
scream	grito	anger	0.719
brutal	brutal	anger	0.719
treachery	traição	anger	0.719
scorching	escaldante	anger	0.719
vermin	vermes	anger	0.719
arseholes	idiotas	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	agrava	anger	0.719
spiteful	rancoroso	anger	0.719
slay	Arrasar	anger	0.719
disdain	desdém	anger	0.719
choke	engasgar	anger	0.719
bastarding	Bastardo	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarquismo	anger	0.714
mutilation	mutilação	anger	0.714
criminal	Criminoso	anger	0.714
denunciation	denúncia	anger	0.713
punch	soco	anger	0.713
crucifixion	crucificação	anger	0.712
virulence	virulência	anger	0.712
battled	batalhou	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocausto	anger	0.712
blasphemous	blasfemo	anger	0.712
hurting	machucando	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	enlouquecido	anger	0.706
atrocious	atroz	anger	0.706
evil	mal	anger	0.706
irritated	irritado	anger	0.706
assassin	assassino	anger	0.703
dicks	paus	anger	0.703
persecution	perseguição	anger	0.703
slayer	assassino	anger	0.703
kidnap	raptar	anger	0.703
scolding	repreensão	anger	0.703
intimidation	intimidação	anger	0.703
aggravated	agravado	anger	0.703
aggression	agressão	anger	0.702
armed	armado	anger	0.700
poison	Poção	anger	0.697
snarling	rosnando	anger	0.697
venom	veneno	anger	0.697
battle	batalha	anger	0.697
disgruntled	desapontado	anger	0.693
insidious	insidioso	anger	0.691
assailant	assaltante	anger	0.691
resentment	ressentimento	anger	0.691
lynch	linchamento	anger	0.690
contemptuous	desdenhoso	anger	0.690
temper	temperamento	anger	0.688
imprisonment	prisão	anger	0.688
disparage	depreciar	anger	0.688
bully	valentão	anger	0.688
terrible	terrivel	anger	0.688
lunatic	lunático	anger	0.688
curse	maldição	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	irritado	anger	0.688
domination	dominação	anger	0.688
mad	louco	anger	0.688
infanticide	infanticídio	anger	0.688
volatility	volatilidade	anger	0.687
eradication	erradicação	anger	0.685
tantrum	birra	anger	0.682
devastate	devastar	anger	0.682
eradicate	erradicar	anger	0.682
scoundrel	canalha	anger	0.682
aggressively	agressivamente	anger	0.680
agitation	agitação	anger	0.680
dictatorship	ditadura	anger	0.676
irritates	irrita	anger	0.676
profanity	profanidade	anger	0.673
egregious	notório	anger	0.672
expletive	palavrão	anger	0.672
nasty	desagradável	anger	0.672
shove	empurrão	anger	0.672
shot	tiro	anger	0.672
harmful	prejudicial	anger	0.672
aggravation	agravamento	anger	0.672
contempt	desprezo	anger	0.672
poisonous	venenoso	anger	0.672
dastardly	covarde	anger	0.672
shoot	filmar	anger	0.672
corrupting	corrompendo	anger	0.672
condemnation	condenação	anger	0.672
wreak	causar	anger	0.672
crushed	esmagado	anger	0.672
cruelly	cruelmente	anger	0.672
crime	crime	anger	0.672
maniac	maníaco	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupção	anger	0.667
odious	odioso	anger	0.667
shooting	tiroteio	anger	0.667
kick	pontapé	anger	0.667
aggressive	agressivo	anger	0.667
combat	combate	anger	0.667
shout	gritar	anger	0.667
hit	acertar	anger	0.667
fight	luta	anger	0.667
cutthroat	feroz	anger	0.667
enemy	inimigo	anger	0.667
irritable	irritável	anger	0.667
punished	punido	anger	0.662
ambush	emboscada	anger	0.661
yell	grito	anger	0.661
harass	molestar	anger	0.659
malignant	maligno	anger	0.656
aggressor	agressor	anger	0.656
antichrist	anticristo	anger	0.656
gore	nesga	anger	0.656
incense	incenso	anger	0.656
expel	expulsar	anger	0.656
destruction	destruição	anger	0.656
grudge	rancor	anger	0.656
cranky	irritadiço	anger	0.653
offended	ofendido	anger	0.652
spank	palmada	anger	0.652
growl	rosnar	anger	0.652
insurrection	insurreição	anger	0.652
reprisal	represália	anger	0.652
slave	escravo	anger	0.652
denounce	denunciar	anger	0.652
animosity	antipatia	anger	0.652
insulting	insultando	anger	0.652
clashing	confronto	anger	0.652
growls	rosna	anger	0.649
executioner	carrasco	anger	0.644
twat	vulva	anger	0.644
doomsday	Apocalipse	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenidade	anger	0.641
bombard	bombardear	anger	0.641
spat	cuspido	anger	0.641
havoc	estrago	anger	0.641
feud	feudo	anger	0.641
grr	grr	anger	0.641
arson	incêndio culposo	anger	0.641
reprimand	reprimenda	anger	0.641
expulsion	expulsão	anger	0.641
inexcusable	indesculpável	anger	0.641
accused	acusado	anger	0.641
indignant	indignado	anger	0.641
shackle	grilhão	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ferida	anger	0.636
suicidal	suicida	anger	0.636
poisoned	envenenado	anger	0.636
batter	massa	anger	0.636
kicking	chutando	anger	0.636
hanging	suspensão	anger	0.636
spanking	palmada	anger	0.636
disgusting	repugnante	anger	0.636
combatant	combatente	anger	0.636
frustrated	frustrado	anger	0.636
anarchy	anarquia	anger	0.636
glaring	gritante	anger	0.636
inflict	infligir	anger	0.633
wrecked	naufragado	anger	0.633
grievous	grave	anger	0.632
prosecute	processar	anger	0.630
agitated	agitado	anger	0.630
cheat	enganação	anger	0.630
swastika	suástica	anger	0.627
defamatory	difamatório	anger	0.625
suffocation	asfixia	anger	0.625
strife	contenda	anger	0.625
provocation	provocação	anger	0.625
injure	ferir	anger	0.625
harassing	assédio	anger	0.625
scourge	flagelo	anger	0.625
cursing	maldição	anger	0.625
betray	trair	anger	0.625
indict	acusar	anger	0.625
raid	raid	anger	0.625
thundering	trovejando	anger	0.625
enslaved	escravizado	anger	0.625
arsehole	idiota	anger	0.624
insane	insano	anger	0.621
fiend	demônio	anger	0.621
irritate	irritar	anger	0.621
convict	condenar	anger	0.621
jerk	empurrão	anger	0.621
theft	roubo	anger	0.621
retaliation	retaliação	anger	0.621
deprivation	privação	anger	0.621
cussed	cussed	anger	0.619
turmoil	turbulência	anger	0.618
smack	beijoca	anger	0.615
retribution	retribuição	anger	0.614
twats	twats	anger	0.609
intolerable	intolerável	anger	0.609
rebellion	rebelião	anger	0.609
injurious	prejudicial	anger	0.609
oppressor	opressor	anger	0.609
slavery	escravidão	anger	0.609
irritability	irritabilidade	anger	0.609
collision	colisão	anger	0.609
bitterly	amargamente	anger	0.609
gang	gangue	anger	0.609
antagonism	antagonismo	anger	0.609
battery	bateria	anger	0.609
adverse	desfavoraveis	anger	0.609
disgraced	desgraçado	anger	0.608
irritating	irritante	anger	0.606
revolution	revolução	anger	0.606
thug	bandido	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardeamento	anger	0.606
blast	explosão	anger	0.606
irks	irks	anger	0.606
sickening	enjoativo	anger	0.606
discrimination	discriminação	anger	0.606
antagonistic	antagônico	anger	0.606
ranting	vociferando	anger	0.606
asshole	Idiota	anger	0.606
frustrate	frustrar	anger	0.604
manipulation	manipulação	anger	0.603
tension	tensão	anger	0.603
insult	insulto	anger	0.603
bigot	intolerante	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	doloroso	anger	0.603
oppression	opressão	anger	0.603
disgust	desgosto	anger	0.602
spite	despeito	anger	0.600
intrusive	intrusivo	anger	0.598
harshness	aspereza	anger	0.597
slur	insulto	anger	0.596
wretch	desgraçado	anger	0.594
inferno	inferno	anger	0.594
invasion	invasão	anger	0.594
puncture	punção	anger	0.594
miserable	miserável	anger	0.594
assail	atacar	anger	0.594
storming	assalto	anger	0.594
casualty	acidente	anger	0.594
bitterness	amargura	anger	0.594
morbidity	morbilidade	anger	0.594
tempest	tempestade	anger	0.594
consternation	consternação	anger	0.592
depraved	depravado	anger	0.591
raving	delirante	anger	0.591
guillotine	guilhotina	anger	0.591
guilty	culpado	anger	0.591
immoral	imoral	anger	0.591
forcibly	forçosamente	anger	0.591
overpowering	avassalador	anger	0.591
accursed	amaldiçoado	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrante	anger	0.588
invader	invasor	anger	0.588
scare	susto	anger	0.588
screwed	parafusado	anger	0.588
indignation	indignação	anger	0.587
jealousy	ciúmes	anger	0.587
vexed	vexado	anger	0.586
confront	enfrentar	anger	0.582
brute	bruto	anger	0.581
throttle	acelerador	anger	0.579
wreck	destruir	anger	0.578
revolver	revólver	anger	0.578
slut	vagabunda	anger	0.578
yousuck	você é um merda	anger	0.578
damage	danificar	anger	0.578
butcher	açougueiro	anger	0.578
conflict	conflito	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalidade	anger	0.578
bickering	brigas	anger	0.578
pillage	pilhagem	anger	0.578
blaze	chama	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	golpe	anger	0.578
contentious	contencioso	anger	0.578
incarceration	encarceramento	anger	0.578
defiant	desafiador	anger	0.578
provoking	provocando	anger	0.578
lash	chicote	anger	0.578
cancer	Câncer	anger	0.577
frustration	frustração	anger	0.576
gory	sangrento	anger	0.576
alienation	alienação	anger	0.576
discord	discórdia	anger	0.576
disturbance	perturbação	anger	0.576
grope	tatear	anger	0.576
condescension	condescendência	anger	0.576
pernicious	pernicioso	anger	0.576
blasphemy	blasfêmia	anger	0.576
discriminate	discriminar	anger	0.576
chaotic	caótico	anger	0.576
gun	arma de fogo	anger	0.576
standoff	impasse	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	zombar	anger	0.574
lunacy	loucura	anger	0.574
oppressive	opressivo	anger	0.574
death	morte	anger	0.574
jab	jab	anger	0.574
cursed	amaldiçoado	anger	0.574
scandalous	escandaloso	anger	0.574
monstrosity	monstruosidade	anger	0.574
shit	merda	anger	0.573
disparaging	depreciativo	anger	0.571
slash	golpear	anger	0.571
unfair	Injusto	anger	0.571
gallows	forca	anger	0.570
escalate	escalar	anger	0.569
intolerant	intolerante	anger	0.564
lawlessness	ilegalidade	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdição	anger	0.562
taunt	provocação	anger	0.562
grouchy	ranzinza	anger	0.562
torpedo	torpedo	anger	0.562
deceived	enganado	anger	0.562
slander	calúnia	anger	0.562
retards	retarda	anger	0.562
bearish	grosseiro	anger	0.562
invade	invadir	anger	0.562
bellows	fole	anger	0.562
beast	fera	anger	0.562
frightful	assustador	anger	0.562
derogatory	depreciativo	anger	0.562
glare	brilho	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	terrível	anger	0.562
traitor	traidor	anger	0.562
malign	maligno	anger	0.562
wrangling	brigar	anger	0.562
dissension	dissensão	anger	0.561
banshee	alma penada	anger	0.561
shatter	estilhaçar	anger	0.561
conflagration	conflagração	anger	0.561
jeopardize	comprometer	anger	0.561
thief	ladrao	anger	0.561
rave	delírio	anger	0.561
grating	ralar	anger	0.561
devastating	devastador	anger	0.561
idiots	idiotas	anger	0.561
betrayal	traição	anger	0.561
uncontrollable	incontrolável	anger	0.561
fits	encaixa	anger	0.561
cross	Cruz	anger	0.561
hurt	ferido	anger	0.561
disturbed	perturbado	anger	0.559
subjugation	subjugação	anger	0.559
stomped	pisoteado	anger	0.557
grab	agarrar	anger	0.557
ticked	assinalado	anger	0.556
masochism	masoquismo	anger	0.556
grievance	queixa	anger	0.556
defiance	desafio	anger	0.552
blackmail	chantagem	anger	0.550
offensive	ofensiva	anger	0.549
decry	desacreditar	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	violação	anger	0.547
punishment	punição	anger	0.547
shrill	estridente	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	lado escuro	anger	0.547
misery	miséria	anger	0.547
frustrates	frustra	anger	0.547
disgraceful	vergonhoso	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	arrogante	anger	0.547
disparity	disparidade	anger	0.547
confine	limitar	anger	0.547
firearms	armas de fogo	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurdo	anger	0.547
rebel	rebelde	anger	0.547
deceive	enganar	anger	0.547
stolen	roubado	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	punheteiro	anger	0.545
heated	aquecido	anger	0.545
ruined	arruinado	anger	0.545
menace	ameaça	anger	0.545
humiliate	humilhar	anger	0.545
tackle	atacar	anger	0.545
conspirator	conspirador	anger	0.545
foul	falta	anger	0.545
antagonist	antagonista	anger	0.545
resentful	ressentido	anger	0.545
prejudice	preconceito	anger	0.545
adversary	adversário	anger	0.545
argument	argumento	anger	0.545
skirmish	escaramuça	anger	0.545
callous	insensível	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	emaranhado	anger	0.544
robbery	roubo	anger	0.544
sting	picada	anger	0.544
outcry	clamor	anger	0.544
grumble	resmungar	anger	0.544
irreconcilable	irreconciliável	anger	0.543
resistance	resistência	anger	0.543
obstructive	obstrutivo	anger	0.542
dismay	desânimo	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	maldade	anger	0.536
ridicule	ridículo	anger	0.534
incendiary	incendiário	anger	0.533
flares	foguetes	anger	0.532
degeneracy	degeneração	anger	0.531
confinement	confinamento	anger	0.531
exacerbation	exacerbação	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	insurreição	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	imprudente	anger	0.531
unbridled	descontrolado	anger	0.531
allegation	alegação	anger	0.531
communism	O comunismo	anger	0.531
whip	chicote	anger	0.531
intruder	intruso	anger	0.531
dispute	contestar	anger	0.531
belittle	depreciar	anger	0.531
bigoted	intolerante	anger	0.530
offender	infrator	anger	0.530
hassle	confusão	anger	0.530
dissonance	dissonância	anger	0.530
unjust	injusto	anger	0.530
dictatorial	ditatorial	anger	0.530
unjustifiable	injustificável	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversão	anger	0.530
tackled	abordado	anger	0.530
renegade	renegado	anger	0.529
hot	quente	anger	0.529
prison	prisão	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	transgressão	anger	0.529
suicide	suicídio	anger	0.521
annoy	incomodar	anger	0.520
leavemealone	me deixe em paz	anger	0.517
idiotic	idiota	anger	0.516
distrust	desconfiança	anger	0.516
depravity	depravação	anger	0.516
cretins	cretinos	anger	0.516
divorce	divórcio	anger	0.516
broil	assar	anger	0.516
grrr	grrr	anger	0.516
venting	desabafar	anger	0.516
inimical	hostil	anger	0.516
duress	coação	anger	0.516
disrespectful	desrespeitoso	anger	0.516
tortious	tortuoso	anger	0.516
criticize	criticar	anger	0.516
prisoner	prisioneiro	anger	0.516
dishonest	desonesto	anger	0.516
treason	traição	anger	0.516
victimized	vitimado	anger	0.515
bile	bile	anger	0.515
unkind	indelicado	anger	0.515
unforgiving	implacável	anger	0.515
unleash	desencadear	anger	0.515
coercion	coerção	anger	0.515
scold	repreender	anger	0.515
chaos	caos	anger	0.515
grump	grunhir	anger	0.515
roar	rugido	anger	0.515
jerks	idiotas	anger	0.515
poaching	caça furtiva	anger	0.515
hangry	faminto	anger	0.515
pow	prisioneiro de guerra	anger	0.515
poachers	caçadores ilegais	anger	0.515
argumentation	argumentação	anger	0.515
frustrating	frustrante	anger	0.515
tussle	desordem	anger	0.514
bane	bane	anger	0.511
accusation	acusação	anger	0.510
repudiation	repúdio	anger	0.510
enmity	inimizade	anger	0.510
banish	banir	anger	0.509
disfigured	desfigurado	anger	0.508
storm	tempestade	anger	0.507
shun	evita	anger	0.500
suppression	supressão	anger	0.500
unruly	indisciplinado	anger	0.500
intractable	intratável	anger	0.500
ordeal	provação	anger	0.500
obstruct	obstruir	anger	0.500
derogation	derrogação	anger	0.500
fervor	fervor	anger	0.500
foaming	espuma	anger	0.500
derision	escárnio	anger	0.500
animus	animus	anger	0.500
rejects	rejeita	anger	0.500
bout	ataque	anger	0.500
spear	lança	anger	0.500
crazy	louco	anger	0.500
brazen	descarado	anger	0.500
antithesis	antítese	anger	0.500
injustice	injustiça	anger	0.500
banished	banido	anger	0.500
confined	confinado	anger	0.500
frenzied	frenético	anger	0.500
dominate	dominar	anger	0.500
disrupting	perturbando	anger	0.500
hammering	martelando	anger	0.500
fear	medo	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angústia	anger	0.500
brunt	peso	anger	0.500
possessed	possuído	anger	0.500
defy	desafiar	anger	0.500
scoff	zombar	anger	0.500
patronising	paternalista	anger	0.500
delusional	delirante	anger	0.500
malpractice	negligência	anger	0.500
reject	rejeitar	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	dureza	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	loucura	anger	0.491
sinful	pecaminoso	anger	0.491
avarice	avareza	anger	0.490
oppress	oprimir	anger	0.490
disapproved	reprovado	anger	0.485
inhuman	desumano	anger	0.485
demand	exigem	anger	0.485
abolish	abolir	anger	0.485
anathema	anátema	anger	0.485
fricking	fricking	anger	0.485
complaint	queixa	anger	0.485
disservice	desserviço	anger	0.485
smuggler	contrabandista	anger	0.485
revoke	revogar	anger	0.485
infraction	infração	anger	0.485
claw	garra	anger	0.485
dissident	dissidente	anger	0.485
pervert	perverter	anger	0.485
incest	incesto	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	desobediente	anger	0.485
usurp	usurpar	anger	0.485
alienate	alienar	anger	0.485
avenger	vingador	anger	0.485
annoyed	irritado	anger	0.485
cutting	corte	anger	0.485
disgrace	desgraça	anger	0.484
deceit	engano	anger	0.484
suspicious	suspeito	anger	0.484
thresh	debulhar	anger	0.484
sucker	otário	anger	0.484
strained	tensas	anger	0.484
blame	culpa	anger	0.484
upheaval	revolta	anger	0.484
renounce	renúncia	anger	0.484
obnoxious	obnóxio	anger	0.484
restrain	conter	anger	0.484
oust	derrubar	anger	0.484
litigious	litigioso	anger	0.484
rivalry	rivalidade	anger	0.484
penalty	pena	anger	0.484
imprisoned	aprisionado	anger	0.484
mocking	zombando	anger	0.484
opposed	opôs-se	anger	0.484
turbulence	turbulência	anger	0.483
pound	libra	anger	0.481
coldness	frieza	anger	0.477
ungrateful	ingrato	anger	0.472
battalion	batalhão	anger	0.471
stoopid	stoopid	anger	0.471
hostage	refém	anger	0.470
infidel	infiel	anger	0.470
ram	RAM	anger	0.470
accuser	acusador	anger	0.470
gall	galho	anger	0.470
subversion	subversão	anger	0.470
annoying	irritante	anger	0.470
adversity	adversidade	anger	0.470
dispossessed	despossuído	anger	0.470
friction	atrito	anger	0.470
jealous	com ciumes	anger	0.470
feudalism	feudalismo	anger	0.470
armament	armamento	anger	0.470
thump	baque	anger	0.469
complain	reclamar	anger	0.469
incite	incitar	anger	0.469
steal	roubar	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	desobedecer	anger	0.469
injury	prejuízo	anger	0.469
simmer	ferver	anger	0.469
distress	angústia	anger	0.469
insanity	insanidade	anger	0.469
selfish	egoísta	anger	0.469
huff	bufar	anger	0.469
selfishness	egoísmo	anger	0.469
backoff	Recuar	anger	0.469
plunder	pilhagem	anger	0.469
stifled	sufocado	anger	0.469
subversive	subversivo	anger	0.469
exile	exílio	anger	0.469
offense	ofensa	anger	0.469
objection	objeção	anger	0.469
recidivism	reincidência	anger	0.469
smother	sufocar	anger	0.469
perpetrator	autor	anger	0.469
dislike	não gostar	anger	0.469
disruption	perturbação	anger	0.469
intolerance	intolerância	anger	0.469
opposition	oposição	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	caneca	anger	0.467
agony	agonia	anger	0.465
arrogant	arrogante	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	desabafar	anger	0.456
elimination	eliminação	anger	0.456
picketing	piquete	anger	0.456
haughty	arrogante	anger	0.456
troublesome	problemático	anger	0.455
clamor	clamor	anger	0.455
busted	preso	anger	0.455
constraint	limitação	anger	0.455
crabby	mal-humorado	anger	0.455
veto	veto	anger	0.455
stubbed	stubbed	anger	0.455
mislead	enganar	anger	0.455
illicit	ilícito	anger	0.455
dying	morrendo	anger	0.455
