word	Samoan-sm	emotion	emotion-intensity-score
vulgarity	upu leaga	anger	0.750
dontmesswithme	e le o ia	anger	0.750
crazed	gaogao	anger	0.750
despise	inoino	anger	0.750
horror	fefe	anger	0.750
aggravating	faʻateleina	anger	0.750
revolting	fouvale	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	taufaamatau	anger	0.742
erupt	paʻu	anger	0.742
screaming	tagi	anger	0.742
violence	osofaiga	anger	0.742
horrible	mataʻutia	anger	0.742
molestation	faʻalavelave	anger	0.742
bastards	tamaʻitaʻi	anger	0.741
revenge	tauimasui	anger	0.738
catastrophe	faʻalavelave	anger	0.735
menacing	taufaamatau	anger	0.735
demon	temoni	anger	0.735
crushing	solo	anger	0.735
damn	leai	anger	0.735
persecute	sauaina	anger	0.734
argue	finau	anger	0.734
flog	flog	anger	0.734
revolt	fouvalega	anger	0.734
thrash	tuʻituʻi	anger	0.734
deplore	atuatuvale	anger	0.734
warfare	taua	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vevesi	anger	0.734
riotous	vevesi	anger	0.734
altercation	suiga	anger	0.729
warlike	taua	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	faalumaina	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	le faʻaleagaina	anger	0.721
strike	oso	anger	0.721
disaster	mala	anger	0.721
disastrous	leaga	anger	0.720
tumult	vevesi	anger	0.719
madden	valea	anger	0.719
devil	tiapolo	anger	0.719
scream	alaga	anger	0.719
brutal	sauā	anger	0.719
treachery	fouvale	anger	0.719
scorching	afaina	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	faʻalavelave	anger	0.719
spiteful	loto malie	anger	0.719
slay	fasioti	anger	0.719
disdain	le amanaiaina	anger	0.719
choke	kiliva	anger	0.719
bastarding	faʻailoga	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	faʻamaʻi	anger	0.714
criminal	solitulafono	anger	0.714
denunciation	faʻasalaga	anger	0.713
punch	puno	anger	0.713
crucifixion	faasatauroga	anger	0.712
virulence	siama	anger	0.712
battled	tauivi	anger	0.712
fatal	mataʻutia	anger	0.712
holocaust	taulaga mu	anger	0.712
blasphemous	upu leaga	anger	0.712
hurting	faatiga	anger	0.712
dumbasses	fagu	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	vavae ese	anger	0.706
atrocious	leaga	anger	0.706
evil	leaga	anger	0.706
irritated	ita	anger	0.706
assassin	fasioti tagata	anger	0.703
dicks	faʻavaʻa	anger	0.703
persecution	sauaga	anger	0.703
slayer	fasioti tagata	anger	0.703
kidnap	faoa	anger	0.703
scolding	otegia	anger	0.703
intimidation	taufaafefe	anger	0.703
aggravated	ua faateteleina	anger	0.703
aggression	osofaiga	anger	0.702
armed	faaauupegaina	anger	0.700
poison	mea oona	anger	0.697
snarling	gaoi	anger	0.697
venom	venu	anger	0.697
battle	taua	anger	0.697
disgruntled	le fiafia	anger	0.693
insidious	taufaasese	anger	0.691
assailant	osofaʻi	anger	0.691
resentment	ita	anger	0.691
lynch	lynch	anger	0.690
contemptuous	atuatuvale	anger	0.690
temper	ita	anger	0.688
imprisonment	falepuipui	anger	0.688
disparage	faʻaleagaina	anger	0.688
bully	osovale	anger	0.688
terrible	mataʻutia	anger	0.688
lunatic	lunatic	anger	0.688
curse	fetuu	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	faʻailoa	anger	0.688
domination	puleʻaga	anger	0.688
mad	vale	anger	0.688
infanticide	pepe fananau mai	anger	0.688
volatility	utiuti	anger	0.687
eradication	faʻaumatia	anger	0.685
tantrum	ita	anger	0.682
devastate	faʻaleagaina	anger	0.682
eradicate	faʻaumatia	anger	0.682
scoundrel	taufaasese	anger	0.682
aggressively	faʻamalosi	anger	0.680
agitation	osofaʻiga	anger	0.680
dictatorship	pule faʻamalosi	anger	0.676
irritates	ita	anger	0.676
profanity	upu masoa	anger	0.673
egregious	egregious	anger	0.672
expletive	faʻamalosi	anger	0.672
nasty	leaga	anger	0.672
shove	fana	anger	0.672
shot	fana	anger	0.672
harmful	leaga	anger	0.672
aggravation	faʻaleagaina	anger	0.672
contempt	inoino	anger	0.672
poisonous	mea oona	anger	0.672
dastardly	vave	anger	0.672
shoot	fana	anger	0.672
corrupting	faaleagaina	anger	0.672
condemnation	taʻusalaga	anger	0.672
wreak	faʻanoanoa	anger	0.672
crushed	paʻu	anger	0.672
cruelly	agaleaga	anger	0.672
crime	solitulafono	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	faʻaleagaina	anger	0.667
odious	leaga	anger	0.667
shooting	fana	anger	0.667
kick	kiliki	anger	0.667
aggressive	faʻamalosi	anger	0.667
combat	taua	anger	0.667
shout	alalaga	anger	0.667
hit	lave	anger	0.667
fight	taua	anger	0.667
cutthroat	oti	anger	0.667
enemy	fili	anger	0.667
irritable	ita	anger	0.667
punished	faasala	anger	0.662
ambush	faʻatali	anger	0.661
yell	tagi	anger	0.661
harass	faʻalavelave	anger	0.659
malignant	leaga	anger	0.656
aggressor	tagata sauā	anger	0.656
antichrist	anetikeriso	anger	0.656
gore	gore	anger	0.656
incense	mea manogi	anger	0.656
expel	faatea	anger	0.656
destruction	faʻaumatia	anger	0.656
grudge	ita	anger	0.656
cranky	uila	anger	0.653
offended	ita	anger	0.652
spank	vaʻai	anger	0.652
growl	sosolo	anger	0.652
insurrection	fouvalega	anger	0.652
reprisal	faʻaola	anger	0.652
slave	pologa	anger	0.652
denounce	faʻasalaga	anger	0.652
animosity	ita	anger	0.652
insulting	taufaifai	anger	0.652
clashing	feteʻenaʻi	anger	0.652
growls	uila	anger	0.649
executioner	tagata faʻatau	anger	0.644
twat	Twat	anger	0.644
doomsday	aso ole aso	anger	0.643
daemon	daemon	anger	0.641
obscenity	amio leaga	anger	0.641
bombard	Samoa Logo	anger	0.641
spat	vaʻaia	anger	0.641
havoc	mala	anger	0.641
feud	feʻai	anger	0.641
grr	grr	anger	0.641
arson	fana	anger	0.641
reprimand	lapataiga	anger	0.641
expulsion	tuliesea	anger	0.641
inexcusable	leai se faʻamatalaga	anger	0.641
accused	tuuaia	anger	0.641
indignant	ita	anger	0.641
shackle	laʻau	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	manua	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	mea oona	anger	0.636
batter	maʻa	anger	0.636
kicking	kiliki	anger	0.636
hanging	tautau	anger	0.636
spanking	feilafi	anger	0.636
disgusting	inosia	anger	0.636
combatant	taua	anger	0.636
frustrated	le fiafia	anger	0.636
anarchy	faʻanoanoa	anger	0.636
glaring	sulu	anger	0.636
inflict	faia	anger	0.633
wrecked	solo	anger	0.633
grievous	mamafa	anger	0.632
prosecute	moliaga	anger	0.630
agitated	atuatuvale	anger	0.630
cheat	kopi	anger	0.630
swastika	swastika	anger	0.627
defamatory	taufaaleaga	anger	0.625
suffocation	toso	anger	0.625
strife	finauga	anger	0.625
provocation	osofaʻiga	anger	0.625
injure	faamanualia	anger	0.625
harassing	faʻanoanoa	anger	0.625
scourge	sasa	anger	0.625
cursing	fetuu	anger	0.625
betray	faalata	anger	0.625
indict	faʻasala	anger	0.625
raid	osofaʻiga	anger	0.625
thundering	faititili	anger	0.625
enslaved	pologa	anger	0.625
arsehole	arsehole	anger	0.624
insane	valea	anger	0.621
fiend	fiend	anger	0.621
irritate	ita	anger	0.621
convict	tausalaina	anger	0.621
jerk	samo	anger	0.621
theft	gaoi	anger	0.621
retaliation	taui ma sui	anger	0.621
deprivation	faoa	anger	0.621
cussed	faʻailoa	anger	0.619
turmoil	faʻalavelave	anger	0.618
smack	smack	anger	0.615
retribution	taui	anger	0.614
twats	lua	anger	0.609
intolerable	lē mafai	anger	0.609
rebellion	teteʻe	anger	0.609
injurious	faʻaleaga	anger	0.609
oppressor	tagata sauā	anger	0.609
slavery	pologa	anger	0.609
irritability	faʻaleagaina	anger	0.609
collision	osofaiga	anger	0.609
bitterly	tiga	anger	0.609
gang	gang	anger	0.609
antagonism	taufaasese	anger	0.609
battery	maa	anger	0.609
adverse	leaga	anger	0.609
disgraced	faalumaina	anger	0.608
irritating	ita	anger	0.606
revolution	fouvale	anger	0.606
thug	uʻu	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	osofaʻiga	anger	0.606
blast	osofaʻiga	anger	0.606
irks	faʻailoga	anger	0.606
sickening	maʻi	anger	0.606
discrimination	faʻailoga	anger	0.606
antagonistic	tetee	anger	0.606
ranting	fufuluina	anger	0.606
asshole	osofaʻi	anger	0.606
frustrate	le fiafia	anger	0.604
manipulation	togafitia	anger	0.603
tension	popolega	anger	0.603
insult	taufaaleaga	anger	0.603
bigot	tele	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	tiga	anger	0.603
oppression	faʻasauā	anger	0.603
disgust	inoino	anger	0.602
spite	ioe	anger	0.600
intrusive	faʻalavelave	anger	0.598
harshness	malosi	anger	0.597
slur	slur	anger	0.596
wretch	leaga	anger	0.594
inferno	faʻailoga	anger	0.594
invasion	osofaʻiga	anger	0.594
puncture	afaina	anger	0.594
miserable	faanoanoa	anger	0.594
assail	osofaiga	anger	0.594
storming	osofaia	anger	0.594
casualty	faʻanoanoa	anger	0.594
bitterness	tiga	anger	0.594
morbidity	maʻi	anger	0.594
tempest	afā	anger	0.594
consternation	popolega	anger	0.592
depraved	leaga	anger	0.591
raving	toso	anger	0.591
guillotine	guillotine	anger	0.591
guilty	tausalaina	anger	0.591
immoral	le mama	anger	0.591
forcibly	malosi	anger	0.591
overpowering	manumalo	anger	0.591
accursed	faʻasalaina	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	toe faanatinati	anger	0.588
invader	osofaʻiga	anger	0.588
scare	fefefe	anger	0.588
screwed	faʻanofo	anger	0.588
indignation	ita	anger	0.587
jealousy	fuā	anger	0.587
vexed	ita	anger	0.586
confront	fetaiai	anger	0.582
brute	faʻanoanoa	anger	0.581
throttle	togi	anger	0.579
wreck	solo	anger	0.578
revolver	tagata fouvale	anger	0.578
slut	paʻu	anger	0.578
yousuck	e ke le aoga	anger	0.578
damage	faʻaleagaina	anger	0.578
butcher	faʻatau	anger	0.578
conflict	feteenaiga	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	solitulafono	anger	0.578
bickering	fefinauai	anger	0.578
pillage	faoa	anger	0.578
blaze	mumu	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	osofaʻi	anger	0.578
contentious	finauga	anger	0.578
incarceration	faʻafalepuipui	anger	0.578
defiant	lē fiafia	anger	0.578
provoking	faʻaosoina	anger	0.578
lash	pala	anger	0.578
cancer	kanesa	anger	0.577
frustration	popole	anger	0.576
gory	gory	anger	0.576
alienation	vavalalata	anger	0.576
discord	feeseeseaiga	anger	0.576
disturbance	faʻalavelave	anger	0.576
grope	tauva	anger	0.576
condescension	faamaualalo	anger	0.576
pernicious	leaga	anger	0.576
blasphemy	upu leaga	anger	0.576
discriminate	faʻamaonia	anger	0.576
chaotic	le mautonu	anger	0.576
gun	fana	anger	0.576
standoff	lafoaʻi	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	pule sili	anger	0.574
oppressive	faʻaleagaina	anger	0.574
death	maliu	anger	0.574
jab	jab	anger	0.574
cursed	fetuuina	anger	0.574
scandalous	taufaaleaga	anger	0.574
monstrosity	mataʻutia	anger	0.574
shit	migao	anger	0.573
disparaging	faʻaleagaina	anger	0.571
slash	slash	anger	0.571
unfair	le saʻo	anger	0.571
gallows	galulu	anger	0.570
escalate	faʻateleina	anger	0.569
intolerant	lē faʻalogo	anger	0.564
lawlessness	solitulafono	anger	0.563
bluddy	bluddy	anger	0.562
perdition	malaia	anger	0.562
taunt	taufaaleaga	anger	0.562
grouchy	faʻanoanoa	anger	0.562
torpedo	toso	anger	0.562
deceived	faaseseina	anger	0.562
slander	taufaaleaga	anger	0.562
retards	tolopo	anger	0.562
bearish	bearish	anger	0.562
invade	osofaia	anger	0.562
bellows	tapuni	anger	0.562
beast	manu	anger	0.562
frightful	fefefe	anger	0.562
derogatory	faʻaleagaina	anger	0.562
glare	sulu	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	mataʻutia	anger	0.562
traitor	tagata faʻatau	anger	0.562
malign	malilie	anger	0.562
wrangling	feteenaʻi	anger	0.562
dissension	fevaevaeaiga	anger	0.561
banshee	uila	anger	0.561
shatter	malepelepe	anger	0.561
conflagration	fenumiai	anger	0.561
jeopardize	lamatia	anger	0.561
thief	gaoi	anger	0.561
rave	fai	anger	0.561
grating	togiina	anger	0.561
devastating	faʻalavelave	anger	0.561
idiots	faʻailoga	anger	0.561
betrayal	faalataina	anger	0.561
uncontrollable	lē mafai ona faʻalogo	anger	0.561
fits	talafeagai	anger	0.561
cross	koluse	anger	0.561
hurt	tiga	anger	0.561
disturbed	faʻalavelave	anger	0.559
subjugation	toilalo	anger	0.559
stomped	tuʻituʻi	anger	0.557
grab	puʻe	anger	0.557
ticked	tisa	anger	0.556
masochism	masochism	anger	0.556
grievance	faitioga	anger	0.556
defiance	teteʻe	anger	0.552
blackmail	faʻailoga	anger	0.550
offensive	ita	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	solia	anger	0.547
punishment	faasalaga	anger	0.547
shrill	sulu	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	pogisa	anger	0.547
misery	faanoanoa	anger	0.547
frustrates	faʻalavelave	anger	0.547
disgraceful	faʻalumaina	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	osofaʻi	anger	0.547
disparity	feeseeseaiga	anger	0.547
confine	taofi	anger	0.547
firearms	fana	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	faʻapitoa	anger	0.547
rebel	fouvale	anger	0.547
deceive	faasese	anger	0.547
stolen	gaoia	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	faimalaga	anger	0.545
heated	vevela	anger	0.545
ruined	faaleagaina	anger	0.545
menace	matautia	anger	0.545
humiliate	faalumaina	anger	0.545
tackle	toso	anger	0.545
conspirator	fouvale	anger	0.545
foul	leaga	anger	0.545
antagonist	tagata tetee	anger	0.545
resentful	ita	anger	0.545
prejudice	faʻaituau	anger	0.545
adversary	fili	anger	0.545
argument	finauga	anger	0.545
skirmish	faʻamalosi	anger	0.545
callous	le faʻaleagaina	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	tui	anger	0.544
robbery	faomea	anger	0.544
sting	tui	anger	0.544
outcry	alaga	anger	0.544
grumble	faitio	anger	0.544
irreconcilable	leai se faʻasalaga	anger	0.543
resistance	tetee	anger	0.543
obstructive	faʻalavelave	anger	0.542
dismay	faanoanoa	anger	0.540
mob	tagata leaga	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	leaga	anger	0.536
ridicule	ulagia	anger	0.534
incendiary	afi	anger	0.533
flares	lanu	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	faʻamalosi	anger	0.531
exacerbation	faʻavavevave	anger	0.531
prejudicial	faʻaituau	anger	0.531
uprising	osofaiga	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	le faautauta	anger	0.531
unbridled	le faʻamaonia	anger	0.531
allegation	tuuaiga	anger	0.531
communism	Fesoʻotaʻiga	anger	0.531
whip	sasa	anger	0.531
intruder	tagata faʻalavelave	anger	0.531
dispute	feeseeseaiga	anger	0.531
belittle	faʻailoga	anger	0.531
bigoted	telefoni	anger	0.530
offender	tagata solitulafono	anger	0.530
hassle	aʻafiaga	anger	0.530
dissonance	dissonance	anger	0.530
unjust	amioletonu	anger	0.530
dictatorial	faʻaupu	anger	0.530
unjustifiable	le faʻamaoni	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	faʻasoesa	anger	0.530
tackled	osofaia	anger	0.530
renegade	fouvale	anger	0.529
hot	vevela	anger	0.529
prison	falepuipui	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	solitulafono	anger	0.529
suicide	pule ola	anger	0.521
annoy	ita	anger	0.520
leavemealone	tuu a'u na'o a'u	anger	0.517
idiotic	valea	anger	0.516
distrust	le talitonu	anger	0.516
depravity	leaga	anger	0.516
cretins	fretins	anger	0.516
divorce	teteʻa	anger	0.516
broil	broil	anger	0.516
grrr	manogi	anger	0.516
venting	faʻailoa	anger	0.516
inimical	faʻapitoa	anger	0.516
duress	leai	anger	0.516
disrespectful	le faaaloalo	anger	0.516
tortious	leaga	anger	0.516
criticize	faitio	anger	0.516
prisoner	pagota	anger	0.516
dishonest	le faamaoni	anger	0.516
treason	fouvale	anger	0.516
victimized	ua afaina	anger	0.515
bile	talo	anger	0.515
unkind	agaleaga	anger	0.515
unforgiving	lē faamagalo	anger	0.515
unleash	tatala	anger	0.515
coercion	faʻamalosi	anger	0.515
scold	otegia	anger	0.515
chaos	vevesi	anger	0.515
grump	muimui	anger	0.515
roar	tagi	anger	0.515
jerks	toso	anger	0.515
poaching	poaching	anger	0.515
hangry	tautau	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	finauga	anger	0.515
frustrating	faʻanoanoa	anger	0.515
tussle	tussle	anger	0.514
bane	faʻatau	anger	0.511
accusation	tuuaiga	anger	0.510
repudiation	taufaasese	anger	0.510
enmity	feitagaʻi	anger	0.510
banish	faʻailoa	anger	0.509
disfigured	faʻaleagaina	anger	0.508
storm	afā	anger	0.507
shun	aloese	anger	0.500
suppression	tapunia	anger	0.500
unruly	lē pulea	anger	0.500
intractable	e le mafai	anger	0.500
ordeal	faʻalavelave	anger	0.500
obstruct	faalavelave	anger	0.500
derogation	faʻasalaga	anger	0.500
fervor	malosi	anger	0.500
foaming	foaming	anger	0.500
derision	taufaalili	anger	0.500
animus	animus	anger	0.500
rejects	teena	anger	0.500
bout	taliga	anger	0.500
spear	tao	anger	0.500
crazy	valea	anger	0.500
brazen	faʻamalosi	anger	0.500
antithesis	vailaau	anger	0.500
injustice	faiga le tonu	anger	0.500
banished	tuliesea	anger	0.500
confined	faʻamaonia	anger	0.500
frenzied	faʻailoa	anger	0.500
dominate	puleʻaga	anger	0.500
disrupting	faʻalavelave	anger	0.500
hammering	maʻa	anger	0.500
fear	fefe	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	mafatiaga	anger	0.500
brunt	brunt	anger	0.500
possessed	umia	anger	0.500
defy	faʻatau	anger	0.500
scoff	ulavale	anger	0.500
patronising	faʻamaonia	anger	0.500
delusional	taufaasese	anger	0.500
malpractice	leaga	anger	0.500
reject	teena	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	faigata	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	valea	anger	0.491
sinful	agasala	anger	0.491
avarice	avarice	anger	0.490
oppress	faʻasauā	anger	0.490
disapproved	le taliaina	anger	0.485
inhuman	tagata leaga	anger	0.485
demand	manaʻoga	anger	0.485
abolish	soloia	anger	0.485
anathema	faʻatau	anger	0.485
fricking	fricking	anger	0.485
complaint	tagi	anger	0.485
disservice	faʻasalaga	anger	0.485
smuggler	smuggler	anger	0.485
revoke	faalēaogā	anger	0.485
infraction	mea sese	anger	0.485
claw	pupuʻu	anger	0.485
dissident	le o se mea e le mafai	anger	0.485
pervert	faʻasoesa	anger	0.485
incest	faʻailoga	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	lē usiusitaʻi	anger	0.485
usurp	usurp	anger	0.485
alienate	ese	anger	0.485
avenger	tagata faʻatau	anger	0.485
annoyed	ita	anger	0.485
cutting	oti	anger	0.485
disgrace	faʻalumaina	anger	0.484
deceit	taufaasese	anger	0.484
suspicious	masalosalo	anger	0.484
thresh	solo	anger	0.484
sucker	sucker	anger	0.484
strained	faʻanoanoa	anger	0.484
blame	tuuaiga	anger	0.484
upheaval	osofaʻiga	anger	0.484
renounce	lafoaʻi	anger	0.484
obnoxious	faʻaleaga	anger	0.484
restrain	taofi	anger	0.484
oust	solo	anger	0.484
litigious	finauga	anger	0.484
rivalry	tauvaga	anger	0.484
penalty	faasalaga	anger	0.484
imprisoned	falepuipui	anger	0.484
mocking	ulagia	anger	0.484
opposed	faatuiese	anger	0.484
turbulence	faʻalavelave	anger	0.483
pound	pauna	anger	0.481
coldness	malulu	anger	0.477
ungrateful	lē faʻafetai	anger	0.472
battalion	fitafita	anger	0.471
stoopid	tuʻu	anger	0.471
hostage	faʻaupu	anger	0.470
infidel	lē talitonu	anger	0.470
ram	mamoe	anger	0.470
accuser	tagata molia	anger	0.470
gall	gall	anger	0.470
subversion	faʻalavelave	anger	0.470
annoying	ita	anger	0.470
adversity	faigata	anger	0.470
dispossessed	lafoaia	anger	0.470
friction	feteenaiga	anger	0.470
jealous	fuā	anger	0.470
feudalism	feeseeseaiga	anger	0.470
armament	auupega	anger	0.470
thump	solo	anger	0.469
complain	faitio	anger	0.469
