word	Spanish-es	emotion	emotion-intensity-score
dumbbitch	NO TRANSLATION	anger	0.841
detest	detestar	anger	0.838
hostilities	hostilidades	anger	0.837
prick	pinchazo	anger	0.835
torture	tortura	anger	0.833
rabid	rabioso	anger	0.833
horrid	horrible	anger	0.833
rampage	alboroto	anger	0.833
cruelty	crueldad	anger	0.833
hate	odio	anger	0.828
demonic	demoníaco	anger	0.828
hating	odiando	anger	0.828
satanic	satánico	anger	0.828
tyrannical	tiránico	anger	0.828
ragemode	modo furia	anger	0.828
despicable	despreciable	anger	0.828
ruinous	ruinoso	anger	0.825
condemn	condenar	anger	0.825
riots	disturbios	anger	0.824
demolish	demoler	anger	0.824
angry	enojado	anger	0.824
extermination	exterminio	anger	0.824
dickhead	gilipollas	anger	0.824
livid	lívido	anger	0.821
madman	loco	anger	0.820
vindictive	vengativo	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocidad	anger	0.818
venomous	venenoso	anger	0.818
threaten	amenazar	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorista	anger	0.818
abhor	aborrecer	anger	0.816
savage	salvaje	anger	0.814
atrocity	atrocidad	anger	0.814
carnage	carnicería	anger	0.814
berserk	enloquecido	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuso	anger	0.812
tyrant	tirano	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	enfadado	anger	0.812
vendetta	vendetta	anger	0.812
fierce	feroz	anger	0.812
destroyer	destructor	anger	0.812
pissesmeoff	me enoja	anger	0.812
fuming	echando humo	anger	0.812
barbaric	bárbaro	anger	0.812
anger	enfado	anger	0.811
pieceofshit	pedazo de mierda	anger	0.810
slam	golpe	anger	0.803
fights	peleas	anger	0.803
punched	perforado	anger	0.803
bitch	perra	anger	0.803
punching	puñetazos	anger	0.803
homicide	homicidio	anger	0.803
destructive	destructivo	anger	0.797
ruthless	implacable	anger	0.797
villainous	villano	anger	0.797
slap	bofetada	anger	0.791
slaughterhouse	matadero	anger	0.788
punishing	agotador	anger	0.788
destroyed	destruido	anger	0.788
retaliatory	vengativo	anger	0.788
riot	alboroto	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	gritante	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabólico	anger	0.788
manslaughter	homicidio involuntario	anger	0.783
clash	choque	anger	0.783
bloody	sangriento	anger	0.781
hellish	infernal	anger	0.781
loath	poco dispuesto	anger	0.781
detonation	detonación	anger	0.781
quarrel	pelea	anger	0.781
sinister	siniestro	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	acusando	anger	0.779
treacherous	traicionero	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	tomar represalias	anger	0.773
revulsion	repugnancia	anger	0.773
madder	rubia	anger	0.773
horrific	horrendo	anger	0.773
scorn	desdén	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarquista	anger	0.765
devastation	devastación	anger	0.765
resent	resentirse de	anger	0.765
firestorm	tormenta de fuego	anger	0.765
contemptible	despreciable	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortal	anger	0.758
smash	aplastar	anger	0.758
rant	despotricar	anger	0.758
outburst	explosión	anger	0.757
snarl	gruñido	anger	0.754
profane	profano	anger	0.750
offend	ofender	anger	0.750
douchebags	douchebags	anger	0.750
growling	gruñir	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaridad	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	loco	anger	0.750
despise	despreciar	anger	0.750
horror	horror	anger	0.750
aggravating	agravante	anger	0.750
revolting	repugnante	anger	0.750
fuckedoff	jodido	anger	0.742
threat	amenaza	anger	0.742
erupt	estallar	anger	0.742
screaming	gritando	anger	0.742
violence	violencia	anger	0.742
horrible	horrible	anger	0.742
molestation	acoso	anger	0.742
bastards	bastardos	anger	0.741
revenge	venganza	anger	0.738
catastrophe	catástrofe	anger	0.735
menacing	amenazador	anger	0.735
demon	demonio	anger	0.735
crushing	aplastante	anger	0.735
damn	Maldita sea	anger	0.735
persecute	perseguir	anger	0.734
argue	discutir	anger	0.734
flog	azotar	anger	0.734
revolt	revuelta	anger	0.734
thrash	movimiento de piernas	anger	0.734
deplore	deplorar	anger	0.734
warfare	guerra	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehemente	anger	0.734
riotous	desenfrenado	anger	0.734
altercation	altercado	anger	0.729
warlike	belicoso	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	motín	anger	0.727
castrate	castrar	anger	0.727
sabotage	sabotaje	anger	0.727
malevolent	malévolo	anger	0.721
strike	Huelga	anger	0.721
disaster	desastre	anger	0.721
disastrous	desastroso	anger	0.720
tumult	tumulto	anger	0.719
madden	enloquecer	anger	0.719
devil	diablo	anger	0.719
scream	gritar	anger	0.719
brutal	brutal	anger	0.719
treachery	traición	anger	0.719
scorching	abrasador	anger	0.719
vermin	alimañas	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	mierda de caballo	anger	0.719
aggravates	agrava	anger	0.719
spiteful	malévolo	anger	0.719
slay	matar	anger	0.719
disdain	desdén	anger	0.719
choke	ahogo	anger	0.719
bastarding	Bastardo	anger	0.719
mangle	mutilar	anger	0.714
anarchism	anarquismo	anger	0.714
mutilation	mutilación	anger	0.714
criminal	criminal	anger	0.714
denunciation	denuncia	anger	0.713
punch	puñetazo	anger	0.713
crucifixion	crucifixión	anger	0.712
virulence	virulencia	anger	0.712
battled	combatido	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocausto	anger	0.712
blasphemous	blasfemo	anger	0.712
hurting	lastimando	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	trastornado	anger	0.706
atrocious	atroz	anger	0.706
evil	mal	anger	0.706
irritated	irritado	anger	0.706
assassin	asesino	anger	0.703
dicks	pollas	anger	0.703
persecution	persecucion	anger	0.703
slayer	asesino	anger	0.703
kidnap	secuestrar	anger	0.703
scolding	regaño	anger	0.703
intimidation	intimidación	anger	0.703
aggravated	agravado	anger	0.703
aggression	agresión	anger	0.702
armed	armado	anger	0.700
poison	veneno	anger	0.697
snarling	gruñendo	anger	0.697
venom	veneno	anger	0.697
battle	batalla	anger	0.697
disgruntled	descontento	anger	0.693
insidious	insidioso	anger	0.691
assailant	agresor	anger	0.691
resentment	resentimiento	anger	0.691
lynch	linchar	anger	0.690
contemptuous	desdeñoso	anger	0.690
temper	templar	anger	0.688
imprisonment	prisión	anger	0.688
disparage	menospreciar	anger	0.688
bully	matón	anger	0.688
terrible	terrible	anger	0.688
lunatic	lunático	anger	0.688
curse	maldición	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	furioso	anger	0.688
domination	dominación	anger	0.688
mad	enojado	anger	0.688
infanticide	infanticidio	anger	0.688
volatility	volatilidad	anger	0.687
eradication	erradicación	anger	0.685
tantrum	berrinche	anger	0.682
devastate	devastar	anger	0.682
eradicate	erradicar	anger	0.682
scoundrel	sinvergüenza	anger	0.682
aggressively	agresivamente	anger	0.680
agitation	agitación	anger	0.680
dictatorship	dictadura	anger	0.676
irritates	irrita	anger	0.676
profanity	blasfemia	anger	0.673
egregious	enorme	anger	0.672
expletive	expletivo	anger	0.672
nasty	asqueroso	anger	0.672
shove	empujón	anger	0.672
shot	Disparo	anger	0.672
harmful	perjudicial	anger	0.672
aggravation	agravación	anger	0.672
contempt	desprecio	anger	0.672
poisonous	venenoso	anger	0.672
dastardly	ruin	anger	0.672
shoot	disparar	anger	0.672
corrupting	corrompiendo	anger	0.672
condemnation	condenación	anger	0.672
wreak	infligir	anger	0.672
crushed	aplastada	anger	0.672
cruelly	con crueldad	anger	0.672
crime	crimen	anger	0.672
maniac	maníaco	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupción	anger	0.667
odious	odioso	anger	0.667
shooting	disparo	anger	0.667
kick	patada	anger	0.667
aggressive	agresivo	anger	0.667
combat	combate	anger	0.667
shout	gritar	anger	0.667
hit	golpear	anger	0.667
fight	lucha	anger	0.667
cutthroat	asesino	anger	0.667
enemy	enemigo	anger	0.667
irritable	irritable	anger	0.667
punished	castigado	anger	0.662
ambush	emboscada	anger	0.661
yell	grito	anger	0.661
harass	acosar	anger	0.659
malignant	maligno	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antecristo	anger	0.656
gore	sangre	anger	0.656
incense	incienso	anger	0.656
expel	expulsar	anger	0.656
destruction	destrucción	anger	0.656
grudge	resentimiento	anger	0.656
cranky	de maniático	anger	0.653
offended	ofendido	anger	0.652
spank	azotar	anger	0.652
growl	gruñido	anger	0.652
insurrection	insurrección	anger	0.652
reprisal	represalia	anger	0.652
slave	esclavo	anger	0.652
denounce	denunciar	anger	0.652
animosity	animosidad	anger	0.652
insulting	insultante	anger	0.652
clashing	chocando	anger	0.652
growls	gruñidos	anger	0.649
executioner	verdugo	anger	0.644
twat	coño	anger	0.644
doomsday	Día del Juicio Final	anger	0.643
daemon	demonio	anger	0.641
obscenity	obscenidad	anger	0.641
bombard	bombardear	anger	0.641
spat	freza	anger	0.641
havoc	estragos	anger	0.641
feud	feudo	anger	0.641
grr	grr	anger	0.641
arson	incendio provocado	anger	0.641
reprimand	reprimenda	anger	0.641
expulsion	expulsión	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	acusado	anger	0.641
indignant	indignado	anger	0.641
shackle	encadenar	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	herida	anger	0.636
suicidal	suicida	anger	0.636
poisoned	envenenado	anger	0.636
batter	masa	anger	0.636
kicking	pateando	anger	0.636
hanging	colgando	anger	0.636
spanking	azotaina	anger	0.636
disgusting	asqueroso	anger	0.636
combatant	combatiente	anger	0.636
frustrated	frustrado	anger	0.636
anarchy	anarquía	anger	0.636
glaring	deslumbrador	anger	0.636
inflict	infligir	anger	0.633
wrecked	destrozado	anger	0.633
grievous	grave	anger	0.632
prosecute	enjuiciar	anger	0.630
agitated	agitado	anger	0.630
cheat	engañar	anger	0.630
swastika	esvástica	anger	0.627
defamatory	difamatorio	anger	0.625
suffocation	asfixia	anger	0.625
strife	lucha	anger	0.625
provocation	provocación	anger	0.625
injure	lesionar	anger	0.625
harassing	acosar	anger	0.625
scourge	azotar	anger	0.625
cursing	maldiciendo	anger	0.625
betray	traicionar	anger	0.625
indict	procesar	anger	0.625
raid	RAID	anger	0.625
thundering	tremendo	anger	0.625
enslaved	esclavizado	anger	0.625
arsehole	gilipollas	anger	0.624
insane	insano	anger	0.621
fiend	demonio	anger	0.621
irritate	irritar	anger	0.621
convict	condenar	anger	0.621
jerk	imbécil	anger	0.621
theft	robo	anger	0.621
retaliation	represalias	anger	0.621
deprivation	privación	anger	0.621
cussed	terco	anger	0.619
turmoil	confusión	anger	0.618
smack	tortazo	anger	0.615
retribution	venganza	anger	0.614
twats	twats	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	rebelión	anger	0.609
injurious	perjudicial	anger	0.609
oppressor	opresor	anger	0.609
slavery	esclavitud	anger	0.609
irritability	irritabilidad	anger	0.609
collision	colisión	anger	0.609
bitterly	amargamente	anger	0.609
gang	pandilla	anger	0.609
antagonism	antagonismo	anger	0.609
battery	batería	anger	0.609
adverse	adverso	anger	0.609
disgraced	deshonrado	anger	0.608
irritating	irritante	anger	0.606
revolution	revolución	anger	0.606
thug	matón	anger	0.606
diatribe	diatriba	anger	0.606
bombardment	bombardeo	anger	0.606
blast	explosión	anger	0.606
irks	irrita	anger	0.606
sickening	nauseabundo	anger	0.606
discrimination	discriminación	anger	0.606
antagonistic	antagonista	anger	0.606
ranting	despotricando	anger	0.606
asshole	Estúpido	anger	0.606
frustrate	frustrar	anger	0.604
manipulation	manipulación	anger	0.603
tension	tensión	anger	0.603
insult	insulto	anger	0.603
bigot	fanático	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	hiriente	anger	0.603
oppression	opresión	anger	0.603
disgust	asco	anger	0.602
spite	despecho	anger	0.600
intrusive	intruso	anger	0.598
harshness	dureza	anger	0.597
slur	calumnia	anger	0.596
wretch	desgraciado	anger	0.594
inferno	infierno	anger	0.594
invasion	invasión	anger	0.594
puncture	punción	anger	0.594
miserable	miserable	anger	0.594
assail	atacar	anger	0.594
storming	asalto	anger	0.594
casualty	víctima	anger	0.594
bitterness	amargura	anger	0.594
morbidity	morbosidad	anger	0.594
tempest	tempestad	anger	0.594
consternation	consternación	anger	0.592
depraved	depravado	anger	0.591
raving	delirante	anger	0.591
guillotine	guillotina	anger	0.591
guilty	culpable	anger	0.591
immoral	inmoral	anger	0.591
forcibly	a la fuerza	anger	0.591
overpowering	abrumador	anger	0.591
accursed	maldito	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrante	anger	0.588
invader	invasor	anger	0.588
scare	susto	anger	0.588
screwed	atornillado	anger	0.588
indignation	indignación	anger	0.587
jealousy	celos	anger	0.587
vexed	enfadado	anger	0.586
confront	confrontar	anger	0.582
brute	bruto	anger	0.581
throttle	acelerador	anger	0.579
wreck	ruina	anger	0.578
revolver	revólver	anger	0.578
slut	puta	anger	0.578
yousuck	eres un inútil	anger	0.578
damage	dañar	anger	0.578
butcher	Carnicero	anger	0.578
conflict	conflicto	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalidad	anger	0.578
bickering	dimes y diretes	anger	0.578
pillage	pillaje	anger	0.578
blaze	resplandor	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	golpe	anger	0.578
contentious	contencioso	anger	0.578
incarceration	encarcelamiento	anger	0.578
defiant	desafiante	anger	0.578
provoking	provocador	anger	0.578
lash	latigazo	anger	0.578
cancer	cáncer	anger	0.577
frustration	frustración	anger	0.576
gory	sangriento	anger	0.576
alienation	alienación	anger	0.576
discord	discordia	anger	0.576
disturbance	disturbio	anger	0.576
grope	ir a tientas	anger	0.576
condescension	condescendencia	anger	0.576
pernicious	pernicioso	anger	0.576
blasphemy	blasfemia	anger	0.576
discriminate	discriminar	anger	0.576
chaotic	caótico	anger	0.576
gun	pistola	anger	0.576
standoff	punto muerto	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	burla	anger	0.574
lunacy	locura	anger	0.574
oppressive	opresivo	anger	0.574
death	muerte	anger	0.574
jab	pinchazo	anger	0.574
cursed	maldito	anger	0.574
scandalous	escandaloso	anger	0.574
monstrosity	monstruosidad	anger	0.574
shit	mierda	anger	0.573
disparaging	despectivo	anger	0.571
slash	barra oblicua	anger	0.571
unfair	injusto	anger	0.571
gallows	horca	anger	0.570
escalate	escalar	anger	0.569
intolerant	intolerante	anger	0.564
lawlessness	desorden	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdición	anger	0.562
taunt	pulla	anger	0.562
grouchy	malhumorado	anger	0.562
torpedo	torpedo	anger	0.562
deceived	engañado	anger	0.562
slander	calumnia	anger	0.562
retards	retardados	anger	0.562
bearish	osuno	anger	0.562
invade	invadir	anger	0.562
bellows	fuelle	anger	0.562
beast	bestia	anger	0.562
frightful	espantoso	anger	0.562
derogatory	despectivo	anger	0.562
glare	deslumbramiento	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	terrible	anger	0.562
traitor	traidor	anger	0.562
malign	maligno	anger	0.562
wrangling	pelea	anger	0.562
dissension	disensión	anger	0.561
banshee	Banshee	anger	0.561
shatter	romper	anger	0.561
conflagration	conflagración	anger	0.561
jeopardize	poner en peligro	anger	0.561
thief	ladrón	anger	0.561
rave	delirio	anger	0.561
grating	rejilla	anger	0.561
devastating	devastador	anger	0.561
idiots	idiotas	anger	0.561
betrayal	traición	anger	0.561
uncontrollable	incontrolable	anger	0.561
fits	encaja	anger	0.561
cross	cruzar	anger	0.561
hurt	herir	anger	0.561
disturbed	perturbado	anger	0.559
subjugation	subyugación	anger	0.559
stomped	pisoteado	anger	0.557
grab	agarrar	anger	0.557
ticked	marcado	anger	0.556
masochism	masoquismo	anger	0.556
grievance	queja	anger	0.556
defiance	desafío	anger	0.552
blackmail	chantaje	anger	0.550
offensive	ofensiva	anger	0.549
decry	desacreditar	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	violación	anger	0.547
punishment	castigo	anger	0.547
shrill	estridente	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	lado oscuro	anger	0.547
misery	miseria	anger	0.547
frustrates	frustra	anger	0.547
disgraceful	vergonzoso	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	despótico	anger	0.547
disparity	disparidad	anger	0.547
confine	confinar	anger	0.547
firearms	armas de fuego	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurdo	anger	0.547
rebel	rebelde	anger	0.547
deceive	engañar	anger	0.547
stolen	robado	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	gilipollas	anger	0.545
heated	calentado	anger	0.545
ruined	arruinado	anger	0.545
menace	amenaza	anger	0.545
humiliate	humillar	anger	0.545
tackle	entrada	anger	0.545
conspirator	conspirador	anger	0.545
foul	falta	anger	0.545
antagonist	antagonista	anger	0.545
resentful	resentido	anger	0.545
prejudice	perjudicar	anger	0.545
adversary	adversario	anger	0.545
argument	argumento	anger	0.545
skirmish	escaramuza	anger	0.545
callous	calloso	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	enredado	anger	0.544
robbery	robo	anger	0.544
sting	picadura	anger	0.544
outcry	grito	anger	0.544
grumble	queja	anger	0.544
irreconcilable	irreconciliable	anger	0.543
resistance	resistencia	anger	0.543
obstructive	obstructivo	anger	0.542
dismay	consternación	anger	0.540
mob	multitud	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	maldad	anger	0.536
ridicule	ridículo	anger	0.534
incendiary	incendiario	anger	0.533
flares	bengalas	anger	0.532
degeneracy	degeneración	anger	0.531
confinement	confinamiento	anger	0.531
exacerbation	exacerbación	anger	0.531
prejudicial	perjudicial	anger	0.531
uprising	levantamiento	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	temerario	anger	0.531
unbridled	desenfrenado	anger	0.531
allegation	alegación	anger	0.531
communism	comunismo	anger	0.531
whip	látigo	anger	0.531
intruder	intruso	anger	0.531
dispute	disputa	anger	0.531
belittle	empequeñecer	anger	0.531
bigoted	fanático	anger	0.530
offender	delincuente	anger	0.530
hassle	molestia	anger	0.530
dissonance	disonancia	anger	0.530
unjust	injusto	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	injustificable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversión	anger	0.530
tackled	abordado	anger	0.530
renegade	renegado	anger	0.529
hot	caliente	anger	0.529
prison	prisión	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	pecado	anger	0.529
suicide	suicidio	anger	0.521
annoy	molestar	anger	0.520
leavemealone	Déjame solo	anger	0.517
idiotic	idiota	anger	0.516
distrust	desconfianza	anger	0.516
depravity	depravación	anger	0.516
cretins	cretinos	anger	0.516
divorce	divorcio	anger	0.516
broil	asar	anger	0.516
grrr	grrr	anger	0.516
venting	desfogue	anger	0.516
inimical	hostil	anger	0.516
duress	coacción	anger	0.516
disrespectful	irrespetuoso	anger	0.516
tortious	tortuoso	anger	0.516
criticize	criticar	anger	0.516
prisoner	prisionero	anger	0.516
dishonest	deshonesto	anger	0.516
treason	traición	anger	0.516
victimized	victimizado	anger	0.515
bile	bilis	anger	0.515
unkind	cruel	anger	0.515
unforgiving	implacable	anger	0.515
unleash	desatraillar	anger	0.515
coercion	coerción	anger	0.515
scold	regaño	anger	0.515
chaos	caos	anger	0.515
grump	Grump	anger	0.515
roar	rugido	anger	0.515
jerks	tirones	anger	0.515
poaching	caza furtiva	anger	0.515
hangry	ahorcado	anger	0.515
pow	pow	anger	0.515
poachers	cazadores furtivos	anger	0.515
argumentation	argumentación	anger	0.515
frustrating	frustrante	anger	0.515
tussle	pelea	anger	0.514
bane	perdición	anger	0.511
accusation	acusación	anger	0.510
repudiation	repudio	anger	0.510
enmity	enemistad	anger	0.510
banish	desterrar	anger	0.509
disfigured	desfigurado	anger	0.508
storm	tormenta	anger	0.507
shun	rehuir	anger	0.500
suppression	supresión	anger	0.500
unruly	revoltoso	anger	0.500
intractable	intratable	anger	0.500
ordeal	ordalías	anger	0.500
obstruct	obstruir	anger	0.500
derogation	humillación	anger	0.500
fervor	fervor	anger	0.500
foaming	espumoso	anger	0.500
derision	burla	anger	0.500
animus	ánimo	anger	0.500
rejects	rechaza	anger	0.500
bout	combate	anger	0.500
spear	lanza	anger	0.500
crazy	loca	anger	0.500
brazen	descarado	anger	0.500
antithesis	antítesis	anger	0.500
injustice	injusticia	anger	0.500
banished	alejado	anger	0.500
confined	confinado	anger	0.500
frenzied	frenético	anger	0.500
dominate	dominar	anger	0.500
disrupting	interrumpiendo	anger	0.500
hammering	martilleo	anger	0.500
fear	miedo	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angustia	anger	0.500
brunt	esfuerzo	anger	0.500
possessed	poseído	anger	0.500
defy	desafiar	anger	0.500
scoff	burla	anger	0.500
patronising	protector	anger	0.500
delusional	delirante	anger	0.500
malpractice	negligencia profesional	anger	0.500
reject	rechazar	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	tenacidad	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	Locura	anger	0.491
sinful	pecaminoso	anger	0.491
avarice	avaricia	anger	0.490
oppress	oprimir	anger	0.490
disapproved	desaprobado	anger	0.485
inhuman	inhumano	anger	0.485
demand	demanda	anger	0.485
abolish	abolir	anger	0.485
anathema	anatema	anger	0.485
fricking	fricking	anger	0.485
complaint	queja	anger	0.485
disservice	deservicio	anger	0.485
smuggler	contrabandista	anger	0.485
revoke	revocar	anger	0.485
infraction	infracción	anger	0.485
claw	garra	anger	0.485
dissident	disidente	anger	0.485
pervert	pervertido	anger	0.485
incest	incesto	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	desobediente	anger	0.485
usurp	usurpar	anger	0.485
alienate	enajenar	anger	0.485
avenger	vengador	anger	0.485
annoyed	irritado	anger	0.485
cutting	corte	anger	0.485
disgrace	desgracia	anger	0.484
deceit	engaño	anger	0.484
suspicious	suspicaz	anger	0.484
thresh	trillar	anger	0.484
sucker	ventosa	anger	0.484
strained	tenso	anger	0.484
blame	culpa	anger	0.484
upheaval	convulsión	anger	0.484
renounce	renuncia	anger	0.484
obnoxious	desagradable	anger	0.484
restrain	contener	anger	0.484
oust	expulsar	anger	0.484
litigious	litigioso	anger	0.484
rivalry	rivalidad	anger	0.484
penalty	pena	anger	0.484
imprisoned	encarcelado	anger	0.484
mocking	burlón	anger	0.484
opposed	opuesto	anger	0.484
turbulence	turbulencia	anger	0.483
pound	libra	anger	0.481
coldness	frialdad	anger	0.477
ungrateful	desagradecido	anger	0.472
battalion	batallón	anger	0.471
stoopid	stoopid	anger	0.471
hostage	rehén	anger	0.470
infidel	infiel	anger	0.470
ram	RAM	anger	0.470
accuser	acusador	anger	0.470
gall	hiel	anger	0.470
subversion	subversión	anger	0.470
annoying	molesto	anger	0.470
adversity	adversidad	anger	0.470
dispossessed	desposeído	anger	0.470
friction	fricción	anger	0.470
jealous	celoso	anger	0.470
feudalism	feudalismo	anger	0.470
armament	armamento	anger	0.470
thump	golpear	anger	0.469
complain	quejar	anger	0.469
incite	incitar	anger	0.469
steal	robar	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	desobedecer	anger	0.469
injury	lesión	anger	0.469
simmer	hervir a fuego lento	anger	0.469
distress	angustia	anger	0.469
insanity	locura	anger	0.469
selfish	egoísta	anger	0.469
huff	rabieta	anger	0.469
selfishness	egoísmo	anger	0.469
backoff	Apártate	anger	0.469
plunder	saquear	anger	0.469
stifled	sofocado	anger	0.469
subversive	subversivo	anger	0.469
exile	exilio	anger	0.469
offense	ofensa	anger	0.469
objection	objeción	anger	0.469
recidivism	reincidencia	anger	0.469
smother	ahogar	anger	0.469
perpetrator	autor	anger	0.469
dislike	disgusto	anger	0.469
disruption	ruptura	anger	0.469
intolerance	intolerancia	anger	0.469
opposition	oposición	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	jarra	anger	0.467
agony	agonía	anger	0.465
arrogant	arrogante	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	respiradero	anger	0.456
elimination	eliminación	anger	0.456
picketing	piquetes	anger	0.456
haughty	arrogante	anger	0.456
troublesome	molesto	anger	0.455
clamor	clamor	anger	0.455
busted	reventado	anger	0.455
constraint	restricción	anger	0.455
crabby	osco	anger	0.455
veto	veto	anger	0.455
stubbed	aplastado	anger	0.455
mislead	engañar	anger	0.455
