word	Tagalog (Filipino)-tl	emotion	emotion-intensity-score
terrorism	terorismo	anger	0.851
beating	matalo	anger	0.849
desecration	pagpapahiya	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kabangisan	anger	0.848
stab	stab	anger	0.844
slaughter	pagpatay	anger	0.844
violent	marahas	anger	0.844
destroying	pagsira	anger	0.844
abomination	pagkasuklam	anger	0.844
tumultuous	magulo	anger	0.844
irate	irate	anger	0.844
infuriate	napahiya	anger	0.844
obliterate	mapawi	anger	0.843
belligerent	palaaway	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	pagkasindak	anger	0.838
hostilities	labanan	anger	0.837
prick	tipak	anger	0.835
torture	labis na pagpapahirap	anger	0.833
rabid	masugid	anger	0.833
horrid	nakatatakot	anger	0.833
rampage	magalit nang labis	anger	0.833
cruelty	kalupitan	anger	0.833
hate	galit	anger	0.828
demonic	demonyo	anger	0.828
hating	hating	anger	0.828
satanic	sataniko	anger	0.828
tyrannical	malupit	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	kasuklam-suklam	anger	0.828
ruinous	mapangwasak	anger	0.825
condemn	humatol	anger	0.825
riots	kaguluhan	anger	0.824
demolish	buwagin	anger	0.824
angry	galit	anger	0.824
extermination	pagputol	anger	0.824
dickhead	dickhead	anger	0.824
livid	masama	anger	0.821
madman	baliw	anger	0.820
vindictive	mapaghiganti	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	kabangisan	anger	0.818
venomous	makamandag	anger	0.818
threaten	nagbabanta	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	pagkapoot	anger	0.816
savage	mabagsik	anger	0.814
atrocity	kasamaan	anger	0.814
carnage	pagpatay	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuso	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	naiinis	anger	0.812
vendetta	paghihiwalay	anger	0.812
fierce	mabangis	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbariko	anger	0.812
anger	galit	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	mga laban	anger	0.803
punched	punched	anger	0.803
bitch	asong babae	anger	0.803
punching	pagsuntok	anger	0.803
homicide	pagpatay ng tao	anger	0.803
destructive	nakasisira	anger	0.797
ruthless	walang awa	anger	0.797
villainous	malaswa	anger	0.797
slap	sampal	anger	0.791
slaughterhouse	bahay-katayan	anger	0.788
punishing	pagsisisi	anger	0.788
destroyed	nawasak	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	kaguluhan	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diyosiko	anger	0.788
manslaughter	pagpatay ng tao	anger	0.783
clash	labanan	anger	0.783
bloody	duguan	anger	0.781
hellish	hellish	anger	0.781
loath	kalupitan	anger	0.781
detonation	pagputok	anger	0.781
quarrel	makipag-away	anger	0.781
sinister	masama	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akusasyon	anger	0.779
treacherous	mapandaya	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	gumanti	anger	0.773
revulsion	pag-alis	anger	0.773
madder	madder	anger	0.773
horrific	nakakatakot	anger	0.773
scorn	uyam	anger	0.769
deplorable	malungkot	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchist	anger	0.765
devastation	pagkasira	anger	0.765
resent	magalit	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	napakasama	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	malupit	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	nakamamatay	anger	0.758
smash	basagin	anger	0.758
rant	sumigaw	anger	0.758
outburst	pagsabog	anger	0.757
snarl	snarl	anger	0.754
profane	malupit	anger	0.750
offend	saktan	anger	0.750
douchebags	douchebags	anger	0.750
growling	ungol	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kabastusan	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	ulol	anger	0.750
despise	hamakin	anger	0.750
horror	katakutan	anger	0.750
aggravating	nagpapalubha	anger	0.750
revolting	paninirang-puri	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	pagbabanta	anger	0.742
erupt	sumabog	anger	0.742
screaming	magaralgal	anger	0.742
violence	karahasan	anger	0.742
horrible	kakila-kilabot	anger	0.742
molestation	pag-abuso	anger	0.742
bastards	bastards	anger	0.741
revenge	paghihiganti	anger	0.738
catastrophe	sakuna	anger	0.735
menacing	menacing	anger	0.735
demon	demonyo	anger	0.735
crushing	pagdurog	anger	0.735
damn	sumpain	anger	0.735
persecute	pag-usigin	anger	0.734
argue	magtaltalan	anger	0.734
flog	pagwasak	anger	0.734
revolt	pag-aalsa	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	digma	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	pagkasindak	anger	0.734
riotous	magulo	anger	0.734
altercation	altercation	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	pag-alis	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotahe	anger	0.727
malevolent	malevolent	anger	0.721
strike	welga	anger	0.721
disaster	kalamidad	anger	0.721
disastrous	nakapipinsala	anger	0.720
tumult	kaguluhan	anger	0.719
madden	madden	anger	0.719
devil	diyablo	anger	0.719
scream	mapahiyaw	anger	0.719
brutal	brutal	anger	0.719
treachery	pagtataksil	anger	0.719
scorching	scorching	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	nagpapalubha	anger	0.719
spiteful	mapang-api	anger	0.719
slay	patayin	anger	0.719
disdain	paghamak	anger	0.719
choke	mabulunan	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkismo	anger	0.714
mutilation	pinsala	anger	0.714
criminal	kriminal	anger	0.714
denunciation	pagbigkas	anger	0.713
punch	sumuntok	anger	0.713
crucifixion	pagpapako sa krus	anger	0.712
virulence	pagkawasak	anger	0.712
battled	nakipaglaban	anger	0.712
fatal	nakamamatay	anger	0.712
holocaust	Holocaust	anger	0.712
blasphemous	lapastangan sa diyos	anger	0.712
hurting	nasasaktan	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	masama	anger	0.706
irritated	nagagalit	anger	0.706
assassin	mamamatay-tao	anger	0.703
dicks	dicks	anger	0.703
persecution	pag-uusig	anger	0.703
slayer	mamamatay-tao	anger	0.703
kidnap	kidnap	anger	0.703
scolding	pagbasura	anger	0.703
intimidation	pananakot	anger	0.703
aggravated	pinalubha	anger	0.703
aggression	pagsalakay	anger	0.702
armed	armadong	anger	0.700
poison	lason	anger	0.697
snarling	snarling	anger	0.697
venom	kamandag	anger	0.697
battle	labanan	anger	0.697
disgruntled	hindi nasisiyahan	anger	0.693
insidious	mapanira	anger	0.691
assailant	sumasalakay	anger	0.691
resentment	sama ng loob	anger	0.691
lynch	lynch	anger	0.690
contemptuous	mapanlait	anger	0.690
temper	kainitan	anger	0.688
imprisonment	pagkabilanggo	anger	0.688
disparage	pagdumhan	anger	0.688
bully	mapang-api	anger	0.688
terrible	kakila-kilabot	anger	0.688
lunatic	lunatic	anger	0.688
curse	sumpa	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	nananakot	anger	0.688
domination	dominasyon	anger	0.688
mad	galit	anger	0.688
infanticide	pagpapasuso	anger	0.688
volatility	pagkasumpungin	anger	0.687
eradication	pagwasak	anger	0.685
tantrum	pagmumukha	anger	0.682
devastate	nagwawasak	anger	0.682
eradicate	pawiin	anger	0.682
scoundrel	pandaraya	anger	0.682
aggressively	agresibo	anger	0.680
agitation	alitan	anger	0.680
dictatorship	diktadura	anger	0.676
irritates	nagagalit	anger	0.676
profanity	kalapastanganan	anger	0.673
egregious	kapansin-pansin	anger	0.672
expletive	sumasalamin	anger	0.672
nasty	pangit	anger	0.672
shove	tulak	anger	0.672
shot	pagbaril	anger	0.672
harmful	mapanganib	anger	0.672
aggravation	aggravation	anger	0.672
contempt	paghamak	anger	0.672
poisonous	makamandag	anger	0.672
dastardly	parang tuso	anger	0.672
shoot	shoot	anger	0.672
corrupting	corrupting	anger	0.672
condemnation	paghatol	anger	0.672
wreak	wreak	anger	0.672
crushed	durog	anger	0.672
cruelly	malupit	anger	0.672
crime	krimen	anger	0.672
maniac	baliw	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	pagsabog	anger	0.667
odious	kasuklam-suklam	anger	0.667
shooting	pagbaril	anger	0.667
kick	sipa	anger	0.667
aggressive	agresibo	anger	0.667
combat	labanan	anger	0.667
shout	sumigaw	anger	0.667
hit	pindutin	anger	0.667
fight	labanan	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	kaaway	anger	0.667
irritable	magagalit	anger	0.667
punished	pinarusahan	anger	0.662
ambush	ambus	anger	0.661
yell	sumigaw	anger	0.661
harass	panggigipit	anger	0.659
malignant	malignant	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	antikristo	anger	0.656
gore	gore	anger	0.656
incense	insenso	anger	0.656
expel	paalisin	anger	0.656
destruction	pagkawasak	anger	0.656
grudge	sama ng loob	anger	0.656
cranky	mainit ang ulo	anger	0.653
offended	nasaktan	anger	0.652
spank	pumutok	anger	0.652
growl	umungol	anger	0.652
insurrection	insureksyon	anger	0.652
reprisal	paghihiganti	anger	0.652
slave	alipin	anger	0.652
denounce	tuligsain	anger	0.652
animosity	kalupitan	anger	0.652
insulting	mapanlinlang	anger	0.652
clashing	clashing	anger	0.652
growls	lumalaki	anger	0.649
executioner	tagapagpatupad	anger	0.644
twat	twat	anger	0.644
doomsday	katapusan ng mundo	anger	0.643
daemon	demonyo	anger	0.641
obscenity	kalaswaan	anger	0.641
bombard	bombard	anger	0.641
spat	maglatag	anger	0.641
havoc	havoc	anger	0.641
feud	matinding away	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	reprimand	anger	0.641
expulsion	pagpapaalis	anger	0.641
inexcusable	hindi mapapansin	anger	0.641
accused	inakusahan	anger	0.641
indignant	nagagalit	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	sugat	anger	0.636
suicidal	pagpapakamatay	anger	0.636
poisoned	poisoned	anger	0.636
batter	humampas	anger	0.636
kicking	kicking	anger	0.636
hanging	nakabitin	anger	0.636
spanking	naglalakad	anger	0.636
disgusting	nakasusuklam	anger	0.636
combatant	labanan	anger	0.636
frustrated	bigo	anger	0.636
anarchy	anarkiya	anger	0.636
glaring	maliwanag	anger	0.636
inflict	pahirapan	anger	0.633
wrecked	nagwasak	anger	0.633
grievous	masakit	anger	0.632
prosecute	usigin	anger	0.630
agitated	nabalisa	anger	0.630
cheat	impostor	anger	0.630
swastika	swastika	anger	0.627
defamatory	mapanirang-puri	anger	0.625
suffocation	suffocation	anger	0.625
strife	alitan	anger	0.625
provocation	kagalit-galit	anger	0.625
injure	sugpuin	anger	0.625
harassing	panliligalig	anger	0.625
scourge	hampas	anger	0.625
cursing	pagmumura	anger	0.625
betray	ipagkanulo	anger	0.625
indict	indict	anger	0.625
raid	pagsalakay	anger	0.625
thundering	dumadagundong	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	arsehole	anger	0.624
insane	masiraan ng loob	anger	0.621
fiend	fiend	anger	0.621
irritate	magalit	anger	0.621
convict	preso	anger	0.621
jerk	haltak	anger	0.621
theft	pagnanakaw	anger	0.621
retaliation	paghihiganti	anger	0.621
deprivation	pag-agaw	anger	0.621
cussed	cussed	anger	0.619
turmoil	kaguluhan	anger	0.618
smack	matunog na halik	anger	0.615
retribution	retribution	anger	0.614
twats	mga twat	anger	0.609
intolerable	matatagalan	anger	0.609
rebellion	paghihimagsik	anger	0.609
injurious	nakapipinsala	anger	0.609
oppressor	mamimighati	anger	0.609
slavery	pang-aalipin	anger	0.609
irritability	pagkamayamutin	anger	0.609
collision	banggaan	anger	0.609
bitterly	nang masakit	anger	0.609
gang	gang	anger	0.609
antagonism	antagonismo	anger	0.609
battery	baterya	anger	0.609
adverse	salungat	anger	0.609
disgraced	napahiya	anger	0.608
irritating	nanggagalit	anger	0.606
revolution	rebolusyon	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	panganganyon	anger	0.606
blast	sabog	anger	0.606
irks	irks	anger	0.606
sickening	nakakasakit	anger	0.606
discrimination	diskriminasyon	anger	0.606
antagonistic	mapangahas	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	biguin	anger	0.604
manipulation	pagpapatakbo	anger	0.603
tension	pag-igting	anger	0.603
insult	insulto	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	nakasasakit	anger	0.603
oppression	pang-aapi	anger	0.603
disgust	pagkasuya	anger	0.602
spite	kulob	anger	0.600
intrusive	mapanghimasok	anger	0.598
harshness	kalupitan	anger	0.597
slur	slur	anger	0.596
wretch	huwad	anger	0.594
inferno	impyerno	anger	0.594
invasion	pagsalakay	anger	0.594
puncture	mabutas	anger	0.594
miserable	miserable	anger	0.594
assail	pagsalakay	anger	0.594
storming	sumasalakay	anger	0.594
casualty	nasawi	anger	0.594
bitterness	kapaitan	anger	0.594
morbidity	morbidity	anger	0.594
tempest	bagyo	anger	0.594
consternation	katahimikan	anger	0.592
depraved	malupit	anger	0.591
raving	nagsisisigaw	anger	0.591
guillotine	guillotine	anger	0.591
guilty	nagkasala	anger	0.591
immoral	imoral	anger	0.591
forcibly	sapilitang	anger	0.591
overpowering	nagpapasuko	anger	0.591
accursed	isinumpa	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	nagtatanggol	anger	0.588
invader	mananalakay	anger	0.588
scare	takot	anger	0.588
screwed	screwed	anger	0.588
indignation	pagkagalit	anger	0.587
jealousy	paninibugho	anger	0.587
vexed	nakakainis	anger	0.586
confront	harapin	anger	0.582
brute	brute	anger	0.581
throttle	balbula	anger	0.579
wreck	mabagsik	anger	0.578
revolver	rebolber	anger	0.578
slut	kalapating mababa ang lipad	anger	0.578
yousuck	yousuck	anger	0.578
damage	pinsala	anger	0.578
butcher	Butcher	anger	0.578
conflict	salungatan	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	krimen	anger	0.578
bickering	nakikipagtalo	anger	0.578
pillage	pagnanakaw	anger	0.578
blaze	magliyab	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kudeta	anger	0.578
contentious	mapamintas	anger	0.578
incarceration	pagkakabilanggo	anger	0.578
defiant	mapanghimagsik	anger	0.578
provoking	kagalit-galit	anger	0.578
lash	lash	anger	0.578
cancer	kanser	anger	0.577
frustration	pagkabigo	anger	0.576
gory	madugo	anger	0.576
alienation	alienation	anger	0.576
discord	pagkakasalungatan	anger	0.576
disturbance	gulo	anger	0.576
grope	hapuhap	anger	0.576
condescension	pagpapakababa	anger	0.576
pernicious	nakapipinsala	anger	0.576
blasphemy	kalapastangan sa diyos	anger	0.576
discriminate	mag-discriminate	anger	0.576
chaotic	may gulo	anger	0.576
gun	baril	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	kalokohan	anger	0.574
oppressive	mapang-api	anger	0.574
death	kamatayan	anger	0.574
jab	jab	anger	0.574
cursed	sinumpa	anger	0.574
scandalous	nakakahiya	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	pagdaramdam	anger	0.571
slash	slash	anger	0.571
unfair	hindi makatarungan	anger	0.571
gallows	bitayan	anger	0.570
escalate	lumakas	anger	0.569
intolerant	hindi nagpapahintulot	anger	0.564
lawlessness	kawalan ng batas	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kapahamakan	anger	0.562
taunt	pag-uyam	anger	0.562
grouchy	galit	anger	0.562
torpedo	torpedo	anger	0.562
deceived	nalinlang	anger	0.562
slander	paninirang-puri	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	sumalakay	anger	0.562
bellows	bubuyog	anger	0.562
beast	hayop	anger	0.562
frightful	nakakatakot	anger	0.562
derogatory	derogatory	anger	0.562
glare	matinding liwanag	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	kakila-kilabot	anger	0.562
traitor	traidor	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	pagtatalo	anger	0.561
banshee	banshee	anger	0.561
shatter	basagin	anger	0.561
conflagration	sunog	anger	0.561
jeopardize	malubha	anger	0.561
thief	magnanakaw	anger	0.561
rave	magmagaling	anger	0.561
grating	parilya	anger	0.561
devastating	nagwawasak	anger	0.561
idiots	idiots	anger	0.561
betrayal	pagkakanulo	anger	0.561
uncontrollable	hindi mapigilan	anger	0.561
fits	Tama ang sukat	anger	0.561
cross	krus	anger	0.561
hurt	nasaktan	anger	0.561
disturbed	nabalisa	anger	0.559
subjugation	pagsupil	anger	0.559
stomped	stomped	anger	0.557
grab	grab	anger	0.557
ticked	ticked	anger	0.556
masochism	masokismo	anger	0.556
grievance	karaingan	anger	0.556
defiance	pagsuway	anger	0.552
blackmail	blackmail	anger	0.550
offensive	nakakasakit	anger	0.549
decry	mag-decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	paglabag	anger	0.547
punishment	parusa	anger	0.547
shrill	matunaw	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	paghihirap	anger	0.547
frustrates	nagwawasak	anger	0.547
disgraceful	kahiya-hiya	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	napakalaki	anger	0.547
disparity	pagkakaiba	anger	0.547
confine	ikulong	anger	0.547
firearms	mga baril	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	hindi kanais-nais	anger	0.547
rebel	maghimagsik	anger	0.547
deceive	linlangin	anger	0.547
stolen	ninakaw	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	pinainit	anger	0.545
ruined	wasak	anger	0.545
menace	banta	anger	0.545
humiliate	manghiya	anger	0.545
tackle	harapin	anger	0.545
conspirator	kumander	anger	0.545
foul	napakarumi	anger	0.545
antagonist	antagonist	anger	0.545
resentful	nagagalit	anger	0.545
prejudice	pagtatangi	anger	0.545
adversary	kalaban	anger	0.545
argument	argumento	anger	0.545
skirmish	makipaglaban	anger	0.545
callous	walang kapintasan	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	gusot	anger	0.544
robbery	pagnanakaw	anger	0.544
sting	sumakit ang damdamin	anger	0.544
outcry	sumigaw	anger	0.544
grumble	Magreklamo	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	paglaban	anger	0.543
obstructive	nakahahadlang	anger	0.542
dismay	pagkabalisa	anger	0.540
mob	nagkakagulong mga tao	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	kasamaan	anger	0.536
ridicule	panlilibak	anger	0.534
incendiary	sumusunog	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	pagkabilanggo	anger	0.531
exacerbation	pagpapalabas	anger	0.531
prejudicial	mapanghamak	anger	0.531
uprising	pag-aalsa	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	walang ingat	anger	0.531
unbridled	walang pigil	anger	0.531
allegation	paratang	anger	0.531
communism	komunismo	anger	0.531
whip	mamalo	anger	0.531
intruder	nanghihimasok	anger	0.531
dispute	alitan	anger	0.531
belittle	lumiit	anger	0.531
bigoted	bigoted	anger	0.530
offender	nagkasala	anger	0.530
hassle	abala	anger	0.530
dissonance	disonance	anger	0.530
unjust	hindi makatarungan	anger	0.530
dictatorial	diktatoryal	anger	0.530
unjustifiable	hindi makatwiran	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	kabuktutan	anger	0.530
tackled	tackled	anger	0.530
renegade	taksil	anger	0.529
hot	mainit	anger	0.529
prison	bilangguan	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	pagkakasala	anger	0.529
suicide	pagpapakamatay	anger	0.521
annoy	inisin	anger	0.520
leavemealone	iwanan mo akong mag-isa	anger	0.517
idiotic	idiotic	anger	0.516
distrust	kawalan ng tiwala	anger	0.516
depravity	kasamaan	anger	0.516
cretins	cretins	anger	0.516
divorce	diborsyo	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	mabangis	anger	0.516
duress	pagpighati	anger	0.516
disrespectful	walang galang	anger	0.516
tortious	tortious	anger	0.516
criticize	pumuna	anger	0.516
prisoner	bilanggo	anger	0.516
dishonest	hindi tapat	anger	0.516
treason	pagtataksil	anger	0.516
victimized	biktima	anger	0.515
bile	apdo	anger	0.515
unkind	hindi mabait	anger	0.515
unforgiving	hindi nagpapatawad	anger	0.515
unleash	ipamalas	anger	0.515
coercion	pamimilit	anger	0.515
scold	pagalitan	anger	0.515
chaos	kaguluhan	anger	0.515
grump	lumayo	anger	0.515
roar	umungal	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	magbitiw	anger	0.515
pow	pow	anger	0.515
poachers	mga poachers	anger	0.515
argumentation	argumento	anger	0.515
frustrating	nakakabigo	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	akusasyon	anger	0.510
repudiation	pagtatakwil	anger	0.510
enmity	pagkapoot	anger	0.510
banish	palayasin	anger	0.509
disfigured	napakarumi	anger	0.508
storm	bagyo	anger	0.507
shun	iwasan	anger	0.500
suppression	pagpigil	anger	0.500
unruly	malupit	anger	0.500
intractable	hindi mapapansin	anger	0.500
ordeal	mahigpit na pagsubok	anger	0.500
obstruct	humadlang	anger	0.500
derogation	derogation	anger	0.500
fervor	lakas ng loob	anger	0.500
foaming	foaming	anger	0.500
derision	panunuya	anger	0.500
animus	animus	anger	0.500
rejects	tumatanggi	anger	0.500
bout	labanan	anger	0.500
spear	sibat	anger	0.500
crazy	mabaliw	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	kawalan ng katarungan	anger	0.500
banished	banished	anger	0.500
confined	nakakulong	anger	0.500
frenzied	ulol	anger	0.500
dominate	dominahin	anger	0.500
disrupting	nakakasagabal	anger	0.500
hammering	pagmamartilyo	anger	0.500
fear	takot	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ang pagdadalamhati	anger	0.500
brunt	malungkot	anger	0.500
possessed	may nagmamay ari	anger	0.500
defy	lumaban	anger	0.500
scoff	panunuya	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	tanggihan	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kayamutan	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	kabaliwan	anger	0.491
sinful	makasalanan	anger	0.491
avarice	katakut-takot	anger	0.490
oppress	mapanghimagsik	anger	0.490
disapproved	hindi naaprubahan	anger	0.485
inhuman	hindi makatao	anger	0.485
demand	demand	anger	0.485
abolish	buwagin	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	reklamo	anger	0.485
disservice	kapahamakan	anger	0.485
smuggler	smuggler	anger	0.485
revoke	bawiin	anger	0.485
infraction	pagsuway	anger	0.485
claw	kuko	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	masuwayin	anger	0.485
usurp	usurp	anger	0.485
alienate	alienate	anger	0.485
avenger	tagapaghiganti	anger	0.485
annoyed	Nayayamot	anger	0.485
cutting	pagputol	anger	0.485
disgrace	kahihiyan	anger	0.484
deceit	panlilinlang	anger	0.484
suspicious	kahina-hinala	anger	0.484
thresh	thresh	anger	0.484
sucker	pasusuhin	anger	0.484
strained	pilit	anger	0.484
blame	sisihin	anger	0.484
upheaval	kaguluhan	anger	0.484
renounce	talikuran	anger	0.484
obnoxious	kasuklam-suklam	anger	0.484
restrain	pigilan	anger	0.484
oust	patalsikin	anger	0.484
litigious	litigious	anger	0.484
rivalry	tunggalian	anger	0.484
penalty	parusa	anger	0.484
imprisoned	nabilanggo	anger	0.484
mocking	mapanukso	anger	0.484
opposed	taliwas	anger	0.484
turbulence	kaguluhan	anger	0.483
pound	pound	anger	0.481
coldness	lamig	anger	0.477
ungrateful	walang utang na loob	anger	0.472
battalion	batalyon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	prenda	anger	0.470
infidel	hindi mananampalataya	anger	0.470
ram	ram	anger	0.470
accuser	akusador	anger	0.470
gall	apdo	anger	0.470
subversion	pagbabagsak	anger	0.470
annoying	nakakainis	anger	0.470
