word	Urdu-ur	emotion	emotion-intensity-score
bloodshed	خون کا خون	anger	0.864
smite	مسکراؤ	anger	0.862
brawl	جھگڑا	anger	0.861
assault	حملہ	anger	0.859
malicious	بدقسمتی سے	anger	0.859
strangle	اجنبی	anger	0.859
tirade	ٹائر	anger	0.859
explode	دھماکے	anger	0.859
assassination	قتل	anger	0.859
hostility	دشمنیت	anger	0.859
loathsome	غریب	anger	0.857
hell	جہنم	anger	0.853
murderous	قاتل	anger	0.853
attack	حملہ	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	دہشت گردی	anger	0.851
beating	دھواں	anger	0.849
desecration	بیداری	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	نفرت	anger	0.848
stab	پکڑو	anger	0.844
slaughter	ذبح	anger	0.844
violent	پرتشدد	anger	0.844
destroying	تباہ	anger	0.844
abomination	نفرت	anger	0.844
tumultuous	بدمعاش	anger	0.844
irate	بدقسمتی	anger	0.844
infuriate	بے حد	anger	0.844
obliterate	چھٹکارا	anger	0.843
belligerent	گھنٹی	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	جاننا	anger	0.838
hostilities	جنگجوؤں	anger	0.837
prick	پرن	anger	0.835
torture	تشدد	anger	0.833
rabid	خرگوش	anger	0.833
horrid	افسوس	anger	0.833
rampage	ہراساں کرنا	anger	0.833
cruelty	ظلم	anger	0.833
hate	سے نفرت	anger	0.828
demonic	شیطان	anger	0.828
hating	نفرت	anger	0.828
satanic	مصنوعی	anger	0.828
tyrannical	ظالم	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	ناجائز	anger	0.828
ruinous	برباد	anger	0.825
condemn	مذمت	anger	0.825
riots	فسادات	anger	0.824
demolish	تباہی	anger	0.824
angry	ناراض	anger	0.824
extermination	ختم کرنا	anger	0.824
dickhead	dickhead	anger	0.824
livid	لذت	anger	0.821
madman	پاگل	anger	0.820
vindictive	بدمعاش	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	فکری	anger	0.818
venomous	زہریلا	anger	0.818
threaten	خطرہ	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	دہشت گرد	anger	0.818
abhor	ابھر	anger	0.816
savage	وحی	anger	0.814
atrocity	ظلم	anger	0.814
carnage	قتل عام	anger	0.814
berserk	نڈر	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	بدسلوکی	anger	0.812
tyrant	ظالم	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	انتقام	anger	0.812
fierce	سختی	anger	0.812
destroyer	تباہی	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	دھندلا	anger	0.812
barbaric	جراثیم	anger	0.812
anger	غصہ	anger	0.811
pieceofshit	ٹکڑا	anger	0.810
slam	سلیم	anger	0.803
fights	لڑائی	anger	0.803
punched	چھٹکارا	anger	0.803
bitch	کتیا	anger	0.803
punching	چھدرن	anger	0.803
homicide	قتل	anger	0.803
destructive	تباہ کن	anger	0.797
ruthless	بے رحم	anger	0.797
villainous	ھلنایک	anger	0.797
slap	تپپڑ	anger	0.791
slaughterhouse	ذبح ہاؤس	anger	0.788
punishing	سزا دے	anger	0.788
destroyed	تباہ ہوگیا	anger	0.788
retaliatory	جوابیاتی	anger	0.788
riot	فسادات	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	چلانا	anger	0.788
growthefuckup	بڑھاو	anger	0.788
diabolical	شیطان	anger	0.788
manslaughter	ہنسی	anger	0.783
clash	تصادم	anger	0.783
bloody	خونی	anger	0.781
hellish	ہیلو	anger	0.781
loath	ڈھیلے	anger	0.781
detonation	دھماکہ	anger	0.781
quarrel	جھگڑا	anger	0.781
sinister	اشوب	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	الزام لگایا	anger	0.779
treacherous	غدار	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	جواب دیں	anger	0.773
revulsion	تنقید	anger	0.773
madder	پاگل	anger	0.773
horrific	خوفناک	anger	0.773
scorn	خوفناک	anger	0.769
deplorable	لاجواب	anger	0.766
bomb	بم	anger	0.766
anarchist	انتشار	anger	0.765
devastation	تباہی	anger	0.765
resent	نفرت	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	احتیاط سے	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ظالمانہ	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	مہلک	anger	0.758
smash	دھواں	anger	0.758
rant	خرگوش	anger	0.758
outburst	دھواں	anger	0.757
snarl	سنوار	anger	0.754
profane	پروفیشنل	anger	0.750
offend	بدبختی	anger	0.750
douchebags	douchebags	anger	0.750
growling	بڑھتی ہوئی	anger	0.750
stfu	سٹو	anger	0.750
vulgarity	فحش	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	پاگل	anger	0.750
despise	نفرت	anger	0.750
horror	ہارر	anger	0.750
aggravating	بڑھتی ہوئی	anger	0.750
revolting	بغاوت	anger	0.750
fuckedoff	آخر	anger	0.742
threat	خطرہ	anger	0.742
erupt	erupt	anger	0.742
screaming	چلنا	anger	0.742
violence	تشدد	anger	0.742
horrible	خوفناک	anger	0.742
molestation	جھٹکا	anger	0.742
bastards	کمانڈر	anger	0.741
revenge	انتقام	anger	0.738
catastrophe	تباہی	anger	0.735
menacing	Menacing	anger	0.735
demon	راکشس	anger	0.735
crushing	کرشنگ	anger	0.735
damn	لامحدود	anger	0.735
persecute	پریشان	anger	0.734
argue	بحث کریں	anger	0.734
flog	جھگڑا	anger	0.734
revolt	بغاوت	anger	0.734
thrash	پھینکنا	anger	0.734
deplore	ڈیلپلور	anger	0.734
warfare	جنگ	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	گھبراہٹ	anger	0.734
riotous	دباؤ	anger	0.734
altercation	تبدیلی	anger	0.729
warlike	جنگلی	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	متنوع	anger	0.727
castrate	castrate	anger	0.727
sabotage	تخریب	anger	0.727
malevolent	ناپسندی	anger	0.721
strike	ہڑتال	anger	0.721
disaster	مصیبت	anger	0.721
disastrous	تباہ کن	anger	0.720
tumult	غصہ	anger	0.719
madden	Madden	anger	0.719
devil	شیطان	anger	0.719
scream	چیخ	anger	0.719
brutal	ظالمانہ	anger	0.719
treachery	غداری	anger	0.719
scorching	گندا	anger	0.719
vermin	ورمین	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	گھوڑےشٹ	anger	0.719
aggravates	اجنبی	anger	0.719
spiteful	شدید	anger	0.719
slay	مارا	anger	0.719
disdain	نفرت	anger	0.719
choke	گلا گھونٹنا	anger	0.719
bastarding	خرابی	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	انتشار	anger	0.714
mutilation	تخروپن	anger	0.714
criminal	مجرمانہ	anger	0.714
denunciation	انکار	anger	0.713
punch	پنچ	anger	0.713
crucifixion	مصیبت	anger	0.712
virulence	بیماری	anger	0.712
battled	لڑائی	anger	0.712
fatal	مہلک	anger	0.712
holocaust	ہالوکاسٹ	anger	0.712
blasphemous	کفر	anger	0.712
hurting	تکلیف دہ	anger	0.712
dumbasses	گوبھی	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	خراب ہو گیا	anger	0.706
atrocious	زبردست	anger	0.706
evil	برائی	anger	0.706
irritated	جلدی	anger	0.706
assassin	قاتل	anger	0.703
dicks	کاک	anger	0.703
persecution	پریشانی	anger	0.703
slayer	خونی	anger	0.703
kidnap	اغوا	anger	0.703
scolding	ڈراپ	anger	0.703
intimidation	دھمکی	anger	0.703
aggravated	بڑھ کر	anger	0.703
aggression	جارحیت	anger	0.702
armed	مسلح	anger	0.700
poison	زہر	anger	0.697
snarling	سنوار	anger	0.697
venom	زہریلا	anger	0.697
battle	جنگ	anger	0.697
disgruntled	ہراساں کرنا	anger	0.693
insidious	اندیشہ	anger	0.691
assailant	حملہ آور	anger	0.691
resentment	استحصال	anger	0.691
lynch	لنچ	anger	0.690
contemptuous	بے شک	anger	0.690
temper	مزاج	anger	0.688
imprisonment	قید	anger	0.688
disparage	تفاوت	anger	0.688
bully	بدمعاش	anger	0.688
terrible	خوفناک	anger	0.688
lunatic	پاگل	anger	0.688
curse	لعنت	anger	0.688
makesmemad	ہماڈیم	anger	0.688
peeved	ساتھی	anger	0.688
domination	تسلسل	anger	0.688
mad	پاگل	anger	0.688
infanticide	بچے بازی	anger	0.688
volatility	اتار چڑھاؤ	anger	0.687
eradication	خاتمے کا خاتمہ	anger	0.685
tantrum	ٹنٹرم	anger	0.682
devastate	تباہ کن	anger	0.682
eradicate	ختم کرنا	anger	0.682
scoundrel	گراؤنڈ	anger	0.682
aggressively	جارحانہ طور پر	anger	0.680
agitation	تحریک	anger	0.680
dictatorship	آمریت	anger	0.676
irritates	پریشان	anger	0.676
profanity	پروفیشنل	anger	0.673
egregious	زبردست	anger	0.672
expletive	غیر معمولی	anger	0.672
nasty	گندی	anger	0.672
shove	چلو	anger	0.672
shot	گولی مار دی	anger	0.672
harmful	نقصان دہ	anger	0.672
aggravation	افادیت	anger	0.672
contempt	نفرت	anger	0.672
poisonous	زہریلا	anger	0.672
dastardly	بدقسمتی سے	anger	0.672
shoot	گولی مار	anger	0.672
corrupting	خرابی	anger	0.672
condemnation	مذمت	anger	0.672
wreak	چوک	anger	0.672
crushed	کچلنے	anger	0.672
cruelly	ظالمانہ	anger	0.672
crime	جرم	anger	0.672
maniac	پاگل	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	تباہی	anger	0.667
odious	عجیب	anger	0.667
shooting	شوٹنگ	anger	0.667
kick	کک	anger	0.667
aggressive	جارحانہ	anger	0.667
combat	لڑائی	anger	0.667
shout	چلو	anger	0.667
hit	مارا	anger	0.667
fight	لڑنا	anger	0.667
cutthroat	حلق کاٹنا	anger	0.667
enemy	دشمن	anger	0.667
irritable	جلدی	anger	0.667
punished	سزا دی	anger	0.662
ambush	گھات لگا کر حملہ	anger	0.661
yell	ہاں	anger	0.661
harass	ہراساں کرنا	anger	0.659
malignant	غریب	anger	0.656
aggressor	جارحانہ	anger	0.656
antichrist	اینٹی مسیح	anger	0.656
gore	گورا	anger	0.656
incense	بخار	anger	0.656
expel	بے دخل	anger	0.656
destruction	تباہی	anger	0.656
grudge	حوصلہ افزائی	anger	0.656
cranky	کرینکی	anger	0.653
offended	ناراض	anger	0.652
spank	سپانک	anger	0.652
growl	زراعت	anger	0.652
insurrection	بغاوت	anger	0.652
reprisal	جواب	anger	0.652
slave	غلام	anger	0.652
denounce	انکار	anger	0.652
animosity	حرکت پذیری	anger	0.652
insulting	بے عزتی	anger	0.652
clashing	تصادم	anger	0.652
growls	growls	anger	0.649
executioner	اعدام	anger	0.644
twat	twat	anger	0.644
doomsday	قیامت کا دن	anger	0.643
daemon	ڈیمون	anger	0.641
obscenity	غیر جانبدار	anger	0.641
bombard	بمبار	anger	0.641
spat	توڑنا	anger	0.641
havoc	تباہی	anger	0.641
feud	غصہ	anger	0.641
grr	گرے	anger	0.641
arson	چکن	anger	0.641
reprimand	چمتکار	anger	0.641
expulsion	اخراج	anger	0.641
inexcusable	ناقابل یقین	anger	0.641
accused	الزام لگایا	anger	0.641
indignant	بدنام	anger	0.641
shackle	ہڑتال	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	زخم	anger	0.636
suicidal	خودکش	anger	0.636
poisoned	زہریلا	anger	0.636
batter	بیٹریاں	anger	0.636
kicking	چاٹنا	anger	0.636
hanging	پھانسی	anger	0.636
spanking	تیز	anger	0.636
disgusting	نفرت	anger	0.636
combatant	جنگجو	anger	0.636
frustrated	مایوس	anger	0.636
anarchy	انتشار	anger	0.636
glaring	چمکنا	anger	0.636
inflict	مبتلا	anger	0.633
wrecked	خراب ہوگیا	anger	0.633
grievous	پریشانی	anger	0.632
prosecute	پراسیکیوٹ	anger	0.630
agitated	متحرک	anger	0.630
cheat	دھوکہ دہی	anger	0.630
swastika	سوسٹیکا	anger	0.627
defamatory	افتتاحی	anger	0.625
suffocation	گراؤنڈ	anger	0.625
strife	کشیدگی	anger	0.625
provocation	تنقید	anger	0.625
injure	زخمی	anger	0.625
harassing	ہراساں کرنا	anger	0.625
scourge	سکور	anger	0.625
cursing	لعنت	anger	0.625
betray	دھوکہ / فشنگ	anger	0.625
indict	الزام	anger	0.625
raid	چھاپے	anger	0.625
thundering	پھول	anger	0.625
enslaved	غلامی	anger	0.625
arsehole	arsehole	anger	0.624
insane	پاگل	anger	0.621
fiend	فخر	anger	0.621
irritate	جلدی کرو	anger	0.621
convict	سزا	anger	0.621
jerk	جھٹکا	anger	0.621
theft	چوری	anger	0.621
retaliation	جوابی کارروائی	anger	0.621
deprivation	محروم	anger	0.621
cussed	cussed	anger	0.619
turmoil	خرابی	anger	0.618
smack	مسکراہٹ	anger	0.615
retribution	سزا	anger	0.614
twats	twats	anger	0.609
intolerable	ناقابل یقین	anger	0.609
rebellion	بغاوت	anger	0.609
injurious	زخمی	anger	0.609
oppressor	ظلم	anger	0.609
slavery	غلامی	anger	0.609
irritability	جلدی	anger	0.609
collision	تصادم	anger	0.609
bitterly	سختی سے	anger	0.609
gang	گروہ	anger	0.609
antagonism	دشمنی	anger	0.609
battery	بیٹری	anger	0.609
adverse	منفی	anger	0.609
disgraced	بدبختی	anger	0.608
irritating	پریشان	anger	0.606
revolution	انقلاب	anger	0.606
thug	ٹھگ	anger	0.606
diatribe	ڈائری	anger	0.606
bombardment	بمبار	anger	0.606
blast	دھماکے	anger	0.606
irks	irks	anger	0.606
sickening	بیمار	anger	0.606
discrimination	امتیازی سلوک	anger	0.606
antagonistic	متضاد	anger	0.606
ranting	جھٹکا	anger	0.606
asshole	گدی	anger	0.606
frustrate	افسوس	anger	0.604
manipulation	ہراساں کرنا	anger	0.603
tension	کشیدگی	anger	0.603
insult	بدنام	anger	0.603
bigot	بڑا	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	نقصان دہ	anger	0.603
oppression	جبر	anger	0.603
disgust	نفرت	anger	0.602
spite	کے باوجود	anger	0.600
intrusive	اندرونی	anger	0.598
harshness	سختی	anger	0.597
slur	سوراخ	anger	0.596
wretch	برائی	anger	0.594
inferno	جہنم	anger	0.594
invasion	حملے	anger	0.594
puncture	پنچر	anger	0.594
miserable	بدقسمتی	anger	0.594
assail	حملہ	anger	0.594
storming	طوفان	anger	0.594
casualty	زخمی	anger	0.594
bitterness	تھوڑا سا	anger	0.594
morbidity	مریض	anger	0.594
tempest	tempest	anger	0.594
consternation	اعتراف	anger	0.592
depraved	خراب	anger	0.591
raving	بڑھ رہا ہے	anger	0.591
guillotine	گلیٹن	anger	0.591
guilty	مجرم	anger	0.591
immoral	غیر اخلاقی	anger	0.591
forcibly	زبردستی	anger	0.591
overpowering	زیادہ طاقتور	anger	0.591
accursed	لعنت	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	واپسی	anger	0.588
invader	حملہ آور	anger	0.588
scare	ڈراونا	anger	0.588
screwed	خراب	anger	0.588
indignation	ناممکن	anger	0.587
jealousy	حسد	anger	0.587
vexed	خطرناک	anger	0.586
confront	سامنا کرنا پڑتا ہے	anger	0.582
brute	برتن	anger	0.581
throttle	دباؤ	anger	0.579
wreck	چوٹی	anger	0.578
revolver	ریوولور	anger	0.578
slut	slut	anger	0.578
yousuck	تم بڑے فضول ہوں	anger	0.578
damage	نقصان	anger	0.578
butcher	کسائ	anger	0.578
conflict	تنازعات	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	جرمانہ	anger	0.578
bickering	بکرنے والا	anger	0.578
pillage	تکلیف	anger	0.578
blaze	بلیز	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	بغاوت	anger	0.578
contentious	متضاد	anger	0.578
incarceration	بغاوت	anger	0.578
defiant	عیب دار	anger	0.578
provoking	ثابت کرنا	anger	0.578
lash	لشکر	anger	0.578
cancer	کینسر	anger	0.577
frustration	مایوسی	anger	0.576
gory	گوری	anger	0.576
alienation	اجنبی	anger	0.576
discord	متفق	anger	0.576
disturbance	مصیبت	anger	0.576
grope	گروپ	anger	0.576
condescension	تعصب	anger	0.576
pernicious	پریشانی	anger	0.576
blasphemy	کفر	anger	0.576
discriminate	امتیاز	anger	0.576
chaotic	افراتفری	anger	0.576
gun	بندوق	anger	0.576
standoff	موقف	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	ناراضگی	anger	0.574
lunacy	لالچ	anger	0.574
oppressive	ظالمانہ	anger	0.574
death	موت	anger	0.574
jab	جاب	anger	0.574
cursed	لعنت	anger	0.574
scandalous	بدنام	anger	0.574
monstrosity	بھوک	anger	0.574
shit	گندگی	anger	0.573
disparaging	متفق	anger	0.571
slash	سلیش	anger	0.571
unfair	غیر منصفانہ	anger	0.571
gallows	گاڑیاں	anger	0.570
escalate	بڑھ	anger	0.569
intolerant	غیر جانبدار	anger	0.564
lawlessness	لاقانونی	anger	0.563
bluddy	اچانک	anger	0.562
perdition	دریافت	anger	0.562
taunt	طنز	anger	0.562
grouchy	پریشانی	anger	0.562
torpedo	ٹریپیڈو	anger	0.562
deceived	دھوکہ دہی	anger	0.562
slander	بدمعاش	anger	0.562
retards	ریٹارڈ	anger	0.562
bearish	برداشت	anger	0.562
invade	حملہ	anger	0.562
bellows	گھنٹی	anger	0.562
beast	جانور	anger	0.562
frightful	خوفناک	anger	0.562
derogatory	ناجائز	anger	0.562
glare	چکاچوند	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	خوفناک	anger	0.562
traitor	غدار	anger	0.562
malign	غلط ہے	anger	0.562
wrangling	مسکراہٹ	anger	0.562
dissension	تناؤ	anger	0.561
banshee	بانسھی	anger	0.561
shatter	توڑنا	anger	0.561
conflagration	الجھن	anger	0.561
jeopardize	خطرہ	anger	0.561
thief	چور	anger	0.561
rave	بڑھانا	anger	0.561
grating	جھٹکا	anger	0.561
devastating	تباہ کن	anger	0.561
idiots	بیوقوف	anger	0.561
betrayal	دھوکہ	anger	0.561
uncontrollable	بے شمار	anger	0.561
fits	فٹ بیٹھتا ہے	anger	0.561
cross	کراس	anger	0.561
hurt	زخمی	anger	0.561
disturbed	پریشان	anger	0.559
subjugation	اپنانے	anger	0.559
stomped	stomped	anger	0.557
grab	پکڑو	anger	0.557
ticked	چاٹ لیا	anger	0.556
masochism	ماسکوزم	anger	0.556
grievance	شکایت	anger	0.556
defiance	دفاعی	anger	0.552
blackmail	بلیک میل	anger	0.550
offensive	جارحانہ	anger	0.549
decry	فیصلہ	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	خلاف ورزی	anger	0.547
punishment	سزا	anger	0.547
shrill	شریر	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	تاریک پہلو	anger	0.547
misery	مصیبت	anger	0.547
frustrates	افسوس	anger	0.547
disgraceful	شرمناک	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	پریشان	anger	0.547
disparity	تفاوت	anger	0.547
confine	محدود	anger	0.547
firearms	آتشبازی	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	پہلے سے ہی	anger	0.547
rebel	بغاوت	anger	0.547
deceive	دھوکہ دہی	anger	0.547
stolen	چوری	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	وینکر	anger	0.545
heated	گرم	anger	0.545
ruined	برباد	anger	0.545
menace	دماغ	anger	0.545
humiliate	ذلت آمیز	anger	0.545
tackle	سے نمٹنے	anger	0.545
conspirator	سازش	anger	0.545
foul	گندے	anger	0.545
antagonist	مخالفین	anger	0.545
resentful	خوشگوار	anger	0.545
prejudice	تعصب	anger	0.545
adversary	مخالف	anger	0.545
argument	دلیل	anger	0.545
skirmish	جھگڑا	anger	0.545
callous	کالا	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	الجھن	anger	0.544
robbery	ڈکیتی	anger	0.544
sting	ڈنک	anger	0.544
outcry	چللاہٹ	anger	0.544
grumble	بنبنانا	anger	0.544
irreconcilable	ناقابل یقین حد تک	anger	0.543
resistance	مزاحمت	anger	0.543
obstructive	رکاوٹ	anger	0.542
dismay	ڈراپ	anger	0.540
mob	موک	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	بدی	anger	0.536
ridicule	مذاق	anger	0.534
incendiary	جلدی	anger	0.533
flares	مشعل	anger	0.532
degeneracy	اپنسیسی	anger	0.531
confinement	قید	anger	0.531
exacerbation	زراعت	anger	0.531
prejudicial	ابتدائی	anger	0.531
uprising	بغاوت	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	بے باک	anger	0.531
unbridled	اڑایا	anger	0.531
allegation	الزام	anger	0.531
communism	اشتراکیت	anger	0.531
whip	کوڑا	anger	0.531
intruder	انٹرویو	anger	0.531
dispute	تنازعہ	anger	0.531
belittle	belittle	anger	0.531
bigoted	بڑا	anger	0.530
offender	مجرم	anger	0.530
hassle	پریشانی	anger	0.530
dissonance	ناپسندی	anger	0.530
unjust	ظالم	anger	0.530
dictatorial	آمریت	anger	0.530
unjustifiable	ناقابل قبول	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	پرورش	anger	0.530
tackled	سے نمٹنے	anger	0.530
renegade	رینجڈ	anger	0.529
hot	گرم	anger	0.529
prison	جیل	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	تسلسل	anger	0.529
suicide	خودکش حملہ	anger	0.521
annoy	پریشان	anger	0.520
leavemealone	مجھے اکیلا چھوڑ دو	anger	0.517
idiotic	بیوکوف	anger	0.516
distrust	بے اعتمادی	anger	0.516
depravity	دریافت	anger	0.516
cretins	تخلیق	anger	0.516
divorce	طلاق	anger	0.516
broil	برویل	anger	0.516
grrr	grrr	anger	0.516
venting	وینچرنگ	anger	0.516
inimical	اندرونی	anger	0.516
duress	پختہ	anger	0.516
disrespectful	ناپسندیدہ	anger	0.516
tortious	مظلوم	anger	0.516
criticize	تنقید	anger	0.516
prisoner	قیدی	anger	0.516
dishonest	بے شک	anger	0.516
treason	غداری	anger	0.516
victimized	مظلوم	anger	0.515
bile	ٹائل	anger	0.515
unkind	بدقسمتی	anger	0.515
unforgiving	معافی نہیں	anger	0.515
unleash	اٹھانے	anger	0.515
coercion	جبر	anger	0.515
scold	ڈانٹنا	anger	0.515
chaos	افراتفری	anger	0.515
grump	گرپ	anger	0.515
roar	راؤنڈ	anger	0.515
jerks	جیکس	anger	0.515
poaching	غصہ	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	پاؤ	anger	0.515
poachers	خطرناک	anger	0.515
argumentation	دلیل	anger	0.515
frustrating	مایوسی	anger	0.515
tussle	tussle	anger	0.514
bane	بینی	anger	0.511
accusation	الزام	anger	0.510
repudiation	ردعمل	anger	0.510
enmity	دشمنی	anger	0.510
banish	بنانا	anger	0.509
disfigured	بے نقاب	anger	0.508
storm	طوفان	anger	0.507
shun	جھگڑا	anger	0.500
suppression	دباو	anger	0.500
unruly	ناقابل یقین	anger	0.500
intractable	کشش	anger	0.500
ordeal	نظریات	anger	0.500
obstruct	رکاوٹ	anger	0.500
derogation	وجوہات	anger	0.500
fervor	شوق	anger	0.500
foaming	فومنگ	anger	0.500
derision	نقطہ نظر	anger	0.500
animus	حرکت پذیری	anger	0.500
rejects	رد کر دیتا ہے	anger	0.500
bout	مککیبازی	anger	0.500
spear	سپیئر	anger	0.500
crazy	پاگل	anger	0.500
brazen	برین	anger	0.500
antithesis	عنصر	anger	0.500
injustice	نا انصافی	anger	0.500
banished	منقطع	anger	0.500
confined	محدود	anger	0.500
frenzied	منجمد	anger	0.500
dominate	غلبہ	anger	0.500
disrupting	رکاوٹ	anger	0.500
hammering	حیران کن	anger	0.500
fear	خوف کرو	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	پریشانی	anger	0.500
brunt	برنٹ	anger	0.500
possessed	ہے	anger	0.500
defy	دفاع کرنا	anger	0.500
scoff	غلطی	anger	0.500
patronising	محافظ	anger	0.500
delusional	خوشگوار	anger	0.500
malpractice	کشش	anger	0.500
reject	رد کرنا	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	سختی	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	پاگل پن	anger	0.491
sinful	گنہگار	anger	0.491
avarice	avarice	anger	0.490
oppress	ظلم	anger	0.490
disapproved	ناپسندی	anger	0.485
inhuman	غیر انسانی	anger	0.485
demand	مطالبہ	anger	0.485
abolish	ختم	anger	0.485
anathema	عنہا	anger	0.485
fricking	فریب	anger	0.485
complaint	شکایت	anger	0.485
disservice	متفق	anger	0.485
smuggler	قاچاق	anger	0.485
revoke	منسوخ کریں	anger	0.485
infraction	انفیکشن	anger	0.485
claw	پنڈ	anger	0.485
dissident	مخالفت	anger	0.485
pervert	خراب	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	نافرمانی	anger	0.485
usurp	استعمال اطلاع دیں	anger	0.485
alienate	الگ الگ	anger	0.485
avenger	ایوارڈ	anger	0.485
annoyed	پریشان کن	anger	0.485
cutting	کاٹنے	anger	0.485
disgrace	ذلت	anger	0.484
deceit	دھوکہ / فشنگ	anger	0.484
suspicious	مشکوک	anger	0.484
thresh	دباؤ	anger	0.484
sucker	sucker	anger	0.484
strained	کشیدگی	anger	0.484
blame	الزام	anger	0.484
upheaval	پریشان	anger	0.484
renounce	رجوع کریں	anger	0.484
obnoxious	بدمعاش	anger	0.484
restrain	روکنا	anger	0.484
oust	باہر	anger	0.484
litigious	ماتحت	anger	0.484
rivalry	رقص	anger	0.484
penalty	جرمانہ	anger	0.484
