word	Hausa-ha	emotion	emotion-intensity-score
spanking	spanking	anger	0.636
disgusting	abin banƙyama	anger	0.636
combatant	makamai	anger	0.636
frustrated	takaici	anger	0.636
anarchy	anarchy	anger	0.636
glaring	haske	anger	0.636
inflict	ciwo	anger	0.633
wrecked	wrecked	anger	0.633
grievous	m	anger	0.632
prosecute	gabatar da kara	anger	0.630
agitated	girgiza	anger	0.630
cheat	yaudara	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	isasshe	anger	0.625
strife	jayayya	anger	0.625
provocation	fushi	anger	0.625
injure	cuta	anger	0.625
harassing	hargitsi	anger	0.625
scourge	annoba	anger	0.625
cursing	la'ana	anger	0.625
betray	cin amana	anger	0.625
indict	zargi	anger	0.625
raid	hari	anger	0.625
thundering	girgiza	anger	0.625
enslaved	bautar	anger	0.625
arsehole	arsehole	anger	0.624
insane	mahaukaci	anger	0.621
fiend	fiend	anger	0.621
irritate	fushi	anger	0.621
convict	mai laifin	anger	0.621
jerk	jerk	anger	0.621
theft	sata	anger	0.621
retaliation	jinkai	anger	0.621
deprivation	ɓata	anger	0.621
cussed	cussed	anger	0.619
turmoil	tashin hankali	anger	0.618
smack	smack	anger	0.615
retribution	azaba	anger	0.614
twats	twats	anger	0.609
intolerable	m	anger	0.609
rebellion	tawaye	anger	0.609
injurious	m	anger	0.609
oppressor	azzalumai	anger	0.609
slavery	bautar	anger	0.609
irritability	irritability	anger	0.609
collision	karo	anger	0.609
bitterly	m	anger	0.609
gang	ƙungiyoyi	anger	0.609
antagonism	antagonism	anger	0.609
battery	baturi	anger	0.609
adverse	m	anger	0.609
disgraced	abin kunya	anger	0.608
irritating	irritating	anger	0.606
revolution	juyin juya halin	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	fashewa	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	nuna bambanci	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	takaici	anger	0.604
manipulation	magudi	anger	0.603
tension	tashin hankali	anger	0.603
insult	barazana	anger	0.603
bigot	babbanot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	m	anger	0.603
oppression	zalunci	anger	0.603
disgust	ƙyama	anger	0.602
spite	Duk da haka	anger	0.600
intrusive	intrusive	anger	0.598
harshness	mummunan hali	anger	0.597
slur	slur	anger	0.596
wretch	mugunta	anger	0.594
inferno	damuwa	anger	0.594
invasion	mamayewa	anger	0.594
puncture	fashewa	anger	0.594
miserable	baƙin ciki	anger	0.594
assail	hari	anger	0.594
storming	hadari	anger	0.594
casualty	lalacewa	anger	0.594
bitterness	haushi	anger	0.594
morbidity	ciwo	anger	0.594
tempest	hadari	anger	0.594
consternation	consternation	anger	0.592
depraved	ɓata	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	laifi	anger	0.591
immoral	lalata	anger	0.591
forcibly	tilas	anger	0.591
overpowering	overpowering	anger	0.591
accursed	la'ananne	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	mamaye	anger	0.588
scare	tsorata	anger	0.588
screwed	shafe	anger	0.588
indignation	fushi	anger	0.587
jealousy	kishi	anger	0.587
vexed	zalunci	anger	0.586
confront	fuskantar	anger	0.582
brute	m	anger	0.581
throttle	gira	anger	0.579
wreck	fashe	anger	0.578
revolver	revolver	anger	0.578
slut	barci	anger	0.578
yousuck	yousky	anger	0.578
damage	lalacewa	anger	0.578
butcher	buƙata	anger	0.578
conflict	rikici	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	laifi	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	ƙona wuta	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	juyin mulki	anger	0.578
contentious	rikici	anger	0.578
incarceration	kisa	anger	0.578
defiant	defiant	anger	0.578
provoking	tsokana	anger	0.578
lash	lash	anger	0.578
cancer	ciwon daji	anger	0.577
frustration	takaici	anger	0.576
gory	gory	anger	0.576
alienation	fitarwa	anger	0.576
discord	rikici	anger	0.576
disturbance	tashin hankali	anger	0.576
grope	Girma	anger	0.576
condescension	karfin zuciya	anger	0.576
pernicious	lalata	anger	0.576
blasphemy	sabo	anger	0.576
discriminate	nuna bambanci	anger	0.576
chaotic	m	anger	0.576
gun	bindiga	anger	0.576
standoff	tashi tsaye	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	zalunci	anger	0.574
death	mutuwa	anger	0.574
jab	jab	anger	0.574
cursed	la'ane	anger	0.574
scandalous	abin kunya	anger	0.574
monstrosity	hauka	anger	0.574
shit	shit	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	rashin adalci	anger	0.571
gallows	galan	anger	0.570
escalate	girma	anger	0.569
intolerant	m	anger	0.564
lawlessness	mugunta	anger	0.563
bluddy	bluddy	anger	0.562
perdition	halaka	anger	0.562
taunt	ba'a	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	yaudara	anger	0.562
slander	ƙiren ƙarya	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	mamaye	anger	0.562
bellows	gurbin	anger	0.562
beast	dabba	anger	0.562
frightful	tsoro	anger	0.562
derogatory	derogatory	anger	0.562
glare	haske	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	tsoro	anger	0.562
traitor	satar	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	rikici	anger	0.561
banshee	banshee	anger	0.561
shatter	raguwa	anger	0.561
conflagration	rikici	anger	0.561
jeopardize	jeopardize	anger	0.561
thief	barawo	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	yanci	anger	0.561
idiots	idiots	anger	0.561
betrayal	cin amana	anger	0.561
uncontrollable	wanda ba a iya lura da shi ba	anger	0.561
fits	daidai	anger	0.561
cross	giciye	anger	0.561
hurt	ciwo	anger	0.561
disturbed	damuwa	anger	0.559
subjugation	subjugation	anger	0.559
stomped	gurgunta	anger	0.557
grab	kamawa	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	damuwa	anger	0.556
defiance	rikici	anger	0.552
blackmail	baƙaƙe	anger	0.550
offensive	m	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	cin zarafi	anger	0.547
punishment	azãba	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	wahala	anger	0.547
frustrates	frustrates	anger	0.547
disgraceful	abin kunya	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	bace	anger	0.547
confine	tsare	anger	0.547
firearms	bindigogi	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	'yan tawayen	anger	0.547
deceive	yaudara	anger	0.547
stolen	sata	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	mai tsanani	anger	0.545
ruined	lalata	anger	0.545
menace	barazana	anger	0.545
humiliate	ƙasƙanci	anger	0.545
tackle	magance	anger	0.545
conspirator	conspirator	anger	0.545
foul	m	anger	0.545
antagonist	antagonist	anger	0.545
resentful	fushi	anger	0.545
prejudice	ƙiyayya	anger	0.545
adversary	abokin gaba	anger	0.545
argument	hujja	anger	0.545
skirmish	skirmish	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	abin da ya shafi	anger	0.544
robbery	fashi	anger	0.544
sting	yan wasa	anger	0.544
outcry	crycry	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	wanda ba a iya daidaitawa ba	anger	0.543
resistance	juriya	anger	0.543
obstructive	ƙyama	anger	0.542
dismay	damuwa	anger	0.540
mob	yan zanga-zanga	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	mugunta	anger	0.536
ridicule	ba'a	anger	0.534
incendiary	ficewa	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	kwance	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	m	anger	0.531
uprising	tashin hankali	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	m	anger	0.531
unbridled	unbridled	anger	0.531
allegation	zargin	anger	0.531
communism	kwaminisanci	anger	0.531
whip	bulala	anger	0.531
intruder	intruder	anger	0.531
dispute	jayayya	anger	0.531
belittle	belittle	anger	0.531
bigoted	babba	anger	0.530
offender	laifi	anger	0.530
hassle	damuwa	anger	0.530
dissonance	dissonance	anger	0.530
unjust	azzalumai	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	rashin amincewa	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	rushewa	anger	0.530
tackled	tackled	anger	0.530
renegade	m	anger	0.529
hot	zafi	anger	0.529
prison	kurkuku	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	laifi	anger	0.529
suicide	kashe kansa	anger	0.521
annoy	fushi	anger	0.520
leavemealone	Ku bar ni	anger	0.517
idiotic	idiotic	anger	0.516
distrust	rashin amana	anger	0.516
depravity	lalata	anger	0.516
cretins	cretins	anger	0.516
divorce	saki	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	kwance	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	rashin girmamawa	anger	0.516
tortious	mai tsanani	anger	0.516
criticize	zargi	anger	0.516
prisoner	fursuna	anger	0.516
dishonest	rashin gaskiya	anger	0.516
treason	cin amana	anger	0.516
victimized	cin zarafi	anger	0.515
bile	bile	anger	0.515
unkind	rashin tausayi	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	yardar	anger	0.515
coercion	kisa	anger	0.515
scold	tsawatawa	anger	0.515
chaos	hargitsi	anger	0.515
grump	gumi	anger	0.515
roar	ruri	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	rataye	anger	0.515
pow	pow	anger	0.515
poachers	makiyaya	anger	0.515
argumentation	jayayya	anger	0.515
frustrating	frustrating	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	zargi	anger	0.510
repudiation	sabani	anger	0.510
enmity	ƙiyayya	anger	0.510
banish	banish	anger	0.509
disfigured	disfigured	anger	0.508
storm	hadari	anger	0.507
shun	kaucewa	anger	0.500
suppression	kawarwa	anger	0.500
unruly	rikici	anger	0.500
intractable	bazawa	anger	0.500
ordeal	damuwa	anger	0.500
obstruct	hana shi	anger	0.500
derogation	sasantawa	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	ya ƙaryata	anger	0.500
bout	bugun	anger	0.500
spear	mashi	anger	0.500
crazy	mahaukaci	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	rashin adalci	anger	0.500
banished	an dakatar	anger	0.500
confined	tsare	anger	0.500
frenzied	frenzied	anger	0.500
dominate	mamaye	anger	0.500
disrupting	rushewa	anger	0.500
hammering	hammering	anger	0.500
fear	tsoro	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	baƙin ciki	anger	0.500
brunt	brunt	anger	0.500
possessed	mallaki	anger	0.500
defy	defy	anger	0.500
scoff	ba'a	anger	0.500
patronising	patronizing	anger	0.500
delusional	yaudara	anger	0.500
malpractice	malpractice	anger	0.500
reject	karyata	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	rashin ƙarfi	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	hauka	anger	0.491
sinful	zunubi	anger	0.491
avarice	avarice	anger	0.490
oppress	zalunci	anger	0.490
disapproved	ƙi amincewa	anger	0.485
inhuman	m	anger	0.485
demand	bukatar	anger	0.485
abolish	soke	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	ƙarar	anger	0.485
disservice	rikici	anger	0.485
smuggler	smuggler	anger	0.485
revoke	soke	anger	0.485
infraction	ƙetare	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	karkata	anger	0.485
incest	haɗi	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	marasa biyayya	anger	0.485
usurp	usurp	anger	0.485
alienate	ba da izini ba	anger	0.485
avenger	mai ɗaukar fansa	anger	0.485
annoyed	fushi	anger	0.485
cutting	yankan	anger	0.485
disgrace	wulakanci	anger	0.484
deceit	yaudara	anger	0.484
suspicious	m	anger	0.484
thresh	thresh	anger	0.484
sucker	sucker	anger	0.484
strained	rauni	anger	0.484
blame	zargi	anger	0.484
upheaval	rikicewa	anger	0.484
renounce	barranta	anger	0.484
obnoxious	mummuna	anger	0.484
restrain	dakatarwa	anger	0.484
oust	oust	anger	0.484
litigious	littafi	anger	0.484
rivalry	cin nasara	anger	0.484
penalty	azãba	anger	0.484
imprisoned	kurkuku	anger	0.484
mocking	dariya	anger	0.484
opposed	tsayayya	anger	0.484
turbulence	turbulence	anger	0.483
pound	laban	anger	0.481
coldness	sanyi	anger	0.477
ungrateful	mãsu gõdiya	anger	0.472
battalion	Battalion	anger	0.471
stoopid	m	anger	0.471
hostage	garkuwa	anger	0.470
infidel	kafiri	anger	0.470
ram	rago	anger	0.470
accuser	mai zargi	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	m	anger	0.470
adversity	wahala	anger	0.470
dispossessed	an fitar	anger	0.470
friction	friction	anger	0.470
jealous	kishi	anger	0.470
feudalism	feudalism	anger	0.470
armament	armament	anger	0.470
thump	tsutsa	anger	0.469
complain	koka	anger	0.469
incite	jawo	anger	0.469
steal	sata	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	rashin biyayya	anger	0.469
injury	rauni	anger	0.469
simmer	simmer	anger	0.469
distress	wahala	anger	0.469
insanity	rashin ƙarfi	anger	0.469
selfish	son kai	anger	0.469
huff	huff	anger	0.469
selfishness	son kai	anger	0.469
backoff	backoff	anger	0.469
plunder	ganimar	anger	0.469
stifled	stifled	anger	0.469
subversive	rushewa	anger	0.469
exile	gudun hijira	anger	0.469
offense	laifi	anger	0.469
objection	ƙin yarda	anger	0.469
recidivism	rikitarwa	anger	0.469
smother	ƙusar	anger	0.469
perpetrator	farfadowa	anger	0.469
dislike	ƙiyayya	anger	0.469
disruption	rushewa	anger	0.469
intolerance	rashin haƙuri	anger	0.469
opposition	'yan adawa	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mug	anger	0.467
agony	azaba	anger	0.465
arrogant	girman kai	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	iska	anger	0.456
elimination	kawarwa	anger	0.456
picketing	kaya	anger	0.456
haughty	girman kai	anger	0.456
troublesome	damuwa	anger	0.455
clamor	clamor	anger	0.455
busted	bushe	anger	0.455
constraint	ƙuntatawa	anger	0.455
crabby	crabby	anger	0.455
veto	veto	anger	0.455
