word	Pashto-ps	emotion	emotion-intensity-score
horseshit	horseshit	anger	0.719
aggravates	اجنډا	anger	0.719
spiteful	سپړنه	anger	0.719
slay	وژنه	anger	0.719
disdain	ناڅاپه	anger	0.719
choke	غلا	anger	0.719
bastarding	بښنه	anger	0.719
mangle	منګل	anger	0.714
anarchism	انارزمیزم	anger	0.714
mutilation	تنفس کول	anger	0.714
criminal	جنایی	anger	0.714
denunciation	غصب	anger	0.713
punch	پنچ	anger	0.713
crucifixion	مصرف	anger	0.712
virulence	ویروس	anger	0.712
battled	جګړه پیل شوه	anger	0.712
fatal	وژنه	anger	0.712
holocaust	هالوکوست	anger	0.712
blasphemous	کفر	anger	0.712
hurting	ژوبل	anger	0.712
dumbasses	ګونګۍ	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	له منځه وړي	anger	0.706
atrocious	ظالمانه	anger	0.706
evil	بد	anger	0.706
irritated	ژړل	anger	0.706
assassin	وژنه	anger	0.703
dicks	ټوپک	anger	0.703
persecution	ځورونې	anger	0.703
slayer	لرې	anger	0.703
kidnap	تښتول	anger	0.703
scolding	ټوټه کول	anger	0.703
intimidation	ډار	anger	0.703
aggravated	زړور شوی	anger	0.703
aggression	يرغل	anger	0.702
armed	وسله وال	anger	0.700
poison	زهر	anger	0.697
snarling	سپک کول	anger	0.697
venom	venom	anger	0.697
battle	جګړه	anger	0.697
disgruntled	ناخوښه	anger	0.693
insidious	اندیښمن	anger	0.691
assailant	حمله کونکي	anger	0.691
resentment	تاوان	anger	0.691
lynch	لینچ	anger	0.690
contemptuous	بښنه	anger	0.690
temper	تشناب	anger	0.688
imprisonment	حبس	anger	0.688
disparage	توپیر	anger	0.688
bully	ځورونه	anger	0.688
terrible	ناوړه	anger	0.688
lunatic	لونټیک	anger	0.688
curse	لعنت	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	جوړې شوې	anger	0.688
domination	تسلط	anger	0.688
mad	ګرانه	anger	0.688
infanticide	د ماشومانو وژنه	anger	0.688
volatility	بې ثباتۍ	anger	0.687
eradication	له منځه وړل	anger	0.685
tantrum	نیت	anger	0.682
devastate	ویجاړونکی	anger	0.682
eradicate	له منځه وړل	anger	0.682
scoundrel	ګوتو	anger	0.682
aggressively	په چټکۍ سره	anger	0.680
agitation	حرکت	anger	0.680
dictatorship	ديکتاتوري	anger	0.676
irritates	تیریږي	anger	0.676
profanity	ګناه	anger	0.673
egregious	متفاوت	anger	0.672
expletive	ناڅاپه	anger	0.672
nasty	چټل	anger	0.672
shove	ګوښه کړئ	anger	0.672
shot	ډزې وکړې	anger	0.672
harmful	زیانمنونکی	anger	0.672
aggravation	زړورتیا	anger	0.672
contempt	سپکاوی	anger	0.672
poisonous	زهرجن	anger	0.672
dastardly	خندا	anger	0.672
shoot	ډزې	anger	0.672
corrupting	فاسد کول	anger	0.672
condemnation	غندنه	anger	0.672
wreak	ضربه	anger	0.672
crushed	کښته شوی	anger	0.672
cruelly	ظالمانه	anger	0.672
crime	جرم	anger	0.672
maniac	مننه	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	له منځه وړل	anger	0.667
odious	خیر	anger	0.667
shooting	ډزې	anger	0.667
kick	کک	anger	0.667
aggressive	تیریدونکی	anger	0.667
combat	جګړه	anger	0.667
shout	غږول	anger	0.667
hit	ټکی	anger	0.667
fight	جګړه	anger	0.667
cutthroat	کندې	anger	0.667
enemy	دښمن	anger	0.667
irritable	ژوره	anger	0.667
punished	سزا ورکول	anger	0.662
ambush	زخم	anger	0.661
yell	اییل	anger	0.661
harass	ځورول	anger	0.659
malignant	ناڅاپه	anger	0.656
aggressor	یرغلګر	anger	0.656
antichrist	ضد	anger	0.656
gore	ډوډۍ	anger	0.656
incense	بخښنه	anger	0.656
expel	ایستل	anger	0.656
destruction	تخریب	anger	0.656
grudge	غصب	anger	0.656
cranky	کرانکی	anger	0.653
offended	بد	anger	0.652
spank	سپک	anger	0.652
growl	کرهنه	anger	0.652
insurrection	بغاوت	anger	0.652
reprisal	بیاکتنه	anger	0.652
slave	غلام	anger	0.652
denounce	ردوی	anger	0.652
animosity	ښکاري	anger	0.652
insulting	سپکاوی	anger	0.652
clashing	جګړه	anger	0.652
growls	کروندګر	anger	0.649
executioner	اعدامونکی	anger	0.644
twat	twat	anger	0.644
doomsday	قیامت	anger	0.643
daemon	daemon	anger	0.641
obscenity	غصب	anger	0.641
bombard	بمبار	anger	0.641
spat	سپټ	anger	0.641
havoc	تاوان	anger	0.641
feud	غصب	anger	0.641
grr	grr	anger	0.641
arson	ټوپک	anger	0.641
reprimand	بیا تکرار	anger	0.641
expulsion	اخراج	anger	0.641
inexcusable	ناشونی	anger	0.641
accused	تورن دی	anger	0.641
indignant	ناڅاپه	anger	0.641
shackle	ټوټه	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	زخم	anger	0.636
suicidal	ځان وژونکی	anger	0.636
poisoned	زه زهر شوی يم	anger	0.636
batter	بیټرۍ	anger	0.636
kicking	لټول	anger	0.636
hanging	ځړول	anger	0.636
spanking	مننه	anger	0.636
disgusting	بې شرمه	anger	0.636
combatant	جګړه مار	anger	0.636
frustrated	مايوس	anger	0.636
anarchy	انارشي	anger	0.636
glaring	روښانه کول	anger	0.636
inflict	سپکاوی	anger	0.633
wrecked	ټوټه شوې	anger	0.633
grievous	غمجن	anger	0.632
prosecute	محاکمه کول	anger	0.630
agitated	ژغورل شوی	anger	0.630
cheat	غلا وکړه	anger	0.630
swastika	سویسټیکا	anger	0.627
defamatory	افترایی	anger	0.625
suffocation	تاوان	anger	0.625
strife	تاوان	anger	0.625
provocation	هڅول	anger	0.625
injure	ټپی کول	anger	0.625
harassing	ځورول	anger	0.625
scourge	خفه کول	anger	0.625
cursing	لعنت	anger	0.625
betray	خيانت	anger	0.625
indict	تورونه	anger	0.625
raid	برید	anger	0.625
thundering	ګوتې	anger	0.625
enslaved	غلا شوی	anger	0.625
arsehole	ارسیلول	anger	0.624
insane	پاگل	anger	0.621
fiend	خوښ	anger	0.621
irritate	خپګان	anger	0.621
convict	محکوم کول	anger	0.621
jerk	ټک	anger	0.621
theft	غلا	anger	0.621
retaliation	انتقالي	anger	0.621
deprivation	محرومیت	anger	0.621
cussed	غوڅ شو	anger	0.619
turmoil	تاوان	anger	0.618
smack	ټوټه	anger	0.615
retribution	سزا	anger	0.614
twats	دوه ځله	anger	0.609
intolerable	ناڅاپه	anger	0.609
rebellion	بغاوت	anger	0.609
injurious	زخم	anger	0.609
oppressor	ظالمانه	anger	0.609
slavery	غلامۍ	anger	0.609
irritability	ویرول	anger	0.609
collision	ټکی	anger	0.609
bitterly	تیریږي	anger	0.609
gang	ډله	anger	0.609
antagonism	مخالفین	anger	0.609
battery	بیټرۍ	anger	0.609
adverse	منفي	anger	0.609
disgraced	خپه شوی	anger	0.608
irritating	ځورول	anger	0.606
revolution	انقلاب	anger	0.606
thug	غلا	anger	0.606
diatribe	خواړه	anger	0.606
bombardment	بمبارۍ	anger	0.606
blast	چاودنه	anger	0.606
irks	irks	anger	0.606
sickening	ناروغی	anger	0.606
discrimination	تبعیض	anger	0.606
antagonistic	مخالفین	anger	0.606
ranting	ټوپک	anger	0.606
asshole	گدی	anger	0.606
frustrate	خپګان	anger	0.604
manipulation	تاوان	anger	0.603
tension	تاوان	anger	0.603
insult	سپکاوی	anger	0.603
bigot	ستره	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	زیان رسوي	anger	0.603
oppression	ظلم	anger	0.603
disgust	ناڅاپه	anger	0.602
spite	سره سره	anger	0.600
intrusive	ځړول	anger	0.598
harshness	سختۍ	anger	0.597
slur	لرې کړئ	anger	0.596
wretch	وریچ	anger	0.594
inferno	نزدې	anger	0.594
invasion	يرغل	anger	0.594
puncture	پنکچر	anger	0.594
miserable	بدبخته	anger	0.594
assail	حمله	anger	0.594
storming	توپان	anger	0.594
casualty	مصطفی	anger	0.594
bitterness	سخته	anger	0.594
morbidity	ناروغۍ	anger	0.594
tempest	تر ټولو غوره	anger	0.594
consternation	همغږۍ	anger	0.592
depraved	خراب شوی	anger	0.591
raving	سوځول	anger	0.591
guillotine	ګیلیوټین	anger	0.591
guilty	مجرم	anger	0.591
immoral	غیر اخلاقي	anger	0.591
forcibly	په زور سره	anger	0.591
overpowering	پیاوړی کول	anger	0.591
accursed	تکرار شوی	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	بیرته راستنیدونکی	anger	0.588
invader	یرغلګر	anger	0.588
scare	ډار	anger	0.588
screwed	خراب شوی	anger	0.588
indignation	غصب	anger	0.587
jealousy	حسد	anger	0.587
vexed	ویجاړ شوی	anger	0.586
confront	مخامخ	anger	0.582
brute	بویټ	anger	0.581
throttle	ټکی	anger	0.579
wreck	ټوټه	anger	0.578
revolver	ریولورور	anger	0.578
slut	غلام	anger	0.578
yousuck	تاسو رودلی	anger	0.578
damage	زیانونه	anger	0.578
butcher	قصاب	anger	0.578
conflict	شخړه	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	جرم	anger	0.578
bickering	خندا	anger	0.578
pillage	غلا	anger	0.578
blaze	توره	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	کودتا	anger	0.578
contentious	متضاد	anger	0.578
incarceration	بندیز	anger	0.578
defiant	سرغړونه	anger	0.578
provoking	ثابتول	anger	0.578
lash	غوسه	anger	0.578
cancer	سرطان	anger	0.577
frustration	مايوسي	anger	0.576
gory	ګوری	anger	0.576
alienation	جغرافیه	anger	0.576
discord	توپیر	anger	0.576
disturbance	اندیښنه	anger	0.576
grope	ګروپ	anger	0.576
condescension	تعقیب	anger	0.576
pernicious	ناحقه	anger	0.576
blasphemy	کفر کول	anger	0.576
discriminate	تبعیض	anger	0.576
chaotic	ناڅاپه	anger	0.576
gun	ټوپ	anger	0.576
standoff	مخکی	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	سينه	anger	0.574
lunacy	غوسه	anger	0.574
oppressive	ظالمانه	anger	0.574
death	مړینه	anger	0.574
jab	جاب	anger	0.574
cursed	لعنت	anger	0.574
scandalous	ناببره	anger	0.574
monstrosity	بېوزلۍ	anger	0.574
shit	شیټ	anger	0.573
disparaging	توپیر	anger	0.571
slash	سلیش	anger	0.571
unfair	غير عادلانه	anger	0.571
gallows	غوړونه	anger	0.570
escalate	زیاتوالی	anger	0.569
intolerant	ناخبره	anger	0.564
lawlessness	بې قانونۍ	anger	0.563
bluddy	خندا	anger	0.562
perdition	تاوان	anger	0.562
taunt	تاو	anger	0.562
grouchy	ګړندۍ	anger	0.562
torpedo	ټریپلو	anger	0.562
deceived	غلا شوی	anger	0.562
slander	بښونکی	anger	0.562
retards	ساتل	anger	0.562
bearish	میوه	anger	0.562
invade	یرغل	anger	0.562
bellows	غوږونه	anger	0.562
beast	حيوانات	anger	0.562
frightful	ډارونکی	anger	0.562
derogatory	ناڅاپه	anger	0.562
glare	چټکۍ	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ډارونکی	anger	0.562
traitor	غصب	anger	0.562
malign	ناسم	anger	0.562
wrangling	څنګل	anger	0.562
dissension	توپیر	anger	0.561
banshee	بانسایه	anger	0.561
shatter	ټوټه ټوټه	anger	0.561
conflagration	شخړې	anger	0.561
jeopardize	خطرناکه	anger	0.561
thief	چور	anger	0.561
rave	رویټرز	anger	0.561
grating	ماتول	anger	0.561
devastating	ویجاړونکی	anger	0.561
idiots	جنګيالي	anger	0.561
betrayal	خيانت	anger	0.561
uncontrollable	نانګول شوی	anger	0.561
fits	ځړول	anger	0.561
cross	کراس	anger	0.561
hurt	ژوبل	anger	0.561
disturbed	خراب شوی	anger	0.559
subjugation	ضمیمه	anger	0.559
stomped	لوټ شوی	anger	0.557
grab	اخلئ	anger	0.557
ticked	ټیټ شوی	anger	0.556
masochism	ماسکوزم	anger	0.556
grievance	شکایت	anger	0.556
defiance	سرغړونه	anger	0.552
blackmail	تورمیل	anger	0.550
offensive	سرغړونه	anger	0.549
decry	پرېکړه	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	سرغړونه	anger	0.547
punishment	سزا	anger	0.547
shrill	شریخ	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	تورې غاړې	anger	0.547
misery	بدبختۍ	anger	0.547
frustrates	مايوسي	anger	0.547
disgraceful	بې رحمه	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	زړورتیا	anger	0.547
disparity	توپیر	anger	0.547
confine	محدود کړئ	anger	0.547
firearms	اور وژنې	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	مخکی	anger	0.547
rebel	بغاوت	anger	0.547
deceive	غلا کول	anger	0.547
stolen	غلا شوی	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	گرم	anger	0.545
ruined	ویجاړ شوی	anger	0.545
menace	منډې	anger	0.545
humiliate	سپکاوی وکړئ	anger	0.545
tackle	ټکی	anger	0.545
conspirator	سازش	anger	0.545
foul	غلا	anger	0.545
antagonist	مخالف	anger	0.545
resentful	خوشحاله	anger	0.545
prejudice	تعصب	anger	0.545
adversary	مخالف	anger	0.545
argument	دليل	anger	0.545
skirmish	ټوپک	anger	0.545
callous	غوږه	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ننوتل	anger	0.544
robbery	غلا	anger	0.544
sting	ډک	anger	0.544
outcry	ژغورل	anger	0.544
grumble	بویه	anger	0.544
irreconcilable	ناقانونه کول	anger	0.543
resistance	مقاومت	anger	0.543
obstructive	خنډونه	anger	0.542
dismay	ویره	anger	0.540
mob	مخ	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	بد	anger	0.536
ridicule	خندا	anger	0.534
incendiary	انګرېزي	anger	0.533
flares	اوړي	anger	0.532
degeneracy	اپینورسیسی	anger	0.531
confinement	تاوان	anger	0.531
exacerbation	زیاتوالی	anger	0.531
prejudicial	غیرقانوني	anger	0.531
uprising	پاڅون	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	بې باکه	anger	0.531
unbridled	ناڅاپه	anger	0.531
allegation	تورونه	anger	0.531
communism	کمونیزم	anger	0.531
whip	ټوپ	anger	0.531
intruder	کڅوړی	anger	0.531
dispute	شخړه	anger	0.531
belittle	بېړه	anger	0.531
bigoted	لوی شوی	anger	0.530
offender	مجرم	anger	0.530
hassle	د	anger	0.530
dissonance	ناڅاپه	anger	0.530
unjust	ظالمانه	anger	0.530
dictatorial	ديکتاتوري	anger	0.530
unjustifiable	ناقانونه	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	بدلون	anger	0.530
tackled	ټوټه شوی	anger	0.530
renegade	ورغی	anger	0.529
hot	ګرمه	anger	0.529
prison	زندان	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	تسلط	anger	0.529
suicide	ځان وژنه	anger	0.521
annoy	ځورول	anger	0.520
leavemealone	یوازی می پريږده	anger	0.517
idiotic	بډایټیک	anger	0.516
distrust	بې باورۍ	anger	0.516
depravity	درغلۍ	anger	0.516
cretins	کښتن	anger	0.516
divorce	طلاق	anger	0.516
broil	برویل	anger	0.516
grrr	grrr	anger	0.516
venting	وینځل	anger	0.516
inimical	عامل	anger	0.516
duress	پیوستون	anger	0.516
disrespectful	بې رحمه	anger	0.516
tortious	شکنجې	anger	0.516
criticize	تنقید	anger	0.516
prisoner	بنديان	anger	0.516
dishonest	بې رحمه	anger	0.516
treason	غداري	anger	0.516
victimized	قربانی شوی	anger	0.515
bile	تڼۍ	anger	0.515
unkind	بې رحمه	anger	0.515
unforgiving	ناڅاپه	anger	0.515
unleash	ړنګول	anger	0.515
coercion	تاوان	anger	0.515
scold	ډوډۍ	anger	0.515
chaos	ګډوډي	anger	0.515
grump	ټوپک	anger	0.515
roar	راړه	anger	0.515
jerks	جاکس	anger	0.515
poaching	خندا	anger	0.515
hangry	ځنګل	anger	0.515
pow	پونډ	anger	0.515
poachers	خوله	anger	0.515
argumentation	دليل	anger	0.515
frustrating	مايوسي	anger	0.515
tussle	ټکی	anger	0.514
bane	بڼ	anger	0.511
accusation	تورونه	anger	0.510
repudiation	تکرار	anger	0.510
enmity	دښمني	anger	0.510
banish	بندیز	anger	0.509
disfigured	بېلې شوې	anger	0.508
storm	طوفان	anger	0.507
shun	ځړول	anger	0.500
suppression	ماتونه	anger	0.500
unruly	ناڅاپه	anger	0.500
intractable	د پام وړ	anger	0.500
ordeal	اډالال	anger	0.500
obstruct	خنډ	anger	0.500
derogation	تکرار	anger	0.500
fervor	ظاهرا	anger	0.500
foaming	ځړول	anger	0.500
derision	تاوان	anger	0.500
animus	ښکاري	anger	0.500
rejects	ردوی	anger	0.500
bout	بوټ	anger	0.500
spear	سپک	anger	0.500
crazy	سرغړونه	anger	0.500
brazen	ځړول	anger	0.500
antithesis	انتياليزم	anger	0.500
injustice	بې عدالتي	anger	0.500
banished	منع شوي	anger	0.500
confined	محدود	anger	0.500
frenzied	زړور شوی	anger	0.500
dominate	غالب	anger	0.500
disrupting	ګډوډول	anger	0.500
hammering	هیر کول	anger	0.500
fear	ویره	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	سختۍ	anger	0.500
brunt	غوټۍ	anger	0.500
possessed	درلود	anger	0.500
defy	دفاع کول	anger	0.500
scoff	ټوټه کړئ	anger	0.500
patronising	ساتنه	anger	0.500
delusional	ناڅاپه	anger	0.500
malpractice	ککړتیا	anger	0.500
reject	رد کړه	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	سختۍ	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	جنون	anger	0.491
sinful	ګناهګار	anger	0.491
avarice	د واورې	anger	0.490
oppress	ظلم	anger	0.490
disapproved	ناپېژندل شوی	anger	0.485
inhuman	غیر انساني	anger	0.485
demand	غوښتنه	anger	0.485
abolish	ړنګول	anger	0.485
anathema	اناتما	anger	0.485
fricking	ټوټه ټوټه	anger	0.485
complaint	شکایت	anger	0.485
disservice	ناڅاپه	anger	0.485
smuggler	قاچاق وړونکي	anger	0.485
revoke	لرې کړئ	anger	0.485
infraction	انفراسیون	anger	0.485
claw	پټه	anger	0.485
dissident	مخالفت	anger	0.485
pervert	خرابول	anger	0.485
incest	انسټیټیوټ	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	نافرماني	anger	0.485
usurp	غصب	anger	0.485
alienate	بې ځایه	anger	0.485
avenger	مسافر	anger	0.485
annoyed	ناراضه شوی	anger	0.485
cutting	پرې کول	anger	0.485
disgrace	خفه کول	anger	0.484
deceit	غلا	anger	0.484
suspicious	شکمن	anger	0.484
thresh	ځړول	anger	0.484
sucker	کڅوړی	anger	0.484
strained	ټکی شوی	anger	0.484
blame	تورونه	anger	0.484
upheaval	خوړونکی	anger	0.484
renounce	پرېږده	anger	0.484
obnoxious	ناخبره	anger	0.484
restrain	لرې کړئ	anger	0.484
oust	بهر	anger	0.484
litigious	قانوني	anger	0.484
rivalry	سيالۍ	anger	0.484
penalty	جزا	anger	0.484
imprisoned	بندي شوی	anger	0.484
mocking	ملګري	anger	0.484
opposed	مخالف و	anger	0.484
turbulence	ناڅاپه	anger	0.483
pound	پونډ	anger	0.481
coldness	ژمي	anger	0.477
