word	Igbo-ig	emotion	emotion-intensity-score
eruption	okpu	anger	0.667
odious	jọgburu onwe ya	anger	0.667
shooting	agbapụ	anger	0.667
kick	ịgba	anger	0.667
aggressive	eme ihe ike	anger	0.667
combat	agha	anger	0.667
shout	tie mkpu	anger	0.667
hit	kụrụ	anger	0.667
fight	agha	anger	0.667
cutthroat	ọkpụkpụ	anger	0.667
enemy	onye iro	anger	0.667
irritable	iwe	anger	0.667
punished	ahụhụ	anger	0.662
ambush	ezo	anger	0.661
yell	kwaa ákwá	anger	0.661
harass	nsogbu	anger	0.659
malignant	ọjọọ	anger	0.656
aggressor	onye na-eme ihe ike	anger	0.656
antichrist	onye na-emegide Kraịst	anger	0.656
gore	gore	anger	0.656
incense	incense	anger	0.656
expel	chụpụ	anger	0.656
destruction	mbibi	anger	0.656
grudge	iwe iwe	anger	0.656
cranky	kpara	anger	0.653
offended	kpasuru	anger	0.652
spank	spank	anger	0.652
growl	na-eto eto	anger	0.652
insurrection	nnupụisi	anger	0.652
reprisal	mgbapụta	anger	0.652
slave	ohu	anger	0.652
denounce	ịkatọ	anger	0.652
animosity	obi ojoo	anger	0.652
insulting	mkparị	anger	0.652
clashing	ịlụ ọgụ	anger	0.652
growls	eto	anger	0.649
executioner	onye ogbugbu	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	okwu njakịrị	anger	0.641
bombard	bombard	anger	0.641
spat	afụ	anger	0.641
havoc	mbibi	anger	0.641
feud	esemokwu	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	ịba mba	anger	0.641
expulsion	nchụpụ	anger	0.641
inexcusable	enweghị atụ	anger	0.641
accused	ebubo	anger	0.641
indignant	iwe iwe	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ọnya	anger	0.636
suicidal	igbu onwe ya	anger	0.636
poisoned	nsi	anger	0.636
batter	batter	anger	0.636
kicking	egwu	anger	0.636
hanging	na-eche	anger	0.636
spanking	spanking	anger	0.636
disgusting	na-asọ oyi	anger	0.636
combatant	onye agha	anger	0.636
frustrated	obi mgbawa	anger	0.636
anarchy	ọgba aghara	anger	0.636
glaring	na-egbuke egbuke	anger	0.636
inflict	na-egbu	anger	0.633
wrecked	wrecked	anger	0.633
grievous	dị mwute	anger	0.632
prosecute	ikpe	anger	0.630
agitated	iwe	anger	0.630
cheat	cheat	anger	0.630
swastika	swastika	anger	0.627
defamatory	nkwulu	anger	0.625
suffocation	ngbasa	anger	0.625
strife	esemokwu	anger	0.625
provocation	mkpasu iwe	anger	0.625
injure	emerụ	anger	0.625
harassing	na-akpaghasị	anger	0.625
scourge	ihe otiti	anger	0.625
cursing	nkọcha	anger	0.625
betray	ịrara aka	anger	0.625
indict	ịkatọ	anger	0.625
raid	agha	anger	0.625
thundering	égbè eluigwe	anger	0.625
enslaved	ohu	anger	0.625
arsehole	arsehole	anger	0.624
insane	ara	anger	0.621
fiend	ọkụnd	anger	0.621
irritate	iwe	anger	0.621
convict	onye ikpe	anger	0.621
jerk	jerk	anger	0.621
theft	izu ohi	anger	0.621
retaliation	imegwara	anger	0.621
deprivation	abaghị uru	anger	0.621
cussed	kpata	anger	0.619
turmoil	ọgba aghara	anger	0.618
smack	smack	anger	0.615
retribution	ugwo	anger	0.614
twats	twats	anger	0.609
intolerable	enweghị atụ	anger	0.609
rebellion	nnupụisi	anger	0.609
injurious	ihe ọjọọ	anger	0.609
oppressor	onye mmegbu	anger	0.609
slavery	ịgba ohu	anger	0.609
irritability	mgbakasị	anger	0.609
collision	nkuku	anger	0.609
bitterly	obi ilu	anger	0.609
gang	òtù	anger	0.609
antagonism	aghara	anger	0.609
battery	batrị	anger	0.609
adverse	mmejọ	anger	0.609
disgraced	ihere	anger	0.608
irritating	iwe	anger	0.606
revolution	mgbanwe	anger	0.606
thug	mechie	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	bupu	anger	0.606
irks	irks	anger	0.606
sickening	ọrịa	anger	0.606
discrimination	ịkpa ókè	anger	0.606
antagonistic	na-emegide onwe ya	anger	0.606
ranting	eche	anger	0.606
asshole	Ike	anger	0.606
frustrate	obi mgbawa	anger	0.604
manipulation	nhazi	anger	0.603
tension	esemokwu	anger	0.603
insult	mkparị	anger	0.603
bigot	nnukwu	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	na-emerụ ahụ	anger	0.603
oppression	mmegbu	anger	0.603
disgust	akparị	anger	0.602
spite	obi ọjọọ	anger	0.600
intrusive	na-agba ume	anger	0.598
harshness	obi ọjọọ	anger	0.597
slur	slur	anger	0.596
wretch	ajọ	anger	0.594
inferno	inferno	anger	0.594
invasion	mbuso agha	anger	0.594
puncture	mgbapu	anger	0.594
miserable	enweghi nsogbu	anger	0.594
assail	agha	anger	0.594
storming	na-ebili	anger	0.594
casualty	enwe nsogbu	anger	0.594
bitterness	obi ilu	anger	0.594
morbidity	ezighi ezi	anger	0.594
tempest	oké ifufe	anger	0.594
consternation	nchegharị	anger	0.592
depraved	abaghị uru	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	ikpe mara	anger	0.591
immoral	omume rụrụ arụ	anger	0.591
forcibly	ike	anger	0.591
overpowering	overpowering	anger	0.591
accursed	bụrụ ndị a bụrụ ọnụ	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	cheta	anger	0.588
invader	wakpo	anger	0.588
scare	egwu	anger	0.588
screwed	weghaara ya	anger	0.588
indignation	iwe	anger	0.587
jealousy	ekworo	anger	0.587
vexed	ewe iwe	anger	0.586
confront	ihu	anger	0.582
brute	oke	anger	0.581
throttle	kpata	anger	0.579
wreck	kpochapu	anger	0.578
revolver	nnupụisi	anger	0.578
slut	ezumike	anger	0.578
yousuck	ị nweghị isi	anger	0.578
damage	mmebi	anger	0.578
butcher	onye na-egbu anụ	anger	0.578
conflict	agha	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	omekome	anger	0.578
bickering	bickering	anger	0.578
pillage	nchịkọta	anger	0.578
blaze	enwu	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	agha	anger	0.578
contentious	esemokwu	anger	0.578
incarceration	mkpọrọ	anger	0.578
defiant	ike	anger	0.578
provoking	na-akpali akpali	anger	0.578
lash	adịghị mma	anger	0.578
cancer	cancer	anger	0.577
frustration	obi mgbawa	anger	0.576
gory	gory	anger	0.576
alienation	nnwere onwe	anger	0.576
discord	esemokwu	anger	0.576
disturbance	nsogbu	anger	0.576
grope	grope	anger	0.576
condescension	dị ala	anger	0.576
pernicious	na-emerụ ahụ	anger	0.576
blasphemy	nkwulu	anger	0.576
discriminate	ịkpa ókè	anger	0.576
chaotic	chaotic	anger	0.576
gun	egbe	anger	0.576
standoff	ada ada	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	onyeisi	anger	0.574
oppressive	mmegbu	anger	0.574
death	ọnwụ	anger	0.574
jab	jab	anger	0.574
cursed	bụrụ ọnụ	anger	0.574
scandalous	dị egwu	anger	0.574
monstrosity	ego	anger	0.574
shit	shit	anger	0.573
disparaging	na-atụgharị uche	anger	0.571
slash	slash	anger	0.571
unfair	ezighi ezi	anger	0.571
gallows	osisi	anger	0.570
escalate	gbasaa	anger	0.569
intolerant	ekweghị ekwe	anger	0.564
lawlessness	mmebi iwu	anger	0.563
bluddy	bluddy	anger	0.562
perdition	ọdịda	anger	0.562
taunt	ekwu okwu	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	na-afụ ụfụ	anger	0.562
deceived	ghọgburu	anger	0.562
slander	nkwutọ	anger	0.562
retards	nkwụsị	anger	0.562
bearish	beish	anger	0.562
invade	wakporo	anger	0.562
bellows	bellow	anger	0.562
beast	anụ ọhịa	anger	0.562
frightful	egwu	anger	0.562
derogatory	derogatory	anger	0.562
glare	nwuo	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	egwu	anger	0.562
traitor	onye ngha	anger	0.562
malign	malign	anger	0.562
wrangling	arụ ụka	anger	0.562
dissension	esemokwu	anger	0.561
banshee	banshee	anger	0.561
shatter	akụwa	anger	0.561
conflagration	agha	anger	0.561
jeopardize	mebie	anger	0.561
thief	onye ohi	anger	0.561
rave	eme	anger	0.561
grating	nhazi	anger	0.561
devastating	ihe ojoo	anger	0.561
idiots	idiots	anger	0.561
betrayal	aghụghọ	anger	0.561
uncontrollable	enweghị ike ịchịkwa	anger	0.561
fits	adabara	anger	0.561
cross	obe	anger	0.561
hurt	obi ọjọọ	anger	0.561
disturbed	nsogbu	anger	0.559
subjugation	subjugation	anger	0.559
stomped	ama jijiji	anger	0.557
grab	jidere	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	mkpesa	anger	0.556
defiance	nkwenye	anger	0.552
blackmail	ozi	anger	0.550
offensive	iwe	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	mmebi	anger	0.547
punishment	ntaramahụhụ	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	nhụsianya	anger	0.547
frustrates	na-ewe iwe	anger	0.547
disgraceful	ihere	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	na-emebiga ihe ókè	anger	0.547
disparity	ezighi ezi	anger	0.547
confine	jide	anger	0.547
firearms	eji égbè agbagbu	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	adịghị mma	anger	0.547
rebel	nnupụisi	anger	0.547
deceive	na-eduhie	anger	0.547
stolen	zuru	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ewe iwe ọkụ	anger	0.545
ruined	ebibi	anger	0.545
menace	agha	anger	0.545
humiliate	wedata	anger	0.545
tackle	mechie	anger	0.545
conspirator	onye nkwekọrịta	anger	0.545
foul	aghara	anger	0.545
antagonist	onye agha	anger	0.545
resentful	iwe	anger	0.545
prejudice	ajọ mbunobi	anger	0.545
adversary	onye iro	anger	0.545
argument	arụmụka	anger	0.545
skirmish	kwadoro	anger	0.545
callous	obi ọjọọ	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	etinye aka	anger	0.544
robbery	izu ohi	anger	0.544
sting	na-agba	anger	0.544
outcry	mkpu ákwá	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	enweghi ike ịchọta	anger	0.543
resistance	nnọchigide	anger	0.543
obstructive	igbochi	anger	0.542
dismay	nhụsianya	anger	0.540
mob	ìgwè mmadụ	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ọjọọ	anger	0.536
ridicule	akwa emo	anger	0.534
incendiary	ọkụ ọkụ	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	nkwenye	anger	0.531
exacerbation	ike	anger	0.531
prejudicial	ajọ mbunobi	anger	0.531
uprising	ọgba aghara	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	enweghị uche	anger	0.531
unbridled	emeghị ihe ọ bụla	anger	0.531
allegation	ebubo	anger	0.531
communism	kọmitii	anger	0.531
whip	ụtarị	anger	0.531
intruder	onye omekome	anger	0.531
dispute	esemokwu	anger	0.531
belittle	ọ dị mma	anger	0.531
bigoted	echekwa	anger	0.530
offender	onye mebiri	anger	0.530
hassle	nsogbu	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ezighi ezi	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	enweghị obi ụtọ	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	akpaghasị	anger	0.530
tackled	kwadoro ya	anger	0.530
renegade	nnupụisi	anger	0.529
hot	ọkụ	anger	0.529
prison	ụlọ mkpọrọ	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	njehie	anger	0.529
suicide	igbu onwe ya	anger	0.521
annoy	iwe iwe	anger	0.520
leavemealone	hapụ m aka	anger	0.517
idiotic	idiotic	anger	0.516
distrust	enweghị ntụkwasị obi	anger	0.516
depravity	mmebi iwu	anger	0.516
cretins	nchịkọta	anger	0.516
divorce	ịgba alụkwaghịm	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	na-ekwu okwu	anger	0.516
inimical	eme ihe	anger	0.516
duress	nsogbu	anger	0.516
disrespectful	enweghị nkwanye ùgwù	anger	0.516
tortious	mmegbu	anger	0.516
criticize	ịkatọ	anger	0.516
prisoner	mkpọrọ	anger	0.516
dishonest	emeghị ihe n'eziokwu	anger	0.516
treason	mkpesa	anger	0.516
victimized	emegbu	anger	0.515
bile	bile	anger	0.515
unkind	enweghị obi ebere	anger	0.515
unforgiving	enweghị mgbaghara	anger	0.515
unleash	emeghe	anger	0.515
coercion	ike mmanye	anger	0.515
scold	na-agba	anger	0.515
chaos	ọgba aghara	anger	0.515
grump	grump	anger	0.515
roar	ụda	anger	0.515
jerks	jerks	anger	0.515
poaching	nhazi	anger	0.515
hangry	ncha	anger	0.515
pow	pow	anger	0.515
poachers	ndị na-azụ ahịa	anger	0.515
argumentation	arụ ụka	anger	0.515
frustrating	obi mgbawa	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	ebubo	anger	0.510
repudiation	nhichapu	anger	0.510
enmity	iro	anger	0.510
banish	wepụ	anger	0.509
disfigured	disfigured	anger	0.508
storm	oké ifufe	anger	0.507
shun	zere	anger	0.500
suppression	nhichapu	anger	0.500
unruly	isi ike	anger	0.500
intractable	nke nwere ike ime	anger	0.500
ordeal	nsogbu	anger	0.500
obstruct	gbochi	anger	0.500
derogation	nkwụsị	anger	0.500
fervor	ike	anger	0.500
foaming	na-asụ ụfụfụ	anger	0.500
derision	ịkwa emo	anger	0.500
animus	animus	anger	0.500
rejects	jụrụ	anger	0.500
bout	aka	anger	0.500
spear	ube	anger	0.500
crazy	nzuzu	anger	0.500
brazen	ọla	anger	0.500
antithesis	nkwenye	anger	0.500
injustice	ezighị ezi	anger	0.500
banished	wepụrụ	anger	0.500
confined	ejigide	anger	0.500
frenzied	frenzied	anger	0.500
dominate	achị	anger	0.500
disrupting	na-akpaghasị	anger	0.500
hammering	hammering	anger	0.500
fear	egwu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	nhụjuanya	anger	0.500
brunt	brunt	anger	0.500
possessed	nwere	anger	0.500
defy	na-asọ oyi	anger	0.500
scoff	ịkwa emo	anger	0.500
patronising	patronizing	anger	0.500
delusional	ihe mgbagha	anger	0.500
malpractice	ajọ omume	anger	0.500
reject	jụ	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	ike	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	nzu	anger	0.491
sinful	mmehie	anger	0.491
avarice	ọhụụ	anger	0.490
oppress	mmegbu	anger	0.490
disapproved	ekwetaghị	anger	0.485
inhuman	ndị obi ọjọọ	anger	0.485
demand	achọ	anger	0.485
abolish	wezuga	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	mkpesa	anger	0.485
disservice	arụ ọrụ	anger	0.485
smuggler	onye nlekota	anger	0.485
revoke	gbanyụọ	anger	0.485
infraction	mmebi iwu	anger	0.485
claw	ncha	anger	0.485
dissident	disident	anger	0.485
pervert	gbagwoju anya	anger	0.485
incest	agbata	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ndị nupụ isi	anger	0.485
usurp	usurp	anger	0.485
alienate	kewapụ	anger	0.485
avenger	onye na-abọ ọbọ	anger	0.485
annoyed	iwe	anger	0.485
cutting	ịcha	anger	0.485
disgrace	ihere	anger	0.484
deceit	aghụghọ	anger	0.484
suspicious	enyo	anger	0.484
thresh	izu	anger	0.484
sucker	ọkpọ	anger	0.484
strained	enwe nsogbu	anger	0.484
blame	ụta	anger	0.484
upheaval	ọgba aghara	anger	0.484
renounce	jụ	anger	0.484
obnoxious	na-asọ oyi	anger	0.484
restrain	kwụsị	anger	0.484
oust	oust	anger	0.484
litigious	arụmụka	anger	0.484
rivalry	agha	anger	0.484
penalty	ikpe	anger	0.484
