word	Yoruba-yo	emotion	emotion-intensity-score
mad	asiwere	anger	0.688
infanticide	ipilẹku ara ẹni	anger	0.688
volatility	ailawọn	anger	0.687
eradication	eradication	anger	0.685
tantrum	mejeeji	anger	0.682
devastate	apaniyan	anger	0.682
eradicate	paarẹ	anger	0.682
scoundrel	alarin	anger	0.682
aggressively	aggressively	anger	0.680
agitation	irora	anger	0.680
dictatorship	alakoso	anger	0.676
irritates	irritates	anger	0.676
profanity	aṣiwere	anger	0.673
egregious	egregious	anger	0.672
expletive	expletive	anger	0.672
nasty	ẹgbin	anger	0.672
shove	gbin	anger	0.672
shot	shot	anger	0.672
harmful	ipalara	anger	0.672
aggravation	ibanujẹ	anger	0.672
contempt	ẹgan	anger	0.672
poisonous	loro	anger	0.672
dastardly	dastardly	anger	0.672
shoot	titu	anger	0.672
corrupting	ibajẹ	anger	0.672
condemnation	idajọ	anger	0.672
wreak	wreak	anger	0.672
crushed	ti pa	anger	0.672
cruelly	cruelly	anger	0.672
crime	ilufin	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruption	anger	0.667
odious	o buru	anger	0.667
shooting	ibon yiyan	anger	0.667
kick	tapa	anger	0.667
aggressive	ibinu	anger	0.667
combat	ija	anger	0.667
shout	kigbe	anger	0.667
hit	lu	anger	0.667
fight	ija	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	ota	anger	0.667
irritable	irritable	anger	0.667
punished	ijiya	anger	0.662
ambush	atokuro	anger	0.661
yell	yell	anger	0.661
harass	aṣiṣe	anger	0.659
malignant	iro buburu	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	Dajjal	anger	0.656
gore	Gore	anger	0.656
incense	turari	anger	0.656
expel	yọ kuro	anger	0.656
destruction	iparun	anger	0.656
grudge	ariyanjiyan	anger	0.656
cranky	cranky	anger	0.653
offended	ti ṣẹ	anger	0.652
spank	spank	anger	0.652
growl	gbó	anger	0.652
insurrection	iṣọtẹ	anger	0.652
reprisal	atunṣe	anger	0.652
slave	ẹrú	anger	0.652
denounce	ẹgan	anger	0.652
animosity	irora	anger	0.652
insulting	itiju	anger	0.652
clashing	ti o n ṣe awari	anger	0.652
growls	awọn agbalagba	anger	0.649
executioner	ipaniyan	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	ẹgan	anger	0.641
bombard	bombard	anger	0.641
spat	aaye	anger	0.641
havoc	havoc	anger	0.641
feud	ariwo	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	rirun	anger	0.641
expulsion	igbesẹ	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	onimo	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ọgbẹ	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	ti oloro	anger	0.636
batter	batter	anger	0.636
kicking	gbigba	anger	0.636
hanging	wa ni ara korokun	anger	0.636
spanking	spanking	anger	0.636
disgusting	irira	anger	0.636
combatant	ija	anger	0.636
frustrated	ibanuje	anger	0.636
anarchy	anarchy	anger	0.636
glaring	gira	anger	0.636
inflict	pa	anger	0.633
wrecked	ti pa	anger	0.633
grievous	irora	anger	0.632
prosecute	gbejọ	anger	0.630
agitated	ti bajẹ	anger	0.630
cheat	iyanjẹ	anger	0.630
swastika	swastika	anger	0.627
defamatory	ẹtan	anger	0.625
suffocation	dogba	anger	0.625
strife	ija	anger	0.625
provocation	imunibinu	anger	0.625
injure	ipalara	anger	0.625
harassing	harassing	anger	0.625
scourge	okùn	anger	0.625
cursing	eegun	anger	0.625
betray	fifun	anger	0.625
indict	ẹsun	anger	0.625
raid	idojukọ	anger	0.625
thundering	sùn	anger	0.625
enslaved	ṣe ẹrú	anger	0.625
arsehole	arsehole	anger	0.624
insane	aṣiwere	anger	0.621
fiend	fiend	anger	0.621
irritate	binu	anger	0.621
convict	oluwa	anger	0.621
jerk	jerk	anger	0.621
theft	ole	anger	0.621
retaliation	retaliation	anger	0.621
deprivation	aini aini	anger	0.621
cussed	o dahun	anger	0.619
turmoil	ipọnju	anger	0.618
smack	smack	anger	0.615
retribution	retribution	anger	0.614
twats	twats	anger	0.609
intolerable	ti ko ni nkan	anger	0.609
rebellion	iṣọtẹ	anger	0.609
injurious	ipalara	anger	0.609
oppressor	alainilara	anger	0.609
slavery	ifiwo	anger	0.609
irritability	irritability	anger	0.609
collision	ijamba	anger	0.609
bitterly	kikoro	anger	0.609
gang	onijagidijagan	anger	0.609
antagonism	antagonism	anger	0.609
battery	batiri	anger	0.609
adverse	ikolu	anger	0.609
disgraced	itiju	anger	0.608
irritating	irritating	anger	0.606
revolution	Iyika	anger	0.606
thug	ṣan	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	fifún	anger	0.606
irks	irks	anger	0.606
sickening	aisan	anger	0.606
discrimination	iyasoto	anger	0.606
antagonistic	aiṣedede	anger	0.606
ranting	gbigbọn	anger	0.606
asshole	Iwoomusu	anger	0.606
frustrate	ibanuje	anger	0.604
manipulation	ifọwọyi	anger	0.603
tension	ẹdọfu	anger	0.603
insult	itiju mọlẹ	anger	0.603
bigot	nlaot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ipalara	anger	0.603
oppression	irẹjẹ	anger	0.603
disgust	ibanuje	anger	0.602
spite	pelu	anger	0.600
intrusive	intrusive	anger	0.598
harshness	simi	anger	0.597
slur	slur	anger	0.596
wretch	ipalara	anger	0.594
inferno	aṣiṣe	anger	0.594
invasion	ipanilara	anger	0.594
puncture	Ilọsiwaju	anger	0.594
miserable	ibanujẹ	anger	0.594
assail	iranlowo	anger	0.594
storming	jija	anger	0.594
casualty	idaniloju	anger	0.594
bitterness	kikoro	anger	0.594
morbidity	idaabobo	anger	0.594
tempest	afẹfẹ	anger	0.594
consternation	ojuju	anger	0.592
depraved	ti fi ara rẹ silẹ	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	jẹbi	anger	0.591
immoral	alaimọ	anger	0.591
forcibly	forcibly	anger	0.591
overpowering	overpowering	anger	0.591
accursed	ẹni ifibu	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	igbasilẹ	anger	0.588
invader	oluwa	anger	0.588
scare	ibanuje	anger	0.588
screwed	ti de	anger	0.588
indignation	irunu	anger	0.587
jealousy	owú	anger	0.587
vexed	ti o bajẹ	anger	0.586
confront	dojuko	anger	0.582
brute	alaba	anger	0.581
throttle	iṣọnsẹ	anger	0.579
wreck	npa	anger	0.578
revolver	revolver	anger	0.578
slut	Ifaworanhan	anger	0.578
yousuck	o mu	anger	0.578
damage	ibajẹ	anger	0.578
butcher	butcher	anger	0.578
conflict	ija	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	odaran	anger	0.578
bickering	bickering	anger	0.578
pillage	ipalara	anger	0.578
blaze	didun	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	pelu	anger	0.578
contentious	ariyanjiyan	anger	0.578
incarceration	igbasilẹ	anger	0.578
defiant	alafia	anger	0.578
provoking	si tako	anger	0.578
lash	panṣa	anger	0.578
cancer	akàn	anger	0.577
frustration	ibanuje	anger	0.576
gory	gory	anger	0.576
alienation	ajeji	anger	0.576
discord	ibanuje	anger	0.576
disturbance	idamu	anger	0.576
grope	grope	anger	0.576
condescension	isokalẹ	anger	0.576
pernicious	ipalara	anger	0.576
blasphemy	blasphemy	anger	0.576
discriminate	ṣe iyatọ	anger	0.576
chaotic	rudurudu	anger	0.576
gun	ibon	anger	0.576
standoff	upoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	alakoso	anger	0.574
oppressive	oppressive	anger	0.574
death	iku	anger	0.574
jab	jab	anger	0.574
cursed	ẹni ifibu	anger	0.574
scandalous	scandalous	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	nik	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	aiṣedeede	anger	0.571
gallows	gala	anger	0.570
escalate	yọ soke	anger	0.569
intolerant	inlerant	anger	0.564
lawlessness	àìlófin	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	ẹtan	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	igbiyanju	anger	0.562
deceived	tan tan	anger	0.562
slander	egan	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	gbogun	anger	0.562
bellows	bellows	anger	0.562
beast	ẹranko	anger	0.562
frightful	ẹru	anger	0.562
derogatory	derogatory	anger	0.562
glare	Imọlẹ	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ẹru	anger	0.562
traitor	onibajẹ	anger	0.562
malign	malign	anger	0.562
wrangling	jija	anger	0.562
dissension	iyatọ	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	ijopo	anger	0.561
jeopardize	jeopardize	anger	0.561
thief	olè	anger	0.561
rave	awọn	anger	0.561
grating	Ikawe	anger	0.561
devastating	ipanu pupo	anger	0.561
idiots	idiots	anger	0.561
betrayal	betrayal	anger	0.561
uncontrollable	alailopanibajẹ	anger	0.561
fits	fits	anger	0.561
cross	agbelebu	anger	0.561
hurt	ipalara	anger	0.561
disturbed	ti yọ	anger	0.559
subjugation	subjugation	anger	0.559
stomped	bẹrẹ	anger	0.557
grab	gbamu	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	ibanuje	anger	0.556
defiance	ipenija	anger	0.552
blackmail	Ifiranṣẹ	anger	0.550
offensive	ibinu	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ijẹ	anger	0.547
punishment	ijiya	anger	0.547
shrill	Ija	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ṣokunkun	anger	0.547
misery	ibanujẹ	anger	0.547
frustrates	aṣiṣe	anger	0.547
disgraceful	itiju	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	mimuju	anger	0.547
disparity	iyatọ	anger	0.547
confine	confine	anger	0.547
firearms	Ibon	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	aṣiṣe	anger	0.547
rebel	ọlọtẹ	anger	0.547
deceive	tàn	anger	0.547
stolen	ji ji	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	kikan	anger	0.545
ruined	dabaru	anger	0.545
menace	ewu	anger	0.545
humiliate	itiju	anger	0.545
tackle	koju	anger	0.545
conspirator	igbimọ	anger	0.545
foul	ahon	anger	0.545
antagonist	alakikanju	anger	0.545
resentful	resentful	anger	0.545
prejudice	ikorira	anger	0.545
adversary	ọta	anger	0.545
argument	ariyanjiyan	anger	0.545
skirmish	skirmish	anger	0.545
callous	alaafia	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ti fi ara ṣe	anger	0.544
robbery	jija	anger	0.544
sting	gbin	anger	0.544
outcry	outcry	anger	0.544
grumble	ti nkùn	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	resistance	anger	0.543
obstructive	obstructive	anger	0.542
dismay	dismay	anger	0.540
mob	agbajo eniyan	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	iwa buburu	anger	0.536
ridicule	ipaya	anger	0.534
incendiary	àìpẹ	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	ẹmi	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	ẹtan	anger	0.531
uprising	igbega	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	alaigbọn	anger	0.531
unbridled	unbridled	anger	0.531
allegation	agbasọ ọrọ	anger	0.531
communism	Ibaṣepọ	anger	0.531
whip	okùn	anger	0.531
intruder	intruder	anger	0.531
dispute	àríyànjiyàn	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	oluṣe	anger	0.530
hassle	wahala	anger	0.530
dissonance	dissonance	anger	0.530
unjust	alaiṣõtọ	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	unjustifiable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	iṣiro	anger	0.530
tackled	tackled	anger	0.530
renegade	aṣiṣe	anger	0.529
hot	gbona	anger	0.529
prison	tubu	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	ẹṣẹ	anger	0.529
suicide	igbẹmi ara ẹni	anger	0.521
annoy	ibanujẹ	anger	0.520
leavemealone	fi mi silẹ	anger	0.517
idiotic	idiotic	anger	0.516
distrust	atokuro	anger	0.516
depravity	aibajẹ	anger	0.516
cretins	cretins	anger	0.516
divorce	ikọsilẹ	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	jijade	anger	0.516
inimical	inimiki	anger	0.516
duress	duress	anger	0.516
disrespectful	alaibọwọ	anger	0.516
tortious	tortious	anger	0.516
criticize	ẹri	anger	0.516
prisoner	ẹlẹwọn	anger	0.516
dishonest	alaiṣootọ	anger	0.516
treason	iparun	anger	0.516
victimized	ti ni ipalara	anger	0.515
bile	bile	anger	0.515
unkind	aanu	anger	0.515
unforgiving	aiboriji	anger	0.515
unleash	dida	anger	0.515
coercion	iṣọkun	anger	0.515
scold	ẹkun	anger	0.515
chaos	Idarudapọ	anger	0.515
grump	kùn	anger	0.515
roar	ariwo	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	agbara	anger	0.515
poachers	poachers	anger	0.515
argumentation	ariyanjiyan	anger	0.515
frustrating	ibanuje	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	ẹsun	anger	0.510
repudiation	repudiation	anger	0.510
enmity	ọta	anger	0.510
banish	banish	anger	0.509
disfigured	disfigured	anger	0.508
storm	iji	anger	0.507
shun	shun	anger	0.500
suppression	titẹku	anger	0.500
unruly	alaigbọran	anger	0.500
intractable	intractable	anger	0.500
ordeal	ipọnju	anger	0.500
obstruct	dena	anger	0.500
derogation	iṣeduro	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	ẹgan	anger	0.500
animus	animus	anger	0.500
rejects	kọ	anger	0.500
bout	ija	anger	0.500
spear	ọkọ	anger	0.500
crazy	irikuri	anger	0.500
brazen	brazen	anger	0.500
antithesis	antishesis	anger	0.500
injustice	aiṣedede	anger	0.500
banished	ti kuro	anger	0.500
confined	alapin	anger	0.500
frenzied	frenzied	anger	0.500
dominate	jẹ gaba lori	anger	0.500
disrupting	idilọwọ	anger	0.500
hammering	hammering	anger	0.500
fear	iberu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	irora	anger	0.500
brunt	brunt	anger	0.500
possessed	ti gba	anger	0.500
defy	aṣiṣe	anger	0.500
scoff	ẹlẹgbẹ	anger	0.500
patronising	patronizing	anger	0.500
delusional	iṣanṣan	anger	0.500
malpractice	aiṣedede	anger	0.500
reject	kọ	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	alakikanju	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	isinwin	anger	0.491
sinful	ẹlẹṣẹ	anger	0.491
avarice	avarice	anger	0.490
oppress	ibanujẹ	anger	0.490
disapproved	disapproved	anger	0.485
inhuman	ipalara eniyan	anger	0.485
demand	eletan	anger	0.485
abolish	pa	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	ẹdun	anger	0.485
disservice	ibanujẹ	anger	0.485
smuggler	smuggler	anger	0.485
revoke	fagilee	anger	0.485
infraction	ipeniyan	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	ifẹkufẹ	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	alaigboran	anger	0.485
usurp	usurp	anger	0.485
alienate	ajeji	anger	0.485
avenger	olugbẹsan	anger	0.485
annoyed	ibanuje	anger	0.485
cutting	Iku	anger	0.485
disgrace	itiju	anger	0.484
deceit	ẹtan	anger	0.484
suspicious	ifura	anger	0.484
thresh	thresh	anger	0.484
sucker	sucker	anger	0.484
strained	ti iṣan	anger	0.484
blame	ibawi	anger	0.484
upheaval	aifọwọyi	anger	0.484
renounce	kọ sẹhin	anger	0.484
obnoxious	ohun ti o buru	anger	0.484
restrain	mu fifọ	anger	0.484
oust	oust	anger	0.484
litigious	ẹdun	anger	0.484
rivalry	rivalry	anger	0.484
penalty	itanran	anger	0.484
imprisoned	tubu	anger	0.484
mocking	rẹrin	anger	0.484
opposed	lodi	anger	0.484
turbulence	ipọnju	anger	0.483
pound	iwon	anger	0.481
coldness	tutu	anger	0.477
ungrateful	alainidi	anger	0.472
battalion	Battalion	anger	0.471
stoopid	aladugbo	anger	0.471
hostage	idasilẹ	anger	0.470
infidel	alaigbagbọ	anger	0.470
ram	Àgbo	anger	0.470
accuser	olufisun	anger	0.470
gall	gall	anger	0.470
subversion	iyatọ	anger	0.470
annoying	didanubi	anger	0.470
adversity	ipọnju	anger	0.470
dispossessed	ti yọ kuro	anger	0.470
friction	idinkuro	anger	0.470
jealous	owú	anger	0.470
feudalism	feudalism	anger	0.470
armament	ohun ija	anger	0.470
thump	koko	anger	0.469
complain	kero	anger	0.469
incite	jẹ igbiyanju	anger	0.469
steal	ji	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	iṣeduro	anger	0.469
injury	ipalara	anger	0.469
simmer	simmer	anger	0.469
distress	ipọnju	anger	0.469
insanity	aṣiwere	anger	0.469
selfish	amotaraenikan	anger	0.469
huff	huff	anger	0.469
selfishness	amotaraeninikan	anger	0.469
backoff	ipadabọ	anger	0.469
