word	Hawaiian-haw	emotion	emotion-intensity-score
despise	hoʻowahāwahā	anger	0.750
horror	weliweli	anger	0.750
aggravating	hoʻopilikia	anger	0.750
revolting	kipi	anger	0.750
fuckedoff	haohao	anger	0.742
threat	ka weliweli	anger	0.742
erupt	ʻehu	anger	0.742
screaming	e ho'ōho ana	anger	0.742
violence	ka hanaʻino	anger	0.742
horrible	weliweli	anger	0.742
molestation	ʻo ka molestation	anger	0.742
bastards	nā pāpale	anger	0.741
revenge	e hoʻopaʻi	anger	0.738
catastrophe	ka pōʻino	anger	0.735
menacing	he mea weliweli	anger	0.735
demon	ka diabolō	anger	0.735
crushing	e uhaʻi	anger	0.735
damn	hoʻopōʻino	anger	0.735
persecute	e hoʻomaʻau	anger	0.734
argue	ke hoʻopaʻapaʻa	anger	0.734
flog	flog	anger	0.734
revolt	kipi	anger	0.734
thrash	ua hina	anger	0.734
deplore	kūlana	anger	0.734
warfare	kaua	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ikaika	anger	0.734
riotous	haunaele	anger	0.734
altercation	ke hoʻololi	anger	0.729
warlike	ke kaua	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	keʻano	anger	0.727
castrate	ua kiola	anger	0.727
sabotage	hoʻopiʻi	anger	0.727
malevolent	nā poʻe malihini	anger	0.721
strike	ka pāʻani	anger	0.721
disaster	ka pōʻino	anger	0.721
disastrous	pilikia	anger	0.720
tumult	ka nui	anger	0.719
madden	hauʻoli	anger	0.719
devil	diabolo	anger	0.719
scream	uē	anger	0.719
brutal	'ōhumu	anger	0.719
treachery	hoʻopunipuni	anger	0.719
scorching	kūmoho	anger	0.719
vermin	ʻo Vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	kālepa	anger	0.719
aggravates	nā hōʻehaʻeha	anger	0.719
spiteful	pōʻino	anger	0.719
slay	e pepehi	anger	0.719
disdain	hoʻowahāwahā	anger	0.719
choke	e'ō'ō	anger	0.719
bastarding	kūkala	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	kaʻokiʻana	anger	0.714
criminal	hewa	anger	0.714
denunciation	ka hō'āhewa	anger	0.713
punch	punch	anger	0.713
crucifixion	kauʻia	anger	0.712
virulence	virulence	anger	0.712
battled	ua kaua	anger	0.712
fatal	make	anger	0.712
holocaust	holo kuni	anger	0.712
blasphemous	'ōlelo hōʻino	anger	0.712
hurting	eha	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	hoʻokuʻu	anger	0.706
atrocious	ʻokoʻa	anger	0.706
evil	hewa	anger	0.706
irritated	hauʻoli	anger	0.706
assassin	pepehi kanaka	anger	0.703
dicks	nā dicks	anger	0.703
persecution	hoʻomaʻamaʻa	anger	0.703
slayer	pepehi kanaka	anger	0.703
kidnap	hōʻiliʻili	anger	0.703
scolding	e hōʻino ana	anger	0.703
intimidation	hoʻoweliweli	anger	0.703
aggravated	ua hoʻonāukiukiʻia	anger	0.703
aggression	huhū	anger	0.702
armed	nā mea kaua	anger	0.700
poison	kaona	anger	0.697
snarling	hoʻopiʻi	anger	0.697
venom	kaona	anger	0.697
battle	ke kaua	anger	0.697
disgruntled	hoʻopiʻi	anger	0.693
insidious	ʻoʻoleʻa	anger	0.691
assailant	kauā	anger	0.691
resentment	ka huhū	anger	0.691
lynch	keki	anger	0.690
contemptuous	hoʻowahāwahā	anger	0.690
temper	huhū	anger	0.688
imprisonment	hoopaahao	anger	0.688
disparage	disparage	anger	0.688
bully	hoʻonui	anger	0.688
terrible	weliweli	anger	0.688
lunatic	ka lunamaka	anger	0.688
curse	hōʻino	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	pee pee	anger	0.688
domination	ka mana	anger	0.688
mad	huhū	anger	0.688
infanticide	ke kuʻihewaʻole	anger	0.688
volatility	kaʻole	anger	0.687
eradication	palekana	anger	0.685
tantrum	nui	anger	0.682
devastate	e wāwahiʻia	anger	0.682
eradicate	e hoʻopau	anger	0.682
scoundrel	ka mea hōʻailona	anger	0.682
aggressively	me ka huhū	anger	0.680
agitation	ka hoʻonāukiuki	anger	0.680
dictatorship	ka hoʻomalu aupuni	anger	0.676
irritates	ke kaumaha	anger	0.676
profanity	'ōlelo haʻalulu	anger	0.673
egregious	e like me ka inoa	anger	0.672
expletive	nui	anger	0.672
nasty	maikaʻi	anger	0.672
shove	kū	anger	0.672
shot	i ka pana	anger	0.672
harmful	pilikia	anger	0.672
aggravation	ʻo ka hoʻonāukiuki	anger	0.672
contempt	hoʻowahāwahā	anger	0.672
poisonous	nā mea make	anger	0.672
dastardly	me ka wikiwiki	anger	0.672
shoot	ke pana	anger	0.672
corrupting	hewa	anger	0.672
condemnation	hoohewa	anger	0.672
wreak	wreak	anger	0.672
crushed	i paʻi	anger	0.672
cruelly	ma ka'ākau	anger	0.672
crime	hewa	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ka uila	anger	0.667
odious	ino	anger	0.667
shooting	ke kākoʻo	anger	0.667
kick	ʻoki	anger	0.667
aggressive	kūpaʻa	anger	0.667
combat	ke kaua	anger	0.667
shout	ho'ōho	anger	0.667
hit	pā	anger	0.667
fight	kaua	anger	0.667
cutthroat	ooki	anger	0.667
enemy	ʻenemi	anger	0.667
irritable	ʻoluʻolu	anger	0.667
punished	hoʻopaʻi	anger	0.662
ambush	hilinaʻi	anger	0.661
yell	eʻoliʻoli	anger	0.661
harass	pilikia	anger	0.659
malignant	hōʻino	anger	0.656
aggressor	kauā	anger	0.656
antichrist	anikristo	anger	0.656
gore	Gore	anger	0.656
incense	ka meaʻala	anger	0.656
expel	hoʻokuke	anger	0.656
destruction	ʻo ka luku	anger	0.656
grudge	huhū	anger	0.656
cranky	kekuhi	anger	0.653
offended	ua hewa	anger	0.652
spank	kauwela	anger	0.652
growl	nui	anger	0.652
insurrection	nā kipi	anger	0.652
reprisal	make hou	anger	0.652
slave	kauā	anger	0.652
denounce	hōʻole	anger	0.652
animosity	haunaele	anger	0.652
insulting	hōʻino	anger	0.652
clashing	hōʻuluʻulu	anger	0.652
growls	nā mea kani	anger	0.649
executioner	ka mea pepehi	anger	0.644
twat	lua	anger	0.644
doomsday	halaʻole	anger	0.643
daemon	daemon	anger	0.641
obscenity	hewa	anger	0.641
bombard	hoʻopōpō	anger	0.641
spat	kahe	anger	0.641
havoc	ka pōʻino	anger	0.641
feud	make	anger	0.641
grr	ka grr	anger	0.641
arson	ke ahi	anger	0.641
reprimand	pīpē	anger	0.641
expulsion	kipakuʻia	anger	0.641
inexcusable	ʻaʻohe mea kūpono	anger	0.641
accused	hoopii	anger	0.641
indignant	huhū	anger	0.641
shackle	ka wai	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ʻeha	anger	0.636
suicidal	ke suicidal	anger	0.636
poisoned	kaona	anger	0.636
batter	pākuʻi	anger	0.636
kicking	e leka	anger	0.636
hanging	kauʻia	anger	0.636
spanking	mākū	anger	0.636
disgusting	hoʻowahāwahā	anger	0.636
combatant	ke kaua	anger	0.636
frustrated	hauʻoli	anger	0.636
anarchy	anarchy	anger	0.636
glaring	'ōmaʻomaʻo	anger	0.636
inflict	hoʻokomo	anger	0.633
wrecked	weluwelu	anger	0.633
grievous	nui	anger	0.632
prosecute	hoopii	anger	0.630
agitated	ua nui ka huhū	anger	0.630
cheat	ole	anger	0.630
swastika	ka swastika	anger	0.627
defamatory	'ōlelo hōʻino	anger	0.625
suffocation	pilikia	anger	0.625
strife	ke hakakā	anger	0.625
provocation	ka hoʻonāukiuki	anger	0.625
injure	ʻeha	anger	0.625
harassing	hoʻopilikia	anger	0.625
scourge	maʻi	anger	0.625
cursing	pōʻino	anger	0.625
betray	ke kumakaia	anger	0.625
indict	'ōlelo hoʻohewa	anger	0.625
raid	raid	anger	0.625
thundering	nā hekili	anger	0.625
enslaved	hoʻokauwā	anger	0.625
arsehole	arsehole	anger	0.624
insane	pupule	anger	0.621
fiend	ke ahi	anger	0.621
irritate	ke kaumaha	anger	0.621
convict	hewa	anger	0.621
jerk	lil	anger	0.621
theft	ʻaihue	anger	0.621
retaliation	ke hoʻopaʻi	anger	0.621
deprivation	nele	anger	0.621
cussed	Pāleʻa	anger	0.619
turmoil	haunaele	anger	0.618
smack	hoʻokuʻu	anger	0.615
retribution	uku	anger	0.614
twats	nā lālā	anger	0.609
intolerable	pilikia	anger	0.609
rebellion	kipi	anger	0.609
injurious	ino	anger	0.609
oppressor	kaʻenemi	anger	0.609
slavery	ke kauā	anger	0.609
irritability	ke kaumaha	anger	0.609
collision	ka pīkī	anger	0.609
bitterly	eha	anger	0.609
gang	hui	anger	0.609
antagonism	antagonism	anger	0.609
battery	kelepona	anger	0.609
adverse	ke kū'ē	anger	0.609
disgraced	hōʻinoʻia	anger	0.608
irritating	ka huhū	anger	0.606
revolution	ke kipi	anger	0.606
thug	ʻo ia	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	popo	anger	0.606
blast	'ō'ō	anger	0.606
irks	ʻO nā lau	anger	0.606
sickening	maʻi	anger	0.606
discrimination	hoʻokae	anger	0.606
antagonistic	ke kū'ē	anger	0.606
ranting	e hoʻomanaʻo	anger	0.606
asshole	asshole	anger	0.606
frustrate	hōʻeha	anger	0.604
manipulation	hoʻoponopono	anger	0.603
tension	ka paakiki	anger	0.603
insult	hōʻino	anger	0.603
bigot	nui	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ʻeha	anger	0.603
oppression	ka hoʻoluhi	anger	0.603
disgust	hoʻowahāwahā	anger	0.602
spite	pilikia	anger	0.600
intrusive	hika	anger	0.598
harshness	ikaika	anger	0.597
slur	ka slur	anger	0.596
wretch	hewa	anger	0.594
inferno	pilikia	anger	0.594
invasion	kū'ēʻia	anger	0.594
puncture	punki	anger	0.594
miserable	pōʻino	anger	0.594
assail	ke kaua	anger	0.594
storming	ke hoʻoulu	anger	0.594
casualty	ka pōʻino	anger	0.594
bitterness	ʻawaʻawa	anger	0.594
morbidity	ka pōʻino	anger	0.594
tempest	makani	anger	0.594
consternation	pilikia	anger	0.592
depraved	pōʻino	anger	0.591
raving	ana	anger	0.591
guillotine	ke kālani	anger	0.591
guilty	hewa	anger	0.591
immoral	moekolohe	anger	0.591
forcibly	ikaika	anger	0.591
overpowering	lanakila nui	anger	0.591
accursed	e hōʻinoʻia	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	hoʻomanaʻo	anger	0.588
invader	hopena	anger	0.588
scare	makaʻu	anger	0.588
screwed	ua hoʻokuʻuʻia	anger	0.588
indignation	huhū	anger	0.587
jealousy	ka lili	anger	0.587
vexed	hoʻopilikiaʻia	anger	0.586
confront	e hakakā	anger	0.582
brute	ʻokoʻa	anger	0.581
throttle	kāleʻa	anger	0.579
wreck	wreck	anger	0.578
revolver	hoʻoponopono	anger	0.578
slut	ʻike	anger	0.578
yousuck	hoka 'oe	anger	0.578
damage	hewa	anger	0.578
butcher	make	anger	0.578
conflict	kaua	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	hewa	anger	0.578
bickering	nā hakakā	anger	0.578
pillage	pau	anger	0.578
blaze	pale	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ke kī	anger	0.578
contentious	ke kū'ē'ē	anger	0.578
incarceration	ka hoʻokomo	anger	0.578
defiant	hoʻopokohu	anger	0.578
provoking	hoʻonāukiuki	anger	0.578
lash	lapala	anger	0.578
cancer	ka maʻi kanulau	anger	0.577
frustration	pōʻino	anger	0.576
gory	'ōpū	anger	0.576
alienation	ke kūkā	anger	0.576
discord	ke kū'ē	anger	0.576
disturbance	haunaele	anger	0.576
grope	ulu	anger	0.576
condescension	ke kūlike	anger	0.576
pernicious	hala	anger	0.576
blasphemy	'ōlelo hōʻino	anger	0.576
discriminate	ka hoʻokae	anger	0.576
chaotic	'opi	anger	0.576
gun	pū	anger	0.576
standoff	ke kūkala	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunahip	anger	0.574
oppressive	nui loa	anger	0.574
death	make	anger	0.574
jab	jab	anger	0.574
cursed	hōʻinoʻia	anger	0.574
scandalous	haʻalulu	anger	0.574
monstrosity	ka naʻau nui	anger	0.574
shit	kūkā	anger	0.573
disparaging	hoʻopau	anger	0.571
slash	kāpili	anger	0.571
unfair	kūponoʻole	anger	0.571
gallows	ke olokeʻa	anger	0.570
escalate	e piʻi aʻe	anger	0.569
intolerant	ke komoʻole	anger	0.564
lawlessness	hewa	anger	0.563
bluddy	nā meaʻokoʻa	anger	0.562
perdition	hala	anger	0.562
taunt	'ōlelo hōʻino	anger	0.562
grouchy	hauhea	anger	0.562
torpedo	kapiʻi	anger	0.562
deceived	kuhihewaʻia	anger	0.562
slander	haʻi wahaheʻe	anger	0.562
retards	hoʻopiʻi	anger	0.562
bearish	bearish	anger	0.562
invade	hōʻeuʻeu	anger	0.562
bellows	ka makani	anger	0.562
beast	holoholona	anger	0.562
frightful	weliweli	anger	0.562
derogatory	haʻalulu	anger	0.562
glare	ke nānā	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	weliweli	anger	0.562
traitor	ka mea hoʻopunipuni	anger	0.562
malign	hōʻino	anger	0.562
wrangling	e hakakā	anger	0.562
dissension	ke ku e	anger	0.561
banshee	banahee	anger	0.561
shatter	e uhaʻi	anger	0.561
conflagration	pio	anger	0.561
jeopardize	hoʻopilikia	anger	0.561
thief	kaʻaihue	anger	0.561
rave	hana	anger	0.561
grating	ka papaʻana	anger	0.561
devastating	nā pōʻino	anger	0.561
idiots	nā haunaele	anger	0.561
betrayal	ke kumakaia	anger	0.561
uncontrollable	ʻaʻohe kūpono	anger	0.561
fits	kūpono	anger	0.561
cross	ke keʻa	anger	0.561
hurt	ʻeha	anger	0.561
disturbed	pilikia	anger	0.559
subjugation	ka hoʻokuʻu	anger	0.559
stomped	ua wāwae	anger	0.557
grab	hopu	anger	0.557
ticked	uhi	anger	0.556
masochism	pule nui	anger	0.556
grievance	pilikia	anger	0.556
defiance	ke kū'ē	anger	0.552
blackmail	ka hōʻailona	anger	0.550
offensive	hewa	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	hewa	anger	0.547
punishment	ka hoʻopaʻi	anger	0.547
shrill	kūkā	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	pōʻeleʻele	anger	0.547
misery	pōʻino	anger	0.547
frustrates	pōʻino	anger	0.547
disgraceful	hilahila	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	hoʻonāukiuki	anger	0.547
disparity	ka hala	anger	0.547
confine	e kāohi	anger	0.547
firearms	nā pū kī	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	Pāpālua	anger	0.547
rebel	kipi	anger	0.547
deceive	hoʻopunipuni	anger	0.547
stolen	uaʻaihue	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wan wan	anger	0.545
heated	wela	anger	0.545
ruined	ua wāwahiʻia	anger	0.545
menace	weliweli	anger	0.545
humiliate	e hoʻohaʻahaʻa	anger	0.545
tackle	hoʻopiʻi	anger	0.545
conspirator	kipi	anger	0.545
foul	'ōwili	anger	0.545
antagonist	ka mea kū'ē	anger	0.545
resentful	huhū	anger	0.545
prejudice	ke aloha	anger	0.545
adversary	ke kū'ē	anger	0.545
argument	ka pane	anger	0.545
skirmish	nā māmā	anger	0.545
callous	nāwaliwali	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	hoʻopiliʻia	anger	0.544
robbery	pōā	anger	0.544
sting	ke kū	anger	0.544
outcry	'ōhea	anger	0.544
grumble	e'ōhumu	anger	0.544
irreconcilable	hikiʻole ke hele	anger	0.543
resistance	ke kū'ē	anger	0.543
obstructive	ke kūkā	anger	0.542
dismay	hāhā	anger	0.540
mob	poʻe poʻe	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	hewa	anger	0.536
ridicule	ʻakaʻaka	anger	0.534
incendiary	ke ahi	anger	0.533
flares	ke ahi	anger	0.532
degeneracy	ka degeneracy	anger	0.531
confinement	ka paʻa	anger	0.531
exacerbation	ka exacerbation	anger	0.531
prejudicial	ka hoʻonāukiuki	anger	0.531
uprising	ala kū'ē	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	manaʻoʻole	anger	0.531
unbridled	kūponoʻole	anger	0.531
allegation	palapala hōʻaia	anger	0.531
communism	ke kaiapuni	anger	0.531
whip	hahau	anger	0.531
intruder	mea komo	anger	0.531
dispute	hihia	anger	0.531
belittle	ke kuhi	anger	0.531
bigoted	nui	anger	0.530
offender	hewa	anger	0.530
hassle	loaʻa	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ka mea ponoʻole	anger	0.530
dictatorial	ke kākā'ōlelo	anger	0.530
unjustifiable	ʻaʻohe pono	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	ke kuhihewa	anger	0.530
tackled	ua kāheaʻia	anger	0.530
renegade	hōʻole	anger	0.529
hot	wela	anger	0.529
prison	hale paʻahao	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	hala	anger	0.529
suicide	ke pepehi kanaka	anger	0.521
annoy	huhū	anger	0.520
leavemealone	waiho meha iaʻu	anger	0.517
idiotic	ʻikeʻole	anger	0.516
distrust	hilinaʻi	anger	0.516
depravity	hewa	anger	0.516
cretins	nā kūkā	anger	0.516
divorce	hemo	anger	0.516
broil	broil	anger	0.516
grrr	kahe	anger	0.516
venting	ka makani	anger	0.516
inimical	inimical	anger	0.516
duress	ke aliʻi	anger	0.516
disrespectful	hōʻole	anger	0.516
tortious	hewa	anger	0.516
criticize	e hōʻoia	anger	0.516
prisoner	paʻahao	anger	0.516
dishonest	halaʻole	anger	0.516
treason	kipi	anger	0.516
victimized	ka mea i hanaʻia	anger	0.515
bile	bile	anger	0.515
unkind	hanaʻino	anger	0.515
unforgiving	hōloia	anger	0.515
unleash	hoʻokuʻu	anger	0.515
coercion	ka hoʻoikaika	anger	0.515
scold	e uhauha	anger	0.515
chaos	'ūlana	anger	0.515
grump	e'ōhumu	anger	0.515
roar	uwō	anger	0.515
jerks	ke komo	anger	0.515
poaching	poaching	anger	0.515
hangry	ke kuʻi	anger	0.515
pow	mana	anger	0.515
poachers	nā mea kāpena	anger	0.515
argumentation	ʻike	anger	0.515
frustrating	hoʻonāukiuki	anger	0.515
tussle	ke kumu	anger	0.514
bane	e	anger	0.511
accusation	hewa	anger	0.510
repudiation	hoʻopōʻino	anger	0.510
enmity	inaina	anger	0.510
banish	e kue	anger	0.509
disfigured	hōʻole	anger	0.508
storm	kaʻino	anger	0.507
shun	haʻalele	anger	0.500
suppression	hoʻopauʻia	anger	0.500
unruly	ke kipi	anger	0.500
intractable	makemakeʻole	anger	0.500
ordeal	maʻi	anger	0.500
obstruct	pilikia	anger	0.500
derogation	kūkā	anger	0.500
fervor	koa	anger	0.500
foaming	ka pulu	anger	0.500
derision	ka hoʻohenehene	anger	0.500
animus	animus	anger	0.500
rejects	hōʻole	anger	0.500
bout	ka hopena	anger	0.500
spear	ka ihe	anger	0.500
crazy	lōlō	anger	0.500
brazen	kūleʻa	anger	0.500
antithesis	ke kū'ē	anger	0.500
injustice	hewa	anger	0.500
banished	ua hoʻokuʻuʻia	anger	0.500
confined	e hoʻopaʻaʻia	anger	0.500
frenzied	hoʻopiʻi	anger	0.500
dominate	ke aliʻi	anger	0.500
disrupting	e uhaʻi	anger	0.500
hammering	hammering	anger	0.500
fear	ka makaʻu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	eha	anger	0.500
brunt	polina	anger	0.500
possessed	ua loaʻa	anger	0.500
defy	pale	anger	0.500
scoff	haʻaka	anger	0.500
patronising	ke kākoʻo	anger	0.500
delusional	hoʻopunipuni	anger	0.500
malpractice	hewa	anger	0.500
reject	kiola	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	i ke kaumaha	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	hilahila	anger	0.491
sinful	hewa	anger	0.491
avarice	hoʻopōʻino	anger	0.490
oppress	hoʻokaumaha	anger	0.490
disapproved	hōʻoleʻia	anger	0.485
inhuman	hōʻino	anger	0.485
demand	noi	anger	0.485
abolish	hoʻopauʻia	anger	0.485
anathema	hōʻai'ē	anger	0.485
fricking	kūkā	anger	0.485
complaint	hoʻopiʻi	anger	0.485
disservice	ka pani	anger	0.485
smuggler	ka mea maʻa	anger	0.485
revoke	hoʻokuʻu	anger	0.485
infraction	hewa	anger	0.485
