word	Esperanto-eo	emotion	emotion-intensity-score
horrid	horrid	anger	0.833
rampage	rampaĵo	anger	0.833
cruelty	krueleco	anger	0.833
hate	malamo	anger	0.828
demonic	demonia	anger	0.828
hating	malamante	anger	0.828
satanic	satana	anger	0.828
tyrannical	tiranaj	anger	0.828
ragemode	ĉememodo	anger	0.828
despicable	malestiminda	anger	0.828
ruinous	ruinaj	anger	0.825
condemn	kondamnu	anger	0.825
riots	tumultoj	anger	0.824
demolish	malkonstrui	anger	0.824
angry	kolera	anger	0.824
extermination	ekstermado	anger	0.824
dickhead	doko	anger	0.824
livid	livid	anger	0.821
madman	freneza	anger	0.820
vindictive	venĝema	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	krueleco	anger	0.818
venomous	venomaj	anger	0.818
threaten	minacas	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	teroristo	anger	0.818
abhor	abomenu	anger	0.816
savage	sovaĝa	anger	0.814
atrocity	atrocito	anger	0.814
carnage	karno	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misuzo	anger	0.812
tyrant	tirano	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pisita	anger	0.812
vendetta	vendetta	anger	0.812
fierce	sovaĝa	anger	0.812
destroyer	detruanto	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumante	anger	0.812
barbaric	barbara	anger	0.812
anger	kolero	anger	0.811
pieceofshit	peco	anger	0.810
slam	slam	anger	0.803
fights	luktoj	anger	0.803
punched	punĉita	anger	0.803
bitch	perico	anger	0.803
punching	punkante	anger	0.803
homicide	hommortigo	anger	0.803
destructive	destructiva	anger	0.797
ruthless	senkulpa	anger	0.797
villainous	villano	anger	0.797
slap	frapeto	anger	0.791
slaughterhouse	buĉejo	anger	0.788
punishing	punante	anger	0.788
destroyed	detruitaj	anger	0.788
retaliatory	retaliatorio	anger	0.788
riot	ribelo	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	kriante	anger	0.788
growthefuckup	kreskigxas	anger	0.788
diabolical	diabla	anger	0.788
manslaughter	mortigo	anger	0.783
clash	kolizio	anger	0.783
bloody	sanga	anger	0.781
hellish	infero	anger	0.781
loath	malhonoro	anger	0.781
detonation	detonado	anger	0.781
quarrel	kverelo	anger	0.781
sinister	sinistra	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akuzante	anger	0.779
treacherous	perfidulo	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	retaliate	anger	0.773
revulsion	revulsion	anger	0.773
madder	freneza	anger	0.773
horrific	terura	anger	0.773
scorn	malestimo	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bombo	anger	0.766
anarchist	anarkiisma	anger	0.765
devastation	devastado	anger	0.765
resent	resentiĝas	anger	0.765
firestorm	fulmotondro	anger	0.765
contemptible	malestiminda	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kruela	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortiga	anger	0.758
smash	smash	anger	0.758
rant	rabisto	anger	0.758
outburst	eksplodo	anger	0.757
snarl	snarl	anger	0.754
profane	profana	anger	0.750
offend	ofendi	anger	0.750
douchebags	Duĉambroj	anger	0.750
growling	kreskante	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgareco	anger	0.750
dontmesswithme	ne konsentu min	anger	0.750
crazed	kuraĝita	anger	0.750
despise	malestimu	anger	0.750
horror	teruro	anger	0.750
aggravating	pligravigante	anger	0.750
revolting	ribelante	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	minaco	anger	0.742
erupt	erupcion	anger	0.742
screaming	kriante	anger	0.742
violence	perforto	anger	0.742
horrible	hida	anger	0.742
molestation	molestado	anger	0.742
bastards	bastardoj	anger	0.741
revenge	venĝo	anger	0.738
catastrophe	katastrofo	anger	0.735
menacing	minacante	anger	0.735
demon	demono	anger	0.735
crushing	disbatante	anger	0.735
damn	malbenita	anger	0.735
persecute	persekuti	anger	0.734
argue	argumentu	anger	0.734
flog	flog	anger	0.734
revolt	ribelo	anger	0.734
thrash	Thrash	anger	0.734
deplore	Deplore	anger	0.734
warfare	milito	anger	0.734
fedup	nutriĝo	anger	0.734
vehement	vehemente	anger	0.734
riotous	riotaj	anger	0.734
altercation	ŝanĝo	anger	0.729
warlike	milita	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	ribelo	anger	0.727
castrate	kastras	anger	0.727
sabotage	sabotado	anger	0.727
malevolent	malbonfara	anger	0.721
strike	striko	anger	0.721
disaster	katastrofo	anger	0.721
disastrous	desastrosa	anger	0.720
tumult	tumulto	anger	0.719
madden	Madden	anger	0.719
devil	diablo	anger	0.719
scream	krias	anger	0.719
brutal	brutala	anger	0.719
treachery	perfido	anger	0.719
scorching	ĉagrenante	anger	0.719
vermin	mino	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	pligravigas	anger	0.719
spiteful	malbona	anger	0.719
slay	mortigi	anger	0.719
disdain	maldono	anger	0.719
choke	sufoki	anger	0.719
bastarding	bastardaj	anger	0.719
mangle	manglo	anger	0.714
anarchism	anarkiismo	anger	0.714
mutilation	mutilado	anger	0.714
criminal	kriminala	anger	0.714
denunciation	denunco	anger	0.713
punch	punĉo	anger	0.713
crucifixion	krucigo	anger	0.712
virulence	viruleco	anger	0.712
battled	batalis	anger	0.712
fatal	fatala	anger	0.712
holocaust	holokaŭsto	anger	0.712
blasphemous	blasfemaj	anger	0.712
hurting	vundante	anger	0.712
dumbasses	mutaĵoj	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ĉagrenita	anger	0.706
atrocious	atrocaj	anger	0.706
evil	malbone	anger	0.706
irritated	iritis	anger	0.706
assassin	murdisto	anger	0.703
dicks	vortoj	anger	0.703
persecution	persekutado	anger	0.703
slayer	mortiginto	anger	0.703
kidnap	forrabi	anger	0.703
scolding	riproĉante	anger	0.703
intimidation	timigado	anger	0.703
aggravated	pligravigita	anger	0.703
aggression	agreso	anger	0.702
armed	armitaj	anger	0.700
poison	veneno	anger	0.697
snarling	svingante	anger	0.697
venom	veneno	anger	0.697
battle	batalo	anger	0.697
disgruntled	malfeliĉa	anger	0.693
insidious	insida	anger	0.691
assailant	asaltanto	anger	0.691
resentment	rankoro	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	malestima	anger	0.690
temper	tempera	anger	0.688
imprisonment	malliberigo	anger	0.688
disparage	ĉagreni	anger	0.688
bully	bully	anger	0.688
terrible	terura	anger	0.688
lunatic	freneza	anger	0.688
curse	malbeno	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	regado	anger	0.688
mad	freneza	anger	0.688
infanticide	infanmortigo	anger	0.688
volatility	volatilidad	anger	0.687
eradication	erradiko	anger	0.685
tantrum	kuriozo	anger	0.682
devastate	disvenki	anger	0.682
eradicate	elradikigi	anger	0.682
scoundrel	kalumnio	anger	0.682
aggressively	agreseme	anger	0.680
agitation	agitiĝo	anger	0.680
dictatorship	diktatoreco	anger	0.676
irritates	iritas	anger	0.676
profanity	profanidad	anger	0.673
egregious	eksterordinara	anger	0.672
expletive	plenplena	anger	0.672
nasty	malbona	anger	0.672
shove	movu	anger	0.672
shot	pafo	anger	0.672
harmful	malutila	anger	0.672
aggravation	pligravigo	anger	0.672
contempt	malestimo	anger	0.672
poisonous	venena	anger	0.672
dastardly	malĝoje	anger	0.672
shoot	pafi	anger	0.672
corrupting	korupte	anger	0.672
condemnation	kondamno	anger	0.672
wreak	wreak	anger	0.672
crushed	disbatita	anger	0.672
cruelly	kruele	anger	0.672
crime	krimo	anger	0.672
maniac	mania	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupcio	anger	0.667
odious	malaminda	anger	0.667
shooting	pafi	anger	0.667
kick	piedbaton	anger	0.667
aggressive	agresema	anger	0.667
combat	batalo	anger	0.667
shout	krii	anger	0.667
hit	batis	anger	0.667
fight	lukto	anger	0.667
cutthroat	tranĉa kato	anger	0.667
enemy	malamiko	anger	0.667
irritable	irritable	anger	0.667
punished	punita	anger	0.662
ambush	embusko	anger	0.661
yell	kriis	anger	0.661
harass	hostigado	anger	0.659
malignant	maligna	anger	0.656
aggressor	agresanto	anger	0.656
antichrist	antikristo	anger	0.656
gore	gore	anger	0.656
incense	incenso	anger	0.656
expel	forpeli	anger	0.656
destruction	detruo	anger	0.656
grudge	grudge	anger	0.656
cranky	ĉagrenita	anger	0.653
offended	ofendita	anger	0.652
spank	spank	anger	0.652
growl	grumblo	anger	0.652
insurrection	ribelo	anger	0.652
reprisal	represalio	anger	0.652
slave	sklavino	anger	0.652
denounce	denunci	anger	0.652
animosity	kuraĝeco	anger	0.652
insulting	insultante	anger	0.652
clashing	ĉesante	anger	0.652
growls	gregoj	anger	0.649
executioner	ekzekutisto	anger	0.644
twat	twat	anger	0.644
doomsday	finfine	anger	0.643
daemon	demono	anger	0.641
obscenity	obscenidad	anger	0.641
bombard	bombardado	anger	0.641
spat	spat	anger	0.641
havoc	ĉagreni	anger	0.641
feud	feŭdo	anger	0.641
grr	grr	anger	0.641
arson	incendio	anger	0.641
reprimand	riprocado	anger	0.641
expulsion	elpelo	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	akuzita	anger	0.641
indignant	indignigita	anger	0.641
shackle	kruĉu	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	vundo	anger	0.636
suicidal	suicidinto	anger	0.636
poisoned	venenita	anger	0.636
batter	batilo	anger	0.636
kicking	piedbatante	anger	0.636
hanging	pendanta	anger	0.636
spanking	spanking	anger	0.636
disgusting	naŭza	anger	0.636
combatant	batalisto	anger	0.636
frustrated	frustrita	anger	0.636
anarchy	anarkio	anger	0.636
glaring	svingante	anger	0.636
inflict	inflikti	anger	0.633
wrecked	Forkaptita	anger	0.633
grievous	pezaj	anger	0.632
prosecute	procesi	anger	0.630
agitated	agitata	anger	0.630
cheat	trompo	anger	0.630
swastika	Swastiko	anger	0.627
defamatory	difamatorio	anger	0.625
suffocation	sufokado	anger	0.625
strife	malpaco	anger	0.625
provocation	provoko	anger	0.625
injure	vundi	anger	0.625
harassing	persekutadas	anger	0.625
scourge	skurĝo	anger	0.625
cursing	malbenante	anger	0.625
betray	perfidi	anger	0.625
indict	akuzi	anger	0.625
raid	raid	anger	0.625
thundering	tondante	anger	0.625
enslaved	sklavoj	anger	0.625
arsehole	ordonu	anger	0.624
insane	freneza	anger	0.621
fiend	fiend	anger	0.621
irritate	iritas	anger	0.621
convict	kulpulo	anger	0.621
jerk	jerk	anger	0.621
theft	ŝtelo	anger	0.621
retaliation	reprezalioj	anger	0.621
deprivation	senigo	anger	0.621
cussed	cussed	anger	0.619
turmoil	tumulto	anger	0.618
smack	smack	anger	0.615
retribution	repago	anger	0.614
twats	twatoj	anger	0.609
intolerable	netolerebla	anger	0.609
rebellion	ribelo	anger	0.609
injurious	malutila	anger	0.609
oppressor	premo	anger	0.609
slavery	sklaveco	anger	0.609
irritability	irritabilidad	anger	0.609
collision	kolizio	anger	0.609
bitterly	amare	anger	0.609
gang	bando	anger	0.609
antagonism	antagonismo	anger	0.609
battery	kuirilaro	anger	0.609
adverse	adversa	anger	0.609
disgraced	ĉagrenita	anger	0.608
irritating	kolera	anger	0.606
revolution	revolucio	anger	0.606
thug	brako	anger	0.606
diatribe	diatribo	anger	0.606
bombardment	bombado	anger	0.606
blast	eksplodo	anger	0.606
irks	irks	anger	0.606
sickening	malsaniĝante	anger	0.606
discrimination	diskriminacio	anger	0.606
antagonistic	antagonismaj	anger	0.606
ranting	rabante	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustri	anger	0.604
manipulation	manipulado	anger	0.603
tension	streĉiĝo	anger	0.603
insult	insulto	anger	0.603
bigot	granda	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	dolora	anger	0.603
oppression	premo	anger	0.603
disgust	naŭzo	anger	0.602
spite	Malgraŭ	anger	0.600
intrusive	intrusiva	anger	0.598
harshness	malmoleco	anger	0.597
slur	sulko	anger	0.596
wretch	mizera	anger	0.594
inferno	infero	anger	0.594
invasion	invado	anger	0.594
puncture	piko	anger	0.594
miserable	senhava	anger	0.594
assail	pripensu	anger	0.594
storming	ŝtormante	anger	0.594
casualty	akcidento	anger	0.594
bitterness	amareco	anger	0.594
morbidity	morbemo	anger	0.594
tempest	tempesto	anger	0.594
consternation	konsterno	anger	0.592
depraved	depravita	anger	0.591
raving	ravante	anger	0.591
guillotine	gilotino	anger	0.591
guilty	kulpa	anger	0.591
immoral	malmorala	anger	0.591
forcibly	perforte	anger	0.591
overpowering	superpotenca	anger	0.591
accursed	malbenita	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	malklara	anger	0.588
invader	invadanto	anger	0.588
scare	timigi	anger	0.588
screwed	ŝraŭbita	anger	0.588
indignation	indigno	anger	0.587
jealousy	zorgoj	anger	0.587
vexed	maltrankviligita	anger	0.586
confront	alfronti	anger	0.582
brute	malpura	anger	0.581
throttle	trotilo	anger	0.579
wreck	sinistra	anger	0.578
revolver	revolvero	anger	0.578
slut	malklara	anger	0.578
yousuck	vi tusxis	anger	0.578
damage	damaĝo	anger	0.578
butcher	viandisto	anger	0.578
conflict	konflikto	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminaleco	anger	0.578
bickering	bokado	anger	0.578
pillage	frapo	anger	0.578
blaze	ekflamis	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	puĉo	anger	0.578
contentious	malpacema	anger	0.578
incarceration	malliberigo	anger	0.578
defiant	defia	anger	0.578
provoking	provokante	anger	0.578
lash	Lash	anger	0.578
cancer	kancero	anger	0.577
frustration	frustro	anger	0.576
gory	gory	anger	0.576
alienation	alienación	anger	0.576
discord	malakordo	anger	0.576
disturbance	tumulto	anger	0.576
grope	grope	anger	0.576
condescension	kondonscensio	anger	0.576
pernicious	malutila	anger	0.576
blasphemy	blasfemo	anger	0.576
discriminate	diskriminacii	anger	0.576
chaotic	ĥaosa	anger	0.576
gun	pafilon	anger	0.576
standoff	ekstere	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	luno	anger	0.574
oppressive	subpremaj	anger	0.574
death	morto	anger	0.574
jab	jab	anger	0.574
cursed	malbenita	anger	0.574
scandalous	skandala	anger	0.574
monstrosity	monstreco	anger	0.574
shit	mordeto	anger	0.573
disparaging	malklara	anger	0.571
slash	slash	anger	0.571
unfair	maljusta	anger	0.571
gallows	salikoj	anger	0.570
escalate	grimpi	anger	0.569
intolerant	netolerema	anger	0.564
lawlessness	senleĝa	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdado	anger	0.562
taunt	mokado	anger	0.562
grouchy	pikilo	anger	0.562
torpedo	torpedo	anger	0.562
deceived	trompita	anger	0.562
slander	kalumnio	anger	0.562
retards	retardoj	anger	0.562
bearish	bajista	anger	0.562
invade	invadi	anger	0.562
bellows	fuelle	anger	0.562
beast	besto	anger	0.562
frightful	timinda	anger	0.562
derogatory	nekonata	anger	0.562
glare	glarego	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	terura	anger	0.562
traitor	perfidulo	anger	0.562
malign	maligno	anger	0.562
wrangling	batalado	anger	0.562
dissension	malkonsento	anger	0.561
banshee	banshee	anger	0.561
shatter	Disbati	anger	0.561
conflagration	konflagracio	anger	0.561
jeopardize	kompromititaj	anger	0.561
thief	ŝtelisto	anger	0.561
rave	rave	anger	0.561
grating	krado	anger	0.561
devastating	devastador	anger	0.561
idiots	idiotoj	anger	0.561
betrayal	perfido	anger	0.561
uncontrollable	incontrolable	anger	0.561
fits	persvadas	anger	0.561
cross	kruco	anger	0.561
hurt	vundita	anger	0.561
disturbed	maltrankviligita	anger	0.559
subjugation	subjugado	anger	0.559
stomped	eksplodis	anger	0.557
grab	ekpreni	anger	0.557
ticked	tikitaj	anger	0.556
masochism	masochismo	anger	0.556
grievance	Kverelo	anger	0.556
defiance	defio	anger	0.552
blackmail	ĉantaĝo	anger	0.550
offensive	ofensivo	anger	0.549
decry	dekreti	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	seksperfortado	anger	0.547
punishment	puno	anger	0.547
shrill	ruĝa	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	malluma flanko	anger	0.547
misery	mizero	anger	0.547
frustrates	frustra	anger	0.547
disgraceful	hontinda	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	superfortaj	anger	0.547
disparity	disparidad	anger	0.547
confine	limigi	anger	0.547
firearms	armiloj de fajro	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	sensenca	anger	0.547
rebel	ribelulo	anger	0.547
deceive	trompi	anger	0.547
stolen	ŝtelita	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Wanker	anger	0.545
heated	varmigita	anger	0.545
ruined	ruinigita	anger	0.545
menace	minaco	anger	0.545
humiliate	humiligi	anger	0.545
tackle	trakti	anger	0.545
conspirator	konspiro	anger	0.545
foul	malpura	anger	0.545
antagonist	antagonisto	anger	0.545
resentful	resentema	anger	0.545
prejudice	antaŭjuĝo	anger	0.545
adversary	kontraŭulo	anger	0.545
argument	argumento	anger	0.545
skirmish	bataleto	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	implikita	anger	0.544
robbery	ŝtelo	anger	0.544
sting	pikilo	anger	0.544
outcry	krias	anger	0.544
grumble	murmuru	anger	0.544
irreconcilable	nerekonebla	anger	0.543
resistance	rezisto	anger	0.543
obstructive	obstrukcia	anger	0.542
dismay	konsterno	anger	0.540
mob	amaso	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	malboneco	anger	0.536
ridicule	ridindulo	anger	0.534
incendiary	incendiary	anger	0.533
flares	bengalas	anger	0.532
degeneracy	degeneriĝo	anger	0.531
confinement	konfinado	anger	0.531
exacerbation	exacerbación	anger	0.531
prejudicial	malutila	anger	0.531
uprising	ribelo	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	temerara	anger	0.531
unbridled	senbrida	anger	0.531
allegation	akuzo	anger	0.531
communism	komunismo	anger	0.531
whip	vipo	anger	0.531
intruder	entrudulo	anger	0.531
dispute	kverelo	anger	0.531
belittle	batala	anger	0.531
bigoted	bigote	anger	0.530
offender	krimulo	anger	0.530
hassle	ĝeno	anger	0.530
dissonance	disonancia	anger	0.530
unjust	maljusta	anger	0.530
dictatorial	diktatora	anger	0.530
unjustifiable	nedifigebla	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perverseco	anger	0.530
tackled	traktita	anger	0.530
renegade	renegata	anger	0.529
hot	varma	anger	0.529
prison	malliberejo	anger	0.529
cantstandit	kantoj	anger	0.529
trespass	kulpo	anger	0.529
suicide	memmortigo	anger	0.521
annoy	ĝenu	anger	0.520
leavemealone	lasu min sola	anger	0.517
idiotic	idioto	anger	0.516
distrust	malkonfido	anger	0.516
depravity	depravado	anger	0.516
cretins	kretonoj	anger	0.516
divorce	eksedziĝo	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	malamika	anger	0.516
duress	kondukas	anger	0.516
disrespectful	malrespekta	anger	0.516
tortious	turmenta	anger	0.516
criticize	kritiki	anger	0.516
prisoner	malliberulo	anger	0.516
dishonest	malhonesta	anger	0.516
treason	perfido	anger	0.516
victimized	vundita	anger	0.515
bile	bile	anger	0.515
unkind	malafabla	anger	0.515
unforgiving	sengardaj	anger	0.515
unleash	malŝalti	anger	0.515
coercion	coercion	anger	0.515
scold	maldolĉa	anger	0.515
chaos	kaoso	anger	0.515
grump	grump	anger	0.515
roar	soni	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	pulvoro	anger	0.515
poachers	poŝtistoj	anger	0.515
argumentation	argumentado	anger	0.515
frustrating	frustrante	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	akuzo	anger	0.510
repudiation	malakcepti	anger	0.510
enmity	malamikeco	anger	0.510
banish	malpermesi	anger	0.509
disfigured	desfigurado	anger	0.508
storm	ŝtormo	anger	0.507
shun	forkuŝu	anger	0.500
suppression	forigo	anger	0.500
unruly	malobeema	anger	0.500
intractable	neebla	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	obstrukcii	anger	0.500
derogation	nuligo	anger	0.500
fervor	fervoro	anger	0.500
foaming	ŝaŭmo	anger	0.500
derision	mokado	anger	0.500
animus	animus	anger	0.500
rejects	malakceptas	anger	0.500
bout	Bout	anger	0.500
spear	lanco	anger	0.500
crazy	freneza	anger	0.500
brazen	brazen	anger	0.500
antithesis	antitezo	anger	0.500
injustice	maljusteco	anger	0.500
banished	forpelita	anger	0.500
confined	internigita	anger	0.500
frenzied	frenzied	anger	0.500
dominate	regi	anger	0.500
disrupting	interrompante	anger	0.500
hammering	martelo	anger	0.500
fear	timu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angoro	anger	0.500
brunt	brunt	anger	0.500
possessed	posedata	anger	0.500
defy	defii	anger	0.500
scoff	mokas	anger	0.500
patronising	mastrumado	anger	0.500
delusional	delusional	anger	0.500
malpractice	neglektado	anger	0.500
reject	malakcepti	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	malfacileco	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	frenezo	anger	0.491
sinful	pekema	anger	0.491
avarice	avaricia	anger	0.490
oppress	premo	anger	0.490
disapproved	malaprobis	anger	0.485
inhuman	malhumana	anger	0.485
demand	postuli	anger	0.485
abolish	abolicii	anger	0.485
anathema	anatemo	anger	0.485
fricking	frikante	anger	0.485
complaint	plendo	anger	0.485
disservice	malkontenta	anger	0.485
smuggler	contrabandista	anger	0.485
revoke	revoki	anger	0.485
infraction	malobservo	anger	0.485
claw	garra	anger	0.485
dissident	disidento	anger	0.485
pervert	perversa	anger	0.485
incest	incesto	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	malobeema	anger	0.485
usurp	usurp	anger	0.485
alienate	fremdulo	anger	0.485
avenger	vengxanto	anger	0.485
annoyed	ĝenita	anger	0.485
cutting	tranĉante	anger	0.485
disgrace	malhonoro	anger	0.484
deceit	trompo	anger	0.484
suspicious	sospechoso	anger	0.484
thresh	freŝa	anger	0.484
sucker	kukisto	anger	0.484
strained	streĉita	anger	0.484
blame	kulpo	anger	0.484
upheaval	malordo	anger	0.484
renounce	rezigni	anger	0.484
obnoxious	maltrankvila	anger	0.484
restrain	bremsi	anger	0.484
oust	ekstere	anger	0.484
litigious	litigaj	anger	0.484
rivalry	rivaleco	anger	0.484
penalty	puno	anger	0.484
imprisoned	malliberulo	anger	0.484
mocking	mokante	anger	0.484
opposed	kontraŭa	anger	0.484
turbulence	turbuleco	anger	0.483
pound	kolono	anger	0.481
coldness	malvarmo	anger	0.477
ungrateful	nedankema	anger	0.472
battalion	bataliono	anger	0.471
stoopid	stoopido	anger	0.471
hostage	ostaĝo	anger	0.470
infidel	malfidela	anger	0.470
ram	RAM	anger	0.470
accuser	akuzanto	anger	0.470
gall	galo	anger	0.470
subversion	subversio	anger	0.470
annoying	ĝena	anger	0.470
adversity	malfeliĉo	anger	0.470
dispossessed	forpelita	anger	0.470
friction	frotado	anger	0.470
jealous	ĵaluza	anger	0.470
feudalism	feŭdismo	anger	0.470
armament	armilaro	anger	0.470
thump	trompo	anger	0.469
complain	plendi	anger	0.469
incite	instigu	anger	0.469
steal	ŝteli	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	malobeo	anger	0.469
injury	lezo	anger	0.469
simmer	mildigi	anger	0.469
distress	aflikto	anger	0.469
insanity	frenezo	anger	0.469
selfish	egoisma	anger	0.469
huff	huff	anger	0.469
selfishness	egoismo	anger	0.469
backoff	fono	anger	0.469
plunder	prirabado	anger	0.469
stifled	frapis	anger	0.469
subversive	renversema	anger	0.469
exile	ekzilo	anger	0.469
offense	ofendo	anger	0.469
objection	objekton	anger	0.469
recidivism	recidivismo	anger	0.469
smother	sufoki	anger	0.469
perpetrator	perpetranto	anger	0.469
dislike	malŝatas	anger	0.469
disruption	interrompo	anger	0.469
intolerance	maltoleremo	anger	0.469
opposition	opozicio	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mugo	anger	0.467
agony	agonio	anger	0.465
arrogant	aroganta	anger	0.461
sux	sux	anger	0.456
vent	vent	anger	0.456
