word	Cebuano-ceb	emotion	emotion-intensity-score
retaliate	mobalos	anger	0.773
revulsion	pagbag-o	anger	0.773
madder	madder	anger	0.773
horrific	makalilisang	anger	0.773
scorn	pagyubit	anger	0.769
deplorable	makaluluoy	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchist	anger	0.765
devastation	pagkaguba	anger	0.765
resent	masuko	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	talamayon	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	mapintas	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	makamatay	anger	0.758
smash	gun-ob	anger	0.758
rant	salamat	anger	0.758
outburst	pagsupak	anger	0.757
snarl	snarl	anger	0.754
profane	mapasipalahon	anger	0.750
offend	nakasala	anger	0.750
douchebags	douchebags	anger	0.750
growling	nagtigum	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kabastusan	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	tamayon	anger	0.750
horror	horror	anger	0.750
aggravating	naglisud	anger	0.750
revolting	mabangis	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	hulga	anger	0.742
erupt	mibuto	anger	0.742
screaming	pagsinggit	anger	0.742
violence	kapintasan	anger	0.742
horrible	makalilisang	anger	0.742
molestation	molestation	anger	0.742
bastards	bastards	anger	0.741
revenge	panimalos	anger	0.738
catastrophe	katalagman	anger	0.735
menacing	menacing	anger	0.735
demon	demonyo	anger	0.735
crushing	pagdugmok	anger	0.735
damn	damn	anger	0.735
persecute	paglutos	anger	0.734
argue	makiglalis	anger	0.734
flog	pagdaot	anger	0.734
revolt	pag-alsa	anger	0.734
thrash	pagdagan	anger	0.734
deplore	depresyon	anger	0.734
warfare	gubat	anger	0.734
fedup	fedup	anger	0.734
vehement	pag-ayo	anger	0.734
riotous	riotous	anger	0.734
altercation	pagsupak	anger	0.729
warlike	sama sa gubat	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	malevolent	anger	0.721
strike	welga	anger	0.721
disaster	katalagman	anger	0.721
disastrous	malaglag	anger	0.720
tumult	kaguliyang	anger	0.719
madden	madden	anger	0.719
devil	yawa	anger	0.719
scream	singgit	anger	0.719
brutal	brutal	anger	0.719
treachery	pagluib	anger	0.719
scorching	makagun-ob	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	nagpalala	anger	0.719
spiteful	mapintas	anger	0.719
slay	sa pagpatay	anger	0.719
disdain	pagtamay	anger	0.719
choke	nahigmata	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	mutilation	anger	0.714
criminal	kriminal	anger	0.714
denunciation	pagsaway	anger	0.713
punch	punch	anger	0.713
crucifixion	paglansang sa krus	anger	0.712
virulence	virulence	anger	0.712
battled	nakigbisog	anger	0.712
fatal	makamatay	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	mapasipalahon	anger	0.712
hurting	nasakitan	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	giyubit	anger	0.706
atrocious	atrocious	anger	0.706
evil	dautan	anger	0.706
irritated	nasuko	anger	0.706
assassin	mamumuno	anger	0.703
dicks	dicks	anger	0.703
persecution	paglutos	anger	0.703
slayer	slayer	anger	0.703
kidnap	kidnap	anger	0.703
scolding	pagbasol	anger	0.703
intimidation	pagpanghasi	anger	0.703
aggravated	napasamot	anger	0.703
aggression	agresyon	anger	0.702
armed	armado	anger	0.700
poison	hilo	anger	0.697
snarling	snarling	anger	0.697
venom	hilo	anger	0.697
battle	away	anger	0.697
disgruntled	dili maayo	anger	0.693
insidious	maliputon	anger	0.691
assailant	tigpamaba	anger	0.691
resentment	kayugot	anger	0.691
lynch	lynch	anger	0.690
contemptuous	nagatamay	anger	0.690
temper	kasuko	anger	0.688
imprisonment	pagkabilanggo	anger	0.688
disparage	pagdaot	anger	0.688
bully	tigdaog	anger	0.688
terrible	makalilisang	anger	0.688
lunatic	lunatic	anger	0.688
curse	tunglo	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	mitoo	anger	0.688
domination	pagmando	anger	0.688
mad	buang	anger	0.688
infanticide	pagpatay sa masuso	anger	0.688
volatility	pagkasuka	anger	0.687
eradication	pagwagtang	anger	0.685
tantrum	pagmanya	anger	0.682
devastate	malaglag	anger	0.682
eradicate	wagtangon	anger	0.682
scoundrel	daotan	anger	0.682
aggressively	agresibo	anger	0.680
agitation	kasamok	anger	0.680
dictatorship	diktadurya	anger	0.676
irritates	makalagot	anger	0.676
profanity	pagpasipala	anger	0.673
egregious	mabugalbugalon	anger	0.672
expletive	mahulagway	anger	0.672
nasty	daotan	anger	0.672
shove	pagdasig	anger	0.672
shot	gipusil	anger	0.672
harmful	makadaot	anger	0.672
aggravation	pagsamot	anger	0.672
contempt	pagtamay	anger	0.672
poisonous	makahilo	anger	0.672
dastardly	derby	anger	0.672
shoot	shoot	anger	0.672
corrupting	makadaot	anger	0.672
condemnation	panghimaraut	anger	0.672
wreak	wreak	anger	0.672
crushed	nahugno	anger	0.672
cruelly	mapintas	anger	0.672
crime	krimen	anger	0.672
maniac	biniyaan	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruption	anger	0.667
odious	makauulaw	anger	0.667
shooting	shooting	anger	0.667
kick	sipa	anger	0.667
aggressive	agresibo	anger	0.667
combat	away	anger	0.667
shout	singgit	anger	0.667
hit	naigo	anger	0.667
fight	away	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	kaaway	anger	0.667
irritable	masuk-anon	anger	0.667
punished	gisilotan	anger	0.662
ambush	ambush	anger	0.661
yell	mosinggit	anger	0.661
harass	paghasi	anger	0.659
malignant	malignant	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	Antikristo	anger	0.656
gore	gore	anger	0.656
incense	insenso	anger	0.656
expel	pagpalagpot	anger	0.656
destruction	kalaglagan	anger	0.656
grudge	pagdumot	anger	0.656
cranky	grabe	anger	0.653
offended	nasamok	anger	0.652
spank	bunal	anger	0.652
growl	pag-uswag	anger	0.652
insurrection	pag-alsa	anger	0.652
reprisal	pagpanimalos	anger	0.652
slave	ulipon	anger	0.652
denounce	pagpanghimaraut	anger	0.652
animosity	kasuko	anger	0.652
insulting	nanginsulto	anger	0.652
clashing	pagsumpo	anger	0.652
growls	nagtigum	anger	0.649
executioner	tigpatay	anger	0.644
twat	twat	anger	0.644
doomsday	kataposan sa kalibotan	anger	0.643
daemon	daemon	anger	0.641
obscenity	kalaw-ayan	anger	0.641
bombard	bombard	anger	0.641
spat	paglansad	anger	0.641
havoc	kadaot	anger	0.641
feud	away	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	pagsaway	anger	0.641
expulsion	pagpalagpot	anger	0.641
inexcusable	walay ikapangatarongan	anger	0.641
accused	akusado	anger	0.641
indignant	masuko	anger	0.641
shackle	pagdako	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	samad	anger	0.636
suicidal	paghikog	anger	0.636
poisoned	hilo	anger	0.636
batter	batter	anger	0.636
kicking	kicking	anger	0.636
hanging	pagbitay	anger	0.636
spanking	pagpuspusan	anger	0.636
disgusting	dulumtanan	anger	0.636
combatant	away	anger	0.636
frustrated	napakyas	anger	0.636
anarchy	anarkiya	anger	0.636
glaring	makit-an	anger	0.636
inflict	ipahamtang	anger	0.633
wrecked	naguba	anger	0.633
grievous	makalilisang	anger	0.632
prosecute	pagdemanda	anger	0.630
agitated	nabalisa	anger	0.630
cheat	paglimbong	anger	0.630
swastika	swastika	anger	0.627
defamatory	pagpanghimaraut	anger	0.625
suffocation	paghuot	anger	0.625
strife	away	anger	0.625
provocation	paghagit	anger	0.625
injure	pagpasakit	anger	0.625
harassing	pagpanghasi	anger	0.625
scourge	hampak	anger	0.625
cursing	pagtunglo	anger	0.625
betray	pagbudhi	anger	0.625
indict	indict	anger	0.625
raid	raid	anger	0.625
thundering	nagdahunog	anger	0.625
enslaved	naulipon	anger	0.625
arsehole	arsehole	anger	0.624
insane	insane	anger	0.621
fiend	Gisalikway	anger	0.621
irritate	makapalagot	anger	0.621
convict	convict	anger	0.621
jerk	jerk	anger	0.621
theft	pagpangawat	anger	0.621
retaliation	pagbalos	anger	0.621
deprivation	paghikaw	anger	0.621
cussed	nahibal-an	anger	0.619
turmoil	kasamok	anger	0.618
smack	Pahulay	anger	0.615
retribution	retribution	anger	0.614
twats	mga kumbinasyon	anger	0.609
intolerable	dili maantus	anger	0.609
rebellion	pagrebelde	anger	0.609
injurious	makadaot	anger	0.609
oppressor	tigdaugdaug	anger	0.609
slavery	pagkaulipon	anger	0.609
irritability	mapikal	anger	0.609
collision	banggaan	anger	0.609
bitterly	mapait	anger	0.609
gang	gang	anger	0.609
antagonism	antagonismo	anger	0.609
battery	baterya	anger	0.609
adverse	dili maayo	anger	0.609
disgraced	kaulaw	anger	0.608
irritating	makalagot	anger	0.606
revolution	rebolusyon	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	pagbuto	anger	0.606
irks	mga irks	anger	0.606
sickening	sakit	anger	0.606
discrimination	diskriminasyon	anger	0.606
antagonistic	pagsupak	anger	0.606
ranting	nag-agas	anger	0.606
asshole	asshole	anger	0.606
frustrate	pakyason	anger	0.604
manipulation	manipulasyon	anger	0.603
tension	tension	anger	0.603
insult	insulto	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	makadaot	anger	0.603
oppression	pagpanglupig	anger	0.603
disgust	kasuko	anger	0.602
spite	bisan pa niana	anger	0.600
intrusive	intrusive	anger	0.598
harshness	kabangis	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	pagsulong	anger	0.594
puncture	pagbunal	anger	0.594
miserable	makalolooy	anger	0.594
assail	pagsulong	anger	0.594
storming	pagdrayb	anger	0.594
casualty	kaswalti	anger	0.594
bitterness	kapaitan	anger	0.594
morbidity	morbidity	anger	0.594
tempest	bagyo	anger	0.594
consternation	kahadlok	anger	0.592
depraved	nahugawan	anger	0.591
raving	Naglibog	anger	0.591
guillotine	guillotine	anger	0.591
guilty	sad-an	anger	0.591
immoral	imoral	anger	0.591
forcibly	pinugos	anger	0.591
overpowering	madaugon	anger	0.591
accursed	tinunglo	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	pagbaligya	anger	0.588
invader	manlimbong	anger	0.588
scare	mahadlok	anger	0.588
screwed	screwed	anger	0.588
indignation	kasuko	anger	0.587
jealousy	kasina	anger	0.587
vexed	nasamok	anger	0.586
confront	atubang	anger	0.582
brute	brute	anger	0.581
throttle	katulin	anger	0.579
wreck	pagkaguba	anger	0.578
revolver	rebolber	anger	0.578
slut	pagbaligya	anger	0.578
yousuck	yousuck	anger	0.578
damage	kadaot	anger	0.578
butcher	Butcher	anger	0.578
conflict	away	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalidad	anger	0.578
bickering	away	anger	0.578
pillage	pagdaot	anger	0.578
blaze	sunog	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kudeta	anger	0.578
contentious	makiglalis	anger	0.578
incarceration	pagkabilanggo	anger	0.578
defiant	mabudhion	anger	0.578
provoking	nakapahagit	anger	0.578
lash	lash	anger	0.578
cancer	kanser	anger	0.577
frustration	kahigawad	anger	0.576
gory	gory	anger	0.576
alienation	pagbalhin	anger	0.576
discord	panagbingkil	anger	0.576
disturbance	kasamok	anger	0.576
grope	grope	anger	0.576
condescension	pagpaubos	anger	0.576
pernicious	makadaut	anger	0.576
blasphemy	pagpasipala	anger	0.576
discriminate	pagpihigpihig	anger	0.576
chaotic	kaguliyang	anger	0.576
gun	gun	anger	0.576
standoff	away	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	mapig-oton	anger	0.574
death	kamatayon	anger	0.574
jab	jab	anger	0.574
cursed	tinunglo	anger	0.574
scandalous	makauulaw	anger	0.574
monstrosity	pagkalabaw	anger	0.574
shit	shit	anger	0.573
disparaging	pagdaot	anger	0.571
slash	slash	anger	0.571
unfair	dili makatarunganon	anger	0.571
gallows	bitaw	anger	0.570
escalate	nagdagan	anger	0.569
intolerant	dili makatarunganon	anger	0.564
lawlessness	pagkamalinapason	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kapildihan	anger	0.562
taunt	pagbiaybiay	anger	0.562
grouchy	nasuko	anger	0.562
torpedo	torpedo	anger	0.562
deceived	nalimbongan	anger	0.562
slander	pagbutangbutang	anger	0.562
retards	nagpugong	anger	0.562
bearish	bearish	anger	0.562
invade	pagsulong	anger	0.562
bellows	nagtuybo	anger	0.562
beast	mananap	anger	0.562
frightful	makalilisang	anger	0.562
derogatory	pagpakaubos	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	makalilisang	anger	0.562
traitor	traydor	anger	0.562
malign	malign	anger	0.562
wrangling	pagkasuko	anger	0.562
dissension	pagsupak	anger	0.561
banshee	banshee	anger	0.561
shatter	maputol	anger	0.561
conflagration	pagkasunog	anger	0.561
jeopardize	makadaot	anger	0.561
thief	kawatan	anger	0.561
rave	mapainubsanon	anger	0.561
grating	grating	anger	0.561
devastating	makagun-ob	anger	0.561
idiots	idiots	anger	0.561
betrayal	pagbudhi	anger	0.561
uncontrollable	dili mapugngan	anger	0.561
fits	mohaum	anger	0.561
cross	krus	anger	0.561
hurt	nasakitan	anger	0.561
disturbed	nahasol	anger	0.559
subjugation	pagsakop	anger	0.559
stomped	napungot	anger	0.557
grab	ilog	anger	0.557
ticked	gikutlo	anger	0.556
masochism	masochism	anger	0.556
grievance	reklamo	anger	0.556
defiance	pagsupak	anger	0.552
blackmail	blackmail	anger	0.550
offensive	away	anger	0.549
decry	pagdumot	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	paglapas	anger	0.547
punishment	silot	anger	0.547
shrill	Kahadlok	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ngitngit	anger	0.547
misery	pag-antos	anger	0.547
frustrates	nahugno	anger	0.547
disgraceful	makauulaw	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	pagpugong sa kaugalingon	anger	0.547
disparity	disparity	anger	0.547
confine	pagkontrol	anger	0.547
firearms	mga armas	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	wala'y kahulogan	anger	0.547
rebel	rebelde	anger	0.547
deceive	paglimbong	anger	0.547
stolen	gikawat	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	naandan	anger	0.545
ruined	naguba na	anger	0.545
menace	hulga	anger	0.545
humiliate	pagpakaulaw	anger	0.545
tackle	atubangon	anger	0.545
conspirator	Nagplano	anger	0.545
foul	mahugaw	anger	0.545
antagonist	antagonista	anger	0.545
resentful	masuko	anger	0.545
prejudice	pagpihig	anger	0.545
adversary	kaaway	anger	0.545
argument	argumento	anger	0.545
skirmish	panaglalis	anger	0.545
callous	dili maayo	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	nasakitan	anger	0.544
robbery	pagpangawat	anger	0.544
sting	pagsakit	anger	0.544
outcry	pagsinggit	anger	0.544
grumble	pagbagulbol	anger	0.544
irreconcilable	dili mausab	anger	0.543
resistance	pagsukol	anger	0.543
obstructive	obstructive	anger	0.542
dismay	kaguol	anger	0.540
mob	manggugubat	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	pagkadaotan	anger	0.536
ridicule	pagbiaybiay	anger	0.534
incendiary	pagkasunog	anger	0.533
flares	mga flare	anger	0.532
degeneracy	pagkaubos	anger	0.531
confinement	pagkabilanggo	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	mapintas	anger	0.531
uprising	pag-alsa	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	walay pagduha-duha	anger	0.531
unbridled	dili mapugngan	anger	0.531
allegation	alegasyon	anger	0.531
communism	komunismo	anger	0.531
whip	whip	anger	0.531
intruder	intruder	anger	0.531
dispute	panaglalis	anger	0.531
belittle	pagpaubos	anger	0.531
bigoted	gisaway	anger	0.530
offender	sala	anger	0.530
hassle	hassle	anger	0.530
dissonance	disonance	anger	0.530
unjust	dili matarung	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	dili makatarunganon	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	kahiwian	anger	0.530
tackled	gihunahuna	anger	0.530
renegade	maluibon	anger	0.529
hot	init	anger	0.529
prison	bilanggoan	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	paglapas	anger	0.529
suicide	paghikog	anger	0.521
annoy	nasamok	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotic	anger	0.516
distrust	pagsalig	anger	0.516
depravity	pagkadautan	anger	0.516
cretins	cretins	anger	0.516
divorce	diborsyo	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	pagpahungaw	anger	0.516
inimical	makadaot	anger	0.516
duress	pagpugos	anger	0.516
disrespectful	dili matinahuron	anger	0.516
tortious	tortious	anger	0.516
criticize	pagsaway	anger	0.516
prisoner	binilanggo	anger	0.516
dishonest	dili matinud-anon	anger	0.516
treason	pagbudhi	anger	0.516
victimized	biktima	anger	0.515
bile	bile	anger	0.515
unkind	dili maayo	anger	0.515
unforgiving	dili mapasayloon	anger	0.515
unleash	pagpagawas	anger	0.515
coercion	pagpamugos	anger	0.515
scold	Gikasab-an	anger	0.515
chaos	kagubot	anger	0.515
grump	grump	anger	0.515
roar	Tingog	anger	0.515
jerks	jerks	anger	0.515
poaching	pagpanguha	anger	0.515
hangry	pagbitay	anger	0.515
pow	pow	anger	0.515
poachers	mga mangangayam	anger	0.515
argumentation	argumento	anger	0.515
frustrating	makapahigawad	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	akusasyon	anger	0.510
repudiation	pagsalikway	anger	0.510
enmity	pagdumot	anger	0.510
banish	papahawaa	anger	0.509
disfigured	nangaguba	anger	0.508
storm	bagyo	anger	0.507
shun	likayan	anger	0.500
suppression	pagsumpo	anger	0.500
unruly	dili matarug	anger	0.500
intractable	dili mapugngan	anger	0.500
ordeal	kalisdanan	anger	0.500
obstruct	pagbabag	anger	0.500
derogation	pagkawala	anger	0.500
fervor	kadasig	anger	0.500
foaming	nagabula	anger	0.500
derision	pagbiaybiay	anger	0.500
animus	animus	anger	0.500
rejects	nagsalikway	anger	0.500
bout	bout	anger	0.500
spear	sibat	anger	0.500
crazy	buang	anger	0.500
brazen	brazen	anger	0.500
antithesis	antitesis	anger	0.500
injustice	inhustisya	anger	0.500
banished	gibiyaan	anger	0.500
confined	nahimutang	anger	0.500
frenzied	nahadlok	anger	0.500
dominate	nagmando	anger	0.500
disrupting	makadaot	anger	0.500
hammering	nangayo	anger	0.500
fear	kahadlok	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	kasubo	anger	0.500
brunt	brunt	anger	0.500
possessed	gipanag-iya	anger	0.500
defy	pagsupak	anger	0.500
scoff	pagtamay	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	pagsalikway	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kusog	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	kabuang	anger	0.491
sinful	makasasala	anger	0.491
avarice	pagkalipay	anger	0.490
oppress	pagpig-ot	anger	0.490
disapproved	wala mouyon	anger	0.485
inhuman	dili tawhanon	anger	0.485
demand	panginahanglan	anger	0.485
abolish	pagwagtang	anger	0.485
anathema	anathema	anger	0.485
fricking	naglibog	anger	0.485
complaint	reklamo	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	bawian	anger	0.485
infraction	pagsupak	anger	0.485
claw	claw	anger	0.485
dissident	pagsupak	anger	0.485
pervert	hiwi	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	dili masinugtanon	anger	0.485
usurp	usurp	anger	0.485
alienate	alienate	anger	0.485
avenger	tigpanimalos	anger	0.485
annoyed	nasuko	anger	0.485
cutting	pagputol	anger	0.485
disgrace	kaulaw	anger	0.484
deceit	pagpanglimbong	anger	0.484
suspicious	katahap	anger	0.484
thresh	thresh	anger	0.484
sucker	sucker	anger	0.484
strained	pilit	anger	0.484
blame	gibasol	anger	0.484
upheaval	kagubot	anger	0.484
renounce	isalikway	anger	0.484
obnoxious	makauulaw	anger	0.484
restrain	pagpugong	anger	0.484
oust	pagpalagpot	anger	0.484
litigious	litigious	anger	0.484
rivalry	panag-indig	anger	0.484
penalty	silot	anger	0.484
imprisoned	gibilanggo	anger	0.484
mocking	pagbugalbugal	anger	0.484
opposed	supak	anger	0.484
turbulence	kasamok	anger	0.483
pound	pound	anger	0.481
coldness	kabugnaw	anger	0.477
ungrateful	dili mapasalamaton	anger	0.472
battalion	batalyon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	hostage	anger	0.470
infidel	dili magtotoo	anger	0.470
ram	karnero	anger	0.470
accuser	akusado	anger	0.470
gall	apdo	anger	0.470
subversion	pagkalaglag	anger	0.470
annoying	makalagot	anger	0.470
adversity	kalisdanan	anger	0.470
dispossessed	gipagawas	anger	0.470
friction	pagkalibang	anger	0.470
jealous	abughoan	anger	0.470
feudalism	pyudalismo	anger	0.470
armament	armament	anger	0.470
thump	dugmok	anger	0.469
complain	moreklamo	anger	0.469
incite	pagdasig	anger	0.469
steal	mangawat	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
