word	Finnish-fi	emotion	emotion-intensity-score
angry	suuttunut	anger	0.824
extermination	tuhoaminen	anger	0.824
dickhead	kusipää	anger	0.824
livid	raivoissaan	anger	0.821
madman	hullu	anger	0.820
vindictive	kostonhimoinen	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	julmuus	anger	0.818
venomous	myrkyllinen	anger	0.818
threaten	uhata	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terroristi	anger	0.818
abhor	inhota	anger	0.816
savage	raivoisa	anger	0.814
atrocity	julmuus	anger	0.814
carnage	verilöyly	anger	0.814
berserk	sekaisin	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	väärinkäyttö	anger	0.812
tyrant	tyranni	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	vihainen	anger	0.812
vendetta	verikosto	anger	0.812
fierce	raju	anger	0.812
destroyer	hävittäjä	anger	0.812
pissesmeoff	ottaa päähän	anger	0.812
fuming	savuava	anger	0.812
barbaric	sivistymätön	anger	0.812
anger	suututtaa	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	läjähtää	anger	0.803
fights	taistelee	anger	0.803
punched	lävistettyjä	anger	0.803
bitch	narttu	anger	0.803
punching	lävistys	anger	0.803
homicide	murha	anger	0.803
destructive	tuhoisa	anger	0.797
ruthless	häikäilemätön	anger	0.797
villainous	häijy	anger	0.797
slap	läimäys	anger	0.791
slaughterhouse	teurastamo	anger	0.788
punishing	rankaisee	anger	0.788
destroyed	tuhonnut	anger	0.788
retaliatory	vastatoimet	anger	0.788
riot	mellakka	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	huutaa	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	pirullinen	anger	0.788
manslaughter	tappo	anger	0.783
clash	yhteentörmäys	anger	0.783
bloody	verinen	anger	0.781
hellish	helvetillinen	anger	0.781
loath	haluton	anger	0.781
detonation	räjähdys	anger	0.781
quarrel	riidellä	anger	0.781
sinister	synkkä	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	syyttäen	anger	0.779
treacherous	petollinen	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	kostaa	anger	0.773
revulsion	inho	anger	0.773
madder	värimatara	anger	0.773
horrific	kauhistuttava	anger	0.773
scorn	halveksia	anger	0.769
deplorable	valitettava	anger	0.766
bomb	pommi	anger	0.766
anarchist	anarkisti	anger	0.765
devastation	tuho	anger	0.765
resent	paheksua	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	halveksittava	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	julma	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	tappava	anger	0.758
smash	murskata	anger	0.758
rant	paasaus	anger	0.758
outburst	tunteenpurkaus	anger	0.757
snarl	sotkea	anger	0.754
profane	epäpyhä	anger	0.750
offend	loukata	anger	0.750
douchebags	douchebags	anger	0.750
growling	urina	anger	0.750
stfu	STFU	anger	0.750
vulgarity	mauttomuus	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	hullu	anger	0.750
despise	halveksia	anger	0.750
horror	kauhu	anger	0.750
aggravating	raskauttava	anger	0.750
revolting	vastenmielinen	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	uhkaus	anger	0.742
erupt	puhjeta	anger	0.742
screaming	kirkuva	anger	0.742
violence	väkivalta	anger	0.742
horrible	kamala	anger	0.742
molestation	ahdistelu	anger	0.742
bastards	paskiaiset	anger	0.741
revenge	kosto	anger	0.738
catastrophe	katastrofi	anger	0.735
menacing	uhkaava	anger	0.735
demon	demoni	anger	0.735
crushing	murskaava	anger	0.735
damn	kirottu	anger	0.735
persecute	vainota	anger	0.734
argue	väitellä	anger	0.734
flog	ruoskia	anger	0.734
revolt	kapina	anger	0.734
thrash	puida	anger	0.734
deplore	valittaa	anger	0.734
warfare	sodankäynti	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	kiivas	anger	0.734
riotous	riehakas	anger	0.734
altercation	kiista	anger	0.729
warlike	sotaisa	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	kapina	anger	0.727
castrate	kuohita	anger	0.727
sabotage	sabotoida	anger	0.727
malevolent	pahansuopa	anger	0.721
strike	lakko	anger	0.721
disaster	katastrofi	anger	0.721
disastrous	tuhoisa	anger	0.720
tumult	sekasorto	anger	0.719
madden	tehdä hulluksi	anger	0.719
devil	paholainen	anger	0.719
scream	huutaa	anger	0.719
brutal	julma	anger	0.719
treachery	petollisuus	anger	0.719
scorching	paahtavan kuuma	anger	0.719
vermin	syöpäläiset	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	Horseshit	anger	0.719
aggravates	pahentaa	anger	0.719
spiteful	ilkeä	anger	0.719
slay	surmata	anger	0.719
disdain	ylenkatse	anger	0.719
choke	tukehtua	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mankeli	anger	0.714
anarchism	anarkismi	anger	0.714
mutilation	silpominen	anger	0.714
criminal	rikollinen	anger	0.714
denunciation	tuomitseminen	anger	0.713
punch	booli	anger	0.713
crucifixion	ristiinnaulitseminen	anger	0.712
virulence	virulenssi	anger	0.712
battled	taisteli	anger	0.712
fatal	kohtalokas	anger	0.712
holocaust	holokausti	anger	0.712
blasphemous	herjaava	anger	0.712
hurting	vahingoittaa	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	häiriintynyt	anger	0.706
atrocious	julma	anger	0.706
evil	paha	anger	0.706
irritated	ärtynyt	anger	0.706
assassin	salamurhaaja	anger	0.703
dicks	Dicks	anger	0.703
persecution	vaino	anger	0.703
slayer	Slayer	anger	0.703
kidnap	siepata	anger	0.703
scolding	haukkumiset	anger	0.703
intimidation	uhkailu	anger	0.703
aggravated	paheneminen	anger	0.703
aggression	aggressio	anger	0.702
armed	aseistettu	anger	0.700
poison	myrkyttää	anger	0.697
snarling	sotkeutumista	anger	0.697
venom	myrkky	anger	0.697
battle	taistelu	anger	0.697
disgruntled	tyytymätön	anger	0.693
insidious	salakavala	anger	0.691
assailant	hyökkääjä	anger	0.691
resentment	kauna	anger	0.691
lynch	lynkata	anger	0.690
contemptuous	halveksiva	anger	0.690
temper	luonne	anger	0.688
imprisonment	vankeus	anger	0.688
disparage	väheksyä	anger	0.688
bully	kiusata	anger	0.688
terrible	kauhea	anger	0.688
lunatic	hullu	anger	0.688
curse	kirous	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	kiukkuinen	anger	0.688
domination	ylivalta	anger	0.688
mad	hullu	anger	0.688
infanticide	lapsenmurha	anger	0.688
volatility	haihtuvuus	anger	0.687
eradication	hävittämiseksi	anger	0.685
tantrum	kiukuttelu	anger	0.682
devastate	tuhota	anger	0.682
eradicate	hävittää	anger	0.682
scoundrel	roisto	anger	0.682
aggressively	aggressiivisesti	anger	0.680
agitation	levottomuus	anger	0.680
dictatorship	diktatuuri	anger	0.676
irritates	ärsyttää	anger	0.676
profanity	rienaus	anger	0.673
egregious	törkeä	anger	0.672
expletive	voimasana	anger	0.672
nasty	ilkeä	anger	0.672
shove	työntää	anger	0.672
shot	laukaus	anger	0.672
harmful	haitallinen	anger	0.672
aggravation	paheneminen	anger	0.672
contempt	ylenkatse	anger	0.672
poisonous	Varo myrkyllistä	anger	0.672
dastardly	viheliäinen	anger	0.672
shoot	ampua	anger	0.672
corrupting	turmelee	anger	0.672
condemnation	tuomitseminen	anger	0.672
wreak	purkaa	anger	0.672
crushed	murskattu	anger	0.672
cruelly	julmasti	anger	0.672
crime	rikollisuus	anger	0.672
maniac	hullu	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	purkaus	anger	0.667
odious	vastenmielinen	anger	0.667
shooting	ammunta	anger	0.667
kick	potkia	anger	0.667
aggressive	aggressiivinen	anger	0.667
combat	taistelu	anger	0.667
shout	huutaa	anger	0.667
hit	osuma	anger	0.667
fight	taistella	anger	0.667
cutthroat	murhamies	anger	0.667
enemy	vihollinen	anger	0.667
irritable	ärtyisä	anger	0.667
punished	rangaistaan	anger	0.662
ambush	väijytys	anger	0.661
yell	huutaa	anger	0.661
harass	häiritä	anger	0.659
malignant	pahanlaatuinen	anger	0.656
aggressor	hyökkäävä puoli	anger	0.656
antichrist	antikristus	anger	0.656
gore	hurme	anger	0.656
incense	suitsuke	anger	0.656
expel	karkottaa	anger	0.656
destruction	tuho	anger	0.656
grudge	kauna	anger	0.656
cranky	äkäinen	anger	0.653
offended	loukkaantunut	anger	0.652
spank	läimäys	anger	0.652
growl	murista	anger	0.652
insurrection	kapina	anger	0.652
reprisal	kosto	anger	0.652
slave	orja	anger	0.652
denounce	tuomita	anger	0.652
animosity	vihamielisyys jtk kohtaan	anger	0.652
insulting	loukkaavia	anger	0.652
clashing	clashing	anger	0.652
growls	murisee	anger	0.649
executioner	pyöveli	anger	0.644
twat	kusipää	anger	0.644
doomsday	tuomiopäivä	anger	0.643
daemon	demoni	anger	0.641
obscenity	törkeys	anger	0.641
bombard	pommittaa	anger	0.641
spat	nahina	anger	0.641
havoc	hävitys	anger	0.641
feud	vihanpito	anger	0.641
grr	GRR	anger	0.641
arson	tuhopoltto	anger	0.641
reprimand	nuhtelu	anger	0.641
expulsion	karkotus	anger	0.641
inexcusable	anteeksiantamaton	anger	0.641
accused	syytetty	anger	0.641
indignant	tuohtunut	anger	0.641
shackle	kahlehtia	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	haava	anger	0.636
suicidal	itsemurha-	anger	0.636
poisoned	myrkytetty	anger	0.636
batter	taikina	anger	0.636
kicking	potkiminen	anger	0.636
hanging	riippuva	anger	0.636
spanking	selkäsauna	anger	0.636
disgusting	ällöttävä	anger	0.636
combatant	taistelija	anger	0.636
frustrated	turhautunut	anger	0.636
anarchy	anarkia	anger	0.636
glaring	räikeä	anger	0.636
inflict	aiheuttaa	anger	0.633
wrecked	haaksirikkoutui	anger	0.633
grievous	tuskallinen	anger	0.632
prosecute	syyttää	anger	0.630
agitated	kiihtynyt	anger	0.630
cheat	huijata	anger	0.630
swastika	hakaristi	anger	0.627
defamatory	häpäisevä	anger	0.625
suffocation	tukehtuminen	anger	0.625
strife	riita	anger	0.625
provocation	provokaatio	anger	0.625
injure	vahingoittaa	anger	0.625
harassing	ahdistelu	anger	0.625
scourge	vitsaus	anger	0.625
cursing	kiroilu	anger	0.625
betray	pettää	anger	0.625
indict	syyttää	anger	0.625
raid	ratsia	anger	0.625
thundering	mahtava	anger	0.625
enslaved	orjuutettu	anger	0.625
arsehole	arsehole	anger	0.624
insane	hullu	anger	0.621
fiend	intoilija	anger	0.621
irritate	ottaa päähän	anger	0.621
convict	tuomittu	anger	0.621
jerk	ääliö	anger	0.621
theft	varkaus	anger	0.621
retaliation	kosto	anger	0.621
deprivation	riistäminen	anger	0.621
cussed	itsepäinen	anger	0.619
turmoil	kuohunta	anger	0.618
smack	maiskuttaa	anger	0.615
retribution	rangaistus	anger	0.614
twats	twats	anger	0.609
intolerable	sietämätön	anger	0.609
rebellion	kapina	anger	0.609
injurious	vahingollinen	anger	0.609
oppressor	sortaja	anger	0.609
slavery	orjuus	anger	0.609
irritability	ärtyvyys	anger	0.609
collision	törmäys	anger	0.609
bitterly	karvaasti	anger	0.609
gang	jengi	anger	0.609
antagonism	antagonismi	anger	0.609
battery	akku	anger	0.609
adverse	haitallinen	anger	0.609
disgraced	nolottaa	anger	0.608
irritating	ärsyttävä	anger	0.606
revolution	vallankumous	anger	0.606
thug	roisto	anger	0.606
diatribe	kiivas hyökkäys	anger	0.606
bombardment	pommitus	anger	0.606
blast	räjähdys	anger	0.606
irks	irks	anger	0.606
sickening	kuvottava	anger	0.606
discrimination	syrjintä	anger	0.606
antagonistic	vihamielinen	anger	0.606
ranting	ranting	anger	0.606
asshole	kusipää	anger	0.606
frustrate	turhauttaa	anger	0.604
manipulation	manipulointi	anger	0.603
tension	jännitys	anger	0.603
insult	loukkaus	anger	0.603
bigot	kiihkoilija	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	loukkaava	anger	0.603
oppression	sorto	anger	0.603
disgust	inho	anger	0.602
spite	huolimatta	anger	0.600
intrusive	tunkeileva	anger	0.598
harshness	kovuudessa	anger	0.597
slur	loukkaus	anger	0.596
wretch	raukka	anger	0.594
inferno	helvetti	anger	0.594
invasion	invaasio	anger	0.594
puncture	punktio	anger	0.594
miserable	kurja	anger	0.594
assail	ahdistaa	anger	0.594
storming	storming	anger	0.594
casualty	uhri	anger	0.594
bitterness	katkeruus	anger	0.594
morbidity	sairastuvuus	anger	0.594
tempest	myrsky	anger	0.594
consternation	tyrmistys	anger	0.592
depraved	turmeltunut	anger	0.591
raving	raivoava	anger	0.591
guillotine	giljotiini	anger	0.591
guilty	syyllinen	anger	0.591
immoral	moraaliton	anger	0.591
forcibly	pakolla	anger	0.591
overpowering	vastustamaton	anger	0.591
accursed	kirottu	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	niskoitteleva	anger	0.588
invader	maahanhyökkääjä	anger	0.588
scare	pelästyttää	anger	0.588
screwed	ruuvattu	anger	0.588
indignation	närkästys	anger	0.587
jealousy	mustasukkaisuus	anger	0.587
vexed	ärtynyt	anger	0.586
confront	kohdata	anger	0.582
brute	eläimellinen	anger	0.581
throttle	kuristin	anger	0.579
wreck	tuhota	anger	0.578
revolver	revolveri	anger	0.578
slut	lutka	anger	0.578
yousuck	sinä olet syvältä	anger	0.578
damage	vahingoittaa	anger	0.578
butcher	lihakauppias	anger	0.578
conflict	konflikti	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	rikollisuus	anger	0.578
bickering	kinastelu	anger	0.578
pillage	ryöstely	anger	0.578
blaze	loimu	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	vallankaappaus	anger	0.578
contentious	riidanalainen	anger	0.578
incarceration	vangitseminen	anger	0.578
defiant	uhmakas	anger	0.578
provoking	provosoi	anger	0.578
lash	luimia	anger	0.578
cancer	syöpä	anger	0.577
frustration	pettymys	anger	0.576
gory	kammottava	anger	0.576
alienation	vieraantuminen	anger	0.576
discord	eripuraisuus	anger	0.576
disturbance	häiriö	anger	0.576
grope	hipelöidä	anger	0.576
condescension	alentuvaisuus	anger	0.576
pernicious	turmiollinen	anger	0.576
blasphemy	jumalanpilkka	anger	0.576
discriminate	syrjiä	anger	0.576
chaotic	kaoottinen	anger	0.576
gun	ase	anger	0.576
standoff	pattitilanne	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	ivata	anger	0.574
lunacy	järjettömyys	anger	0.574
oppressive	ahdistava	anger	0.574
death	kuolema	anger	0.574
jab	tökätä	anger	0.574
cursed	kirottu	anger	0.574
scandalous	pöyristyttävä	anger	0.574
monstrosity	rumilus	anger	0.574
shit	paska	anger	0.573
disparaging	väheksyvä	anger	0.571
slash	kauttaviiva	anger	0.571
unfair	epäoikeudenmukainen	anger	0.571
gallows	hirsipuu	anger	0.570
escalate	laajeta	anger	0.569
intolerant	suvaitsematon	anger	0.564
lawlessness	laittomuuden	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kadotus	anger	0.562
taunt	kiusata	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	petti	anger	0.562
slander	herjata	anger	0.562
retards	hidastaa	anger	0.562
bearish	karhumainen	anger	0.562
invade	hyökätä	anger	0.562
bellows	palkeet	anger	0.562
beast	peto	anger	0.562
frightful	pelottava	anger	0.562
derogatory	halventava	anger	0.562
glare	mulkoilla	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	kauhea	anger	0.562
traitor	petturi	anger	0.562
malign	parjata	anger	0.562
wrangling	kinastelu	anger	0.562
dissension	eripuraisuus	anger	0.561
banshee	banshee	anger	0.561
shatter	särkeä	anger	0.561
conflagration	suurpalo	anger	0.561
jeopardize	vaarantaa	anger	0.561
thief	varas	anger	0.561
rave	rave	anger	0.561
grating	säleikkö	anger	0.561
devastating	tuhoisa	anger	0.561
idiots	idiootteja	anger	0.561
betrayal	petos	anger	0.561
uncontrollable	hillitön	anger	0.561
fits	sopii	anger	0.561
cross	ylittää	anger	0.561
hurt	satuttaa	anger	0.561
disturbed	häiriintynyt	anger	0.559
subjugation	alistamista	anger	0.559
stomped	polki	anger	0.557
grab	napata	anger	0.557
ticked	rasti	anger	0.556
masochism	masokismi	anger	0.556
grievance	epäkohta	anger	0.556
defiance	uhma	anger	0.552
blackmail	kiristää	anger	0.550
offensive	hyökkäys	anger	0.549
decry	halventaa	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	rikkominen	anger	0.547
punishment	rankaiseminen	anger	0.547
shrill	kimeä	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	pimeä puoli	anger	0.547
misery	kurjuus	anger	0.547
frustrates	turhauttaa	anger	0.547
disgraceful	häpeällinen	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	dominoiva	anger	0.547
disparity	erilaisuus	anger	0.547
confine	rajoittaa	anger	0.547
firearms	ampuma	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	mieletön	anger	0.547
rebel	kapinallinen	anger	0.547
deceive	pettää	anger	0.547
stolen	varastettu	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	runkkari	anger	0.545
heated	lämmitetty	anger	0.545
ruined	pilalla	anger	0.545
menace	uhka	anger	0.545
humiliate	nöyryyttää	anger	0.545
tackle	taklaus	anger	0.545
conspirator	salaliittolainen	anger	0.545
foul	virhe	anger	0.545
antagonist	antagonisti	anger	0.545
resentful	ärtynyt	anger	0.545
prejudice	ennakkoluulo	anger	0.545
adversary	vastustaja	anger	0.545
argument	Perustelu	anger	0.545
skirmish	kahakka	anger	0.545
callous	tunteeton	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	kietoutunut	anger	0.544
robbery	ryöstö	anger	0.544
sting	pisto	anger	0.544
outcry	protestointi	anger	0.544
grumble	marmattaa	anger	0.544
irreconcilable	sovittamaton	anger	0.543
resistance	vastus	anger	0.543
obstructive	tukkiva	anger	0.542
dismay	tyrmistys	anger	0.540
mob	väkijoukko	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	pahuus	anger	0.536
ridicule	pilkka	anger	0.534
incendiary	palopommi	anger	0.533
flares	soihdut	anger	0.532
degeneracy	rappeutuminen	anger	0.531
confinement	synnytys	anger	0.531
exacerbation	paheneminen	anger	0.531
prejudicial	haitallinen	anger	0.531
uprising	kansannousu	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	holtiton	anger	0.531
unbridled	hillitön	anger	0.531
allegation	väite	anger	0.531
communism	kommunismi	anger	0.531
whip	ruoska	anger	0.531
intruder	tunkeutuja	anger	0.531
dispute	riita	anger	0.531
belittle	vähätellä	anger	0.531
bigoted	kiihkoileva	anger	0.530
offender	rikollinen	anger	0.530
hassle	hässäkkä	anger	0.530
dissonance	eripuraisuus	anger	0.530
unjust	epäoikeudenmukainen	anger	0.530
dictatorial	diktatorinen	anger	0.530
unjustifiable	tuomittava	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversio	anger	0.530
tackled	puututtava	anger	0.530
renegade	luopio	anger	0.529
hot	kuuma	anger	0.529
prison	vankila	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	rikkomus	anger	0.529
suicide	itsemurha	anger	0.521
annoy	ärsyttää	anger	0.520
leavemealone	Jätä minut rauhaan	anger	0.517
idiotic	typerä	anger	0.516
distrust	epäluottamus	anger	0.516
depravity	turmelus	anger	0.516
cretins	cretins	anger	0.516
divorce	avioero	anger	0.516
broil	paahtaa	anger	0.516
grrr	grrr	anger	0.516
venting	tuuletus	anger	0.516
inimical	vihamielinen	anger	0.516
duress	pakko	anger	0.516
disrespectful	epäkunnioittava	anger	0.516
tortious	rikkomuksellista	anger	0.516
criticize	arvostella	anger	0.516
prisoner	vanki	anger	0.516
dishonest	epärehellinen	anger	0.516
treason	maanpetos	anger	0.516
victimized	kostotoimien	anger	0.515
bile	sappi	anger	0.515
unkind	epäystävällinen	anger	0.515
unforgiving	anteeksiantamaton	anger	0.515
unleash	päästää valloilleen	anger	0.515
coercion	pakko	anger	0.515
scold	röykyttää	anger	0.515
chaos	kaaos	anger	0.515
grump	grump	anger	0.515
roar	karjaisu	anger	0.515
jerks	nykäyksiä	anger	0.515
poaching	salametsästys	anger	0.515
hangry	HANGRY	anger	0.515
pow	sotavanki	anger	0.515
poachers	salametsästäjät	anger	0.515
argumentation	väittely	anger	0.515
frustrating	turhauttava	anger	0.515
tussle	tappelu	anger	0.514
bane	kirous	anger	0.511
accusation	syytös	anger	0.510
repudiation	kieltäminen	anger	0.510
enmity	vihamielisyys	anger	0.510
banish	karkottaa maasta	anger	0.509
disfigured	häirinneet	anger	0.508
storm	myrsky	anger	0.507
shun	karttaa	anger	0.500
suppression	tukahduttaminen	anger	0.500
unruly	kuriton	anger	0.500
intractable	hankala	anger	0.500
ordeal	koettelemus	anger	0.500
obstruct	estää	anger	0.500
derogation	poikkeus	anger	0.500
fervor	kiihkeys	anger	0.500
foaming	vaahtoamista	anger	0.500
derision	pilkka	anger	0.500
animus	Animus	anger	0.500
rejects	hylkää	anger	0.500
bout	ottelu	anger	0.500
spear	keihäs	anger	0.500
crazy	hullu	anger	0.500
brazen	röyhkeä	anger	0.500
antithesis	antiteesi	anger	0.500
injustice	epäoikeudenmukaisuus	anger	0.500
banished	karkotettu	anger	0.500
confined	rajoitettu	anger	0.500
frenzied	hurja	anger	0.500
dominate	hallita	anger	0.500
disrupting	häiritseviä	anger	0.500
hammering	mäiske	anger	0.500
fear	pelko	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ahdistus	anger	0.500
brunt	brunt	anger	0.500
possessed	riivattu	anger	0.500
defy	uhmata	anger	0.500
scoff	pilkata	anger	0.500
patronising	holhoava	anger	0.500
delusional	harhainen	anger	0.500
malpractice	hoitovirhe	anger	0.500
reject	hylätä	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	sitkeys	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	hulluus	anger	0.491
sinful	syntinen	anger	0.491
avarice	ahneus	anger	0.490
oppress	sortaa	anger	0.490
disapproved	hylätty	anger	0.485
inhuman	epäinhimillinen	anger	0.485
demand	kysyntä	anger	0.485
abolish	poistaa	anger	0.485
anathema	pannajulistus	anger	0.485
fricking	fricking	anger	0.485
complaint	valitus	anger	0.485
disservice	karhunpalvelus	anger	0.485
smuggler	salakuljettaja	anger	0.485
revoke	peruuttaa	anger	0.485
infraction	infraction	anger	0.485
claw	kynsiä	anger	0.485
dissident	toisinajattelija	anger	0.485
pervert	perverssi	anger	0.485
incest	insesti	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	tottelematon	anger	0.485
usurp	anastaa	anger	0.485
alienate	luovuttaa	anger	0.485
avenger	kostaja	anger	0.485
annoyed	vihainen	anger	0.485
cutting	leikkaus	anger	0.485
disgrace	häpeä	anger	0.484
deceit	petos	anger	0.484
suspicious	epäilyttävä	anger	0.484
thresh	piestä	anger	0.484
sucker	tikkari	anger	0.484
strained	kireä	anger	0.484
blame	syyttää	anger	0.484
upheaval	mullistus	anger	0.484
renounce	kieltää	anger	0.484
obnoxious	vastenmielinen	anger	0.484
restrain	hillitä	anger	0.484
oust	syrjäyttää	anger	0.484
litigious	käräjöimishaluinen	anger	0.484
rivalry	kilpailu	anger	0.484
penalty	rangaistus	anger	0.484
imprisoned	vangittiin	anger	0.484
mocking	ivallinen	anger	0.484
opposed	vastakkainen	anger	0.484
turbulence	turbulenssi	anger	0.483
pound	punta	anger	0.481
coldness	kylmyys	anger	0.477
ungrateful	kiittämätön	anger	0.472
battalion	pataljoona	anger	0.471
stoopid	Stoopid	anger	0.471
hostage	panttivanki	anger	0.470
infidel	uskoton	anger	0.470
