word	Basque-eu	emotion	emotion-intensity-score
assassination	hilketaren	anger	0.859
hostility	etsaitasuna	anger	0.859
loathsome	nazkagarria	anger	0.857
hell	infernua	anger	0.853
murderous	hiltzaile	anger	0.853
attack	eraso	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorismoa	anger	0.851
beating	taupadak	anger	0.849
desecration	profanazioa	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	atentatu	anger	0.848
stab	labankada	anger	0.844
slaughter	Sarraski	anger	0.844
violent	bortitza	anger	0.844
destroying	suntsituz	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	ezabatu	anger	0.843
belligerent	beligerante	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	gorrotatu	anger	0.838
hostilities	liskarretan	anger	0.837
prick	prick	anger	0.835
torture	tortura	anger	0.833
rabid	rabid	anger	0.833
horrid	Horren	anger	0.833
rampage	rampage	anger	0.833
cruelty	krudelkeria	anger	0.833
hate	gorroto	anger	0.828
demonic	deabruzko	anger	0.828
hating	hating	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tiraniko	anger	0.828
ragemode	ragemode	anger	0.828
despicable	zital	anger	0.828
ruinous	hondakintzat	anger	0.825
condemn	gaitzesten	anger	0.825
riots	istiluek	anger	0.824
demolish	eraisteko	anger	0.824
angry	haserre	anger	0.824
extermination	sarraski	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	ero	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	venomous	anger	0.818
threaten	mehatxatzen	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorista	anger	0.818
abhor	gaitzesten	anger	0.816
savage	basatia	anger	0.814
atrocity	ankerkeria	anger	0.814
carnage	sarraski	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	tratu txarrak	anger	0.812
tyrant	tirano	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	nazkatuta	anger	0.812
vendetta	Vendetta	anger	0.812
fierce	baden	anger	0.812
destroyer	destruktoreak	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbarie	anger	0.812
anger	haserrea	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	borrokak	anger	0.803
punched	ukabilkadak	anger	0.803
bitch	puta	anger	0.803
punching	puntzonatzeko	anger	0.803
homicide	hilketa	anger	0.803
destructive	suntsitzailea	anger	0.797
ruthless	ruthless	anger	0.797
villainous	villainous	anger	0.797
slap	Slap	anger	0.791
slaughterhouse	hiltegi	anger	0.788
punishing	zigortzen	anger	0.788
destroyed	deuseztatu	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	riot	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	Manslaughter	anger	0.783
clash	talka	anger	0.783
bloody	odoltsua	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	eztanda	anger	0.781
quarrel	quarrel	anger	0.781
sinister	maltzur	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	salatuz	anger	0.779
treacherous	treacherous	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	retaliate	anger	0.773
revulsion	revulsion	anger	0.773
madder	madder	anger	0.773
horrific	beldurgarria	anger	0.773
scorn	mespretxa	anger	0.769
deplorable	deitoragarria	anger	0.766
bomb	bonba	anger	0.766
anarchist	anarkista	anger	0.765
devastation	suntsiketak	anger	0.765
resent	resent	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	mesprezagarria	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	krudela	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	hilgarria	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	outburst	anger	0.757
snarl	snarl	anger	0.754
profane	profanoak	anger	0.750
offend	iraindu	anger	0.750
douchebags	Douchebags	anger	0.750
growling	growling	anger	0.750
stfu	STFU	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	mespretxatzen	anger	0.750
horror	beldurrezko	anger	0.750
aggravating	aggravating	anger	0.750
revolting	revolting	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	mehatxua	anger	0.742
erupt	lehertuko	anger	0.742
screaming	Garrasi	anger	0.742
violence	indarkeria	anger	0.742
horrible	izugarria	anger	0.742
molestation	molestation	anger	0.742
bastards	bastards	anger	0.741
revenge	mendeku	anger	0.738
catastrophe	katastrofe	anger	0.735
menacing	mehatxatzailea	anger	0.735
demon	Deabru	anger	0.735
crushing	birrintzeko	anger	0.735
damn	madarikatua	anger	0.735
persecute	erasoka	anger	0.734
argue	argudiatu	anger	0.734
flog	flog	anger	0.734
revolt	matxinada	anger	0.734
thrash	thrash	anger	0.734
deplore	deitoratu	anger	0.734
warfare	gerra	anger	0.734
fedup	Elikatu	anger	0.734
vehement	sutsua	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	zalea	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	matxinada	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotaje	anger	0.727
malevolent	malevolent	anger	0.721
strike	greba	anger	0.721
disaster	Hondamendi	anger	0.721
disastrous	penagarria	anger	0.720
tumult	iskanbila	anger	0.719
madden	Madden	anger	0.719
devil	deabrua	anger	0.719
scream	garrasi	anger	0.719
brutal	brutal	anger	0.719
treachery	traizioa	anger	0.719
scorching	eguzkitsua benetan	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	spiteful	anger	0.719
slay	slay	anger	0.719
disdain	disdain	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkismoa	anger	0.714
mutilation	mozketa	anger	0.714
criminal	criminal	anger	0.714
denunciation	Salaketak	anger	0.713
punch	zulatu	anger	0.713
crucifixion	Gurutziltzatzearen	anger	0.712
virulence	birulentzia	anger	0.712
battled	battled	anger	0.712
fatal	larria	anger	0.712
holocaust	holokaustoa	anger	0.712
blasphemous	blasphemous	anger	0.712
hurting	mina	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	gaiztoak	anger	0.706
irritated	haserre	anger	0.706
assassin	hiltzaile	anger	0.703
dicks	dicks	anger	0.703
persecution	jazarpena	anger	0.703
slayer	hiltzailea	anger	0.703
kidnap	bahiketa	anger	0.703
scolding	scolding	anger	0.703
intimidation	larderia	anger	0.703
aggravated	larriagotu	anger	0.703
aggression	Idatzia	anger	0.702
armed	armatuak	anger	0.700
poison	pozoia	anger	0.697
snarling	zakurrarena	anger	0.697
venom	pozoia	anger	0.697
battle	borroka	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	Maltzurrak	anger	0.691
assailant	erasotzailearen	anger	0.691
resentment	erresumina	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	contemptuous	anger	0.690
temper	tenplea	anger	0.688
imprisonment	kartzelatzea	anger	0.688
disparage	gutxietsi	anger	0.688
bully	bully	anger	0.688
terrible	terrible	anger	0.688
lunatic	Lunatic	anger	0.688
curse	madarikazio	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominazioaren	anger	0.688
mad	ero	anger	0.688
infanticide	infanticide	anger	0.688
volatility	lurrunkortasun	anger	0.687
eradication	desagerraraztea	anger	0.685
tantrum	tantrum	anger	0.682
devastate	devastate	anger	0.682
eradicate	desagerrarazteko	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	Agresiboki	anger	0.680
agitation	asaldura	anger	0.680
dictatorship	diktadura	anger	0.676
irritates	irritates	anger	0.676
profanity	itsusiak	anger	0.673
egregious	egregious	anger	0.672
expletive	expletive	anger	0.672
nasty	gaizto	anger	0.672
shove	shove	anger	0.672
shot	jaurtiketa	anger	0.672
harmful	kaltegarriak	anger	0.672
aggravation	aggravation	anger	0.672
contempt	mespretxua	anger	0.672
poisonous	pozoitsu	anger	0.672
dastardly	dastardly	anger	0.672
shoot	tiro	anger	0.672
corrupting	corrupting	anger	0.672
condemnation	gaitzespen	anger	0.672
wreak	wreak	anger	0.672
crushed	xehatu	anger	0.672
cruelly	krudelkeriaz	anger	0.672
crime	krimena	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupzioa	anger	0.667
odious	gorrotagarri	anger	0.667
shooting	filmatzeko	anger	0.667
kick	Jaurtiketa	anger	0.667
aggressive	oldarkor	anger	0.667
combat	Borroka	anger	0.667
shout	oihu	anger	0.667
hit	jo	anger	0.667
fight	borroka	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	etsaia	anger	0.667
irritable	irritable	anger	0.667
punished	zigortu	anger	0.662
ambush	segada	anger	0.661
yell	garrasi	anger	0.661
harass	zirikatzen	anger	0.659
malignant	gaiztoa	anger	0.656
aggressor	erasotzailea	anger	0.656
antichrist	Anticristo	anger	0.656
gore	gore	anger	0.656
incense	intsentsua	anger	0.656
expel	kanporatzeko	anger	0.656
destruction	suntsipena	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	Zuk	anger	0.652
spank	spank	anger	0.652
growl	Growl	anger	0.652
insurrection	matxinadaren	anger	0.652
reprisal	errepresalia	anger	0.652
slave	morroi	anger	0.652
denounce	salatzeko	anger	0.652
animosity	animosity	anger	0.652
insulting	iraintzen	anger	0.652
clashing	kirrinka	anger	0.652
growls	growls	anger	0.649
executioner	borreroak	anger	0.644
twat	twat	anger	0.644
doomsday	eraisten	anger	0.643
daemon	daemon	anger	0.641
obscenity	harako	anger	0.641
bombard	bonbarda	anger	0.641
spat	spat	anger	0.641
havoc	hondamena	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	ohartarazpen	anger	0.641
expulsion	kanporatzea	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	leporatu	anger	0.641
indignant	haserre	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	zauria	anger	0.636
suicidal	suizida	anger	0.636
poisoned	pozoitu	anger	0.636
batter	arrautza	anger	0.636
kicking	ostikoka	anger	0.636
hanging	zintzilik	anger	0.636
spanking	spanking	anger	0.636
disgusting	disgusting	anger	0.636
combatant	combatant	anger	0.636
frustrated	zapuztuta	anger	0.636
anarchy	anarkia	anger	0.636
glaring	glaring	anger	0.636
inflict	inflict	anger	0.633
wrecked	hondoratutako	anger	0.633
grievous	harrez	anger	0.632
prosecute	epaitu	anger	0.630
agitated	agitated	anger	0.630
cheat	tranparik	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	itolarrian	anger	0.625
strife	gatazka	anger	0.625
provocation	probokazio	anger	0.625
injure	minik	anger	0.625
harassing	jazartzailea	anger	0.625
scourge	gaitz	anger	0.625
cursing	cursing	anger	0.625
betray	betray	anger	0.625
indict	indict	anger	0.625
raid	raid	anger	0.625
thundering	thundering	anger	0.625
enslaved	esklabu	anger	0.625
arsehole	arsehole	anger	0.624
insane	erokeria	anger	0.621
fiend	fiend	anger	0.621
irritate	narritagarriak	anger	0.621
convict	convict	anger	0.621
jerk	jerk	anger	0.621
theft	lapurreta	anger	0.621
retaliation	mendeku	anger	0.621
deprivation	gabezia	anger	0.621
cussed	cussed	anger	0.619
turmoil	asaldura	anger	0.618
smack	smack	anger	0.615
retribution	ordainsari	anger	0.614
twats	twats	anger	0.609
intolerable	jasanezin	anger	0.609
rebellion	matxinada	anger	0.609
injurious	iraingarri	anger	0.609
oppressor	zapaltzailearen	anger	0.609
slavery	esklabotza	anger	0.609
irritability	suminkortasuna	anger	0.609
collision	talka	anger	0.609
bitterly	bitterly	anger	0.609
gang	Koadrilaren	anger	0.609
antagonism	antagonismo	anger	0.609
battery	bateria	anger	0.609
adverse	kaltegarriak	anger	0.609
disgraced	disgraced	anger	0.608
irritating	irritating	anger	0.606
revolution	iraultza	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bonbardaketa	anger	0.606
blast	eztanda	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	diskriminazioa	anger	0.606
antagonistic	antagoniko	anger	0.606
ranting	ranting	anger	0.606
asshole	gilipollas	anger	0.606
frustrate	zapuztea	anger	0.604
manipulation	manipulazioa	anger	0.603
tension	tentsioa	anger	0.603
insult	iraina	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	hurtful	anger	0.603
oppression	zapalkuntza	anger	0.603
disgust	nazka	anger	0.602
spite	arren	anger	0.600
intrusive	intrusiboak	anger	0.598
harshness	gordintasuna	anger	0.597
slur	slur	anger	0.596
wretch	olako	anger	0.594
inferno	inferno	anger	0.594
invasion	inbasioa	anger	0.594
puncture	zulatu	anger	0.594
miserable	miserable	anger	0.594
assail	oldarrarazten	anger	0.594
storming	ekaitza	anger	0.594
casualty	ezbeharraren	anger	0.594
bitterness	gorrotorik	anger	0.594
morbidity	erikortasun	anger	0.594
tempest	ekaitza	anger	0.594
consternation	nahigabetuta	anger	0.592
depraved	depraved	anger	0.591
raving	raving	anger	0.591
guillotine	gillotina	anger	0.591
guilty	errudun	anger	0.591
immoral	immoral	anger	0.591
forcibly	indarrez	anger	0.591
overpowering	overpowering	anger	0.591
accursed	madarikatuak	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	temati	anger	0.588
invader	erasotzaile	anger	0.588
scare	uxatzen	anger	0.588
screwed	izorratu	anger	0.588
indignation	sumindura	anger	0.587
jealousy	jelosia	anger	0.587
vexed	haserretu	anger	0.586
confront	aurre	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	Wreck	anger	0.578
revolver	errebolberra	anger	0.578
slut	slut	anger	0.578
yousuck	yousuck	anger	0.578
damage	kalteak	anger	0.578
butcher	harakin	anger	0.578
conflict	gatazka	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitatea	anger	0.578
bickering	bickering	anger	0.578
pillage	lapurretak	anger	0.578
blaze	Blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	golpe	anger	0.578
contentious	auzi	anger	0.578
incarceration	incarceration	anger	0.578
defiant	defiant	anger	0.578
provoking	eragitea	anger	0.578
lash	lash	anger	0.578
cancer	minbizia	anger	0.577
frustration	frustrazioa	anger	0.576
gory	góry	anger	0.576
alienation	alienazioa	anger	0.576
discord	discord	anger	0.576
disturbance	traba	anger	0.576
grope	grope	anger	0.576
condescension	condescension	anger	0.576
pernicious	kaltegarri	anger	0.576
blasphemy	blasphemy	anger	0.576
discriminate	diskriminatu	anger	0.576
chaotic	kaotikoa	anger	0.576
gun	pistola	anger	0.576
standoff	Liskar	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	zapaltzailearen	anger	0.574
death	heriotza	anger	0.574
jab	jab	anger	0.574
cursed	madarikatua	anger	0.574
scandalous	eskandalagarriak	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	kaka	anger	0.573
disparaging	disparaging	anger	0.571
slash	barra	anger	0.571
unfair	bidegabeko	anger	0.571
gallows	Horca	anger	0.570
escalate	eskalatzea	anger	0.569
intolerant	intoleranteak	anger	0.564
lawlessness	lawlessness	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	engainatu	anger	0.562
slander	slander	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	inbaditu	anger	0.562
bellows	hauspoa	anger	0.562
beast	piztia	anger	0.562
frightful	ikaragarri	anger	0.562
derogatory	derogatory	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	beldurgarri	anger	0.562
traitor	traidore	anger	0.562
malign	gaizto	anger	0.562
wrangling	liskarrak	anger	0.562
dissension	dissension	anger	0.561
banshee	banshee	anger	0.561
shatter	apurtu	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	arriskuan	anger	0.561
thief	Sustrai	anger	0.561
rave	rave	anger	0.561
grating	sareta	anger	0.561
devastating	suntsitzaileak	anger	0.561
idiots	idiots	anger	0.561
betrayal	traizioa	anger	0.561
uncontrollable	kontrolik gabeko	anger	0.561
fits	FITS	anger	0.561
cross	zeharkatzen	anger	0.561
hurt	mindu	anger	0.561
disturbed	asaldatu	anger	0.559
subjugation	menderatze	anger	0.559
stomped	stomped	anger	0.557
grab	grab	anger	0.557
ticked	hautatuz	anger	0.556
masochism	masokismoa	anger	0.556
grievance	grievance	anger	0.556
defiance	DEFIANCE	anger	0.552
blackmail	xantaia	anger	0.550
offensive	iraingarria	anger	0.549
decry	kondenatzen	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	urratzeagatik	anger	0.547
punishment	zigorra	anger	0.547
shrill	ozena	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	alde iluna	anger	0.547
misery	miseria	anger	0.547
frustrates	frustrates	anger	0.547
disgraceful	lotsagarria	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	aldebatera	anger	0.547
disparity	desberdintasuna	anger	0.547
confine	confine	anger	0.547
firearms	suzko	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	matxino	anger	0.547
deceive	engainatzen	anger	0.547
stolen	lapurtu	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	berotzen	anger	0.545
ruined	hondatu	anger	0.545
menace	mehatxu	anger	0.545
humiliate	makurrarazi	anger	0.545
tackle	hor	anger	0.545
conspirator	konspiratzailea	anger	0.545
foul	nazkagarri	anger	0.545
antagonist	antagonista	anger	0.545
resentful	saminez	anger	0.545
prejudice	kalterik	anger	0.545
adversary	aurkariarekiko	anger	0.545
argument	argumentu	anger	0.545
skirmish	skirmish	anger	0.545
callous	hoiek	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	korapilatu	anger	0.544
robbery	lapurreta	anger	0.544
sting	Sting	anger	0.544
outcry	outcry	anger	0.544
grumble	Grumble	anger	0.544
irreconcilable	bateraezinak	anger	0.543
resistance	erresistentzia	anger	0.543
obstructive	Ian	anger	0.542
dismay	jarriz	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	gaiztakeria	anger	0.536
ridicule	irrigarri	anger	0.534
incendiary	incendiary	anger	0.533
flares	bengalak	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	inkomunikazio	anger	0.531
exacerbation	areagotzen	anger	0.531
prejudicial	kaltegarria	anger	0.531
uprising	altxamendu	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	jokatuz	anger	0.531
unbridled	neurrigabe	anger	0.531
allegation	alegazio	anger	0.531
communism	komunismoa	anger	0.531
whip	Greba	anger	0.531
intruder	intruder	anger	0.531
dispute	gatazka	anger	0.531
belittle	gutxiesten	anger	0.531
bigoted	bigoted	anger	0.530
offender	offender	anger	0.530
hassle	hassle	anger	0.530
dissonance	disonantzia	anger	0.530
unjust	bidegabea	anger	0.530
dictatorial	diktatoriala	anger	0.530
unjustifiable	Justifikaziorik	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perbertsio	anger	0.530
tackled	jorratu	anger	0.530
renegade	renegade	anger	0.529
hot	beroa	anger	0.529
prison	kartzela	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	faltatu	anger	0.529
suicide	buruaz beste	anger	0.521
annoy	annoy	anger	0.520
leavemealone	utzi nazazu bakarrik	anger	0.517
idiotic	idiotic	anger	0.516
distrust	mesfidantza	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	dibortzio	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	disrespectful	anger	0.516
tortious	tortious	anger	0.516
criticize	kritikatzea	anger	0.516
prisoner	preso	anger	0.516
dishonest	petrala	anger	0.516
treason	traizioa	anger	0.516
victimized	biktima	anger	0.515
bile	behazun	anger	0.515
unkind	unkind	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	unleash	anger	0.515
coercion	indarkeriaren	anger	0.515
scold	scold	anger	0.515
chaos	kaosa	anger	0.515
grump	Grump	anger	0.515
roar	orroa	anger	0.515
jerks	jerks	anger	0.515
poaching	ezkutuko ehiza	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	argudio	anger	0.515
frustrating	frustrating	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	salaketa	anger	0.510
repudiation	zapuzketa	anger	0.510
enmity	etsaigoa	anger	0.510
banish	baztertu	anger	0.509
disfigured	desitxuratuta	anger	0.508
storm	ekaitza	anger	0.507
shun	Shun	anger	0.500
suppression	kendu da	anger	0.500
unruly	unruly	anger	0.500
intractable	konponezinak	anger	0.500
ordeal	Dena	anger	0.500
obstruct	oztopatuko	anger	0.500
derogation	salbuespen	anger	0.500
fervor	debozio	anger	0.500
foaming	aparra	anger	0.500
derision	iseka	anger	0.500
animus	animus	anger	0.500
rejects	arbuiatu	anger	0.500
bout	bout	anger	0.500
spear	lantza	anger	0.500
crazy	zoro	anger	0.500
brazen	brazen	anger	0.500
antithesis	antitesia	anger	0.500
injustice	injustizia	anger	0.500
banished	erbesteratu	anger	0.500
confined	mugatzen	anger	0.500
frenzied	frenzied	anger	0.500
dominate	menderatzeko	anger	0.500
disrupting	disrupting	anger	0.500
hammering	hammering	anger	0.500
fear	beldurra	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	larritasun	anger	0.500
brunt	brunt	anger	0.500
possessed	jabetu	anger	0.500
defy	defy	anger	0.500
scoff	scoff	anger	0.500
patronising	paternalista	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	ukatzeko	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	erresistentzia	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	eromena	anger	0.491
sinful	bekatari	anger	0.491
avarice	zikoizkeria	anger	0.490
oppress	zapaltzen	anger	0.490
disapproved	gaitzetsi	anger	0.485
inhuman	anker	anger	0.485
demand	eskaria	anger	0.485
abolish	indargabetzeko	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	kexa	anger	0.485
disservice	disservice	anger	0.485
smuggler	kontrabandista	anger	0.485
revoke	ezeztatu	anger	0.485
infraction	urratu	anger	0.485
claw	atzapar	anger	0.485
dissident	disidente	anger	0.485
pervert	pervert	anger	0.485
incest	intzestua	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	disobedient	anger	0.485
usurp	usurpatzen	anger	0.485
alienate	alienatzeko	anger	0.485
avenger	mendekatzaile	anger	0.485
annoyed	haserretu	anger	0.485
cutting	ebaketa	anger	0.485
disgrace	lotsagarria	anger	0.484
deceit	iruzur	anger	0.484
suspicious	susmagarriak	anger	0.484
thresh	thresh	anger	0.484
sucker	salmenta	anger	0.484
strained	iragazi	anger	0.484
blame	errua	anger	0.484
upheaval	askok ekin	anger	0.484
renounce	uko	anger	0.484
obnoxious	obnoxious	anger	0.484
restrain	geldiarazteko	anger	0.484
oust	oust	anger	0.484
litigious	litigious	anger	0.484
rivalry	lehia	anger	0.484
penalty	zigorra	anger	0.484
imprisoned	kartzelatua	anger	0.484
mocking	mocking	anger	0.484
opposed	kontrajartzen	anger	0.484
turbulence	turbulentzia	anger	0.483
pound	libra	anger	0.481
coldness	hoztasuna	anger	0.477
ungrateful	esker txarreko	anger	0.472
battalion	batailoi	anger	0.471
stoopid	stoopid	anger	0.471
hostage	bahitu	anger	0.470
infidel	infidel	anger	0.470
ram	RAM	anger	0.470
accuser	accuser	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	gogaikarriak	anger	0.470
adversity	zoritxarrean	anger	0.470
dispossessed	dispossessed	anger	0.470
friction	marruskadura	anger	0.470
jealous	jeloskor	anger	0.470
feudalism	feudalismoaren	anger	0.470
armament	armamentu	anger	0.470
thump	TAPA	anger	0.469
complain	kexatu	anger	0.469
incite	bultzatzen	anger	0.469
steal	lapurtu	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	obeditzen	anger	0.469
injury	kalte	anger	0.469
simmer	simmer	anger	0.469
distress	apuros	anger	0.469
insanity	eromena	anger	0.469
selfish	berekoia	anger	0.469
huff	HUFF	anger	0.469
selfishness	berekoikeria	anger	0.469
backoff	uzte	anger	0.469
plunder	espoliazioa	anger	0.469
stifled	itotzen	anger	0.469
subversive	subertsiboa	anger	0.469
exile	erbestean	anger	0.469
