word	Maori-mi	emotion	emotion-intensity-score
obliterate	whakakorea	anger	0.843
belligerent	Tuhinga o mua	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	kino	anger	0.838
hostilities	nga riri	anger	0.837
prick	prick	anger	0.835
torture	whakatupato	anger	0.833
rabid	rabid	anger	0.833
horrid	whakaharahara	anger	0.833
rampage	whakawhitinga	anger	0.833
cruelty	tukino	anger	0.833
hate	kino	anger	0.828
demonic	rewera	anger	0.828
hating	kino	anger	0.828
satanic	maatani	anger	0.828
tyrannical	whakatikatika	anger	0.828
ragemode	whakaheke	anger	0.828
despicable	kino	anger	0.828
ruinous	ruinga	anger	0.825
condemn	whakatau	anger	0.825
riots	rioti	anger	0.824
demolish	whakataka	anger	0.824
angry	riri	anger	0.824
extermination	Tuhinga	anger	0.824
dickhead	Tuhinga o mua	anger	0.824
livid	Tuhinga	anger	0.821
madman	haurangi	anger	0.820
vindictive	he tohu	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	waipiro	anger	0.818
threaten	whakawehi	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	kaiwhakatuma	anger	0.818
abhor	whakarihariha	anger	0.816
savage	haumaru	anger	0.814
atrocity	aukati	anger	0.814
carnage	Tuhinga o mua	anger	0.814
berserk	Tuhinga o mua	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	tukino	anger	0.812
tyrant	kino	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	hokohoko	anger	0.812
fierce	kaha	anger	0.812
destroyer	kaihoko	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	whakawera	anger	0.812
barbaric	Tuhinga	anger	0.812
anger	riri	anger	0.811
pieceofshit	Tuhinga	anger	0.810
slam	Tuhinga	anger	0.803
fights	whawhai	anger	0.803
punched	tohua	anger	0.803
bitch	tohua	anger	0.803
punching	pupuhi	anger	0.803
homicide	kohuru	anger	0.803
destructive	whakangaro	anger	0.797
ruthless	haurangi	anger	0.797
villainous	kino	anger	0.797
slap	paku	anger	0.791
slaughterhouse	whare patu	anger	0.788
punishing	te whiu	anger	0.788
destroyed	ngaro	anger	0.788
retaliatory	Tuhinga o mua	anger	0.788
riot	Tuhinga o mua	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	te hamama	anger	0.788
growthefuckup	Tuhinga ka whai mai	anger	0.788
diabolical	rewera	anger	0.788
manslaughter	Tuhinga o mua	anger	0.783
clash	taupatupatu	anger	0.783
bloody	toto	anger	0.781
hellish	pouri	anger	0.781
loath	haunga	anger	0.781
detonation	whakapae	anger	0.781
quarrel	tautohe	anger	0.781
sinister	hara	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	whakapae	anger	0.779
treacherous	tinihanga	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	utu	anger	0.773
revulsion	whakaheke	anger	0.773
madder	haurangi	anger	0.773
horrific	kino	anger	0.773
scorn	whakahi	anger	0.769
deplorable	kino	anger	0.766
bomb	poma	anger	0.766
anarchist	anarchist	anger	0.765
devastation	whakangaro	anger	0.765
resent	he riri	anger	0.765
firestorm	te ahi	anger	0.765
contemptible	whakapae	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kino	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mate	anger	0.758
smash	keri	anger	0.758
rant	rant	anger	0.758
outburst	Tuhinga o mua	anger	0.757
snarl	ngongo	anger	0.754
profane	kino	anger	0.750
offend	hara	anger	0.750
douchebags	douchebags	anger	0.750
growling	pupuhi	anger	0.750
stfu	stfu	anger	0.750
vulgarity	whakapehapeha	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	pupuhi	anger	0.750
despise	whakahawea	anger	0.750
horror	wehi	anger	0.750
aggravating	whakatikatika	anger	0.750
revolting	whakatikatika	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	whakawehi	anger	0.742
erupt	ka rere	anger	0.742
screaming	hamama	anger	0.742
violence	te tutu	anger	0.742
horrible	whakawehi	anger	0.742
molestation	Tuhinga o mua	anger	0.742
bastards	Tuhinga o mua	anger	0.741
revenge	te utu	anger	0.738
catastrophe	he parekura	anger	0.735
menacing	menacing	anger	0.735
demon	rewera	anger	0.735
crushing	takahi	anger	0.735
damn	Tuhinga o mua	anger	0.735
persecute	tukino	anger	0.734
argue	tautohe	anger	0.734
flog	pereki	anger	0.734
revolt	Tuhinga	anger	0.734
thrash	ka hinga	anger	0.734
deplore	pororaru	anger	0.734
warfare	whawhai	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	Tuhinga o mua	anger	0.734
riotous	riotous	anger	0.734
altercation	Tuhinga	anger	0.729
warlike	he pakanga	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	whakaheke	anger	0.727
castrate	Tuhinga o mua	anger	0.727
sabotage	Tuhinga o mua	anger	0.727
malevolent	marea	anger	0.721
strike	patu	anger	0.721
disaster	kino	anger	0.721
disastrous	he kino	anger	0.720
tumult	pakanga	anger	0.719
madden	haurangi	anger	0.719
devil	rewera	anger	0.719
scream	hamama	anger	0.719
brutal	kino	anger	0.719
treachery	tinihanga	anger	0.719
scorching	te wera	anger	0.719
vermin	Tuhinga	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	te whakatikatika	anger	0.719
spiteful	nui	anger	0.719
slay	patu	anger	0.719
disdain	whakapae	anger	0.719
choke	pakaru	anger	0.719
bastarding	whakatipu	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	whakaheke	anger	0.714
criminal	hara	anger	0.714
denunciation	Tuhinga o mua	anger	0.713
punch	pupuhi	anger	0.713
crucifixion	ripekatia	anger	0.712
virulence	Tuhinga ka whai mai	anger	0.712
battled	ka whiua	anger	0.712
fatal	mate	anger	0.712
holocaust	whakaeke	anger	0.712
blasphemous	kohukohu	anger	0.712
hurting	te mamae	anger	0.712
dumbasses	paku	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	wehea	anger	0.706
atrocious	Tuhinga o mua	anger	0.706
evil	kino	anger	0.706
irritated	haurangi	anger	0.706
assassin	kohuru	anger	0.703
dicks	Tuhinga o mua	anger	0.703
persecution	whakatoi	anger	0.703
slayer	kohuru	anger	0.703
kidnap	kohi	anger	0.703
scolding	te riri	anger	0.703
intimidation	whakawehi	anger	0.703
aggravated	nui ake	anger	0.703
aggression	riri	anger	0.702
armed	patu	anger	0.700
poison	kawa	anger	0.697
snarling	pupuhi	anger	0.697
venom	waipiro	anger	0.697
battle	whawhai	anger	0.697
disgruntled	ka pouri	anger	0.693
insidious	poauau	anger	0.691
assailant	Tuhinga o mua	anger	0.691
resentment	riri	anger	0.691
lynch	Tuhinga	anger	0.690
contemptuous	whakahirahira	anger	0.690
temper	riri	anger	0.688
imprisonment	whare herehere	anger	0.688
disparage	whakapae	anger	0.688
bully	pupuhi	anger	0.688
terrible	wehi	anger	0.688
lunatic	Tuhinga o mua	anger	0.688
curse	kanga	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	Tuhinga o mua	anger	0.688
domination	mana	anger	0.688
mad	haurangi	anger	0.688
infanticide	te patu tamaiti	anger	0.688
volatility	Tuhinga	anger	0.687
eradication	whakakorenga	anger	0.685
tantrum	maama	anger	0.682
devastate	whakangaro	anger	0.682
eradicate	whakakorea	anger	0.682
scoundrel	Tuhinga o mua	anger	0.682
aggressively	kaha	anger	0.680
agitation	te whakaoho	anger	0.680
dictatorship	rangatira	anger	0.676
irritates	haurangi	anger	0.676
profanity	whakahua	anger	0.673
egregious	Tuhinga	anger	0.672
expletive	Tuhinga	anger	0.672
nasty	he kino	anger	0.672
shove	pupuhi	anger	0.672
shot	pana	anger	0.672
harmful	kino	anger	0.672
aggravation	Tuhinga o mua	anger	0.672
contempt	whakahawea	anger	0.672
poisonous	mate	anger	0.672
dastardly	maata	anger	0.672
shoot	pana	anger	0.672
corrupting	kino	anger	0.672
condemnation	whakatau	anger	0.672
wreak	wreak	anger	0.672
crushed	ka pakaru	anger	0.672
cruelly	kino	anger	0.672
crime	hara	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	whakaheke	anger	0.667
odious	kino	anger	0.667
shooting	pupuhi	anger	0.667
kick	whana	anger	0.667
aggressive	kaha	anger	0.667
combat	whawhai	anger	0.667
shout	hamama	anger	0.667
hit	patua	anger	0.667
fight	whawhai	anger	0.667
cutthroat	Tuhinga o mua	anger	0.667
enemy	hoariri	anger	0.667
irritable	haurangi	anger	0.667
punished	whiua	anger	0.662
ambush	tatari	anger	0.661
yell	hamama	anger	0.661
harass	hara	anger	0.659
malignant	kino	anger	0.656
aggressor	Tuhinga o mua	anger	0.656
antichrist	anatikaraiti	anger	0.656
gore	Tuhinga	anger	0.656
incense	kakara	anger	0.656
expel	peia	anger	0.656
destruction	whakangaro	anger	0.656
grudge	te riri	anger	0.656
cranky	paku	anger	0.653
offended	ka hara	anger	0.652
spank	Tuhinga	anger	0.652
growl	hamama	anger	0.652
insurrection	Tuhinga o mua	anger	0.652
reprisal	Tuhinga o mua	anger	0.652
slave	pononga	anger	0.652
denounce	whakapae	anger	0.652
animosity	haurangi	anger	0.652
insulting	whakahi	anger	0.652
clashing	te whakawhitiwhiti	anger	0.652
growls	pupuhi	anger	0.649
executioner	kaiwhakahaere	anger	0.644
twat	Tuhinga	anger	0.644
doomsday	rarangi	anger	0.643
daemon	daemon	anger	0.641
obscenity	kino	anger	0.641
bombard	pakaru	anger	0.641
spat	mokowhiti	anger	0.641
havoc	kino	anger	0.641
feud	Tuhinga	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	ripoata	anger	0.641
expulsion	Tuhinga	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	whakapae	anger	0.641
indignant	riri	anger	0.641
shackle	kapi	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	mate	anger	0.636
suicidal	koiora	anger	0.636
poisoned	kawa	anger	0.636
batter	potae	anger	0.636
kicking	kati	anger	0.636
hanging	te whakairi	anger	0.636
spanking	pupuhi	anger	0.636
disgusting	whakarihariha	anger	0.636
combatant	kaiwhai	anger	0.636
frustrated	pouri	anger	0.636
anarchy	Tuhinga o mua	anger	0.636
glaring	pupuhi	anger	0.636
inflict	tukino	anger	0.633
wrecked	takahia	anger	0.633
grievous	kino	anger	0.632
prosecute	whakawakia	anger	0.630
agitated	ka raru	anger	0.630
cheat	tinihangatia	anger	0.630
swastika	swastika	anger	0.627
defamatory	whakapae	anger	0.625
suffocation	whakaheke	anger	0.625
strife	tautohe	anger	0.625
provocation	whakatoi	anger	0.625
injure	kino	anger	0.625
harassing	te whakararuraru	anger	0.625
scourge	whiu	anger	0.625
cursing	kanga	anger	0.625
betray	tinihanga	anger	0.625
indict	Tuhinga o mua	anger	0.625
raid	whakaeke	anger	0.625
thundering	te whatitiri	anger	0.625
enslaved	pononga	anger	0.625
arsehole	arsehole	anger	0.624
insane	haurangi	anger	0.621
fiend	fiend	anger	0.621
irritate	he riri	anger	0.621
convict	hara	anger	0.621
jerk	Tuhinga	anger	0.621
theft	tahae	anger	0.621
retaliation	te utu	anger	0.621
deprivation	Tuhinga o mua	anger	0.621
cussed	Tuhinga o mua	anger	0.619
turmoil	raruraru	anger	0.618
smack	ka pakaru	anger	0.615
retribution	utu	anger	0.614
twats	nga manga	anger	0.609
intolerable	kore e taea	anger	0.609
rebellion	Tuhinga o mua	anger	0.609
injurious	kino	anger	0.609
oppressor	kaitukino	anger	0.609
slavery	Tuhinga o mua	anger	0.609
irritability	haurangi	anger	0.609
collision	whakaeke	anger	0.609
bitterly	kawa	anger	0.609
gang	rōpū	anger	0.609
antagonism	aukati	anger	0.609
battery	pati	anger	0.609
adverse	kino	anger	0.609
disgraced	ka whakama	anger	0.608
irritating	he riri	anger	0.606
revolution	Tuhinga	anger	0.606
thug	Tuhinga o mua	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	Tuhinga o mua	anger	0.606
blast	pupuhi	anger	0.606
irks	irks	anger	0.606
sickening	maama	anger	0.606
discrimination	whakahirahira	anger	0.606
antagonistic	whakahē	anger	0.606
ranting	whakaharahara	anger	0.606
asshole	Tuhinga	anger	0.606
frustrate	whakahē	anger	0.604
manipulation	manipulation	anger	0.603
tension	toronga	anger	0.603
insult	kanga	anger	0.603
bigot	nui	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	kino	anger	0.603
oppression	tukino	anger	0.603
disgust	kino	anger	0.602
spite	ahakoa	anger	0.600
intrusive	pupuhi	anger	0.598
harshness	kaha	anger	0.597
slur	Tuhinga	anger	0.596
wretch	kino	anger	0.594
inferno	Tuhinga o mua	anger	0.594
invasion	whakaeke	anger	0.594
puncture	pupuhi	anger	0.594
miserable	pouri	anger	0.594
assail	whakaeke	anger	0.594
storming	whakataka	anger	0.594
casualty	mate	anger	0.594
bitterness	kawa	anger	0.594
morbidity	mate	anger	0.594
tempest	hau	anger	0.594
consternation	Tuhinga	anger	0.592
depraved	kua pahuatia	anger	0.591
raving	Tuhinga o mua	anger	0.591
guillotine	guillotine	anger	0.591
guilty	hara	anger	0.591
immoral	moepuku	anger	0.591
forcibly	kaha	anger	0.591
overpowering	ka kaha	anger	0.591
accursed	kua kanga	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	whakamahara	anger	0.588
invader	hoariri	anger	0.588
scare	whakawehi	anger	0.588
screwed	ka whiua	anger	0.588
indignation	riri	anger	0.587
jealousy	hae	anger	0.587
vexed	pouri	anger	0.586
confront	whakaekea	anger	0.582
brute	Tuhinga o mua	anger	0.581
throttle	Tuhinga o mua	anger	0.579
wreck	takahi	anger	0.578
revolver	Tuhinga	anger	0.578
slut	paheke	anger	0.578
yousuck	yousuck	anger	0.578
damage	kino	anger	0.578
butcher	kapi	anger	0.578
conflict	pakanga	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	hara	anger	0.578
bickering	Tuhinga o mua	anger	0.578
pillage	whakapoke	anger	0.578
blaze	wera	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	Tuhinga	anger	0.578
contentious	tautohe	anger	0.578
incarceration	whakatupapatanga	anger	0.578
defiant	Tuhinga o mua	anger	0.578
provoking	whakatoi	anger	0.578
lash	whiu	anger	0.578
cancer	mate pukupuku	anger	0.577
frustration	pouri	anger	0.576
gory	Tuhinga	anger	0.576
alienation	Tuhinga	anger	0.576
discord	rereke	anger	0.576
disturbance	raru	anger	0.576
grope	pupuhi	anger	0.576
condescension	Tuhinga o mua	anger	0.576
pernicious	kino	anger	0.576
blasphemy	kohukohu	anger	0.576
discriminate	whakatinana	anger	0.576
chaotic	Tuhinga	anger	0.576
gun	pu	anger	0.576
standoff	Tuhinga o mua	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	koha	anger	0.574
lunacy	rangatira	anger	0.574
oppressive	he tukino	anger	0.574
death	mate	anger	0.574
jab	jab	anger	0.574
cursed	kanga	anger	0.574
scandalous	whakahihi	anger	0.574
monstrosity	Tuhinga o mua	anger	0.574
shit	shit	anger	0.573
disparaging	whakakore	anger	0.571
slash	whakawhitinga	anger	0.571
unfair	he tika	anger	0.571
gallows	rakau	anger	0.570
escalate	piki ake	anger	0.569
intolerant	whakahē	anger	0.564
lawlessness	kino	anger	0.563
bluddy	Tuhinga o mua	anger	0.562
perdition	mate	anger	0.562
taunt	tawai	anger	0.562
grouchy	Tuhinga	anger	0.562
torpedo	torpedo	anger	0.562
deceived	tinihangatia	anger	0.562
slander	korero kino	anger	0.562
retards	Tuhinga o mua	anger	0.562
bearish	bearish	anger	0.562
invade	whakaeke	anger	0.562
bellows	Tuhinga	anger	0.562
beast	kararehe	anger	0.562
frightful	wehi	anger	0.562
derogatory	Tuhinga o mua	anger	0.562
glare	hika	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	nui	anger	0.562
traitor	kaihoko	anger	0.562
malign	whakahua	anger	0.562
wrangling	tautohetohe	anger	0.562
dissension	Tuhinga	anger	0.561
banshee	banshee	anger	0.561
shatter	pakaru	anger	0.561
conflagration	whakaheke	anger	0.561
jeopardize	whakapae	anger	0.561
thief	tahae	anger	0.561
rave	mahi	anger	0.561
grating	taunga	anger	0.561
devastating	te painga	anger	0.561
idiots	Tuhinga	anger	0.561
betrayal	tinihanga	anger	0.561
uncontrollable	kaore e taea te whakahaere	anger	0.561
fits	tika	anger	0.561
cross	ripeka	anger	0.561
hurt	whara	anger	0.561
disturbed	raruraru	anger	0.559
subjugation	Tuhinga	anger	0.559
stomped	takahia	anger	0.557
grab	hopu	anger	0.557
ticked	ka tohua	anger	0.556
masochism	Tuhinga o mua	anger	0.556
grievance	mate	anger	0.556
defiance	whakahē	anger	0.552
blackmail	panui	anger	0.550
offensive	kino	anger	0.549
decry	Tuhinga o mua	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	takahi	anger	0.547
punishment	whiu	anger	0.547
shrill	te hiku	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	te pouri	anger	0.547
misery	pouri	anger	0.547
frustrates	ka whakakore	anger	0.547
disgraceful	he whakama	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	Tuhinga o mua	anger	0.547
disparity	Tuhinga o mua	anger	0.547
confine	ka tautokona	anger	0.547
firearms	umanga	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	Tuhinga o mua	anger	0.547
rebel	tutu	anger	0.547
deceive	tinihanga	anger	0.547
stolen	tahaetia	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Tuhinga o mua	anger	0.545
heated	wera	anger	0.545
ruined	ngaro	anger	0.545
menace	haumaru	anger	0.545
humiliate	whakaiti	anger	0.545
tackle	tarai	anger	0.545
conspirator	kaipupuri	anger	0.545
foul	kino	anger	0.545
antagonist	kaitautoko	anger	0.545
resentful	he riri	anger	0.545
prejudice	kino	anger	0.545
adversary	hoariri	anger	0.545
argument	tautohe	anger	0.545
skirmish	whakaheke	anger	0.545
callous	whakapehapeha	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	takahia	anger	0.544
robbery	tahae	anger	0.544
sting	pupuhi	anger	0.544
outcry	tangi	anger	0.544
grumble	amuamu	anger	0.544
irreconcilable	kaore e taea te whakahaere	anger	0.543
resistance	tautohe	anger	0.543
obstructive	pati	anger	0.542
dismay	pouri	anger	0.540
mob	iwi	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	kino	anger	0.536
ridicule	whakahi	anger	0.534
incendiary	pupuhi	anger	0.533
flares	he ahi	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	te here	anger	0.531
exacerbation	Tuhinga o mua	anger	0.531
prejudicial	Tuhinga o mua	anger	0.531
uprising	whakatikatika	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	whakapehapeha	anger	0.531
unbridled	kaore i raupapa	anger	0.531
allegation	Tuhinga	anger	0.531
communism	hapori	anger	0.531
whip	whiu	anger	0.531
intruder	kaihau	anger	0.531
dispute	tautohe	anger	0.531
belittle	Tuhinga o mua	anger	0.531
bigoted	nui	anger	0.530
offender	hara	anger	0.530
hassle	haumaru	anger	0.530
dissonance	dissonance	anger	0.530
unjust	kino	anger	0.530
dictatorial	Tuhinga o mua	anger	0.530
unjustifiable	kore e taea	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	he rereke	anger	0.530
tackled	ka tautokona	anger	0.530
renegade	renegade	anger	0.529
hot	wera	anger	0.529
prison	whare herehere	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	hara	anger	0.529
suicide	te whakamomori	anger	0.521
annoy	he riri	anger	0.520
leavemealone	Tuhinga o mua	anger	0.517
idiotic	hauputu	anger	0.516
distrust	haumaru	anger	0.516
depravity	kino	anger	0.516
cretins	Tuhinga o mua	anger	0.516
divorce	whakarere	anger	0.516
broil	kohua	anger	0.516
grrr	grrr	anger	0.516
venting	whakawhiti	anger	0.516
inimical	hauora	anger	0.516
duress	Tuhinga o mua	anger	0.516
disrespectful	whakahē	anger	0.516
tortious	he kino	anger	0.516
criticize	whakahē	anger	0.516
prisoner	herehere	anger	0.516
dishonest	he hianga	anger	0.516
treason	whakapae	anger	0.516
victimized	ka whiua	anger	0.515
bile	bile	anger	0.515
unkind	kino	anger	0.515
unforgiving	te wareware	anger	0.515
unleash	tuku	anger	0.515
coercion	te kaha	anger	0.515
scold	te riri	anger	0.515
chaos	haurangi	anger	0.515
grump	amuamu	anger	0.515
roar	hamama	anger	0.515
jerks	Tuhinga o mua	anger	0.515
poaching	poaching	anger	0.515
hangry	porotaka	anger	0.515
pow	pow	anger	0.515
poachers	kaihoko	anger	0.515
argumentation	tautohe	anger	0.515
frustrating	whakapehapeha	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	whakapae	anger	0.510
repudiation	whakahē	anger	0.510
enmity	hoariri	anger	0.510
banish	Tuhinga	anger	0.509
disfigured	whakahua	anger	0.508
storm	ngaru	anger	0.507
shun	ka karo	anger	0.500
suppression	whakakapi	anger	0.500
unruly	te tutu	anger	0.500
intractable	ka whai kiko	anger	0.500
ordeal	pakaru	anger	0.500
obstruct	whakakore	anger	0.500
derogation	Tuhinga	anger	0.500
fervor	Tuhinga	anger	0.500
foaming	whakapoi	anger	0.500
derision	whakahi	anger	0.500
animus	animus	anger	0.500
rejects	whakakahore	anger	0.500
bout	pupuhi	anger	0.500
spear	tao	anger	0.500
crazy	haurangi	anger	0.500
brazen	maroke	anger	0.500
antithesis	Tuhinga o mua	anger	0.500
injustice	harakore	anger	0.500
banished	Tuhinga o mua	anger	0.500
confined	herea	anger	0.500
frenzied	frenzied	anger	0.500
dominate	te mana	anger	0.500
disrupting	pakaru	anger	0.500
hammering	hammering	anger	0.500
fear	wehi	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	pouri	anger	0.500
brunt	Tuhinga o mua	anger	0.500
possessed	kei roto	anger	0.500
defy	whakahē	anger	0.500
scoff	whakahi	anger	0.500
patronising	patene	anger	0.500
delusional	tinihanga	anger	0.500
malpractice	kino	anger	0.500
reject	whakakore	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	te uaua	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	haurangi	anger	0.491
sinful	hara	anger	0.491
avarice	Tuhinga	anger	0.490
oppress	tukino	anger	0.490
disapproved	kāore i whakaaetia	anger	0.485
inhuman	kino	anger	0.485
demand	tono	anger	0.485
abolish	whakakorea	anger	0.485
anathema	Tuhinga o mua	anger	0.485
fricking	pupuhi	anger	0.485
complaint	whakapae	anger	0.485
disservice	Tuhinga	anger	0.485
smuggler	Tuhinga o mua	anger	0.485
revoke	whakakore	anger	0.485
infraction	takahi	anger	0.485
claw	pupuhi	anger	0.485
dissident	ka ngaro	anger	0.485
pervert	rereke	anger	0.485
incest	whakahirahira	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	he hunga tutu	anger	0.485
usurp	weurp	anger	0.485
alienate	tohatoha	anger	0.485
avenger	kaihoko	anger	0.485
annoyed	riri	anger	0.485
cutting	tapahi	anger	0.485
disgrace	whakama	anger	0.484
deceit	tinihanga	anger	0.484
suspicious	whakapae	anger	0.484
thresh	te patu	anger	0.484
sucker	kapi	anger	0.484
strained	Tuhinga o mua	anger	0.484
blame	hara	anger	0.484
upheaval	Tuhinga o mua	anger	0.484
renounce	whakakahoretia	anger	0.484
obnoxious	whakaharahara	anger	0.484
restrain	aukati	anger	0.484
oust	Tuhinga o mua	anger	0.484
litigious	Tuhinga	anger	0.484
rivalry	taupatupatu	anger	0.484
penalty	whiu	anger	0.484
imprisoned	herea	anger	0.484
mocking	moata	anger	0.484
opposed	whakahē	anger	0.484
turbulence	Tuhinga o mua	anger	0.483
pound	pauna	anger	0.481
coldness	makariri	anger	0.477
ungrateful	kahore he whakawhetai	anger	0.472
battalion	te ope taua	anger	0.471
stoopid	mataku	anger	0.471
hostage	whakatupato	anger	0.470
infidel	whakapono	anger	0.470
ram	hipi toa	anger	0.470
accuser	kaiwhakapae	anger	0.470
gall	Tuhinga	anger	0.470
subversion	takahuri	anger	0.470
annoying	he riri	anger	0.470
adversity	Tuhinga o mua	anger	0.470
dispossessed	ka peia	anger	0.470
friction	Tuhinga	anger	0.470
jealous	hae	anger	0.470
feudalism	feudalism	anger	0.470
armament	patu	anger	0.470
thump	Tuhinga	anger	0.469
complain	amuamu	anger	0.469
incite	whakaoho	anger	0.469
steal	tahae	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	te tutu	anger	0.469
injury	whara	anger	0.469
