word	Estonian-et	emotion	emotion-intensity-score
rampage	raputamine	anger	0.833
cruelty	julmust	anger	0.833
hate	vihkan	anger	0.828
demonic	deemonlik	anger	0.828
hating	vihkamine	anger	0.828
satanic	saatanlik	anger	0.828
tyrannical	türaniline	anger	0.828
ragemode	ragemode	anger	0.828
despicable	põlastusväärne	anger	0.828
ruinous	hävitav	anger	0.825
condemn	mõista hukka	anger	0.825
riots	mässud	anger	0.824
demolish	lammutama	anger	0.824
angry	vihane	anger	0.824
extermination	hävitamine	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	hullumees	anger	0.820
vindictive	süütu	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	kiusatus	anger	0.818
venomous	mürgine	anger	0.818
threaten	ähvardada	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	kummardama	anger	0.816
savage	metsik	anger	0.814
atrocity	vägivald	anger	0.814
carnage	tapmine	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	kuritarvitamine	anger	0.812
tyrant	türann	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	Vihane	anger	0.812
vendetta	vendetta	anger	0.812
fierce	äge	anger	0.812
destroyer	hävitaja	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	kummitav	anger	0.812
barbaric	barbaarne	anger	0.812
anger	viha	anger	0.811
pieceofshit	tükk sulgeda	anger	0.810
slam	lööma	anger	0.803
fights	võitleb	anger	0.803
punched	purustatud	anger	0.803
bitch	emane	anger	0.803
punching	mulgustamiseks	anger	0.803
homicide	tapmine	anger	0.803
destructive	hävitav	anger	0.797
ruthless	halastamatu	anger	0.797
villainous	kurjategija	anger	0.797
slap	libisema	anger	0.791
slaughterhouse	tapamaja	anger	0.788
punishing	karistamine	anger	0.788
destroyed	hävitatud	anger	0.788
retaliatory	vastumeelsus	anger	0.788
riot	mäss	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	karjub	anger	0.788
growthefuckup	kasvamafuckup	anger	0.788
diabolical	kuratlik	anger	0.788
manslaughter	tapmine	anger	0.783
clash	kokkupõrge	anger	0.783
bloody	verine	anger	0.781
hellish	põrgu	anger	0.781
loath	tagasihoidlik	anger	0.781
detonation	detonatsioon	anger	0.781
quarrel	tüli	anger	0.781
sinister	pahameelne	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	süüdistades	anger	0.779
treacherous	petlik	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	vastumeelsus	anger	0.773
revulsion	revultsus	anger	0.773
madder	madalik	anger	0.773
horrific	kohutav	anger	0.773
scorn	kurjus	anger	0.769
deplorable	kahetsusväärne	anger	0.766
bomb	pomm	anger	0.766
anarchist	anarhist	anger	0.765
devastation	laastavad	anger	0.765
resent	pahaks	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	põlastusväärne	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	julm	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	surmav	anger	0.758
smash	valutama	anger	0.758
rant	rant	anger	0.758
outburst	väljapääsu	anger	0.757
snarl	jama	anger	0.754
profane	kuratlik	anger	0.750
offend	solvata	anger	0.750
douchebags	douchebags	anger	0.750
growling	kallistamine	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vgaarsus	anger	0.750
dontmesswithme	dontmieswithme	anger	0.750
crazed	hulluks	anger	0.750
despise	põlgama	anger	0.750
horror	õudus	anger	0.750
aggravating	raskendav	anger	0.750
revolting	mässuline	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	oht	anger	0.742
erupt	purskama	anger	0.742
screaming	karjuvad	anger	0.742
violence	vägivald	anger	0.742
horrible	kohutav	anger	0.742
molestation	kiusatus	anger	0.742
bastards	vennad	anger	0.741
revenge	kättemaksu	anger	0.738
catastrophe	katastroof	anger	0.735
menacing	ähvardav	anger	0.735
demon	deemon	anger	0.735
crushing	purustamine	anger	0.735
damn	kuradi	anger	0.735
persecute	tagakiusamine	anger	0.734
argue	väidavad	anger	0.734
flog	flog	anger	0.734
revolt	mäss	anger	0.734
thrash	trrash	anger	0.734
deplore	kahjuks	anger	0.734
warfare	sõjapidamine	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	karm	anger	0.734
riotous	raputus	anger	0.734
altercation	vaheldumine	anger	0.729
warlike	sõjapidav	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mäss	anger	0.727
castrate	kastreeritud	anger	0.727
sabotage	sabotaaž	anger	0.727
malevolent	pahatahtlik	anger	0.721
strike	streikima	anger	0.721
disaster	katastroof	anger	0.721
disastrous	katastroofiline	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	kurat	anger	0.719
scream	karjuma	anger	0.719
brutal	jõhker	anger	0.719
treachery	reetmine	anger	0.719
scorching	kõrvetav	anger	0.719
vermin	kahjurid	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	hobused	anger	0.719
aggravates	raskendab	anger	0.719
spiteful	kurjav	anger	0.719
slay	tappa	anger	0.719
disdain	valetama	anger	0.719
choke	õhuklapp	anger	0.719
bastarding	vallutamine	anger	0.719
mangle	müts	anger	0.714
anarchism	anarhism	anger	0.714
mutilation	moonutamine	anger	0.714
criminal	kurjategija	anger	0.714
denunciation	denonsseerimine	anger	0.713
punch	Punch	anger	0.713
crucifixion	ristilöömine	anger	0.712
virulence	virulentsus	anger	0.712
battled	võitles	anger	0.712
fatal	Tappev	anger	0.712
holocaust	holokausti	anger	0.712
blasphemous	pühadusekindel	anger	0.712
hurting	haiget	anger	0.712
dumbasses	tuuletõmbad	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	varjatud	anger	0.706
atrocious	julm	anger	0.706
evil	kurja	anger	0.706
irritated	ärritunud	anger	0.706
assassin	palgamõrvar	anger	0.703
dicks	Dicks	anger	0.703
persecution	tagakiusamine	anger	0.703
slayer	slayer	anger	0.703
kidnap	röövima	anger	0.703
scolding	viskamine	anger	0.703
intimidation	hirmutamine	anger	0.703
aggravated	süvenenud	anger	0.703
aggression	agressioon	anger	0.702
armed	relvastatud	anger	0.700
poison	mürk	anger	0.697
snarling	snarling	anger	0.697
venom	mürk	anger	0.697
battle	lahing	anger	0.697
disgruntled	pettunud	anger	0.693
insidious	salajane	anger	0.691
assailant	ründaja	anger	0.691
resentment	pahameele	anger	0.691
lynch	lünn	anger	0.690
contemptuous	põlastusväärne	anger	0.690
temper	tujusid	anger	0.688
imprisonment	vangistus	anger	0.688
disparage	pettumus	anger	0.688
bully	kiusaja	anger	0.688
terrible	kohutav	anger	0.688
lunatic	hullumeelne	anger	0.688
curse	needus	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	domineerimine	anger	0.688
mad	hulluks	anger	0.688
infanticide	lapsehoolduspuhkus	anger	0.688
volatility	volatiilsus	anger	0.687
eradication	likvideerimine	anger	0.685
tantrum	tantrum	anger	0.682
devastate	hävitab	anger	0.682
eradicate	hävitama	anger	0.682
scoundrel	pettumus	anger	0.682
aggressively	agressiivselt	anger	0.680
agitation	agitatsioon	anger	0.680
dictatorship	diktatuur	anger	0.676
irritates	ärritab	anger	0.676
profanity	ebamugavus	anger	0.673
egregious	kirglik	anger	0.672
expletive	ekslik	anger	0.672
nasty	vastik	anger	0.672
shove	panema	anger	0.672
shot	tulistas	anger	0.672
harmful	kahjulik	anger	0.672
aggravation	süvenemine	anger	0.672
contempt	põlgus	anger	0.672
poisonous	mürgine	anger	0.672
dastardly	ebaharilikult	anger	0.672
shoot	tulistama	anger	0.672
corrupting	purustades	anger	0.672
condemnation	hukkamõistu	anger	0.672
wreak	rääkima	anger	0.672
crushed	purustatud	anger	0.672
cruelly	julmalt	anger	0.672
crime	kuritegevus	anger	0.672
maniac	maniakk	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	purse	anger	0.667
odious	vastik	anger	0.667
shooting	laskmine	anger	0.667
kick	kick	anger	0.667
aggressive	agressiivne	anger	0.667
combat	võidelda	anger	0.667
shout	hüüdma	anger	0.667
hit	tabas	anger	0.667
fight	võitlema	anger	0.667
cutthroat	lõualuu	anger	0.667
enemy	vaenlane	anger	0.667
irritable	ärrituv	anger	0.667
punished	karistatud	anger	0.662
ambush	varitsus	anger	0.661
yell	kutt	anger	0.661
harass	ahistama	anger	0.659
malignant	pahaloomuline	anger	0.656
aggressor	agressor	anger	0.656
antichrist	Antikeha	anger	0.656
gore	gore	anger	0.656
incense	viiruk	anger	0.656
expel	välja saatma	anger	0.656
destruction	hävitamine	anger	0.656
grudge	vaeva	anger	0.656
cranky	võluv	anger	0.653
offended	solvunud	anger	0.652
spank	pühkima	anger	0.652
growl	muretsema	anger	0.652
insurrection	ülestõusus	anger	0.652
reprisal	repressioon	anger	0.652
slave	ori	anger	0.652
denounce	denonsseerima	anger	0.652
animosity	vaenulikkus	anger	0.652
insulting	solvav	anger	0.652
clashing	kokkutõmbumine	anger	0.652
growls	murab	anger	0.649
executioner	paat	anger	0.644
twat	twat	anger	0.644
doomsday	lõppkuupäev	anger	0.643
daemon	deemon	anger	0.641
obscenity	ebamõistlikkus	anger	0.641
bombard	pommitama	anger	0.641
spat	rumal	anger	0.641
havoc	hävimine	anger	0.641
feud	vaenu	anger	0.641
grr	grr	anger	0.641
arson	süütamine	anger	0.641
reprimand	noomitus	anger	0.641
expulsion	väljasaatmine	anger	0.641
inexcusable	vabandamatu	anger	0.641
accused	süüdistatav	anger	0.641
indignant	vihane	anger	0.641
shackle	varras	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	haavata	anger	0.636
suicidal	enesetapu	anger	0.636
poisoned	mürgitatud	anger	0.636
batter	taignas	anger	0.636
kicking	lööd	anger	0.636
hanging	rippus	anger	0.636
spanking	imekas	anger	0.636
disgusting	vastik	anger	0.636
combatant	võitleja	anger	0.636
frustrated	pettunud	anger	0.636
anarchy	anarhia	anger	0.636
glaring	pimestav	anger	0.636
inflict	tekitada	anger	0.633
wrecked	avariiline	anger	0.633
grievous	rasked	anger	0.632
prosecute	süüdistus	anger	0.630
agitated	ärritunud	anger	0.630
cheat	petan	anger	0.630
swastika	Swastika	anger	0.627
defamatory	laimav	anger	0.625
suffocation	lämbumine	anger	0.625
strife	võitlemine	anger	0.625
provocation	provokatsioon	anger	0.625
injure	vigastada	anger	0.625
harassing	ahistavad	anger	0.625
scourge	nuhtlus	anger	0.625
cursing	neetud	anger	0.625
betray	heida ära	anger	0.625
indict	süüdistatav	anger	0.625
raid	RAID	anger	0.625
thundering	äikest	anger	0.625
enslaved	orjastatud	anger	0.625
arsehole	arsehole	anger	0.624
insane	hullumeelsus	anger	0.621
fiend	viha	anger	0.621
irritate	ärritada	anger	0.621
convict	süüdimõistetu	anger	0.621
jerk	jerk	anger	0.621
theft	vargus	anger	0.621
retaliation	kättemaksu	anger	0.621
deprivation	puudust	anger	0.621
cussed	cussed	anger	0.619
turmoil	segadus	anger	0.618
smack	maitsema	anger	0.615
retribution	karistamine	anger	0.614
twats	twats	anger	0.609
intolerable	talumatu	anger	0.609
rebellion	ülestõusus	anger	0.609
injurious	kahjulik	anger	0.609
oppressor	rõhu panna	anger	0.609
slavery	orjus	anger	0.609
irritability	ärrituvus	anger	0.609
collision	kokkupõrge	anger	0.609
bitterly	kibedalt	anger	0.609
gang	gang	anger	0.609
antagonism	antagonism	anger	0.609
battery	aku	anger	0.609
adverse	kahjulik	anger	0.609
disgraced	häbistatud	anger	0.608
irritating	ärritav	anger	0.606
revolution	revolutsioon	anger	0.606
thug	rumal	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	pommitamine	anger	0.606
blast	lööklaine	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	diskrimineerimine	anger	0.606
antagonistic	antagonistlik	anger	0.606
ranting	ranting	anger	0.606
asshole	sitapea	anger	0.606
frustrate	pettuma	anger	0.604
manipulation	manipuleerimine	anger	0.603
tension	pinge	anger	0.603
insult	solvang	anger	0.603
bigot	võlur	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	kahjulik	anger	0.603
oppression	rõhumine	anger	0.603
disgust	vastikust	anger	0.602
spite	hoolimata	anger	0.600
intrusive	pealetükkiv	anger	0.598
harshness	karmus	anger	0.597
slur	sulatama	anger	0.596
wretch	vaene	anger	0.594
inferno	inferno	anger	0.594
invasion	sissetung	anger	0.594
puncture	punktsioon	anger	0.594
miserable	õnnetu	anger	0.594
assail	rünnak	anger	0.594
storming	tormine	anger	0.594
casualty	õnnetus	anger	0.594
bitterness	kibedus	anger	0.594
morbidity	haigestumus	anger	0.594
tempest	ahm	anger	0.594
consternation	ärevus	anger	0.592
depraved	rikutud	anger	0.591
raving	raev	anger	0.591
guillotine	giljotiin	anger	0.591
guilty	süüdi	anger	0.591
immoral	ebamoraalne	anger	0.591
forcibly	sunniviisiliselt	anger	0.591
overpowering	ületamine	anger	0.591
accursed	neetud	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	tagasihoidlik	anger	0.588
invader	sissetungija	anger	0.588
scare	hirmutada	anger	0.588
screwed	keeratud	anger	0.588
indignation	viha	anger	0.587
jealousy	armukadedus	anger	0.587
vexed	tüütu	anger	0.586
confront	vastu seisma	anger	0.582
brute	jõhker	anger	0.581
throttle	gaasipedaal	anger	0.579
wreck	vrakk	anger	0.578
revolver	revolver	anger	0.578
slut	lits	anger	0.578
yousuck	yousuck	anger	0.578
damage	kahju	anger	0.578
butcher	lihunik	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kuritegevus	anger	0.578
bickering	pühkimine	anger	0.578
pillage	rüüstamine	anger	0.578
blaze	põlema	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	riigipöörde	anger	0.578
contentious	vaieldav	anger	0.578
incarceration	vangistus	anger	0.578
defiant	võluv	anger	0.578
provoking	provotseeriv	anger	0.578
lash	lööve	anger	0.578
cancer	vähk	anger	0.577
frustration	frustratsioon	anger	0.576
gory	kallis	anger	0.576
alienation	võõrandumine	anger	0.576
discord	ebamõistlus	anger	0.576
disturbance	häirimine	anger	0.576
grope	torkima	anger	0.576
condescension	põlgus	anger	0.576
pernicious	kahjutu	anger	0.576
blasphemy	jumalateotamine	anger	0.576
discriminate	diskrimineerivad	anger	0.576
chaotic	kaootiline	anger	0.576
gun	relv	anger	0.576
standoff	vaheldumine	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	hirmutama	anger	0.574
lunacy	lõpmatus	anger	0.574
oppressive	rõhuv	anger	0.574
death	surm	anger	0.574
jab	Jab	anger	0.574
cursed	neetud	anger	0.574
scandalous	skandaalne	anger	0.574
monstrosity	koletisus	anger	0.574
shit	jama	anger	0.573
disparaging	häbiväärne	anger	0.571
slash	kaldkriips	anger	0.571
unfair	ebaõiglane	anger	0.571
gallows	tiivas	anger	0.570
escalate	eskaleerima	anger	0.569
intolerant	sallimatu	anger	0.564
lawlessness	seadusetus	anger	0.563
bluddy	viga	anger	0.562
perdition	hukatus	anger	0.562
taunt	imetama	anger	0.562
grouchy	kummitama	anger	0.562
torpedo	torpeedo	anger	0.562
deceived	petetud	anger	0.562
slander	lause	anger	0.562
retards	aeglustab	anger	0.562
bearish	lohakas	anger	0.562
invade	vallutama	anger	0.562
bellows	lõõtsad	anger	0.562
beast	metsaline	anger	0.562
frightful	kohutav	anger	0.562
derogatory	murettekitav	anger	0.562
glare	pimestamine	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	kohutav	anger	0.562
traitor	reetur	anger	0.562
malign	halign	anger	0.562
wrangling	vőitlemine	anger	0.562
dissension	lahkarvamused	anger	0.561
banshee	banshee	anger	0.561
shatter	hävitama	anger	0.561
conflagration	tulekahju	anger	0.561
jeopardize	ohustada	anger	0.561
thief	varas	anger	0.561
rave	märatsema	anger	0.561
grating	restid	anger	0.561
devastating	laastav	anger	0.561
idiots	idioodid	anger	0.561
betrayal	reetmine	anger	0.561
uncontrollable	kontrollimatu	anger	0.561
fits	sobib	anger	0.561
cross	rist	anger	0.561
hurt	haiget	anger	0.561
disturbed	häiritud	anger	0.559
subjugation	allumine	anger	0.559
stomped	stomped	anger	0.557
grab	haarata	anger	0.557
ticked	märgistatud	anger	0.556
masochism	masochism	anger	0.556
grievance	kaebus	anger	0.556
defiance	viletsus	anger	0.552
blackmail	väljapressimine	anger	0.550
offensive	solvav	anger	0.549
decry	kustutama	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	rikkumine	anger	0.547
punishment	karistus	anger	0.547
shrill	jama	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	Darkside	anger	0.547
misery	viletsus	anger	0.547
frustrates	masendab	anger	0.547
disgraceful	häbiväärne	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ülekaalukas	anger	0.547
disparity	ebavõrdsus	anger	0.547
confine	piirata	anger	0.547
firearms	tulirelvad	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ebaõiglane	anger	0.547
rebel	mässulised	anger	0.547
deceive	petta	anger	0.547
stolen	varastatud	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	kuumutatud	anger	0.545
ruined	rikutud	anger	0.545
menace	ähvardus	anger	0.545
humiliate	alandada	anger	0.545
tackle	tegelema	anger	0.545
conspirator	võlur	anger	0.545
foul	ebakindel	anger	0.545
antagonist	antagonist	anger	0.545
resentful	kohutav	anger	0.545
prejudice	eelarvamusi	anger	0.545
adversary	vastane	anger	0.545
argument	argument	anger	0.545
skirmish	võitlemine	anger	0.545
callous	kallis	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	segatud	anger	0.544
robbery	röövimine	anger	0.544
sting	jama	anger	0.544
outcry	kõvaks	anger	0.544
grumble	rämpsema	anger	0.544
irreconcilable	vastuoluline	anger	0.543
resistance	vastupanu	anger	0.543
obstructive	obstruktiivne	anger	0.542
dismay	häpe	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	halvasti	anger	0.536
ridicule	naeruvääristamine	anger	0.534
incendiary	süütu	anger	0.533
flares	põletid	anger	0.532
degeneracy	degeneratsioon	anger	0.531
confinement	sünnitust	anger	0.531
exacerbation	ägenemine	anger	0.531
prejudicial	kahjulik	anger	0.531
uprising	ülestõusmine	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	hooletu	anger	0.531
unbridled	unbridled	anger	0.531
allegation	süüdistus	anger	0.531
communism	kommunism	anger	0.531
whip	piitsa	anger	0.531
intruder	sissetungija	anger	0.531
dispute	vaidlus	anger	0.531
belittle	alandama	anger	0.531
bigoted	fanatiseeritud	anger	0.530
offender	õigusrikkuja	anger	0.530
hassle	vaeva	anger	0.530
dissonance	dissonants	anger	0.530
unjust	ebaõiglane	anger	0.530
dictatorial	diktaatorlik	anger	0.530
unjustifiable	põhjendamatu	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversioon	anger	0.530
tackled	lahendatud	anger	0.530
renegade	Renegade	anger	0.529
hot	kuum	anger	0.529
prison	vangla	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	väärkohtlemine	anger	0.529
suicide	enesetapp	anger	0.521
annoy	tüütu	anger	0.520
leavemealone	Jäta mind rahule	anger	0.517
idiotic	idiootlik	anger	0.516
distrust	usaldamatus	anger	0.516
depravity	väärkohtlemine	anger	0.516
cretins	kretiinid	anger	0.516
divorce	lahutus	anger	0.516
broil	praetud	anger	0.516
grrr	grrr	anger	0.516
venting	ventileerimine	anger	0.516
inimical	inimtekkeline	anger	0.516
duress	sunniviis	anger	0.516
disrespectful	lugupidamatu	anger	0.516
tortious	petturlik	anger	0.516
criticize	kritiseerima	anger	0.516
prisoner	vang	anger	0.516
dishonest	ebaaus	anger	0.516
treason	riigireetmine	anger	0.516
victimized	ohvriks langenud	anger	0.515
bile	sapi	anger	0.515
unkind	ebameeldiv	anger	0.515
unforgiving	unustamatu	anger	0.515
unleash	vallandama	anger	0.515
coercion	sundimine	anger	0.515
scold	kuratama	anger	0.515
chaos	kaos	anger	0.515
grump	hirmutama	anger	0.515
roar	möirgama	anger	0.515
jerks	jerksid	anger	0.515
poaching	salaküttimine	anger	0.515
hangry	hangy	anger	0.515
pow	pow	anger	0.515
poachers	salaküttid	anger	0.515
argumentation	argumentatsioon	anger	0.515
frustrating	masendav	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	süüdistus	anger	0.510
repudiation	loobumine	anger	0.510
enmity	vaenulikkus	anger	0.510
banish	keelduma	anger	0.509
disfigured	moonutatud	anger	0.508
storm	torm	anger	0.507
shun	vältima	anger	0.500
suppression	supressioon	anger	0.500
unruly	ebakindel	anger	0.500
intractable	raskesti käsitsetav	anger	0.500
ordeal	katsumus	anger	0.500
obstruct	takistama	anger	0.500
derogation	erand	anger	0.500
fervor	pingutus	anger	0.500
foaming	vahtumine	anger	0.500
derision	nägemine	anger	0.500
animus	animus	anger	0.500
rejects	lükkab tagasi	anger	0.500
bout	viga	anger	0.500
spear	oda	anger	0.500
crazy	hull	anger	0.500
brazen	brazen	anger	0.500
antithesis	antitekst	anger	0.500
injustice	ebaõiglus	anger	0.500
banished	vallandatud	anger	0.500
confined	piiratud	anger	0.500
frenzied	hullumeelsus	anger	0.500
dominate	domineerivad	anger	0.500
disrupting	häiriv	anger	0.500
hammering	haamriga	anger	0.500
fear	hirmu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ahastus	anger	0.500
brunt	koormus	anger	0.500
possessed	vallanud	anger	0.500
defy	muretsema	anger	0.500
scoff	jama	anger	0.500
patronising	patroniseerimine	anger	0.500
delusional	petlik	anger	0.500
malpractice	rikkumine	anger	0.500
reject	tagasi lükata	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	tugevus	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	hullumeelsus	anger	0.491
sinful	patune	anger	0.491
avarice	avarus	anger	0.490
oppress	ahvatlema	anger	0.490
disapproved	tagasi lükatud	anger	0.485
inhuman	ebainimlik	anger	0.485
demand	nõudlus	anger	0.485
abolish	kaotada	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	kaebus	anger	0.485
disservice	karedus	anger	0.485
smuggler	salakaubavedaja	anger	0.485
revoke	tühistada	anger	0.485
infraction	rikkumine	anger	0.485
claw	küünis	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	sõnakuulmatu	anger	0.485
usurp	usurp	anger	0.485
alienate	võõrandama	anger	0.485
avenger	süüdlane	anger	0.485
annoyed	tüütu	anger	0.485
cutting	lõikamine	anger	0.485
disgrace	häbistav	anger	0.484
deceit	pettus	anger	0.484
suspicious	kahtlane	anger	0.484
thresh	sulatama	anger	0.484
sucker	Sucker	anger	0.484
strained	pingeline	anger	0.484
blame	süüdistada	anger	0.484
upheaval	üleujutus	anger	0.484
renounce	loobuma	anger	0.484
obnoxious	ebameeldiv	anger	0.484
restrain	piirata	anger	0.484
oust	tõrjuma	anger	0.484
litigious	vaieldav	anger	0.484
rivalry	rivaalitsemine	anger	0.484
penalty	trahv	anger	0.484
imprisoned	vangistatud	anger	0.484
mocking	pilkamine	anger	0.484
opposed	vastu	anger	0.484
turbulence	turbulentsus	anger	0.483
pound	nael	anger	0.481
coldness	külm	anger	0.477
ungrateful	ebaõiglane	anger	0.472
battalion	pataljon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	pantvangis	anger	0.470
infidel	ebatäpne	anger	0.470
ram	ram	anger	0.470
accuser	süüdistatav	anger	0.470
gall	jala	anger	0.470
subversion	subversion	anger	0.470
annoying	tüütu	anger	0.470
adversity	vastasseis	anger	0.470
dispossessed	vallandatud	anger	0.470
friction	hõõrdumine	anger	0.470
jealous	armukade jaoks	anger	0.470
feudalism	feodalism	anger	0.470
armament	relvastus	anger	0.470
thump	kukkuma	anger	0.469
complain	kaebama, kurtma	anger	0.469
incite	ärritama	anger	0.469
steal	varastada	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	mitte järgima	anger	0.469
injury	vigastus	anger	0.469
simmer	keeda	anger	0.469
distress	stressi	anger	0.469
