word	Georgian-ka	emotion	emotion-intensity-score
castrate	კასტრატი	anger	0.727
sabotage	საბოტაჟი	anger	0.727
malevolent	მტკივა	anger	0.721
strike	გაფიცვის	anger	0.721
disaster	კატასტროფა	anger	0.721
disastrous	საშინელი	anger	0.720
tumult	შეშფოთება	anger	0.719
madden	madden	anger	0.719
devil	ეშმაკი	anger	0.719
scream	ყვირილი	anger	0.719
brutal	სასტიკი	anger	0.719
treachery	ღალატი	anger	0.719
scorching	მღელვარე	anger	0.719
vermin	მავნე	anger	0.719
arseholes	არეში	anger	0.719
horseshit	ცხენი	anger	0.719
aggravates	დამამძიმებს	anger	0.719
spiteful	სასტიკი	anger	0.719
slay	slay	anger	0.719
disdain	გულგრილობა	anger	0.719
choke	choke	anger	0.719
bastarding	საბრძოლო	anger	0.719
mangle	mangle	anger	0.714
anarchism	ანარქიზმი	anger	0.714
mutilation	დასახიჩრება	anger	0.714
criminal	კრიმინალი	anger	0.714
denunciation	დენონსირება	anger	0.713
punch	Punch	anger	0.713
crucifixion	ჯვარცმის	anger	0.712
virulence	virulence	anger	0.712
battled	battled	anger	0.712
fatal	ფატალური	anger	0.712
holocaust	ჰოლოკოსტი	anger	0.712
blasphemous	დანაშაული	anger	0.712
hurting	ზიანს აყენებს	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ჩაიშალა	anger	0.706
atrocious	ბოროტი	anger	0.706
evil	ბოროტი	anger	0.706
irritated	გაღიზიანებული	anger	0.706
assassin	მკვლელი	anger	0.703
dicks	dicks	anger	0.703
persecution	დევნა	anger	0.703
slayer	slayer	anger	0.703
kidnap	გატაცება	anger	0.703
scolding	გაყალბება	anger	0.703
intimidation	დაშინება	anger	0.703
aggravated	გამწვავდა	anger	0.703
aggression	აგრესია	anger	0.702
armed	შეიარაღებული	anger	0.700
poison	შხამი	anger	0.697
snarling	სიკვდილი	anger	0.697
venom	venom	anger	0.697
battle	ბრძოლა	anger	0.697
disgruntled	უკმაყოფილო	anger	0.693
insidious	მზაკვრული	anger	0.691
assailant	თავდამსხმელი	anger	0.691
resentment	უკმაყოფილება	anger	0.691
lynch	ლინჩი	anger	0.690
contemptuous	contemptuous	anger	0.690
temper	ხასიათი	anger	0.688
imprisonment	პატიმრობა	anger	0.688
disparage	disparage	anger	0.688
bully	დაშინება	anger	0.688
terrible	საშინელი	anger	0.688
lunatic	ლინატური	anger	0.688
curse	წყევლა	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	შეჩერდა	anger	0.688
domination	მბრძანებლობა	anger	0.688
mad	შეშლილი	anger	0.688
infanticide	infanticide	anger	0.688
volatility	არასტაბილურობა	anger	0.687
eradication	აღმოფხვრა	anger	0.685
tantrum	tantrum	anger	0.682
devastate	განადგურება	anger	0.682
eradicate	აღმოფხვრა	anger	0.682
scoundrel	ბოროტი	anger	0.682
aggressively	აგრესიულად	anger	0.680
agitation	აგიტაცია	anger	0.680
dictatorship	დიქტატურა	anger	0.676
irritates	აღიზიანებს	anger	0.676
profanity	სისულელე	anger	0.673
egregious	არაჩვეულებრივი	anger	0.672
expletive	ექსკლუზიური	anger	0.672
nasty	nasty	anger	0.672
shove	shove	anger	0.672
shot	გასროლა	anger	0.672
harmful	მავნე	anger	0.672
aggravation	გამწვავება	anger	0.672
contempt	contempt	anger	0.672
poisonous	შხამიანი	anger	0.672
dastardly	dastardly	anger	0.672
shoot	გადაღება	anger	0.672
corrupting	კორუმპირებული	anger	0.672
condemnation	დაგმობას	anger	0.672
wreak	wreak	anger	0.672
crushed	გაანადგურა	anger	0.672
cruelly	სასტიკი	anger	0.672
crime	დანაშაული	anger	0.672
maniac	მანიაკი	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ამოფრქვევა	anger	0.667
odious	ოდიოზური	anger	0.667
shooting	სროლა	anger	0.667
kick	დარტყმა	anger	0.667
aggressive	აგრესიული	anger	0.667
combat	საბრძოლო	anger	0.667
shout	ყვირილი	anger	0.667
hit	მოხვდა	anger	0.667
fight	ბრძოლა	anger	0.667
cutthroat	დაჭრილი	anger	0.667
enemy	მტერი	anger	0.667
irritable	გაღიზიანება	anger	0.667
punished	ისჯება	anger	0.662
ambush	ჩასაფრება	anger	0.661
yell	ყვირილი	anger	0.661
harass	შეურაცხყოფა	anger	0.659
malignant	ავთვისებიანი	anger	0.656
aggressor	აგრესორი	anger	0.656
antichrist	ანტიქრისტე	anger	0.656
gore	გორი	anger	0.656
incense	საკმეველი	anger	0.656
expel	გაძევება	anger	0.656
destruction	განადგურება	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	შეურაცხყოფილი	anger	0.652
spank	ტყაპუნი	anger	0.652
growl	იზრდება	anger	0.652
insurrection	ამბოხება	anger	0.652
reprisal	რეპრესიული	anger	0.652
slave	მონა	anger	0.652
denounce	დენონსირება	anger	0.652
animosity	მტრობა	anger	0.652
insulting	შეურაცხყოფა	anger	0.652
clashing	შეჯახება	anger	0.652
growls	იზრდება	anger	0.649
executioner	შემსრულებელი	anger	0.644
twat	თითი	anger	0.644
doomsday	ექიმები	anger	0.643
daemon	daemon	anger	0.641
obscenity	უხამსობა	anger	0.641
bombard	დაბომბვა	anger	0.641
spat	იფურთხება	anger	0.641
havoc	Havoc	anger	0.641
feud	მტრობა	anger	0.641
grr	გრ	anger	0.641
arson	ცეცხლი	anger	0.641
reprimand	საყვედური	anger	0.641
expulsion	გაძევება	anger	0.641
inexcusable	გამართლებული	anger	0.641
accused	დაადანაშაულა	anger	0.641
indignant	აღშფოთებული	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ჭრილობა	anger	0.636
suicidal	თვითმკვლელობა	anger	0.636
poisoned	მოწამლული	anger	0.636
batter	batter	anger	0.636
kicking	წიხლებით	anger	0.636
hanging	ჩამოკიდებული	anger	0.636
spanking	ტყაპუნი	anger	0.636
disgusting	ამაზრზენი	anger	0.636
combatant	საბრძოლო	anger	0.636
frustrated	იმედგაცრუებული	anger	0.636
anarchy	ანარქია	anger	0.636
glaring	გლუვი	anger	0.636
inflict	მიაყენოს	anger	0.633
wrecked	ჩაიშალა	anger	0.633
grievous	grievous	anger	0.632
prosecute	დევნა	anger	0.630
agitated	წყნარად	anger	0.630
cheat	მოტყუებას	anger	0.630
swastika	სვასტიკა	anger	0.627
defamatory	ცილისმწამებლური	anger	0.625
suffocation	suffocation	anger	0.625
strife	არეულობა	anger	0.625
provocation	პროვოკაცია	anger	0.625
injure	დაზიანება	anger	0.625
harassing	შევიწროება	anger	0.625
scourge	უბედურება	anger	0.625
cursing	წყევლა	anger	0.625
betray	ღალატი	anger	0.625
indict	ბრალდება	anger	0.625
raid	დარბევა	anger	0.625
thundering	მღელვარება	anger	0.625
enslaved	დამონება	anger	0.625
arsehole	arsehole	anger	0.624
insane	გიჟური	anger	0.621
fiend	ჯილდო	anger	0.621
irritate	გაღიზიანება	anger	0.621
convict	მსჯავრდებული	anger	0.621
jerk	jerk	anger	0.621
theft	ქურდობა	anger	0.621
retaliation	შურისძიება	anger	0.621
deprivation	ჩამორთმევა	anger	0.621
cussed	cussed	anger	0.619
turmoil	არეულობა	anger	0.618
smack	Smack	anger	0.615
retribution	ანგარიშსწორება	anger	0.614
twats	twats	anger	0.609
intolerable	აუტანელი	anger	0.609
rebellion	აჯანყება	anger	0.609
injurious	დაზიანებულია	anger	0.609
oppressor	დამპყრობელი	anger	0.609
slavery	მონობის	anger	0.609
irritability	გაღიზიანება	anger	0.609
collision	შეჯახება	anger	0.609
bitterly	მწარედ	anger	0.609
gang	ბანდა	anger	0.609
antagonism	ანტაგონიზმი	anger	0.609
battery	ბატარეა	anger	0.609
adverse	უარყოფითი	anger	0.609
disgraced	disgraced	anger	0.608
irritating	გამაღიზიანებელი	anger	0.606
revolution	რევოლუცია	anger	0.606
thug	thug	anger	0.606
diatribe	დიაგრამა	anger	0.606
bombardment	დაბომბვა	anger	0.606
blast	აფეთქება	anger	0.606
irks	irks	anger	0.606
sickening	გაღიზიანება	anger	0.606
discrimination	დისკრიმინაცია	anger	0.606
antagonistic	ანტაგონისტური	anger	0.606
ranting	სიმბოლურია	anger	0.606
asshole	asshole	anger	0.606
frustrate	იმედგაცრუება	anger	0.604
manipulation	მანიპულირება	anger	0.603
tension	დაძაბულობა	anger	0.603
insult	შეურაცხყოფა	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	მტკივნეული	anger	0.603
oppression	ზეწოლა	anger	0.603
disgust	სიძულვილი	anger	0.602
spite	მიუხედავად	anger	0.600
intrusive	ინტრუზიული	anger	0.598
harshness	სისულელე	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	შეჭრა	anger	0.594
puncture	პუნქცია	anger	0.594
miserable	უმწეო	anger	0.594
assail	თავდამსხმელი	anger	0.594
storming	ქარიშხალი	anger	0.594
casualty	მსხვერპლი	anger	0.594
bitterness	მწარე	anger	0.594
morbidity	ავადობა	anger	0.594
tempest	ქარიშხალი	anger	0.594
consternation	შეშფოთება	anger	0.592
depraved	გარყვნილი	anger	0.591
raving	რაინდები	anger	0.591
guillotine	გილოტ	anger	0.591
guilty	დამნაშავე	anger	0.591
immoral	ამორალური	anger	0.591
forcibly	იძულებით	anger	0.591
overpowering	აჯანყება	anger	0.591
accursed	შეჭამეს	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	შექცევადი	anger	0.588
invader	დამპყრობელი	anger	0.588
scare	შეშინება	anger	0.588
screwed	ბრალია	anger	0.588
indignation	აღშფოთება	anger	0.587
jealousy	ეჭვიანობა	anger	0.587
vexed	ვეშაპი	anger	0.586
confront	დაპირისპირება	anger	0.582
brute	უხეში	anger	0.581
throttle	throttle	anger	0.579
wreck	დანგრევა	anger	0.578
revolver	რევოლვერი	anger	0.578
slut	slut	anger	0.578
yousuck	ჩაფლავება	anger	0.578
damage	დაზიანება	anger	0.578
butcher	ჯალათიც	anger	0.578
conflict	კონფლიქტი	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	დანაშაული	anger	0.578
bickering	მღელვარე	anger	0.578
pillage	ძარცვა	anger	0.578
blaze	ბლაგვი	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	გადატრიალება	anger	0.578
contentious	სადავო	anger	0.578
incarceration	incarceration	anger	0.578
defiant	გამომწვევი	anger	0.578
provoking	პროვოცირება	anger	0.578
lash	წვიმა	anger	0.578
cancer	კიბო	anger	0.577
frustration	იმედგაცრუება	anger	0.576
gory	გორი	anger	0.576
alienation	გასხვისება	anger	0.576
discord	უთანხმოება	anger	0.576
disturbance	არეულობა	anger	0.576
grope	გროპი	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	გესმის	anger	0.576
discriminate	დისკრიმინაცია	anger	0.576
chaotic	ქაოტური	anger	0.576
gun	იარაღი	anger	0.576
standoff	დაპირისპირება	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	სიგიჟე	anger	0.574
oppressive	რეპრესიული	anger	0.574
death	სიკვდილი	anger	0.574
jab	ჯაბ	anger	0.574
cursed	დაწყევლილი	anger	0.574
scandalous	სკანდალური	anger	0.574
monstrosity	მონსტრები	anger	0.574
shit	shit	anger	0.573
disparaging	disparaging	anger	0.571
slash	სლეში	anger	0.571
unfair	უსამართლო	anger	0.571
gallows	გაყინვა	anger	0.570
escalate	ესკალაცია	anger	0.569
intolerant	შეუწყნარებელი	anger	0.564
lawlessness	უკანონობა	anger	0.563
bluddy	ბლადი	anger	0.562
perdition	perdition	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	ტორპედო	anger	0.562
deceived	მოტყუებული	anger	0.562
slander	ცილისწამება	anger	0.562
retards	retards	anger	0.562
bearish	ეკისრება	anger	0.562
invade	შეჭრა	anger	0.562
bellows	bellows	anger	0.562
beast	მხეცი	anger	0.562
frightful	საშინელი	anger	0.562
derogatory	დამამცირებელი	anger	0.562
glare	ნაცრისფერი	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	საშინელი	anger	0.562
traitor	მოღალატე	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	უთანხმოება	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	საფრთხეს უქმნის	anger	0.561
thief	ქურდი	anger	0.561
rave	რავე	anger	0.561
grating	grating	anger	0.561
devastating	დამანგრეველი	anger	0.561
idiots	იდიოტები	anger	0.561
betrayal	ღალატი	anger	0.561
uncontrollable	უკონტროლო	anger	0.561
fits	შეესაბამება	anger	0.561
cross	ჯვარი	anger	0.561
hurt	დააზარალებს	anger	0.561
disturbed	შეწუხებული	anger	0.559
subjugation	დამორჩილება	anger	0.559
stomped	stomped	anger	0.557
grab	დაიბრუნოს	anger	0.557
ticked	ticked	anger	0.556
masochism	მუსოვიზმი	anger	0.556
grievance	საჩივარი	anger	0.556
defiance	წინააღმდეგობა	anger	0.552
blackmail	შანტაჟი	anger	0.550
offensive	შეურაცხმყოფელი	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	დარღვევა	anger	0.547
punishment	სასჯელი	anger	0.547
shrill	ბრწყინვალება	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ბნელი მხარე	anger	0.547
misery	უბედურება	anger	0.547
frustrates	იმედგაცრუებული	anger	0.547
disgraceful	სამარცხვინო	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	უთანასწორობა	anger	0.547
confine	confine	anger	0.547
firearms	ცეცხლსასროლი იარაღი	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	აბსურდული	anger	0.547
rebel	მეამბოხე	anger	0.547
deceive	მოტყუება	anger	0.547
stolen	მოპარული	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	მწვავე	anger	0.545
ruined	დანგრეული	anger	0.545
menace	მუქარა	anger	0.545
humiliate	დამცირება	anger	0.545
tackle	დაძლევა	anger	0.545
conspirator	შეთქმულება	anger	0.545
foul	foul	anger	0.545
antagonist	ანტაგონისტი	anger	0.545
resentful	უკმაყოფილო	anger	0.545
prejudice	შეუზღუდავად	anger	0.545
adversary	მოწინააღმდეგე	anger	0.545
argument	არგუმენტი	anger	0.545
skirmish	შეტაკება	anger	0.545
callous	გულწრფელი	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ჩაკეტილი	anger	0.544
robbery	ძარცვა	anger	0.544
sting	სტინგი	anger	0.544
outcry	აღშფოთება	anger	0.544
grumble	გაბრაზებული	anger	0.544
irreconcilable	შეუსრულებელი	anger	0.543
resistance	წინააღმდეგობა	anger	0.543
obstructive	ობსტრუქციული	anger	0.542
dismay	შეშფოთება	anger	0.540
mob	მობ	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ბოროტება	anger	0.536
ridicule	დაცინვა	anger	0.534
incendiary	ცეცხლგამძლე	anger	0.533
flares	flares	anger	0.532
degeneracy	დეგენერაცია	anger	0.531
confinement	მშობიარობა	anger	0.531
exacerbation	გამწვავება	anger	0.531
prejudicial	წინასწარმეტყველება	anger	0.531
uprising	აჯანყება	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	უგუნური	anger	0.531
unbridled	აღვირახსნილი	anger	0.531
allegation	ბრალდება	anger	0.531
communism	კომუნიზმი	anger	0.531
whip	whip	anger	0.531
intruder	intruder	anger	0.531
dispute	დავა	anger	0.531
belittle	ქარიშხალი	anger	0.531
bigoted	bigoted	anger	0.530
offender	დამნაშავე	anger	0.530
hassle	hassle	anger	0.530
dissonance	დისონანსი	anger	0.530
unjust	უსამართლო	anger	0.530
dictatorial	დიქტატორული	anger	0.530
unjustifiable	გაუმართლებელი	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	მანკიერება	anger	0.530
tackled	მოგვარდა	anger	0.530
renegade	განდევნა	anger	0.529
hot	ცხელი	anger	0.529
prison	ციხეში	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	თვითმკვლელობა	anger	0.521
annoy	გაღიზიანება	anger	0.520
leavemealone	მარტო დამტოვე	anger	0.517
idiotic	იდიოტური	anger	0.516
distrust	უნდობლობა	anger	0.516
depravity	დეპრესია	anger	0.516
cretins	cretins	anger	0.516
divorce	განქორწინება	anger	0.516
broil	ბროლი	anger	0.516
grrr	გრ	anger	0.516
venting	venting	anger	0.516
inimical	inimical	anger	0.516
duress	იძულება	anger	0.516
disrespectful	უპატივცემულობას	anger	0.516
tortious	მწვავე	anger	0.516
criticize	კრიტიკა	anger	0.516
prisoner	პატიმარი	anger	0.516
dishonest	უსინდისო	anger	0.516
treason	ღალატი	anger	0.516
victimized	დაზარალებულს	anger	0.515
bile	ნაღვლის	anger	0.515
unkind	უმანკო	anger	0.515
unforgiving	დამამცირებელი	anger	0.515
unleash	გაუხსნელი	anger	0.515
coercion	იძულება	anger	0.515
scold	გაბრაზება	anger	0.515
chaos	ქაოსი	anger	0.515
grump	გრიპი	anger	0.515
roar	გიჟები	anger	0.515
jerks	jerks	anger	0.515
poaching	ბრაკონიერობა	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	არგუმენტაცია	anger	0.515
frustrating	იმედგაცრუება	anger	0.515
tussle	შეტევა	anger	0.514
bane	ცეცხლი	anger	0.511
accusation	ბრალდება	anger	0.510
repudiation	უარყოფა	anger	0.510
enmity	მტრობა	anger	0.510
banish	დარბევა	anger	0.509
disfigured	disfigured	anger	0.508
storm	ქარიშხალი	anger	0.507
shun	shun	anger	0.500
suppression	ჩახშობა	anger	0.500
unruly	ურჩი	anger	0.500
intractable	შეუქცევადი	anger	0.500
ordeal	განსაცდელი	anger	0.500
obstruct	დაბრკოლება	anger	0.500
derogation	გადახვევა	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	derision	anger	0.500
animus	ანიმაცია	anger	0.500
rejects	უარყოფს	anger	0.500
bout	ბუტი	anger	0.500
spear	Spear	anger	0.500
crazy	გიჟი	anger	0.500
brazen	თავხედური	anger	0.500
antithesis	ანტიტეზი	anger	0.500
injustice	უსამართლობა	anger	0.500
banished	აკრძალულია	anger	0.500
confined	შემოიფარგლება	anger	0.500
frenzied	frenzied	anger	0.500
dominate	დომინირებს	anger	0.500
disrupting	ჩაშლა	anger	0.500
hammering	ჩახშობა	anger	0.500
fear	შიში	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ტანჯვა	anger	0.500
brunt	გაბრაზება	anger	0.500
possessed	გააჩნდა	anger	0.500
defy	უგულებელყოფა	anger	0.500
scoff	scoff	anger	0.500
patronising	მფარველი	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	უარი თქვას	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	მკაცრი	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	სიგიჟე	anger	0.491
sinful	ცოდვილი	anger	0.491
avarice	avarice	anger	0.490
