word	Thai-th	emotion	emotion-intensity-score
masochism	การทำโทษตนเองในทางจิตศาสตร์	anger	0.556
grievance	ข้อข้องใจ	anger	0.556
defiance	การขัดขืน	anger	0.552
blackmail	แบล็กเมล์	anger	0.550
offensive	น่ารังเกียจ	anger	0.549
decry	ประณาม	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	การละเมิด	anger	0.547
punishment	การลงโทษ	anger	0.547
shrill	โหยหวน	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ด้านมืด	anger	0.547
misery	ความทุกข์ยาก	anger	0.547
frustrates	หงุดหงิด	anger	0.547
disgraceful	น่าอาย	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	เอาแต่ใจ	anger	0.547
disparity	ความต่าง	anger	0.547
confine	จำกัด	anger	0.547
firearms	อาวุธปืน	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ผิดปกติ	anger	0.547
rebel	กบฏ	anger	0.547
deceive	หลอกลวง	anger	0.547
stolen	ที่ถูกขโมย	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	โรคจิต	anger	0.545
heated	ดุเดือด	anger	0.545
ruined	โทรม	anger	0.545
menace	การคุกคาม	anger	0.545
humiliate	ฉีกหน้า	anger	0.545
tackle	ต่อสู้	anger	0.545
conspirator	ผู้สมรู้ร่วมคิด	anger	0.545
foul	เหม็น	anger	0.545
antagonist	ศัตรู	anger	0.545
resentful	ไม่พอใจ	anger	0.545
prejudice	อคติ	anger	0.545
adversary	ฝ่ายตรงข้าม	anger	0.545
argument	การโต้เถียง	anger	0.545
skirmish	การต่อสู้กัน	anger	0.545
callous	ใจแข็ง	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	พันกันยุ่ง	anger	0.544
robbery	โจรกรรม	anger	0.544
sting	ต่อย	anger	0.544
outcry	โวย	anger	0.544
grumble	บ่น	anger	0.544
irreconcilable	เข้ากันไม่ได้	anger	0.543
resistance	ความต้านทาน	anger	0.543
obstructive	ขวาง	anger	0.542
dismay	ความกลัว	anger	0.540
mob	ฝูงชน	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ความชั่วร้าย	anger	0.536
ridicule	เยาะเย้ย	anger	0.534
incendiary	วัตถุระเบิด	anger	0.533
flares	พลุ	anger	0.532
degeneracy	ความเสื่อม	anger	0.531
confinement	การคุมขัง	anger	0.531
exacerbation	อาการกำเริบ	anger	0.531
prejudicial	เป็นผลร้าย	anger	0.531
uprising	การจลาจล	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	บ้าบิ่น	anger	0.531
unbridled	ดื้อด้าน	anger	0.531
allegation	ข้อกล่าวหา	anger	0.531
communism	คอมมิวนิสต์	anger	0.531
whip	แส้	anger	0.531
intruder	ผู้บุกรุก	anger	0.531
dispute	พิพาท	anger	0.531
belittle	ดูแคลน	anger	0.531
bigoted	ดันทุรัง	anger	0.530
offender	ผู้กระทำผิด	anger	0.530
hassle	การทะเลาะ	anger	0.530
dissonance	ความไม่สอดคล้องกัน	anger	0.530
unjust	ไม่ยุติธรรม	anger	0.530
dictatorial	เด็ดขาด	anger	0.530
unjustifiable	แสดงเหตุผลไม่ได้	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	การบิดเบือน	anger	0.530
tackled	tackled	anger	0.530
renegade	คนทรยศ	anger	0.529
hot	ร้อน	anger	0.529
prison	คุก	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	การบุกรุก	anger	0.529
suicide	การฆ่าตัวตาย	anger	0.521
annoy	รบกวน	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	งี่เง่า	anger	0.516
distrust	ไม่ไว้วางใจ	anger	0.516
depravity	สิ่งเลวร้าย	anger	0.516
cretins	cretins	anger	0.516
divorce	หย่า	anger	0.516
broil	ผิง	anger	0.516
grrr	ฮึ่มม	anger	0.516
venting	การระบายออก	anger	0.516
inimical	ทารุณ	anger	0.516
duress	การข่มขู่บังคับ	anger	0.516
disrespectful	ไม่สุภาพ	anger	0.516
tortious	ทางแพ่ง	anger	0.516
criticize	วิจารณ์	anger	0.516
prisoner	นักโทษ	anger	0.516
dishonest	ไม่สุจริต	anger	0.516
treason	กบฏ	anger	0.516
