word	Mongolian-mn	emotion	emotion-intensity-score
manslaughter	хүн алсан	anger	0.783
clash	зөрчилдөөн	anger	0.783
bloody	Цуст	anger	0.781
hellish	hellish	anger	0.781
loath	бузар юм	anger	0.781
detonation	тэсрэх бодис	anger	0.781
quarrel	маргаантай	anger	0.781
sinister	Нууц	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	буруутгаж байна	anger	0.779
treacherous	заль мэх	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	хариу өгөх	anger	0.773
revulsion	таталт	anger	0.773
madder	зөгийн бал	anger	0.773
horrific	аймшигтай	anger	0.773
scorn	шоолох	anger	0.769
deplorable	гашуун зовлонтой	anger	0.766
bomb	бөмбөг	anger	0.766
anarchist	анархист	anger	0.765
devastation	сүйрэл	anger	0.765
resent	дургүйцдэг	anger	0.765
firestorm	гал түймэр	anger	0.765
contemptible	бузар юм	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	хэрцгий	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	үхэлтэй	anger	0.758
smash	smash	anger	0.758
rant	Харамсалтай нь	anger	0.758
outburst	довтлох	anger	0.757
snarl	snarl	anger	0.754
profane	бузар юм	anger	0.750
offend	гомдох	anger	0.750
douchebags	douchebags	anger	0.750
growling	ээрэх	anger	0.750
stfu	stfu	anger	0.750
vulgarity	бүдүүлэг үг хэллэг	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	гэж хашгирав	anger	0.750
despise	үзэн ядалт	anger	0.750
horror	Айдас	anger	0.750
aggravating	улам хүндрэх	anger	0.750
revolting	харгислал	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	аюул занал	anger	0.742
erupt	Тэсрэх	anger	0.742
screaming	хашгирах	anger	0.742
violence	хүчирхийлэл	anger	0.742
horrible	аймшигтай	anger	0.742
molestation	хулгайлсан юм	anger	0.742
bastards	новшнууд	anger	0.741
revenge	өшөө авах	anger	0.738
catastrophe	гамшиг	anger	0.735
menacing	хүлээх	anger	0.735
demon	чөтгөр	anger	0.735
crushing	бутлах	anger	0.735
damn	Новч гэж	anger	0.735
persecute	мөрдөн мөшгөх	anger	0.734
argue	маргаж байна	anger	0.734
flog	flog	anger	0.734
revolt	бослого	anger	0.734
thrash	thrash	anger	0.734
deplore	гаслан	anger	0.734
warfare	дайн	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	гээд л	anger	0.734
riotous	бослого	anger	0.734
altercation	зөрчилдөөн	anger	0.729
warlike	дайн дажин	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	мутант	anger	0.727
castrate	castrate	anger	0.727
sabotage	хорлон сүйтгэх ажиллагаа	anger	0.727
malevolent	харамсалтай	anger	0.721
strike	ажил хаялт	anger	0.721
disaster	гамшиг	anger	0.721
disastrous	гамшиг	anger	0.720
tumult	үймээн	anger	0.719
madden	Madden	anger	0.719
devil	чөтгөр	anger	0.719
scream	хашгирах	anger	0.719
brutal	харгислал	anger	0.719
treachery	хууран мэхлэлт	anger	0.719
scorching	хөдлөх	anger	0.719
vermin	үйрмэг	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	хүндрүүлдэг	anger	0.719
spiteful	харгис юм	anger	0.719
slay	алах	anger	0.719
disdain	үл тоомсорлох	anger	0.719
choke	багалзуурдаж байна	anger	0.719
bastarding	шаналсан	anger	0.719
mangle	зэрэмдэглэсэн	anger	0.714
anarchism	анархизм	anger	0.714
mutilation	гэмтэл	anger	0.714
criminal	гэмт хэрэгтэн	anger	0.714
denunciation	цуцалсан тухай	anger	0.713
punch	цоолтуурын	anger	0.713
crucifixion	цовдлолт	anger	0.712
virulence	хоруу чанар	anger	0.712
battled	тулалдаж байна	anger	0.712
fatal	үхэл	anger	0.712
holocaust	Нуралт	anger	0.712
blasphemous	доромжлох	anger	0.712
hurting	зовж байна	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	доогуур нь	anger	0.706
atrocious	аймшигтай	anger	0.706
evil	хорон муу	anger	0.706
irritated	цочирдсон	anger	0.706
assassin	алуурчин	anger	0.703
dicks	Дик	anger	0.703
persecution	хавчлага	anger	0.703
slayer	slayer	anger	0.703
kidnap	хулгайлах	anger	0.703
scolding	загнах	anger	0.703
intimidation	айдас төрүүлж байна	anger	0.703
aggravated	улам хүндрэв	anger	0.703
aggression	түрэмгийлэл	anger	0.702
armed	зэвсэглэсэн	anger	0.700
poison	хор	anger	0.697
snarling	snarling	anger	0.697
venom	хоруу чанар	anger	0.697
battle	тулаан	anger	0.697
disgruntled	дургүйцсэн	anger	0.693
insidious	хор хөнөөлтэй	anger	0.691
assailant	сэжигтэн	anger	0.691
resentment	дургүйцэл	anger	0.691
lynch	lynch	anger	0.690
contemptuous	Доромжлол	anger	0.690
temper	уурлаж байна	anger	0.688
imprisonment	шоронд хорих	anger	0.688
disparage	эмзэглэл	anger	0.688
bully	дээрэлхэх	anger	0.688
terrible	аймшигтай	anger	0.688
lunatic	Тэнэг хүн	anger	0.688
curse	хараал байна	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	үзэн яддаг	anger	0.688
domination	давамгайлал	anger	0.688
mad	галзуу	anger	0.688
infanticide	нялхас алах	anger	0.688
volatility	хэлбэлзэл	anger	0.687
eradication	устгах	anger	0.685
tantrum	аянга	anger	0.682
devastate	сүйрэх	anger	0.682
eradicate	устгах	anger	0.682
scoundrel	харгис хэрцгий	anger	0.682
aggressively	түрэмгий	anger	0.680
agitation	шуугиан тарих	anger	0.680
dictatorship	дарангуйлал	anger	0.676
irritates	цочромтгой	anger	0.676
profanity	гутаан доромжлол	anger	0.673
egregious	Хэцүү юм	anger	0.672
expletive	хайхрамжгүй	anger	0.672
nasty	муухай	anger	0.672
shove	сэгсрэх	anger	0.672
shot	буудсан	anger	0.672
harmful	хортой	anger	0.672
aggravation	доройтсон	anger	0.672
contempt	жигшил	anger	0.672
poisonous	хортой	anger	0.672
dastardly	Гайхамшгаарай	anger	0.672
shoot	гөлөг	anger	0.672
corrupting	авлигатай	anger	0.672
condemnation	буруутгал	anger	0.672
wreak	Уучлаарай	anger	0.672
crushed	буталсан	anger	0.672
cruelly	харгислал	anger	0.672
crime	гэмт хэрэг	anger	0.672
maniac	Хөөрхий	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	дэлбэрэлт	anger	0.667
odious	ер бусын	anger	0.667
shooting	буудлага	anger	0.667
kick	өшиглөх	anger	0.667
aggressive	түрэмгий	anger	0.667
combat	тулаан	anger	0.667
shout	гэж хашгирав	anger	0.667
hit	цохих	anger	0.667
fight	тулалдах	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	дайсан	anger	0.667
irritable	цочромтгой	anger	0.667
punished	шийтгэсэн	anger	0.662
ambush	хоргодох газар	anger	0.661
yell	хашгирч байна	anger	0.661
harass	Дарамтлах	anger	0.659
malignant	хорт хавдар	anger	0.656
aggressor	түрэмгийлэгч	anger	0.656
antichrist	Антихрист	anger	0.656
gore	Гор	anger	0.656
incense	утлага	anger	0.656
expel	expel	anger	0.656
destruction	устгал	anger	0.656
grudge	Сэтгэл санаагаар унадаг	anger	0.656
cranky	үдэшлэг	anger	0.653
offended	гомдох	anger	0.652
spank	цохих	anger	0.652
growl	Харж байна	anger	0.652
insurrection	бослого	anger	0.652
reprisal	хариу арга хэмжээ авах	anger	0.652
slave	боол	anger	0.652
denounce	буруутгаж байна	anger	0.652
animosity	харгислал	anger	0.652
insulting	доромжлох	anger	0.652
clashing	clashing	anger	0.652
growls	growls	anger	0.649
executioner	Алуурчин	anger	0.644
twat	twat	anger	0.644
doomsday	Дараа нь	anger	0.643
daemon	дэмон	anger	0.641
obscenity	садар самуун явдал	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	сүйрэл	anger	0.641
feud	дайн	anger	0.641
grr	грр	anger	0.641
arson	нуман	anger	0.641
reprimand	татгалзаж байна	anger	0.641
expulsion	албадан гаргах	anger	0.641
inexcusable	Үгүй	anger	0.641
accused	яллагдагч	anger	0.641
indignant	Уурлаж байна	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	шарх	anger	0.636
suicidal	Амиа хорлох	anger	0.636
poisoned	хордсон	anger	0.636
batter	Баттерей	anger	0.636
kicking	өшиглөх	anger	0.636
hanging	өлгөгдсөн	anger	0.636
spanking	цохих	anger	0.636
disgusting	жигшмээр юм	anger	0.636
combatant	байлдагч	anger	0.636
frustrated	бухимдсан	anger	0.636
anarchy	анархи	anger	0.636
glaring	тод харагдаж байна	anger	0.636
inflict	Үүнд	anger	0.633
wrecked	сүйрсэн	anger	0.633
grievous	хүнд хэцүү	anger	0.632
prosecute	яллах	anger	0.630
agitated	шоолсон	anger	0.630
cheat	Мэхлэх	anger	0.630
swastika	swastika	anger	0.627
defamatory	гүтгэлэг	anger	0.625
suffocation	амьсгал боогдох	anger	0.625
strife	маргаан	anger	0.625
provocation	өдөөн хатгалга	anger	0.625
injure	гэмтэл	anger	0.625
harassing	Дарамтлах	anger	0.625
scourge	цээрлүүлэх	anger	0.625
cursing	хараал	anger	0.625
betray	урвах	anger	0.625
indict	яллах	anger	0.625
raid	робот	anger	0.625
thundering	цангаж байна	anger	0.625
enslaved	боолчлогдсон	anger	0.625
arsehole	arsehole	anger	0.624
insane	галзуурсан	anger	0.621
fiend	дүр	anger	0.621
irritate	цочромтгой	anger	0.621
convict	яллагдагч	anger	0.621
jerk	jerk	anger	0.621
theft	хулгай	anger	0.621
retaliation	хариу арга хэмжээ авах	anger	0.621
deprivation	дутагдал	anger	0.621
cussed	хайж байна	anger	0.619
turmoil	үймээн самуун	anger	0.618
smack	smack	anger	0.615
retribution	ял шийтгэл	anger	0.614
twats	twats	anger	0.609
intolerable	тэвчихгүй байна	anger	0.609
rebellion	бослого	anger	0.609
injurious	хортой	anger	0.609
oppressor	дарангуйлагч	anger	0.609
slavery	боолчлол	anger	0.609
irritability	цочромтгой байдал	anger	0.609
collision	Зөрчилдөөн	anger	0.609
bitterly	гашуунаар	anger	0.609
gang	бүлэглэл	anger	0.609
antagonism	antagonism	anger	0.609
battery	зай	anger	0.609
adverse	сөрөг	anger	0.609
disgraced	ичгүүртэй	anger	0.608
irritating	цочроох	anger	0.606
revolution	хувьсгал	anger	0.606
thug	үерхэх	anger	0.606
diatribe	Диатив	anger	0.606
bombardment	бөмбөгдөлт	anger	0.606
blast	тэсэлгээ	anger	0.606
irks	Аркс	anger	0.606
sickening	өвдөх	anger	0.606
discrimination	ялгаварлан гадуурхалт	anger	0.606
antagonistic	антагонист	anger	0.606
ranting	Тариалах	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrate	anger	0.604
manipulation	заль мэх	anger	0.603
tension	хурцадмал байдал	anger	0.603
insult	доромжлох	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	хор хөнөөлтэй	anger	0.603
oppression	дарлал	anger	0.603
disgust	жигшүүрт зүйл	anger	0.602
spite	ер нь	anger	0.600
intrusive	интрузив	anger	0.598
harshness	хатуу ширүүн байдал	anger	0.597
slur	slur	anger	0.596
wretch	сонин	anger	0.594
inferno	inferno	anger	0.594
invasion	халдлага	anger	0.594
puncture	цооролт	anger	0.594
miserable	зовлонтой	anger	0.594
assail	Бодоод үзээрэй	anger	0.594
storming	довтлох	anger	0.594
casualty	хохирогч	anger	0.594
bitterness	гаслах явдал	anger	0.594
morbidity	өвчлөл	anger	0.594
tempest	шуурга	anger	0.594
consternation	айдас төрүүлж байна	anger	0.592
depraved	доройтсон	anger	0.591
raving	гомдох	anger	0.591
guillotine	guillotine	anger	0.591
guilty	гэм буруутай	anger	0.591
immoral	ёс суртахуунгүй	anger	0.591
forcibly	хүчээр оруулдаг	anger	0.591
overpowering	даван туулах чадвар	anger	0.591
accursed	хараалласан	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	кальцитрант	anger	0.588
invader	довтлогч	anger	0.588
scare	айдас төрүүлж байна	anger	0.588
screwed	сэгсэрч байна	anger	0.588
indignation	уур хилэн	anger	0.587
jealousy	атаархал	anger	0.587
vexed	тайвширсан	anger	0.586
confront	нүүр тулсан	anger	0.582
brute	brute	anger	0.581
throttle	тохируулагч	anger	0.579
wreck	сүйрэл	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	yousuck	anger	0.578
damage	гэмтэл	anger	0.578
butcher	нядалгаа	anger	0.578
conflict	зөрчилдөөн	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	гэмт хэрэг	anger	0.578
bickering	зөрчилдөөн	anger	0.578
pillage	хулгайлах	anger	0.578
blaze	гал асаах	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	эргэлт	anger	0.578
contentious	маргаантай	anger	0.578
incarceration	шоронд хорих	anger	0.578
defiant	эсэргүүцэлтэй	anger	0.578
provoking	сэтгэл хөдлөл	anger	0.578
lash	Сормуус	anger	0.578
cancer	хорт хавдар	anger	0.577
frustration	бухимдал	anger	0.576
gory	галзуу	anger	0.576
alienation	төрөөс ангид	anger	0.576
discord	зөрчилдөөн	anger	0.576
disturbance	эвдрэл	anger	0.576
grope	завхайрал	anger	0.576
condescension	хүлцэл	anger	0.576
pernicious	хортой	anger	0.576
blasphemy	Бурханыг доромжилсон	anger	0.576
discriminate	ялгаварлан гадуурхах	anger	0.576
chaotic	эмх замбараагүй байдал	anger	0.576
gun	буу	anger	0.576
standoff	бослого	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	Сэлэнгэ	anger	0.574
lunacy	Сонирхолтой	anger	0.574
oppressive	дарангуйлал	anger	0.574
death	үхэл	anger	0.574
jab	jab	anger	0.574
cursed	хараагдсан	anger	0.574
scandalous	садар самуун	anger	0.574
monstrosity	гайхамшигтай	anger	0.574
shit	шив	anger	0.573
disparaging	эмзэглэв	anger	0.571
slash	Slash	anger	0.571
unfair	шударга бус	anger	0.571
gallows	дүүжлүүр	anger	0.570
escalate	өсөх	anger	0.569
intolerant	үл тэвчих	anger	0.564
lawlessness	хууль бус байдал	anger	0.563
bluddy	bluddy	anger	0.562
perdition	сүйрэх	anger	0.562
taunt	шоолох	anger	0.562
grouchy	Уучлаарай	anger	0.562
torpedo	torpedo	anger	0.562
deceived	хууран мэхэлсэн	anger	0.562
slander	гүтгэлэг	anger	0.562
retards	татдаг	anger	0.562
bearish	bearish	anger	0.562
invade	дайрав	anger	0.562
bellows	хөөрөг	anger	0.562
beast	араатан	anger	0.562
frightful	аймшигтай	anger	0.562
derogatory	доройтсон	anger	0.562
glare	хурц гэрэл	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	аймшигтай	anger	0.562
traitor	урвагч	anger	0.562
malign	хорт могой	anger	0.562
wrangling	Wrangling	anger	0.562
dissension	зөрчилдөөн	anger	0.561
banshee	banshee	anger	0.561
shatter	цочирдол	anger	0.561
conflagration	гал авалцаж байна	anger	0.561
jeopardize	аюултай	anger	0.561
thief	хулгайч	anger	0.561
rave	сайшаал	anger	0.561
grating	семинар	anger	0.561
devastating	сүйрэх	anger	0.561
idiots	idiots	anger	0.561
betrayal	урвалт	anger	0.561
uncontrollable	хяналтгүй	anger	0.561
fits	нийцтэй	anger	0.561
cross	хөндлөнгийн	anger	0.561
hurt	хортой	anger	0.561
disturbed	эвдэрсэн	anger	0.559
subjugation	татгалзах	anger	0.559
stomped	саарсан	anger	0.557
grab	шүүрэх	anger	0.557
ticked	тэмдэгтэй байна	anger	0.556
masochism	Масокизм	anger	0.556
grievance	гомдол	anger	0.556
defiance	зөрчил	anger	0.552
blackmail	Харанхуй	anger	0.550
offensive	довтлох	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	зөрчил	anger	0.547
punishment	шийтгэл	anger	0.547
shrill	бутлаг	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	муу тал	anger	0.547
misery	зовлон зүдүүр	anger	0.547
frustrates	бухимдлаа	anger	0.547
disgraceful	харамсалтай	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	Сул тал	anger	0.547
disparity	ялгаатай байдал	anger	0.547
confine	хязгаарлах	anger	0.547
firearms	галт зэвсэг	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	зохисгүй	anger	0.547
rebel	босогчид	anger	0.547
deceive	хууран мэхлэх	anger	0.547
stolen	хулгайлсан	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	халсан	anger	0.545
ruined	сүйрсэн	anger	0.545
menace	заналхийлж байна	anger	0.545
humiliate	ичиж байна	anger	0.545
tackle	тэмцэх	anger	0.545
conspirator	хуйвалдагч	anger	0.545
foul	Бохирдлоо	anger	0.545
antagonist	антагонист	anger	0.545
resentful	дургүйцэхгүй	anger	0.545
prejudice	ялгаварлах	anger	0.545
adversary	дайсан	anger	0.545
argument	аргумент	anger	0.545
skirmish	мөргөлдөөн	anger	0.545
callous	завгүй байна	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	орооцолдсон	anger	0.544
robbery	дээрэм	anger	0.544
sting	Сэгсрэх	anger	0.544
outcry	Дуусах	anger	0.544
grumble	гомдоллов	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	эсэргүүцэл	anger	0.543
obstructive	obstructive	anger	0.542
dismay	сэтгэл гутрал	anger	0.540
mob	бүлэглэл	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	муу муухай	anger	0.536
ridicule	шоолох	anger	0.534
incendiary	шатаж байна	anger	0.533
flares	flares	anger	0.532
degeneracy	доройтол	anger	0.531
confinement	хорих	anger	0.531
exacerbation	зовлон зүдүүр	anger	0.531
prejudicial	хор хохирол учруулж байна	anger	0.531
uprising	бослого	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	шоолсон	anger	0.531
unbridled	хязгааргүй	anger	0.531
allegation	мэдэгдэл	anger	0.531
communism	коммунизм	anger	0.531
whip	ташуур	anger	0.531
intruder	халдагч	anger	0.531
dispute	маргаан	anger	0.531
belittle	хоромхон зуурт	anger	0.531
bigoted	түгшүүртэй	anger	0.530
offender	гэмт хэрэгтэн	anger	0.530
hassle	төвөгтэй	anger	0.530
dissonance	донтолт	anger	0.530
unjust	шударга бус	anger	0.530
dictatorial	дарангуйлагч	anger	0.530
unjustifiable	шударга бус	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	гажуудал	anger	0.530
tackled	Шийдвэрлэсэн	anger	0.530
renegade	ялгаварлагч	anger	0.529
hot	халуун байна	anger	0.529
prison	хорих газар	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	зөрчих	anger	0.529
suicide	амиа хорлох явдал	anger	0.521
annoy	уурлаж байна	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	тэнэг	anger	0.516
distrust	итгэлгүй байдал	anger	0.516
depravity	доройтол	anger	0.516
cretins	Кретинууд	anger	0.516
divorce	салалт	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	утгагүй	anger	0.516
duress	дарамт	anger	0.516
disrespectful	үл хүндэтгэсэн	anger	0.516
tortious	золгүй явдал	anger	0.516
criticize	шүүмжилж байна	anger	0.516
prisoner	хоригдол	anger	0.516
dishonest	шударга бус	anger	0.516
treason	харгислал	anger	0.516
victimized	хохирогч	anger	0.515
bile	цөс	anger	0.515
unkind	эелдэг бус	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	Илчлэлт	anger	0.515
coercion	албадлага	anger	0.515
scold	гэж хэлэв	anger	0.515
chaos	эмх замбараагүй байдал	anger	0.515
grump	grump	anger	0.515
roar	Дуусах	anger	0.515
jerks	jerks	anger	0.515
poaching	хулгайн ан	anger	0.515
hangry	Hangry	anger	0.515
pow	pow	anger	0.515
poachers	хулгайн анчид	anger	0.515
argumentation	Аргумент	anger	0.515
frustrating	бухимдлаа	anger	0.515
tussle	tussle	anger	0.514
bane	Биш	anger	0.511
accusation	яллах	anger	0.510
repudiation	татгалзах	anger	0.510
enmity	дайсагнал	anger	0.510
banish	хаях	anger	0.509
disfigured	өөрчлөгдсөн	anger	0.508
storm	шуурга	anger	0.507
shun	Шун	anger	0.500
suppression	дарах	anger	0.500
unruly	цөхрөлгүй байна	anger	0.500
intractable	үзүүртэй	anger	0.500
ordeal	Хүнд хэцүү	anger	0.500
obstruct	саад болж байна	anger	0.500
derogation	татан авалт	anger	0.500
fervor	сайхан сэтгэлтэй	anger	0.500
foaming	хөөсөрч байна	anger	0.500
derision	гомдлоо	anger	0.500
animus	animus	anger	0.500
rejects	татгалздаг	anger	0.500
bout	дайралт	anger	0.500
spear	жад	anger	0.500
crazy	галзуу	anger	0.500
brazen	brazen	anger	0.500
antithesis	антитез	anger	0.500
injustice	шударга бус байдал	anger	0.500
banished	хөөгдсөн	anger	0.500
confined	хязгаарласан	anger	0.500
frenzied	гуниглаж байна	anger	0.500
dominate	давамгайлж байна	anger	0.500
disrupting	сүйрэл	anger	0.500
hammering	цохих	anger	0.500
fear	айдас	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	шаналал	anger	0.500
brunt	brunt	anger	0.500
possessed	эзэмшсэн	anger	0.500
defy	эсэргүүцэж байна	anger	0.500
scoff	шоолох	anger	0.500
patronising	ивээн тэтгэх	anger	0.500
delusional	хуурмаг	anger	0.500
malpractice	буруутай үйлдэл	anger	0.500
reject	татгалзах	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	хатуулаг	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	галзуу	anger	0.491
sinful	нүгэлтэй	anger	0.491
avarice	Хөөрхий	anger	0.490
oppress	дарангуйлал	anger	0.490
disapproved	зөвшөөрөөгүй	anger	0.485
inhuman	хүнлэг бус	anger	0.485
