word	Haitian Creole-ht	emotion	emotion-intensity-score
hateyou	NO TRANSLATION	anger	0.818
ferocity	foli	anger	0.818
venomous	danjere	anger	0.818
threaten	menase	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	teworis	anger	0.818
abhor	dezòd	anger	0.816
savage	sovaj	anger	0.814
atrocity	atwosite	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abi	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	feròs	anger	0.812
destroyer	touye	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumeur	anger	0.812
barbaric	barbarism	anger	0.812
anger	kòlè	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	batay	anger	0.803
punched	trou	anger	0.803
bitch	bitch	anger	0.803
punching	pwensonaj	anger	0.803
homicide	omisid	anger	0.803
destructive	destriktif	anger	0.797
ruthless	san pitye	anger	0.797
villainous	mechan	anger	0.797
slap	kalòt	anger	0.791
slaughterhouse	labatwa	anger	0.788
punishing	pini	anger	0.788
destroyed	detwi	anger	0.788
retaliatory	Vanjans	anger	0.788
riot	revòlt	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	rele	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolik	anger	0.788
manslaughter	asasina	anger	0.783
clash	konfli	anger	0.783
bloody	san	anger	0.781
hellish	infernal	anger	0.781
loath	malè	anger	0.781
detonation	detonasyon	anger	0.781
quarrel	kont	anger	0.781
sinister	dezas	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akize	anger	0.779
treacherous	trèt	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	Vanjans	anger	0.773
revulsion	revòlt	anger	0.773
madder	Mèt	anger	0.773
horrific	terib	anger	0.773
scorn	epineux	anger	0.769
deplorable	dekale	anger	0.766
bomb	bonm	anger	0.766
anarchist	anarchist	anger	0.765
devastation	devastasyon	anger	0.765
resent	rayi	anger	0.765
firestorm	dife	anger	0.765
contemptible	dezagreyab	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	mechan	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ki ka touye moun	anger	0.758
smash	kraze	anger	0.758
rant	rant	anger	0.758
outburst	eksplozyon	anger	0.757
snarl	snarl	anger	0.754
profane	pwofàn	anger	0.750
offend	ofansif	anger	0.750
douchebags	douchebags	anger	0.750
growling	grinpye	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarite	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	fou	anger	0.750
despise	meprize	anger	0.750
horror	laterè	anger	0.750
aggravating	agravasyon	anger	0.750
revolting	revòlt	anger	0.750
fuckedoff	foutu	anger	0.742
threat	menas	anger	0.742
erupt	eklate	anger	0.742
screaming	kriyan	anger	0.742
violence	vyolans	anger	0.742
horrible	terib	anger	0.742
molestation	molèstasyon	anger	0.742
bastards	bastards	anger	0.741
revenge	revanj	anger	0.738
catastrophe	katastwòf	anger	0.735
menacing	menasan	anger	0.735
demon	move lespri	anger	0.735
crushing	kraze	anger	0.735
damn	modi	anger	0.735
persecute	pèsekite	anger	0.734
argue	diskite	anger	0.734
flog	baton	anger	0.734
revolt	revòlt	anger	0.734
thrash	Thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	lagè	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vrèman	anger	0.734
riotous	ri	anger	0.734
altercation	diskisyon	anger	0.729
warlike	lagè	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	choute	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotaj	anger	0.727
malevolent	malfezan	anger	0.721
strike	grèv	anger	0.721
disaster	dezas	anger	0.721
disastrous	dezas	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	move lespri	anger	0.719
scream	rèl	anger	0.719
brutal	brital	anger	0.719
treachery	treachery	anger	0.719
scorching	boule	anger	0.719
vermin	vèmin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	kavalye	anger	0.719
aggravates	agrave	anger	0.719
spiteful	malgre	anger	0.719
slay	touye	anger	0.719
disdain	deden	anger	0.719
choke	toufe	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	mutilasyon	anger	0.714
criminal	kriminèl	anger	0.714
denunciation	denonsyasyon	anger	0.713
punch	kout pyen	anger	0.713
crucifixion	krisifiksyon	anger	0.712
virulence	virulans	anger	0.712
battled	batay	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasfèm	anger	0.712
hurting	fè mal	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranje	anger	0.706
atrocious	atròs	anger	0.706
evil	sa ki mal	anger	0.706
irritated	irite	anger	0.706
assassin	asasen	anger	0.703
dicks	dik	anger	0.703
persecution	pèsekisyon	anger	0.703
slayer	touye	anger	0.703
kidnap	kidnape	anger	0.703
scolding	reprimand	anger	0.703
intimidation	entimidasyon	anger	0.703
aggravated	agrave	anger	0.703
aggression	agresyon	anger	0.702
armed	ame	anger	0.700
poison	pwazon	anger	0.697
snarling	snarling	anger	0.697
venom	venn	anger	0.697
battle	batay	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	trètr	anger	0.691
assailant	atakan	anger	0.691
resentment	resantiman	anger	0.691
lynch	lynch	anger	0.690
contemptuous	meprize	anger	0.690
temper	tanperaman	anger	0.688
imprisonment	prizon	anger	0.688
disparage	disparage	anger	0.688
bully	entimide	anger	0.688
terrible	terib	anger	0.688
lunatic	lunatik	anger	0.688
curse	madichon	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominasyon	anger	0.688
mad	fou	anger	0.688
infanticide	enfantisid	anger	0.688
volatility	volatilité	anger	0.687
eradication	eliminasyon	anger	0.685
tantrum	kòlè	anger	0.682
devastate	devaste	anger	0.682
eradicate	detwi	anger	0.682
scoundrel	tronpe	anger	0.682
aggressively	agresif	anger	0.680
agitation	ajitasyon	anger	0.680
dictatorship	diktati	anger	0.676
irritates	irite	anger	0.676
profanity	profanite	anger	0.673
egregious	étranjé	anger	0.672
expletive	eksplozif	anger	0.672
nasty	degoutan	anger	0.672
shove	bouskile	anger	0.672
shot	piki	anger	0.672
harmful	danjere	anger	0.672
aggravation	vin pi grav	anger	0.672
contempt	meprize	anger	0.672
poisonous	pwazon	anger	0.672
dastardly	dastardly	anger	0.672
shoot	tire	anger	0.672
corrupting	kòwonpi	anger	0.672
condemnation	kondanasyon	anger	0.672
wreak	wreak	anger	0.672
crushed	kraze	anger	0.672
cruelly	mechan	anger	0.672
crime	krim	anger	0.672
maniac	Maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eripsyon	anger	0.667
odious	odye	anger	0.667
shooting	tire	anger	0.667
kick	choute	anger	0.667
aggressive	agresif	anger	0.667
combat	konba	anger	0.667
shout	rele	anger	0.667
hit	frape	anger	0.667
fight	goumen	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	lènmi	anger	0.667
irritable	chimerik	anger	0.667
punished	pini	anger	0.662
ambush	anbiskad	anger	0.661
yell	rele	anger	0.661
harass	anmède	anger	0.659
malignant	malfezan	anger	0.656
aggressor	agresè	anger	0.656
antichrist	antikristyanism	anger	0.656
gore	Gore	anger	0.656
incense	lansan	anger	0.656
expel	ranvwaye	anger	0.656
destruction	destriksyon	anger	0.656
grudge	lapenn	anger	0.656
cranky	fri	anger	0.653
offended	ofanse	anger	0.652
spank	pè	anger	0.652
growl	grandi	anger	0.652
insurrection	revòlt	anger	0.652
reprisal	repriz	anger	0.652
slave	esklav	anger	0.652
denounce	denonse	anger	0.652
animosity	animosite	anger	0.652
insulting	ensiltan	anger	0.652
clashing	eklatman	anger	0.652
growls	grandi	anger	0.649
executioner	ekzekisyon	anger	0.644
twat	konba	anger	0.644
doomsday	doomsday	anger	0.643
daemon	dyaman	anger	0.641
obscenity	obscenity	anger	0.641
bombard	bonbard	anger	0.641
spat	krache	anger	0.641
havoc	fè mal	anger	0.641
feud	fwod	anger	0.641
grr	grr	anger	0.641
arson	mete dife	anger	0.641
reprimand	reprimann	anger	0.641
expulsion	ekspilsyon	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	akize	anger	0.641
indignant	ezite	anger	0.641
shackle	bat	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	blese	anger	0.636
suicidal	swisid	anger	0.636
poisoned	anpwazonnen	anger	0.636
batter	batri	anger	0.636
kicking	kikin	anger	0.636
hanging	pandye	anger	0.636
spanking	fese	anger	0.636
disgusting	degoutan	anger	0.636
combatant	konbatan	anger	0.636
frustrated	fristre	anger	0.636
anarchy	anachi	anger	0.636
glaring	briyan	anger	0.636
inflict	blese	anger	0.633
wrecked	kraze	anger	0.633
grievous	grav	anger	0.632
prosecute	pwosekite	anger	0.630
agitated	ajite	anger	0.630
cheat	tronpe	anger	0.630
swastika	swastika	anger	0.627
defamatory	difamatwa	anger	0.625
suffocation	asosiyasyon	anger	0.625
strife	kont	anger	0.625
provocation	pwovokasyon	anger	0.625
injure	blese	anger	0.625
harassing	arasman	anger	0.625
scourge	bat	anger	0.625
cursing	madichon	anger	0.625
betray	trayi	anger	0.625
indict	endike	anger	0.625
raid	atak	anger	0.625
thundering	loraj	anger	0.625
enslaved	esklav	anger	0.625
arsehole	arsehole	anger	0.624
insane	fou	anger	0.621
fiend	fiend	anger	0.621
irritate	irite	anger	0.621
convict	kondane	anger	0.621
jerk	embesil	anger	0.621
theft	vòl	anger	0.621
retaliation	Vanjans	anger	0.621
deprivation	privasyon	anger	0.621
cussed	goumen	anger	0.619
turmoil	toumant	anger	0.618
smack	santi'w	anger	0.615
retribution	pinisyon	anger	0.614
twats	twats	anger	0.609
intolerable	entolerab	anger	0.609
rebellion	rebelyon	anger	0.609
injurious	blese	anger	0.609
oppressor	opresè	anger	0.609
slavery	esklavaj	anger	0.609
irritability	chimerik	anger	0.609
collision	kolizyon	anger	0.609
bitterly	anmè kou fièl	anger	0.609
gang	gang	anger	0.609
antagonism	antagonis	anger	0.609
battery	batri	anger	0.609
adverse	negatif	anger	0.609
disgraced	wont	anger	0.608
irritating	enèvan	anger	0.606
revolution	revolisyon	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bonbadman	anger	0.606
blast	eksplozyon	anger	0.606
irks	irks	anger	0.606
sickening	danjere	anger	0.606
discrimination	diskriminasyon	anger	0.606
antagonistic	antagonik	anger	0.606
ranting	ranting	anger	0.606
asshole	estipid	anger	0.606
frustrate	fristrasyon	anger	0.604
manipulation	manipilasyon	anger	0.603
tension	tansyon	anger	0.603
insult	joure	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	fè mal	anger	0.603
oppression	opresyon	anger	0.603
disgust	degou	anger	0.602
spite	malgre	anger	0.600
intrusive	entriksyon	anger	0.598
harshness	difisil	anger	0.597
slur	Slur	anger	0.596
wretch	dezòd	anger	0.594
inferno	Inferno	anger	0.594
invasion	envazyon	anger	0.594
puncture	pike	anger	0.594
miserable	mizerab	anger	0.594
assail	detèmine	anger	0.594
storming	tanpèt	anger	0.594
casualty	aksidan	anger	0.594
bitterness	anmè	anger	0.594
morbidity	morbidite	anger	0.594
tempest	tanpèt	anger	0.594
consternation	konstèrnasyon	anger	0.592
depraved	peche	anger	0.591
raving	ravaj	anger	0.591
guillotine	guillotine	anger	0.591
guilty	koupab	anger	0.591
immoral	imoral	anger	0.591
forcibly	lafòs	anger	0.591
overpowering	pouvwa	anger	0.591
accursed	madichon	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	rekalsitrant	anger	0.588
invader	okipan	anger	0.588
scare	fè pè	anger	0.588
screwed	vise	anger	0.588
indignation	endiyasyon	anger	0.587
jealousy	jalouzi	anger	0.587
vexed	vekse	anger	0.586
confront	konfwonte	anger	0.582
brute	brital	anger	0.581
throttle	gaz	anger	0.579
wreck	nofwaj	anger	0.578
revolver	revòlvè	anger	0.578
slut	souyon	anger	0.578
yousuck	yousuck	anger	0.578
damage	domaj	anger	0.578
butcher	bouche	anger	0.578
conflict	konfli	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalite	anger	0.578
bickering	britalite	anger	0.578
pillage	grenn	anger	0.578
blaze	flanm dife	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	koudeta	anger	0.578
contentious	kontwovèsyal	anger	0.578
incarceration	anprizònman	anger	0.578
defiant	defiant	anger	0.578
provoking	provok	anger	0.578
lash	fatra	anger	0.578
cancer	kansè	anger	0.577
frustration	fristrasyon	anger	0.576
gory	Gory	anger	0.576
alienation	izolman	anger	0.576
discord	dezòd	anger	0.576
disturbance	twoub	anger	0.576
grope	grope	anger	0.576
condescension	Kondansasyon	anger	0.576
pernicious	pervert	anger	0.576
blasphemy	blasfèm	anger	0.576
discriminate	fè diskriminasyon	anger	0.576
chaotic	chaotic	anger	0.576
gun	zam	anger	0.576
standoff	kanpe	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sèpan	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	opresif	anger	0.574
death	lanmò	anger	0.574
jab	jab	anger	0.574
cursed	madichon	anger	0.574
scandalous	scandales	anger	0.574
monstrosity	monstrozite	anger	0.574
shit	kaka	anger	0.573
disparaging	disparaging	anger	0.571
slash	koupe	anger	0.571
unfair	enjis	anger	0.571
gallows	jòn	anger	0.570
escalate	eskalade	anger	0.569
intolerant	entolerans	anger	0.564
lawlessness	anachi	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdisyon	anger	0.562
taunt	fawouche	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	Tòpiyè	anger	0.562
deceived	twonpe tèt nou	anger	0.562
slander	kalomnye	anger	0.562
retards	retade	anger	0.562
bearish	Baryè	anger	0.562
invade	anvayi	anger	0.562
bellows	bellows	anger	0.562
beast	bèt	anger	0.562
frightful	pè anpil	anger	0.562
derogatory	imilyan	anger	0.562
glare	ekla	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	grangou	anger	0.562
traitor	trayi	anger	0.562
malign	mali	anger	0.562
wrangling	ensandi	anger	0.562
dissension	diskisyon	anger	0.561
banshee	banshee	anger	0.561
shatter	kraze	anger	0.561
conflagration	konfli	anger	0.561
jeopardize	mete an danje	anger	0.561
thief	vòlè	anger	0.561
rave	devinèt	anger	0.561
grating	griyaj	anger	0.561
devastating	devastatè	anger	0.561
idiots	idiots	anger	0.561
betrayal	trayizon	anger	0.561
uncontrollable	enkontwolab	anger	0.561
fits	adapte	anger	0.561
cross	kwa	anger	0.561
hurt	fè mal	anger	0.561
disturbed	detounen	anger	0.559
subjugation	Soumisyon	anger	0.559
stomped	stomped	anger	0.557
grab	pwan	anger	0.557
ticked	koche	anger	0.556
masochism	masochism	anger	0.556
grievance	plent	anger	0.556
defiance	defi	anger	0.552
blackmail	chantaj	anger	0.550
offensive	ofansif	anger	0.549
decry	Dekri	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	vyolasyon	anger	0.547
punishment	pinisyon	anger	0.547
shrill	tranble	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	kote sonb	anger	0.547
misery	mizè	anger	0.547
frustrates	fwistre	anger	0.547
disgraceful	dezagreyab	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	egzajere	anger	0.547
disparity	disparite	anger	0.547
confine	limenm	anger	0.547
firearms	zam afe	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	prekosyonèl	anger	0.547
rebel	rebèl	anger	0.547
deceive	twonpe	anger	0.547
stolen	yo vòlè	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	chofe	anger	0.545
ruined	pèdi tou	anger	0.545
menace	menas	anger	0.545
humiliate	imilye	anger	0.545
tackle	atake	anger	0.545
conspirator	konspiratè	anger	0.545
foul	foul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	resantful	anger	0.545
prejudice	prejije	anger	0.545
adversary	advèsè	anger	0.545
argument	agiman	anger	0.545
skirmish	akrochaj	anger	0.545
callous	san rete	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	entangled	anger	0.544
robbery	vòlè	anger	0.544
sting	pike	anger	0.544
outcry	eskandal	anger	0.544
grumble	bese	anger	0.544
irreconcilable	inplakabl	anger	0.543
resistance	rezistans	anger	0.543
obstructive	obstriktif	anger	0.542
dismay	pè	anger	0.540
mob	foul	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	mechanste	anger	0.536
ridicule	betiz	anger	0.534
incendiary	ensandyè	anger	0.533
flares	Fize	anger	0.532
degeneracy	dejeneresans	anger	0.531
confinement	enkaserasyon	anger	0.531
exacerbation	vin pi grav	anger	0.531
prejudicial	prejije	anger	0.531
uprising	soulèvman	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ensousyan	anger	0.531
unbridled	unbridled	anger	0.531
allegation	akizasyon	anger	0.531
communism	kominis	anger	0.531
whip	fwe	anger	0.531
intruder	entrigan	anger	0.531
dispute	diskisyon	anger	0.531
belittle	bite	anger	0.531
bigoted	Grandi	anger	0.530
offender	delenkan	anger	0.530
hassle	konplikasyon	anger	0.530
dissonance	disonans	anger	0.530
unjust	enjis	anger	0.530
dictatorial	diktatoryal	anger	0.530
unjustifiable	enjistifyab	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	pervertion	anger	0.530
tackled	tackled	anger	0.530
renegade	renegade	anger	0.529
hot	cho	anger	0.529
prison	prizon	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	enfimite	anger	0.529
suicide	swisid	anger	0.521
annoy	anbete	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotik	anger	0.516
distrust	defye	anger	0.516
depravity	koripsyon	anger	0.516
cretins	krèt	anger	0.516
divorce	divòs	anger	0.516
broil	bril	anger	0.516
grrr	grrr	anger	0.516
venting	vantilasyon	anger	0.516
inimical	inimik	anger	0.516
duress	duress	anger	0.516
disrespectful	derespektan	anger	0.516
tortious	tòti	anger	0.516
criticize	kritike	anger	0.516
prisoner	prizonye	anger	0.516
dishonest	malonèt	anger	0.516
treason	trayizon	anger	0.516
victimized	viktim	anger	0.515
bile	kòlè	anger	0.515
unkind	mal	anger	0.515
unforgiving	enpitwayabl	anger	0.515
unleash	debouche	anger	0.515
coercion	presyon	anger	0.515
scold	reprimande	anger	0.515
chaos	dezòd	anger	0.515
grump	grump	anger	0.515
roar	gwonde	anger	0.515
jerks	jerks	anger	0.515
poaching	poche	anger	0.515
hangry	hangry	anger	0.515
pow	Pouvwa	anger	0.515
poachers	brak	anger	0.515
argumentation	agiman	anger	0.515
frustrating	fwistre	anger	0.515
tussle	tussle	anger	0.514
bane	malè	anger	0.511
accusation	akizasyon	anger	0.510
repudiation	refi	anger	0.510
enmity	enmi	anger	0.510
banish	bani	anger	0.509
disfigured	defini	anger	0.508
storm	tanpèt	anger	0.507
shun	koupe	anger	0.500
suppression	repwesyon	anger	0.500
unruly	dezòd	anger	0.500
intractable	entranzabl	anger	0.500
ordeal	ajite	anger	0.500
obstruct	anpeche	anger	0.500
derogation	derogasyon	anger	0.500
fervor	fervor	anger	0.500
foaming	kimen	anger	0.500
derision	derision	anger	0.500
animus	Animus	anger	0.500
rejects	rejte	anger	0.500
bout	bout	anger	0.500
spear	frenn	anger	0.500
crazy	fou	anger	0.500
brazen	brase	anger	0.500
antithesis	antitèz	anger	0.500
injustice	enjistis	anger	0.500
banished	depòte	anger	0.500
confined	fèmen	anger	0.500
frenzied	frenzied	anger	0.500
dominate	domine	anger	0.500
disrupting	entewonp	anger	0.500
hammering	mato	anger	0.500
fear	pè	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	lapenn	anger	0.500
brunt	brunt	anger	0.500
possessed	posede	anger	0.500
defy	defi	anger	0.500
scoff	scoff	anger	0.500
patronising	patwonize	anger	0.500
delusional	Deliram	anger	0.500
malpractice	malpractice	anger	0.500
reject	rejte	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	andirans	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	Foli	anger	0.491
sinful	peche	anger	0.491
avarice	avarice	anger	0.490
oppress	peze	anger	0.490
disapproved	dezapwouve	anger	0.485
inhuman	imèn	anger	0.485
demand	demann	anger	0.485
abolish	aboli	anger	0.485
anathema	Anatèm	anger	0.485
fricking	frikin	anger	0.485
complaint	plent	anger	0.485
disservice	disservice	anger	0.485
smuggler	kontrebann	anger	0.485
revoke	revoke	anger	0.485
infraction	enfraksyon	anger	0.485
claw	grif	anger	0.485
dissident	disidan	anger	0.485
pervert	pervert	anger	0.485
incest	ensès	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	dezobeyi	anger	0.485
usurp	usurp	anger	0.485
alienate	alyenate	anger	0.485
avenger	avyon	anger	0.485
annoyed	énervé	anger	0.485
cutting	koupe	anger	0.485
disgrace	wont	anger	0.484
deceit	twonpe	anger	0.484
suspicious	sispèk	anger	0.484
thresh	twou	anger	0.484
sucker	Pistons	anger	0.484
strained	egzajere	anger	0.484
blame	blame	anger	0.484
upheaval	chanjman	anger	0.484
renounce	renonse	anger	0.484
obnoxious	dezagreyab	anger	0.484
restrain	kenbe	anger	0.484
oust	oust	anger	0.484
litigious	litijyeu	anger	0.484
rivalry	rivalite	anger	0.484
penalty	penalite	anger	0.484
imprisoned	prizon	anger	0.484
mocking	moke	anger	0.484
opposed	te opoze	anger	0.484
turbulence	tourbiyon	anger	0.483
pound	liv	anger	0.481
coldness	fredi	anger	0.477
ungrateful	enkwayab	anger	0.472
battalion	batayon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	an otaj	anger	0.470
infidel	enfidel	anger	0.470
ram	belye mouton	anger	0.470
accuser	akize	anger	0.470
gall	fyèl	anger	0.470
subversion	sibvansyon	anger	0.470
annoying	anmèdan	anger	0.470
adversity	advèsite	anger	0.470
dispossessed	depoze	anger	0.470
friction	friksyon	anger	0.470
jealous	fè jalouzi	anger	0.470
feudalism	feyodalis	anger	0.470
armament	zam	anger	0.470
thump	fwèt	anger	0.469
complain	pote plent	anger	0.469
incite	ankouraje	anger	0.469
steal	vòlè	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	dezobeyi	anger	0.469
injury	blesi	anger	0.469
simmer	mitone	anger	0.469
distress	detrès	anger	0.469
insanity	foli	anger	0.469
selfish	egoyis	anger	0.469
huff	huff	anger	0.469
selfishness	egoyis	anger	0.469
backoff	bak	anger	0.469
plunder	pran tou sa	anger	0.469
stifled	étoufé	anger	0.469
subversive	sibvèsif	anger	0.469
exile	ekzil	anger	0.469
offense	ofans	anger	0.469
objection	objeksyon	anger	0.469
recidivism	residivism	anger	0.469
smother	pran tranble	anger	0.469
perpetrator	moun ki komèt krim lan	anger	0.469
dislike	grip	anger	0.469
disruption	dezòd	anger	0.469
intolerance	entolerans	anger	0.469
opposition	opozisyon	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	tas	anger	0.467
agony	agoni	anger	0.465
arrogant	arogan	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	vantilasyon	anger	0.456
elimination	eliminasyon	anger	0.456
picketing	pikrete	anger	0.456
haughty	òf	anger	0.456
troublesome	anbarasman	anger	0.455
clamor	rimè	anger	0.455
busted	bustèd	anger	0.455
constraint	kontrent	anger	0.455
crabby	crabby	anger	0.455
veto	mete veto sou	anger	0.455
stubbed	anbrase	anger	0.455
mislead	twonpe	anger	0.455
illicit	ilegal	anger	0.455
dying	mouri	anger	0.455
grated	griye	anger	0.455
idiocy	idiocy	anger	0.455
illegality	ilegalite	anger	0.455
