word	Slovak-sk	emotion	emotion-intensity-score
devastate	zničiť	anger	0.682
eradicate	vykoreniť	anger	0.682
scoundrel	ničomník	anger	0.682
aggressively	agresívne	anger	0.680
agitation	miešanie	anger	0.680
dictatorship	diktatúra	anger	0.676
irritates	dráždi	anger	0.676
profanity	rúhavosti	anger	0.673
egregious	neslýchaný	anger	0.672
expletive	zvolanie	anger	0.672
nasty	protivný	anger	0.672
shove	rýpnutie	anger	0.672
shot	shot	anger	0.672
harmful	škodlivý	anger	0.672
aggravation	zhoršenie	anger	0.672
contempt	opovrhnutie	anger	0.672
poisonous	jedovatý	anger	0.672
dastardly	podlý	anger	0.672
shoot	strieľať	anger	0.672
corrupting	kazenie	anger	0.672
condemnation	odsúdenie	anger	0.672
wreak	spôsobiť	anger	0.672
crushed	drvený	anger	0.672
cruelly	kruto	anger	0.672
crime	zločin	anger	0.672
maniac	maniak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	výbuch	anger	0.667
odious	protivný	anger	0.667
shooting	Streľba	anger	0.667
kick	kop	anger	0.667
aggressive	útočný	anger	0.667
combat	boj	anger	0.667
shout	kričať	anger	0.667
hit	hit	anger	0.667
fight	boj	anger	0.667
cutthroat	podrezať hrdlo	anger	0.667
enemy	nepriateľ	anger	0.667
irritable	dráždivý	anger	0.667
punished	potrestaný	anger	0.662
ambush	nástraha	anger	0.661
yell	zařve	anger	0.661
harass	obťažovať	anger	0.659
malignant	zhubný	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antikrist	anger	0.656
gore	klin	anger	0.656
incense	kadidlo	anger	0.656
expel	vyhostiť	anger	0.656
destruction	zničenie	anger	0.656
grudge	zášť	anger	0.656
cranky	mrzutý	anger	0.653
offended	urazený	anger	0.652
spank	naplácat na zadok	anger	0.652
growl	zavrčanie	anger	0.652
insurrection	povstanie	anger	0.652
reprisal	odveta	anger	0.652
slave	otrok	anger	0.652
denounce	vypovedať	anger	0.652
animosity	nepriateľstvo	anger	0.652
insulting	urážajúce	anger	0.652
clashing	stretnúť	anger	0.652
growls	vrčanie	anger	0.649
executioner	kat	anger	0.644
twat	blbca	anger	0.644
doomsday	súdny deň	anger	0.643
daemon	démon	anger	0.641
obscenity	obscénnosť	anger	0.641
bombard	bombardovať	anger	0.641
spat	vylučovať ikry	anger	0.641
havoc	spúšť	anger	0.641
feud	zvar	anger	0.641
grr	GRR	anger	0.641
arson	podpaľačstvo	anger	0.641
reprimand	pokarhanie	anger	0.641
expulsion	vyhostenie	anger	0.641
inexcusable	neospravedlniteľný	anger	0.641
accused	obžalovaný	anger	0.641
indignant	rozhorčený	anger	0.641
shackle	spútať	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	zranenia	anger	0.636
suicidal	samovražedný	anger	0.636
poisoned	otrávený	anger	0.636
batter	šľahané	anger	0.636
kicking	kopanie	anger	0.636
hanging	závesný	anger	0.636
spanking	svižný	anger	0.636
disgusting	odporný	anger	0.636
combatant	bojovník	anger	0.636
frustrated	frustrovaný	anger	0.636
anarchy	anarchia	anger	0.636
glaring	oslňujúci	anger	0.636
inflict	spôsobiť	anger	0.633
wrecked	rozbitý	anger	0.633
grievous	ťažký	anger	0.632
prosecute	žalovať	anger	0.630
agitated	rozrušený	anger	0.630
cheat	podviesť	anger	0.630
swastika	svastika	anger	0.627
defamatory	hanlivý	anger	0.625
suffocation	udusenie	anger	0.625
strife	zvar	anger	0.625
provocation	provokácia	anger	0.625
injure	zraniť	anger	0.625
harassing	obťažujúce	anger	0.625
scourge	metla	anger	0.625
cursing	nadávky	anger	0.625
betray	zradiť	anger	0.625
indict	obviniť	anger	0.625
raid	nájazd	anger	0.625
thundering	hromový	anger	0.625
enslaved	zotročený	anger	0.625
arsehole	sráč	anger	0.624
insane	šialený	anger	0.621
fiend	zloduch	anger	0.621
irritate	dráždiť	anger	0.621
convict	odsúdiť	anger	0.621
jerk	trhnutie	anger	0.621
theft	krádež	anger	0.621
retaliation	odplata	anger	0.621
deprivation	deprivácie	anger	0.621
cussed	zakliaty	anger	0.619
turmoil	vrava	anger	0.618
smack	plácnutí	anger	0.615
retribution	odplata	anger	0.614
twats	twats	anger	0.609
intolerable	neznesiteľný	anger	0.609
rebellion	povstanie	anger	0.609
injurious	škodlivý	anger	0.609
oppressor	utláčateľ	anger	0.609
slavery	otroctva	anger	0.609
irritability	popudlivosť	anger	0.609
collision	Zrážka	anger	0.609
bitterly	trpko	anger	0.609
gang	gang	anger	0.609
antagonism	antagonizmus	anger	0.609
battery	batérie	anger	0.609
adverse	nepriaznivý	anger	0.609
disgraced	zneuctenie	anger	0.608
irritating	znervózňujúce	anger	0.606
revolution	revolúcia	anger	0.606
thug	násilník	anger	0.606
diatribe	invektiva	anger	0.606
bombardment	bombardovanie	anger	0.606
blast	výbuch	anger	0.606
irks	irks	anger	0.606
sickening	odporný	anger	0.606
discrimination	diskriminácie	anger	0.606
antagonistic	antagonistický	anger	0.606
ranting	chvastanie	anger	0.606
asshole	kretén	anger	0.606
frustrate	zmariť	anger	0.604
manipulation	manipulácia	anger	0.603
tension	napätie	anger	0.603
insult	urážka	anger	0.603
bigot	náboženský fanatik	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	bolestivý	anger	0.603
oppression	útlak	anger	0.603
disgust	znechutiť	anger	0.602
spite	zášť	anger	0.600
intrusive	dotieravý	anger	0.598
harshness	drsnosť	anger	0.597
slur	ohováranie	anger	0.596
wretch	úbožiak	anger	0.594
inferno	peklo	anger	0.594
invasion	invázie	anger	0.594
puncture	pichnutie	anger	0.594
miserable	biedny	anger	0.594
assail	prepadnúť	anger	0.594
storming	vtrhnutí	anger	0.594
casualty	obeť	anger	0.594
bitterness	horkosť	anger	0.594
morbidity	chorobnosť	anger	0.594
tempest	búrka	anger	0.594
consternation	zdesenie	anger	0.592
depraved	spustnutý	anger	0.591
raving	nepríčetný	anger	0.591
guillotine	gilotína	anger	0.591
guilty	vínny	anger	0.591
immoral	nemorálne	anger	0.591
forcibly	nútene	anger	0.591
overpowering	neznesiteľný	anger	0.591
accursed	prekliaty	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	spurný	anger	0.588
invader	votrelec	anger	0.588
scare	vydesiť	anger	0.588
screwed	zaskrutkovať	anger	0.588
indignation	rozhorčenie	anger	0.587
jealousy	žiarlivosť	anger	0.587
vexed	mrzutý	anger	0.586
confront	konfrontovať	anger	0.582
brute	zviera	anger	0.581
throttle	škrtiacej ventil	anger	0.579
wreck	vrak	anger	0.578
revolver	revolver	anger	0.578
slut	coura	anger	0.578
yousuck	yousuck	anger	0.578
damage	poškodenie	anger	0.578
butcher	mäsiar	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalita	anger	0.578
bickering	hašterenie	anger	0.578
pillage	drancovanie	anger	0.578
blaze	blčať	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	úder	anger	0.578
contentious	diskutabilné	anger	0.578
incarceration	uväznenie	anger	0.578
defiant	vzdorný	anger	0.578
provoking	provokačné	anger	0.578
lash	bičovať	anger	0.578
cancer	rakovina	anger	0.577
frustration	frustrácie	anger	0.576
gory	krvavý	anger	0.576
alienation	odcudzenie	anger	0.576
discord	zvar	anger	0.576
disturbance	rušenie	anger	0.576
grope	tápať	anger	0.576
condescension	blahosklonnosť	anger	0.576
pernicious	zhubný	anger	0.576
blasphemy	rúhanie	anger	0.576
discriminate	diskriminovať	anger	0.576
chaotic	chaotický	anger	0.576
gun	dialo	anger	0.576
standoff	odstup	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	úškľabok	anger	0.574
lunacy	šialenstvo	anger	0.574
oppressive	despotický	anger	0.574
death	úmrtia	anger	0.574
jab	bodnutie	anger	0.574
cursed	prekliaty	anger	0.574
scandalous	škandalózne	anger	0.574
monstrosity	obludnosť	anger	0.574
shit	hovno	anger	0.573
disparaging	prezieravý	anger	0.571
slash	bičovať	anger	0.571
unfair	nespravodlivý	anger	0.571
gallows	šibenice	anger	0.570
escalate	stupňovať	anger	0.569
intolerant	intolerantní	anger	0.564
lawlessness	bezprávia	anger	0.563
bluddy	bluddy	anger	0.562
perdition	záhuba	anger	0.562
taunt	posmech	anger	0.562
grouchy	mrzutý	anger	0.562
torpedo	torpédo	anger	0.562
deceived	podviedol	anger	0.562
slander	ohováranie	anger	0.562
retards	spomaľuje	anger	0.562
bearish	medvedí	anger	0.562
invade	prepadnúť	anger	0.562
bellows	mechy	anger	0.562
beast	zviera	anger	0.562
frightful	strašný	anger	0.562
derogatory	škodlivý	anger	0.562
glare	žiara	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	príšerný	anger	0.562
traitor	zradca	anger	0.562
malign	zhubný	anger	0.562
wrangling	hádky	anger	0.562
dissension	nezhoda	anger	0.561
banshee	banshee	anger	0.561
shatter	roztrieštiť	anger	0.561
conflagration	vzplanutia	anger	0.561
jeopardize	ohroziť	anger	0.561
thief	zlodej	anger	0.561
rave	rave	anger	0.561
grating	mriežka	anger	0.561
devastating	zničujúci	anger	0.561
idiots	idioti	anger	0.561
betrayal	zrada	anger	0.561
uncontrollable	neovládateľný	anger	0.561
fits	pasuje	anger	0.561
cross	kríž	anger	0.561
hurt	ublížiť	anger	0.561
disturbed	narušený	anger	0.559
subjugation	poroba	anger	0.559
stomped	dupol	anger	0.557
grab	uchmatnúť	anger	0.557
ticked	zaškrtnuté	anger	0.556
masochism	masochizmus	anger	0.556
grievance	krivda	anger	0.556
defiance	vzdor	anger	0.552
blackmail	vydieranie	anger	0.550
offensive	ofenzíva	anger	0.549
decry	ohovoriť	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	porušenie	anger	0.547
punishment	trest	anger	0.547
shrill	prenikavý	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	temná strana	anger	0.547
misery	bieda	anger	0.547
frustrates	marí	anger	0.547
disgraceful	hanebný	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	arogantný	anger	0.547
disparity	rozdielnosť	anger	0.547
confine	uväzniť	anger	0.547
firearms	strelné zbrane	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurdné	anger	0.547
rebel	rebel	anger	0.547
deceive	klamať	anger	0.547
stolen	ukradnutý	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	onanista	anger	0.545
heated	vyhrievaný	anger	0.545
ruined	zničený	anger	0.545
menace	nebezpečenstvo	anger	0.545
humiliate	ponížiť	anger	0.545
tackle	vysporiadať sa	anger	0.545
conspirator	spiklenec	anger	0.545
foul	odporný	anger	0.545
antagonist	antagonista	anger	0.545
resentful	mrzutý	anger	0.545
prejudice	predsudok	anger	0.545
adversary	protivník	anger	0.545
argument	argument	anger	0.545
skirmish	šarvátka	anger	0.545
callous	necitlivý	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	zapletený	anger	0.544
robbery	lúpež	anger	0.544
sting	bodnutie	anger	0.544
outcry	krik	anger	0.544
grumble	reptania	anger	0.544
irreconcilable	nezlučiteľné	anger	0.543
resistance	odpor	anger	0.543
obstructive	obštrukčná	anger	0.542
dismay	zdesenie	anger	0.540
mob	spodina	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	zlo	anger	0.536
ridicule	výsmech	anger	0.534
incendiary	zápalný	anger	0.533
flares	svetlice	anger	0.532
degeneracy	degenerovanost	anger	0.531
confinement	väzenia	anger	0.531
exacerbation	zhoršenie	anger	0.531
prejudicial	predpojatý	anger	0.531
uprising	povstanie	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	bezohľadný	anger	0.531
unbridled	bezuzdný	anger	0.531
allegation	tvrdenie	anger	0.531
communism	komunizmus	anger	0.531
whip	bič	anger	0.531
intruder	votrelec	anger	0.531
dispute	spor	anger	0.531
belittle	bagatelizovať	anger	0.531
bigoted	bigotní	anger	0.530
offender	páchateľ	anger	0.530
hassle	otravovať	anger	0.530
dissonance	disonancia	anger	0.530
unjust	nespravodlivý	anger	0.530
dictatorial	diktátorský	anger	0.530
unjustifiable	neospravedlniteľný	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	prekrútenie	anger	0.530
tackled	riešiť	anger	0.530
renegade	odpadlík	anger	0.529
hot	horúco	anger	0.529
prison	väzenský	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	prekročiť	anger	0.529
suicide	samovražda	anger	0.521
annoy	otravovať	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotsky	anger	0.516
distrust	nedôvera	anger	0.516
depravity	spustnutosti	anger	0.516
cretins	kreténi	anger	0.516
divorce	rozvod	anger	0.516
broil	grilovať	anger	0.516
grrr	grrr	anger	0.516
venting	odvzdušnenie	anger	0.516
inimical	nepriateľský	anger	0.516
duress	uväznenie	anger	0.516
disrespectful	neúctivý	anger	0.516
tortious	protiprávny	anger	0.516
criticize	kritizovať	anger	0.516
prisoner	väzeň	anger	0.516
dishonest	nečestný	anger	0.516
treason	zrada	anger	0.516
victimized	obetí	anger	0.515
bile	žlč	anger	0.515
unkind	nevľúdny	anger	0.515
unforgiving	neodpúšťajúci	anger	0.515
unleash	rozpútať	anger	0.515
coercion	donucovania	anger	0.515
scold	nadávať	anger	0.515
chaos	chaos	anger	0.515
grump	Grumpy	anger	0.515
roar	rev	anger	0.515
jerks	trhne	anger	0.515
poaching	pytliactva	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	pytliaci	anger	0.515
argumentation	argumentácia	anger	0.515
frustrating	frustrujúce	anger	0.515
tussle	zápas	anger	0.514
bane	prekliatie	anger	0.511
accusation	obvinenie	anger	0.510
repudiation	zapudenie	anger	0.510
enmity	nepriateľstvo	anger	0.510
banish	zaplašit	anger	0.509
disfigured	znetvorený	anger	0.508
storm	búrka	anger	0.507
shun	vyhýbať sa	anger	0.500
suppression	potlačenie	anger	0.500
unruly	spurný	anger	0.500
intractable	neriešiteľný	anger	0.500
ordeal	ťažká skúška	anger	0.500
obstruct	brániť	anger	0.500
derogation	odchýlka	anger	0.500
fervor	zápal	anger	0.500
foaming	penenie	anger	0.500
derision	výsmech	anger	0.500
animus	hnevu	anger	0.500
rejects	odmieta	anger	0.500
bout	záchvat	anger	0.500
spear	kopije	anger	0.500
crazy	bláznivý	anger	0.500
brazen	drzý	anger	0.500
antithesis	protiklad	anger	0.500
injustice	nespravodlivosť	anger	0.500
banished	vyhnal	anger	0.500
confined	priviazané	anger	0.500
frenzied	Horečný	anger	0.500
dominate	prevládať	anger	0.500
disrupting	narušenie činnosti	anger	0.500
hammering	vyklepanie	anger	0.500
fear	strach	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	úzkosť	anger	0.500
brunt	nápor	anger	0.500
possessed	vlastnil	anger	0.500
defy	vzdorovať	anger	0.500
scoff	posmech	anger	0.500
patronising	blahosklonný	anger	0.500
delusional	bludy	anger	0.500
malpractice	nesprávna liečba	anger	0.500
reject	odmietnuť	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	húževnatosť	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	šialenstvo	anger	0.491
sinful	hriešny	anger	0.491
avarice	lakomosť	anger	0.490
oppress	utláčať	anger	0.490
disapproved	zamietnuté	anger	0.485
inhuman	neľudský	anger	0.485
demand	dopyt	anger	0.485
abolish	zrušiť	anger	0.485
anathema	anatéma	anger	0.485
fricking	fricking	anger	0.485
complaint	sťažnosť	anger	0.485
disservice	medvedí	anger	0.485
smuggler	pašerák	anger	0.485
revoke	odvolať	anger	0.485
infraction	porušenie	anger	0.485
claw	pazúr	anger	0.485
dissident	disident	anger	0.485
pervert	zvrhlík	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neposlušný	anger	0.485
usurp	uchvátiť	anger	0.485
alienate	odcudziť	anger	0.485
avenger	pomstiteľ	anger	0.485
annoyed	otrávený	anger	0.485
cutting	výstrižok	anger	0.485
disgrace	hanba	anger	0.484
deceit	zákernosť	anger	0.484
suspicious	podozrivý	anger	0.484
thresh	mlátiť	anger	0.484
sucker	zelenáč	anger	0.484
strained	nútený	anger	0.484
blame	vina	anger	0.484
upheaval	otrasy	anger	0.484
renounce	zriecť sa	anger	0.484
obnoxious	protivný	anger	0.484
restrain	prekážať	anger	0.484
oust	vyhnať	anger	0.484
litigious	sporný	anger	0.484
rivalry	súperenie	anger	0.484
penalty	pokuta	anger	0.484
imprisoned	uväznený	anger	0.484
mocking	uštipačný	anger	0.484
opposed	protichodný	anger	0.484
turbulence	turbulencie	anger	0.483
pound	libra	anger	0.481
coldness	chlad	anger	0.477
ungrateful	nevďačný	anger	0.472
battalion	batalión	anger	0.471
stoopid	Stoopid	anger	0.471
hostage	rukojemníkov	anger	0.470
infidel	neveriaci	anger	0.470
ram	baran	anger	0.470
accuser	žalobca	anger	0.470
gall	žlč	anger	0.470
subversion	podvracanie	anger	0.470
annoying	nepríjemný	anger	0.470
adversity	nepriazeň osudu	anger	0.470
dispossessed	nemajetný	anger	0.470
friction	trenie	anger	0.470
jealous	žiarlivý	anger	0.470
feudalism	feudalizmus	anger	0.470
armament	vyzbrojení	anger	0.470
thump	buchnutie	anger	0.469
