word	Slovenian-sl	emotion	emotion-intensity-score
clash	spopad	anger	0.783
bloody	krvavo	anger	0.781
hellish	peklensko	anger	0.781
loath	nezadovoljstvo	anger	0.781
detonation	detonacija	anger	0.781
quarrel	prepir	anger	0.781
sinister	zloben	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	obtožujejo	anger	0.779
treacherous	izdajalski	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	maščevati	anger	0.773
revulsion	odvratnost	anger	0.773
madder	Madder	anger	0.773
horrific	grozno	anger	0.773
scorn	prezir	anger	0.769
deplorable	žalostno	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarhist	anger	0.765
devastation	uničenje	anger	0.765
resent	resent	anger	0.765
firestorm	ogenj	anger	0.765
contemptible	zanemarljivo	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kruto	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	smrtonosno	anger	0.758
smash	Smash	anger	0.758
rant	rant	anger	0.758
outburst	izbruh	anger	0.757
snarl	gnus	anger	0.754
profane	profane	anger	0.750
offend	užaljen	anger	0.750
douchebags	douchebags	anger	0.750
growling	Rožanje	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarnost	anger	0.750
dontmesswithme	Dontmesswithme	anger	0.750
crazed	polomljen	anger	0.750
despise	prezira	anger	0.750
horror	grozo	anger	0.750
aggravating	otežuje	anger	0.750
revolting	revoltiranje	anger	0.750
fuckedoff	zajebano	anger	0.742
threat	grožnja	anger	0.742
erupt	erupt	anger	0.742
screaming	kričati	anger	0.742
violence	nasilje	anger	0.742
horrible	grozno	anger	0.742
molestation	zloraba	anger	0.742
bastards	prasci	anger	0.741
revenge	maščevanje	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	grozljiv	anger	0.735
demon	demon	anger	0.735
crushing	drobljenje	anger	0.735
damn	Prekleto	anger	0.735
persecute	preganjati	anger	0.734
argue	trdijo	anger	0.734
flog	flog	anger	0.734
revolt	upor	anger	0.734
thrash	trh	anger	0.734
deplore	obžalujem	anger	0.734
warfare	vojna	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	močno	anger	0.734
riotous	riotno	anger	0.734
altercation	razburjenje	anger	0.729
warlike	vojaško	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	upor	anger	0.727
castrate	kastrat	anger	0.727
sabotage	sabotaža	anger	0.727
malevolent	zlonamerno	anger	0.721
strike	stavka	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	katastrofalno	anger	0.720
tumult	nemir	anger	0.719
madden	norec	anger	0.719
devil	Hudič	anger	0.719
scream	kričati	anger	0.719
brutal	brutalno	anger	0.719
treachery	izdajstvo	anger	0.719
scorching	žganje	anger	0.719
vermin	škodljivec	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	konjska srajca	anger	0.719
aggravates	poslabša	anger	0.719
spiteful	Navijati	anger	0.719
slay	ubiti	anger	0.719
disdain	prezira	anger	0.719
choke	dušenje	anger	0.719
bastarding	pankrt	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarhizem	anger	0.714
mutilation	pohabljanje	anger	0.714
criminal	kriminalec	anger	0.714
denunciation	odpoved	anger	0.713
punch	udarec	anger	0.713
crucifixion	križanje	anger	0.712
virulence	virulenca	anger	0.712
battled	boril se je	anger	0.712
fatal	smrtno	anger	0.712
holocaust	holokavst	anger	0.712
blasphemous	bogokleten	anger	0.712
hurting	boli	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	zmeden	anger	0.706
atrocious	grozno	anger	0.706
evil	zlo	anger	0.706
irritated	razdraženi	anger	0.706
assassin	morilec	anger	0.703
dicks	klopi	anger	0.703
persecution	preganjanje	anger	0.703
slayer	Slayer	anger	0.703
kidnap	ugrabitev	anger	0.703
scolding	hvaliti	anger	0.703
intimidation	ustrahovanje	anger	0.703
aggravated	poslabšanje	anger	0.703
aggression	agresija	anger	0.702
armed	oborožen	anger	0.700
poison	strup	anger	0.697
snarling	srčkan	anger	0.697
venom	strup	anger	0.697
battle	Bitka	anger	0.697
disgruntled	nezadovoljni	anger	0.693
insidious	pokvaren	anger	0.691
assailant	napadalec	anger	0.691
resentment	nezadovoljstvo	anger	0.691
lynch	Linč	anger	0.690
contemptuous	prezir	anger	0.690
temper	temper	anger	0.688
imprisonment	zapora	anger	0.688
disparage	zaničevanje	anger	0.688
bully	bulja	anger	0.688
terrible	grozno	anger	0.688
lunatic	ludak	anger	0.688
curse	prekletstvo	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominacija	anger	0.688
mad	jezen	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatilnost	anger	0.687
eradication	izkoreninjenje	anger	0.685
tantrum	Dijalog	anger	0.682
devastate	uniči	anger	0.682
eradicate	izkoreniniti	anger	0.682
scoundrel	Nesreča	anger	0.682
aggressively	agresivno	anger	0.680
agitation	vznemirjenost	anger	0.680
dictatorship	diktatura	anger	0.676
irritates	draži	anger	0.676
profanity	slabost	anger	0.673
egregious	izjemno	anger	0.672
expletive	Izgovoren	anger	0.672
nasty	grdo	anger	0.672
shove	potisni	anger	0.672
shot	strel	anger	0.672
harmful	škodljivo	anger	0.672
aggravation	poslabšanje	anger	0.672
contempt	prezir	anger	0.672
poisonous	strupen	anger	0.672
dastardly	skrajno	anger	0.672
shoot	ustrelil	anger	0.672
corrupting	pokvaril	anger	0.672
condemnation	obsodba	anger	0.672
wreak	uniči	anger	0.672
crushed	zdrobljen	anger	0.672
cruelly	kruto	anger	0.672
crime	kriminal	anger	0.672
maniac	manijak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	izbruh	anger	0.667
odious	Odporen	anger	0.667
shooting	streljanje	anger	0.667
kick	kick	anger	0.667
aggressive	agresivno	anger	0.667
combat	boj	anger	0.667
shout	kričati	anger	0.667
hit	udaril	anger	0.667
fight	boj	anger	0.667
cutthroat	kesanje	anger	0.667
enemy	sovražnik	anger	0.667
irritable	razdražljiv	anger	0.667
punished	kaznovani	anger	0.662
ambush	zaseda	anger	0.661
yell	vikati	anger	0.661
harass	nadlegovati	anger	0.659
malignant	maligni	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antikrist	anger	0.656
gore	gore	anger	0.656
incense	kadilo	anger	0.656
expel	Izginiti	anger	0.656
destruction	uničenje	anger	0.656
grudge	zamera	anger	0.656
cranky	Čudno	anger	0.653
offended	užaljen	anger	0.652
spank	ploskanje	anger	0.652
growl	raje	anger	0.652
insurrection	vstaje	anger	0.652
reprisal	odmazde	anger	0.652
slave	suženj	anger	0.652
denounce	odpovedati	anger	0.652
animosity	sovražnost	anger	0.652
insulting	žalitev	anger	0.652
clashing	spopadanje	anger	0.652
growls	Rože	anger	0.649
executioner	izvršitelj	anger	0.644
twat	twat	anger	0.644
doomsday	Doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenost	anger	0.641
bombard	bombardiranje	anger	0.641
spat	pljunil	anger	0.641
havoc	opustošenje	anger	0.641
feud	spopad	anger	0.641
grr	grr	anger	0.641
arson	požig	anger	0.641
reprimand	opomin	anger	0.641
expulsion	izgon	anger	0.641
inexcusable	neizprosno	anger	0.641
accused	obtožen	anger	0.641
indignant	ogorčen	anger	0.641
shackle	skodelico	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	rana	anger	0.636
suicidal	samomoril	anger	0.636
poisoned	zastrupljen	anger	0.636
batter	Testo	anger	0.636
kicking	brcni	anger	0.636
hanging	visi	anger	0.636
spanking	plekanje	anger	0.636
disgusting	Odvratno	anger	0.636
combatant	borca	anger	0.636
frustrated	razočaran	anger	0.636
anarchy	anarhija	anger	0.636
glaring	glaring	anger	0.636
inflict	povzroči	anger	0.633
wrecked	uničil	anger	0.633
grievous	hudoben	anger	0.632
prosecute	preganjati	anger	0.630
agitated	vznemirjen	anger	0.630
cheat	goljufija	anger	0.630
swastika	swastika	anger	0.627
defamatory	obrekljivo	anger	0.625
suffocation	zadušitev	anger	0.625
strife	spori	anger	0.625
provocation	provokacija	anger	0.625
injure	poškodovati	anger	0.625
harassing	nadlegovanje	anger	0.625
scourge	nadloga	anger	0.625
cursing	preklinjanje	anger	0.625
betray	izdati	anger	0.625
indict	Obtožnica	anger	0.625
raid	napad	anger	0.625
thundering	grmenje	anger	0.625
enslaved	zasužnjen	anger	0.625
arsehole	arsehole	anger	0.624
insane	noro	anger	0.621
fiend	fiend	anger	0.621
irritate	draži	anger	0.621
convict	obsojenec	anger	0.621
jerk	kreten	anger	0.621
theft	kraje	anger	0.621
retaliation	maščevanje	anger	0.621
deprivation	pomanjkanje	anger	0.621
cussed	cussed	anger	0.619
turmoil	nemir	anger	0.618
smack	Smack	anger	0.615
retribution	odmev	anger	0.614
twats	twats	anger	0.609
intolerable	nedopustno	anger	0.609
rebellion	upor	anger	0.609
injurious	škodljiv	anger	0.609
oppressor	zatiralec	anger	0.609
slavery	suženjstvo	anger	0.609
irritability	razdražljivost	anger	0.609
collision	trčenje	anger	0.609
bitterly	grenko	anger	0.609
gang	tolpa	anger	0.609
antagonism	antagonizem	anger	0.609
battery	baterijo	anger	0.609
adverse	neugodno	anger	0.609
disgraced	osramotil	anger	0.608
irritating	draži	anger	0.606
revolution	revolucija	anger	0.606
thug	mrtev	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardiranje	anger	0.606
blast	pišu	anger	0.606
irks	irks	anger	0.606
sickening	bolan	anger	0.606
discrimination	diskriminacija	anger	0.606
antagonistic	antagonistično	anger	0.606
ranting	ranjenje	anger	0.606
asshole	kreten	anger	0.606
frustrate	onemogočiti	anger	0.604
manipulation	manipulacija	anger	0.603
tension	napetost	anger	0.603
insult	žalitev	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	hudobno	anger	0.603
oppression	zatiranje	anger	0.603
disgust	gnus	anger	0.602
spite	kljub temu	anger	0.600
intrusive	vsiljiv	anger	0.598
harshness	krutost	anger	0.597
slur	slur	anger	0.596
wretch	nesreča	anger	0.594
inferno	inferno	anger	0.594
invasion	invazija	anger	0.594
puncture	punkcija	anger	0.594
miserable	nesrečen	anger	0.594
assail	assail	anger	0.594
storming	nevihte	anger	0.594
casualty	žrtev	anger	0.594
bitterness	grenkobe	anger	0.594
morbidity	obolevnost	anger	0.594
tempest	nevihta	anger	0.594
consternation	preudarnost	anger	0.592
depraved	odvraten	anger	0.591
raving	gnjev	anger	0.591
guillotine	giljotina	anger	0.591
guilty	kriv	anger	0.591
immoral	nemoralno	anger	0.591
forcibly	prisilno	anger	0.591
overpowering	nadvlada	anger	0.591
accursed	preklet	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	Odsoten	anger	0.588
invader	napadalec	anger	0.588
scare	prestraši	anger	0.588
screwed	privijte	anger	0.588
indignation	ogorčenje	anger	0.587
jealousy	ljubosumje	anger	0.587
vexed	užaljen	anger	0.586
confront	soočiti se	anger	0.582
brute	Brute	anger	0.581
throttle	dušilka	anger	0.579
wreck	razbitino	anger	0.578
revolver	revolver	anger	0.578
slut	kurba	anger	0.578
yousuck	beden si	anger	0.578
damage	škoda	anger	0.578
butcher	mesar	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminaliteta	anger	0.578
bickering	batorering	anger	0.578
pillage	pljačko	anger	0.578
blaze	Blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	državni udar	anger	0.578
contentious	sporno	anger	0.578
incarceration	zaprtje	anger	0.578
defiant	defiant	anger	0.578
provoking	vzpodbuja	anger	0.578
lash	trepalnice	anger	0.578
cancer	rak	anger	0.577
frustration	frustracije	anger	0.576
gory	krava	anger	0.576
alienation	odtujenost	anger	0.576
discord	razdora	anger	0.576
disturbance	motnje	anger	0.576
grope	grope	anger	0.576
condescension	zmedenost	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	bogokletje	anger	0.576
discriminate	diskriminira	anger	0.576
chaotic	kaotično	anger	0.576
gun	pištolo	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sranje	anger	0.574
lunacy	Lunacy	anger	0.574
oppressive	zatiranje	anger	0.574
death	smrt	anger	0.574
jab	jab	anger	0.574
cursed	preklet	anger	0.574
scandalous	škandalozno	anger	0.574
monstrosity	pošast	anger	0.574
shit	sranje	anger	0.573
disparaging	prezira	anger	0.571
slash	poševnica	anger	0.571
unfair	nepravično	anger	0.571
gallows	viseče	anger	0.570
escalate	stopnjevati	anger	0.569
intolerant	nestrpno	anger	0.564
lawlessness	brezpravja	anger	0.563
bluddy	blatni	anger	0.562
perdition	pogin	anger	0.562
taunt	uniči	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	Torpedo	anger	0.562
deceived	prevar	anger	0.562
slander	klevetanje	anger	0.562
retards	zaostaja	anger	0.562
bearish	medvedek	anger	0.562
invade	napadel	anger	0.562
bellows	meh	anger	0.562
beast	Zver	anger	0.562
frightful	grozno	anger	0.562
derogatory	derogatory	anger	0.562
glare	bleščanje	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	grozno	anger	0.562
traitor	izdajalec	anger	0.562
malign	maligna	anger	0.562
wrangling	premagati	anger	0.562
dissension	razdora	anger	0.561
banshee	Banshee	anger	0.561
shatter	Razbiti	anger	0.561
conflagration	požar	anger	0.561
jeopardize	ogroziti	anger	0.561
thief	tat	anger	0.561
rave	rave	anger	0.561
grating	ribanje	anger	0.561
devastating	uničujoče	anger	0.561
idiots	idioti	anger	0.561
betrayal	izdaja	anger	0.561
uncontrollable	nenadzorovano	anger	0.561
fits	Ujema	anger	0.561
cross	križ	anger	0.561
hurt	boli	anger	0.561
disturbed	vznemirjen	anger	0.559
subjugation	podrejanje	anger	0.559
stomped	stomped	anger	0.557
grab	zgrabi	anger	0.557
ticked	označili	anger	0.556
masochism	mazohizem	anger	0.556
grievance	žalovanje	anger	0.556
defiance	premirje	anger	0.552
blackmail	izsiljevanje	anger	0.550
offensive	žaljivo	anger	0.549
decry	dekri	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	kršitev	anger	0.547
punishment	kazen	anger	0.547
shrill	navzdol	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	temna stran	anger	0.547
misery	beda	anger	0.547
frustrates	frustrira	anger	0.547
disgraceful	sramotno	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	nadmoć	anger	0.547
disparity	neskladje	anger	0.547
confine	omejiti	anger	0.547
firearms	strelno orožje	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	prepreden	anger	0.547
rebel	upornik	anger	0.547
deceive	zavede	anger	0.547
stolen	ukraden	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Čudak	anger	0.545
heated	ogrevano	anger	0.545
ruined	uničen	anger	0.545
menace	nevarnost	anger	0.545
humiliate	ponižuj	anger	0.545
tackle	reševanje	anger	0.545
conspirator	zaviralec	anger	0.545
foul	prekršek	anger	0.545
antagonist	antagonist	anger	0.545
resentful	užaljen	anger	0.545
prejudice	predsodki	anger	0.545
adversary	nasprotnik	anger	0.545
argument	prepir	anger	0.545
skirmish	spopad	anger	0.545
callous	neumnost	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	zapletena	anger	0.544
robbery	rop	anger	0.544
sting	sting	anger	0.544
outcry	ponorel	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	nezdružljivo	anger	0.543
resistance	odpornost	anger	0.543
obstructive	obstruktivno	anger	0.542
dismay	razburjaj	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	slabost	anger	0.536
ridicule	posmeh	anger	0.534
incendiary	zažigalnik	anger	0.533
flares	rakete	anger	0.532
degeneracy	degeneracijo	anger	0.531
confinement	zaprtje	anger	0.531
exacerbation	poslabšanje	anger	0.531
prejudicial	škodljivo	anger	0.531
uprising	vstaje	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	nepremišljen	anger	0.531
unbridled	razburjen	anger	0.531
allegation	trditev	anger	0.531
communism	komunizem	anger	0.531
whip	bič	anger	0.531
intruder	vsiljivec	anger	0.531
dispute	spor	anger	0.531
belittle	slabost	anger	0.531
bigoted	pobožen	anger	0.530
offender	storilec	anger	0.530
hassle	Nezdravih	anger	0.530
dissonance	disonanca	anger	0.530
unjust	nepravično	anger	0.530
dictatorial	diktatorski	anger	0.530
unjustifiable	neupravičeno	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perverznost	anger	0.530
tackled	reševati	anger	0.530
renegade	odmetnik	anger	0.529
hot	vroče	anger	0.529
prison	zapor	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	prestopek	anger	0.529
suicide	samomor	anger	0.521
annoy	moti	anger	0.520
leavemealone	pusti me pri miru	anger	0.517
idiotic	idioti	anger	0.516
distrust	nezaupanje	anger	0.516
depravity	odvratnost	anger	0.516
cretins	kreteni	anger	0.516
divorce	ločitev	anger	0.516
broil	pepel	anger	0.516
grrr	grrr	anger	0.516
venting	odzračevanje	anger	0.516
inimical	nemogoče	anger	0.516
duress	prisilo	anger	0.516
disrespectful	nespoštljivo	anger	0.516
tortious	mučen	anger	0.516
criticize	kritizirati	anger	0.516
prisoner	zapornik	anger	0.516
dishonest	nepošteni	anger	0.516
treason	izdaja	anger	0.516
victimized	žrtev	anger	0.515
bile	žolč	anger	0.515
unkind	neutemeljen	anger	0.515
unforgiving	neusmiljen	anger	0.515
unleash	sprosti	anger	0.515
coercion	prisila	anger	0.515
scold	Rahlo	anger	0.515
chaos	kaos	anger	0.515
grump	grumpy	anger	0.515
roar	Roker	anger	0.515
jerks	kreteni	anger	0.515
poaching	lova	anger	0.515
hangry	hangar	anger	0.515
pow	pow	anger	0.515
poachers	lovci	anger	0.515
argumentation	argumentacija	anger	0.515
frustrating	frustrirajuće	anger	0.515
tussle	Tussle	anger	0.514
bane	Bane	anger	0.511
accusation	obtožba	anger	0.510
repudiation	odklonitev	anger	0.510
enmity	sovraštvo	anger	0.510
banish	izgnan	anger	0.509
disfigured	zmešan	anger	0.508
storm	nevihta	anger	0.507
shun	Izogibaj se	anger	0.500
suppression	zatiranje	anger	0.500
unruly	nepopravljivo	anger	0.500
intractable	nepremagljiv	anger	0.500
ordeal	preizkušnja	anger	0.500
obstruct	oviranje	anger	0.500
derogation	odstopanje	anger	0.500
fervor	strah	anger	0.500
foaming	penjenje	anger	0.500
derision	izzivanje	anger	0.500
animus	animus	anger	0.500
rejects	zavrača	anger	0.500
bout	bout	anger	0.500
spear	kopje	anger	0.500
crazy	noro	anger	0.500
brazen	drzni	anger	0.500
antithesis	antiteza	anger	0.500
injustice	nepravičnost	anger	0.500
banished	izgnan	anger	0.500
confined	omejeno	anger	0.500
frenzied	zmešan	anger	0.500
dominate	prevladujejo	anger	0.500
disrupting	motnje	anger	0.500
hammering	kladivo	anger	0.500
fear	strah	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	bojazen	anger	0.500
brunt	breme	anger	0.500
possessed	posedovali	anger	0.500
defy	premagati	anger	0.500
scoff	zmedo	anger	0.500
patronising	pokroviteljstvo	anger	0.500
delusional	nenavaden	anger	0.500
malpractice	zloraba	anger	0.500
reject	Zavrni	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	žilavost	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	norost	anger	0.491
sinful	grešno	anger	0.491
avarice	avarice	anger	0.490
oppress	zatirati	anger	0.490
disapproved	zavrnjen	anger	0.485
inhuman	nečloveško	anger	0.485
demand	povpraševanje	anger	0.485
abolish	ukiniti	anger	0.485
anathema	anatema	anger	0.485
fricking	Fricking	anger	0.485
complaint	pritožba	anger	0.485
disservice	slabost	anger	0.485
smuggler	tihotapec	anger	0.485
revoke	prekliči	anger	0.485
infraction	prekršek	anger	0.485
claw	kremplja	anger	0.485
dissident	disident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neposlušen	anger	0.485
usurp	usurp	anger	0.485
alienate	odtuji	anger	0.485
avenger	avenger	anger	0.485
annoyed	moti	anger	0.485
cutting	rezanje	anger	0.485
disgrace	sramota	anger	0.484
deceit	prevara	anger	0.484
suspicious	sumljivo	anger	0.484
thresh	thresh	anger	0.484
sucker	sesalec	anger	0.484
strained	napeta	anger	0.484
blame	krivda	anger	0.484
upheaval	preobrat	anger	0.484
renounce	odreči se	anger	0.484
obnoxious	neumnost	anger	0.484
restrain	zadržati	anger	0.484
oust	odtrgati	anger	0.484
litigious	pravdni	anger	0.484
rivalry	rivalstvo	anger	0.484
penalty	kazen	anger	0.484
imprisoned	zaprli	anger	0.484
mocking	zmešan	anger	0.484
opposed	nasprotuje	anger	0.484
turbulence	turbulence	anger	0.483
pound	funt	anger	0.481
coldness	hladnost	anger	0.477
ungrateful	nehvaležna	anger	0.472
battalion	bataljon	anger	0.471
stoopid	strmoglavljen	anger	0.471
hostage	talec	anger	0.470
infidel	neupravičeno	anger	0.470
ram	Oven	anger	0.470
accuser	obtožilec	anger	0.470
gall	žolč	anger	0.470
subversion	subversion	anger	0.470
annoying	nadležen	anger	0.470
adversity	nesreča	anger	0.470
dispossessed	odtujeni	anger	0.470
friction	trenje	anger	0.470
jealous	ljubosumen	anger	0.470
feudalism	fevdalizem	anger	0.470
armament	oborožitev	anger	0.470
thump	udarec	anger	0.469
complain	pritožite	anger	0.469
incite	spodbujati	anger	0.469
steal	ukrasti	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	ne poslušaj	anger	0.469
injury	poškodbe	anger	0.469
simmer	simmer	anger	0.469
distress	stisko	anger	0.469
insanity	norost	anger	0.469
selfish	sebičen	anger	0.469
huff	Huff	anger	0.469
selfishness	sebičnost	anger	0.469
backoff	umakni se	anger	0.469
plunder	plunder	anger	0.469
stifled	duši	anger	0.469
subversive	subverzivno	anger	0.469
exile	izgnanstvo	anger	0.469
offense	prekršek	anger	0.469
objection	ugovor	anger	0.469
recidivism	recidivizem	anger	0.469
smother	zaduši	anger	0.469
perpetrator	storilca	anger	0.469
dislike	Ne maram	anger	0.469
disruption	prekinitev	anger	0.469
intolerance	nestrpnost	anger	0.469
opposition	opozicija	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
