word	Uzbek-uz	emotion	emotion-intensity-score
hell	jahannam	anger	0.853
murderous	qotillik	anger	0.853
attack	hujum	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorizm	anger	0.851
beating	kaltaklash	anger	0.849
desecration	haqorat qilish	anger	0.848
pissingmeoff	ishlamayapti	anger	0.848
outrage	g'azablanish	anger	0.848
stab	stab	anger	0.844
slaughter	so'yish	anger	0.844
violent	zo'ravonlik	anger	0.844
destroying	yo'q qilish	anger	0.844
abomination	jirkanish	anger	0.844
tumultuous	shovqinli	anger	0.844
irate	irate	anger	0.844
infuriate	g'azabnok	anger	0.844
obliterate	yo'q qilish	anger	0.843
belligerent	urushgan	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	noqulaylik	anger	0.838
hostilities	harbiy harakatlar	anger	0.837
prick	teshik	anger	0.835
torture	qiynoqlar	anger	0.833
rabid	qo'zg'olon	anger	0.833
horrid	dahshatli	anger	0.833
rampage	Rampage	anger	0.833
cruelty	shafqatsizlik	anger	0.833
hate	nafrat	anger	0.828
demonic	iblisdir	anger	0.828
hating	nafratlanish	anger	0.828
satanic	Shayton	anger	0.828
tyrannical	zolim	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	haqoratli	anger	0.828
ruinous	buzuq	anger	0.825
condemn	hukm qilish	anger	0.825
riots	tartibsizliklar	anger	0.824
demolish	vayron qilmoq	anger	0.824
angry	badjahl	anger	0.824
extermination	yo'q qilish	anger	0.824
dickhead	sikxayol	anger	0.824
livid	livid	anger	0.821
madman	jinnilik	anger	0.820
vindictive	vijdonli	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	vahshiylik	anger	0.818
venomous	zaharli	anger	0.818
threaten	tahdid qilish	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorchi	anger	0.818
abhor	Abhor	anger	0.816
savage	yirtqich	anger	0.814
atrocity	vahshiylik	anger	0.814
carnage	qirg'in	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	suiste'mol qilish	anger	0.812
tyrant	zolim	anger	0.812
fucksake	to'ydirish	anger	0.812
pissedoff	jahl chiqishi; joniga tegib ketishi	anger	0.812
vendetta	vendetta	anger	0.812
fierce	shafqatsiz	anger	0.812
destroyer	buzuvchi	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbar	anger	0.812
anger	g'azab	anger	0.811
pieceofshit	parcha	anger	0.810
slam	slam	anger	0.803
fights	urushlar	anger	0.803
punched	jarohatlangan	anger	0.803
bitch	xashak	anger	0.803
punching	zichlash	anger	0.803
homicide	qotillik	anger	0.803
destructive	halokatli	anger	0.797
ruthless	shafqatsiz	anger	0.797
villainous	yomon odam	anger	0.797
slap	slap	anger	0.791
slaughterhouse	so'yish xonasi	anger	0.788
punishing	jazolash	anger	0.788
destroyed	yo'q qilindi	anger	0.788
retaliatory	javob qaytarish	anger	0.788
riot	tartibsizlik	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	qichqiradi	anger	0.788
growthefuckup	o'stiradi	anger	0.788
diabolical	shaytoniy	anger	0.788
manslaughter	odam o'ldirish	anger	0.783
clash	to'qnashuv	anger	0.783
bloody	qonli	anger	0.781
hellish	do'zax	anger	0.781
loath	yomonlik	anger	0.781
detonation	portlash	anger	0.781
quarrel	janjal	anger	0.781
sinister	yomon	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ayblashmoqda	anger	0.779
treacherous	xoin	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	qasd qilish	anger	0.773
revulsion	qarshi	anger	0.773
madder	madder	anger	0.773
horrific	dahshatli	anger	0.773
scorn	mudhish	anger	0.769
deplorable	achinarli	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarxistlar	anger	0.765
devastation	vayronagarchilik	anger	0.765
resent	noma'lum	anger	0.765
firestorm	yong'in bo'roni	anger	0.765
contemptible	haqoratli	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	shafqatsiz	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	o'lik holda	anger	0.758
smash	sindirish	anger	0.758
rant	rant	anger	0.758
outburst	portlash	anger	0.757
snarl	soqov	anger	0.754
profane	axloqsiz	anger	0.750
offend	xafa qilish	anger	0.750
douchebags	douchebags	anger	0.750
growling	xushchaqchaqlik	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kamtarlik	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	jirkanch	anger	0.750
despise	nafratlanish	anger	0.750
horror	qo'rquv	anger	0.750
aggravating	og'irlashtirmoqda	anger	0.750
revolting	ayyorlik	anger	0.750
fuckedoff	beceriksiz	anger	0.742
threat	tahdid	anger	0.742
erupt	portlash	anger	0.742
screaming	qichqiriq	anger	0.742
violence	zo'ravonlik	anger	0.742
horrible	dahshatli	anger	0.742
molestation	molestation	anger	0.742
bastards	pichoqlar	anger	0.741
revenge	intiqom	anger	0.738
catastrophe	falokat	anger	0.735
menacing	xavf ostida	anger	0.735
demon	iblis	anger	0.735
crushing	ezish	anger	0.735
damn	Jin ursin	anger	0.735
persecute	ta'qib qilish	anger	0.734
argue	munozara	anger	0.734
flog	flok	anger	0.734
revolt	isyon	anger	0.734
thrash	thrash	anger	0.734
deplore	tuhmat qilish	anger	0.734
warfare	urush	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	zo'riqish	anger	0.734
riotous	g'alayon	anger	0.734
altercation	altercation	anger	0.729
warlike	urushga o'xshash	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	itoatsizlik	anger	0.727
castrate	kastrat	anger	0.727
sabotage	sabotaj	anger	0.727
malevolent	yomon odam	anger	0.721
strike	qoralash	anger	0.721
disaster	falokat	anger	0.721
disastrous	falokat	anger	0.720
tumult	shovqin	anger	0.719
madden	maddening	anger	0.719
devil	shayton	anger	0.719
scream	qichqiriq	anger	0.719
brutal	shafqatsiz	anger	0.719
treachery	xiyonat	anger	0.719
scorching	qovurish	anger	0.719
vermin	xashak	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	ot tanasi	anger	0.719
aggravates	og'irlashadi	anger	0.719
spiteful	jirkanch	anger	0.719
slay	o'ldirmoq	anger	0.719
disdain	xor qilish	anger	0.719
choke	bo'g'ilib	anger	0.719
bastarding	pichoqlash	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarşizm	anger	0.714
mutilation	soqchilik	anger	0.714
criminal	jinoyatchi	anger	0.714
denunciation	denonsatsiya	anger	0.713
punch	zarba	anger	0.713
crucifixion	xochga tortish	anger	0.712
virulence	virulentlik	anger	0.712
battled	urush qildilar	anger	0.712
fatal	o'lik	anger	0.712
holocaust	Holokost	anger	0.712
blasphemous	kufrli	anger	0.712
hurting	xafa	anger	0.712
dumbasses	dumbalar	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	buzilgan	anger	0.706
atrocious	dahshatli	anger	0.706
evil	yomonlik	anger	0.706
irritated	g'azablangan	anger	0.706
assassin	qotil	anger	0.703
dicks	dicks	anger	0.703
persecution	ta'qiblar	anger	0.703
slayer	slayder	anger	0.703
kidnap	o'g'irlash	anger	0.703
scolding	haqorat qilish	anger	0.703
intimidation	qo'rqitish	anger	0.703
aggravated	og'irlashdi	anger	0.703
aggression	tajovuz	anger	0.702
armed	qurolli	anger	0.700
poison	zahar	anger	0.697
snarling	siqilish	anger	0.697
venom	zahar	anger	0.697
battle	jang	anger	0.697
disgruntled	norozi	anger	0.693
insidious	hiyla bilan	anger	0.691
assailant	tajovuzkor	anger	0.691
resentment	g'azablanish	anger	0.691
lynch	linch	anger	0.690
contemptuous	haqoratli	anger	0.690
temper	xiralik	anger	0.688
imprisonment	qamoq jazosi	anger	0.688
disparage	buzuqlik	anger	0.688
bully	bully	anger	0.688
terrible	qo'rqinchli	anger	0.688
lunatic	jinnilik	anger	0.688
curse	la'natlash	anger	0.688
makesmemad	makedoniya	anger	0.688
peeved	ishqibozlar	anger	0.688
domination	hukmronlik	anger	0.688
mad	Telba	anger	0.688
infanticide	chaqaloq	anger	0.688
volatility	o'zgaruvchanligi	anger	0.687
eradication	yo'q qilish	anger	0.685
tantrum	tantrum	anger	0.682
devastate	vayronagarchilik	anger	0.682
eradicate	yo'q qilish	anger	0.682
scoundrel	ahmoqona	anger	0.682
aggressively	agressiv ravishda	anger	0.680
agitation	ajitasyon	anger	0.680
dictatorship	diktatorlik	anger	0.676
irritates	bezovta qiladi	anger	0.676
profanity	kufrlik	anger	0.673
egregious	yomon emas	anger	0.672
expletive	tushunarli	anger	0.672
nasty	yomon	anger	0.672
shove	shovqin	anger	0.672
shot	otishni o'rganish	anger	0.672
harmful	zararli	anger	0.672
aggravation	tobora kuchaymoqda	anger	0.672
contempt	haqorat qilish	anger	0.672
poisonous	zaharli	anger	0.672
dastardly	dastavval	anger	0.672
shoot	otish	anger	0.672
corrupting	buzish	anger	0.672
condemnation	hukm qilish	anger	0.672
wreak	jarohat olish	anger	0.672
crushed	ezilgan	anger	0.672
cruelly	shafqatsiz	anger	0.672
crime	jinoyat	anger	0.672
maniac	maniak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	Puflanish	anger	0.667
odious	g'azablangan	anger	0.667
shooting	tortishish	anger	0.667
kick	kick	anger	0.667
aggressive	tajovuzkor	anger	0.667
combat	jang	anger	0.667
shout	baqirib	anger	0.667
hit	urish	anger	0.667
fight	kurash	anger	0.667
cutthroat	yoqilg'i	anger	0.667
enemy	dushman	anger	0.667
irritable	irritativ	anger	0.667
punished	jazoladi	anger	0.662
ambush	pistirma	anger	0.661
yell	baqirmoq	anger	0.661
harass	qo'rqitish	anger	0.659
malignant	xatarli	anger	0.656
aggressor	tajovuzkor	anger	0.656
antichrist	Dajjol	anger	0.656
gore	gore	anger	0.656
incense	tutatqi	anger	0.656
expel	chiqarib yuborish	anger	0.656
destruction	yo'q qilish	anger	0.656
grudge	qotillik	anger	0.656
cranky	jozibali	anger	0.653
offended	xafa edi	anger	0.652
spank	spank	anger	0.652
growl	irillamoq	anger	0.652
insurrection	isyon	anger	0.652
reprisal	repressiya	anger	0.652
slave	qul	anger	0.652
denounce	ayblash	anger	0.652
animosity	dushmanlik	anger	0.652
insulting	tahqirlash	anger	0.652
clashing	jangi	anger	0.652
growls	keksa	anger	0.649
executioner	jallod	anger	0.644
twat	twat	anger	0.644
doomsday	Qiyomat kuni	anger	0.643
daemon	daemon	anger	0.641
obscenity	odobsizlik	anger	0.641
bombard	bombardimon	anger	0.641
spat	tupurish	anger	0.641
havoc	vayronalik	anger	0.641
feud	zo'ravonlik	anger	0.641
grr	grr	anger	0.641
arson	qasddan	anger	0.641
reprimand	ta'qib qilish	anger	0.641
expulsion	chiqarib yuborish	anger	0.641
inexcusable	kechirimsiz	anger	0.641
accused	ayblanuvchi	anger	0.641
indignant	g'azablangan	anger	0.641
shackle	qalqib olish	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	yara	anger	0.636
suicidal	o'z joniga qasd qilish	anger	0.636
poisoned	zaharlangan	anger	0.636
batter	chig'anoq	anger	0.636
kicking	tekme	anger	0.636
hanging	osilgan	anger	0.636
spanking	spanking	anger	0.636
disgusting	jirkanch	anger	0.636
combatant	jangchi	anger	0.636
frustrated	xafa bo'ldi	anger	0.636
anarchy	anarxiya	anger	0.636
glaring	Ko'z ochish	anger	0.636
inflict	etkazish	anger	0.633
wrecked	buzildi	anger	0.633
grievous	alamli	anger	0.632
prosecute	ta'qib qilish	anger	0.630
agitated	hayajonlangan	anger	0.630
cheat	makr qilish	anger	0.630
swastika	swastika	anger	0.627
defamatory	sharmanda qilish	anger	0.625
suffocation	cho'kish	anger	0.625
strife	janjal	anger	0.625
provocation	provokatsiya	anger	0.625
injure	yaralash	anger	0.625
harassing	tazyiq	anger	0.625
scourge	balo	anger	0.625
cursing	la'natlash	anger	0.625
betray	xiyonat qilish	anger	0.625
indict	ayblov	anger	0.625
raid	raid	anger	0.625
thundering	momaqaldiroq	anger	0.625
enslaved	asirlar	anger	0.625
arsehole	arsehole	anger	0.624
insane	aqldan ozgan	anger	0.621
fiend	Shayton	anger	0.621
irritate	tirnash	anger	0.621
convict	mahkum	anger	0.621
jerk	jirk	anger	0.621
theft	o'g'irlik	anger	0.621
retaliation	qasos	anger	0.621
deprivation	deprivatsiya	anger	0.621
cussed	qotib qolgan	anger	0.619
turmoil	tartibsizlik	anger	0.618
smack	chekish	anger	0.615
retribution	jazo	anger	0.614
twats	yivlar	anger	0.609
intolerable	chidamsiz	anger	0.609
rebellion	isyon	anger	0.609
injurious	zararli	anger	0.609
oppressor	zolim	anger	0.609
slavery	qullik	anger	0.609
irritability	asabiylashish	anger	0.609
collision	to'qnashuv	anger	0.609
bitterly	achinarli	anger	0.609
gang	to'dasi	anger	0.609
antagonism	antagonizm	anger	0.609
battery	batareya	anger	0.609
adverse	salbiy	anger	0.609
disgraced	sharmandalarcha	anger	0.608
irritating	bezovta qilmoqda	anger	0.606
revolution	inqilob	anger	0.606
thug	qotil	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardimon	anger	0.606
blast	portlash	anger	0.606
irks	irks	anger	0.606
sickening	kasallik	anger	0.606
discrimination	kamsitish	anger	0.606
antagonistic	antagonistik	anger	0.606
ranting	ranting	anger	0.606
asshole	Tentak	anger	0.606
frustrate	vayron qilish	anger	0.604
manipulation	manipulyatsiya	anger	0.603
tension	taranglik	anger	0.603
insult	haqorat qilish	anger	0.603
bigot	FATOT	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	zararli	anger	0.603
oppression	zo'ravonlik	anger	0.603
disgust	jirkanch	anger	0.602
spite	qaramaslik	anger	0.600
intrusive	tajovuzkor	anger	0.598
harshness	qattiqqo'llik	anger	0.597
slur	slur	anger	0.596
wretch	qashshoqlik	anger	0.594
inferno	shovqin	anger	0.594
invasion	ishg'ol qilish	anger	0.594
puncture	teshik	anger	0.594
miserable	baxtsizlik	anger	0.594
assail	hujum qilish	anger	0.594
storming	bo'ron	anger	0.594
casualty	yaralangan	anger	0.594
bitterness	achchiqlanish	anger	0.594
morbidity	kasallik	anger	0.594
tempest	bo'ron	anger	0.594
consternation	sharmanda bo'lish	anger	0.592
depraved	buzilgan	anger	0.591
raving	sharmandalik	anger	0.591
guillotine	gilyotin	anger	0.591
guilty	aybdor	anger	0.591
immoral	axloqsiz	anger	0.591
forcibly	majburiy ravishda	anger	0.591
overpowering	mag'lubiyatga uchradi	anger	0.591
accursed	la'natlangan	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	qayta hisoblagich	anger	0.588
invader	bosqinchi	anger	0.588
scare	qo'rqitish	anger	0.588
screwed	vidalanadi	anger	0.588
indignation	g'azablanish	anger	0.587
jealousy	hasadgo'ylik	anger	0.587
vexed	xafa	anger	0.586
confront	qarshi turish	anger	0.582
brute	shafqatsiz	anger	0.581
throttle	gaz kelishi	anger	0.579
wreck	halokat	anger	0.578
revolver	revolver	anger	0.578
slut	fohishaxonada	anger	0.578
yousuck	Siz rasvosiz	anger	0.578
damage	zarar	anger	0.578
butcher	qassob	anger	0.578
conflict	nizolar	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	jinoyatchilik	anger	0.578
bickering	tortishish	anger	0.578
pillage	qasd qilish	anger	0.578
blaze	olov	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	to'ntarish	anger	0.578
contentious	tortishuvsiz	anger	0.578
incarceration	qamoqqa olish	anger	0.578
defiant	qarshi	anger	0.578
provoking	qo'zg'olonchi	anger	0.578
lash	kirpik	anger	0.578
cancer	saraton	anger	0.577
frustration	umidsizlik	anger	0.576
gory	qori	anger	0.576
alienation	yabancılaşma	anger	0.576
discord	kelishmovchilik	anger	0.576
disturbance	buzilish	anger	0.576
grope	grope	anger	0.576
condescension	yomonlik	anger	0.576
pernicious	zararli	anger	0.576
blasphemy	kufrlik	anger	0.576
discriminate	kamsitish	anger	0.576
chaotic	xaotik	anger	0.576
gun	qurol	anger	0.576
standoff	qarama-qarshiliklar	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sharmandalik	anger	0.574
lunacy	xunuklik	anger	0.574
oppressive	zolim	anger	0.574
death	o'lim	anger	0.574
jab	jab	anger	0.574
cursed	la'natlangan	anger	0.574
scandalous	janjal	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	sharmanda qilish	anger	0.571
slash	slash	anger	0.571
unfair	adolatsiz	anger	0.571
gallows	jasadlar	anger	0.570
escalate	tirilishi	anger	0.569
intolerant	chidamsiz	anger	0.564
lawlessness	qonunsizlik	anger	0.563
bluddy	bluddy	anger	0.562
perdition	halokat	anger	0.562
taunt	sharmandalik	anger	0.562
grouchy	g'amxo'rlik	anger	0.562
torpedo	torpedo	anger	0.562
deceived	aldatildi	anger	0.562
slander	tuhmat qilish	anger	0.562
retards	kechikishlar	anger	0.562
bearish	tushkunlik	anger	0.562
invade	ishg'ol qilish	anger	0.562
bellows	kallaklar	anger	0.562
beast	hayvon	anger	0.562
frightful	qo'rqinchli	anger	0.562
derogatory	haqoratli	anger	0.562
glare	yarqirash	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	qo'rqinchli	anger	0.562
traitor	xoin	anger	0.562
malign	malign	anger	0.562
wrangling	tortishish	anger	0.562
dissension	tortishuvlar	anger	0.561
banshee	banshee	anger	0.561
shatter	siqila	anger	0.561
conflagration	yong'in	anger	0.561
jeopardize	xavf ostida	anger	0.561
thief	o'g'ri	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	halokatli	anger	0.561
idiots	ahmoqlar	anger	0.561
betrayal	xiyonat	anger	0.561
uncontrollable	boshqarish mumkin emas	anger	0.561
fits	mos keladi	anger	0.561
cross	kesib o'tish	anger	0.561
hurt	jarohatlar	anger	0.561
disturbed	buzilgan	anger	0.559
subjugation	bo'ysundirish	anger	0.559
stomped	stomped	anger	0.557
grab	qatnashdi	anger	0.557
ticked	belgilandi	anger	0.556
masochism	masochizm	anger	0.556
grievance	xafalik	anger	0.556
defiance	bo'ysunmaslik	anger	0.552
blackmail	shantaj	anger	0.550
offensive	tajovuzkor	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	buzilish	anger	0.547
punishment	jazo	anger	0.547
shrill	shilinadi	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	mavhum tomoni	anger	0.547
misery	baxtsizlik	anger	0.547
frustrates	xafa qiladi	anger	0.547
disgraceful	sharmandalarcha	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ortiqcha	anger	0.547
disparity	tengsizlik	anger	0.547
confine	cheklash	anger	0.547
firearms	otashin qurollar	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	bema'nilik	anger	0.547
rebel	isyonchi	anger	0.547
deceive	aldash	anger	0.547
stolen	o'g'irlangan	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	mantiqan	anger	0.545
heated	isitiladi	anger	0.545
ruined	vayron bo'ldi	anger	0.545
menace	xavf	anger	0.545
humiliate	tahqirlash	anger	0.545
tackle	kurashish	anger	0.545
conspirator	fitna uyushtirgan	anger	0.545
foul	faul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	xafa	anger	0.545
prejudice	xurofot	anger	0.545
adversary	dushman	anger	0.545
argument	dalil	anger	0.545
skirmish	to'qnashuv	anger	0.545
callous	shafqatsiz	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	aralashdi	anger	0.544
robbery	qaroqchilik	anger	0.544
sting	sting	anger	0.544
outcry	hayqiriq	anger	0.544
grumble	xafa bo'lma	anger	0.544
irreconcilable	murosasiz	anger	0.543
resistance	qarshilik	anger	0.543
obstructive	obstruktiv	anger	0.542
dismay	dahshatdan	anger	0.540
mob	to'dasi	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	yomonlik	anger	0.536
ridicule	masxara qilish	anger	0.534
incendiary	yoqimsiz	anger	0.533
flares	otashinlar	anger	0.532
degeneracy	nasli	anger	0.531
confinement	qamoqqa olish	anger	0.531
exacerbation	alevlenme	anger	0.531
prejudicial	zararli	anger	0.531
uprising	qo'zg'olon	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	shafqatsiz	anger	0.531
unbridled	qisqartirilgan	anger	0.531
allegation	da'vo	anger	0.531
communism	kommunizm	anger	0.531
whip	qamchi	anger	0.531
intruder	tajovuzkor	anger	0.531
dispute	nizo	anger	0.531
belittle	kamsitish	anger	0.531
bigoted	katta tasavvurga ega	anger	0.530
offender	jinoyatchi	anger	0.530
hassle	qiyinchilik	anger	0.530
dissonance	dissonans	anger	0.530
unjust	adolatsiz	anger	0.530
dictatorial	diktatorlik	anger	0.530
unjustifiable	nohaqlik	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	buzuqlik	anger	0.530
tackled	kurashdi	anger	0.530
renegade	buzuqlik	anger	0.529
hot	issiq	anger	0.529
prison	qamoqxona	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	gunoh	anger	0.529
suicide	o'z joniga qasd qilish	anger	0.521
annoy	g'azablanish	anger	0.520
leavemealone	meni o'z holimga qo'yinglar	anger	0.517
idiotic	ahmoqona	anger	0.516
distrust	ishonchsizlik	anger	0.516
depravity	axloqsizlik	anger	0.516
cretins	kretinlar	anger	0.516
divorce	ajralish	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	shamollatish	anger	0.516
inimical	inimik	anger	0.516
duress	majburlash	anger	0.516
disrespectful	hurmatsizlik	anger	0.516
tortious	tortinchoq	anger	0.516
criticize	tanqid qilish	anger	0.516
prisoner	mahbus	anger	0.516
dishonest	nohaqlik	anger	0.516
treason	vatanga xiyonat qilish	anger	0.516
victimized	qurbon bo'lgan	anger	0.515
bile	hatto	anger	0.515
unkind	shafqatsiz	anger	0.515
unforgiving	kechirimsiz	anger	0.515
unleash	ishga tushirish	anger	0.515
coercion	majburlash	anger	0.515
scold	sharmanda qilish	anger	0.515
chaos	xaos	anger	0.515
grump	xiralashgan	anger	0.515
roar	qichqiradi	anger	0.515
jerks	jerklar	anger	0.515
poaching	brakonerlik	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	brakonerlar	anger	0.515
argumentation	argumentatsiya	anger	0.515
frustrating	asabiylashish	anger	0.515
tussle	tussle	anger	0.514
bane	yo'q	anger	0.511
accusation	ayblov	anger	0.510
repudiation	rad etish	anger	0.510
enmity	dushmanlik	anger	0.510
banish	yo'qotish	anger	0.509
disfigured	shikastlangan	anger	0.508
storm	bo'ron	anger	0.507
shun	o'chirish	anger	0.500
suppression	bosim	anger	0.500
unruly	asossiz	anger	0.500
intractable	mumkin emas	anger	0.500
ordeal	sinov	anger	0.500
obstruct	to'siq qo'yish	anger	0.500
derogation	derogatsiya	anger	0.500
fervor	shovqin	anger	0.500
foaming	ko'piklanadi	anger	0.500
derision	sharmanda qilish	anger	0.500
animus	animus	anger	0.500
rejects	rad etadi	anger	0.500
bout	jang	anger	0.500
spear	nayza	anger	0.500
crazy	aqldan ozgan	anger	0.500
brazen	jirkanch	anger	0.500
antithesis	antithesis	anger	0.500
injustice	adolatsizlik	anger	0.500
banished	surgun qilingan	anger	0.500
confined	cheklangan	anger	0.500
frenzied	g'azablangan	anger	0.500
dominate	ustunlik qiladi	anger	0.500
disrupting	buzish	anger	0.500
hammering	bolg'acha	anger	0.500
fear	qo'rquv	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	azob	anger	0.500
brunt	shafqatsiz	anger	0.500
possessed	ega edi	anger	0.500
defy	yolg'on gapirish	anger	0.500
scoff	masxara qilish	anger	0.500
patronising	homiylik	anger	0.500
delusional	aqldan ozgan	anger	0.500
malpractice	yolg'onchilik	anger	0.500
reject	rad etish	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	chidamlilik	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	jinnilik	anger	0.491
sinful	gunohkor	anger	0.491
avarice	avarice	anger	0.490
oppress	zulm qilish	anger	0.490
disapproved	ma'qullanmadi	anger	0.485
inhuman	insoniy bo'lmagan	anger	0.485
demand	talab	anger	0.485
abolish	bekor qilish	anger	0.485
anathema	anatema	anger	0.485
fricking	jilovlash	anger	0.485
complaint	shikoyat	anger	0.485
disservice	tarqatish	anger	0.485
smuggler	kontrabandachi	anger	0.485
revoke	bekor qilish	anger	0.485
infraction	buzilish	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	buzish	anger	0.485
incest	ensest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	itoatsiz	anger	0.485
usurp	qasddan	anger	0.485
alienate	yabancılaştırmak	anger	0.485
avenger	avenger	anger	0.485
annoyed	bezovta	anger	0.485
cutting	kesish	anger	0.485
disgrace	sharmandalik	anger	0.484
deceit	yolg'on	anger	0.484
suspicious	shubhali	anger	0.484
thresh	Tresh	anger	0.484
sucker	sucker	anger	0.484
