word	Malay-ms	emotion	emotion-intensity-score
barbaric	kejam	anger	0.812
anger	kemarahan	anger	0.811
pieceofshit	sepintas lalu	anger	0.810
slam	slam	anger	0.803
fights	pergaduhan	anger	0.803
punched	menumbuk	anger	0.803
bitch	jalang	anger	0.803
punching	menumbuk	anger	0.803
homicide	pembunuhan beramai-ramai	anger	0.803
destructive	merosakkan	anger	0.797
ruthless	kejam	anger	0.797
villainous	jahat	anger	0.797
slap	tamparan	anger	0.791
slaughterhouse	rumah sembelih	anger	0.788
punishing	menghukum	anger	0.788
destroyed	dimusnahkan	anger	0.788
retaliatory	membalas dendam	anger	0.788
riot	rusuhan	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	menjerit	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	jahat	anger	0.788
manslaughter	pembunuhan	anger	0.783
clash	pertembungan	anger	0.783
bloody	berdarah	anger	0.781
hellish	jahat	anger	0.781
loath	kecewa	anger	0.781
detonation	letupan	anger	0.781
quarrel	pergaduhan	anger	0.781
sinister	jahat	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	menuduh	anger	0.779
treacherous	khianat	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	membalas dendam	anger	0.773
revulsion	penolakan	anger	0.773
madder	madder	anger	0.773
horrific	mengerikan	anger	0.773
scorn	dihina	anger	0.769
deplorable	menyedihkan	anger	0.766
bomb	bom	anger	0.766
anarchist	anarkis	anger	0.765
devastation	kemusnahan	anger	0.765
resent	marah	anger	0.765
firestorm	badai	anger	0.765
contemptible	dihina	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kejam	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	maut	anger	0.758
smash	smash	anger	0.758
rant	bosan	anger	0.758
outburst	keterlaluan	anger	0.757
snarl	snarl	anger	0.754
profane	kotor	anger	0.750
offend	menyinggung perasaan	anger	0.750
douchebags	douchebags	anger	0.750
growling	bergelora	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kekasaran	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	gila	anger	0.750
despise	membenci	anger	0.750
horror	seram	anger	0.750
aggravating	mengecewakan	anger	0.750
revolting	memberontak	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ancaman	anger	0.742
erupt	meletus	anger	0.742
screaming	menjerit	anger	0.742
violence	keganasan	anger	0.742
horrible	mengerikan	anger	0.742
molestation	pencabulan	anger	0.742
bastards	bastards	anger	0.741
revenge	membalas dendam	anger	0.738
catastrophe	malapetaka	anger	0.735
menacing	menacing	anger	0.735
demon	setan	anger	0.735
crushing	menghancurkan	anger	0.735
damn	sialan	anger	0.735
persecute	menganiaya	anger	0.734
argue	berhujah	anger	0.734
flog	flog	anger	0.734
revolt	pemberontakan	anger	0.734
thrash	sampah	anger	0.734
deplore	deplore	anger	0.734
warfare	peperangan	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	kesungguhan	anger	0.734
riotous	riotous	anger	0.734
altercation	perbalahan	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	pemberontakan	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotaj	anger	0.727
malevolent	malevolent	anger	0.721
strike	mogok	anger	0.721
disaster	bencana	anger	0.721
disastrous	malapetaka	anger	0.720
tumult	kegelisahan	anger	0.719
madden	madden	anger	0.719
devil	syaitan	anger	0.719
scream	menjerit	anger	0.719
brutal	kejam	anger	0.719
treachery	pengkhianatan	anger	0.719
scorching	terik	anger	0.719
vermin	kutu	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	merosot	anger	0.719
spiteful	bersungut-sungut	anger	0.719
slay	membunuh	anger	0.719
disdain	penghinaan	anger	0.719
choke	tercekik	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkisme	anger	0.714
mutilation	mutilasi	anger	0.714
criminal	jenayah	anger	0.714
denunciation	pengucupan	anger	0.713
punch	menumbuk	anger	0.713
crucifixion	penyaliban	anger	0.712
virulence	virulence	anger	0.712
battled	bertempur	anger	0.712
fatal	maut	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	menghujat	anger	0.712
hurting	menyakitkan	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	gila	anger	0.706
atrocious	mengerikan	anger	0.706
evil	jahat	anger	0.706
irritated	jengkel	anger	0.706
assassin	pembunuh	anger	0.703
dicks	ayam sabung	anger	0.703
persecution	penganiayaan	anger	0.703
slayer	pembunuh	anger	0.703
kidnap	menculik	anger	0.703
scolding	memarahi	anger	0.703
intimidation	intimidasi	anger	0.703
aggravated	diperparah	anger	0.703
aggression	pencerobohan	anger	0.702
armed	bersenjata	anger	0.700
poison	racun	anger	0.697
snarling	snarling	anger	0.697
venom	racun	anger	0.697
battle	pertempuran	anger	0.697
disgruntled	tidak puas hati	anger	0.693
insidious	berbahaya	anger	0.691
assailant	penyerang	anger	0.691
resentment	kebencian	anger	0.691
lynch	lynch	anger	0.690
contemptuous	bersungut-sungut	anger	0.690
temper	marah	anger	0.688
imprisonment	dipenjarakan	anger	0.688
disparage	merendahkan	anger	0.688
bully	pembuli	anger	0.688
terrible	dahsyat	anger	0.688
lunatic	gila	anger	0.688
curse	kutukan	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	bersemangat	anger	0.688
domination	penguasaan	anger	0.688
mad	gila	anger	0.688
infanticide	pembunuhan bayi	anger	0.688
volatility	turun naik	anger	0.687
eradication	pembasmian	anger	0.685
tantrum	tantrum	anger	0.682
devastate	merosakkan	anger	0.682
eradicate	membasmi	anger	0.682
scoundrel	penipu	anger	0.682
aggressively	agresif	anger	0.680
agitation	pergaduhan	anger	0.680
dictatorship	kediktatoran	anger	0.676
irritates	menjengkelkan	anger	0.676
profanity	kejahatan	anger	0.673
egregious	mengerikan	anger	0.672
expletive	meletup	anger	0.672
nasty	jahat	anger	0.672
shove	shove	anger	0.672
shot	ditembak	anger	0.672
harmful	berbahaya	anger	0.672
aggravation	kejutan	anger	0.672
contempt	penghinaan	anger	0.672
poisonous	beracun	anger	0.672
dastardly	sangat buruk	anger	0.672
shoot	menembak	anger	0.672
corrupting	merosakkan	anger	0.672
condemnation	kecaman	anger	0.672
wreak	jahat	anger	0.672
crushed	dihancurkan	anger	0.672
cruelly	kejam	anger	0.672
crime	jenayah	anger	0.672
maniac	gila	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	letusan	anger	0.667
odious	jelek	anger	0.667
shooting	menembak	anger	0.667
kick	menendang	anger	0.667
aggressive	agresif	anger	0.667
combat	pertempuran	anger	0.667
shout	menjerit	anger	0.667
hit	memukul	anger	0.667
fight	berjuang	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	musuh	anger	0.667
irritable	mudah marah	anger	0.667
punished	dihukum	anger	0.662
ambush	serangan hendap	anger	0.661
yell	berteriak	anger	0.661
harass	mengganggu	anger	0.659
malignant	malignan	anger	0.656
aggressor	penyerang	anger	0.656
antichrist	antikristus	anger	0.656
gore	gore	anger	0.656
incense	kemenyan	anger	0.656
expel	mengusir	anger	0.656
destruction	kemusnahan	anger	0.656
grudge	dendam	anger	0.656
cranky	kentut	anger	0.653
offended	tersinggung	anger	0.652
spank	merotan	anger	0.652
growl	bergelora	anger	0.652
insurrection	pemberontakan	anger	0.652
reprisal	pembalasan	anger	0.652
slave	hamba	anger	0.652
denounce	nyatakan	anger	0.652
animosity	permusuhan	anger	0.652
insulting	menghina	anger	0.652
clashing	bentrok	anger	0.652
growls	growls	anger	0.649
executioner	algojo	anger	0.644
twat	twat	anger	0.644
doomsday	hari kiamat	anger	0.643
daemon	daemon	anger	0.641
obscenity	kelucuan	anger	0.641
bombard	pengeboman	anger	0.641
spat	meludah	anger	0.641
havoc	malapetaka	anger	0.641
feud	bersekongkol	anger	0.641
grr	grr	anger	0.641
arson	membakar	anger	0.641
reprimand	teguran	anger	0.641
expulsion	pengusiran	anger	0.641
inexcusable	tidak boleh dimaafkan	anger	0.641
accused	dituduh	anger	0.641
indignant	marah	anger	0.641
shackle	belenggu	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	luka	anger	0.636
suicidal	bunuh diri	anger	0.636
poisoned	diracun	anger	0.636
batter	adunan	anger	0.636
kicking	menendang	anger	0.636
hanging	menggantung	anger	0.636
spanking	pukulan	anger	0.636
disgusting	menjijikkan	anger	0.636
combatant	pejuang	anger	0.636
frustrated	kecewa	anger	0.636
anarchy	anarki	anger	0.636
glaring	ceria	anger	0.636
inflict	mengenakan	anger	0.633
wrecked	rosak	anger	0.633
grievous	menyedihkan	anger	0.632
prosecute	mendakwa	anger	0.630
agitated	gelisah	anger	0.630
cheat	menipu	anger	0.630
swastika	swastika	anger	0.627
defamatory	memfitnah	anger	0.625
suffocation	lemas	anger	0.625
strife	perselisihan	anger	0.625
provocation	provokasi	anger	0.625
injure	mencederakan	anger	0.625
harassing	mengganggu	anger	0.625
scourge	bencana	anger	0.625
cursing	kutuk	anger	0.625
betray	mengkhianati	anger	0.625
indict	mendakwa	anger	0.625
raid	serbuan	anger	0.625
thundering	bergemuruh	anger	0.625
enslaved	diperhambakan	anger	0.625
arsehole	arsehole	anger	0.624
insane	gila	anger	0.621
fiend	jahat	anger	0.621
irritate	mengganggu	anger	0.621
convict	banduan	anger	0.621
jerk	jerk	anger	0.621
theft	kecurian	anger	0.621
retaliation	pembalasan	anger	0.621
deprivation	kekurangan	anger	0.621
cussed	cussed	anger	0.619
turmoil	kekacauan	anger	0.618
smack	memukul	anger	0.615
retribution	pembalasan	anger	0.614
twats	twats	anger	0.609
intolerable	tidak dapat ditanggung	anger	0.609
rebellion	pemberontakan	anger	0.609
injurious	memalukan	anger	0.609
oppressor	penindas	anger	0.609
slavery	perhambaan	anger	0.609
irritability	kesengsaraan	anger	0.609
collision	perlanggaran	anger	0.609
bitterly	pahit	anger	0.609
gang	geng	anger	0.609
antagonism	antagonisme	anger	0.609
battery	bateri	anger	0.609
adverse	buruk	anger	0.609
disgraced	malu	anger	0.608
irritating	menjengkelkan	anger	0.606
revolution	revolusi	anger	0.606
thug	panggung	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	pengeboman	anger	0.606
blast	letupan	anger	0.606
irks	irks	anger	0.606
sickening	menyakitkan hati	anger	0.606
discrimination	diskriminasi	anger	0.606
antagonistic	antagonistik	anger	0.606
ranting	melantun	anger	0.606
asshole	asshole	anger	0.606
frustrate	kecewa	anger	0.604
manipulation	manipulasi	anger	0.603
tension	ketegangan	anger	0.603
insult	menghina	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	menyakitkan hati	anger	0.603
oppression	penindasan	anger	0.603
disgust	jijik	anger	0.602
spite	walaupun	anger	0.600
intrusive	mengganggu	anger	0.598
harshness	kekasaran	anger	0.597
slur	slur	anger	0.596
wretch	celaka	anger	0.594
inferno	neraka	anger	0.594
invasion	pencerobohan	anger	0.594
puncture	tusuk	anger	0.594
miserable	sengsara	anger	0.594
assail	menyerang	anger	0.594
storming	menyerang	anger	0.594
casualty	mangsa	anger	0.594
bitterness	kepahitan	anger	0.594
morbidity	morbiditi	anger	0.594
tempest	angin ribut	anger	0.594
consternation	kegelisahan	anger	0.592
depraved	kejam	anger	0.591
raving	meracau	anger	0.591
guillotine	guillotine	anger	0.591
guilty	bersalah	anger	0.591
immoral	tidak bermoral	anger	0.591
forcibly	secara paksa	anger	0.591
overpowering	terlalu kuat	anger	0.591
accursed	terkutuk	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	penyerang	anger	0.588
scare	menakutkan	anger	0.588
screwed	diskrukan	anger	0.588
indignation	kemarahan	anger	0.587
jealousy	cemburu	anger	0.587
vexed	menyusahkan	anger	0.586
confront	berhadapan	anger	0.582
brute	brute	anger	0.581
throttle	pendikit	anger	0.579
wreck	bangkai	anger	0.578
revolver	revolver	anger	0.578
slut	perempuan murahan	anger	0.578
yousuck	yousuck	anger	0.578
damage	kerosakan	anger	0.578
butcher	tukang daging	anger	0.578
conflict	konflik	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	jenayah	anger	0.578
bickering	pertengkaran	anger	0.578
pillage	penculikan	anger	0.578
blaze	kebakaran	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	rampasan kuasa	anger	0.578
contentious	perbalahan	anger	0.578
incarceration	pemenjaraan	anger	0.578
defiant	bertentangan	anger	0.578
provoking	memprovokasi	anger	0.578
lash	lash	anger	0.578
cancer	kanser	anger	0.577
frustration	kekecewaan	anger	0.576
gory	gory	anger	0.576
alienation	pengasingan	anger	0.576
discord	percanggahan	anger	0.576
disturbance	gangguan	anger	0.576
grope	meraba	anger	0.576
condescension	penundaan	anger	0.576
pernicious	merosakkan	anger	0.576
blasphemy	penghujatan	anger	0.576
discriminate	diskriminasi	anger	0.576
chaotic	kacau-bilau	anger	0.576
gun	senjata api	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	mengejek	anger	0.574
lunacy	gila	anger	0.574
oppressive	penindasan	anger	0.574
death	kematian	anger	0.574
jab	jab	anger	0.574
cursed	sumpah	anger	0.574
scandalous	skandal	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	kotoran	anger	0.573
disparaging	merosot	anger	0.571
slash	slash	anger	0.571
unfair	tidak adil	anger	0.571
gallows	gantung	anger	0.570
escalate	naik	anger	0.569
intolerant	tidak bertoleransi	anger	0.564
lawlessness	kejahatan	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kebinasaan	anger	0.562
taunt	mengejek	anger	0.562
grouchy	kesakitan	anger	0.562
torpedo	torpedo	anger	0.562
deceived	tertipu	anger	0.562
slander	fitnah	anger	0.562
retards	melambatkan	anger	0.562
bearish	penurunan harga	anger	0.562
invade	menyerang	anger	0.562
bellows	belos	anger	0.562
beast	binatang	anger	0.562
frightful	menakutkan	anger	0.562
derogatory	menghina	anger	0.562
glare	silau	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	mengerikan	anger	0.562
traitor	pengkhianat	anger	0.562
malign	malign	anger	0.562
wrangling	bertengkar	anger	0.562
dissension	perselisihan	anger	0.561
banshee	banshee	anger	0.561
shatter	menghancurkan	anger	0.561
conflagration	kebakaran	anger	0.561
jeopardize	menjejaskan	anger	0.561
thief	pencuri	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	menghancurkan	anger	0.561
idiots	idiot	anger	0.561
betrayal	pengkhianatan	anger	0.561
uncontrollable	tidak terkawal	anger	0.561
fits	sesuai	anger	0.561
cross	menyeberang	anger	0.561
hurt	sakit hati	anger	0.561
disturbed	terganggu	anger	0.559
subjugation	penaklukan	anger	0.559
stomped	stomped	anger	0.557
grab	ambil	anger	0.557
ticked	ditandakan	anger	0.556
masochism	masokisme	anger	0.556
grievance	keluhan	anger	0.556
defiance	bantahan	anger	0.552
blackmail	memeras ugut	anger	0.550
offensive	menyerang	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	pelanggaran	anger	0.547
punishment	hukuman	anger	0.547
shrill	nyaring	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	gelap	anger	0.547
misery	kesengsaraan	anger	0.547
frustrates	frustrasi	anger	0.547
disgraceful	memalukan	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	sombong	anger	0.547
disparity	ketaksamaan	anger	0.547
confine	terkurung	anger	0.547
firearms	senjata api	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	tidak masuk akal	anger	0.547
rebel	memberontak	anger	0.547
deceive	memperdaya	anger	0.547
stolen	dicuri	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	dipanaskan	anger	0.545
ruined	hancur	anger	0.545
menace	ancaman	anger	0.545
humiliate	memalukan	anger	0.545
tackle	mengatasi	anger	0.545
conspirator	konspirator	anger	0.545
foul	busuk	anger	0.545
antagonist	antagonis	anger	0.545
resentful	benci	anger	0.545
prejudice	prejudis	anger	0.545
adversary	musuh	anger	0.545
argument	hujah	anger	0.545
skirmish	pertempuran	anger	0.545
callous	lelah	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	terikat	anger	0.544
robbery	rompakan	anger	0.544
sting	menyengat	anger	0.544
outcry	bantahan	anger	0.544
grumble	merungut	anger	0.544
irreconcilable	tidak dapat disamakan	anger	0.543
resistance	rintangan	anger	0.543
obstructive	obstruktif	anger	0.542
dismay	kecewa	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	kejahatan	anger	0.536
ridicule	cemburu	anger	0.534
incendiary	pembakar	anger	0.533
flares	suar	anger	0.532
degeneracy	degenerasi	anger	0.531
confinement	pengasingan	anger	0.531
exacerbation	diperparah	anger	0.531
prejudicial	memudaratkan	anger	0.531
uprising	pemberontakan	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	melulu	anger	0.531
unbridled	tidak terkawal	anger	0.531
allegation	dakwaan	anger	0.531
communism	komunisme	anger	0.531
whip	cambuk	anger	0.531
intruder	penceroboh	anger	0.531
dispute	pertikaian	anger	0.531
belittle	kurangkan	anger	0.531
bigoted	ketegangan	anger	0.530
offender	pesalah	anger	0.530
hassle	kerumitan	anger	0.530
dissonance	kekecohan	anger	0.530
unjust	tidak adil	anger	0.530
dictatorial	diktator	anger	0.530
unjustifiable	tidak boleh dibenarkan	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	penyimpangan	anger	0.530
tackled	ditangani	anger	0.530
renegade	renegade	anger	0.529
hot	panas	anger	0.529
prison	penjara	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	perceraian	anger	0.529
suicide	bunuh diri	anger	0.521
annoy	mengganggu	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	bodoh	anger	0.516
distrust	kesangsian	anger	0.516
depravity	kejahatan	anger	0.516
cretins	cretin	anger	0.516
divorce	perceraian	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	pembongkaran	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	tidak sopan	anger	0.516
tortious	tortious	anger	0.516
criticize	mengkritik	anger	0.516
prisoner	banduan	anger	0.516
dishonest	tidak jujur	anger	0.516
treason	pengkhianatan	anger	0.516
victimized	mangsa	anger	0.515
bile	hempedu	anger	0.515
unkind	tidak baik	anger	0.515
unforgiving	tidak bertanggungjawab	anger	0.515
unleash	melepaskan	anger	0.515
coercion	paksaan	anger	0.515
scold	memarahi	anger	0.515
chaos	huru hara	anger	0.515
grump	mengerang	anger	0.515
roar	roar	anger	0.515
jerks	jerks	anger	0.515
poaching	pemburuan haram	anger	0.515
hangry	bergaduh	anger	0.515
pow	pow	anger	0.515
poachers	pemburu haram	anger	0.515
argumentation	argumentasi	anger	0.515
frustrating	mengecewakan	anger	0.515
tussle	perebutan	anger	0.514
bane	bane	anger	0.511
accusation	tuduhan	anger	0.510
repudiation	penolakan	anger	0.510
enmity	permusuhan	anger	0.510
banish	buang	anger	0.509
disfigured	cacat	anger	0.508
storm	ribut	anger	0.507
shun	shun	anger	0.500
suppression	penindasan	anger	0.500
unruly	tidak teratur	anger	0.500
intractable	sukar dikawal	anger	0.500
ordeal	cobaan	anger	0.500
obstruct	menghalang	anger	0.500
derogation	pengurangan	anger	0.500
fervor	semangat	anger	0.500
foaming	berbuih	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	menolak	anger	0.500
bout	pertarungan	anger	0.500
spear	lembing	anger	0.500
crazy	gila	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	ketidakadilan	anger	0.500
banished	dibuangkan	anger	0.500
confined	terhad	anger	0.500
frenzied	bergegas	anger	0.500
dominate	menguasai	anger	0.500
disrupting	mengganggu	anger	0.500
hammering	memukul	anger	0.500
fear	ketakutan	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	kesedihan	anger	0.500
brunt	brunt	anger	0.500
possessed	dimiliki	anger	0.500
defy	menentang	anger	0.500
scoff	mengejek	anger	0.500
patronising	merendahkan diri	anger	0.500
delusional	delusi	anger	0.500
malpractice	penyelewengan	anger	0.500
reject	menolak	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kekuatan	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	kegilaan	anger	0.491
sinful	berdosa	anger	0.491
avarice	haram	anger	0.490
oppress	menindas	anger	0.490
disapproved	tidak diluluskan	anger	0.485
inhuman	tidak berperikemanusiaan	anger	0.485
demand	permintaan	anger	0.485
abolish	memansuhkan	anger	0.485
anathema	anathema	anger	0.485
fricking	menjengkelkan	anger	0.485
complaint	aduan	anger	0.485
disservice	merugikan	anger	0.485
smuggler	penyeludup	anger	0.485
revoke	membatalkan	anger	0.485
infraction	pelanggaran	anger	0.485
claw	cakar	anger	0.485
dissident	pembangkang	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	tidak taat	anger	0.485
usurp	usurp	anger	0.485
alienate	mengasingkan diri	anger	0.485
avenger	pengacau	anger	0.485
annoyed	kesakitan	anger	0.485
cutting	memotong	anger	0.485
disgrace	memalukan	anger	0.484
deceit	penipuan	anger	0.484
suspicious	mencurigakan	anger	0.484
thresh	thresh	anger	0.484
sucker	penyedut	anger	0.484
strained	tegang	anger	0.484
blame	menyalahkan	anger	0.484
upheaval	pergolakan	anger	0.484
renounce	mundur	anger	0.484
obnoxious	menjengkelkan	anger	0.484
restrain	menahan diri	anger	0.484
oust	menggulingkan	anger	0.484
litigious	litigious	anger	0.484
rivalry	persaingan	anger	0.484
penalty	penalti	anger	0.484
imprisoned	dipenjarakan	anger	0.484
mocking	mengejek	anger	0.484
opposed	menentang	anger	0.484
turbulence	pergolakan	anger	0.483
pound	pound	anger	0.481
coldness	sejuk	anger	0.477
ungrateful	tidak bersyukur	anger	0.472
battalion	batalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	tebusan	anger	0.470
infidel	kafir	anger	0.470
ram	Ram	anger	0.470
accuser	penuduh	anger	0.470
gall	hempedu	anger	0.470
subversion	subversi	anger	0.470
annoying	mengganggu	anger	0.470
adversity	kesengsaraan	anger	0.470
dispossessed	hilang	anger	0.470
friction	geseran	anger	0.470
jealous	cemburu	anger	0.470
feudalism	feudalisme	anger	0.470
armament	persenjataan	anger	0.470
thump	berdebar-debar	anger	0.469
complain	mengadu	anger	0.469
incite	menghasut	anger	0.469
steal	mencuri	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	tidak patuh	anger	0.469
injury	kecederaan	anger	0.469
simmer	reneh	anger	0.469
distress	kesusahan	anger	0.469
insanity	kegilaan	anger	0.469
selfish	mementingkan diri sendiri	anger	0.469
huff	huff	anger	0.469
