word	Swahili-sw	emotion	emotion-intensity-score
threat	tishio	anger	0.742
erupt	teremka	anger	0.742
screaming	kupiga kelele	anger	0.742
violence	vurugu	anger	0.742
horrible	kutisha	anger	0.742
molestation	unyanyasaji	anger	0.742
bastards	bastards	anger	0.741
revenge	kulipiza kisasi	anger	0.738
catastrophe	janga	anger	0.735
menacing	kutisha	anger	0.735
demon	pepo	anger	0.735
crushing	kusagwa	anger	0.735
damn	damn	anger	0.735
persecute	kutesa	anger	0.734
argue	wanasema	anger	0.734
flog	funga	anger	0.734
revolt	uasi	anger	0.734
thrash	tamaa	anger	0.734
deplore	tamaa	anger	0.734
warfare	vita	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	tamaa	anger	0.734
riotous	hasira	anger	0.734
altercation	mabadiliko	anger	0.729
warlike	vita kama vita	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mimba	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	kibaya	anger	0.721
strike	mgomo	anger	0.721
disaster	janga	anger	0.721
disastrous	maafa	anger	0.720
tumult	msukosuko	anger	0.719
madden	madden	anger	0.719
devil	shetani	anger	0.719
scream	piga kelele	anger	0.719
brutal	kikatili	anger	0.719
treachery	uongo	anger	0.719
scorching	kuchoma	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	farasi	anger	0.719
aggravates	huongeza	anger	0.719
spiteful	chuki	anger	0.719
slay	kuua	anger	0.719
disdain	tamaa	anger	0.719
choke	kuvuta	anger	0.719
bastarding	ukarimu	anger	0.719
mangle	kula	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	uharibifu	anger	0.714
criminal	wahalifu	anger	0.714
denunciation	hukumu	anger	0.713
punch	ngumi	anger	0.713
crucifixion	kusulubiwa	anger	0.712
virulence	virulence	anger	0.712
battled	vita	anger	0.712
fatal	mbaya	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	kumtukana	anger	0.712
hurting	kuumiza	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	hasira	anger	0.706
evil	mabaya	anger	0.706
irritated	hasira	anger	0.706
assassin	assassin	anger	0.703
dicks	dicks	anger	0.703
persecution	mateso	anger	0.703
slayer	mwuaji	anger	0.703
kidnap	Teka nyara	anger	0.703
scolding	kupiga	anger	0.703
intimidation	kutisha	anger	0.703
aggravated	imeongezeka	anger	0.703
aggression	uchokozi	anger	0.702
armed	silaha	anger	0.700
poison	sumu	anger	0.697
snarling	kupigana	anger	0.697
venom	sumu	anger	0.697
battle	vita	anger	0.697
disgruntled	walivunjika moyo	anger	0.693
insidious	insidious	anger	0.691
assailant	mwenye kushambulia	anger	0.691
resentment	chuki	anger	0.691
lynch	lynch	anger	0.690
contemptuous	wanadharau	anger	0.690
temper	hasira	anger	0.688
imprisonment	kifungo	anger	0.688
disparage	kupuuza	anger	0.688
bully	mkaidi	anger	0.688
terrible	mbaya	anger	0.688
lunatic	mchana	anger	0.688
curse	laana	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	kupigwa	anger	0.688
domination	utawala	anger	0.688
mad	wazimu	anger	0.688
infanticide	watoto wachanga	anger	0.688
volatility	tamaa	anger	0.687
eradication	kuondokana	anger	0.685
tantrum	tamaa	anger	0.682
devastate	kuharibu	anger	0.682
eradicate	kuondosha	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	vurugu	anger	0.680
agitation	uchochezi	anger	0.680
dictatorship	udikteta	anger	0.676
irritates	inakera	anger	0.676
profanity	uchafu	anger	0.673
egregious	mbaya	anger	0.672
expletive	kutafakari	anger	0.672
nasty	mbaya	anger	0.672
shove	shove	anger	0.672
shot	risasi	anger	0.672
harmful	hatari	anger	0.672
aggravation	kupungua	anger	0.672
contempt	dharau	anger	0.672
poisonous	sumu	anger	0.672
dastardly	dastardly	anger	0.672
shoot	risasi	anger	0.672
corrupting	kuharibu	anger	0.672
condemnation	hukumu	anger	0.672
wreak	wreak	anger	0.672
crushed	aliwaangamiza	anger	0.672
cruelly	kwa ukatili	anger	0.672
crime	uhalifu	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	mlipuko	anger	0.667
odious	odhi	anger	0.667
shooting	risasi	anger	0.667
kick	kick	anger	0.667
aggressive	fujo	anger	0.667
combat	kupambana	anger	0.667
shout	piga kelele	anger	0.667
hit	hit	anger	0.667
fight	kupigana	anger	0.667
cutthroat	kukata	anger	0.667
enemy	adui	anger	0.667
irritable	hasira	anger	0.667
punished	aliadhibiwa	anger	0.662
ambush	kumshtaki	anger	0.661
yell	tamaa	anger	0.661
harass	kusumbua	anger	0.659
malignant	mbaya	anger	0.656
aggressor	mkandamizaji	anger	0.656
antichrist	mpinga Kristo	anger	0.656
gore	gore	anger	0.656
incense	uvumba	anger	0.656
expel	tuma	anger	0.656
destruction	uharibifu	anger	0.656
grudge	kinyongo	anger	0.656
cranky	cranky	anger	0.653
offended	hasira	anger	0.652
spank	spank	anger	0.652
growl	mkulima	anger	0.652
insurrection	ufufuo	anger	0.652
reprisal	kuadhibiwa	anger	0.652
slave	mtumwa	anger	0.652
denounce	kukataa	anger	0.652
animosity	chuki	anger	0.652
insulting	kutukana	anger	0.652
clashing	kupiga	anger	0.652
growls	punda	anger	0.649
executioner	mfanyakazi	anger	0.644
twat	jasho	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	uchafu	anger	0.641
bombard	bomu	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	chuki	anger	0.641
grr	grr	anger	0.641
arson	uchomaji	anger	0.641
reprimand	kumtuliza	anger	0.641
expulsion	kufukuzwa	anger	0.641
inexcusable	haitoshi	anger	0.641
accused	mtuhumiwa	anger	0.641
indignant	hasira	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	jeraha	anger	0.636
suicidal	kujiua	anger	0.636
poisoned	sumu	anger	0.636
batter	piga	anger	0.636
kicking	kukataa	anger	0.636
hanging	kunyongwa	anger	0.636
spanking	kupiga	anger	0.636
disgusting	machukizo	anger	0.636
combatant	mpiganaji	anger	0.636
frustrated	walifadhaika	anger	0.636
anarchy	machafuko	anger	0.636
glaring	kupungua	anger	0.636
inflict	tamaa	anger	0.633
wrecked	imeshindwa	anger	0.633
grievous	kibaya	anger	0.632
prosecute	kushitaki	anger	0.630
agitated	alisitishwa	anger	0.630
cheat	kudanganya	anger	0.630
swastika	swastika	anger	0.627
defamatory	kufutwa	anger	0.625
suffocation	kutosha	anger	0.625
strife	mgongano	anger	0.625
provocation	uchochezi	anger	0.625
injure	kuumiza	anger	0.625
harassing	kunusumbua	anger	0.625
scourge	janga	anger	0.625
cursing	kutukana	anger	0.625
betray	kumsaliti	anger	0.625
indict	onyesha	anger	0.625
raid	uvamizi	anger	0.625
thundering	umeme	anger	0.625
enslaved	watumwa	anger	0.625
arsehole	upinde	anger	0.624
insane	wazimu	anger	0.621
fiend	fiend	anger	0.621
irritate	hasira	anger	0.621
convict	mtuhumiwa	anger	0.621
jerk	jerk	anger	0.621
theft	wizi	anger	0.621
retaliation	kulipiza kisasi	anger	0.621
deprivation	kunyimwa	anger	0.621
cussed	ilipigwa	anger	0.619
turmoil	shida	anger	0.618
smack	smack	anger	0.615
retribution	malipo	anger	0.614
twats	pamba	anger	0.609
intolerable	kushindwa	anger	0.609
rebellion	uasi	anger	0.609
injurious	kuumiza	anger	0.609
oppressor	mnyanyasaji	anger	0.609
slavery	utumwa	anger	0.609
irritability	kuwashwa	anger	0.609
collision	mgongano	anger	0.609
bitterly	kwa uchungu	anger	0.609
gang	genge	anger	0.609
antagonism	kupinga	anger	0.609
battery	betri	anger	0.609
adverse	mbaya	anger	0.609
disgraced	aibu	anger	0.608
irritating	inakera	anger	0.606
revolution	mapinduzi	anger	0.606
thug	mhuni	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	mlipuko	anger	0.606
irks	irks	anger	0.606
sickening	ugonjwa	anger	0.606
discrimination	ubaguzi	anger	0.606
antagonistic	kupinga	anger	0.606
ranting	ranting	anger	0.606
asshole	punda	anger	0.606
frustrate	tamaa	anger	0.604
manipulation	kudanganywa	anger	0.603
tension	mvutano	anger	0.603
insult	chuki	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	kuumiza	anger	0.603
oppression	ukandamizaji	anger	0.603
disgust	chuki	anger	0.602
spite	kinyume chake	anger	0.600
intrusive	intrusive	anger	0.598
harshness	ukali	anger	0.597
slur	slur	anger	0.596
wretch	wanyonge	anger	0.594
inferno	inferno	anger	0.594
invasion	uvamizi	anger	0.594
puncture	kupigwa	anger	0.594
miserable	huzuni	anger	0.594
assail	kushambuliwa	anger	0.594
storming	storming	anger	0.594
casualty	majeruhi	anger	0.594
bitterness	uchungu	anger	0.594
morbidity	maradhi	anger	0.594
tempest	msimu	anger	0.594
consternation	kuvuta	anger	0.592
depraved	kupoteza	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	mwenye hatia	anger	0.591
immoral	uovu	anger	0.591
forcibly	kulazimisha	anger	0.591
overpowering	nguvu zaidi	anger	0.591
accursed	alilaaniwa	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	mvamizi	anger	0.588
scare	hofu	anger	0.588
screwed	zimejaa	anger	0.588
indignation	ghadhabu	anger	0.587
jealousy	wivu	anger	0.587
vexed	walisumbuliwa	anger	0.586
confront	kukabiliana	anger	0.582
brute	kibaya	anger	0.581
throttle	pigo	anger	0.579
wreck	kuanguka	anger	0.578
revolver	mkimbizi	anger	0.578
slut	slut	anger	0.578
yousuck	wewe	anger	0.578
damage	uharibifu	anger	0.578
butcher	mchezaji	anger	0.578
conflict	migogoro	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	uhalifu	anger	0.578
bickering	kupigana	anger	0.578
pillage	kuibiwa	anger	0.578
blaze	onya	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kupigana	anger	0.578
contentious	mjadala	anger	0.578
incarceration	kufungwa	anger	0.578
defiant	kibaya	anger	0.578
provoking	kuchochea	anger	0.578
lash	piga	anger	0.578
cancer	kansa	anger	0.577
frustration	kuchanganyikiwa	anger	0.576
gory	gory	anger	0.576
alienation	kuachana	anger	0.576
discord	kupingana	anger	0.576
disturbance	usumbufu	anger	0.576
grope	kupumba	anger	0.576
condescension	kujishughulisha	anger	0.576
pernicious	mbaya	anger	0.576
blasphemy	kumtukana	anger	0.576
discriminate	kubagua	anger	0.576
chaotic	machafuko	anger	0.576
gun	bunduki	anger	0.576
standoff	sawa	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	uchangamfu	anger	0.574
oppressive	kupandamiza	anger	0.574
death	kifo	anger	0.574
jab	jab	anger	0.574
cursed	alilaaniwa	anger	0.574
scandalous	kashfa	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	kupuuza	anger	0.571
slash	kuua	anger	0.571
unfair	haki	anger	0.571
gallows	mti	anger	0.570
escalate	kuongezeka	anger	0.569
intolerant	wasio na hatia	anger	0.564
lawlessness	uhalifu	anger	0.563
bluddy	bluddy	anger	0.562
perdition	uharibifu	anger	0.562
taunt	kumtukana	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	alidanganywa	anger	0.562
slander	uchapishaji	anger	0.562
retards	kuchelewa	anger	0.562
bearish	bearish	anger	0.562
invade	panga	anger	0.562
bellows	mimba	anger	0.562
beast	mnyama	anger	0.562
frightful	hofu	anger	0.562
derogatory	kudharau	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	hofu	anger	0.562
traitor	msaliti	anger	0.562
malign	kumtukana	anger	0.562
wrangling	kupigana	anger	0.562
dissension	ugomvi	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	kupigwa	anger	0.561
jeopardize	kuhatarisha	anger	0.561
thief	mwizi	anger	0.561
rave	rave	anger	0.561
grating	mgawanyiko	anger	0.561
devastating	uharibifu	anger	0.561
idiots	idiots	anger	0.561
betrayal	usaliti	anger	0.561
uncontrollable	bila kudhibiti	anger	0.561
fits	inafaa	anger	0.561
cross	msalaba	anger	0.561
hurt	kuumiza	anger	0.561
disturbed	alifadhaika	anger	0.559
subjugation	kutawala	anger	0.559
stomped	kupigwa	anger	0.557
grab	kunyakua	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	malalamiko	anger	0.556
defiance	upinzani	anger	0.552
blackmail	usaliti	anger	0.550
offensive	hasira	anger	0.549
decry	kuacha	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ukiukwaji	anger	0.547
punishment	adhabu	anger	0.547
shrill	fanya	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	taabu	anger	0.547
frustrates	huvunjika moyo	anger	0.547
disgraceful	aibu	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	kuhimili	anger	0.547
disparity	usawa	anger	0.547
confine	funga	anger	0.547
firearms	silaha za silaha	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	waasi	anger	0.547
deceive	kudanganya	anger	0.547
stolen	kuibiwa	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	hasira	anger	0.545
ruined	kuharibiwa	anger	0.545
menace	hatari	anger	0.545
humiliate	dharau	anger	0.545
tackle	kukabiliana	anger	0.545
conspirator	mkimbizi	anger	0.545
foul	mchafu	anger	0.545
antagonist	mpinzani	anger	0.545
resentful	hasira	anger	0.545
prejudice	chuki	anger	0.545
adversary	adui	anger	0.545
argument	hoja	anger	0.545
skirmish	skirmish	anger	0.545
callous	Wasio	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	kuingizwa	anger	0.544
robbery	wizi	anger	0.544
sting	kuumwa	anger	0.544
outcry	kilio	anger	0.544
grumble	tamaa	anger	0.544
irreconcilable	haiwezekani	anger	0.543
resistance	upinzani	anger	0.543
obstructive	kizuizi	anger	0.542
dismay	kufadhaika	anger	0.540
mob	kikundi	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	uovu	anger	0.536
ridicule	kudharau	anger	0.534
incendiary	kuwaka	anger	0.533
flares	flares	anger	0.532
degeneracy	kupungua	anger	0.531
confinement	kifungo	anger	0.531
exacerbation	ukali	anger	0.531
prejudicial	chuki	anger	0.531
uprising	upigano	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	wasiwasi	anger	0.531
unbridled	haijatilishwa	anger	0.531
allegation	madai	anger	0.531
communism	Kikomunisti	anger	0.531
whip	mjeledi	anger	0.531
intruder	mtungaji	anger	0.531
dispute	mgogoro	anger	0.531
belittle	kupungua	anger	0.531
bigoted	imepigwa	anger	0.530
offender	mkosaji	anger	0.530
hassle	Hassle	anger	0.530
dissonance	dissonance	anger	0.530
unjust	haki	anger	0.530
dictatorial	udikteta	anger	0.530
unjustifiable	haijulikani	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	kupotosha	anger	0.530
tackled	imefungwa	anger	0.530
renegade	uasi	anger	0.529
hot	moto	anger	0.529
prison	jela	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	kosa	anger	0.529
suicide	kujiua	anger	0.521
annoy	pendeza	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotic	anger	0.516
distrust	kutokuamini	anger	0.516
depravity	uharibifu	anger	0.516
cretins	cretins	anger	0.516
divorce	talaka	anger	0.516
broil	piga	anger	0.516
grrr	grrr	anger	0.516
venting	kuruka	anger	0.516
inimical	inimical	anger	0.516
duress	shika	anger	0.516
disrespectful	kutoheshimu	anger	0.516
tortious	mateso	anger	0.516
criticize	kukosoa	anger	0.516
prisoner	mfungwa	anger	0.516
dishonest	waaminifu	anger	0.516
treason	upatanisho	anger	0.516
victimized	walioathirika	anger	0.515
bile	bile	anger	0.515
unkind	hasira	anger	0.515
unforgiving	kusamehe	anger	0.515
unleash	unleash	anger	0.515
coercion	kulazimishwa	anger	0.515
scold	kukemea	anger	0.515
chaos	machafuko	anger	0.515
grump	grump	anger	0.515
roar	kupiga kelele	anger	0.515
jerks	jerks	anger	0.515
poaching	uhamasishaji	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	poda	anger	0.515
poachers	wafuasi	anger	0.515
argumentation	hoja	anger	0.515
frustrating	kuchanganyikiwa	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	mashtaka	anger	0.510
repudiation	kukataa	anger	0.510
enmity	chuki	anger	0.510
banish	kupiga marufuku	anger	0.509
disfigured	imefutwa	anger	0.508
storm	dhoruba	anger	0.507
shun	jizuia	anger	0.500
suppression	kukandamiza	anger	0.500
unruly	bila malipo	anger	0.500
intractable	haiwezekani	anger	0.500
ordeal	matatizo	anger	0.500
obstruct	Kuzuia	anger	0.500
derogation	kudharau	anger	0.500
fervor	fervor	anger	0.500
foaming	kupumua	anger	0.500
derision	dharau	anger	0.500
animus	animus	anger	0.500
rejects	anakataa	anger	0.500
bout	bout	anger	0.500
spear	mkuki	anger	0.500
crazy	wazimu	anger	0.500
brazen	shaba	anger	0.500
antithesis	antithesis	anger	0.500
injustice	haki	anger	0.500
banished	ilifukuzwa	anger	0.500
confined	imefungwa	anger	0.500
frenzied	frenzied	anger	0.500
dominate	kutawala	anger	0.500
disrupting	kuharibu	anger	0.500
hammering	kunyoosha	anger	0.500
fear	hofu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	maumivu	anger	0.500
brunt	uvunjaji	anger	0.500
possessed	alimiliki	anger	0.500
defy	kataa	anger	0.500
scoff	mshtuko	anger	0.500
patronising	kutunza	anger	0.500
delusional	udanganyifu	anger	0.500
malpractice	makosa	anger	0.500
reject	kukataa	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	ugumu	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	wazimu	anger	0.491
sinful	wenye dhambi	anger	0.491
avarice	adarice	anger	0.490
oppress	kudhalilisha	anger	0.490
disapproved	haukubali	anger	0.485
inhuman	si ya kibinadamu	anger	0.485
demand	mahitaji	anger	0.485
abolish	kukomesha	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	malalamiko	anger	0.485
disservice	kufuta	anger	0.485
smuggler	smuggler	anger	0.485
revoke	rejea	anger	0.485
infraction	uhalifu	anger	0.485
claw	claw	anger	0.485
dissident	wapinzani	anger	0.485
pervert	kupotoa	anger	0.485
incest	mshirika	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	wasio na utii	anger	0.485
usurp	usurp	anger	0.485
alienate	kuepuka	anger	0.485
avenger	mlipuko	anger	0.485
annoyed	alikasirika	anger	0.485
cutting	kukata	anger	0.485
disgrace	aibu	anger	0.484
deceit	uongo	anger	0.484
suspicious	tuhuma	anger	0.484
thresh	fanya	anger	0.484
sucker	sucker	anger	0.484
strained	kuharibiwa	anger	0.484
blame	lawama	anger	0.484
upheaval	upheaval	anger	0.484
renounce	kukataa	anger	0.484
obnoxious	kuogopa	anger	0.484
restrain	kuzuia	anger	0.484
oust	oust	anger	0.484
litigious	litigious	anger	0.484
rivalry	mgongano	anger	0.484
penalty	adhabu	anger	0.484
imprisoned	kufungwa	anger	0.484
mocking	kumdhihaki	anger	0.484
opposed	kinyume	anger	0.484
turbulence	turbulence	anger	0.483
pound	pound	anger	0.481
coldness	baridi	anger	0.477
ungrateful	hakuthamini	anger	0.472
battalion	askari	anger	0.471
stoopid	stoopid	anger	0.471
hostage	mateka	anger	0.470
infidel	waaminifu	anger	0.470
ram	kondoo	anger	0.470
accuser	mshtakiwa	anger	0.470
gall	ndoo	anger	0.470
subversion	upungufu	anger	0.470
annoying	hasira	anger	0.470
adversity	shida	anger	0.470
dispossessed	kuondolewa	anger	0.470
friction	msuguano	anger	0.470
jealous	wivu	anger	0.470
feudalism	ufadhili	anger	0.470
armament	silaha	anger	0.470
thump	thump	anger	0.469
complain	kulalamika	anger	0.469
incite	kuhamasisha	anger	0.469
steal	kuiba	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	msiiasi	anger	0.469
injury	kuumia	anger	0.469
simmer	simmer	anger	0.469
distress	dhiki	anger	0.469
insanity	upungufu	anger	0.469
selfish	ubinafsi	anger	0.469
huff	huff	anger	0.469
selfishness	ubinafsi	anger	0.469
backoff	backoff	anger	0.469
plunder	nyara	anger	0.469
stifled	imefungwa	anger	0.469
subversive	kupinga	anger	0.469
exile	uhamisho	anger	0.469
offense	kosa	anger	0.469
