word	Tamil-ta	emotion	emotion-intensity-score
slaughter	படுகொலை	anger	0.844
violent	வன்முறை	anger	0.844
destroying	அழித்து	anger	0.844
abomination	அருவருப்பானது	anger	0.844
tumultuous	கொந்தளிப்பான	anger	0.844
irate	கடுங்கோபத்துடன்	anger	0.844
infuriate	கோபமூட்டு	anger	0.844
obliterate	அழி	anger	0.843
belligerent	பக்கச்சார்புடன்	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	அறவே வெறுத்தார்	anger	0.838
hostilities	போர்	anger	0.837
prick	குத்திவிட்டது	anger	0.835
torture	சித்திரவதை	anger	0.833
rabid	ராபிட்	anger	0.833
horrid	அச்சமூட்டுவதாக	anger	0.833
rampage	ஈடுபடுகிறார்	anger	0.833
cruelty	கொடுமை	anger	0.833
hate	வெறுக்கிறேன்	anger	0.828
demonic	பேய்	anger	0.828
hating	வெறுக்க	anger	0.828
satanic	சாத்தான்களின்	anger	0.828
tyrannical	கொடுங்கோல்	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	வெறுக்கத்தக்க	anger	0.828
ruinous	நாசகரமான	anger	0.825
condemn	கண்டனம்	anger	0.825
riots	கலவரம்	anger	0.824
demolish	இடிக்க	anger	0.824
angry	கோபம்	anger	0.824
extermination	அழிப்பதே	anger	0.824
dickhead	குறியின் தலை	anger	0.824
livid	கோபமாக	anger	0.821
madman	பைத்தியக்காரன்	anger	0.820
vindictive	பழிவாங்கும்	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	முரட்டுத்தனம்	anger	0.818
venomous	நச்சுத்தன்மையுடைய	anger	0.818
threaten	அச்சுறுத்தும்	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	பயங்கரவாத	anger	0.818
abhor	வெறுப்புக் கொள்	anger	0.816
savage	காட்டுமிராண்டி	anger	0.814
atrocity	அட்டூழியம்	anger	0.814
carnage	படுகொலைக்கான	anger	0.814
berserk	வெறித்தனத்துக்குத்	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	தவறாக	anger	0.812
tyrant	கொடுங்கோலன்	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	பழிதீர்க்கும்	anger	0.812
fierce	கடுமையான	anger	0.812
destroyer	அழிக்கும்	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	பொங்கியெழுந்த	anger	0.812
barbaric	காட்டுமிராண்டித்தனமான	anger	0.812
anger	கோபம்	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	ஸ்லாம்	anger	0.803
fights	சண்டைக் காட்சிகளுக்காக	anger	0.803
punched	குத்தியதாக	anger	0.803
bitch	பிச்	anger	0.803
punching	குத்துவதை	anger	0.803
homicide	கொலை	anger	0.803
destructive	அழிவு	anger	0.797
ruthless	இரக்கமற்ற	anger	0.797
villainous	வில்லத்தனமான	anger	0.797
slap	ஸ்லாப்	anger	0.791
slaughterhouse	இறைச்சி கூடத்திற்கு	anger	0.788
punishing	தண்டிக்கும்	anger	0.788
destroyed	அழித்து	anger	0.788
retaliatory	பழிவாங்கும்	anger	0.788
riot	கலவர	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	கத்தி	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	கொடூரமான	anger	0.788
manslaughter	வன்மத்தினால்	anger	0.783
clash	மோதல்	anger	0.783
bloody	இரத்தம் தோய்ந்த	anger	0.781
hellish	நரக	anger	0.781
loath	விருப்பம் இல்லாத	anger	0.781
detonation	வெடித்துவிடுபவை	anger	0.781
quarrel	சண்டை	anger	0.781
sinister	கெட்ட	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	குற்றம்சாட்டி	anger	0.779
treacherous	துரோக	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	பதிலடி	anger	0.773
revulsion	பெரும் வெறுப்புணர்வை	anger	0.773
madder	மாஞ்சிட்டி	anger	0.773
horrific	கொடூரமான	anger	0.773
scorn	வெறுப்புக்கு ஆளானார்	anger	0.769
deplorable	வருந்தத்தக்க	anger	0.766
bomb	குண்டு	anger	0.766
anarchist	அராஜகவாத	anger	0.765
devastation	பேரழிவு	anger	0.765
resent	சினம்கொள்ள	anger	0.765
firestorm	புயலை	anger	0.765
contemptible	அலட்சியப்படுத்தத்தக்கதாய்	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	கொடூரமான	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	கொடிய	anger	0.758
smash	நொறுக்கு	anger	0.758
rant	கொந்தளிப்பாக	anger	0.758
outburst	திடீர் எழுச்சி	anger	0.757
snarl	snarl	anger	0.754
profane	ஆளாகியிருப்பதாகவும்	anger	0.750
offend	புண்படுத்தலாம்	anger	0.750
douchebags	douchebags	anger	0.750
growling	ம்ம்ம்	anger	0.750
stfu	stfu	anger	0.750
vulgarity	அநாகரீக	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	வெறி பிடித்த	anger	0.750
despise	தூற்றும்	anger	0.750
horror	திகில்	anger	0.750
aggravating	மிகமுக்கியமான	anger	0.750
revolting	அருவருப்பானவற்றை	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	அச்சுறுத்தல்	anger	0.742
erupt	உமிழும்	anger	0.742
screaming	கத்தி	anger	0.742
violence	வன்முறை	anger	0.742
horrible	பயங்கரமான	anger	0.742
molestation	பருவ	anger	0.742
bastards	பாஸ்டர்ட்ஸ்	anger	0.741
revenge	பழிவாங்கும்	anger	0.738
catastrophe	பேரழிவை	anger	0.735
menacing	மிரட்டும்	anger	0.735
demon	பேய்	anger	0.735
crushing	நசுக்கிய	anger	0.735
damn	ரொம்பவும்	anger	0.735
persecute	கொடுமைப்படுத்துவது	anger	0.734
argue	வாதிடுகின்றனர்	anger	0.734
flog	ஒப்புக்கொடுத்து சாட்டையால்	anger	0.734
revolt	கிளர்ச்சி	anger	0.734
thrash	த்ரேஸ்	anger	0.734
deplore	இகழ்ந்துரைத்தாலும்	anger	0.734
warfare	போர்	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	தீவிரமான	anger	0.734
riotous	அடங்காத	anger	0.734
altercation	கைகலப்பில்	anger	0.729
warlike	போர்க்குணமுள்ள	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	கலகம்	anger	0.727
castrate	விதையடி	anger	0.727
sabotage	நாசவேலை	anger	0.727
malevolent	தீய	anger	0.721
strike	வேலைநிறுத்தம்	anger	0.721
disaster	பேரழிவு	anger	0.721
disastrous	பேரழிவு	anger	0.720
tumult	அமளியின்	anger	0.719
madden	மேடன்	anger	0.719
devil	சாத்தான்	anger	0.719
scream	அலறல்	anger	0.719
brutal	மிருகத்தனமான	anger	0.719
treachery	துரோகம்	anger	0.719
scorching	மிகுந்த வெப்பமான	anger	0.719
vermin	மண்புழு	anger	0.719
arseholes	மலவாய்கள்	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	அதிகமாகிவிட்டால்	anger	0.719
spiteful	எதிராளிகளாலும்	anger	0.719
slay	கொல்லும்போது	anger	0.719
disdain	ஏளனத்துடன்	anger	0.719
choke	அடைப்பை	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	அராஜகம்	anger	0.714
mutilation	உருச்சிதைவுகள்	anger	0.714
criminal	குற்றவியல்	anger	0.714
denunciation	கண்டனம்	anger	0.713
punch	பஞ்ச்	anger	0.713
crucifixion	சிலுவையில்	anger	0.712
virulence	நச்சுத்தன்மைகளின்	anger	0.712
battled	சண்டையிடும்	anger	0.712
fatal	அபாயகரமான	anger	0.712
holocaust	பேரழிவு	anger	0.712
blasphemous	இழிவுபடுத்துவதும்	anger	0.712
hurting	வலிக்கிறது	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	குழம்பியதொடர்	anger	0.706
atrocious	கோரமான	anger	0.706
evil	தீய	anger	0.706
irritated	எரிச்சலடைந்துவிடுகிறேன்	anger	0.706
assassin	கொலையாளியை	anger	0.703
dicks	பிறப்புறுப்புகள்	anger	0.703
persecution	துன்புறுத்தல்	anger	0.703
slayer	கொலைசெய்தவன்	anger	0.703
kidnap	கடத்தல்	anger	0.703
scolding	வசவுகளை	anger	0.703
intimidation	மிரட்டல்	anger	0.703
aggravated	மேலும் மோசமானது	anger	0.703
aggression	ஆக்கிரமிப்பு	anger	0.702
armed	ஆயுத	anger	0.700
poison	விஷம்	anger	0.697
snarling	கோபமான	anger	0.697
venom	நஞ்சை	anger	0.697
battle	போர்	anger	0.697
disgruntled	அதிருப்தி	anger	0.693
insidious	நயவஞ்சக	anger	0.691
assailant	பகைவன்	anger	0.691
resentment	சீற்றமாக	anger	0.691
lynch	லிஞ்ச்	anger	0.690
contemptuous	இறுமாப்பான	anger	0.690
temper	கோபத்தை	anger	0.688
imprisonment	சிறை	anger	0.688
disparage	கேவலப்படுத்தி	anger	0.688
bully	புல்லி	anger	0.688
terrible	பயங்கரமான	anger	0.688
lunatic	பித்துபிடித்தோர்	anger	0.688
curse	சாபம்	anger	0.688
makesmemad	makesmemad	anger	0.688
peeved	வெடுவெடுப்பான	anger	0.688
domination	ஆதிக்கம்	anger	0.688
mad	பைத்தியம்	anger	0.688
infanticide	சிசுக்கொலை	anger	0.688
volatility	ஏற்ற இறக்கம்	anger	0.687
eradication	அழிப்பு	anger	0.685
tantrum	திடீர் வெறி எழுச்சி	anger	0.682
devastate	பாழாக்கி	anger	0.682
eradicate	ஒழிக்க	anger	0.682
scoundrel	போக்கிரி	anger	0.682
aggressively	தீவிரமாக	anger	0.680
agitation	கிளர்ச்சி	anger	0.680
dictatorship	சர்வாதிகாரம்	anger	0.676
irritates	எரிச்சல்	anger	0.676
profanity	அவதூறு	anger	0.673
egregious	அதிர்ச்சியான	anger	0.672
expletive	திடீர் என்று வியப்பு	anger	0.672
nasty	மோசமான	anger	0.672
shove	ஆர்ப்பரிப்பு	anger	0.672
shot	ஷாட்	anger	0.672
harmful	தீங்கு	anger	0.672
aggravation	மோசமாக்குகிறது	anger	0.672
contempt	அவமதிப்பு	anger	0.672
poisonous	விஷ	anger	0.672
dastardly	கொடூரமான	anger	0.672
shoot	சுட	anger	0.672
corrupting	கெடுப்பதாகவும்	anger	0.672
condemnation	கண்டனம்	anger	0.672
wreak	அழிவை	anger	0.672
crushed	நொறுக்கப்பட்ட	anger	0.672
cruelly	கொடூரமாக	anger	0.672
crime	குற்றம்	anger	0.672
maniac	வெறி பிடித்த	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	வெடிப்பு	anger	0.667
odious	இழிந்த	anger	0.667
shooting	படப்பிடிப்பு	anger	0.667
kick	கிக்	anger	0.667
aggressive	ஆக்கிரமிப்பு	anger	0.667
combat	போர்	anger	0.667
shout	சத்தம்	anger	0.667
hit	வெற்றி	anger	0.667
fight	சண்டை	anger	0.667
cutthroat	கழுத்தை அறுக்கும்	anger	0.667
enemy	எதிரி	anger	0.667
irritable	எரிச்சல்	anger	0.667
punished	தண்டனை	anger	0.662
ambush	பதுங்கியிருந்து	anger	0.661
yell	கத்துவார்கள்	anger	0.661
harass	தொல்லை	anger	0.659
malignant	வீரியம் மிக்க	anger	0.656
aggressor	சண்டையை	anger	0.656
antichrist	கிறிஸ்துவுக்கு	anger	0.656
gore	முக்கோணத்	anger	0.656
incense	தூப	anger	0.656
expel	வெளியேற்ற	anger	0.656
destruction	அழிவு	anger	0.656
grudge	காழ்ப்புணர்ச்சி	anger	0.656
cranky	விபரீதமாக	anger	0.653
offended	எரிச்சலுற்ற	anger	0.652
spank	ஏமாற்றலாமா	anger	0.652
growl	உறுமல்	anger	0.652
insurrection	கிளர்ச்சியைப்	anger	0.652
reprisal	பழிவாங்கும்	anger	0.652
slave	அடிமை	anger	0.652
denounce	கண்டனம்	anger	0.652
animosity	விரோதத்தை	anger	0.652
insulting	அவமதிக்கும்	anger	0.652
clashing	மோதினார்கள்	anger	0.652
growls	growls	anger	0.649
executioner	மரணதண்டனை நிறைவேற்றியவர்	anger	0.644
twat	பிறப்புறுப்பு	anger	0.644
doomsday	இறுதிநாள்	anger	0.643
daemon	டேமன்	anger	0.641
obscenity	ஆபாசம்	anger	0.641
bombard	குண்டு	anger	0.641
spat	சண்டையை	anger	0.641
havoc	அழிவை	anger	0.641
feud	பகை	anger	0.641
grr	GRR	anger	0.641
arson	கலவரம்	anger	0.641
reprimand	கண்டனத்தையும்	anger	0.641
expulsion	வெளியேற்றப்பட	anger	0.641
inexcusable	மன்னிக்கக்கூடாத	anger	0.641
accused	குற்றஞ்சாட்டினார்	anger	0.641
indignant	கோபித்து	anger	0.641
shackle	விலங்காக	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	காயம்	anger	0.636
suicidal	தற்கொலை	anger	0.636
poisoned	விஷம்	anger	0.636
batter	இடி	anger	0.636
kicking	உதைத்து	anger	0.636
hanging	தொங்கி	anger	0.636
spanking	குண்டர்	anger	0.636
disgusting	வெறுக்கத்தக்க	anger	0.636
combatant	போரில்	anger	0.636
frustrated	விரக்தியடைந்த	anger	0.636
anarchy	அராஜகம்	anger	0.636
glaring	வெளிப்படையான	anger	0.636
inflict	ஏற்படுத்துவதற்கு	anger	0.633
wrecked	உடையும்	anger	0.633
grievous	வேதனை	anger	0.632
prosecute	சட்டரீதியாக	anger	0.630
agitated	கிளர்ச்சி	anger	0.630
cheat	ஏமாற்ற	anger	0.630
swastika	ஸ்வஸ்திகாவை	anger	0.627
defamatory	தீங்கான	anger	0.625
suffocation	மூச்சுத்திணறல்	anger	0.625
strife	கலவரத்தை	anger	0.625
provocation	ஆத்திரமூட்டல்	anger	0.625
injure	காயப்படுத்தும்	anger	0.625
harassing	தொந்தரவு	anger	0.625
scourge	கசை	anger	0.625
cursing	கெட்ட வார்த்தைகளில் திட்டுவது	anger	0.625
betray	காட்டிக்கொடு	anger	0.625
indict	குற்றப்பத்திரிக்கை தாக்கல்	anger	0.625
raid	தாக்குதலில்	anger	0.625
thundering	இடி	anger	0.625
enslaved	அடிமைப்படுத்தப்பட்ட	anger	0.625
arsehole	மலவாய்	anger	0.624
insane	பைத்தியம்	anger	0.621
fiend	பிசாசு	anger	0.621
irritate	எரிச்சல்	anger	0.621
convict	குற்றவாளியான	anger	0.621
jerk	முட்டாள்	anger	0.621
theft	திருட்டு	anger	0.621
retaliation	பதிலடி	anger	0.621
deprivation	இழப்பு	anger	0.621
cussed	cussed	anger	0.619
turmoil	கொந்தளிப்பை	anger	0.618
smack	அடி விழுந்ததும்	anger	0.615
retribution	பழிவாங்கும்	anger	0.614
twats	twats	anger	0.609
intolerable	தாங்க முடியாத	anger	0.609
rebellion	கிளர்ச்சி	anger	0.609
injurious	காயப்படுத்திக் கொள்ளும்	anger	0.609
oppressor	ஒடுக்குபவரின்	anger	0.609
slavery	அடிமை	anger	0.609
irritability	எரிச்சல்	anger	0.609
collision	மோதல்	anger	0.609
bitterly	கடுமையாக	anger	0.609
gang	கும்பல்	anger	0.609
antagonism	முரண்பாடு	anger	0.609
battery	பேட்டரி	anger	0.609
adverse	பாதகமான	anger	0.609
disgraced	ஏமாற்றுவது	anger	0.608
irritating	எரிச்சலை	anger	0.606
revolution	புரட்சி	anger	0.606
thug	குண்டர்	anger	0.606
diatribe	வசைமாரிகளைப்	anger	0.606
bombardment	குண்டுவீச்சு	anger	0.606
blast	வெடிப்பு	anger	0.606
irks	irks	anger	0.606
sickening	நோய்பீடித்ததாகக்	anger	0.606
discrimination	பாகுபாடு	anger	0.606
antagonistic	பகையுணர்வுடன்	anger	0.606
ranting	கூச்சலிடும்	anger	0.606
asshole	ஜ	anger	0.606
frustrate	சினங்கொள்ளச்	anger	0.604
manipulation	கையாளுதல்	anger	0.603
tension	பதற்றம்	anger	0.603
insult	அவமானம்	anger	0.603
bigot	வைராக்கியமுடையவன்	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	புண்படுத்தும்	anger	0.603
oppression	ஒடுக்குமுறைக்கு	anger	0.603
disgust	உங்களுடைய வெறுப்பை	anger	0.602
spite	இருந்தபோதும்	anger	0.600
intrusive	ஊடுருவும்	anger	0.598
harshness	கடுமை	anger	0.597
slur	களங்கம்	anger	0.596
wretch	ஈனன்	anger	0.594
inferno	நரகம்	anger	0.594
invasion	படையெடுப்பு	anger	0.594
puncture	துளை	anger	0.594
miserable	பரிதாபகரமான	anger	0.594
assail	தாக்குவதற்கும்	anger	0.594
storming	முற்றுகையிடப்பட்டன	anger	0.594
casualty	விபத்துக்	anger	0.594
bitterness	கசப்பு	anger	0.594
morbidity	நோயுற்ற தன்மை	anger	0.594
tempest	பெருங்காற்று	anger	0.594
consternation	திகைக்க	anger	0.592
depraved	வக்கிரமான	anger	0.591
raving	பிதற்றுகிற	anger	0.591
guillotine	க்வில்லடின்	anger	0.591
guilty	குற்றவாளி	anger	0.591
immoral	ஒழுக்கக்கேடான	anger	0.591
forcibly	வலுக்கட்டாயமாக	anger	0.591
overpowering	வேட்டையாடிய	anger	0.591
accursed	சபிக்கப்பட்ட	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	அடங்காமல்	anger	0.588
invader	ஊடுருவும்	anger	0.588
scare	பயத்தின்	anger	0.588
screwed	திருகப்படுமாறு	anger	0.588
indignation	கோபத்தை	anger	0.587
jealousy	பொறாமை	anger	0.587
vexed	மனவேதனைக்கு ஆளாகியுள்ளனர்	anger	0.586
confront	எதிர்கொள்ள	anger	0.582
brute	முரட்டு	anger	0.581
throttle	கழுத்துப்பகுதி	anger	0.579
wreck	ரெக்	anger	0.578
revolver	துப்பாக்கி	anger	0.578
slut	பிரஞ்சு	anger	0.578
yousuck	yousuck	anger	0.578
damage	சேதம்	anger	0.578
butcher	கசாப்பு	anger	0.578
conflict	மோதல்	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	குற்றம்	anger	0.578
bickering	சுரண்டல்களால்	anger	0.578
pillage	அழிந்துபடுவதற்கு	anger	0.578
blaze	தீ	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ஆட்சிக்கவிழ்ப்பு	anger	0.578
contentious	சர்ச்சைக்குரிய	anger	0.578
incarceration	சிறைவைப்பு	anger	0.578
defiant	இணக்கமற்ற	anger	0.578
provoking	தூண்டுபவை	anger	0.578
lash	பலங்கொண்டு அடி	anger	0.578
cancer	புற்றுநோய்	anger	0.577
frustration	ஏமாற்றம்	anger	0.576
gory	கோரமான	anger	0.576
alienation	ஒடுக்கப்பட்ட	anger	0.576
discord	கூறின	anger	0.576
disturbance	இடையூறு	anger	0.576
grope	தட்டுத்தடுமாறியிருக்கிறீர்கள்	anger	0.576
condescension	அருள்	anger	0.576
pernicious	தீய	anger	0.576
blasphemy	தெய்வ நிந்தனை	anger	0.576
discriminate	வேற்றுமையை	anger	0.576
chaotic	குழப்பமான	anger	0.576
gun	துப்பாக்கி	anger	0.576
standoff	வேலை நிறுத்தம்	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	பரிகாசம் செய்	anger	0.574
lunacy	பைத்தியம்	anger	0.574
oppressive	அடக்குமுறை	anger	0.574
death	மரணம்	anger	0.574
jab	ஜப்	anger	0.574
cursed	சபித்தார்	anger	0.574
scandalous	இழிவான	anger	0.574
monstrosity	கொடூரத்தையும்	anger	0.574
shit	மலம்	anger	0.573
disparaging	இழிந்துரைப்பதைப்	anger	0.571
slash	வெட்டி	anger	0.571
unfair	நியாயமற்ற	anger	0.571
gallows	தூக்கு மேடைக்கு	anger	0.570
escalate	அதிகரிக்கும்	anger	0.569
intolerant	சகிப்புத்தன்மை	anger	0.564
lawlessness	சட்டத்திற்கு புறம்பாகவும்	anger	0.563
bluddy	bluddy	anger	0.562
perdition	நரகம்	anger	0.562
taunt	இகழ்ச்சிப்	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	வெடிக்கண்ணியை	anger	0.562
deceived	ஏமாற்றப்பட்டு	anger	0.562
slander	அவதூறு	anger	0.562
retards	தடுக்கும்	anger	0.562
bearish	முரட்டுத்தனமான	anger	0.562
invade	படையெடுத்து	anger	0.562
bellows	துருத்தி	anger	0.562
beast	மிருகம்	anger	0.562
frightful	பயங்கரமான	anger	0.562
derogatory	தரக்குறைவான	anger	0.562
glare	கண்ணை கூசும்	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	அச்சமூட்டும்	anger	0.562
traitor	துரோகி	anger	0.562
malign	தீய	anger	0.562
wrangling	காரசாரமான	anger	0.562
dissension	கருத்து வேறுபாடு	anger	0.561
banshee	Banshee	anger	0.561
shatter	நொறுக்கு	anger	0.561
conflagration	பெருந்தீ	anger	0.561
jeopardize	பாதிக்க	anger	0.561
thief	திருடன்	anger	0.561
rave	மூர்க்கமான	anger	0.561
grating	கிரேட்டிங்	anger	0.561
devastating	பேரழிவு	anger	0.561
idiots	முட்டாள்	anger	0.561
betrayal	துரோகம்	anger	0.561
uncontrollable	கட்டுப்படுத்த முடியாத	anger	0.561
fits	வலிப்பு	anger	0.561
cross	கடந்து	anger	0.561
hurt	காயம்	anger	0.561
disturbed	அமைதி குலைந்த	anger	0.559
subjugation	அடிமைப்படுத்தி	anger	0.559
stomped	stomped	anger	0.557
grab	கிராப்	anger	0.557
ticked	ஹைதராபாத்	anger	0.556
masochism	மசோக்கியம்	anger	0.556
grievance	குறைகளை	anger	0.556
defiance	எதிர்ப்புத் தெரிவித்தல்	anger	0.552
blackmail	மிரட்டல்	anger	0.550
offensive	தாக்குதல்	anger	0.549
decry	குறை கூறுபவர்களும்	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	மீறல்	anger	0.547
punishment	தண்டனை	anger	0.547
shrill	கிரீச்சுக்	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	Darkside	anger	0.547
misery	துயரத்தின்	anger	0.547
frustrates	எரிச்சலாக	anger	0.547
disgraceful	அவமானகரமானது	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ஆணவமான	anger	0.547
disparity	வேறுபாடு	anger	0.547
confine	எல்லைக்குட்படுத்த	anger	0.547
firearms	துப்பாக்கி	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	அபத்தமானது	anger	0.547
rebel	கிளர்ச்சி	anger	0.547
deceive	ஏமாற்ற	anger	0.547
stolen	திருடப்பட்ட	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	வேங்கர்	anger	0.545
heated	சூடான	anger	0.545
ruined	பாழாக்கி	anger	0.545
menace	அச்சுறுத்தல்	anger	0.545
humiliate	அவமானப்படுத்தும்	anger	0.545
tackle	தடுப்பாட்டம்	anger	0.545
conspirator	சதிகாரர்	anger	0.545
foul	ஃபவுல்	anger	0.545
antagonist	எதிரியான	anger	0.545
resentful	கோபி	anger	0.545
prejudice	பாரபட்சம்	anger	0.545
adversary	விரோதி	anger	0.545
argument	வாதம்	anger	0.545
skirmish	சண்டையிலிருந்து	anger	0.545
callous	இரக்கமற்றதாகவும்	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	சிக்கிக்	anger	0.544
robbery	கொள்ளை	anger	0.544
sting	கொடுக்கு	anger	0.544
outcry	கண்டனங்களை	anger	0.544
grumble	மனக்குறைப்படு	anger	0.544
irreconcilable	சரிசெய்ய முடியாத	anger	0.543
resistance	எதிர்ப்பு	anger	0.543
obstructive	தடைச்செய்யும்	anger	0.542
dismay	கண்டனத்தையும்	anger	0.540
mob	கும்பல்	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	கீழ்த்தரமான காரியங்களில்	anger	0.536
ridicule	வேடிக்கையான	anger	0.534
incendiary	தீமூட்டும்	anger	0.533
flares	எரிப்பு	anger	0.532
degeneracy	சீரழிவில் சிக்கித் தவிக்கிறது	anger	0.531
confinement	சிறைவாசம்	anger	0.531
exacerbation	அதிகரித்தல்	anger	0.531
prejudicial	அநீதியான	anger	0.531
uprising	எழுச்சி	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	பொறுப்பற்ற	anger	0.531
unbridled	தடையற்ற	anger	0.531
allegation	குற்றச்சாட்டு	anger	0.531
communism	கம்யூனிசம்	anger	0.531
whip	சாட்டை	anger	0.531
intruder	ஆகாத	anger	0.531
dispute	சர்ச்சை	anger	0.531
belittle	சிறுமைப்படுத்தி	anger	0.531
bigoted	மதவெறி	anger	0.530
