word	Albanian-sq	emotion	emotion-intensity-score
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	hakmarrje	anger	0.812
fierce	i egër	anger	0.812
destroyer	shkatërrues	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbar	anger	0.812
anger	zemërim	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	kritikoj	anger	0.803
fights	Lufton	anger	0.803
punched	grushta	anger	0.803
bitch	kurvë	anger	0.803
punching	punching	anger	0.803
homicide	vrasje	anger	0.803
destructive	shkatërrues	anger	0.797
ruthless	pamëshirshme	anger	0.797
villainous	i ndyrë	anger	0.797
slap	mu	anger	0.791
slaughterhouse	thertore	anger	0.788
punishing	ndëshkuar	anger	0.788
destroyed	i shkatërruar	anger	0.788
retaliatory	shpagimi	anger	0.788
riot	trazirë	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	djallëzor	anger	0.788
manslaughter	vrasje e thjeshtë	anger	0.783
clash	përplasje	anger	0.783
bloody	i përgjakshëm	anger	0.781
hellish	djallëzor	anger	0.781
loath	ngurrues	anger	0.781
detonation	shpërthim	anger	0.781
quarrel	grindje	anger	0.781
sinister	i keq	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	duke e akuzuar	anger	0.779
treacherous	i pabesë	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	hakmerrem	anger	0.773
revulsion	zmbrapsje	anger	0.773
madder	madder	anger	0.773
horrific	tmerrues	anger	0.773
scorn	përçmim	anger	0.769
deplorable	i mjerueshëm	anger	0.766
bomb	bombë	anger	0.766
anarchist	anarkist	anger	0.765
devastation	shkatërrim	anger	0.765
resent	nuk duroj	anger	0.765
firestorm	stuhi	anger	0.765
contemptible	i përbuzshëm	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	mizor	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	vdekjeprurës	anger	0.758
smash	thyhet	anger	0.758
rant	përçartje	anger	0.758
outburst	shpërthim	anger	0.757
snarl	ngatërroj	anger	0.754
profane	profan	anger	0.750
offend	ofendoj	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	STFU	anger	0.750
vulgarity	vulgaritet	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	i çmendur	anger	0.750
despise	përçmoj	anger	0.750
horror	tmerr	anger	0.750
aggravating	rëndues	anger	0.750
revolting	i padurueshëm	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	kërcënim	anger	0.742
erupt	shpërthej	anger	0.742
screaming	ulëritës	anger	0.742
violence	dhunë	anger	0.742
horrible	i tmerrshëm	anger	0.742
molestation	ngacmim	anger	0.742
bastards	bastards	anger	0.741
revenge	hakmarrje	anger	0.738
catastrophe	katastrofë	anger	0.735
menacing	menacing	anger	0.735
demon	demon	anger	0.735
crushing	shkatërrimtar	anger	0.735
damn	mallkim	anger	0.735
persecute	ndjek	anger	0.734
argue	argumentoj	anger	0.734
flog	shes	anger	0.734
revolt	revoltë	anger	0.734
thrash	rrah	anger	0.734
deplore	qaj	anger	0.734
warfare	betejë	anger	0.734
fedup	fedup	anger	0.734
vehement	i fortë	anger	0.734
riotous	i tërbuar	anger	0.734
altercation	grindje	anger	0.729
warlike	luftarak	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	kryengritje	anger	0.727
castrate	tredh	anger	0.727
sabotage	sabotim	anger	0.727
malevolent	keqdashës	anger	0.721
strike	grevë	anger	0.721
disaster	fatkeqësi	anger	0.721
disastrous	shkatërrimtar	anger	0.720
tumult	zhurmë	anger	0.719
madden	çmendem	anger	0.719
devil	djall	anger	0.719
scream	piskat	anger	0.719
brutal	brutal	anger	0.719
treachery	tradhti	anger	0.719
scorching	vend e djegur	anger	0.719
vermin	parazitë	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	përkeqëson	anger	0.719
spiteful	i lig	anger	0.719
slay	vras	anger	0.719
disdain	përbuzje	anger	0.719
choke	asfiksim	anger	0.719
bastarding	bastarding	anger	0.719
mangle	sakatoj	anger	0.714
anarchism	anarkizëm	anger	0.714
mutilation	gjymtim	anger	0.714
criminal	penal	anger	0.714
denunciation	dënim	anger	0.713
punch	grusht	anger	0.713
crucifixion	kryqëzim	anger	0.712
virulence	virulencë	anger	0.712
battled	luftuan	anger	0.712
fatal	fatal	anger	0.712
holocaust	theror	anger	0.712
blasphemous	blasfemues	anger	0.712
hurting	dëmton	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	i çmendur	anger	0.706
atrocious	mizor	anger	0.706
evil	e keqe	anger	0.706
irritated	inatosur	anger	0.706
assassin	vrasës	anger	0.703
dicks	dicks	anger	0.703
persecution	persekutim	anger	0.703
slayer	vrasës	anger	0.703
kidnap	rrëmbej me dhunë	anger	0.703
scolding	sharje	anger	0.703
intimidation	frikësim	anger	0.703
aggravated	acaruar	anger	0.703
aggression	sulm	anger	0.702
armed	i armatosur	anger	0.700
poison	helm	anger	0.697
snarling	duke zgjatur	anger	0.697
venom	helm	anger	0.697
battle	betejë	anger	0.697
disgruntled	i pakënaqur	anger	0.693
insidious	i fshehtë	anger	0.691
assailant	sulmues	anger	0.691
resentment	fyerje	anger	0.691
lynch	vras	anger	0.690
contemptuous	përbuzës	anger	0.690
temper	kalit	anger	0.688
imprisonment	burgim	anger	0.688
disparage	ul	anger	0.688
bully	detyroj	anger	0.688
terrible	i tmerrshëm	anger	0.688
lunatic	i çmendur	anger	0.688
curse	mallkim	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	i acaruar	anger	0.688
domination	sundim	anger	0.688
mad	i çmendur	anger	0.688
infanticide	vrasja e fëmijëve	anger	0.688
volatility	paqëndrueshmëri	anger	0.687
eradication	çrrënjosje	anger	0.685
tantrum	zemërim i çastit	anger	0.682
devastate	shkretoj	anger	0.682
eradicate	çrrënjos	anger	0.682
scoundrel	faqezi	anger	0.682
aggressively	agresive	anger	0.680
agitation	agjitacion	anger	0.680
dictatorship	diktaturë	anger	0.676
irritates	irriton	anger	0.676
profanity	blasfemi	anger	0.673
egregious	skandaloz	anger	0.672
expletive	pasthirrmë	anger	0.672
nasty	i keq	anger	0.672
shove	fus	anger	0.672
shot	e shtënë	anger	0.672
harmful	i dëmshëm	anger	0.672
aggravation	keqësim	anger	0.672
contempt	mospërfillje	anger	0.672
poisonous	helmues	anger	0.672
dastardly	i poshtër	anger	0.672
shoot	gjuaj	anger	0.672
corrupting	korruptimit	anger	0.672
condemnation	dënim	anger	0.672
wreak	bëj	anger	0.672
crushed	i grimcuar	anger	0.672
cruelly	me egërsi	anger	0.672
crime	krim	anger	0.672
maniac	maniak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	shpërthim	anger	0.667
odious	i neveritshëm	anger	0.667
shooting	qitje	anger	0.667
kick	shkelm	anger	0.667
aggressive	agresive	anger	0.667
combat	betejë	anger	0.667
shout	britmë	anger	0.667
hit	godit	anger	0.667
fight	përleshje	anger	0.667
cutthroat	i pamëshirshëm	anger	0.667
enemy	armik	anger	0.667
irritable	nervoz	anger	0.667
punished	dënohet	anger	0.662
ambush	pritë	anger	0.661
yell	bërtas	anger	0.661
harass	bie në qafë	anger	0.659
malignant	i keq	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antikrishti	anger	0.656
gore	gjak i dredhur	anger	0.656
incense	temjan	anger	0.656
expel	përjashtoj	anger	0.656
destruction	shkatërrim	anger	0.656
grudge	mëri	anger	0.656
cranky	i çuditshëm	anger	0.653
offended	ofenduar	anger	0.652
spank	shpulakë	anger	0.652
growl	ankohem	anger	0.652
insurrection	kryengritje	anger	0.652
reprisal	masë ndëshkimore	anger	0.652
slave	rob	anger	0.652
denounce	denoncojë	anger	0.652
animosity	armiqësi	anger	0.652
insulting	fyes	anger	0.652
clashing	përleshje	anger	0.652
growls	growls	anger	0.649
executioner	xhelat	anger	0.644
twat	pidhi	anger	0.644
doomsday	fundi i botës	anger	0.643
daemon	demon	anger	0.641
obscenity	gjë e turpshme	anger	0.641
bombard	bombardoj	anger	0.641
spat	zënkë	anger	0.641
havoc	kërdi	anger	0.641
feud	armiqësi	anger	0.641
grr	grr	anger	0.641
arson	zjarrvënie e qëllimshme	anger	0.641
reprimand	qortim	anger	0.641
expulsion	dëbim	anger	0.641
inexcusable	i pafalshëm	anger	0.641
accused	i akuzuar	anger	0.641
indignant	i zemëruar	anger	0.641
shackle	pranga	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	plagë	anger	0.636
suicidal	vetëvrasjeje	anger	0.636
poisoned	i helmuar	anger	0.636
batter	qëlloj	anger	0.636
kicking	kicking	anger	0.636
hanging	në lartësi	anger	0.636
spanking	i fuqishëm	anger	0.636
disgusting	i pështirë	anger	0.636
combatant	luftëtar	anger	0.636
frustrated	i irrituar	anger	0.636
anarchy	anarki	anger	0.636
glaring	i shndritshëm	anger	0.636
inflict	shkaktoj	anger	0.633
wrecked	i mbytur	anger	0.633
grievous	i rëndë	anger	0.632
prosecute	ndjek penalisht	anger	0.630
agitated	i shqetësuar	anger	0.630
cheat	gënjej	anger	0.630
swastika	kryç i thyer	anger	0.627
defamatory	shpifës	anger	0.625
suffocation	asfiksi	anger	0.625
strife	grindje	anger	0.625
provocation	provokim	anger	0.625
injure	vras	anger	0.625
harassing	i lodhët	anger	0.625
scourge	kamzhik	anger	0.625
cursing	mallkimi	anger	0.625
betray	shes	anger	0.625
indict	padit	anger	0.625
raid	bastisje	anger	0.625
thundering	gjëmues	anger	0.625
enslaved	i skllavëruar	anger	0.625
arsehole	arsehole	anger	0.624
insane	i çmendur	anger	0.621
fiend	dreq	anger	0.621
irritate	pezmatoj	anger	0.621
convict	i dënuar	anger	0.621
jerk	hov	anger	0.621
theft	vjedhje	anger	0.621
retaliation	shpagim	anger	0.621
deprivation	heqje	anger	0.621
cussed	i mallkuar	anger	0.619
turmoil	trazire	anger	0.618
smack	mu	anger	0.615
retribution	ndëshkim	anger	0.614
twats	twats	anger	0.609
intolerable	patolerueshme	anger	0.609
rebellion	rebelim	anger	0.609
injurious	dëmtues	anger	0.609
oppressor	shtypës	anger	0.609
slavery	skllavëri	anger	0.609
irritability	nervozizëm	anger	0.609
collision	përplasje	anger	0.609
bitterly	hidhur	anger	0.609
gang	bandë	anger	0.609
antagonism	antagonizëm	anger	0.609
battery	bateri	anger	0.609
adverse	i pafavorshëm	anger	0.609
disgraced	poshtëruar	anger	0.608
irritating	i nevrikosshëm	anger	0.606
revolution	revolucion	anger	0.606
thug	bandit	anger	0.606
diatribe	fjalim i ashpër	anger	0.606
bombardment	bombardim	anger	0.606
blast	shpërthim	anger	0.606
irks	irks	anger	0.606
sickening	i pështirë	anger	0.606
discrimination	diskriminim	anger	0.606
antagonistic	antagonist	anger	0.606
ranting	ranting	anger	0.606
asshole	trap	anger	0.606
frustrate	pengoj	anger	0.604
manipulation	manipulim	anger	0.603
tension	tension	anger	0.603
insult	fyerje	anger	0.603
bigot	fanatik	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	lëndojnë	anger	0.603
oppression	shtypje	anger	0.603
disgust	neveri	anger	0.602
spite	mëri	anger	0.600
intrusive	i bezdisshëm	anger	0.598
harshness	ashpërsi	anger	0.597
slur	shpifje	anger	0.596
wretch	qerrata	anger	0.594
inferno	ferr	anger	0.594
invasion	pushtim	anger	0.594
puncture	birë	anger	0.594
miserable	i mjerë	anger	0.594
assail	sulmoj	anger	0.594
storming	storming	anger	0.594
casualty	fatkeqësi	anger	0.594
bitterness	zemërim	anger	0.594
morbidity	sëmundshmëri	anger	0.594
tempest	stuhi	anger	0.594
consternation	tmerr	anger	0.592
depraved	i prishur	anger	0.591
raving	përçart	anger	0.591
guillotine	gijotinë	anger	0.591
guilty	fajtor	anger	0.591
immoral	imoral	anger	0.591
forcibly	me forcë	anger	0.591
overpowering	i shfrenuar	anger	0.591
accursed	i mallkuar	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	kokëfortë	anger	0.588
invader	pushtues	anger	0.588
scare	tremb	anger	0.588
screwed	screwed	anger	0.588
indignation	indinjatë	anger	0.587
jealousy	xhelozi	anger	0.587
vexed	i shqetësuar	anger	0.586
confront	përballet	anger	0.582
brute	shtazë	anger	0.581
throttle	mbyt	anger	0.579
wreck	thyej	anger	0.578
revolver	revolver	anger	0.578
slut	zuskë	anger	0.578
yousuck	ti ta shpif	anger	0.578
damage	dëm	anger	0.578
butcher	kasap	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitet	anger	0.578
bickering	grindje	anger	0.578
pillage	grabitje	anger	0.578
blaze	flakë	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	goditje e befasishme	anger	0.578
contentious	grindavec	anger	0.578
incarceration	burgosje	anger	0.578
defiant	sfidues	anger	0.578
provoking	provokuar	anger	0.578
lash	valëvit	anger	0.578
cancer	kancer	anger	0.577
frustration	zhgënjim	anger	0.576
gory	i gjakosur	anger	0.576
alienation	tjetërsim	anger	0.576
discord	mosmarrëveshje	anger	0.576
disturbance	shqetësim	anger	0.576
grope	kërkoj me duar	anger	0.576
condescension	përfillje	anger	0.576
pernicious	i dëmshëm	anger	0.576
blasphemy	blasfemi	anger	0.576
discriminate	diskriminoj	anger	0.576
chaotic	kaotik	anger	0.576
gun	armë	anger	0.576
standoff	ngecje	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	tallje	anger	0.574
lunacy	çmenduri	anger	0.574
oppressive	shtypës	anger	0.574
death	vdekje	anger	0.574
jab	goditje	anger	0.574
cursed	i mallkuar	anger	0.574
scandalous	skandaloz	anger	0.574
monstrosity	gjë e shëmtuar	anger	0.574
shit	mut	anger	0.573
disparaging	i pagjind	anger	0.571
slash	çaj	anger	0.571
unfair	e padrejte	anger	0.571
gallows	varje	anger	0.570
escalate	shkallëzohet	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	shkelje ligjesh	anger	0.563
bluddy	bluddy	anger	0.562
perdition	vdekje e përjetshme	anger	0.562
taunt	thumb	anger	0.562
grouchy	i pakënaqur	anger	0.562
torpedo	silur	anger	0.562
deceived	i mashtruar	anger	0.562
slander	shpifje	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	pushtoj	anger	0.562
bellows	shakull	anger	0.562
beast	kafshë	anger	0.562
frightful	i frikshëm	anger	0.562
derogatory	poshtërues	anger	0.562
glare	llamburit	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	i frikshëm	anger	0.562
traitor	tradhtar	anger	0.562
malign	i keq	anger	0.562
wrangling	zënie	anger	0.562
dissension	përçarje	anger	0.561
banshee	Banshee	anger	0.561
shatter	thyej	anger	0.561
conflagration	zjarr i madh	anger	0.561
jeopardize	rrezikoj	anger	0.561
thief	hajdut	anger	0.561
rave	furi	anger	0.561
grating	i bezdisshëm	anger	0.561
devastating	shkatërrues	anger	0.561
idiots	Idiots	anger	0.561
betrayal	tradhti	anger	0.561
uncontrollable	i papërmbajtur	anger	0.561
fits	fits	anger	0.561
cross	kryq	anger	0.561
hurt	i lënduar	anger	0.561
disturbed	i shqetësuar	anger	0.559
subjugation	nënshtrim	anger	0.559
stomped	shkeli	anger	0.557
grab	kap	anger	0.557
ticked	ticked	anger	0.556
masochism	mazoshizëm	anger	0.556
grievance	ankesë	anger	0.556
defiance	sjellje provokuese	anger	0.552
blackmail	shantazh	anger	0.550
offensive	ofensivë	anger	0.549
decry	përul	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	shkelje	anger	0.547
punishment	dënim	anger	0.547
shrill	i mprehtë	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ana e erret	anger	0.547
misery	mjerim	anger	0.547
frustrates	frustron	anger	0.547
disgraceful	i turpshëm	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	imponues	anger	0.547
disparity	pabarazi	anger	0.547
confine	kufizoj	anger	0.547
firearms	armëve të zjarrit	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurd	anger	0.547
rebel	rebel	anger	0.547
deceive	mashtrojnë	anger	0.547
stolen	i vjedhur	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	i nxehtë	anger	0.545
ruined	i shkatërruar	anger	0.545
menace	kërcënim	anger	0.545
humiliate	poshtëroj	anger	0.545
tackle	trajtuar	anger	0.545
conspirator	komplotist	anger	0.545
foul	faull	anger	0.545
antagonist	antagonist	anger	0.545
resentful	i prekur	anger	0.545
prejudice	paragjykim	anger	0.545
adversary	kundërshtar	anger	0.545
argument	argument	anger	0.545
skirmish	luftim	anger	0.545
callous	i pashpirt	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	i ngatërruar	anger	0.544
robbery	grabitje	anger	0.544
sting	djeg	anger	0.544
outcry	protestë	anger	0.544
grumble	shfryrje	anger	0.544
irreconcilable	i papajtueshëm	anger	0.543
resistance	rezistencë	anger	0.543
obstructive	pengues	anger	0.542
dismay	lebetit	anger	0.540
mob	turmë	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ligësi	anger	0.536
ridicule	tallje	anger	0.534
incendiary	zjarrvënës	anger	0.533
flares	fishekzjarre	anger	0.532
degeneracy	degjenerim	anger	0.531
confinement	burgosje	anger	0.531
exacerbation	rëndim	anger	0.531
prejudicial	i dëmshëm	anger	0.531
uprising	kryengritje	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	i pamatur	anger	0.531
unbridled	i shfrenuar	anger	0.531
allegation	deklaratë	anger	0.531
communism	komunizmi	anger	0.531
whip	rrëmbej	anger	0.531
intruder	njeri i bezdisshëm	anger	0.531
dispute	diskutim	anger	0.531
belittle	nënvleftësoj	anger	0.531
bigoted	fanatik	anger	0.530
offender	shkelës	anger	0.530
hassle	sherr	anger	0.530
dissonance	mosmarrëveshje	anger	0.530
unjust	i padrejtë	anger	0.530
dictatorial	diktatorial	anger	0.530
unjustifiable	i papërligjshëm	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	shtrembërim	anger	0.530
tackled	trajtoi	anger	0.530
renegade	renegat	anger	0.529
hot	nxehtë	anger	0.529
prison	burg	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	shkelje	anger	0.529
suicide	vetëvrasje	anger	0.521
annoy	mërzit	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiot	anger	0.516
distrust	mosbesim	anger	0.516
depravity	shthurje	anger	0.516
cretins	cretins	anger	0.516
divorce	divorc	anger	0.516
broil	përvëlohem	anger	0.516
grrr	Grrr	anger	0.516
venting	venting	anger	0.516
inimical	armiqësor	anger	0.516
duress	detyrim	anger	0.516
disrespectful	i pasjellshëm	anger	0.516
tortious	tortious	anger	0.516
criticize	kritikoj	anger	0.516
prisoner	i burgosur	anger	0.516
dishonest	i pandershëm	anger	0.516
treason	tradhti	anger	0.516
victimized	viktimizuar	anger	0.515
bile	biliare	anger	0.515
unkind	i rreptë	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	lëshoj	anger	0.515
coercion	shtrëngim	anger	0.515
scold	shaj	anger	0.515
chaos	kaos	anger	0.515
grump	grump	anger	0.515
roar	gjëmim	anger	0.515
jerks	jerks	anger	0.515
poaching	gjueti pa leje	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	kontrabandues	anger	0.515
argumentation	argumentim	anger	0.515
frustrating	frustruese	anger	0.515
tussle	përleshje	anger	0.514
bane	fatkeqësi	anger	0.511
accusation	akuzë	anger	0.510
repudiation	hedhje poshtë	anger	0.510
enmity	armiqësi	anger	0.510
banish	largoj nga mendja	anger	0.509
disfigured	i shëmtuar	anger	0.508
storm	stuhi	anger	0.507
shun	gatitu	anger	0.500
suppression	shuarje	anger	0.500
unruly	i padisiplinuar	anger	0.500
intractable	i vështirë	anger	0.500
ordeal	përvojë e hidhur	anger	0.500
obstruct	pengoj	anger	0.500
derogation	heqje	anger	0.500
fervor	entuziazëm	anger	0.500
foaming	shkumës	anger	0.500
derision	përqeshje	anger	0.500
animus	shpirt	anger	0.500
rejects	refuzon	anger	0.500
bout	periudhë	anger	0.500
spear	shtizë	anger	0.500
crazy	i çmendur	anger	0.500
brazen	i pacipë	anger	0.500
antithesis	antitezë	anger	0.500
injustice	padrejtësi	anger	0.500
banished	dëbuar	anger	0.500
confined	i mbyllur	anger	0.500
frenzied	i tërbuar	anger	0.500
dominate	dominojnë	anger	0.500
disrupting	ndërprerë	anger	0.500
hammering	goditje me çekan	anger	0.500
fear	frikë	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ankth	anger	0.500
brunt	peshë kryesore	anger	0.500
possessed	zotëronte	anger	0.500
defy	nuk e përfill	anger	0.500
scoff	përqeshje	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	neglizhencë	anger	0.500
reject	hedh poshtë	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	rezistencë	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	çmenduri	anger	0.491
sinful	mëkatar	anger	0.491
avarice	dorështrëngim	anger	0.490
oppress	shtyp	anger	0.490
disapproved	miratoi	anger	0.485
inhuman	çnjerëzor	anger	0.485
demand	kërkesë	anger	0.485
abolish	shfuqizoj	anger	0.485
anathema	mallkim	anger	0.485
fricking	fricking	anger	0.485
complaint	ankim	anger	0.485
disservice	dëmtim	anger	0.485
smuggler	kontrabandist	anger	0.485
revoke	anuloj	anger	0.485
infraction	shkelje	anger	0.485
claw	thua	anger	0.485
dissident	disident	anger	0.485
pervert	njeri i prishur	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	i pabindur	anger	0.485
usurp	uzurpoj	anger	0.485
alienate	armiqësoj	anger	0.485
avenger	hakmarrës	anger	0.485
annoyed	i mërzitur	anger	0.485
cutting	prerje	anger	0.485
disgrace	turp	anger	0.484
deceit	mashtrim	anger	0.484
suspicious	i dyshimtë	anger	0.484
thresh	shij	anger	0.484
sucker	pinjoll	anger	0.484
strained	i tensionuar	anger	0.484
blame	faj	anger	0.484
upheaval	përmbysje	anger	0.484
renounce	heq dorë nga	anger	0.484
obnoxious	i padurueshëm	anger	0.484
restrain	frenojnë	anger	0.484
oust	përzë	anger	0.484
litigious	i diskutueshëm	anger	0.484
rivalry	rivalitet	anger	0.484
penalty	dënim	anger	0.484
imprisoned	i burgosur	anger	0.484
mocking	tallës	anger	0.484
opposed	kundërshtoi	anger	0.484
turbulence	turbullirë	anger	0.483
pound	paund	anger	0.481
coldness	ftohtësi	anger	0.477
ungrateful	i pakëndshëm	anger	0.472
battalion	batalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	Peng	anger	0.470
infidel	i pafe	anger	0.470
ram	ram	anger	0.470
accuser	paditës	anger	0.470
gall	vrer	anger	0.470
subversion	përmbysje	anger	0.470
annoying	i bezdisshëm	anger	0.470
adversity	fatkeqësi	anger	0.470
dispossessed	dëbuar	anger	0.470
friction	fërkim	anger	0.470
