word	Galician-gl	emotion	emotion-intensity-score
obliterate	borrar	anger	0.843
belligerent	belixerante	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detestar	anger	0.838
hostilities	hostilidades	anger	0.837
prick	picar	anger	0.835
torture	tortura	anger	0.833
rabid	rabioso	anger	0.833
horrid	horrible	anger	0.833
rampage	rebeldía	anger	0.833
cruelty	crueldade	anger	0.833
hate	odio	anger	0.828
demonic	demoníaco	anger	0.828
hating	odiando	anger	0.828
satanic	satánico	anger	0.828
tyrannical	tiránico	anger	0.828
ragemode	ragemode	anger	0.828
despicable	despreciable	anger	0.828
ruinous	ruinoso	anger	0.825
condemn	condenar	anger	0.825
riots	disturbios	anger	0.824
demolish	demoler	anger	0.824
angry	enojado	anger	0.824
extermination	exterminio	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	tolo	anger	0.820
vindictive	vengativo	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocidade	anger	0.818
venomous	veneno	anger	0.818
threaten	ameazan	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorista	anger	0.818
abhor	abhor	anger	0.816
savage	salvaxe	anger	0.814
atrocity	atrocidade	anger	0.814
carnage	carnicería	anger	0.814
berserk	irritado	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuso	anger	0.812
tyrant	tirano	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	Enoxado	anger	0.812
vendetta	vendetta	anger	0.812
fierce	feroz	anger	0.812
destroyer	destructor	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumando	anger	0.812
barbaric	bárbaro	anger	0.812
anger	rabia	anger	0.811
pieceofshit	peza de peza	anger	0.810
slam	golpe	anger	0.803
fights	loitas	anger	0.803
punched	perforado	anger	0.803
bitch	puta	anger	0.803
punching	perforación	anger	0.803
homicide	homicidio	anger	0.803
destructive	destrutivo	anger	0.797
ruthless	desapiadado	anger	0.797
villainous	villano	anger	0.797
slap	bofetada	anger	0.791
slaughterhouse	matadoiro	anger	0.788
punishing	castigar	anger	0.788
destroyed	destruído	anger	0.788
retaliatory	represalias	anger	0.788
riot	motín	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	gritando	anger	0.788
growthefuckup	crecer	anger	0.788
diabolical	diabólico	anger	0.788
manslaughter	homicidio	anger	0.783
clash	choque	anger	0.783
bloody	sanguento	anger	0.781
hellish	infernal	anger	0.781
loath	odio	anger	0.781
detonation	detonación	anger	0.781
quarrel	pelexa	anger	0.781
sinister	siniestro	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	acusando	anger	0.779
treacherous	traizoeiro	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	represaliar	anger	0.773
revulsion	revulsión	anger	0.773
madder	madder	anger	0.773
horrific	horrible	anger	0.773
scorn	desprezo	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarquista	anger	0.765
devastation	devastación	anger	0.765
resent	resentirse	anger	0.765
firestorm	tormenta de lume	anger	0.765
contemptible	despreciable	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortal	anger	0.758
smash	esmagar	anger	0.758
rant	rant	anger	0.758
outburst	explosión	anger	0.757
snarl	nariz	anger	0.754
profane	profano	anger	0.750
offend	ofender	anger	0.750
douchebags	douchebags	anger	0.750
growling	gruñendo	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaridade	anger	0.750
dontmesswithme	non me interesa	anger	0.750
crazed	enojado	anger	0.750
despise	desprezar	anger	0.750
horror	horror	anger	0.750
aggravating	agravante	anger	0.750
revolting	revoltando	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ameaza	anger	0.742
erupt	erupción	anger	0.742
screaming	gritando	anger	0.742
violence	violencia	anger	0.742
horrible	horrible	anger	0.742
molestation	molestation	anger	0.742
bastards	bastardos	anger	0.741
revenge	vinganza	anger	0.738
catastrophe	catástrofe	anger	0.735
menacing	amenazante	anger	0.735
demon	demo	anger	0.735
crushing	esmagamento	anger	0.735
damn	maldición	anger	0.735
persecute	perseguir	anger	0.734
argue	argumentan	anger	0.734
flog	flog	anger	0.734
revolt	revolta	anger	0.734
thrash	thrash	anger	0.734
deplore	deplorar	anger	0.734
warfare	guerra	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehemento	anger	0.734
riotous	riotosa	anger	0.734
altercation	altercado	anger	0.729
warlike	de guerra	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	motín	anger	0.727
castrate	castrar	anger	0.727
sabotage	sabotaxe	anger	0.727
malevolent	malévolo	anger	0.721
strike	folga	anger	0.721
disaster	desastre	anger	0.721
disastrous	desastroso	anger	0.720
tumult	tumulto	anger	0.719
madden	enojado	anger	0.719
devil	diaño	anger	0.719
scream	gritar	anger	0.719
brutal	brutal	anger	0.719
treachery	traizón	anger	0.719
scorching	escaldante	anger	0.719
vermin	verme	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	cabalo	anger	0.719
aggravates	agrava	anger	0.719
spiteful	rencoroso	anger	0.719
slay	matar	anger	0.719
disdain	desdén	anger	0.719
choke	choke	anger	0.719
bastarding	Bastando	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarquismo	anger	0.714
mutilation	mutilación	anger	0.714
criminal	criminal	anger	0.714
denunciation	denuncia	anger	0.713
punch	golpe	anger	0.713
crucifixion	crucifixión	anger	0.712
virulence	virulencia	anger	0.712
battled	batallou	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocausto	anger	0.712
blasphemous	blasfemo	anger	0.712
hurting	ferindo	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atroz	anger	0.706
evil	mal	anger	0.706
irritated	irritado	anger	0.706
assassin	asasino	anger	0.703
dicks	dicks	anger	0.703
persecution	persecución	anger	0.703
slayer	asasino	anger	0.703
kidnap	secuestro	anger	0.703
scolding	reputación	anger	0.703
intimidation	intimidación	anger	0.703
aggravated	agravado	anger	0.703
aggression	agresión	anger	0.702
armed	armado	anger	0.700
poison	veneno	anger	0.697
snarling	ardiendo	anger	0.697
venom	veneno	anger	0.697
battle	batalla	anger	0.697
disgruntled	descontento	anger	0.693
insidious	insidioso	anger	0.691
assailant	asaltante	anger	0.691
resentment	resentimento	anger	0.691
lynch	lynch	anger	0.690
contemptuous	despectivo	anger	0.690
temper	temperamento	anger	0.688
imprisonment	prisión	anger	0.688
disparage	disparage	anger	0.688
bully	bully	anger	0.688
terrible	terrible	anger	0.688
lunatic	lunático	anger	0.688
curse	maldición	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominación	anger	0.688
mad	tolo	anger	0.688
infanticide	infanticidio	anger	0.688
volatility	volatilidade	anger	0.687
eradication	erradicación	anger	0.685
tantrum	berrinche	anger	0.682
devastate	arrasar	anger	0.682
eradicate	erradicar	anger	0.682
scoundrel	canalla	anger	0.682
aggressively	agresivamente	anger	0.680
agitation	axitación	anger	0.680
dictatorship	ditadura	anger	0.676
irritates	irrita	anger	0.676
profanity	profanidade	anger	0.673
egregious	agresivo	anger	0.672
expletive	expletivo	anger	0.672
nasty	desagradable	anger	0.672
shove	empurrar	anger	0.672
shot	tiro	anger	0.672
harmful	nocivo	anger	0.672
aggravation	agravamento	anger	0.672
contempt	desprezo	anger	0.672
poisonous	venenoso	anger	0.672
dastardly	dastardly	anger	0.672
shoot	disparar	anger	0.672
corrupting	corromper	anger	0.672
condemnation	condena	anger	0.672
wreak	wreak	anger	0.672
crushed	esmagado	anger	0.672
cruelly	cruelmente	anger	0.672
crime	delito	anger	0.672
maniac	maníaco	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupción	anger	0.667
odious	odioso	anger	0.667
shooting	tiro	anger	0.667
kick	patada	anger	0.667
aggressive	agresivo	anger	0.667
combat	combate	anger	0.667
shout	gritar	anger	0.667
hit	golpear	anger	0.667
fight	loita	anger	0.667
cutthroat	cortadura	anger	0.667
enemy	inimigo	anger	0.667
irritable	irritable	anger	0.667
punished	castigado	anger	0.662
ambush	emboscada	anger	0.661
yell	gritar	anger	0.661
harass	hostigar	anger	0.659
malignant	maligno	anger	0.656
aggressor	agresor	anger	0.656
antichrist	anticristo	anger	0.656
gore	gore	anger	0.656
incense	incienso	anger	0.656
expel	expulsar	anger	0.656
destruction	destrución	anger	0.656
grudge	rencor	anger	0.656
cranky	irritante	anger	0.653
offended	ofendido	anger	0.652
spank	spank	anger	0.652
growl	gruñir	anger	0.652
insurrection	insurrección	anger	0.652
reprisal	represalia	anger	0.652
slave	escravo	anger	0.652
denounce	denunciar	anger	0.652
animosity	animosidade	anger	0.652
insulting	insultante	anger	0.652
clashing	choque	anger	0.652
growls	brilla	anger	0.649
executioner	verdugo	anger	0.644
twat	twat	anger	0.644
doomsday	día do xuízo final	anger	0.643
daemon	demonio	anger	0.641
obscenity	obscenidade	anger	0.641
bombard	bombard	anger	0.641
spat	espada	anger	0.641
havoc	estragos	anger	0.641
feud	feudo	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	reprimenda	anger	0.641
expulsion	expulsión	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	acusado	anger	0.641
indignant	indignado	anger	0.641
shackle	grillete	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ferida	anger	0.636
suicidal	suicida	anger	0.636
poisoned	envenenado	anger	0.636
batter	pasta	anger	0.636
kicking	pateando	anger	0.636
hanging	colgado	anger	0.636
spanking	nalgadas	anger	0.636
disgusting	asqueroso	anger	0.636
combatant	combatente	anger	0.636
frustrated	frustrado	anger	0.636
anarchy	anarquía	anger	0.636
glaring	brillo	anger	0.636
inflict	infligir	anger	0.633
wrecked	destruído	anger	0.633
grievous	graves	anger	0.632
prosecute	procesar	anger	0.630
agitated	agitado	anger	0.630
cheat	enganar	anger	0.630
swastika	esvástica	anger	0.627
defamatory	difamatorio	anger	0.625
suffocation	asfixia	anger	0.625
strife	pelexa	anger	0.625
provocation	provocación	anger	0.625
injure	ferir	anger	0.625
harassing	hostigando	anger	0.625
scourge	flaxelo	anger	0.625
cursing	maldecir	anger	0.625
betray	traizoar	anger	0.625
indict	acusación	anger	0.625
raid	incursión	anger	0.625
thundering	trono	anger	0.625
enslaved	esclavizados	anger	0.625
arsehole	arsehole	anger	0.624
insane	insano	anger	0.621
fiend	fiend	anger	0.621
irritate	irritar	anger	0.621
convict	convicto	anger	0.621
jerk	parvo	anger	0.621
theft	roubo	anger	0.621
retaliation	represalias	anger	0.621
deprivation	privación	anger	0.621
cussed	cussed	anger	0.619
turmoil	turbulencia	anger	0.618
smack	golpear	anger	0.615
retribution	retribución	anger	0.614
twats	twats	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	rebelión	anger	0.609
injurious	dañosa	anger	0.609
oppressor	opresor	anger	0.609
slavery	escravitude	anger	0.609
irritability	irritabilidade	anger	0.609
collision	colisión	anger	0.609
bitterly	amargamente	anger	0.609
gang	banda	anger	0.609
antagonism	antagonismo	anger	0.609
battery	batería	anger	0.609
adverse	adverso	anger	0.609
disgraced	desgraciado	anger	0.608
irritating	irritante	anger	0.606
revolution	revolución	anger	0.606
thug	matón	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardeo	anger	0.606
blast	explosión	anger	0.606
irks	irks	anger	0.606
sickening	enfermo	anger	0.606
discrimination	discriminación	anger	0.606
antagonistic	antagónico	anger	0.606
ranting	ranting	anger	0.606
asshole	gilipollas	anger	0.606
frustrate	frustrar	anger	0.604
manipulation	manipulación	anger	0.603
tension	tensión	anger	0.603
insult	insulto	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ferido	anger	0.603
oppression	opresión	anger	0.603
disgust	disgusto	anger	0.602
spite	a pesar	anger	0.600
intrusive	intrusivo	anger	0.598
harshness	dureza	anger	0.597
slur	rebelde	anger	0.596
wretch	desgraciado	anger	0.594
inferno	inferno	anger	0.594
invasion	invasión	anger	0.594
puncture	perforación	anger	0.594
miserable	miserable	anger	0.594
assail	asaltar	anger	0.594
storming	asalto	anger	0.594
casualty	baixa	anger	0.594
bitterness	amargura	anger	0.594
morbidity	morbilidad	anger	0.594
tempest	tempestade	anger	0.594
consternation	consternación	anger	0.592
depraved	depravado	anger	0.591
raving	raving	anger	0.591
guillotine	guillotina	anger	0.591
guilty	culpable	anger	0.591
immoral	inmoral	anger	0.591
forcibly	forza	anger	0.591
overpowering	atropelado	anger	0.591
accursed	maldito	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrante	anger	0.588
invader	invasor	anger	0.588
scare	asustar	anger	0.588
screwed	atornillado	anger	0.588
indignation	indignación	anger	0.587
jealousy	celos	anger	0.587
vexed	vexed	anger	0.586
confront	confrontar	anger	0.582
brute	bruto	anger	0.581
throttle	acelerador	anger	0.579
wreck	naufraxio	anger	0.578
revolver	revólver	anger	0.578
slut	puta	anger	0.578
yousuck	yousuck	anger	0.578
damage	danos	anger	0.578
butcher	carniceiro	anger	0.578
conflict	conflito	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalidade	anger	0.578
bickering	discutindo	anger	0.578
pillage	pillaje	anger	0.578
blaze	incendio	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	golpe	anger	0.578
contentious	controvertido	anger	0.578
incarceration	encarceramento	anger	0.578
defiant	desafiante	anger	0.578
provoking	provocando	anger	0.578
lash	pestanas	anger	0.578
cancer	cancro	anger	0.577
frustration	frustración	anger	0.576
gory	gory	anger	0.576
alienation	alienación	anger	0.576
discord	discordia	anger	0.576
disturbance	perturbación	anger	0.576
grope	grope	anger	0.576
condescension	condescensión	anger	0.576
pernicious	pernicioso	anger	0.576
blasphemy	blasfemia	anger	0.576
discriminate	discriminar	anger	0.576
chaotic	caótico	anger	0.576
gun	arma	anger	0.576
standoff	estancamento	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	escoitar	anger	0.574
lunacy	asfixia	anger	0.574
oppressive	opresivo	anger	0.574
death	morte	anger	0.574
jab	jab	anger	0.574
cursed	maldito	anger	0.574
scandalous	escandalosa	anger	0.574
monstrosity	monstruosidade	anger	0.574
shit	merda	anger	0.573
disparaging	despectivo	anger	0.571
slash	cortar	anger	0.571
unfair	inxusto	anger	0.571
gallows	forca	anger	0.570
escalate	escalar	anger	0.569
intolerant	intolerante	anger	0.564
lawlessness	ilegalidade	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdición	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	enganado	anger	0.562
slander	calumnias	anger	0.562
retards	demora	anger	0.562
bearish	baixista	anger	0.562
invade	invadir	anger	0.562
bellows	fuelle	anger	0.562
beast	besta	anger	0.562
frightful	espantoso	anger	0.562
derogatory	despectivo	anger	0.562
glare	brillo	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	terrible	anger	0.562
traitor	traidor	anger	0.562
malign	maligno	anger	0.562
wrangling	arrancando	anger	0.562
dissension	disensión	anger	0.561
banshee	banshee	anger	0.561
shatter	romper	anger	0.561
conflagration	conflagración	anger	0.561
jeopardize	comprometido	anger	0.561
thief	ladroa	anger	0.561
rave	rave	anger	0.561
grating	reixa	anger	0.561
devastating	devastador	anger	0.561
idiots	idiotas	anger	0.561
betrayal	traizón	anger	0.561
uncontrollable	incontrolable	anger	0.561
fits	encaixa	anger	0.561
cross	cruz	anger	0.561
hurt	ferido	anger	0.561
disturbed	perturbado	anger	0.559
subjugation	subxugación	anger	0.559
stomped	pisoteando	anger	0.557
grab	agarrar	anger	0.557
ticked	marcado	anger	0.556
masochism	masoquismo	anger	0.556
grievance	queixa	anger	0.556
defiance	desafío	anger	0.552
blackmail	chantaxe	anger	0.550
offensive	ofensiva	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	violación	anger	0.547
punishment	castigo	anger	0.547
shrill	estridente	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	lado escuro	anger	0.547
misery	miseria	anger	0.547
frustrates	frustra	anger	0.547
disgraceful	desgraciado	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	aburrido	anger	0.547
disparity	disparidade	anger	0.547
confine	confinar	anger	0.547
firearms	armas de fogo	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurdo	anger	0.547
rebel	rebelde	anger	0.547
deceive	enganar	anger	0.547
stolen	roubado	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	Calefacción	anger	0.545
ruined	en ruínas	anger	0.545
menace	ameaza	anger	0.545
humiliate	humillar	anger	0.545
tackle	abordar	anger	0.545
conspirator	conspirador	anger	0.545
foul	falta	anger	0.545
antagonist	antagonista	anger	0.545
resentful	resentido	anger	0.545
prejudice	prejuicio	anger	0.545
adversary	adversario	anger	0.545
argument	argumento	anger	0.545
skirmish	escaramuza	anger	0.545
callous	calloso	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	Enredado	anger	0.544
robbery	roubo	anger	0.544
sting	picadura	anger	0.544
outcry	protesta	anger	0.544
grumble	chorar	anger	0.544
irreconcilable	irreconciliable	anger	0.543
resistance	resistencia	anger	0.543
obstructive	obstruente	anger	0.542
dismay	asustado	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	maldade	anger	0.536
ridicule	ridículo	anger	0.534
incendiary	incendiario	anger	0.533
flares	bengalas	anger	0.532
degeneracy	degeneración	anger	0.531
confinement	confinamento	anger	0.531
exacerbation	exacerbación	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	revolta	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	imprudente	anger	0.531
unbridled	desenfreada	anger	0.531
allegation	alegación	anger	0.531
communism	comunismo	anger	0.531
whip	látego	anger	0.531
intruder	intruso	anger	0.531
dispute	disputa	anger	0.531
belittle	pouco menstrual	anger	0.531
bigoted	fanático	anger	0.530
offender	infractor	anger	0.530
hassle	problemas	anger	0.530
dissonance	disonancia	anger	0.530
unjust	inxusto	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	injustificable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversión	anger	0.530
tackled	abordados	anger	0.530
renegade	renegado	anger	0.529
hot	quente	anger	0.529
prison	prisión	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	infracción	anger	0.529
suicide	suicidio	anger	0.521
annoy	molestar	anger	0.520
leavemealone	Déixame só	anger	0.517
idiotic	idiota	anger	0.516
distrust	desconfianza	anger	0.516
depravity	depravación	anger	0.516
cretins	cretins	anger	0.516
divorce	divorcio	anger	0.516
broil	asado	anger	0.516
grrr	grrr	anger	0.516
venting	ventilación	anger	0.516
inimical	inimical	anger	0.516
duress	durmir	anger	0.516
disrespectful	irrespetuoso	anger	0.516
tortious	tortuoso	anger	0.516
criticize	criticar	anger	0.516
prisoner	preso	anger	0.516
dishonest	deshonesto	anger	0.516
treason	traizón	anger	0.516
victimized	vítima	anger	0.515
bile	bilis	anger	0.515
unkind	indeciso	anger	0.515
unforgiving	implacable	anger	0.515
unleash	desencadear	anger	0.515
coercion	coerción	anger	0.515
scold	reprender	anger	0.515
chaos	caos	anger	0.515
grump	grump	anger	0.515
roar	rugir	anger	0.515
jerks	tiritas	anger	0.515
poaching	caza furtiva	anger	0.515
hangry	colmillo	anger	0.515
pow	pow	anger	0.515
poachers	cazadores furtivos	anger	0.515
argumentation	argumentación	anger	0.515
frustrating	frustrante	anger	0.515
tussle	axitación	anger	0.514
bane	bane	anger	0.511
accusation	acusación	anger	0.510
repudiation	repudio	anger	0.510
enmity	inimizade	anger	0.510
banish	desterrar	anger	0.509
disfigured	desfigurado	anger	0.508
storm	tormenta	anger	0.507
shun	escoitar	anger	0.500
suppression	supresión	anger	0.500
unruly	incondicional	anger	0.500
intractable	intratable	anger	0.500
ordeal	calvario	anger	0.500
obstruct	obstruír	anger	0.500
derogation	excepción	anger	0.500
fervor	fervor	anger	0.500
foaming	escuma	anger	0.500
derision	burla	anger	0.500
animus	animus	anger	0.500
rejects	rexeita	anger	0.500
bout	encontro	anger	0.500
spear	lanza	anger	0.500
crazy	tolo	anger	0.500
brazen	descarado	anger	0.500
antithesis	antítese	anger	0.500
injustice	inxustiza	anger	0.500
banished	desterrado	anger	0.500
confined	confinado	anger	0.500
frenzied	frenético	anger	0.500
dominate	dominar	anger	0.500
disrupting	interromper	anger	0.500
hammering	martelleiro	anger	0.500
fear	medo	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angustia	anger	0.500
brunt	pesado	anger	0.500
possessed	posuído	anger	0.500
defy	desafiar	anger	0.500
scoff	escoitar	anger	0.500
patronising	patronizante	anger	0.500
delusional	delirante	anger	0.500
malpractice	neglixencia	anger	0.500
reject	rexeitar	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	dureza	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	tolemia	anger	0.491
sinful	pecador	anger	0.491
avarice	avaricia	anger	0.490
oppress	oprimir	anger	0.490
disapproved	desaprobado	anger	0.485
inhuman	inhumanos	anger	0.485
demand	demanda	anger	0.485
abolish	abolir	anger	0.485
anathema	anatema	anger	0.485
fricking	fricking	anger	0.485
complaint	denuncia	anger	0.485
disservice	dobrar	anger	0.485
smuggler	contrabandista	anger	0.485
revoke	revogar	anger	0.485
infraction	infracción	anger	0.485
claw	garras	anger	0.485
dissident	disidente	anger	0.485
pervert	pervertido	anger	0.485
incest	incesto	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	desobediente	anger	0.485
usurp	usurp	anger	0.485
alienate	alienar	anger	0.485
avenger	vengador	anger	0.485
annoyed	molesto	anger	0.485
cutting	corte	anger	0.485
disgrace	desgraza	anger	0.484
deceit	engano	anger	0.484
suspicious	sospeitoso	anger	0.484
thresh	trilla	anger	0.484
sucker	saltador	anger	0.484
strained	tenso	anger	0.484
blame	culpa	anger	0.484
upheaval	trastorno	anger	0.484
renounce	renunciar	anger	0.484
obnoxious	desagradable	anger	0.484
restrain	restrinxir	anger	0.484
oust	expulsión	anger	0.484
litigious	litixioso	anger	0.484
rivalry	rivalidade	anger	0.484
penalty	pena	anger	0.484
imprisoned	en prisión	anger	0.484
mocking	burlarse	anger	0.484
opposed	oposto	anger	0.484
turbulence	turbulencia	anger	0.483
pound	Libra	anger	0.481
coldness	frio	anger	0.477
ungrateful	ingrato	anger	0.472
battalion	batallón	anger	0.471
stoopid	estoupido	anger	0.471
hostage	rehén	anger	0.470
infidel	infiel	anger	0.470
ram	RAM	anger	0.470
accuser	acusador	anger	0.470
gall	gall	anger	0.470
subversion	subversión	anger	0.470
annoying	molesto	anger	0.470
adversity	adversidade	anger	0.470
dispossessed	desposeído	anger	0.470
friction	fricción	anger	0.470
jealous	celoso	anger	0.470
feudalism	feudalismo	anger	0.470
armament	armamento	anger	0.470
thump	golpe	anger	0.469
complain	queixarse	anger	0.469
incite	incitar	anger	0.469
steal	roubar	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	desobedecer	anger	0.469
injury	lesión	anger	0.469
simmer	cocer a fuelo lento	anger	0.469
distress	angustia	anger	0.469
insanity	tolemia	anger	0.469
selfish	egoísta	anger	0.469
huff	huff	anger	0.469
selfishness	egoísmo	anger	0.469
backoff	Voltar	anger	0.469
plunder	saqueo	anger	0.469
stifled	asfixiado	anger	0.469
subversive	subversivo	anger	0.469
exile	exilio	anger	0.469
offense	delito	anger	0.469
objection	obxección	anger	0.469
recidivism	reincidencia	anger	0.469
smother	sofre	anger	0.469
perpetrator	autor	anger	0.469
dislike	non me gusta	anger	0.469
disruption	interrupción	anger	0.469
intolerance	intolerancia	anger	0.469
opposition	oposición	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	caneca	anger	0.467
agony	agonía	anger	0.465
arrogant	arrogante	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	vento	anger	0.456
elimination	eliminación	anger	0.456
picketing	piquetes	anger	0.456
haughty	altivo	anger	0.456
troublesome	molesto	anger	0.455
clamor	clamor	anger	0.455
busted	detido	anger	0.455
constraint	restrición	anger	0.455
crabby	crabby	anger	0.455
veto	veto	anger	0.455
stubbed	apiñado	anger	0.455
mislead	enganar	anger	0.455
illicit	ilícito	anger	0.455
dying	morrendo	anger	0.455
grated	rallado	anger	0.455
idiocy	idiotez	anger	0.455
illegality	ilegalidade	anger	0.455
flagrant	flagrante	anger	0.455
impermeable	impermeable	anger	0.455
bad	malo	anger	0.453
