word	Persian-fa	emotion	emotion-intensity-score
irate	خشمگین	anger	0.844
infuriate	عصبانیت	anger	0.844
obliterate	از بین بردن	anger	0.843
belligerent	جنگنده	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	نفرت	anger	0.838
hostilities	خصومت ها	anger	0.837
prick	ضرب و شتم	anger	0.835
torture	شکنجه	anger	0.833
rabid	مضطرب	anger	0.833
horrid	ترسناک	anger	0.833
rampage	لرزیدن	anger	0.833
cruelty	ظلم	anger	0.833
hate	نفرت	anger	0.828
demonic	شیطانی	anger	0.828
hating	متنفر بودن	anger	0.828
satanic	ساتنیک	anger	0.828
tyrannical	استبدادی	anger	0.828
ragemode	رمضونه	anger	0.828
despicable	نفرت انگیز	anger	0.828
ruinous	ویرانگر	anger	0.825
condemn	محکوم کردن	anger	0.825
riots	شورش	anger	0.824
demolish	تخریب	anger	0.824
angry	خشمگین	anger	0.824
extermination	نابودی	anger	0.824
dickhead	dickhead	anger	0.824
livid	زنده	anger	0.821
madman	دیوانه	anger	0.820
vindictive	انتقاد کننده	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	فحشا	anger	0.818
venomous	سمی	anger	0.818
threaten	تهدید کن	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	تروریست	anger	0.818
abhor	خجالت زده	anger	0.816
savage	وحشی	anger	0.814
atrocity	خشونت	anger	0.814
carnage	قتل عام	anger	0.814
berserk	برسکر	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	سو استفاده کردن	anger	0.812
tyrant	ستمگر	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	شدید	anger	0.812
destroyer	نابودگر	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	دودکش	anger	0.812
barbaric	وحشیانه	anger	0.812
anger	خشم	anger	0.811
pieceofshit	قطعه قطعه	anger	0.810
slam	اسلم	anger	0.803
fights	مبارزه می کند	anger	0.803
punched	پانچ	anger	0.803
bitch	عوضی	anger	0.803
punching	مشت زدن	anger	0.803
homicide	قتل	anger	0.803
destructive	مخرب	anger	0.797
ruthless	بی رحم	anger	0.797
villainous	شرم آور	anger	0.797
slap	سیلی زدن	anger	0.791
slaughterhouse	کشتارگاه	anger	0.788
punishing	مجازات	anger	0.788
destroyed	نابود	anger	0.788
retaliatory	انتقامجویی	anger	0.788
riot	شورش	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	فریاد زدن	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	شیطانی	anger	0.788
manslaughter	قتل عام	anger	0.783
clash	برخورد	anger	0.783
bloody	خون آشام	anger	0.781
hellish	جهنم	anger	0.781
loath	بی رحمانه	anger	0.781
detonation	انفجار	anger	0.781
quarrel	نزاع	anger	0.781
sinister	شیطانی	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	متهم	anger	0.779
treacherous	خائنانه	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	تلاطم	anger	0.773
revulsion	تنفر شدید	anger	0.773
madder	دیوانه	anger	0.773
horrific	دلهره آور	anger	0.773
scorn	نومیدی	anger	0.769
deplorable	ناامید کننده	anger	0.766
bomb	بمب	anger	0.766
anarchist	هرج و مرج طلب	anger	0.765
devastation	تخریب	anger	0.765
resent	متاسفم	anger	0.765
firestorm	فست فود	anger	0.765
contemptible	تحقیرآمیز	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ظالمانه	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	مرگبار	anger	0.758
smash	درهم کوبیدن	anger	0.758
rant	بیهوده گویی	anger	0.758
outburst	انفجار	anger	0.757
snarl	مارمولک	anger	0.754
profane	عصبانی	anger	0.750
offend	جرم	anger	0.750
douchebags	douchebags	anger	0.750
growling	رشد کردن	anger	0.750
stfu	stfu	anger	0.750
vulgarity	بدگمانی	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	دیوانه شده	anger	0.750
despise	خوار شمردن	anger	0.750
horror	وحشت	anger	0.750
aggravating	تشدید	anger	0.750
revolting	شورش	anger	0.750
fuckedoff	فریاد زدن	anger	0.742
threat	تهدید	anger	0.742
erupt	فوران کردن	anger	0.742
screaming	جیغ زدن	anger	0.742
violence	خشونت	anger	0.742
horrible	ناگوار	anger	0.742
molestation	مزمن	anger	0.742
bastards	پرستاران	anger	0.741
revenge	انتقام گرفتن	anger	0.738
catastrophe	فاجعه	anger	0.735
menacing	تهدید	anger	0.735
demon	دیو	anger	0.735
crushing	خرد کردن	anger	0.735
damn	لعنت	anger	0.735
persecute	آزار و اذیت	anger	0.734
argue	جر و بحث	anger	0.734
flog	افتادن	anger	0.734
revolt	شورش	anger	0.734
thrash	ترس	anger	0.734
deplore	عذرخواهی کن	anger	0.734
warfare	جنگ	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	شگفت انگیز	anger	0.734
riotous	آشفتگی	anger	0.734
altercation	جهش	anger	0.729
warlike	جنگی	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	سوگواری	anger	0.727
castrate	کاسه زدن	anger	0.727
sabotage	خرابکاری	anger	0.727
malevolent	خشونت آمیز	anger	0.721
strike	ضربه	anger	0.721
disaster	فاجعه	anger	0.721
disastrous	فاجعه بار	anger	0.720
tumult	تکان خوردن	anger	0.719
madden	دیوانه	anger	0.719
devil	شیطان	anger	0.719
scream	فریاد زدن	anger	0.719
brutal	وحشیانه	anger	0.719
treachery	خیانت	anger	0.719
scorching	سوزش	anger	0.719
vermin	خرگوش	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	اسب سواری	anger	0.719
aggravates	تشدید می شود	anger	0.719
spiteful	مجرمانه	anger	0.719
slay	ذبح کردن	anger	0.719
disdain	بدبختی	anger	0.719
choke	خفه کردن	anger	0.719
bastarding	بدبختی	anger	0.719
mangle	لگد زدن	anger	0.714
anarchism	آنارشیسم	anger	0.714
mutilation	خشونت	anger	0.714
criminal	جنایی	anger	0.714
denunciation	محکومیت	anger	0.713
punch	پانچ	anger	0.713
crucifixion	مصلوب شدن	anger	0.712
virulence	سرگیجه	anger	0.712
battled	جنگید	anger	0.712
fatal	کشنده	anger	0.712
holocaust	هولوکاست	anger	0.712
blasphemous	کفرآمیز	anger	0.712
hurting	صدمه زدن	anger	0.712
dumbasses	کمرنگ	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	متناقض	anger	0.706
atrocious	وحشیانه	anger	0.706
evil	بد	anger	0.706
irritated	تحریک شده	anger	0.706
assassin	قاتل	anger	0.703
dicks	کیک	anger	0.703
persecution	آزار و اذیت	anger	0.703
slayer	قاتل	anger	0.703
kidnap	آدم ربایی	anger	0.703
scolding	تکان دادن	anger	0.703
intimidation	ارعاب	anger	0.703
aggravated	تشدید می شود	anger	0.703
aggression	تجاوز	anger	0.702
armed	مسلح	anger	0.700
poison	سم	anger	0.697
snarling	snarling	anger	0.697
venom	سم	anger	0.697
battle	نبرد	anger	0.697
disgruntled	ناراضی	anger	0.693
insidious	موذی	anger	0.691
assailant	مهاجم	anger	0.691
resentment	خشم	anger	0.691
lynch	لینچ	anger	0.690
contemptuous	تحقیرآمیز	anger	0.690
temper	خلق و خوی	anger	0.688
imprisonment	زندان	anger	0.688
disparage	ناسزا	anger	0.688
bully	گردن کلفت	anger	0.688
terrible	وحشتناک	anger	0.688
lunatic	دیوانه	anger	0.688
curse	لعنت	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	پژواک	anger	0.688
domination	سلطه	anger	0.688
mad	دیوانه	anger	0.688
infanticide	بچه گانه	anger	0.688
volatility	نوسان	anger	0.687
eradication	قلع و قمع	anger	0.685
tantrum	اوقات تلخی	anger	0.682
devastate	خرابکاری	anger	0.682
eradicate	ریشه کن کردن	anger	0.682
scoundrel	ناخودآگاه	anger	0.682
aggressively	تهاجمی	anger	0.680
agitation	تحریک	anger	0.680
dictatorship	دیکتاتوری	anger	0.676
irritates	تحریک می کند	anger	0.676
profanity	فساد	anger	0.673
egregious	فجیع	anger	0.672
expletive	عصبانی	anger	0.672
nasty	تند و زننده	anger	0.672
shove	تنه زدن	anger	0.672
shot	شات	anger	0.672
harmful	زیان آور	anger	0.672
aggravation	تشدید	anger	0.672
contempt	تحقیر	anger	0.672
poisonous	سمی	anger	0.672
dastardly	بدبختی	anger	0.672
shoot	شلیک	anger	0.672
corrupting	فساد	anger	0.672
condemnation	محکومیت	anger	0.672
wreak	تکان دادن	anger	0.672
crushed	خرد شده	anger	0.672
cruelly	بی رحمانه	anger	0.672
crime	جرم	anger	0.672
maniac	دیوانه وار	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	فوران	anger	0.667
odious	عصبانی	anger	0.667
shooting	تیراندازی کردن	anger	0.667
kick	ضربه زدن	anger	0.667
aggressive	خشونت آمیز	anger	0.667
combat	مبارزه کن	anger	0.667
shout	فریاد	anger	0.667
hit	اصابت	anger	0.667
fight	مبارزه کردن	anger	0.667
cutthroat	سرخ شدن	anger	0.667
enemy	دشمن	anger	0.667
irritable	تحریک پذیر	anger	0.667
punished	مجازات	anger	0.662
ambush	کمین	anger	0.661
yell	فریاد زدن	anger	0.661
harass	آزار و اذیت	anger	0.659
malignant	بدخیم	anger	0.656
aggressor	متجاوز	anger	0.656
antichrist	ضد مسیح	anger	0.656
gore	گور	anger	0.656
incense	بخور دادن	anger	0.656
expel	اخراج	anger	0.656
destruction	تخریب	anger	0.656
grudge	ناراحتی	anger	0.656
cranky	لعنتی	anger	0.653
offended	مجرم	anger	0.652
spank	جهش	anger	0.652
growl	خندیدن	anger	0.652
insurrection	قیام	anger	0.652
reprisal	انتقام	anger	0.652
slave	برده	anger	0.652
denounce	محکوم کردن	anger	0.652
animosity	خصومت	anger	0.652
insulting	توهین	anger	0.652
clashing	درگیر شدن	anger	0.652
growls	میچکد	anger	0.649
executioner	اعدام	anger	0.644
twat	twat	anger	0.644
doomsday	روز قیامت	anger	0.643
daemon	دلم	anger	0.641
obscenity	ناامیدی	anger	0.641
bombard	بمبارد	anger	0.641
spat	تف	anger	0.641
havoc	ویران کردن	anger	0.641
feud	دشمنی	anger	0.641
grr	گرر	anger	0.641
arson	آتش سوزی	anger	0.641
reprimand	گناه	anger	0.641
expulsion	اخراج	anger	0.641
inexcusable	غیر قابل انکار	anger	0.641
accused	متهم	anger	0.641
indignant	خشمگین	anger	0.641
shackle	زدن	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	زخم	anger	0.636
suicidal	خودکشی	anger	0.636
poisoned	مسموم شده	anger	0.636
batter	خمیر	anger	0.636
kicking	لگد زدن	anger	0.636
hanging	حلق آویز	anger	0.636
spanking	شوخی کردم	anger	0.636
disgusting	چندش آور	anger	0.636
combatant	رزمندگان	anger	0.636
frustrated	ناامید	anger	0.636
anarchy	هرج و مرج	anger	0.636
glaring	درخشش	anger	0.636
inflict	اعمال	anger	0.633
wrecked	خراب شده	anger	0.633
grievous	مضطرب	anger	0.632
prosecute	پیگرد قانونی	anger	0.630
agitated	آشفته	anger	0.630
cheat	تقلب کردن	anger	0.630
swastika	سواستیکا	anger	0.627
defamatory	تقصیری است	anger	0.625
suffocation	خفه شدن	anger	0.625
strife	نزاع	anger	0.625
provocation	تحریک	anger	0.625
injure	صدمه زدن	anger	0.625
harassing	آزار و اذیت	anger	0.625
scourge	عصبانیت	anger	0.625
cursing	لعنت کردن	anger	0.625
betray	خیانت کنید	anger	0.625
indict	محکومیت	anger	0.625
raid	حمله	anger	0.625
thundering	رعد و برق	anger	0.625
enslaved	بردگی	anger	0.625
arsehole	arsehole	anger	0.624
insane	دیوانه	anger	0.621
fiend	خیانت	anger	0.621
irritate	تحریک	anger	0.621
convict	محکوم کردن	anger	0.621
jerk	حرکت کردن	anger	0.621
theft	سرقت	anger	0.621
retaliation	انتقام	anger	0.621
deprivation	محرومیت	anger	0.621
cussed	cussed	anger	0.619
turmoil	آشفتگی	anger	0.618
smack	چرت زدن	anger	0.615
retribution	مجازات	anger	0.614
twats	twats	anger	0.609
intolerable	غير قابل تحمل	anger	0.609
rebellion	شورش	anger	0.609
injurious	زیان آور	anger	0.609
oppressor	ستمگر	anger	0.609
slavery	بردگی	anger	0.609
irritability	تحریک پذیری	anger	0.609
collision	برخورد	anger	0.609
bitterly	تلخ	anger	0.609
gang	باند	anger	0.609
antagonism	آنتاگونیسم	anger	0.609
battery	باتری	anger	0.609
adverse	منفی است	anger	0.609
disgraced	ناراحت	anger	0.608
irritating	تحریک کننده	anger	0.606
revolution	انقلاب	anger	0.606
thug	دزد	anger	0.606
diatribe	اذیت کردن	anger	0.606
bombardment	بمباران	anger	0.606
blast	انفجار	anger	0.606
irks	ارکستر	anger	0.606
sickening	بدبختی	anger	0.606
discrimination	تبعیض	anger	0.606
antagonistic	آنتاگونیست	anger	0.606
ranting	رنج	anger	0.606
asshole	احمق	anger	0.606
frustrate	خرابکاری	anger	0.604
manipulation	دستکاری	anger	0.603
tension	تنش	anger	0.603
insult	توهین	anger	0.603
bigot	متعصب	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	مضطرب	anger	0.603
oppression	ظلم و ستم	anger	0.603
disgust	نفرت	anger	0.602
spite	ببخشید	anger	0.600
intrusive	سرزده	anger	0.598
harshness	سختی	anger	0.597
slur	خراب کردن	anger	0.596
wretch	وحشی	anger	0.594
inferno	انفرادی	anger	0.594
invasion	تهاجم	anger	0.594
puncture	پنچر شدن	anger	0.594
miserable	بدبخت	anger	0.594
assail	تکان دادن	anger	0.594
storming	طوفان	anger	0.594
casualty	سانحه، کشته	anger	0.594
bitterness	تلخی	anger	0.594
morbidity	عوارض جانبی	anger	0.594
tempest	طوفان	anger	0.594
consternation	تهدید	anger	0.592
depraved	فریب خورده	anger	0.591
raving	خنده دار	anger	0.591
guillotine	گیوتین	anger	0.591
guilty	گناهکار	anger	0.591
immoral	غیر اخلاقی	anger	0.591
forcibly	اجباری	anger	0.591
overpowering	غلبه بر	anger	0.591
accursed	نفرین شده	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	سرگردان	anger	0.588
invader	مهاجم	anger	0.588
scare	ترساندن	anger	0.588
screwed	پیچ	anger	0.588
indignation	خشم	anger	0.587
jealousy	حسادت	anger	0.587
vexed	ترسناک	anger	0.586
confront	روبرو شدن با	anger	0.582
brute	خشن	anger	0.581
throttle	دریچه گاز	anger	0.579
wreck	خراب کردن	anger	0.578
revolver	تیرانداز	anger	0.578
slut	شلخته	anger	0.578
yousuck	یوسک	anger	0.578
damage	خسارت	anger	0.578
butcher	قصاب	anger	0.578
conflict	درگیری	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	جرم و جنایت	anger	0.578
bickering	تکان دادن	anger	0.578
pillage	غارت	anger	0.578
blaze	سوزش	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	کودتا	anger	0.578
contentious	متضاد	anger	0.578
incarceration	زندان	anger	0.578
defiant	تعصب	anger	0.578
provoking	تحریک	anger	0.578
lash	لش	anger	0.578
cancer	سرطان	anger	0.577
frustration	نا امیدی	anger	0.576
gory	خب	anger	0.576
alienation	بیگانگی	anger	0.576
discord	اختلاف نظر	anger	0.576
disturbance	اختلال	anger	0.576
grope	غرق شدن	anger	0.576
condescension	محبت	anger	0.576
pernicious	خرابکاری	anger	0.576
blasphemy	خشونت	anger	0.576
discriminate	تبعیض قائل شدن	anger	0.576
chaotic	بی نظم	anger	0.576
gun	اسلحه	anger	0.576
standoff	سرنوشت	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	گول زدن	anger	0.574
lunacy	گناه	anger	0.574
oppressive	سرکوبگر	anger	0.574
death	مرگ	anger	0.574
jab	جب	anger	0.574
cursed	لعنتی	anger	0.574
scandalous	رسوا کننده	anger	0.574
monstrosity	هیولا	anger	0.574
shit	گریه	anger	0.573
disparaging	ناامید کننده	anger	0.571
slash	اسلش	anger	0.571
unfair	غیر منصفانه	anger	0.571
gallows	سرزنش	anger	0.570
escalate	تشدید می شود	anger	0.569
intolerant	غیر قابل تحمل	anger	0.564
lawlessness	بی قانونی	anger	0.563
bluddy	سرخورده	anger	0.562
perdition	سقوط	anger	0.562
taunt	طعنه	anger	0.562
grouchy	باشکوه	anger	0.562
torpedo	اژدر	anger	0.562
deceived	فریب خورده	anger	0.562
slander	گناه	anger	0.562
retards	عقب ماندگی	anger	0.562
bearish	نزولی	anger	0.562
invade	حمله کردن	anger	0.562
bellows	سیلندر	anger	0.562
beast	حیوانات	anger	0.562
frightful	ترسناک	anger	0.562
derogatory	ناخوشایند	anger	0.562
glare	تابش خیره کننده	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	وحشتناک	anger	0.562
traitor	خائن	anger	0.562
malign	بدبختی	anger	0.562
wrangling	سرگردان	anger	0.562
dissension	اختلاف نظر	anger	0.561
banshee	banshee	anger	0.561
shatter	تکان دادن	anger	0.561
conflagration	آتش سوزی	anger	0.561
jeopardize	به خطر اندازد	anger	0.561
thief	دزد	anger	0.561
rave	دیوانه	anger	0.561
grating	گریتینگ	anger	0.561
devastating	ویرانگر	anger	0.561
idiots	احمق ها	anger	0.561
betrayal	خیانت	anger	0.561
uncontrollable	غیر قابل کنترل	anger	0.561
fits	متناسب است	anger	0.561
cross	صلیب	anger	0.561
hurt	صدمه	anger	0.561
disturbed	مختل	anger	0.559
subjugation	زیر پا گذاشتن	anger	0.559
stomped	افتاده	anger	0.557
grab	گرفتن	anger	0.557
ticked	علامت گذاری شده	anger	0.556
masochism	ماسکوشیسم	anger	0.556
grievance	شکایت	anger	0.556
defiance	بی احترامی	anger	0.552
blackmail	چنگ زدن	anger	0.550
offensive	توهین آمیز	anger	0.549
decry	گریه کردن	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	نقض	anger	0.547
punishment	مجازات	anger	0.547
shrill	تیز	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	بدبختی	anger	0.547
frustrates	ناامید می شود	anger	0.547
disgraceful	شرم آور	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	غلبه بر	anger	0.547
disparity	تناقض	anger	0.547
confine	محدود کردن	anger	0.547
firearms	سلاح گرم	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ظالمانه	anger	0.547
rebel	شورشی	anger	0.547
deceive	فریب دادن	anger	0.547
stolen	به سرقت رفته	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	گرم است	anger	0.545
ruined	خراب	anger	0.545
menace	تهدید	anger	0.545
humiliate	تحقیر کردن	anger	0.545
tackle	برخورد با	anger	0.545
conspirator	توطئه گر	anger	0.545
foul	ناپاک	anger	0.545
antagonist	آنتاگونیست	anger	0.545
resentful	ترسناک	anger	0.545
prejudice	تعصب	anger	0.545
adversary	دشمن	anger	0.545
argument	بحث و جدل	anger	0.545
skirmish	تکان خوردن	anger	0.545
callous	خوبه	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	گرفتار	anger	0.544
robbery	سرقت	anger	0.544
sting	نیش	anger	0.544
outcry	اعتراض	anger	0.544
grumble	خراب کردن	anger	0.544
irreconcilable	غیر قابل پذیرش است	anger	0.543
resistance	مقاومت	anger	0.543
obstructive	انسداد	anger	0.542
dismay	ناامید کننده	anger	0.540
mob	مال تو	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	بدی	anger	0.536
ridicule	مسخره کردن	anger	0.534
incendiary	آتش زدن	anger	0.533
flares	شعله ها	anger	0.532
degeneracy	انحطاط	anger	0.531
confinement	محکومیت	anger	0.531
exacerbation	تشدید	anger	0.531
prejudicial	زیان آور	anger	0.531
uprising	قیام	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	بی پروا	anger	0.531
unbridled	unbridled	anger	0.531
allegation	ادعا	anger	0.531
communism	کمونیسم	anger	0.531
whip	شلاق زدن	anger	0.531
intruder	مزاحم	anger	0.531
dispute	اختلاف نظر	anger	0.531
belittle	تسلیم شدن	anger	0.531
bigoted	فانتزی	anger	0.530
offender	مجرم	anger	0.530
hassle	بدون هیچ زحمتی	anger	0.530
dissonance	ناسازگاری	anger	0.530
unjust	ناعادلانه	anger	0.530
dictatorial	دیکتاتوری	anger	0.530
unjustifiable	غیر قابل اثبات	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	انحراف	anger	0.530
tackled	رسیدگی کرد	anger	0.530
renegade	مجروح شدن	anger	0.529
hot	داغ	anger	0.529
prison	زندان	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	تجاوز	anger	0.529
suicide	خودکشی کردن	anger	0.521
annoy	آزار دهنده	anger	0.520
leavemealone	بزار تو حال خودم باشم	anger	0.517
idiotic	ایدوتیک	anger	0.516
distrust	بی اعتمادی	anger	0.516
depravity	تخریب	anger	0.516
cretins	کرتین	anger	0.516
divorce	طلاق	anger	0.516
broil	مرغ	anger	0.516
grrr	گرگر	anger	0.516
venting	تهویه	anger	0.516
inimical	انسانی	anger	0.516
duress	فشار دادن	anger	0.516
disrespectful	بی احترامی	anger	0.516
tortious	جنجالی	anger	0.516
criticize	انتقاد کنید	anger	0.516
prisoner	زندانی	anger	0.516
dishonest	متقلب	anger	0.516
treason	خیانت	anger	0.516
victimized	قربانی	anger	0.515
bile	صفرا	anger	0.515
unkind	عجیب نیست	anger	0.515
unforgiving	بی تفاوتی	anger	0.515
unleash	رها کردن	anger	0.515
coercion	اجبار	anger	0.515
scold	ترساندن	anger	0.515
chaos	آشوب	anger	0.515
grump	گرسنگی	anger	0.515
roar	سر و صدا	anger	0.515
jerks	تند تند	anger	0.515
poaching	شکارچی	anger	0.515
hangry	هابیت	anger	0.515
pow	pow	anger	0.515
poachers	شکارچیان	anger	0.515
argumentation	استدلال	anger	0.515
frustrating	خسته کننده، اذیت کننده	anger	0.515
tussle	خندیدن	anger	0.514
bane	نابینا	anger	0.511
accusation	اتهام	anger	0.510
repudiation	تخلف	anger	0.510
enmity	دشمنی	anger	0.510
banish	تبعید کردن	anger	0.509
disfigured	خراب شده	anger	0.508
storm	طوفان	anger	0.507
shun	خاموش	anger	0.500
suppression	سرکوب	anger	0.500
unruly	بی ادبانه	anger	0.500
intractable	رام نشدنی	anger	0.500
ordeal	مصیبت	anger	0.500
obstruct	مانع	anger	0.500
derogation	معافیت	anger	0.500
fervor	غیرت	anger	0.500
foaming	فوم	anger	0.500
derision	خرابکاری	anger	0.500
animus	animus	anger	0.500
rejects	رد می کند	anger	0.500
bout	مبارزه	anger	0.500
spear	نیزه	anger	0.500
crazy	دیوانه	anger	0.500
brazen	سرگردان	anger	0.500
antithesis	ضد آن	anger	0.500
injustice	بی عدالتی	anger	0.500
banished	تبعید شد	anger	0.500
confined	محدود است	anger	0.500
frenzied	دیوانه وار	anger	0.500
dominate	تسلط داشتن	anger	0.500
disrupting	اختلال	anger	0.500
hammering	چکش	anger	0.500
fear	ترس	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	غم و اندوه	anger	0.500
brunt	بزرگی	anger	0.500
possessed	مجذوب	anger	0.500
defy	فراموش كردن	anger	0.500
scoff	ترساندن	anger	0.500
patronising	حامی	anger	0.500
delusional	فریبکارانه	anger	0.500
malpractice	بدرفتاری	anger	0.500
reject	رد کنید	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	سختی	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	جنون	anger	0.491
sinful	گناهکار	anger	0.491
avarice	جسارت	anger	0.490
oppress	سرکوب کنید	anger	0.490
disapproved	تایید نشده	anger	0.485
inhuman	غیر انسانی	anger	0.485
demand	تقاضا	anger	0.485
abolish	لغو کردن	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	شکایت	anger	0.485
disservice	خدانگهدار	anger	0.485
smuggler	قاچاقچی	anger	0.485
revoke	لغو کردن	anger	0.485
infraction	تخلف	anger	0.485
claw	پنجه	anger	0.485
dissident	مخالف	anger	0.485
pervert	منحرف	anger	0.485
incest	انسداد	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	نافرمان	anger	0.485
usurp	غصب	anger	0.485
alienate	بیگانه	anger	0.485
avenger	انتقام گیرنده	anger	0.485
annoyed	آزاردهنده	anger	0.485
cutting	برش دادن	anger	0.485
disgrace	رسوایی	anger	0.484
deceit	فریب	anger	0.484
suspicious	مشکوک	anger	0.484
thresh	فرو رفتن	anger	0.484
sucker	مکنده	anger	0.484
strained	تنش	anger	0.484
blame	سرزنش	anger	0.484
upheaval	تعجب	anger	0.484
renounce	رد کن	anger	0.484
obnoxious	ناراحت کننده	anger	0.484
