word	Maltese-mt	emotion	emotion-intensity-score
profanity	profanity	anger	0.673
egregious	mhux evidenti	anger	0.672
expletive	esplettiva	anger	0.672
nasty	diżgustanti	anger	0.672
shove	shove	anger	0.672
shot	sparatura	anger	0.672
harmful	li jagħmel ħsara	anger	0.672
aggravation	aggravament	anger	0.672
contempt	disprezz	anger	0.672
poisonous	velenuż	anger	0.672
dastardly	dastardly	anger	0.672
shoot	rimja	anger	0.672
corrupting	korruzzjoni	anger	0.672
condemnation	kundanna	anger	0.672
wreak	wreak	anger	0.672
crushed	imfarrak	anger	0.672
cruelly	krudili	anger	0.672
crime	kriminalità	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruzzjoni	anger	0.667
odious	odjuż	anger	0.667
shooting	isparar	anger	0.667
kick	kick	anger	0.667
aggressive	aggressiva	anger	0.667
combat	ġlieda kontra	anger	0.667
shout	shout	anger	0.667
hit	hit	anger	0.667
fight	ġlieda	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	ghadu	anger	0.667
irritable	irritabbli	anger	0.667
punished	ikkastigat	anger	0.662
ambush	imbotta	anger	0.661
yell	yell	anger	0.661
harass	ta 'fastidju	anger	0.659
malignant	malinni	anger	0.656
aggressor	aggressur	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	inċens	anger	0.656
expel	tkeċċi	anger	0.656
destruction	qerda	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	reċidiv	anger	0.652
spank	spank	anger	0.652
growl	growl	anger	0.652
insurrection	insurrezzjoni	anger	0.652
reprisal	ritrattazzjoni	anger	0.652
slave	slave	anger	0.652
denounce	tiddenunzja	anger	0.652
animosity	animosità	anger	0.652
insulting	insult	anger	0.652
clashing	jikkumbattu	anger	0.652
growls	jikbru	anger	0.649
executioner	eżekutur	anger	0.644
twat	twat	anger	0.644
doomsday	Doomsday	anger	0.643
daemon	Daemon	anger	0.641
obscenity	obscenity	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	ħruq	anger	0.641
reprimand	ċanfira	anger	0.641
expulsion	tkeċċija	anger	0.641
inexcusable	mhux skużabbli	anger	0.641
accused	akkużat	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ferita	anger	0.636
suicidal	suwiċidju	anger	0.636
poisoned	enwinizzat	anger	0.636
batter	batter	anger	0.636
kicking	kicking	anger	0.636
hanging	mdendlin	anger	0.636
spanking	spanking	anger	0.636
disgusting	disgusting	anger	0.636
combatant	ġellieda	anger	0.636
frustrated	frustrati	anger	0.636
anarchy	anarkija	anger	0.636
glaring	evidenti	anger	0.636
inflict	tikkaġuna	anger	0.633
wrecked	imkisser	anger	0.633
grievous	gravi	anger	0.632
prosecute	prosekuzzjoni	anger	0.630
agitated	aġitat	anger	0.630
cheat	iqarrqu	anger	0.630
swastika	swastika	anger	0.627
defamatory	difamatorju	anger	0.625
suffocation	soffokazzjoni	anger	0.625
strife	konflitti	anger	0.625
provocation	provokazzjoni	anger	0.625
injure	tweġġa '	anger	0.625
harassing	fastidju	anger	0.625
scourge	pjaga	anger	0.625
cursing	misħuta	anger	0.625
betray	betray	anger	0.625
indict	indikazzjoni	anger	0.625
raid	raid	anger	0.625
thundering	thundering	anger	0.625
enslaved	skjavi	anger	0.625
arsehole	arsehole	anger	0.624
insane	insane	anger	0.621
fiend	fiend	anger	0.621
irritate	jirrita	anger	0.621
convict	kundanna	anger	0.621
jerk	jerk	anger	0.621
theft	serq	anger	0.621
retaliation	ritaljazzjoni	anger	0.621
deprivation	ċaħda	anger	0.621
cussed	cussed	anger	0.619
turmoil	taqlib	anger	0.618
smack	smack	anger	0.615
retribution	retribuzzjoni	anger	0.614
twats	twats	anger	0.609
intolerable	intollerabbli	anger	0.609
rebellion	ribelljoni	anger	0.609
injurious	mhux ta 'ħsara	anger	0.609
oppressor	oppressor	anger	0.609
slavery	skjavitù	anger	0.609
irritability	irritabilità	anger	0.609
collision	kolliżjoni	anger	0.609
bitterly	b'dispjaċir	anger	0.609
gang	gang	anger	0.609
antagonism	antagoniżmu	anger	0.609
battery	batterija	anger	0.609
adverse	avversi	anger	0.609
disgraced	diżgrazzjat	anger	0.608
irritating	irritanti	anger	0.606
revolution	rivoluzzjoni	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bumbardament	anger	0.606
blast	blast	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	diskriminazzjoni	anger	0.606
antagonistic	antagonistiku	anger	0.606
ranting	waqfien	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrazzjoni	anger	0.604
manipulation	manipulazzjoni	anger	0.603
tension	tensjoni	anger	0.603
insult	insult	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	hurtful	anger	0.603
oppression	oppressjoni	anger	0.603
disgust	disgust	anger	0.602
spite	minkejja	anger	0.600
intrusive	intrużivi	anger	0.598
harshness	dwejjaq	anger	0.597
slur	brim	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	invażjoni	anger	0.594
puncture	titqib	anger	0.594
miserable	miserable	anger	0.594
assail	assail	anger	0.594
storming	tempesta	anger	0.594
casualty	diżgrazzja	anger	0.594
bitterness	imrar	anger	0.594
morbidity	morbidità	anger	0.594
tempest	tempest	anger	0.594
consternation	konsternazzjoni	anger	0.592
depraved	depravat	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	ħatja	anger	0.591
immoral	immorali	anger	0.591
forcibly	forza	anger	0.591
overpowering	overpowering	anger	0.591
accursed	imdejqa	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	rrikantanti	anger	0.588
invader	invader	anger	0.588
scare	biża	anger	0.588
screwed	invitat	anger	0.588
indignation	indignazzjoni	anger	0.587
jealousy	jealousy	anger	0.587
vexed	vexed	anger	0.586
confront	tikkonfronta	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	relitt	anger	0.578
revolver	revolvers	anger	0.578
slut	slut	anger	0.578
yousuck	yousuck	anger	0.578
damage	ħsara	anger	0.578
butcher	biċċier	anger	0.578
conflict	kunflitt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalità	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kolp ta 'stat	anger	0.578
contentious	kontroversjali	anger	0.578
incarceration	inkarceration	anger	0.578
defiant	defiant	anger	0.578
provoking	provokanti	anger	0.578
lash	lash	anger	0.578
cancer	kanċer	anger	0.577
frustration	frustrazzjoni	anger	0.576
gory	gory	anger	0.576
alienation	aljenazzjoni	anger	0.576
discord	inkwiet	anger	0.576
disturbance	disturb	anger	0.576
grope	grope	anger	0.576
condescension	kondensazzjoni	anger	0.576
pernicious	pernika	anger	0.576
blasphemy	blasfemija	anger	0.576
discriminate	tiddiskrimina	anger	0.576
chaotic	kaotika	anger	0.576
gun	gun	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	ħeġġa	anger	0.574
oppressive	oppressiva	anger	0.574
death	mewt	anger	0.574
jab	jab	anger	0.574
cursed	misħuta	anger	0.574
scandalous	skandaluż	anger	0.574
monstrosity	monstrużità	anger	0.574
shit	shit	anger	0.573
disparaging	tiddevja	anger	0.571
slash	slash	anger	0.571
unfair	inġust	anger	0.571
gallows	gallows	anger	0.570
escalate	teskala	anger	0.569
intolerant	intolleranti	anger	0.564
lawlessness	anarkija	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	mqarrqa	anger	0.562
slander	malafama	anger	0.562
retards	dewmien	anger	0.562
bearish	bearish	anger	0.562
invade	tinvadi	anger	0.562
bellows	minfaħ	anger	0.562
beast	kruha	anger	0.562
frightful	terribbli	anger	0.562
derogatory	derogatorja	anger	0.562
glare	dija	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	koroh	anger	0.562
traitor	traitor	anger	0.562
malign	malinni	anger	0.562
wrangling	tixwit	anger	0.562
dissension	dissens	anger	0.561
banshee	banshee	anger	0.561
shatter	tifrik	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	jipperikola	anger	0.561
thief	ħalliel	anger	0.561
rave	rave	anger	0.561
grating	taħkik	anger	0.561
devastating	devastanti	anger	0.561
idiots	idiots	anger	0.561
betrayal	tradiment	anger	0.561
uncontrollable	mhux kontrollabbli	anger	0.561
fits	joqgħod	anger	0.561
cross	jaqsam	anger	0.561
hurt	iweġġgħu	anger	0.561
disturbed	disturbat	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	grab	anger	0.557
ticked	immarkat	anger	0.556
masochism	Masochism	anger	0.556
grievance	ilment	anger	0.556
defiance	difiża	anger	0.552
blackmail	rikatt	anger	0.550
offensive	offensiv	anger	0.549
decry	digry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ksur	anger	0.547
punishment	kastig	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	miżerja	anger	0.547
frustrates	jiffrustra	anger	0.547
disgraceful	diżgustanti	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	qawwija	anger	0.547
disparity	differenza	anger	0.547
confine	tillimita ruħha	anger	0.547
firearms	armi tan-nar	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	impossibbli	anger	0.547
rebel	ribelli	anger	0.547
deceive	tqarraq	anger	0.547
stolen	misruqa	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	imsaħħan	anger	0.545
ruined	ruined	anger	0.545
menace	theddida	anger	0.545
humiliate	umiljat	anger	0.545
tackle	tittratta	anger	0.545
conspirator	conspirator	anger	0.545
foul	foul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	resentful	anger	0.545
prejudice	preġudizzju	anger	0.545
adversary	avversarju	anger	0.545
argument	argument	anger	0.545
skirmish	skirmish	anger	0.545
callous	kalma	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	imqabbda	anger	0.544
robbery	serq	anger	0.544
sting	sting	anger	0.544
outcry	protesta	anger	0.544
grumble	ċċempel	anger	0.544
irreconcilable	irrikonċiljabbli	anger	0.543
resistance	reżistenza	anger	0.543
obstructive	ostruttiva	anger	0.542
dismay	jiddispjaċih	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ħżiena	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	inċendjarju	anger	0.533
flares	flares	anger	0.532
degeneracy	deġenerazzjoni	anger	0.531
confinement	rinunzja	anger	0.531
exacerbation	aggravament	anger	0.531
prejudicial	preġudizzjali	anger	0.531
uprising	rewwixta	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	imprudenti	anger	0.531
unbridled	mhux imwiegħed	anger	0.531
allegation	allegazzjoni	anger	0.531
communism	komuniżmu	anger	0.531
whip	Whip	anger	0.531
intruder	intruder	anger	0.531
dispute	tilwima	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	ħati	anger	0.530
hassle	battikata	anger	0.530
dissonance	dissonanza	anger	0.530
unjust	inġust	anger	0.530
dictatorial	dittatorjali	anger	0.530
unjustifiable	mhux iġġustifikat	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perverżjoni	anger	0.530
tackled	indirizzati	anger	0.530
renegade	renegade	anger	0.529
hot	sħun	anger	0.529
prison	ħabs	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	traspass	anger	0.529
suicide	suwiċidju	anger	0.521
annoy	annoy	anger	0.520
leavemealone	ħallini	anger	0.517
idiotic	idiotic	anger	0.516
distrust	nuqqas ta 'fiduċja	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	divorzju	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	ventilazzjoni	anger	0.516
inimical	inimiku	anger	0.516
duress	għebet	anger	0.516
disrespectful	irrispettat	anger	0.516
tortious	tortious	anger	0.516
criticize	jikkritikaw	anger	0.516
prisoner	priġunier	anger	0.516
dishonest	diżonest	anger	0.516
treason	tradiment	anger	0.516
victimized	vittimizzati	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	mhux konvinċenti	anger	0.515
unleash	jinħeles	anger	0.515
coercion	koerzjoni	anger	0.515
scold	scold	anger	0.515
chaos	kaos	anger	0.515
grump	grump	anger	0.515
roar	roar	anger	0.515
jerks	jerks	anger	0.515
poaching	kaċċa illegali	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	argumentazzjoni	anger	0.515
frustrating	frustranti	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	akkuża	anger	0.510
repudiation	rifjut	anger	0.510
enmity	enmity	anger	0.510
banish	banish	anger	0.509
disfigured	disfigured	anger	0.508
storm	maltempata	anger	0.507
shun	tevita	anger	0.500
suppression	trażżin	anger	0.500
unruly	irrilevanti	anger	0.500
intractable	intrattabbli	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	jostakola	anger	0.500
derogation	deroga	anger	0.500
fervor	fervur	anger	0.500
foaming	ragħwa	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	jirrifjuta	anger	0.500
bout	bout	anger	0.500
spear	lanza	anger	0.500
crazy	crazy	anger	0.500
brazen	imsajjar	anger	0.500
antithesis	antiteżi	anger	0.500
injustice	inġustizzja	anger	0.500
banished	banjat	anger	0.500
confined	limitata	anger	0.500
frenzied	frenzied	anger	0.500
dominate	jiddominaw	anger	0.500
disrupting	tfixkil	anger	0.500
hammering	tismir	anger	0.500
fear	biża '	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguish	anger	0.500
brunt	piż	anger	0.500
possessed	fil-pussess	anger	0.500
defy	jisfidaw	anger	0.500
scoff	scoff	anger	0.500
patronising	patronizzazzjoni	anger	0.500
delusional	delużjonali	anger	0.500
malpractice	prattika ħażina	anger	0.500
reject	tirrifjuta	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	toughness	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	dimenzja	anger	0.491
sinful	sinful	anger	0.491
avarice	avarice	anger	0.490
oppress	oppress	anger	0.490
disapproved	diżapprovat	anger	0.485
inhuman	inuman	anger	0.485
demand	domanda	anger	0.485
abolish	abolix	anger	0.485
anathema	anatema	anger	0.485
fricking	fricking	anger	0.485
complaint	ilment	anger	0.485
disservice	disservice	anger	0.485
smuggler	kontrabandu	anger	0.485
revoke	tirrevoka	anger	0.485
infraction	infrazzjoni	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	inċest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	diżubbidjenti	anger	0.485
usurp	usurp	anger	0.485
alienate	aljenati	anger	0.485
avenger	avenger	anger	0.485
annoyed	imdejqa	anger	0.485
cutting	qtugħ	anger	0.485
disgrace	disgrace	anger	0.484
deceit	qerq	anger	0.484
suspicious	suspettuż	anger	0.484
thresh	thresh	anger	0.484
sucker	ġungla	anger	0.484
strained	tensjoni	anger	0.484
blame	tort	anger	0.484
upheaval	taqlib	anger	0.484
renounce	tirrinunzja	anger	0.484
obnoxious	dwejjaq	anger	0.484
restrain	trażżan	anger	0.484
oust	oust	anger	0.484
litigious	litiganti	anger	0.484
rivalry	rivalità	anger	0.484
penalty	piena	anger	0.484
imprisoned	ħabs	anger	0.484
mocking	mocking	anger	0.484
opposed	kuntrarju	anger	0.484
turbulence	turbolenza	anger	0.483
pound	lira	anger	0.481
coldness	kesħa	anger	0.477
ungrateful	ingrat	anger	0.472
battalion	battaljun	anger	0.471
stoopid	stoopid	anger	0.471
hostage	ostaġġ	anger	0.470
infidel	infidali	anger	0.470
ram	ram	anger	0.470
accuser	akkużatur	anger	0.470
gall	gall	anger	0.470
subversion	subversjoni	anger	0.470
annoying	annoying	anger	0.470
adversity	diffikultajiet	anger	0.470
dispossessed	jintrema	anger	0.470
friction	frizzjoni	anger	0.470
jealous	ġeluż	anger	0.470
feudalism	feudalism	anger	0.470
armament	armament	anger	0.470
thump	thump	anger	0.469
complain	tilmenta	anger	0.469
incite	jinċitaw	anger	0.469
steal	steal	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	disobey	anger	0.469
injury	ħsara	anger	0.469
simmer	simmer	anger	0.469
distress	inkwiet	anger	0.469
insanity	insanità	anger	0.469
selfish	egoist	anger	0.469
huff	huff	anger	0.469
selfishness	egoiżmu	anger	0.469
backoff	backoff	anger	0.469
plunder	jisirqu	anger	0.469
stifled	sfurzat	anger	0.469
subversive	subversiv	anger	0.469
