word	Kurdish-ku	emotion	emotion-intensity-score
battery	pîl	anger	0.609
adverse	neyare	anger	0.609
disgraced	şermezar kirin	anger	0.608
irritating	xemgîniyê	anger	0.606
revolution	şoreş	anger	0.606
thug	thug	anger	0.606
diatribe	xwarinê	anger	0.606
bombardment	bombebaranê	anger	0.606
blast	teqîn	anger	0.606
irks	irks	anger	0.606
sickening	nexweşî	anger	0.606
discrimination	biçûkdîtinî	anger	0.606
antagonistic	dijberî	anger	0.606
ranting	rakêş	anger	0.606
asshole	bendek	anger	0.606
frustrate	şaşkirin	anger	0.604
manipulation	manipulasyonê	anger	0.603
tension	kêşî	anger	0.603
insult	kêmkirinî	anger	0.603
bigot	hişyar	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	birîndarkir	anger	0.603
oppression	bindestî	anger	0.603
disgust	girêzî	anger	0.602
spite	vekin	anger	0.600
intrusive	xweser	anger	0.598
harshness	dijwariyê	anger	0.597
slur	slûk	anger	0.596
wretch	xemgîn	anger	0.594
inferno	nefret	anger	0.594
invasion	dagirî	anger	0.594
puncture	qûlik	anger	0.594
miserable	belengazî	anger	0.594
assail	xerîb	anger	0.594
storming	êrîşî	anger	0.594
casualty	qûrban	anger	0.594
bitterness	talî	anger	0.594
morbidity	nerm	anger	0.594
tempest	tengahî	anger	0.594
consternation	hevpeymaniyê	anger	0.592
depraved	berbiçav	anger	0.591
raving	çêdike	anger	0.591
guillotine	guillotine	anger	0.591
guilty	sûcdar	anger	0.591
immoral	bêehlaqane	anger	0.591
forcibly	zorê	anger	0.591
overpowering	bihêzkirin	anger	0.591
accursed	qurban	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	veguhestin	anger	0.588
invader	êrişker	anger	0.588
scare	tirs	anger	0.588
screwed	şaş kirin	anger	0.588
indignation	xerîb	anger	0.587
jealousy	nekêşî	anger	0.587
vexed	vekirî	anger	0.586
confront	berrûdan	anger	0.582
brute	şewitandin	anger	0.581
throttle	pîdala gazê	anger	0.579
wreck	wreck	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	gel hûn	anger	0.578
damage	zirar	anger	0.578
butcher	serjêker	anger	0.578
conflict	şer	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	sûcdariyê	anger	0.578
bickering	balkering	anger	0.578
pillage	çepê	anger	0.578
blaze	şaş	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kûpa	anger	0.578
contentious	celeb	anger	0.578
incarceration	girtin	anger	0.578
defiant	neheq	anger	0.578
provoking	provoke	anger	0.578
lash	laş	anger	0.578
cancer	qansêr	anger	0.577
frustration	hevîşikestinî	anger	0.576
gory	gory	anger	0.576
alienation	xerîbbûyî	anger	0.576
discord	berbiçav	anger	0.576
disturbance	nerehetî	anger	0.576
grope	grope	anger	0.576
condescension	kişandin	anger	0.576
pernicious	xerîb	anger	0.576
blasphemy	kûfûrbazî	anger	0.576
discriminate	biçûkdîtin	anger	0.576
chaotic	serobin	anger	0.576
gun	tiving	anger	0.576
standoff	rawestandin	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	şaş	anger	0.574
lunacy	xemgîniyê	anger	0.574
oppressive	zordar	anger	0.574
death	mirin	anger	0.574
jab	jab	anger	0.574
cursed	cursed	anger	0.574
scandalous	şermezar	anger	0.574
monstrosity	hişk	anger	0.574
shit	şit	anger	0.573
disparaging	berbiçav	anger	0.571
slash	slash	anger	0.571
unfair	neheq	anger	0.571
gallows	gallows	anger	0.570
escalate	sûwarbûn	anger	0.569
intolerant	dilteng	anger	0.564
lawlessness	neheqiyê	anger	0.563
bluddy	berbiçav	anger	0.562
perdition	hilweşandin	anger	0.562
taunt	xemgîniyê	anger	0.562
grouchy	xemgîniyê	anger	0.562
torpedo	torpedo	anger	0.562
deceived	xapandin	anger	0.562
slander	derewî	anger	0.562
retards	retard	anger	0.562
bearish	hişk	anger	0.562
invade	bîrketin	anger	0.562
bellows	celeb	anger	0.562
beast	teba	anger	0.562
frightful	tirs	anger	0.562
derogatory	derogatory	anger	0.562
glare	ronîtûj	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	xemgîniyê	anger	0.562
traitor	xayin	anger	0.562
malign	xerîb	anger	0.562
wrangling	şewitandin	anger	0.562
dissension	berhevkirinê	anger	0.561
banshee	banshee	anger	0.561
shatter	perçiqandin	anger	0.561
conflagration	pevçûn	anger	0.561
jeopardize	xeter	anger	0.561
thief	diz	anger	0.561
rave	rave	anger	0.561
grating	çêdike	anger	0.561
devastating	hilweşandin	anger	0.561
idiots	miletan	anger	0.561
betrayal	xîyanet	anger	0.561
uncontrollable	naye kotrol	anger	0.561
fits	bistîne	anger	0.561
cross	xaç	anger	0.561
hurt	birîndar	anger	0.561
disturbed	tengahî	anger	0.559
subjugation	şewitandin	anger	0.559
stomped	stomped	anger	0.557
grab	bidestxistin	anger	0.557
ticked	qeçandin	anger	0.556
masochism	masochîzmê	anger	0.556
grievance	gilî	anger	0.556
defiance	serhişkî	anger	0.552
blackmail	xûkxwazî	anger	0.550
offensive	êriş	anger	0.549
decry	biryara	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	birîn	anger	0.547
punishment	cezakirin	anger	0.547
shrill	kişandin	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	aliyê tarî	anger	0.547
misery	belengazî	anger	0.547
frustrates	xemgîniyê	anger	0.547
disgraceful	riswa	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	bêhtir	anger	0.547
disparity	neheqiyê	anger	0.547
confine	kêmkirin	anger	0.547
firearms	agir	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	dijrabû	anger	0.547
deceive	xapandin	anger	0.547
stolen	dizîn	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	qenc kirin	anger	0.545
ruined	hilweşandin	anger	0.545
menace	zehmet	anger	0.545
humiliate	bêrûmetkirin	anger	0.545
tackle	çêdibe	anger	0.545
conspirator	dagirker	anger	0.545
foul	xemgîn	anger	0.545
antagonist	dijber	anger	0.545
resentful	sergêj	anger	0.545
prejudice	pêşbiryar	anger	0.545
adversary	neyar	anger	0.545
argument	bersivk	anger	0.545
skirmish	şermezar	anger	0.545
callous	zilam	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ketin	anger	0.544
robbery	şêl	anger	0.544
sting	pêvedan	anger	0.544
outcry	xerîb	anger	0.544
grumble	berbiçav	anger	0.544
irreconcilable	neheq	anger	0.543
resistance	berxwedan	anger	0.543
obstructive	asteng	anger	0.542
dismay	xemgîn bike	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	xirab	anger	0.536
ridicule	şikilî	anger	0.534
incendiary	şewitandin	anger	0.533
flares	flares	anger	0.532
degeneracy	derman	anger	0.531
confinement	girtîyî	anger	0.531
exacerbation	nerazîbûnê	anger	0.531
prejudicial	pêşniyar	anger	0.531
uprising	bilindahî	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	aqilsivik	anger	0.531
unbridled	nebaş	anger	0.531
allegation	îddîa	anger	0.531
communism	komûnîzm	anger	0.531
whip	qamçî	anger	0.531
intruder	binavket	anger	0.531
dispute	înkarkirin	anger	0.531
belittle	daxistin	anger	0.531
bigoted	bigire	anger	0.530
offender	sûcdar	anger	0.530
hassle	tengahiyê	anger	0.530
dissonance	tengahiyê	anger	0.530
unjust	neheq	anger	0.530
dictatorial	dîktatorî	anger	0.530
unjustifiable	bêberpisîyar	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	zirav	anger	0.530
tackled	têde kirin	anger	0.530
renegade	renegade	anger	0.529
hot	germ	anger	0.529
prison	girtîgeh	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	neheq	anger	0.529
suicide	xwekûştinî	anger	0.521
annoy	xûlîkirin	anger	0.520
leavemealone	min tenê bêlin	anger	0.517
idiotic	dînî	anger	0.516
distrust	nebawerî	anger	0.516
depravity	berbiçav	anger	0.516
cretins	creêrîn	anger	0.516
divorce	telaqdanî	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	vedixwe	anger	0.516
inimical	inimîkî	anger	0.516
duress	xemgîniyê	anger	0.516
disrespectful	bêhûrmet	anger	0.516
tortious	êşkence	anger	0.516
criticize	rexnekirin	anger	0.516
prisoner	girtî	anger	0.516
dishonest	nerast	anger	0.516
treason	îxanet	anger	0.516
victimized	mexdûr kirin	anger	0.515
bile	qulikê	anger	0.515
unkind	nedost	anger	0.515
unforgiving	naxwaze	anger	0.515
unleash	hilweşînin	anger	0.515
coercion	zorê	anger	0.515
scold	xeberdan	anger	0.515
chaos	serobinî	anger	0.515
grump	xemgîn	anger	0.515
roar	roar	anger	0.515
jerks	jerks	anger	0.515
poaching	helbestek	anger	0.515
hangry	darizandin	anger	0.515
pow	pow	anger	0.515
poachers	xerîb	anger	0.515
argumentation	argûmetê	anger	0.515
frustrating	xemgîniyê	anger	0.515
tussle	tûlle	anger	0.514
bane	bane	anger	0.511
accusation	gilî	anger	0.510
repudiation	repudiation	anger	0.510
enmity	dijmin	anger	0.510
banish	jicihkirin	anger	0.509
disfigured	veguherandin	anger	0.508
storm	bahoz	anger	0.507
shun	şewitandin	anger	0.500
suppression	zordariyê	anger	0.500
unruly	neheq	anger	0.500
intractable	balkêş	anger	0.500
ordeal	ode	anger	0.500
obstruct	pêşgirtin	anger	0.500
derogation	derogation	anger	0.500
fervor	xerîb	anger	0.500
foaming	şewitandin	anger	0.500
derision	derê	anger	0.500
animus	animus	anger	0.500
rejects	red dike	anger	0.500
bout	qirêj	anger	0.500
spear	tîr	anger	0.500
crazy	dîn	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	neadaletî	anger	0.500
banished	qedexekirin	anger	0.500
confined	sînor	anger	0.500
frenzied	frenzied	anger	0.500
dominate	hûkûmkirin	anger	0.500
disrupting	asteng kirin	anger	0.500
hammering	xemgîniyê	anger	0.500
fear	tirs	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	xemgîniyê	anger	0.500
brunt	dirûşm	anger	0.500
possessed	heye	anger	0.500
defy	bikişînin	anger	0.500
scoff	şaş	anger	0.500
patronising	parastin	anger	0.500
delusional	berbiçav	anger	0.500
malpractice	xerîb	anger	0.500
reject	refzkirin	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	dijwarî	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	derman	anger	0.491
sinful	gûnehkarî	anger	0.491
avarice	avarice	anger	0.490
oppress	bindestkirin	anger	0.490
disapproved	red kirin	anger	0.485
inhuman	nemirovî	anger	0.485
demand	xwestin	anger	0.485
abolish	rakirin	anger	0.485
anathema	anathema	anger	0.485
fricking	xistin	anger	0.485
complaint	gilî	anger	0.485
disservice	dijber	anger	0.485
smuggler	qaçaxçeyê	anger	0.485
revoke	betal bike	anger	0.485
infraction	veguhestinê	anger	0.485
claw	lep	anger	0.485
dissident	rêjîmê	anger	0.485
pervert	veguhestin	anger	0.485
incest	zewaca nav malbatê	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	asê	anger	0.485
usurp	meurp	anger	0.485
alienate	xerîbkirin	anger	0.485
avenger	avenger	anger	0.485
annoyed	şaş	anger	0.485
cutting	jêbirin	anger	0.485
disgrace	eyb	anger	0.484
deceit	şaşkirinî	anger	0.484
suspicious	nebawer	anger	0.484
thresh	tirsa	anger	0.484
sucker	xwarin	anger	0.484
strained	tengahî	anger	0.484
blame	sûc	anger	0.484
upheaval	pêdivî ye	anger	0.484
renounce	derxistin	anger	0.484
obnoxious	neheq	anger	0.484
restrain	şûndegirtin	anger	0.484
oust	hilkişînin	anger	0.484
litigious	birêvebirin	anger	0.484
rivalry	dijayetî	anger	0.484
penalty	ceza	anger	0.484
imprisoned	girtîgehê	anger	0.484
mocking	xerîb	anger	0.484
opposed	dijberî	anger	0.484
turbulence	serobinî	anger	0.483
pound	tan	anger	0.481
coldness	sar	anger	0.477
ungrateful	nankor	anger	0.472
battalion	balkalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	rehîn	anger	0.470
infidel	nebawer	anger	0.470
ram	beran	anger	0.470
accuser	sûcdar	anger	0.470
gall	gall	anger	0.470
subversion	berbiçav	anger	0.470
annoying	hêrsane	anger	0.470
adversity	tengahiyê	anger	0.470
dispossessed	vexwendin	anger	0.470
friction	hevketin	anger	0.470
jealous	beecok	anger	0.470
feudalism	feudalîzmê	anger	0.470
armament	çekkirî	anger	0.470
thump	stump	anger	0.469
complain	gilîkirin	anger	0.469
incite	lihevxistin	anger	0.469
steal	dizîn	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	gûhnedan	anger	0.469
injury	birîn	anger	0.469
simmer	hişyar	anger	0.469
distress	tûnebûnî	anger	0.469
