word	Greek-el	emotion	emotion-intensity-score
bloodshed	αιματοχυσία	anger	0.864
smite	χτυπώ	anger	0.862
brawl	φιλονικία	anger	0.861
assault	προσβολή	anger	0.859
malicious	κακεντρεχής	anger	0.859
strangle	στραγγαλίζω	anger	0.859
tirade	υβρεολόγιο	anger	0.859
explode	εκραγεί	anger	0.859
assassination	δολοφονία	anger	0.859
hostility	εχθρότητα	anger	0.859
loathsome	απεχθής	anger	0.857
hell	κόλαση	anger	0.853
murderous	φονικό	anger	0.853
attack	επίθεση	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	τρομοκρατία	anger	0.851
beating	χτύπημα	anger	0.849
desecration	βεβήλωση	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	προσβολή	anger	0.848
stab	μαχαιριά	anger	0.844
slaughter	σφαγή	anger	0.844
violent	βίαιος	anger	0.844
destroying	καταστρέφοντας	anger	0.844
abomination	βδέλυγμα	anger	0.844
tumultuous	ταραχώδης	anger	0.844
irate	ωργισμένος	anger	0.844
infuriate	εξαγριώ	anger	0.844
obliterate	σβήνω	anger	0.843
belligerent	εμπόλεμος	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	αντιπαθώ	anger	0.838
hostilities	εχθροπραξίες	anger	0.837
prick	πούτσος	anger	0.835
torture	βασανιστήριο	anger	0.833
rabid	φανατικός	anger	0.833
horrid	φρικαλέος	anger	0.833
rampage	τρέχω	anger	0.833
cruelty	σκληρότητα	anger	0.833
hate	μισώ	anger	0.828
demonic	δαιμονικός	anger	0.828
hating	μίσος	anger	0.828
satanic	σατανικός	anger	0.828
tyrannical	τυραννικός	anger	0.828
ragemode	ragemode	anger	0.828
despicable	ποταπός	anger	0.828
ruinous	ολέθριος	anger	0.825
condemn	καταδικάζω	anger	0.825
riots	ταραχές	anger	0.824
demolish	κατεδαφίζω	anger	0.824
angry	θυμωμένος	anger	0.824
extermination	εξόντωση	anger	0.824
dickhead	dickhead	anger	0.824
livid	πελιδνός	anger	0.821
madman	παραφρόντας	anger	0.820
vindictive	εκδικητικός	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	αγριότητα	anger	0.818
venomous	δηλητηριώδης	anger	0.818
threaten	απειλώ	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	τρομοκράτης	anger	0.818
abhor	απεχθάνομαι	anger	0.816
savage	άγριος	anger	0.814
atrocity	θηριωδία	anger	0.814
carnage	σφαγή	anger	0.814
berserk	έξω φρενών	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	κατάχρηση	anger	0.812
tyrant	τύραννος	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	τσαντισμένος	anger	0.812
vendetta	βεντέττα	anger	0.812
fierce	άγριος	anger	0.812
destroyer	αντιτορπιλικό	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	καπνίζοντας	anger	0.812
barbaric	βαρβαρικός	anger	0.812
anger	θυμός	anger	0.811
pieceofshit	κομμάτι	anger	0.810
slam	χτύπημα	anger	0.803
fights	παλεύει	anger	0.803
punched	διάτρητο	anger	0.803
bitch	σκύλα	anger	0.803
punching	διάτρηση	anger	0.803
homicide	ανθρωποκτονία	anger	0.803
destructive	καταστρεπτικός	anger	0.797
ruthless	αδίστακτος	anger	0.797
villainous	άθλιος	anger	0.797
slap	σφαλιάρα	anger	0.791
slaughterhouse	σφαγείο	anger	0.788
punishing	τιμωρία	anger	0.788
destroyed	καταστράφηκε από	anger	0.788
retaliatory	αντιπολιτευτικό	anger	0.788
riot	ταραχή	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	δυνατή φωνή	anger	0.788
growthefuckup	μεγαλώνουν	anger	0.788
diabolical	διαβολικός	anger	0.788
manslaughter	ανθρωποκτονία	anger	0.783
clash	σύγκρουση	anger	0.783
bloody	αιματηρός	anger	0.781
hellish	καταχθόνιος	anger	0.781
loath	ακούσιος	anger	0.781
detonation	πυροκρότηση	anger	0.781
quarrel	φιλονικία	anger	0.781
sinister	απαίσιος	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	κατηγορώντας	anger	0.779
treacherous	επίβουλος	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ανταποδίδω	anger	0.773
revulsion	μεταστροφή	anger	0.773
madder	madder	anger	0.773
horrific	φρικιαστικός	anger	0.773
scorn	περιφρόνηση	anger	0.769
deplorable	αξιοθρήνητος	anger	0.766
bomb	βόμβα	anger	0.766
anarchist	αναρχικός	anger	0.765
devastation	καταστροφή	anger	0.765
resent	φέρω βαρέως	anger	0.765
firestorm	πυρκαγιά	anger	0.765
contemptible	ποταπός	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	σκληρός	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	θανάσιμα	anger	0.758
smash	σπάσιμο	anger	0.758
rant	κομπάζω	anger	0.758
outburst	ξέσπασμα	anger	0.757
snarl	γρύλισμα	anger	0.754
profane	βέβηλος	anger	0.750
offend	προσβάλλω	anger	0.750
douchebags	douchebags	anger	0.750
growling	σφυρίζοντας	anger	0.750
stfu	stfu	anger	0.750
vulgarity	χυδαιότητα	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	τρελό	anger	0.750
despise	περιφρονώ	anger	0.750
horror	φρίκη	anger	0.750
aggravating	επιδεινώνοντας	anger	0.750
revolting	αποκρουστικός	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	απειλή	anger	0.742
erupt	εκρήγνυμαι	anger	0.742
screaming	σκούξιμο	anger	0.742
violence	βία	anger	0.742
horrible	φρικτός	anger	0.742
molestation	παρενόχληση	anger	0.742
bastards	κακό	anger	0.741
revenge	εκδίκηση	anger	0.738
catastrophe	καταστροφή	anger	0.735
menacing	απειλητικός	anger	0.735
demon	δαίμονας	anger	0.735
crushing	συντριπτικός	anger	0.735
damn	δεκάρα	anger	0.735
persecute	καταδιώκω	anger	0.734
argue	λογομαχώ	anger	0.734
flog	δέρνω	anger	0.734
revolt	επανάσταση	anger	0.734
thrash	κοπανίζω	anger	0.734
deplore	θρηνώ	anger	0.734
warfare	πόλεμος	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	σφοδρός	anger	0.734
riotous	ταραχώδης	anger	0.734
altercation	φιλονικία	anger	0.729
warlike	πολεμοχαρής	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	ανταρσία	anger	0.727
castrate	ευνουχίζω	anger	0.727
sabotage	σαμποτάζ	anger	0.727
malevolent	κακόβουλος	anger	0.721
strike	απεργία	anger	0.721
disaster	καταστροφή	anger	0.721
disastrous	καταστρεπτικός	anger	0.720
tumult	θόρυβος	anger	0.719
madden	τρελαίνομαι	anger	0.719
devil	διάβολος	anger	0.719
scream	κραυγή	anger	0.719
brutal	κτηνώδης	anger	0.719
treachery	προδοσία	anger	0.719
scorching	καψάλισμα	anger	0.719
vermin	ζωύφια	anger	0.719
arseholes	ανοιχτές τρύπες	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	επιδεινώνει	anger	0.719
spiteful	μοχθηρός	anger	0.719
slay	σκοτώνω	anger	0.719
disdain	περιφρονώ	anger	0.719
choke	πνιγομαι	anger	0.719
bastarding	κακοποίηση	anger	0.719
mangle	μάγγανο	anger	0.714
anarchism	αναρχισμός	anger	0.714
mutilation	ακρωτηριασμός	anger	0.714
criminal	εγκληματίας	anger	0.714
denunciation	καταγγελία	anger	0.713
punch	γροθιά	anger	0.713
crucifixion	σταύρωση	anger	0.712
virulence	τοξικότητα	anger	0.712
battled	μάχεται	anger	0.712
fatal	μοιραίος	anger	0.712
holocaust	ολοκαύτωμα	anger	0.712
blasphemous	βλάσφημος	anger	0.712
hurting	πληγώνει	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	διαταραχές	anger	0.706
atrocious	φρικτός	anger	0.706
evil	κακό	anger	0.706
irritated	ενοχλημένος	anger	0.706
assassin	δολοφόνος	anger	0.703
dicks	τα κορίτσια	anger	0.703
persecution	καταδίωξη	anger	0.703
slayer	φονιάς	anger	0.703
kidnap	απαγωγή	anger	0.703
scolding	κατσάδα	anger	0.703
intimidation	εκφοβισμός	anger	0.703
aggravated	επιδεινωθεί	anger	0.703
aggression	επίθεση	anger	0.702
armed	ένοπλος	anger	0.700
poison	δηλητήριο	anger	0.697
snarling	γκρινιάρης	anger	0.697
venom	δηλητήριο	anger	0.697
battle	μάχη	anger	0.697
disgruntled	θυμωμένος	anger	0.693
insidious	ύπουλος	anger	0.691
assailant	επιτιθεμένος	anger	0.691
resentment	μνησικακία	anger	0.691
lynch	θανατώ άνευ δίκης	anger	0.690
contemptuous	περιφρονητικός	anger	0.690
temper	ιδιοσυγκρασία	anger	0.688
imprisonment	φυλάκιση	anger	0.688
disparage	δυσφημώ	anger	0.688
bully	νταής	anger	0.688
terrible	τρομερός	anger	0.688
lunatic	θεοπάλαβος	anger	0.688
curse	κατάρα	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	κοίταξε	anger	0.688
domination	κυριαρχία	anger	0.688
mad	τρελός	anger	0.688
infanticide	βρεφοκτονία	anger	0.688
volatility	μεταβλητότητα	anger	0.687
eradication	εκρίζωση	anger	0.685
tantrum	θυμός	anger	0.682
devastate	ερημώνω	anger	0.682
eradicate	εκρίζω	anger	0.682
scoundrel	αχρείος	anger	0.682
aggressively	επιθετικά	anger	0.680
agitation	ανακίνηση	anger	0.680
dictatorship	δικτατορία	anger	0.676
irritates	ερεθίζει	anger	0.676
profanity	βλασφημία	anger	0.673
egregious	διαβόητος	anger	0.672
expletive	βλαστήμια	anger	0.672
nasty	δυσάρεστος	anger	0.672
shove	σπρώχνω	anger	0.672
shot	βολή	anger	0.672
harmful	επιβλαβής	anger	0.672
aggravation	επιδείνωση	anger	0.672
contempt	περιφρόνηση	anger	0.672
poisonous	δηλητηριώδης	anger	0.672
dastardly	ποταπός	anger	0.672
shoot	βλαστός	anger	0.672
corrupting	καταστρέφοντας	anger	0.672
condemnation	καταδίκη	anger	0.672
wreak	επιβάλλω	anger	0.672
crushed	συνθλίβονται	anger	0.672
cruelly	σκληρά	anger	0.672
crime	έγκλημα	anger	0.672
maniac	μανιακός	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	έκρηξη	anger	0.667
odious	απεχθής	anger	0.667
shooting	κυνήγι	anger	0.667
kick	λάκτισμα	anger	0.667
aggressive	επιθετικός	anger	0.667
combat	μάχη	anger	0.667
shout	κραυγή	anger	0.667
hit	Κτύπημα	anger	0.667
fight	πάλη	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	εχθρός	anger	0.667
irritable	ευερεθιστότητα	anger	0.667
punished	τιμωρούνται	anger	0.662
ambush	ενέδρα	anger	0.661
yell	κραυγή	anger	0.661
harass	παρενοχλούν	anger	0.659
malignant	κακόηθες	anger	0.656
aggressor	επιδρομέας	anger	0.656
antichrist	αντίχριστος	anger	0.656
gore	τριγωνικό τεμάχιο	anger	0.656
incense	θυμίαμα	anger	0.656
expel	αποβάλλω	anger	0.656
destruction	καταστροφή	anger	0.656
grudge	μνησικακία	anger	0.656
cranky	εκκεντρικός	anger	0.653
offended	προσβληθεί	anger	0.652
spank	δέρνω	anger	0.652
growl	γκρινιάζω	anger	0.652
insurrection	εξέγερση	anger	0.652
reprisal	αντεκδίκηση	anger	0.652
slave	δούλος	anger	0.652
denounce	καταγγέλω	anger	0.652
animosity	έχθρα	anger	0.652
insulting	προσβλητικός	anger	0.652
clashing	σύγκρουση	anger	0.652
growls	γκρινιάζει	anger	0.649
executioner	δήμιος	anger	0.644
twat	twat	anger	0.644
doomsday	ημέρα της κρίσης	anger	0.643
daemon	δαίμονας	anger	0.641
obscenity	αισχρότητα	anger	0.641
bombard	βομβαρδίζω	anger	0.641
spat	γκέτα	anger	0.641
havoc	πανωλεθρία	anger	0.641
feud	έχθρα	anger	0.641
grr	grr	anger	0.641
arson	εμπρησμός	anger	0.641
reprimand	αυστηρά επίπληξη	anger	0.641
expulsion	απέλαση	anger	0.641
inexcusable	αδικαιολόγητος	anger	0.641
accused	κατηγορούμενος	anger	0.641
indignant	αγανακτισμένος	anger	0.641
shackle	δεσμεύω	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	πληγή	anger	0.636
suicidal	αυτοκτονικός	anger	0.636
poisoned	δηλητηρίαση	anger	0.636
batter	ροπαλοφόρος	anger	0.636
kicking	κλοτσιές	anger	0.636
hanging	κρέμασμα	anger	0.636
spanking	ξύλισμα	anger	0.636
disgusting	αηδιαστικός	anger	0.636
combatant	πολεμιστής	anger	0.636
frustrated	απογοητευμένοι	anger	0.636
anarchy	αναρχία	anger	0.636
glaring	καταφανής	anger	0.636
inflict	επιβάλλω	anger	0.633
wrecked	σαραβαλιασμένος	anger	0.633
grievous	λυπηρός	anger	0.632
prosecute	καταδιώκω	anger	0.630
agitated	ταραγμένος	anger	0.630
cheat	απάτη	anger	0.630
swastika	σβάστικα	anger	0.627
defamatory	δυσφημηστικός	anger	0.625
suffocation	ασφυξία	anger	0.625
strife	διαμάχη	anger	0.625
provocation	πρόκληση	anger	0.625
injure	βλάπτω	anger	0.625
harassing	παρενοχλούν	anger	0.625
scourge	μάστιγα	anger	0.625
cursing	κατάρα	anger	0.625
betray	προδίδω	anger	0.625
indict	ενάγω	anger	0.625
raid	επιδρομή	anger	0.625
thundering	βροντή	anger	0.625
enslaved	υπόδουλος	anger	0.625
arsehole	αρένα	anger	0.624
insane	παράφρων	anger	0.621
fiend	δαίμονας	anger	0.621
irritate	εκνευρίζω	anger	0.621
convict	κατάδικος	anger	0.621
jerk	κόπανος	anger	0.621
theft	κλοπή	anger	0.621
retaliation	αντίποινα	anger	0.621
deprivation	στέρηση	anger	0.621
cussed	πεισματάρης	anger	0.619
turmoil	αναταραχή	anger	0.618
smack	σκαμπίλι	anger	0.615
retribution	τιμωρία	anger	0.614
twats	twats	anger	0.609
intolerable	ανυπόφορος	anger	0.609
rebellion	επανάσταση	anger	0.609
injurious	επιβλαβής	anger	0.609
oppressor	καταπιεστής	anger	0.609
slavery	σκλαβιά	anger	0.609
irritability	ευερέθιστο	anger	0.609
collision	σύγκρουση	anger	0.609
bitterly	πικρά	anger	0.609
gang	συμμορία	anger	0.609
antagonism	ανταγωνισμός	anger	0.609
battery	μπαταρία	anger	0.609
adverse	δυσμενής	anger	0.609
disgraced	ντροπή	anger	0.608
irritating	ερεθιστικό	anger	0.606
revolution	επανάσταση	anger	0.606
thug	φονεύς	anger	0.606
diatribe	λίβελλος	anger	0.606
bombardment	βομβαρδισμός	anger	0.606
blast	έκρηξη	anger	0.606
irks	ιρξ	anger	0.606
sickening	αηδής	anger	0.606
discrimination	διάκριση	anger	0.606
antagonistic	ανταγωνιστικός	anger	0.606
ranting	κουνώντας	anger	0.606
asshole	κώλος	anger	0.606
frustrate	αγανακτώ	anger	0.604
manipulation	χειρισμός	anger	0.603
tension	ένταση	anger	0.603
insult	προσβολή	anger	0.603
bigot	φανατικός	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	βλαβερός	anger	0.603
oppression	καταπίεση	anger	0.603
disgust	αηδία	anger	0.602
spite	πείσμα	anger	0.600
intrusive	παρεμβαίνων με αυθάδεια	anger	0.598
harshness	τραχύτητα	anger	0.597
slur	μομφή	anger	0.596
wretch	φουκαράς	anger	0.594
inferno	κόλαση	anger	0.594
invasion	εισβολή	anger	0.594
puncture	παρακέντηση	anger	0.594
miserable	άθλιος	anger	0.594
assail	προσβάλλω	anger	0.594
storming	άλωση εξ εφόδου	anger	0.594
casualty	ατύχημα	anger	0.594
bitterness	πικρία	anger	0.594
morbidity	νοσηρότητα	anger	0.594
tempest	θύελλα	anger	0.594
consternation	κατάπληξη	anger	0.592
depraved	διεφθαρμένος	anger	0.591
raving	έξαλλος	anger	0.591
guillotine	καρμανιόλα	anger	0.591
guilty	ένοχος	anger	0.591
immoral	ανήθικος	anger	0.591
forcibly	βίαια	anger	0.591
overpowering	συντριπτικός	anger	0.591
accursed	αθεόφοβος	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	δύστροπος	anger	0.588
invader	επιδρομέας	anger	0.588
scare	φόβος	anger	0.588
screwed	βιδωμένο	anger	0.588
indignation	αγανάκτηση	anger	0.587
jealousy	ζήλια	anger	0.587
vexed	ερεθισμένος	anger	0.586
confront	αντιμετωπίζω	anger	0.582
brute	κτήνος	anger	0.581
throttle	γκάζι	anger	0.579
wreck	ναυάγιο	anger	0.578
revolver	περίστροφο	anger	0.578
slut	πόρνη	anger	0.578
yousuck	yousuck	anger	0.578
damage	βλάβη	anger	0.578
butcher	σφάζω	anger	0.578
conflict	σύγκρουση	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	εγκληματικότητα	anger	0.578
bickering	διαμαρτυρία	anger	0.578
pillage	λεηλασία	anger	0.578
blaze	φλόγα	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	πραξικόπημα	anger	0.578
contentious	φιλόνικος	anger	0.578
incarceration	φυλάκιση	anger	0.578
defiant	προκλητικός	anger	0.578
provoking	προκλητικός	anger	0.578
lash	μαστίγιο	anger	0.578
cancer	Καρκίνος	anger	0.577
frustration	εκνευρισμός	anger	0.576
gory	αιματοβαμμένος	anger	0.576
alienation	αποξένωση	anger	0.576
discord	διχόνοια	anger	0.576
disturbance	διατάραξη	anger	0.576
grope	ψηλαφώ	anger	0.576
condescension	συγκατάβαση	anger	0.576
pernicious	ολέθριος	anger	0.576
blasphemy	βλασφημία	anger	0.576
discriminate	κανω διακρισεις	anger	0.576
chaotic	χαώδης	anger	0.576
gun	όπλο	anger	0.576
standoff	απόσβεση	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	χλεύη	anger	0.574
lunacy	παραφροσύνη	anger	0.574
oppressive	καταθλιπτικός	anger	0.574
death	θάνατος	anger	0.574
jab	ένεση	anger	0.574
cursed	καταραμένος	anger	0.574
scandalous	σκανδαλώδης	anger	0.574
monstrosity	τερατούργημα	anger	0.574
shit	σκατά	anger	0.573
disparaging	δυσφημιστικός	anger	0.571
slash	εγκοπή	anger	0.571
unfair	άδικος	anger	0.571
gallows	αγχόνη	anger	0.570
escalate	κλιμακώνω	anger	0.569
intolerant	μισαλλόδοξος	anger	0.564
lawlessness	ανομία	anger	0.563
bluddy	ασταθής	anger	0.562
perdition	απώλεια	anger	0.562
taunt	χλευασμός	anger	0.562
grouchy	γκρινιάρης	anger	0.562
torpedo	τορπίλλη	anger	0.562
deceived	εξαπάτησε	anger	0.562
slander	συκοφαντία	anger	0.562
retards	καθυστερεί	anger	0.562
bearish	αρκούδες	anger	0.562
invade	εισβαλλει	anger	0.562
bellows	φυσερό	anger	0.562
beast	θηρίο	anger	0.562
frightful	τρομερός	anger	0.562
derogatory	υποτιμητικός	anger	0.562
glare	αντηλιά	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	φοβερός	anger	0.562
traitor	προδότης	anger	0.562
malign	κακόβουλος	anger	0.562
wrangling	διαμάχη	anger	0.562
dissension	διαφωνία	anger	0.561
banshee	banshee	anger	0.561
shatter	θρυμματίζω	anger	0.561
conflagration	πυρκαγιά	anger	0.561
jeopardize	διακινδυνεύω	anger	0.561
thief	κλέφτης	anger	0.561
rave	ουρλιάζω	anger	0.561
grating	κιγκλίδωμα	anger	0.561
devastating	καταστροφικά	anger	0.561
idiots	ηλίθιοι	anger	0.561
betrayal	προδοσία	anger	0.561
uncontrollable	αχαλίνωτος	anger	0.561
fits	ταιριάζει	anger	0.561
cross	σταυρός	anger	0.561
hurt	πλήγμα	anger	0.561
disturbed	διαταραχθεί	anger	0.559
subjugation	υποδούλωση	anger	0.559
stomped	έσβησε	anger	0.557
grab	αρπάζω	anger	0.557
ticked	σημειώσατε	anger	0.556
masochism	μαζοχισμός	anger	0.556
grievance	παράπονο	anger	0.556
defiance	περιφρόνηση	anger	0.552
blackmail	εκβιασμός	anger	0.550
offensive	προσβλητικός	anger	0.549
decry	κατηγορώ	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	παράβαση	anger	0.547
punishment	τιμωρία	anger	0.547
shrill	διαπεραστικός	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	σκοτεινή πλευρά	anger	0.547
misery	μιζέρια	anger	0.547
frustrates	απογοητεύει	anger	0.547
disgraceful	αισχρός	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	καταθλιπτικός	anger	0.547
disparity	ανισότητα	anger	0.547
confine	περιορίζω	anger	0.547
firearms	πυροβόλα όπλα	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	έξω φρενών	anger	0.547
rebel	επαναστάτης	anger	0.547
deceive	εξαπατώ	anger	0.547
stolen	κλαπεί	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	θερμός	anger	0.545
ruined	ξεπεσμένος	anger	0.545
menace	απειλή	anger	0.545
humiliate	εξευτελίζω	anger	0.545
tackle	ανυψωτήρ	anger	0.545
conspirator	συνωμότης	anger	0.545
foul	βρωμερός	anger	0.545
antagonist	ανταγωνιστής	anger	0.545
resentful	μνησίκακος	anger	0.545
prejudice	προκατάληψη	anger	0.545
adversary	αντίπαλος	anger	0.545
argument	διαφωνία	anger	0.545
skirmish	αψιμαχία	anger	0.545
callous	τυλώδης	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	εμπλοκή	anger	0.544
robbery	ληστεία	anger	0.544
sting	τσίμπημα	anger	0.544
outcry	κατακραυγή	anger	0.544
grumble	γογγυσμός	anger	0.544
irreconcilable	ασυμβίβαστος	anger	0.543
resistance	αντίσταση	anger	0.543
obstructive	κωλυσιεργικός	anger	0.542
dismay	φόβος	anger	0.540
mob	όχλος	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	κακία	anger	0.536
ridicule	γελοιοποίηση	anger	0.534
incendiary	εμπρηστικός	anger	0.533
flares	φωτοβολίδες	anger	0.532
degeneracy	εκφυλισμό	anger	0.531
confinement	περιορισμός	anger	0.531
exacerbation	παρόξυνση	anger	0.531
prejudicial	επιζήμιος	anger	0.531
uprising	εξέγερση	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ριψοκίνδυνος	anger	0.531
unbridled	αχαλίνωτος	anger	0.531
allegation	ισχυρισμός	anger	0.531
communism	κομμουνισμός	anger	0.531
whip	μαστίγιο	anger	0.531
intruder	παρείσακτος	anger	0.531
dispute	διαμάχη	anger	0.531
belittle	υποτιμώ	anger	0.531
bigoted	φανατικός	anger	0.530
offender	παραβάτης	anger	0.530
hassle	ταλαιπωρία	anger	0.530
dissonance	παραφωνία	anger	0.530
unjust	άδικος	anger	0.530
dictatorial	δικτατορικός	anger	0.530
unjustifiable	αδικαιολόγητος	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	διαστροφή	anger	0.530
tackled	αντιμετωπιστεί	anger	0.530
renegade	αποστάτης	anger	0.529
hot	ζεστό	anger	0.529
prison	φυλακή	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	παράπτωμα	anger	0.529
suicide	αυτοκτονία	anger	0.521
annoy	ενοχλώ	anger	0.520
leavemealone	άσε με ήσυχο	anger	0.517
idiotic	βλακώδης	anger	0.516
distrust	δυσπιστία	anger	0.516
depravity	διαφθορά	anger	0.516
cretins	κρετίνες	anger	0.516
divorce	διαζύγιο	anger	0.516
broil	ψήνω στη σχάρα	anger	0.516
grrr	grrr	anger	0.516
venting	εξαερισμού	anger	0.516
inimical	εχθρικός	anger	0.516
duress	απειλή	anger	0.516
disrespectful	ασεβής	anger	0.516
tortious	επιθετική	anger	0.516
criticize	κριτικάρω	anger	0.516
prisoner	φυλακισμένος	anger	0.516
dishonest	ανέντιμος	anger	0.516
treason	προδοσία	anger	0.516
victimized	θύματα	anger	0.515
bile	χολή	anger	0.515
unkind	αφιλοφρών	anger	0.515
unforgiving	ανελέητος	anger	0.515
unleash	απολύω	anger	0.515
coercion	εξαναγκασμός	anger	0.515
scold	μαλώνω	anger	0.515
chaos	χάος	anger	0.515
grump	grump	anger	0.515
roar	βρυχηθμός	anger	0.515
jerks	τσιμπήματα	anger	0.515
poaching	λαθροθηρία	anger	0.515
hangry	χέρι	anger	0.515
pow	pow	anger	0.515
poachers	λαθροκυνηγοί	anger	0.515
argumentation	συζήτηση	anger	0.515
frustrating	απογοητευτικό	anger	0.515
tussle	συμπλοκή	anger	0.514
bane	όλεθρος	anger	0.511
accusation	κατηγορία	anger	0.510
repudiation	αποκήρυξη	anger	0.510
enmity	εχθρότητα	anger	0.510
banish	εξορίζω	anger	0.509
disfigured	παραμορφωμένο	anger	0.508
storm	καταιγίδα	anger	0.507
shun	αποφεύγω	anger	0.500
suppression	κατάπνιξη	anger	0.500
unruly	άτακτος	anger	0.500
intractable	ατίθασος	anger	0.500
ordeal	δοκιμασία	anger	0.500
obstruct	κωλυσιεργώ	anger	0.500
derogation	προσβολή	anger	0.500
fervor	θέρμη	anger	0.500
foaming	αφρισμός	anger	0.500
derision	χλευασμός	anger	0.500
animus	σκοπός	anger	0.500
rejects	απορρίπτει	anger	0.500
bout	πάλη	anger	0.500
spear	δόρυ	anger	0.500
crazy	τρελός	anger	0.500
brazen	ορειχάλκινος	anger	0.500
antithesis	αντίθεση	anger	0.500
injustice	αδικία	anger	0.500
banished	εκτοπισμένοι	anger	0.500
