word	Indonesian-id	emotion	emotion-intensity-score
shitday	NO TRANSLATION	anger	0.727
mutiny	pemberontakan	anger	0.727
castrate	mengebiri	anger	0.727
sabotage	sabotase	anger	0.727
malevolent	jahat	anger	0.721
strike	menyerang	anger	0.721
disaster	bencana	anger	0.721
disastrous	bencana	anger	0.720
tumult	keributan	anger	0.719
madden	menjengkelkan	anger	0.719
devil	setan	anger	0.719
scream	berteriak	anger	0.719
brutal	brutal	anger	0.719
treachery	pengkhianatan	anger	0.719
scorching	terik	anger	0.719
vermin	hama	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	Tai kuda	anger	0.719
aggravates	memperburuk	anger	0.719
spiteful	pendendam	anger	0.719
slay	membunuh	anger	0.719
disdain	penghinaan	anger	0.719
choke	tersedak	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mengoyakkan	anger	0.714
anarchism	anarkisme	anger	0.714
mutilation	mutilasi	anger	0.714
criminal	pidana	anger	0.714
denunciation	pengaduan	anger	0.713
punch	meninju	anger	0.713
crucifixion	penyaliban	anger	0.712
virulence	keracunan	anger	0.712
battled	berjuang	anger	0.712
fatal	fatal	anger	0.712
holocaust	bencana	anger	0.712
blasphemous	menghujat	anger	0.712
hurting	sakit hati	anger	0.712
dumbasses	tolol	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	gila	anger	0.706
atrocious	mengerikan	anger	0.706
evil	jahat	anger	0.706
irritated	jengkel	anger	0.706
assassin	pembunuh	anger	0.703
dicks	penis	anger	0.703
persecution	penganiayaan	anger	0.703
slayer	pembunuh	anger	0.703
kidnap	menculik	anger	0.703
scolding	omelan	anger	0.703
intimidation	intimidasi	anger	0.703
aggravated	diperburuk	anger	0.703
aggression	agresi	anger	0.702
armed	bersenjata	anger	0.700
poison	meracuni	anger	0.697
snarling	gertakan	anger	0.697
venom	bisa ular	anger	0.697
battle	pertarungan	anger	0.697
disgruntled	tdk puas	anger	0.693
insidious	berbahaya	anger	0.691
assailant	penyerang	anger	0.691
resentment	kebencian	anger	0.691
lynch	lynch	anger	0.690
contemptuous	sombong	anger	0.690
temper	melunakkan	anger	0.688
imprisonment	hukuman penjara	anger	0.688
disparage	meremehkan	anger	0.688
bully	menggertak	anger	0.688
terrible	buruk	anger	0.688
lunatic	gila	anger	0.688
curse	kutukan	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	kesal	anger	0.688
domination	dominasi	anger	0.688
mad	gila	anger	0.688
infanticide	pembunuhan anak	anger	0.688
volatility	keriangan	anger	0.687
eradication	pemberantasan	anger	0.685
tantrum	mengamuk	anger	0.682
devastate	menghancurkan	anger	0.682
eradicate	membasmi	anger	0.682
scoundrel	bajingan	anger	0.682
aggressively	secara agresif	anger	0.680
agitation	agitasi	anger	0.680
dictatorship	kediktatoran	anger	0.676
irritates	mengiritasi	anger	0.676
profanity	senonoh	anger	0.673
egregious	mengerikan	anger	0.672
expletive	kata lontaran	anger	0.672
nasty	menjijikan	anger	0.672
shove	mendorong	anger	0.672
shot	tembakan	anger	0.672
harmful	berbahaya	anger	0.672
aggravation	kejengkelan	anger	0.672
contempt	penghinaan	anger	0.672
poisonous	beracun	anger	0.672
dastardly	pengecut	anger	0.672
shoot	menembak	anger	0.672
corrupting	merusak	anger	0.672
condemnation	penghukuman	anger	0.672
wreak	melampiaskan	anger	0.672
crushed	hancur	anger	0.672
cruelly	dengan kejam	anger	0.672
crime	kejahatan	anger	0.672
maniac	gila	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	letusan	anger	0.667
odious	menjijikkan	anger	0.667
shooting	penembakan	anger	0.667
kick	tendangan	anger	0.667
aggressive	agresif	anger	0.667
combat	tempur	anger	0.667
shout	berteriak	anger	0.667
hit	memukul	anger	0.667
fight	pertarungan	anger	0.667
cutthroat	kejam	anger	0.667
enemy	musuh	anger	0.667
irritable	rongseng	anger	0.667
punished	dihukum	anger	0.662
ambush	penyergapan	anger	0.661
yell	berteriak	anger	0.661
harass	mengganggu	anger	0.659
malignant	ganas	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antikristus	anger	0.656
gore	menanduk	anger	0.656
incense	dupa	anger	0.656
expel	mengeluarkan	anger	0.656
destruction	penghancuran	anger	0.656
grudge	dendam	anger	0.656
cranky	ngambek	anger	0.653
offended	tersinggung	anger	0.652
spank	tamparan	anger	0.652
growl	menggeram	anger	0.652
insurrection	pemberontakan	anger	0.652
reprisal	pembalasan	anger	0.652
slave	budak	anger	0.652
denounce	mencela	anger	0.652
animosity	kebencian	anger	0.652
insulting	menghina	anger	0.652
clashing	bentrok	anger	0.652
growls	menggeram	anger	0.649
executioner	algojo	anger	0.644
twat	twat	anger	0.644
doomsday	kiamat	anger	0.643
daemon	daemon	anger	0.641
obscenity	kecabulan	anger	0.641
bombard	membombardir	anger	0.641
spat	bertengkar	anger	0.641
havoc	malapetaka	anger	0.641
feud	bermusuhan	anger	0.641
grr	grr	anger	0.641
arson	pembakaran	anger	0.641
reprimand	teguran	anger	0.641
expulsion	pengusiran	anger	0.641
inexcusable	tidak bisa dimaafkan	anger	0.641
accused	dituduh	anger	0.641
indignant	marah	anger	0.641
shackle	belenggu	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	luka	anger	0.636
suicidal	bunuh diri	anger	0.636
poisoned	keracunan	anger	0.636
batter	adonan	anger	0.636
kicking	sepakan	anger	0.636
hanging	gantung	anger	0.636
spanking	memukul	anger	0.636
disgusting	menjijikkan	anger	0.636
combatant	pejuang	anger	0.636
frustrated	frustrasi	anger	0.636
anarchy	anarki	anger	0.636
glaring	menyolok	anger	0.636
inflict	menimbulkan	anger	0.633
wrecked	hancur	anger	0.633
grievous	menyedihkan	anger	0.632
prosecute	menuntut	anger	0.630
agitated	gelisah	anger	0.630
cheat	curang	anger	0.630
swastika	tanda Nazi	anger	0.627
defamatory	memfitnah	anger	0.625
suffocation	mati lemas	anger	0.625
strife	perselisihan	anger	0.625
provocation	provokasi	anger	0.625
injure	melukai	anger	0.625
harassing	melecehkan	anger	0.625
scourge	momok	anger	0.625
cursing	kutuk	anger	0.625
betray	mengkhianati	anger	0.625
indict	mendakwa	anger	0.625
raid	serangan	anger	0.625
thundering	gemuruh	anger	0.625
enslaved	diperbudak	anger	0.625
arsehole	arsehole	anger	0.624
insane	gila	anger	0.621
fiend	iblis	anger	0.621
irritate	mengganggu	anger	0.621
convict	menghukum	anger	0.621
jerk	menyentakkan	anger	0.621
theft	pencurian	anger	0.621
retaliation	pembalasan	anger	0.621
deprivation	perampasan	anger	0.621
cussed	degil	anger	0.619
turmoil	kekacauan	anger	0.618
smack	memukul	anger	0.615
retribution	retribusi	anger	0.614
twats	twats	anger	0.609
intolerable	tak tertahankan	anger	0.609
rebellion	pemberontakan	anger	0.609
injurious	berbahaya	anger	0.609
oppressor	penindas	anger	0.609
slavery	perbudakan	anger	0.609
irritability	sifat lekas marah	anger	0.609
collision	tabrakan	anger	0.609
bitterly	pahit	anger	0.609
gang	gang	anger	0.609
antagonism	antagonisme	anger	0.609
battery	baterai	anger	0.609
adverse	merugikan	anger	0.609
disgraced	ternoda	anger	0.608
irritating	menjengkelkan	anger	0.606
revolution	revolusi	anger	0.606
thug	penjahat	anger	0.606
diatribe	cacian	anger	0.606
bombardment	pengeboman	anger	0.606
blast	ledakan	anger	0.606
irks	irks	anger	0.606
sickening	memuakkan	anger	0.606
discrimination	diskriminasi	anger	0.606
antagonistic	bermusuhan	anger	0.606
ranting	mengomel	anger	0.606
asshole	brengsek	anger	0.606
frustrate	menggagalkan	anger	0.604
manipulation	manipulasi	anger	0.603
tension	ketegangan	anger	0.603
insult	menghina	anger	0.603
bigot	fanatik	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	menyakitkan	anger	0.603
oppression	penindasan	anger	0.603
disgust	menjijikkan	anger	0.602
spite	dengki	anger	0.600
intrusive	intrusif	anger	0.598
harshness	kekerasan	anger	0.597
slur	cercaan	anger	0.596
wretch	orang celaka	anger	0.594
inferno	neraka	anger	0.594
invasion	invasi	anger	0.594
puncture	tusukan	anger	0.594
miserable	sedih	anger	0.594
assail	menyerang	anger	0.594
storming	menyerbu	anger	0.594
casualty	korban jiwa	anger	0.594
bitterness	kepahitan	anger	0.594
morbidity	morbiditas	anger	0.594
tempest	badai	anger	0.594
consternation	kekuatiran	anger	0.592
depraved	bejat	anger	0.591
raving	ocehan	anger	0.591
guillotine	guillotine	anger	0.591
guilty	bersalah	anger	0.591
immoral	asusila	anger	0.591
forcibly	secara paksa	anger	0.591
overpowering	sangat kuat	anger	0.591
accursed	terkutuk	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	bandel	anger	0.588
invader	penyerbu	anger	0.588
scare	ketakutan	anger	0.588
screwed	kacau	anger	0.588
indignation	kemarahan	anger	0.587
jealousy	kecemburuan	anger	0.587
vexed	kesal	anger	0.586
confront	menghadapi	anger	0.582
brute	kasar	anger	0.581
throttle	mencekik	anger	0.579
wreck	kecelakaan	anger	0.578
revolver	pistol	anger	0.578
slut	pelacur	anger	0.578
yousuck	kamu Payah	anger	0.578
damage	kerusakan	anger	0.578
butcher	tukang daging	anger	0.578
conflict	konflik	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitas	anger	0.578
bickering	pertengkaran	anger	0.578
pillage	menjarah	anger	0.578
blaze	api	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kup	anger	0.578
contentious	kontensius	anger	0.578
incarceration	penahanan	anger	0.578
defiant	menantang	anger	0.578
provoking	memprovokasi	anger	0.578
lash	bulu mata	anger	0.578
cancer	kanker	anger	0.577
frustration	frustrasi	anger	0.576
gory	berdarah	anger	0.576
alienation	pengasingan	anger	0.576
discord	perselisihan	anger	0.576
disturbance	gangguan	anger	0.576
grope	merogoh	anger	0.576
condescension	sikap merendahkan	anger	0.576
pernicious	jahat	anger	0.576
blasphemy	penghujatan	anger	0.576
discriminate	membedakan	anger	0.576
chaotic	semrawut	anger	0.576
gun	senjata	anger	0.576
standoff	kebuntuan	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	mengejek	anger	0.574
lunacy	kegilaan	anger	0.574
oppressive	opresif	anger	0.574
death	kematian	anger	0.574
jab	tusukan	anger	0.574
cursed	terkutuk	anger	0.574
scandalous	memalukan	anger	0.574
monstrosity	monstrositas	anger	0.574
shit	kotoran	anger	0.573
disparaging	meremehkan	anger	0.571
slash	memotong	anger	0.571
unfair	tidak adil	anger	0.571
gallows	tiang gantungan	anger	0.570
escalate	meningkatkan	anger	0.569
intolerant	intoleran	anger	0.564
lawlessness	pelanggaran hukum	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kebinasaan	anger	0.562
taunt	mengejek	anger	0.562
grouchy	bersungut-sungut	anger	0.562
torpedo	torpedo	anger	0.562
deceived	tertipu	anger	0.562
slander	fitnah	anger	0.562
retards	memperlambat	anger	0.562
bearish	kasar	anger	0.562
invade	menyerbu	anger	0.562
bellows	puputan	anger	0.562
beast	binatang	anger	0.562
frightful	mengerikan	anger	0.562
derogatory	menghina	anger	0.562
glare	silau	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	mengerikan	anger	0.562
traitor	pengkhianat	anger	0.562
malign	memfitnah	anger	0.562
wrangling	perselisihan	anger	0.562
dissension	pertikaian	anger	0.561
banshee	banshee	anger	0.561
shatter	pecah	anger	0.561
conflagration	kebakaran besar	anger	0.561
jeopardize	membahayakan	anger	0.561
thief	pencuri	anger	0.561
rave	sambutan hangat	anger	0.561
grating	kisi	anger	0.561
devastating	menghancurkan	anger	0.561
idiots	idiot	anger	0.561
betrayal	pengkhianatan	anger	0.561
uncontrollable	tidak terkendali	anger	0.561
fits	cocok	anger	0.561
cross	menyeberang	anger	0.561
hurt	menyakiti	anger	0.561
disturbed	terganggu	anger	0.559
subjugation	penaklukan	anger	0.559
stomped	menginjak	anger	0.557
grab	mengambil	anger	0.557
ticked	dicentang	anger	0.556
masochism	kesenangan karena menderita	anger	0.556
grievance	keluhan	anger	0.556
defiance	tantangan	anger	0.552
blackmail	pemerasan	anger	0.550
offensive	serangan	anger	0.549
decry	mengutuk	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	pelanggaran	anger	0.547
punishment	hukuman	anger	0.547
shrill	melengking	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	sisi gelap	anger	0.547
misery	penderitaan	anger	0.547
frustrates	membuat frustrasi	anger	0.547
disgraceful	memalukan	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	sombong	anger	0.547
disparity	perbedaan	anger	0.547
confine	membatasi	anger	0.547
firearms	senjata api	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	tidak masuk akal	anger	0.547
rebel	pemberontak	anger	0.547
deceive	menipu	anger	0.547
stolen	dicuri	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	banci	anger	0.545
heated	dipanaskan	anger	0.545
ruined	rusak	anger	0.545
menace	ancaman	anger	0.545
humiliate	menghina	anger	0.545
tackle	mengatasi	anger	0.545
conspirator	konspirator	anger	0.545
foul	busuk	anger	0.545
antagonist	antagonis	anger	0.545
resentful	marah	anger	0.545
prejudice	prasangka	anger	0.545
adversary	musuh	anger	0.545
argument	argumen	anger	0.545
skirmish	pertempuran kecil	anger	0.545
callous	tidak berperasaan	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	terjerat	anger	0.544
robbery	perampokan	anger	0.544
sting	menyengat	anger	0.544
outcry	teriakan	anger	0.544
grumble	ngomel	anger	0.544
irreconcilable	tidak dapat didamaikan	anger	0.543
resistance	perlawanan	anger	0.543
obstructive	obstruktif	anger	0.542
dismay	kecemasan	anger	0.540
mob	massa	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	kejahatan	anger	0.536
ridicule	ejekan	anger	0.534
incendiary	pembakar	anger	0.533
flares	flare	anger	0.532
degeneracy	degenerasi	anger	0.531
confinement	kurungan	anger	0.531
exacerbation	eksaserbasi	anger	0.531
prejudicial	prasangka	anger	0.531
uprising	pemberontakan	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	sembrono	anger	0.531
unbridled	tak terkekang	anger	0.531
allegation	dugaan	anger	0.531
communism	komunisme	anger	0.531
whip	cambuk	anger	0.531
intruder	pengacau	anger	0.531
dispute	perselisihan	anger	0.531
belittle	meremehkan	anger	0.531
bigoted	fanatik	anger	0.530
offender	pelanggar	anger	0.530
hassle	merepotkan	anger	0.530
dissonance	disonansi	anger	0.530
unjust	tidak adil	anger	0.530
dictatorial	diktatoris	anger	0.530
unjustifiable	tidak bisa dibenarkan	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	pemutarbalikan	anger	0.530
tackled	ditangani	anger	0.530
renegade	murtad	anger	0.529
hot	panas	anger	0.529
prison	penjara	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	pelanggaran	anger	0.529
suicide	bunuh diri	anger	0.521
annoy	mengganggu	anger	0.520
leavemealone	tinggalkan aku sendiri	anger	0.517
idiotic	bodoh	anger	0.516
distrust	ketidakpercayaan	anger	0.516
depravity	kebejatan	anger	0.516
cretins	kretin	anger	0.516
divorce	perceraian	anger	0.516
broil	memanggang	anger	0.516
grrr	grrr	anger	0.516
venting	ventilasi	anger	0.516
inimical	bermusuhan	anger	0.516
duress	paksaan	anger	0.516
disrespectful	tidak sopan	anger	0.516
tortious	menyiksa	anger	0.516
criticize	mengkritik	anger	0.516
prisoner	tawanan	anger	0.516
dishonest	tidak jujur	anger	0.516
treason	pengkhianatan	anger	0.516
victimized	menjadi korban	anger	0.515
bile	empedu	anger	0.515
unkind	kasar	anger	0.515
unforgiving	tak kenal ampun	anger	0.515
unleash	melancarkan	anger	0.515
coercion	paksaan	anger	0.515
scold	memarahi	anger	0.515
chaos	kekacauan	anger	0.515
grump	grump	anger	0.515
roar	mengaum	anger	0.515
jerks	tersentak	anger	0.515
poaching	perburuan	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	pemburu	anger	0.515
argumentation	argumentasi	anger	0.515
frustrating	membuat frustrasi	anger	0.515
tussle	pergumulan	anger	0.514
bane	kutukan	anger	0.511
accusation	tuduhan	anger	0.510
repudiation	penolakan	anger	0.510
enmity	permusuhan	anger	0.510
banish	membuang	anger	0.509
disfigured	dirusak	anger	0.508
storm	badai	anger	0.507
shun	menghindari	anger	0.500
suppression	penekanan	anger	0.500
unruly	tegar	anger	0.500
intractable	keras kepala	anger	0.500
ordeal	siksaan	anger	0.500
obstruct	menghalangi	anger	0.500
derogation	penghinaan	anger	0.500
fervor	semangat	anger	0.500
foaming	berbusa	anger	0.500
derision	ejekan	anger	0.500
animus	kebencian	anger	0.500
rejects	menolak	anger	0.500
bout	pertandingan	anger	0.500
spear	tombak	anger	0.500
crazy	gila	anger	0.500
brazen	kurang ajar	anger	0.500
antithesis	antitesis	anger	0.500
injustice	ketidakadilan	anger	0.500
banished	dibuang	anger	0.500
confined	terbatas	anger	0.500
frenzied	hiruk pikuk	anger	0.500
dominate	mendominasi	anger	0.500
disrupting	mengganggu	anger	0.500
hammering	tempa	anger	0.500
fear	takut	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	derita	anger	0.500
brunt	brunt	anger	0.500
possessed	kerasukan	anger	0.500
defy	menentang	anger	0.500
scoff	mencemoohkan	anger	0.500
patronising	menggurui	anger	0.500
delusional	berkhayal	anger	0.500
malpractice	malpraktik	anger	0.500
reject	menolak	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kekerasan	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	kegilaan	anger	0.491
sinful	penuh dosa	anger	0.491
avarice	ketamakan	anger	0.490
oppress	menindas	anger	0.490
disapproved	tidak disetujui	anger	0.485
inhuman	tidak manusiawi	anger	0.485
demand	permintaan	anger	0.485
abolish	menghapuskan	anger	0.485
anathema	laknat	anger	0.485
fricking	fricking	anger	0.485
complaint	keluhan	anger	0.485
disservice	tindakan merugikan	anger	0.485
smuggler	penyelundup	anger	0.485
revoke	mencabut	anger	0.485
infraction	pelanggaran	anger	0.485
claw	cakar	anger	0.485
dissident	pembangkang	anger	0.485
pervert	menyesatkan	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	tidak taat	anger	0.485
usurp	merebut	anger	0.485
alienate	menjauhkan	anger	0.485
avenger	pembalas	anger	0.485
annoyed	kesal	anger	0.485
cutting	pemotongan	anger	0.485
disgrace	aib	anger	0.484
deceit	penipuan	anger	0.484
suspicious	mencurigakan	anger	0.484
thresh	mengirik	anger	0.484
sucker	memperdaya	anger	0.484
strained	tegang	anger	0.484
blame	menyalahkan	anger	0.484
upheaval	pergolakan	anger	0.484
renounce	meninggalkan	anger	0.484
obnoxious	buruk	anger	0.484
restrain	menahan	anger	0.484
oust	mengusir	anger	0.484
litigious	suka beperkara	anger	0.484
rivalry	persaingan	anger	0.484
penalty	penalti	anger	0.484
imprisoned	dipenjara	anger	0.484
mocking	mengejek	anger	0.484
opposed	ditentang	anger	0.484
turbulence	pergolakan	anger	0.483
pound	pound	anger	0.481
coldness	kedinginan	anger	0.477
ungrateful	tidak bersyukur	anger	0.472
battalion	batalyon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	sandera	anger	0.470
infidel	kafir	anger	0.470
ram	ram	anger	0.470
accuser	penuduh	anger	0.470
gall	empedu	anger	0.470
subversion	subversi	anger	0.470
annoying	menyebalkan	anger	0.470
adversity	kesulitan	anger	0.470
dispossessed	direbut	anger	0.470
friction	gesekan	anger	0.470
jealous	cemburu	anger	0.470
feudalism	feodalisme	anger	0.470
armament	persenjataan	anger	0.470
thump	berdebar	anger	0.469
complain	mengeluh	anger	0.469
incite	menghasut	anger	0.469
steal	mencuri	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	tidak taat	anger	0.469
injury	cedera	anger	0.469
simmer	membara	anger	0.469
distress	kesulitan	anger	0.469
insanity	penyakit jiwa	anger	0.469
selfish	egois	anger	0.469
huff	huff	anger	0.469
