word	Ukrainian-uk	emotion	emotion-intensity-score
curse	прокляття	anger	0.688
makesmemad	робить	anger	0.688
peeved	пив	anger	0.688
domination	панування	anger	0.688
mad	божевільний	anger	0.688
infanticide	дітонародження	anger	0.688
volatility	волатильність	anger	0.687
eradication	викорінення	anger	0.685
tantrum	тантум	anger	0.682
devastate	спустошити	anger	0.682
eradicate	викорінити	anger	0.682
scoundrel	негідник	anger	0.682
aggressively	агресивно	anger	0.680
agitation	агітація	anger	0.680
dictatorship	диктатура	anger	0.676
irritates	дратує	anger	0.676
profanity	богохульство	anger	0.673
egregious	кричущий	anger	0.672
expletive	вибагливий	anger	0.672
nasty	неприємний	anger	0.672
shove	штовхати	anger	0.672
shot	вистрілений	anger	0.672
harmful	шкідливий	anger	0.672
aggravation	загострення	anger	0.672
contempt	презирство	anger	0.672
poisonous	отруйний	anger	0.672
dastardly	зненацька	anger	0.672
shoot	стріляти	anger	0.672
corrupting	розбещення	anger	0.672
condemnation	засудження	anger	0.672
wreak	розбити	anger	0.672
crushed	дроблений	anger	0.672
cruelly	жорстоко	anger	0.672
crime	злочин	anger	0.672
maniac	маніяк	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	виверження	anger	0.667
odious	одіозний	anger	0.667
shooting	стрілянина	anger	0.667
kick	удар	anger	0.667
aggressive	агресивний	anger	0.667
combat	бій	anger	0.667
shout	кричати	anger	0.667
hit	хіт	anger	0.667
fight	бій	anger	0.667
cutthroat	скрип	anger	0.667
enemy	ворог	anger	0.667
irritable	дратівливий	anger	0.667
punished	покараний	anger	0.662
ambush	засідка	anger	0.661
yell	крикнути	anger	0.661
harass	переслідувати	anger	0.659
malignant	злоякісний	anger	0.656
aggressor	агресор	anger	0.656
antichrist	антихрист	anger	0.656
gore	гора	anger	0.656
incense	ладан	anger	0.656
expel	вигнати	anger	0.656
destruction	руйнування	anger	0.656
grudge	зраджувати	anger	0.656
cranky	кричущий	anger	0.653
offended	ображений	anger	0.652
spank	шпанка	anger	0.652
growl	гуркіти	anger	0.652
insurrection	повстання	anger	0.652
reprisal	репресія	anger	0.652
slave	раб	anger	0.652
denounce	заперечувати	anger	0.652
animosity	ворожнеча	anger	0.652
insulting	образливо	anger	0.652
clashing	зіткнення	anger	0.652
growls	ранкує	anger	0.649
executioner	палач	anger	0.644
twat	twat	anger	0.644
doomsday	кінець світу	anger	0.643
daemon	демон	anger	0.641
obscenity	непристойність	anger	0.641
bombard	бомбардувати	anger	0.641
spat	сплю	anger	0.641
havoc	хаос	anger	0.641
feud	ворога	anger	0.641
grr	гр	anger	0.641
arson	підпал	anger	0.641
reprimand	догана	anger	0.641
expulsion	вигнання	anger	0.641
inexcusable	непростим	anger	0.641
accused	обвинувачений	anger	0.641
indignant	обурений	anger	0.641
shackle	кайдани	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	рана	anger	0.636
suicidal	самогубство	anger	0.636
poisoned	отруєний	anger	0.636
batter	тісто	anger	0.636
kicking	ногами	anger	0.636
hanging	висять	anger	0.636
spanking	шльопання	anger	0.636
disgusting	огидно	anger	0.636
combatant	комбатант	anger	0.636
frustrated	розчарований	anger	0.636
anarchy	анархія	anger	0.636
glaring	глянувши	anger	0.636
inflict	заподіяти	anger	0.633
wrecked	зруйнований	anger	0.633
grievous	тяжкий	anger	0.632
prosecute	переслідувати	anger	0.630
agitated	збуджений	anger	0.630
cheat	обдурити	anger	0.630
swastika	свастика	anger	0.627
defamatory	наклепницькі	anger	0.625
suffocation	задушення	anger	0.625
strife	сварки	anger	0.625
provocation	провокація	anger	0.625
injure	пошкодити	anger	0.625
harassing	переслідування	anger	0.625
scourge	бич	anger	0.625
cursing	прокляття	anger	0.625
betray	зрадити	anger	0.625
indict	обвинувальний висновок	anger	0.625
raid	наліт	anger	0.625
thundering	грім	anger	0.625
enslaved	поневолений	anger	0.625
arsehole	arsehole	anger	0.624
insane	божевільний	anger	0.621
fiend	диявол	anger	0.621
irritate	дратувати	anger	0.621
convict	засуджений	anger	0.621
jerk	ривка	anger	0.621
theft	крадіжка	anger	0.621
retaliation	відплата	anger	0.621
deprivation	позбавлення	anger	0.621
cussed	cussed	anger	0.619
turmoil	сум'яття	anger	0.618
smack	присмак	anger	0.615
retribution	відплата	anger	0.614
twats	twats	anger	0.609
intolerable	нестерпний	anger	0.609
rebellion	бунт	anger	0.609
injurious	шкідливий	anger	0.609
oppressor	гнобитель	anger	0.609
slavery	рабство	anger	0.609
irritability	дратівливість	anger	0.609
collision	зіткнення	anger	0.609
bitterly	гірко	anger	0.609
gang	банда	anger	0.609
antagonism	антагонізм	anger	0.609
battery	акумулятор	anger	0.609
adverse	несприятливий	anger	0.609
disgraced	опальний	anger	0.608
irritating	дратує	anger	0.606
revolution	революція	anger	0.606
thug	бандит	anger	0.606
diatribe	діатрибра	anger	0.606
bombardment	бомбардування	anger	0.606
blast	вибух	anger	0.606
irks	іркс	anger	0.606
sickening	боляче	anger	0.606
discrimination	дискримінація	anger	0.606
antagonistic	антагоністичний	anger	0.606
ranting	рантування	anger	0.606
asshole	мудак	anger	0.606
frustrate	розчарувати	anger	0.604
manipulation	маніпуляції	anger	0.603
tension	напруженість	anger	0.603
insult	образа	anger	0.603
bigot	фанатик	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	шкідливий	anger	0.603
oppression	гноблення	anger	0.603
disgust	відраза	anger	0.602
spite	не дивлячись	anger	0.600
intrusive	нав'язливий	anger	0.598
harshness	жорстокість	anger	0.597
slur	шурувати	anger	0.596
wretch	нещасний	anger	0.594
inferno	пекло	anger	0.594
invasion	вторгнення	anger	0.594
puncture	прокол	anger	0.594
miserable	жалюгідний	anger	0.594
assail	напасти	anger	0.594
storming	штурм	anger	0.594
casualty	аварія	anger	0.594
bitterness	гіркота	anger	0.594
morbidity	захворюваність	anger	0.594
tempest	буря	anger	0.594
consternation	жах	anger	0.592
depraved	розбещений	anger	0.591
raving	мимоволі	anger	0.591
guillotine	гільйотина	anger	0.591
guilty	винний	anger	0.591
immoral	аморальний	anger	0.591
forcibly	насильно	anger	0.591
overpowering	насилуючи	anger	0.591
accursed	проклятий	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	непокірний	anger	0.588
invader	загарбник	anger	0.588
scare	налякати	anger	0.588
screwed	прикручений	anger	0.588
indignation	обурення	anger	0.587
jealousy	ревнощі	anger	0.587
vexed	здивований	anger	0.586
confront	протистояти	anger	0.582
brute	грубий	anger	0.581
throttle	дросель	anger	0.579
wreck	крах	anger	0.578
revolver	револьвер	anger	0.578
slut	повія	anger	0.578
yousuck	yousuck	anger	0.578
damage	шкода	anger	0.578
butcher	м'ясник	anger	0.578
conflict	конфлікт	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	злочинність	anger	0.578
bickering	сперечання	anger	0.578
pillage	грабіж	anger	0.578
blaze	палаюче	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	переворот	anger	0.578
contentious	суперечливий	anger	0.578
incarceration	ув'язнення	anger	0.578
defiant	виклик	anger	0.578
provoking	провокувати	anger	0.578
lash	набряк	anger	0.578
cancer	рак	anger	0.577
frustration	розчарування	anger	0.576
gory	гори	anger	0.576
alienation	відчуження	anger	0.576
discord	розбрат	anger	0.576
disturbance	обурення	anger	0.576
grope	витягнути	anger	0.576
condescension	поблажливість	anger	0.576
pernicious	згубний	anger	0.576
blasphemy	богохульство	anger	0.576
discriminate	дискримінувати	anger	0.576
chaotic	хаотичний	anger	0.576
gun	пістолет	anger	0.576
standoff	протистояння	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	сміятися	anger	0.574
lunacy	лукавство	anger	0.574
oppressive	гнітючий	anger	0.574
death	смерть	anger	0.574
jab	джаб	anger	0.574
cursed	проклятий	anger	0.574
scandalous	скандальний	anger	0.574
monstrosity	чудовиськость	anger	0.574
shit	дерьмо	anger	0.573
disparaging	зневажливо	anger	0.571
slash	коса риса	anger	0.571
unfair	несправедливо	anger	0.571
gallows	шибениця	anger	0.570
escalate	ескалація	anger	0.569
intolerant	нетерпимий	anger	0.564
lawlessness	беззаконня	anger	0.563
bluddy	блудді	anger	0.562
perdition	загибель	anger	0.562
taunt	засмучений	anger	0.562
grouchy	смішний	anger	0.562
torpedo	торпеда	anger	0.562
deceived	обдурений	anger	0.562
slander	наклеп	anger	0.562
retards	затримує	anger	0.562
bearish	ведмежий	anger	0.562
invade	вторгнутися	anger	0.562
bellows	сильфони	anger	0.562
beast	звір	anger	0.562
frightful	страшний	anger	0.562
derogatory	зневажливий	anger	0.562
glare	блиск	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	страшний	anger	0.562
traitor	зрадник	anger	0.562
malign	злобний	anger	0.562
wrangling	сперечаючись	anger	0.562
dissension	розбрат	anger	0.561
banshee	банши	anger	0.561
shatter	розбити	anger	0.561
conflagration	пожежа	anger	0.561
jeopardize	поставити під загрозу	anger	0.561
thief	злодій	anger	0.561
rave	рейв	anger	0.561
grating	решітка	anger	0.561
devastating	руйнівні	anger	0.561
idiots	ідіоти	anger	0.561
betrayal	зрада	anger	0.561
uncontrollable	неконтрольований	anger	0.561
fits	підходить	anger	0.561
cross	хрест	anger	0.561
hurt	боляче	anger	0.561
disturbed	засмучений	anger	0.559
subjugation	підпорядкування	anger	0.559
stomped	зупинений	anger	0.557
grab	захопити	anger	0.557
ticked	позначився	anger	0.556
masochism	мазохізм	anger	0.556
grievance	скарги	anger	0.556
defiance	невдоволення	anger	0.552
blackmail	шантаж	anger	0.550
offensive	наступальний	anger	0.549
decry	загубити	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	порушення	anger	0.547
punishment	покарання	anger	0.547
shrill	пронизливий	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	темна сторона	anger	0.547
misery	страждання	anger	0.547
frustrates	розчаровує	anger	0.547
disgraceful	ганебний	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	владний	anger	0.547
disparity	невідповідність	anger	0.547
confine	обмежити	anger	0.547
firearms	вогнепальна зброя	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	нерозумний	anger	0.547
rebel	повстання	anger	0.547
deceive	обманювати	anger	0.547
stolen	вкрадений	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	нагрівається	anger	0.545
ruined	зруйнований	anger	0.545
menace	загроза	anger	0.545
humiliate	принижує	anger	0.545
tackle	вирішувати	anger	0.545
conspirator	змовник	anger	0.545
foul	фол	anger	0.545
antagonist	антагоніст	anger	0.545
resentful	обурений	anger	0.545
prejudice	упередження	anger	0.545
adversary	супротивник	anger	0.545
argument	аргумент	anger	0.545
skirmish	перестрілка	anger	0.545
callous	нахабний	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	заплутався	anger	0.544
robbery	грабіж	anger	0.544
sting	жало	anger	0.544
outcry	виклик	anger	0.544
grumble	грити	anger	0.544
irreconcilable	непримиренний	anger	0.543
resistance	опір	anger	0.543
obstructive	обструктивний	anger	0.542
dismay	обурення	anger	0.540
mob	моб	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	погана позиція	anger	0.536
ridicule	посміховисько	anger	0.534
incendiary	запальний	anger	0.533
flares	спалаху	anger	0.532
degeneracy	виродження	anger	0.531
confinement	ув'язнення	anger	0.531
exacerbation	загострення	anger	0.531
prejudicial	шкідливий	anger	0.531
uprising	повстання	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	безрозсудний	anger	0.531
unbridled	неприборканий	anger	0.531
allegation	звинувачення	anger	0.531
communism	комунізм	anger	0.531
whip	кнут	anger	0.531
intruder	вторгнення	anger	0.531
dispute	суперечка	anger	0.531
belittle	принижувати	anger	0.531
bigoted	фанатичний	anger	0.530
offender	правопорушник	anger	0.530
hassle	клопоту	anger	0.530
dissonance	дисонанс	anger	0.530
unjust	несправедливий	anger	0.530
dictatorial	диктаторський	anger	0.530
unjustifiable	невиправдано	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	збочення	anger	0.530
tackled	вирішено	anger	0.530
renegade	ренегат	anger	0.529
hot	гарячий	anger	0.529
prison	в'язниця	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	провина	anger	0.529
suicide	самогубство	anger	0.521
annoy	дратувати	anger	0.520
leavemealone	відпустіть	anger	0.517
idiotic	ідіотський	anger	0.516
distrust	недовіра	anger	0.516
depravity	розбещення	anger	0.516
cretins	кретини	anger	0.516
divorce	розлучення	anger	0.516
broil	обсмажити	anger	0.516
grrr	grrr	anger	0.516
venting	вентиляція	anger	0.516
inimical	неприємний	anger	0.516
duress	примус	anger	0.516
disrespectful	нешанобливий	anger	0.516
tortious	злобний	anger	0.516
criticize	критикувати	anger	0.516
prisoner	в'язень	anger	0.516
dishonest	нечесний	anger	0.516
treason	зрада	anger	0.516
victimized	жертви	anger	0.515
bile	жовч	anger	0.515
unkind	недобре	anger	0.515
unforgiving	нещасливий	anger	0.515
unleash	розв'язати	anger	0.515
coercion	примус	anger	0.515
scold	руйнувати	anger	0.515
chaos	хаос	anger	0.515
grump	засмучений	anger	0.515
roar	рев	anger	0.515
jerks	ривки	anger	0.515
poaching	браконьєрство	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	Поу	anger	0.515
poachers	браконьєри	anger	0.515
argumentation	аргументація	anger	0.515
frustrating	розчарування	anger	0.515
tussle	суєта	anger	0.514
bane	бідний	anger	0.511
accusation	звинувачення	anger	0.510
repudiation	відмова	anger	0.510
enmity	ворожнеча	anger	0.510
banish	вигнати	anger	0.509
disfigured	викривлений	anger	0.508
storm	шторм	anger	0.507
shun	відмовлятися	anger	0.500
suppression	придушення	anger	0.500
unruly	неслухняний	anger	0.500
intractable	нерозв'язний	anger	0.500
ordeal	випробування	anger	0.500
obstruct	перешкоджати	anger	0.500
derogation	відступ	anger	0.500
fervor	запал	anger	0.500
foaming	спінювання	anger	0.500
derision	зніяковість	anger	0.500
animus	анімус	anger	0.500
rejects	відкидає	anger	0.500
bout	бій	anger	0.500
spear	спис	anger	0.500
crazy	божевільний	anger	0.500
brazen	нахабний	anger	0.500
antithesis	антитеза	anger	0.500
injustice	несправедливість	anger	0.500
banished	вигнаний	anger	0.500
confined	обмежений	anger	0.500
frenzied	божевільний	anger	0.500
dominate	домінувати	anger	0.500
disrupting	руйнуючи	anger	0.500
hammering	молотком	anger	0.500
fear	страх	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	страждання	anger	0.500
brunt	тяга	anger	0.500
possessed	володів	anger	0.500
defy	сперечатися	anger	0.500
scoff	знущатися	anger	0.500
patronising	заступництво	anger	0.500
delusional	бредовий	anger	0.500
malpractice	зловживання службовим становищем	anger	0.500
reject	відкинути	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	в'язкість	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	божевілля	anger	0.491
sinful	гріховний	anger	0.491
avarice	жахливість	anger	0.490
oppress	гнобити	anger	0.490
disapproved	не схвалено	anger	0.485
inhuman	нелюдський	anger	0.485
demand	попит	anger	0.485
abolish	скасувати	anger	0.485
anathema	анатема	anger	0.485
fricking	фрік	anger	0.485
complaint	скарга	anger	0.485
disservice	неслухняність	anger	0.485
smuggler	контрабандист	anger	0.485
revoke	відкликати	anger	0.485
infraction	правопорушення	anger	0.485
claw	коготь	anger	0.485
dissident	дисидент	anger	0.485
pervert	збоченець	anger	0.485
incest	інцест	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	неслухняні	anger	0.485
usurp	узурп	anger	0.485
alienate	відчужувати	anger	0.485
avenger	месник	anger	0.485
annoyed	дратує	anger	0.485
cutting	різання	anger	0.485
disgrace	ганьба	anger	0.484
deceit	обман	anger	0.484
suspicious	підозрілий	anger	0.484
thresh	перекинути	anger	0.484
sucker	присоска	anger	0.484
strained	напружений	anger	0.484
blame	винен	anger	0.484
upheaval	переворот	anger	0.484
renounce	відмовитись	anger	0.484
obnoxious	неприємний	anger	0.484
restrain	стримувати	anger	0.484
oust	витікати	anger	0.484
litigious	суперечливий	anger	0.484
rivalry	суперництво	anger	0.484
penalty	штраф	anger	0.484
imprisoned	в'язниця	anger	0.484
mocking	глузування	anger	0.484
opposed	виступав проти	anger	0.484
turbulence	турбулентність	anger	0.483
pound	фунт	anger	0.481
coldness	холодність	anger	0.477
ungrateful	невдячний	anger	0.472
battalion	батальйон	anger	0.471
stoopid	стовпчик	anger	0.471
hostage	заручники	anger	0.470
infidel	невірний	anger	0.470
ram	ОЗП	anger	0.470
accuser	обвинувачений	anger	0.470
gall	жовч	anger	0.470
subversion	підрив	anger	0.470
annoying	дратує	anger	0.470
adversity	несприятливість	anger	0.470
dispossessed	позбавлений права	anger	0.470
friction	тертя	anger	0.470
jealous	ревнивий	anger	0.470
feudalism	феодалізм	anger	0.470
armament	озброєння	anger	0.470
thump	стукати	anger	0.469
complain	скаржись	anger	0.469
incite	підбурювати	anger	0.469
steal	вкрасти	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	не підкорятися	anger	0.469
injury	травми	anger	0.469
simmer	кип'ятити	anger	0.469
distress	страждання	anger	0.469
insanity	божевілля	anger	0.469
selfish	егоїстичний	anger	0.469
huff	хафф	anger	0.469
selfishness	егоїзм	anger	0.469
backoff	відступаємо	anger	0.469
plunder	грабунок	anger	0.469
stifled	задушливий	anger	0.469
subversive	підривна	anger	0.469
exile	заслання	anger	0.469
offense	злочин	anger	0.469
objection	заперечення	anger	0.469
recidivism	рецидив	anger	0.469
smother	задушити	anger	0.469
perpetrator	злочинець	anger	0.469
dislike	не подобається	anger	0.469
disruption	зрив	anger	0.469
intolerance	нетерпимість	anger	0.469
opposition	опозиція	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	кружка	anger	0.467
agony	агонія	anger	0.465
arrogant	зарозумілий	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	вентиляція	anger	0.456
