word	Chinese (Traditional)-zh-TW	emotion	emotion-intensity-score
ferocity	惡	anger	0.818
venomous	有毒	anger	0.818
threaten	威脅	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	恐怖分子	anger	0.818
abhor	痛恨	anger	0.816
savage	野蠻人	anger	0.814
atrocity	暴行	anger	0.814
carnage	大屠殺	anger	0.814
berserk	發狂的	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	濫用	anger	0.812
tyrant	暴君	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	惹惱了	anger	0.812
vendetta	仇殺	anger	0.812
fierce	激烈	anger	0.812
destroyer	驅逐艦	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	發煙	anger	0.812
barbaric	野蠻	anger	0.812
anger	憤怒	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	猛撞	anger	0.803
fights	打架	anger	0.803
punched	衝	anger	0.803
bitch	婊子	anger	0.803
punching	沖孔	anger	0.803
homicide	殺人	anger	0.803
destructive	有害	anger	0.797
ruthless	無情	anger	0.797
villainous	流氓	anger	0.797
slap	拍擊	anger	0.791
slaughterhouse	屠宰場	anger	0.788
punishing	懲罰	anger	0.788
destroyed	銷毀	anger	0.788
retaliatory	報復性	anger	0.788
riot	暴動	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	大呼小叫	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	毒辣	anger	0.788
manslaughter	誤殺	anger	0.783
clash	衝突	anger	0.783
bloody	血腥	anger	0.781
hellish	地獄般	anger	0.781
loath	厭惡	anger	0.781
detonation	引爆	anger	0.781
quarrel	吵架	anger	0.781
sinister	險惡	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	指責	anger	0.779
treacherous	奸詐	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	報復	anger	0.773
revulsion	厭惡	anger	0.773
madder	藘	anger	0.773
horrific	可怕的	anger	0.773
scorn	輕蔑	anger	0.769
deplorable	可悲	anger	0.766
bomb	炸彈	anger	0.766
anarchist	無政府主義者	anger	0.765
devastation	毀壞	anger	0.765
resent	憤恨	anger	0.765
firestorm	風暴	anger	0.765
contemptible	可鄙	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	殘忍	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	致命	anger	0.758
smash	粉碎	anger	0.758
rant	胡言亂語	anger	0.758
outburst	突發	anger	0.757
snarl	搞亂	anger	0.754
profane	粗俗	anger	0.750
offend	得罪	anger	0.750
douchebags	douchebags	anger	0.750
growling	咆哮	anger	0.750
stfu	STFU	anger	0.750
vulgarity	俗氣	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	瘋狂	anger	0.750
despise	討厭	anger	0.750
horror	恐怖	anger	0.750
aggravating	惱人的	anger	0.750
revolting	令人作嘔	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	威脅	anger	0.742
erupt	爆發	anger	0.742
screaming	尖叫	anger	0.742
violence	暴力	anger	0.742
horrible	可怕	anger	0.742
molestation	性騷擾	anger	0.742
bastards	混蛋	anger	0.741
revenge	復仇	anger	0.738
catastrophe	災難	anger	0.735
menacing	來勢洶洶	anger	0.735
demon	惡魔	anger	0.735
crushing	破碎	anger	0.735
damn	該死的	anger	0.735
persecute	迫害	anger	0.734
argue	爭論	anger	0.734
flog	鞭打	anger	0.734
revolt	反叛	anger	0.734
thrash	鞭打	anger	0.734
deplore	痛惜	anger	0.734
warfare	戰	anger	0.734
fedup	受夠了	anger	0.734
vehement	慷慨	anger	0.734
riotous	放蕩的	anger	0.734
altercation	爭吵	anger	0.729
warlike	好戰	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	兵變	anger	0.727
castrate	閹割	anger	0.727
sabotage	破壞	anger	0.727
malevolent	壞心腸的	anger	0.721
strike	罷工	anger	0.721
disaster	災害	anger	0.721
disastrous	慘重	anger	0.720
tumult	騷動	anger	0.719
madden	發怒	anger	0.719
devil	魔鬼	anger	0.719
scream	驚叫	anger	0.719
brutal	野蠻	anger	0.719
treachery	背信棄義	anger	0.719
scorching	酷熱	anger	0.719
vermin	害蟲	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	胡說	anger	0.719
aggravates	加重	anger	0.719
spiteful	刻毒	anger	0.719
slay	誅戮	anger	0.719
disdain	蔑視	anger	0.719
choke	嗆	anger	0.719
bastarding	bastarding	anger	0.719
mangle	撕裂	anger	0.714
anarchism	無政府主義	anger	0.714
mutilation	斷肢	anger	0.714
criminal	刑事	anger	0.714
denunciation	解約	anger	0.713
punch	沖床	anger	0.713
crucifixion	受難	anger	0.712
virulence	毒力	anger	0.712
battled	作戰	anger	0.712
fatal	致命	anger	0.712
holocaust	大屠殺	anger	0.712
blasphemous	褻瀆神明	anger	0.712
hurting	傷害	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	發瘋	anger	0.706
atrocious	窮凶極惡	anger	0.706
evil	邪惡	anger	0.706
irritated	惱怒的	anger	0.706
assassin	刺客	anger	0.703
dicks	迪克斯	anger	0.703
persecution	迫害	anger	0.703
slayer	殺手	anger	0.703
kidnap	綁架	anger	0.703
scolding	痛罵	anger	0.703
intimidation	恐嚇	anger	0.703
aggravated	加重	anger	0.703
aggression	侵略	anger	0.702
armed	武裝	anger	0.700
poison	毒	anger	0.697
snarling	狺	anger	0.697
venom	毒液	anger	0.697
battle	戰鬥	anger	0.697
disgruntled	不滿	anger	0.693
insidious	陰險	anger	0.691
assailant	攻擊者	anger	0.691
resentment	怨恨	anger	0.691
lynch	林奇	anger	0.690
contemptuous	輕視	anger	0.690
temper	脾氣	anger	0.688
imprisonment	徒刑	anger	0.688
disparage	貶損	anger	0.688
bully	欺負	anger	0.688
terrible	可怕	anger	0.688
lunatic	瘋子	anger	0.688
curse	詛咒	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	忿怒的	anger	0.688
domination	統治	anger	0.688
mad	狂	anger	0.688
infanticide	女嬰	anger	0.688
volatility	揮發性	anger	0.687
eradication	根除	anger	0.685
tantrum	發脾氣	anger	0.682
devastate	蹂躪	anger	0.682
eradicate	根除	anger	0.682
scoundrel	惡棍	anger	0.682
aggressively	積極	anger	0.680
agitation	攪動	anger	0.680
dictatorship	專政	anger	0.676
irritates	刺激	anger	0.676
profanity	褻瀆	anger	0.673
egregious	過分的	anger	0.672
expletive	髒話	anger	0.672
nasty	討厭	anger	0.672
shove	推	anger	0.672
shot	射擊	anger	0.672
harmful	有害	anger	0.672
aggravation	加重	anger	0.672
contempt	鄙視	anger	0.672
poisonous	有毒	anger	0.672
dastardly	卑鄙	anger	0.672
shoot	射擊	anger	0.672
corrupting	腐敗	anger	0.672
condemnation	非難	anger	0.672
wreak	發洩	anger	0.672
crushed	碎	anger	0.672
cruelly	殘酷	anger	0.672
crime	犯罪	anger	0.672
maniac	瘋子	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	噴發	anger	0.667
odious	可惡	anger	0.667
shooting	射擊	anger	0.667
kick	踢	anger	0.667
aggressive	侵略性	anger	0.667
combat	戰鬥	anger	0.667
shout	喊	anger	0.667
hit	擊中	anger	0.667
fight	鬥爭	anger	0.667
cutthroat	殺手	anger	0.667
enemy	敵人	anger	0.667
irritable	急躁	anger	0.667
punished	處罰	anger	0.662
ambush	伏擊	anger	0.661
yell	叫喊	anger	0.661
harass	騷擾	anger	0.659
malignant	惡性	anger	0.656
aggressor	侵略者	anger	0.656
antichrist	敵基督	anger	0.656
gore	血塊	anger	0.656
incense	香	anger	0.656
expel	驅逐	anger	0.656
destruction	毀壞	anger	0.656
grudge	怨恨	anger	0.656
cranky	胡思亂想的	anger	0.653
offended	生氣	anger	0.652
spank	一巴掌	anger	0.652
growl	吠聲	anger	0.652
insurrection	起義	anger	0.652
reprisal	報復	anger	0.652
slave	奴隸	anger	0.652
denounce	聲討	anger	0.652
animosity	敵意	anger	0.652
insulting	侮辱	anger	0.652
clashing	衝突	anger	0.652
growls	咆哮	anger	0.649
executioner	劊子手	anger	0.644
twat	娘們	anger	0.644
doomsday	末日	anger	0.643
daemon	守護進程	anger	0.641
obscenity	意淫	anger	0.641
bombard	轟擊	anger	0.641
spat	爭吵	anger	0.641
havoc	浩劫	anger	0.641
feud	世仇	anger	0.641
grr	GRR	anger	0.641
arson	縱火	anger	0.641
reprimand	懲戒	anger	0.641
expulsion	開除	anger	0.641
inexcusable	不可原諒	anger	0.641
accused	被告	anger	0.641
indignant	憤怒	anger	0.641
shackle	鐵鍊	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	傷口	anger	0.636
suicidal	自殺	anger	0.636
poisoned	中毒	anger	0.636
batter	麵糊	anger	0.636
kicking	踢	anger	0.636
hanging	掛	anger	0.636
spanking	拍擊	anger	0.636
disgusting	討厭	anger	0.636
combatant	戰鬥	anger	0.636
frustrated	受挫	anger	0.636
anarchy	無政府狀態	anger	0.636
glaring	刺眼	anger	0.636
inflict	造成	anger	0.633
wrecked	失事	anger	0.633
grievous	慘重	anger	0.632
prosecute	起訴	anger	0.630
agitated	激動	anger	0.630
cheat	作弊	anger	0.630
swastika	卍	anger	0.627
defamatory	誹謗的	anger	0.625
suffocation	窒息	anger	0.625
strife	爭吵	anger	0.625
provocation	挑釁	anger	0.625
injure	損傷	anger	0.625
harassing	騷擾	anger	0.625
scourge	災害	anger	0.625
cursing	咒罵	anger	0.625
betray	背叛	anger	0.625
indict	起訴	anger	0.625
raid	襲擊	anger	0.625
thundering	雷鳴的	anger	0.625
enslaved	奴役	anger	0.625
arsehole	混蛋	anger	0.624
insane	瘋	anger	0.621
fiend	惡魔	anger	0.621
irritate	刺激	anger	0.621
convict	定罪	anger	0.621
jerk	混蛋	anger	0.621
theft	盜竊	anger	0.621
retaliation	報復	anger	0.621
deprivation	剝奪	anger	0.621
cussed	倔強	anger	0.619
turmoil	動盪	anger	0.618
smack	拍擊	anger	0.615
retribution	報應	anger	0.614
twats	twats	anger	0.609
intolerable	無法忍受	anger	0.609
rebellion	暴動	anger	0.609
injurious	害	anger	0.609
oppressor	暴君	anger	0.609
slavery	奴隸制度	anger	0.609
irritability	易怒	anger	0.609
collision	碰撞	anger	0.609
bitterly	痛	anger	0.609
gang	結夥	anger	0.609
antagonism	對抗	anger	0.609
battery	電池	anger	0.609
adverse	不利的	anger	0.609
disgraced	灰頭土臉	anger	0.608
irritating	刺激性	anger	0.606
revolution	革命	anger	0.606
thug	暴徒	anger	0.606
diatribe	誹謗	anger	0.606
bombardment	轟擊	anger	0.606
blast	爆破	anger	0.606
irks	很厭煩	anger	0.606
sickening	令人作嘔	anger	0.606
discrimination	區別	anger	0.606
antagonistic	對抗性的	anger	0.606
ranting	咆哮	anger	0.606
asshole	混蛋	anger	0.606
frustrate	阻撓	anger	0.604
manipulation	操作	anger	0.603
tension	張力	anger	0.603
insult	侮辱	anger	0.603
bigot	獨斷論者	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	傷人	anger	0.603
oppression	壓迫	anger	0.603
disgust	厭惡	anger	0.602
spite	儘管	anger	0.600
intrusive	侵入	anger	0.598
harshness	苛刻	anger	0.597
slur	誹謗	anger	0.596
wretch	不幸的人	anger	0.594
inferno	地獄	anger	0.594
invasion	侵入	anger	0.594
puncture	刺	anger	0.594
miserable	慘	anger	0.594
assail	攻擊	anger	0.594
storming	風暴	anger	0.594
casualty	受害者	anger	0.594
bitterness	苦味	anger	0.594
morbidity	發病率	anger	0.594
tempest	暴風雨	anger	0.594
consternation	驚愕	anger	0.592
depraved	墮落	anger	0.591
raving	狂言	anger	0.591
guillotine	斷頭台	anger	0.591
guilty	有罪	anger	0.591
immoral	不道德	anger	0.591
forcibly	強制	anger	0.591
overpowering	壓倒性	anger	0.591
accursed	詛咒	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	婼	anger	0.588
invader	侵略者	anger	0.588
scare	嚇	anger	0.588
screwed	擰	anger	0.588
indignation	憤慨	anger	0.587
jealousy	妒忌	anger	0.587
vexed	煩惱	anger	0.586
confront	面對	anger	0.582
brute	畜生	anger	0.581
throttle	風門	anger	0.579
wreck	破壞	anger	0.578
revolver	左輪手槍	anger	0.578
slut	懶婦	anger	0.578
yousuck	你好爛	anger	0.578
damage	損傷	anger	0.578
butcher	屠夫	anger	0.578
conflict	衝突	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	犯罪	anger	0.578
bickering	爭吵	anger	0.578
pillage	掠	anger	0.578
blaze	火焰	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	政變	anger	0.578
contentious	爭議	anger	0.578
incarceration	監禁	anger	0.578
defiant	目中無人	anger	0.578
provoking	發人深省	anger	0.578
lash	睫毛	anger	0.578
cancer	癌症	anger	0.577
frustration	挫折	anger	0.576
gory	血腥	anger	0.576
alienation	異化	anger	0.576
discord	不和	anger	0.576
disturbance	騷亂	anger	0.576
grope	摸索	anger	0.576
condescension	屈尊	anger	0.576
pernicious	有害	anger	0.576
blasphemy	褻瀆的話	anger	0.576
discriminate	辨析	anger	0.576
chaotic	混亂的	anger	0.576
gun	槍	anger	0.576
standoff	對峙	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	冷笑	anger	0.574
lunacy	瘋狂行為	anger	0.574
oppressive	壓抑	anger	0.574
death	死亡	anger	0.574
jab	戳	anger	0.574
cursed	詛咒	anger	0.574
scandalous	誹謗性的	anger	0.574
monstrosity	怪物	anger	0.574
shit	拉屎	anger	0.573
disparaging	蔑視	anger	0.571
slash	削減	anger	0.571
unfair	不公平	anger	0.571
gallows	絞架	anger	0.570
escalate	升級	anger	0.569
intolerant	不可忍耐	anger	0.564
lawlessness	無法無天	anger	0.563
bluddy	bluddy	anger	0.562
perdition	殞命	anger	0.562
taunt	嘲諷	anger	0.562
grouchy	過敏的	anger	0.562
torpedo	魚雷	anger	0.562
deceived	被騙	anger	0.562
slander	誹謗	anger	0.562
retards	延緩	anger	0.562
bearish	看空	anger	0.562
invade	入侵	anger	0.562
bellows	風箱	anger	0.562
beast	獸	anger	0.562
frightful	可怕	anger	0.562
derogatory	貶	anger	0.562
glare	強光	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	可怕	anger	0.562
traitor	叛徒	anger	0.562
malign	誹謗	anger	0.562
wrangling	扯皮	anger	0.562
dissension	糾紛	anger	0.561
banshee	女妖	anger	0.561
shatter	打碎	anger	0.561
conflagration	燹	anger	0.561
jeopardize	危害	anger	0.561
thief	賊	anger	0.561
rave	狂歡	anger	0.561
grating	光柵	anger	0.561
devastating	破壞性的	anger	0.561
idiots	白痴	anger	0.561
betrayal	辜負	anger	0.561
uncontrollable	不可控	anger	0.561
fits	適合	anger	0.561
cross	交叉	anger	0.561
hurt	傷害	anger	0.561
disturbed	不安	anger	0.559
subjugation	征服	anger	0.559
stomped	跺著腳	anger	0.557
grab	抓	anger	0.557
ticked	勾選	anger	0.556
masochism	受虐狂	anger	0.556
grievance	不平	anger	0.556
defiance	蔑視	anger	0.552
blackmail	勒索	anger	0.550
offensive	進攻	anger	0.549
decry	誹謗	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	違反	anger	0.547
punishment	懲罰	anger	0.547
shrill	尖銳	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	暗面	anger	0.547
misery	苦難	anger	0.547
frustrates	挫敗	anger	0.547
disgraceful	可恥	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	霸道	anger	0.547
disparity	差距	anger	0.547
confine	局限	anger	0.547
firearms	槍支	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	荒謬	anger	0.547
rebel	反叛	anger	0.547
deceive	欺騙	anger	0.547
stolen	被盜	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	加熱	anger	0.545
ruined	毀了	anger	0.545
menace	威脅	anger	0.545
humiliate	羞辱	anger	0.545
tackle	滑車	anger	0.545
conspirator	同謀	anger	0.545
foul	犯規	anger	0.545
antagonist	對手	anger	0.545
resentful	不滿	anger	0.545
prejudice	偏見	anger	0.545
adversary	對手	anger	0.545
argument	論據	anger	0.545
skirmish	前哨戰	anger	0.545
callous	冷酷	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	糾纏	anger	0.544
robbery	搶劫	anger	0.544
sting	刺	anger	0.544
outcry	喊叫	anger	0.544
grumble	嘰	anger	0.544
irreconcilable	不可調和	anger	0.543
resistance	抵抗性	anger	0.543
obstructive	阻礙	anger	0.542
dismay	沮喪	anger	0.540
mob	暴民	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	惡	anger	0.536
ridicule	嘲笑	anger	0.534
incendiary	放火的	anger	0.533
flares	喇叭褲	anger	0.532
degeneracy	簡	anger	0.531
confinement	坐月子	anger	0.531
exacerbation	惡化	anger	0.531
prejudicial	偏見	anger	0.531
uprising	起義	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	魯莽	anger	0.531
unbridled	恣意	anger	0.531
allegation	斷言	anger	0.531
communism	共產主義	anger	0.531
whip	鞭子	anger	0.531
intruder	侵入者	anger	0.531
dispute	爭議	anger	0.531
belittle	貶低	anger	0.531
bigoted	拘泥	anger	0.530
offender	犯罪分子	anger	0.530
hassle	爭論	anger	0.530
dissonance	不和諧	anger	0.530
unjust	不公	anger	0.530
dictatorial	獨裁的	anger	0.530
unjustifiable	無理	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	變態	anger	0.530
tackled	解決	anger	0.530
renegade	叛變	anger	0.529
hot	熱	anger	0.529
prison	監獄	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	侵入	anger	0.529
suicide	自殺	anger	0.521
annoy	攪擾	anger	0.520
leavemealone	請別打擾我	anger	0.517
idiotic	痴	anger	0.516
distrust	懷疑	anger	0.516
depravity	腐敗	anger	0.516
cretins	白痴	anger	0.516
divorce	離婚	anger	0.516
broil	烤	anger	0.516
grrr	哎呀	anger	0.516
venting	通風	anger	0.516
inimical	抵觸的	anger	0.516
duress	脅迫	anger	0.516
disrespectful	不恭	anger	0.516
tortious	侵權	anger	0.516
criticize	批評	anger	0.516
prisoner	囚犯	anger	0.516
dishonest	不誠實	anger	0.516
treason	叛逆	anger	0.516
victimized	受害	anger	0.515
bile	膽汁	anger	0.515
unkind	刻薄	anger	0.515
unforgiving	無情	anger	0.515
unleash	發揮	anger	0.515
coercion	強迫	anger	0.515
scold	罵	anger	0.515
chaos	混沌	anger	0.515
grump	脾氣壞	anger	0.515
roar	怒吼	anger	0.515
jerks	抽搐	anger	0.515
poaching	偷獵	anger	0.515
hangry	HANGRY	anger	0.515
pow	POW	anger	0.515
poachers	偷獵者	anger	0.515
argumentation	論證	anger	0.515
frustrating	洩氣	anger	0.515
tussle	爭論	anger	0.514
bane	誅戮	anger	0.511
accusation	指控	anger	0.510
repudiation	拒絕	anger	0.510
enmity	敵意	anger	0.510
banish	放逐	anger	0.509
disfigured	毀容	anger	0.508
storm	風暴	anger	0.507
shun	順	anger	0.500
suppression	抑制	anger	0.500
unruly	不羈	anger	0.500
intractable	棘手	anger	0.500
ordeal	考驗	anger	0.500
obstruct	阻礙	anger	0.500
derogation	減損	anger	0.500
fervor	熱情	anger	0.500
foaming	發泡	anger	0.500
derision	愚弄	anger	0.500
animus	阿尼姆斯	anger	0.500
rejects	拒絕	anger	0.500
bout	回合	anger	0.500
spear	矛	anger	0.500
crazy	瘋	anger	0.500
brazen	厚顏無恥	anger	0.500
antithesis	對立	anger	0.500
injustice	不公正	anger	0.500
banished	放逐	anger	0.500
confined	受限	anger	0.500
frenzied	喪心病狂	anger	0.500
dominate	支配	anger	0.500
disrupting	妨害	anger	0.500
hammering	鍛造	anger	0.500
fear	恐懼	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	痛苦	anger	0.500
brunt	首當其衝	anger	0.500
possessed	擁有	anger	0.500
defy	違抗	anger	0.500
scoff	嘲笑	anger	0.500
patronising	光顧	anger	0.500
delusional	妄想	anger	0.500
malpractice	弊端	anger	0.500
reject	拒絕	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	韌性	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	瘋狂	anger	0.491
sinful	有罪	anger	0.491
avarice	貪婪	anger	0.490
oppress	壓迫	anger	0.490
disapproved	不贊成	anger	0.485
inhuman	不人道	anger	0.485
demand	需求	anger	0.485
abolish	廢除	anger	0.485
anathema	詛咒	anger	0.485
fricking	fricking	anger	0.485
complaint	抱怨	anger	0.485
disservice	幫倒忙	anger	0.485
smuggler	走私者	anger	0.485
revoke	撤消	anger	0.485
infraction	侵害	anger	0.485
claw	爪	anger	0.485
dissident	持不同政見	anger	0.485
pervert	反常	anger	0.485
incest	亂倫	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	忤	anger	0.485
usurp	篡	anger	0.485
alienate	離間	anger	0.485
avenger	復仇者	anger	0.485
annoyed	懊惱	anger	0.485
cutting	切割	anger	0.485
disgrace	恥辱	anger	0.484
deceit	謊言	anger	0.484
suspicious	可疑	anger	0.484
thresh	脫粒	anger	0.484
sucker	吸盤	anger	0.484
strained	緊張	anger	0.484
blame	怪	anger	0.484
upheaval	動盪	anger	0.484
renounce	放棄	anger	0.484
obnoxious	厭惡	anger	0.484
restrain	抑制	anger	0.484
oust	逐出	anger	0.484
litigious	訴訟	anger	0.484
rivalry	對抗	anger	0.484
penalty	罰款	anger	0.484
imprisoned	囚禁	anger	0.484
mocking	嘲諷	anger	0.484
opposed	反對	anger	0.484
turbulence	動亂	anger	0.483
pound	磅	anger	0.481
coldness	寒冷	anger	0.477
ungrateful	忘恩負義	anger	0.472
battalion	營	anger	0.471
stoopid	stoopid	anger	0.471
hostage	人質	anger	0.470
infidel	異教徒	anger	0.470
ram	內存	anger	0.470
accuser	原告	anger	0.470
gall	癭	anger	0.470
subversion	顛覆	anger	0.470
annoying	惱人的	anger	0.470
adversity	逆境	anger	0.470
dispossessed	一無所有	anger	0.470
friction	摩擦	anger	0.470
jealous	妒	anger	0.470
feudalism	封建	anger	0.470
armament	武器	anger	0.470
thump	撲通	anger	0.469
complain	抱怨	anger	0.469
incite	煽動	anger	0.469
steal	偷	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	違	anger	0.469
injury	傷	anger	0.469
simmer	煨	anger	0.469
distress	苦難	anger	0.469
insanity	瘋狂	anger	0.469
selfish	自私	anger	0.469
huff	憤怒	anger	0.469
selfishness	自私	anger	0.469
backoff	退避	anger	0.469
plunder	掠奪	anger	0.469
stifled	堵	anger	0.469
subversive	顛覆	anger	0.469
exile	流亡	anger	0.469
offense	罪行	anger	0.469
objection	異議	anger	0.469
recidivism	累犯	anger	0.469
smother	扼殺	anger	0.469
perpetrator	肇事者	anger	0.469
dislike	反感	anger	0.469
disruption	瓦解	anger	0.469
intolerance	不耐症	anger	0.469
opposition	反對	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	杯	anger	0.467
agony	痛苦	anger	0.465
arrogant	傲慢	anger	0.461
sux	SUX	anger	0.456
vent	發洩	anger	0.456
elimination	消除	anger	0.456
picketing	糾察	anger	0.456
haughty	傲慢	anger	0.456
troublesome	麻煩	anger	0.455
clamor	叫囂	anger	0.455
busted	破獲	anger	0.455
constraint	約束	anger	0.455
crabby	倔	anger	0.455
veto	否決	anger	0.455
stubbed	存根	anger	0.455
mislead	誤導	anger	0.455
illicit	非法的	anger	0.455
dying	垂死	anger	0.455
grated	磨碎	anger	0.455
idiocy	白痴	anger	0.455
illegality	違法	anger	0.455
flagrant	明目張膽	anger	0.455
impermeable	不透水	anger	0.455
bad	壞	anger	0.453
despotism	獨裁	anger	0.453
usurped	篡奪	anger	0.453
godless	無神	anger	0.453
disagreeing	不同意	anger	0.453
intense	激烈	anger	0.453
