word	Kannada-kn	emotion	emotion-intensity-score
ruinous	ಹಾನಿಕಾರಕ	anger	0.825
condemn	ಖಂಡಿಸಿ	anger	0.825
riots	ಗಲಭೆಗಳು	anger	0.824
demolish	ಕೆಡವಿ	anger	0.824
angry	ಕೋಪಗೊಂಡ	anger	0.824
extermination	ನಿರ್ನಾಮ	anger	0.824
dickhead	ಡಿಕ್ಹೆಡ್	anger	0.824
livid	ಚುರುಕಾದ	anger	0.821
madman	ಹುಚ್ಚ	anger	0.820
vindictive	ಪ್ರತೀಕಾರಕ	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ತೀವ್ರತೆ	anger	0.818
venomous	ವಿಷಪೂರಿತ	anger	0.818
threaten	ಬೆದರಿಕೆ	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ಭಯೋತ್ಪಾದಕ	anger	0.818
abhor	ಅಸಹ್ಯ	anger	0.816
savage	ಘೋರ	anger	0.814
atrocity	ದೌರ್ಜನ್ಯ	anger	0.814
carnage	ಕಗ್ಗೊಲೆ	anger	0.814
berserk	ಉಣ್ಣೆಬಟ್ಟೆ	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ನಿಂದನೆ	anger	0.812
tyrant	ಕ್ರೂರ	anger	0.812
fucksake	ಹಿಡಿತ	anger	0.812
pissedoff	ಸ್ಥಗಿತಗೊಳಿಸು	anger	0.812
vendetta	ವೆಂಡೆಟ್ಟಾ	anger	0.812
fierce	ಉಗ್ರ	anger	0.812
destroyer	ವಿಧ್ವಂಸಕ	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	ಫ್ಯೂಮಿಂಗ್	anger	0.812
barbaric	ಅನಾಗರಿಕ	anger	0.812
anger	ಕೋಪ	anger	0.811
pieceofshit	ತುಣುಕು	anger	0.810
slam	ಸ್ಲ್ಯಾಮ್	anger	0.803
fights	ಪಂದ್ಯಗಳಲ್ಲಿ	anger	0.803
punched	ಪಂಚ್	anger	0.803
bitch	ಬಿಚ್	anger	0.803
punching	ಗುದ್ದುವ	anger	0.803
homicide	ನರಹತ್ಯೆ	anger	0.803
destructive	ವಿನಾಶಕಾರಿ	anger	0.797
ruthless	ನಿರ್ದಯ	anger	0.797
villainous	ಖಳನಾಯಕ	anger	0.797
slap	ಸ್ಲ್ಯಾಪ್	anger	0.791
slaughterhouse	ಕಸಾಯಿಖಾನೆ	anger	0.788
punishing	ಶಿಕ್ಷಿಸುವ	anger	0.788
destroyed	ನಾಶವಾಯಿತು	anger	0.788
retaliatory	ಪ್ರತೀಕಾರ	anger	0.788
riot	ಗಲಭೆ	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ಚೀರುತ್ತಾ ಹಾರಿದಂತೆ	anger	0.788
growthefuckup	ಬೆಳೆಯಲು	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	ನರಹತ್ಯೆ	anger	0.783
clash	ಘರ್ಷಣೆ	anger	0.783
bloody	ರಕ್ತಸಿಕ್ತ	anger	0.781
hellish	ಯಾತನಾಮಯ	anger	0.781
loath	ದ್ವೇಷ	anger	0.781
detonation	ಆಸ್ಫೋಟನ	anger	0.781
quarrel	ಜಗಳ	anger	0.781
sinister	ಕೆಟ್ಟದಾಗಿ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ಆರೋಪಿಸಿ	anger	0.779
treacherous	ವಿಶ್ವಾಸಘಾತುಕ	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ಪ್ರತೀಕಾರ	anger	0.773
revulsion	ದೌರ್ಜನ್ಯ	anger	0.773
madder	ಹುಚ್ಚು	anger	0.773
horrific	ಭಯಾನಕ	anger	0.773
scorn	ತಿರಸ್ಕಾರ	anger	0.769
deplorable	ಶೋಚನೀಯ	anger	0.766
bomb	ಬಾಂಬ್	anger	0.766
anarchist	ಅರಾಜಕತಾವಾದಿ	anger	0.765
devastation	ವಿನಾಶ	anger	0.765
resent	ಅಸಮಾಧಾನ	anger	0.765
firestorm	ಬಿರುಗಾಳಿ	anger	0.765
contemptible	ತಿರಸ್ಕಾರಾರ್ಹ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ಕ್ರೂರ	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ಪ್ರಾಣಾಂತಿಕ	anger	0.758
smash	ಸ್ಮ್ಯಾಶ್	anger	0.758
rant	ರಾಂಟ್	anger	0.758
outburst	ಪ್ರಕೋಪ	anger	0.757
snarl	ಸಿಡುಬು	anger	0.754
profane	ಅಶುದ್ಧ	anger	0.750
offend	ಅಪರಾಧ	anger	0.750
douchebags	douchebags	anger	0.750
growling	ಬೆಳೆಯುವುದು	anger	0.750
stfu	ಸ್ಟಿಫು	anger	0.750
vulgarity	ಅಶ್ಲೀಲತೆ	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	ವಿಚಿತ್ರವಾದ	anger	0.750
despise	ತಿರಸ್ಕರಿಸು	anger	0.750
horror	ಭಯಾನಕ	anger	0.750
aggravating	ಉಲ್ಬಣಗೊಳಿಸುತ್ತದೆ	anger	0.750
revolting	ದಂಗೆ	anger	0.750
fuckedoff	ನಾಶವಾಗಿದ್ದರಿಂದ	anger	0.742
threat	ಬೆದರಿಕೆ	anger	0.742
erupt	ಸ್ಫೋಟಿಸು	anger	0.742
screaming	ಕಿರಿಚುವ	anger	0.742
violence	ಹಿಂಸೆ	anger	0.742
horrible	ಭಯಾನಕ	anger	0.742
molestation	ಹಿಂಸೆಯ	anger	0.742
bastards	ಬಾಸ್ಟರ್ಡ್ಸ್	anger	0.741
revenge	ಸೇಡು	anger	0.738
catastrophe	ದುರಂತ	anger	0.735
menacing	ಭೀತಿಯ	anger	0.735
demon	ರಾಕ್ಷಸ	anger	0.735
crushing	ಪುಡಿ	anger	0.735
damn	ಡ್ಯಾಮ್	anger	0.735
persecute	ಹಿಂಸಿಸು	anger	0.734
argue	ವಾದಿಸುತ್ತಾರೆ	anger	0.734
flog	ಹೊಡೆಯಿರಿ	anger	0.734
revolt	ದಂಗೆ	anger	0.734
thrash	ಥ್ರಷ್	anger	0.734
deplore	ವಿಚಾರಮಾಡು	anger	0.734
warfare	ಯುದ್ಧ	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ಭಾವೋದ್ವೇಗ	anger	0.734
riotous	ಗಲಭೆ	anger	0.734
altercation	ವಾಗ್ವಾದ	anger	0.729
warlike	ಯುದ್ಧೋಚಿತ	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	ದಂಗೆ	anger	0.727
castrate	ಎರಕಹೊಯ್ದ	anger	0.727
sabotage	ವಿಧ್ವಂಸಕ	anger	0.727
malevolent	ದುಷ್ಕೃತ್ಯ	anger	0.721
strike	ಮುಷ್ಕರ	anger	0.721
disaster	ದುರಂತದ	anger	0.721
disastrous	ಹಾನಿಕಾರಕ	anger	0.720
tumult	ಗೊಂದಲ	anger	0.719
madden	ಮ್ಯಾಡೆನ್	anger	0.719
devil	ದೆವ್ವ	anger	0.719
scream	ಚೀರು	anger	0.719
brutal	ಕ್ರೂರ	anger	0.719
treachery	ವಿಶ್ವಾಸಘಾತುಕತನ	anger	0.719
scorching	ಬೇಗೆಯ	anger	0.719
vermin	ಕ್ರಿಮಿಕೀಟ	anger	0.719
arseholes	ಅರ್ಸೆಹೋಲ್ಸ್	anger	0.719
horseshit	ಕುದುರೆಶಿಲೆ	anger	0.719
aggravates	ಉಲ್ಬಣಗೊಳ್ಳುತ್ತದೆ	anger	0.719
spiteful	ಹಗೆತನದ	anger	0.719
slay	ಕೊಲ್ಲುವುದು	anger	0.719
disdain	ನಿರ್ಲಕ್ಷ್ಯ	anger	0.719
choke	ಚಾಕ್	anger	0.719
bastarding	ಬಾಸ್ಟಾರ್ಡಿಂಗ್	anger	0.719
mangle	ಜೌಗು	anger	0.714
anarchism	ಅರಾಜಕತೆ	anger	0.714
mutilation	ಊನಗೊಳಿಸುವಿಕೆ	anger	0.714
criminal	ಕ್ರಿಮಿನಲ್	anger	0.714
denunciation	ಖಂಡನೆ	anger	0.713
punch	ಪಂಚ್	anger	0.713
crucifixion	ಶಿಲುಬೆಗೇರಿಸುವಿಕೆ	anger	0.712
virulence	ವೈರಸ್	anger	0.712
battled	ಹೋರಾಡಿದರು	anger	0.712
fatal	ಮಾರಕ	anger	0.712
holocaust	ಹತ್ಯಾಕಾಂಡ	anger	0.712
blasphemous	ಧರ್ಮನಿಂದೆಯ	anger	0.712
hurting	ನೋಯಿಸುವುದಿಲ್ಲ	anger	0.712
dumbasses	ಡಂಬಾಸಸ್	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ಅವ್ಯವಸ್ಥಿತ	anger	0.706
atrocious	ದುಷ್ಕೃತ್ಯ	anger	0.706
evil	ದುಷ್ಟ	anger	0.706
irritated	ಕಿರಿಕಿರಿ	anger	0.706
assassin	ಕೊಲೆಗಾರ	anger	0.703
dicks	ಡಿಕ್ಸ್	anger	0.703
persecution	ಕಿರುಕುಳ	anger	0.703
slayer	ಸ್ಲೇಯರ್	anger	0.703
kidnap	ಅಪಹರಿಸಿ	anger	0.703
scolding	ತಗಲುತ್ತದೆ	anger	0.703
intimidation	ಬೆದರಿಕೆ	anger	0.703
aggravated	ಉಲ್ಬಣಗೊಂಡಿದೆ	anger	0.703
aggression	ಆಕ್ರಮಣಶೀಲತೆ	anger	0.702
armed	ಸಶಸ್ತ್ರ	anger	0.700
poison	ವಿಷ	anger	0.697
snarling	ಸಿಡುಕುವುದು	anger	0.697
venom	ವಿಷ	anger	0.697
battle	ಕದನ	anger	0.697
disgruntled	ಅಸಂತುಷ್ಟ	anger	0.693
insidious	ಕಪಟ	anger	0.691
assailant	ಆಕ್ರಮಣಕಾರ	anger	0.691
resentment	ಅಸಮಾಧಾನ	anger	0.691
lynch	ಲಿಂಚ್	anger	0.690
contemptuous	ತಿರಸ್ಕಾರ	anger	0.690
temper	ಕೋಪ	anger	0.688
imprisonment	ಸೆರೆವಾಸ	anger	0.688
disparage	ಅಸಮಾಧಾನ	anger	0.688
bully	ಬುಲ್ಲಿ	anger	0.688
terrible	ಭಯಾನಕ	anger	0.688
lunatic	ಹುಚ್ಚಾಟ	anger	0.688
curse	ಶಾಪ	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	ಉತ್ತುಂಗಕ್ಕೇರಿತು	anger	0.688
domination	ಪ್ರಾಬಲ್ಯ	anger	0.688
mad	ಹುಚ್ಚು	anger	0.688
infanticide	ಶಿಶುಹತ್ಯೆ	anger	0.688
volatility	ಚಂಚಲತೆ	anger	0.687
eradication	ನಿರ್ಮೂಲನೆ	anger	0.685
tantrum	tantrum	anger	0.682
devastate	ವಿನಾಶಕಾರಿ	anger	0.682
eradicate	ನಿರ್ಮೂಲನೆ	anger	0.682
scoundrel	ದುಷ್ಟ	anger	0.682
aggressively	ಆಕ್ರಮಣಕಾರಿಯಾಗಿ	anger	0.680
agitation	ಚಳವಳಿ	anger	0.680
dictatorship	ಸರ್ವಾಧಿಕಾರ	anger	0.676
irritates	ಕಿರಿಕಿರಿಯುಂಟುಮಾಡುತ್ತದೆ	anger	0.676
profanity	ಅಶ್ಲೀಲತೆ	anger	0.673
egregious	ಅಹಂಕಾರ	anger	0.672
expletive	ಅಪೂರ್ಣ	anger	0.672
nasty	ಅಸಹ್ಯ	anger	0.672
shove	ನೂಕು	anger	0.672
shot	ಶಾಟ್	anger	0.672
harmful	ಹಾನಿಕಾರಕ	anger	0.672
aggravation	ಉಲ್ಬಣಗೊಳ್ಳುವಿಕೆ	anger	0.672
contempt	ತಿರಸ್ಕಾರ	anger	0.672
poisonous	ವಿಷಕಾರಿ	anger	0.672
dastardly	ದೌರ್ಜನ್ಯದಿಂದ	anger	0.672
shoot	ಶೂಟ್	anger	0.672
corrupting	ಭ್ರಷ್ಟಾಚಾರ	anger	0.672
condemnation	ಖಂಡನೆ	anger	0.672
wreak	ಧ್ವಂಸಮಾಡಿ	anger	0.672
crushed	ಪುಡಿಮಾಡಿ	anger	0.672
cruelly	ಕ್ರೂರವಾಗಿ	anger	0.672
crime	ಅಪರಾಧ	anger	0.672
maniac	ಹುಚ್ಚ	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ಉಗುಳುವಿಕೆ	anger	0.667
odious	ಕೆಟ್ಟದಾಗಿದೆ	anger	0.667
shooting	ಶೂಟಿಂಗ್	anger	0.667
kick	ಕಿಕ್	anger	0.667
aggressive	ಆಕ್ರಮಣಕಾರಿ	anger	0.667
combat	ಯುದ್ಧ	anger	0.667
shout	ಹುಯಿಲಿಡು	anger	0.667
hit	ಹಿಟ್	anger	0.667
fight	ಹೋರಾಟ	anger	0.667
cutthroat	ಕಟ್ತ್ರೋಟ್	anger	0.667
enemy	ಶತ್ರು	anger	0.667
irritable	ಕೆರಳಿಸುವ	anger	0.667
punished	ಶಿಕ್ಷೆ	anger	0.662
ambush	ಹೊಂಚುದಾಳಿ	anger	0.661
yell	ಕೂಗು	anger	0.661
harass	ಕಿರುಕುಳ	anger	0.659
malignant	ಮಾರಣಾಂತಿಕ	anger	0.656
aggressor	ಆಕ್ರಮಣಕಾರ	anger	0.656
antichrist	ಆಂಟಿಕ್ರೈಸ್ಟ್	anger	0.656
gore	ಗೋರ್	anger	0.656
incense	ಧೂಪದ್ರವ್ಯ	anger	0.656
expel	ಉಚ್ಚಾಟಿಸಿ	anger	0.656
destruction	ವಿನಾಶ	anger	0.656
grudge	ದ್ವೇಷವನ್ನು	anger	0.656
cranky	ಕ್ರ್ಯಾಂಕಿ	anger	0.653
offended	ಮನನೊಂದಿದ್ದರು	anger	0.652
spank	ಸ್ಲ್ಯಾಂಕ್	anger	0.652
growl	ವ್ಯಕ್ತಪಡಿಸಿ	anger	0.652
insurrection	ಬಂಡಾಯ	anger	0.652
reprisal	ಪ್ರತೀಕಾರ	anger	0.652
slave	ಗುಲಾಮ	anger	0.652
denounce	ಖಂಡಿಸು	anger	0.652
animosity	ದ್ವೇಷ	anger	0.652
insulting	ಅವಮಾನ	anger	0.652
clashing	ಘರ್ಷಣೆ	anger	0.652
growls	ಬೆಳೆಯುತ್ತದೆ	anger	0.649
executioner	ಮರಣದಂಡನೆ	anger	0.644
twat	twat	anger	0.644
doomsday	ಡೂಮ್ಸ್ಡೇ	anger	0.643
daemon	ಡೀಮನ್	anger	0.641
obscenity	ಅಶ್ಲೀಲತೆ	anger	0.641
bombard	ಬಾಂಬ್ದಾಳಿ	anger	0.641
spat	ಉಗುಳುವುದು	anger	0.641
havoc	ಹಾನಿ	anger	0.641
feud	ದ್ವೇಷ	anger	0.641
grr	ಗ್ರಾರ್	anger	0.641
arson	ಅಗ್ನಿಸ್ಪರ್ಶ	anger	0.641
reprimand	ವಾಗ್ದಂಡನೆ	anger	0.641
expulsion	ಹೊರಹಾಕುವಿಕೆ	anger	0.641
inexcusable	ಅಸಮರ್ಥನೀಯ	anger	0.641
accused	ಆರೋಪಿ	anger	0.641
indignant	ಕೋಪಗೊಂಡ	anger	0.641
shackle	ಸಂಕೋಲೆ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ಗಾಯ	anger	0.636
suicidal	ಆತ್ಮಹತ್ಯೆ	anger	0.636
poisoned	ವಿಷ	anger	0.636
batter	ಬ್ಯಾಟರ್	anger	0.636
kicking	ಒದೆಯುವುದು	anger	0.636
hanging	ನೇತಾಡುವ	anger	0.636
spanking	spanking	anger	0.636
disgusting	ಅಸಹ್ಯಕರ	anger	0.636
combatant	ಹೋರಾಟಗಾರ	anger	0.636
frustrated	ನಿರಾಶೆಗೊಂಡ	anger	0.636
anarchy	ಅರಾಜಕತೆ	anger	0.636
glaring	ಹೊಳೆಯುವ	anger	0.636
inflict	ಹೇಳಿ	anger	0.633
wrecked	ಧ್ವಂಸವಾಯಿತು	anger	0.633
grievous	ದುಃಖ	anger	0.632
prosecute	ವಿಚಾರಣೆ	anger	0.630
agitated	ಕ್ಷೋಭೆಗೊಳಗಾದ	anger	0.630
cheat	ಚೀಟ್	anger	0.630
swastika	ಸ್ವಸ್ತಿಕ	anger	0.627
defamatory	ಮಾನನಷ್ಟ	anger	0.625
suffocation	ಉಸಿರುಗಟ್ಟುವಿಕೆ	anger	0.625
strife	ಕಲಹ	anger	0.625
provocation	ಪ್ರಚೋದನೆ	anger	0.625
injure	ಗಾಯಗೊಳಿಸು	anger	0.625
harassing	ಕಿರುಕುಳ	anger	0.625
scourge	ಉಪದ್ರವ	anger	0.625
cursing	ಶಪಿಸುವದು	anger	0.625
betray	ವಿಶ್ವಾಸಘಾತ	anger	0.625
indict	ದೋಷಾರೋಪಣೆ	anger	0.625
raid	ದಾಳಿ	anger	0.625
thundering	ಗುಡುಗು	anger	0.625
enslaved	ಗುಲಾಮಗಿರಿ	anger	0.625
arsehole	ಅಸೆಹೋಲ್	anger	0.624
insane	ಹುಚ್ಚು	anger	0.621
fiend	ದೆವ್ವ	anger	0.621
irritate	ಕಿರಿಕಿರಿ	anger	0.621
convict	ಶಿಕ್ಷಕ	anger	0.621
jerk	ಎಳೆತ	anger	0.621
theft	ಕಳ್ಳತನ	anger	0.621
retaliation	ಪ್ರತೀಕಾರ	anger	0.621
deprivation	ಅಭಾವ	anger	0.621
cussed	ಸಿಸ್ಟೆಡ್	anger	0.619
turmoil	ಸಂಕ್ಷೋಭೆ	anger	0.618
smack	ಸ್ಮ್ಯಾಕ್	anger	0.615
retribution	ಪ್ರತೀಕಾರ	anger	0.614
twats	twats	anger	0.609
intolerable	ಅಸಹನೀಯ	anger	0.609
rebellion	ದಂಗೆ	anger	0.609
injurious	ಹಾನಿಕಾರಕ	anger	0.609
oppressor	ದುಷ್ಕರ್ಮಿ	anger	0.609
slavery	ಗುಲಾಮಗಿರಿ	anger	0.609
irritability	ಕಿರಿಕಿರಿ	anger	0.609
collision	ಘರ್ಷಣೆ	anger	0.609
bitterly	ಕಠಿಣವಾಗಿ	anger	0.609
gang	ಗ್ಯಾಂಗ್	anger	0.609
antagonism	ವಿರೋಧಾಭಾಸ	anger	0.609
battery	ಬ್ಯಾಟರಿ	anger	0.609
adverse	ಪ್ರತಿಕೂಲ	anger	0.609
disgraced	ಅಪಮಾನ	anger	0.608
irritating	ಕಿರಿಕಿರಿಯುಂಟುಮಾಡುವುದು	anger	0.606
revolution	ಕ್ರಾಂತಿ	anger	0.606
thug	ಥಗ್	anger	0.606
diatribe	ಡಯಾಟ್ರಿಬ್	anger	0.606
bombardment	ಬಾಂಬ್ ದಾಳಿ	anger	0.606
blast	ಸ್ಫೋಟ	anger	0.606
irks	irks	anger	0.606
sickening	ದುಃಖಕರ	anger	0.606
discrimination	ತಾರತಮ್ಯ	anger	0.606
antagonistic	ವಿರೋಧದ	anger	0.606
ranting	ರಾಂಟಿಂಗ್	anger	0.606
asshole	ಅಸ್ಹೋಲ್	anger	0.606
frustrate	ಹತಾಶೆ	anger	0.604
manipulation	ಕುಶಲತೆ	anger	0.603
tension	ಒತ್ತಡ	anger	0.603
insult	ಅವಮಾನ	anger	0.603
bigot	ದೊಡ್ಡ ವ್ಯಕ್ತಿ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ಹಾನಿಕರ	anger	0.603
oppression	ದಬ್ಬಾಳಿಕೆ	anger	0.603
disgust	ಅಸಹ್ಯ	anger	0.602
spite	ಹೊರತಾಗಿಯೂ	anger	0.600
intrusive	ಗೊಂದಲಮಯ	anger	0.598
harshness	ಕಠಿಣತೆ	anger	0.597
slur	ಕಳಂಕ	anger	0.596
wretch	ದರಿದ್ರ	anger	0.594
inferno	ನರಕ	anger	0.594
invasion	ಆಕ್ರಮಣ	anger	0.594
puncture	ತೂತು	anger	0.594
miserable	ಶೋಚನೀಯ	anger	0.594
assail	ಆಕ್ರಮಣ ಮಾಡು	anger	0.594
storming	ಬಿರುಗಾಳಿ	anger	0.594
casualty	ಅಪಘಾತ	anger	0.594
bitterness	ಕಹಿ	anger	0.594
morbidity	ಅಸ್ವಸ್ಥತೆ	anger	0.594
tempest	ಚಂಡಮಾರುತ	anger	0.594
consternation	ದಿಗ್ಭ್ರಮೆ	anger	0.592
depraved	ನಿರಾಕರಿಸಲಾಗಿದೆ	anger	0.591
raving	ರೇವಿಂಗ್	anger	0.591
guillotine	ಗಿಲ್ಲೊಟಿನ್	anger	0.591
guilty	ಅಪರಾಧಿ	anger	0.591
immoral	ಅನೈತಿಕ	anger	0.591
forcibly	ಬಲವಂತವಾಗಿ	anger	0.591
overpowering	ಮಿತಿಮೀರಿದ	anger	0.591
accursed	ಶಾಪಗ್ರಸ್ತವಾಗಿದೆ	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	ಮರುಕಳಿಸುವ	anger	0.588
invader	ಆಕ್ರಮಣಕಾರ	anger	0.588
scare	ಹೆದರಿಕೆ	anger	0.588
screwed	ಹಾಳಾದ	anger	0.588
indignation	ಕೋಪ	anger	0.587
jealousy	ಅಸೂಯೆ	anger	0.587
vexed	ಕೆರಳಿಸಿತು	anger	0.586
confront	ಎದುರಿಸಲು	anger	0.582
brute	ವಿವೇಚನಾರಹಿತ	anger	0.581
throttle	ಥ್ರೊಟಲ್	anger	0.579
wreck	ಧ್ವಂಸ	anger	0.578
revolver	ರಿವಾಲ್ವರ್	anger	0.578
slut	ಸೂಳೆ	anger	0.578
yousuck	yousuck	anger	0.578
damage	ಹಾನಿ	anger	0.578
butcher	ಕಟುಕ	anger	0.578
conflict	ಸಂಘರ್ಷ	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ಅಪರಾಧ	anger	0.578
bickering	ಮೋಜು	anger	0.578
pillage	ಕಳ್ಳತನ	anger	0.578
blaze	ಹೊಳಪು	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ದಂಗೆ	anger	0.578
contentious	ವಿವಾದಾತ್ಮಕ	anger	0.578
incarceration	ಕಾರಾಗೃಹವಾಸ	anger	0.578
defiant	ಪ್ರತಿಭಟನೆಯಿಲ್ಲ	anger	0.578
provoking	ಪ್ರಚೋದಿಸುವ	anger	0.578
lash	ಪ್ರಹಾರದ	anger	0.578
cancer	ಕ್ಯಾನ್ಸರ್	anger	0.577
