word	Hungarian-hu	emotion	emotion-intensity-score
scream	sikoly	anger	0.719
brutal	brutális	anger	0.719
treachery	árulás	anger	0.719
scorching	pörkölés	anger	0.719
vermin	féreg	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	lószar	anger	0.719
aggravates	súlyosbítja	anger	0.719
spiteful	rosszindulatú	anger	0.719
slay	elpusztít	anger	0.719
disdain	megvetés	anger	0.719
choke	fojtás	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mángorló	anger	0.714
anarchism	anarchizmus	anger	0.714
mutilation	megcsonkítás	anger	0.714
criminal	Bűnügyi	anger	0.714
denunciation	feljelentés	anger	0.713
punch	puncs	anger	0.713
crucifixion	keresztre feszítés	anger	0.712
virulence	fertőzőképesség	anger	0.712
battled	csatázott	anger	0.712
fatal	halálos	anger	0.712
holocaust	Holocaust	anger	0.712
blasphemous	istenkáromló	anger	0.712
hurting	fáj	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	rendetlen	anger	0.706
atrocious	kegyetlen	anger	0.706
evil	gonosz	anger	0.706
irritated	irritált	anger	0.706
assassin	orgyilkos	anger	0.703
dicks	farkukat	anger	0.703
persecution	üldözés	anger	0.703
slayer	ölő	anger	0.703
kidnap	elrabol	anger	0.703
scolding	szidás	anger	0.703
intimidation	megfélemlítés	anger	0.703
aggravated	súlyosbít	anger	0.703
aggression	agresszió	anger	0.702
armed	fegyveres	anger	0.700
poison	méreg	anger	0.697
snarling	vicsorgó	anger	0.697
venom	méreg	anger	0.697
battle	csata	anger	0.697
disgruntled	elégedetlen	anger	0.693
insidious	ármányos	anger	0.691
assailant	támadó	anger	0.691
resentment	neheztelés	anger	0.691
lynch	lincsel	anger	0.690
contemptuous	megvető	anger	0.690
temper	kedély	anger	0.688
imprisonment	bebörtönzés	anger	0.688
disparage	becsmérel	anger	0.688
bully	terrorizál	anger	0.688
terrible	szörnyű	anger	0.688
lunatic	őrült	anger	0.688
curse	átok	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	zabos	anger	0.688
domination	uralom	anger	0.688
mad	őrült	anger	0.688
infanticide	gyermekgyilkosság	anger	0.688
volatility	illékonyság	anger	0.687
eradication	felszámolására	anger	0.685
tantrum	kitörés	anger	0.682
devastate	elpusztít	anger	0.682
eradicate	felszámolása	anger	0.682
scoundrel	gazember	anger	0.682
aggressively	agresszívan	anger	0.680
agitation	agitáció	anger	0.680
dictatorship	diktatúra	anger	0.676
irritates	irritálja	anger	0.676
profanity	káromkodás	anger	0.673
egregious	hallatlan	anger	0.672
expletive	pót-	anger	0.672
nasty	csúnya	anger	0.672
shove	lök	anger	0.672
shot	lövés	anger	0.672
harmful	káros	anger	0.672
aggravation	súlyosbodás	anger	0.672
contempt	megvetés	anger	0.672
poisonous	mérgező	anger	0.672
dastardly	hitvány	anger	0.672
shoot	lő	anger	0.672
corrupting	megrontó	anger	0.672
condemnation	kárhoztatás	anger	0.672
wreak	szabadjára enged	anger	0.672
crushed	szétzúzott	anger	0.672
cruelly	kegyetlenül	anger	0.672
crime	bűn	anger	0.672
maniac	mániás	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	kitörés	anger	0.667
odious	utálatos	anger	0.667
shooting	lövés	anger	0.667
kick	rúgás	anger	0.667
aggressive	agresszív	anger	0.667
combat	harc	anger	0.667
shout	kiáltás	anger	0.667
hit	találat	anger	0.667
fight	harc	anger	0.667
cutthroat	gyilkos	anger	0.667
enemy	ellenség	anger	0.667
irritable	ingerlékeny	anger	0.667
punished	büntették	anger	0.662
ambush	csapda	anger	0.661
yell	ordít	anger	0.661
harass	zaklat	anger	0.659
malignant	gonosz	anger	0.656
aggressor	agresszor	anger	0.656
antichrist	Antikrisztus	anger	0.656
gore	alvadt vér	anger	0.656
incense	tömjén	anger	0.656
expel	kiutasítja	anger	0.656
destruction	megsemmisítés	anger	0.656
grudge	ellenszenv	anger	0.656
cranky	házsártos	anger	0.653
offended	sértett	anger	0.652
spank	ütés	anger	0.652
growl	morgás	anger	0.652
insurrection	felkelés	anger	0.652
reprisal	megtorlás	anger	0.652
slave	rabszolga	anger	0.652
denounce	felmondja	anger	0.652
animosity	ellenségeskedés	anger	0.652
insulting	sértő	anger	0.652
clashing	csattanó	anger	0.652
growls	hörgés	anger	0.649
executioner	hóhér	anger	0.644
twat	fasz	anger	0.644
doomsday	utolsó ítélet	anger	0.643
daemon	démon	anger	0.641
obscenity	trágárság	anger	0.641
bombard	bombáz	anger	0.641
spat	legyintés	anger	0.641
havoc	pusztítás	anger	0.641
feud	viszály	anger	0.641
grr	grr	anger	0.641
arson	gyújtogatás	anger	0.641
reprimand	megrovás	anger	0.641
expulsion	kiutasítás	anger	0.641
inexcusable	megbocsáthatatlan	anger	0.641
accused	vádlott	anger	0.641
indignant	felháborodott	anger	0.641
shackle	bilincs	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	seb	anger	0.636
suicidal	öngyilkos	anger	0.636
poisoned	mérgezett	anger	0.636
batter	tészta	anger	0.636
kicking	rúgás	anger	0.636
hanging	függő	anger	0.636
spanking	verés	anger	0.636
disgusting	undorító	anger	0.636
combatant	harcos	anger	0.636
frustrated	frusztrált	anger	0.636
anarchy	anarchia	anger	0.636
glaring	vakító	anger	0.636
inflict	okoz	anger	0.633
wrecked	tönkrement	anger	0.633
grievous	fájdalmas	anger	0.632
prosecute	vádemelés	anger	0.630
agitated	izgatott	anger	0.630
cheat	csal	anger	0.630
swastika	horogkereszt	anger	0.627
defamatory	gyalázkodó	anger	0.625
suffocation	fojtás	anger	0.625
strife	küzdelem	anger	0.625
provocation	provokáció	anger	0.625
injure	megsebesít	anger	0.625
harassing	zaklató	anger	0.625
scourge	korbács	anger	0.625
cursing	káromkodás	anger	0.625
betray	elárul	anger	0.625
indict	vádol	anger	0.625
raid	rajtaütés	anger	0.625
thundering	mennydörgő	anger	0.625
enslaved	leigázott	anger	0.625
arsehole	seggfej	anger	0.624
insane	őrült	anger	0.621
fiend	ördög	anger	0.621
irritate	idegesít	anger	0.621
convict	elítélt	anger	0.621
jerk	rántás	anger	0.621
theft	lopás	anger	0.621
retaliation	megtorlás	anger	0.621
deprivation	megfosztás	anger	0.621
cussed	megátalkodott	anger	0.619
turmoil	felfordulás	anger	0.618
smack	cuppanás	anger	0.615
retribution	büntetés	anger	0.614
twats	twats	anger	0.609
intolerable	tűrhetetlen	anger	0.609
rebellion	lázadó	anger	0.609
injurious	káros	anger	0.609
oppressor	zsarnok	anger	0.609
slavery	rabszolgaság	anger	0.609
irritability	ingerlékenység	anger	0.609
collision	ütközés	anger	0.609
bitterly	keserűen	anger	0.609
gang	banda	anger	0.609
antagonism	ellentét	anger	0.609
battery	akkumulátor	anger	0.609
adverse	kedvezőtlen	anger	0.609
disgraced	kegyvesztett	anger	0.608
irritating	zavaró	anger	0.606
revolution	forradalom	anger	0.606
thug	orgyilkos	anger	0.606
diatribe	gyalázkodás	anger	0.606
bombardment	bombázás	anger	0.606
blast	robbanás	anger	0.606
irks	irks	anger	0.606
sickening	émelyítő	anger	0.606
discrimination	megkülönböztetés	anger	0.606
antagonistic	ellentétes	anger	0.606
ranting	bombasztikus	anger	0.606
asshole	seggfej	anger	0.606
frustrate	meghiúsít	anger	0.604
manipulation	manipuláció	anger	0.603
tension	feszültség	anger	0.603
insult	sértés	anger	0.603
bigot	bigott	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	bántó	anger	0.603
oppression	elnyomás	anger	0.603
disgust	undor	anger	0.602
spite	ellenére	anger	0.600
intrusive	tolakodó	anger	0.598
harshness	keménység	anger	0.597
slur	elmosódik	anger	0.596
wretch	szerencsétlen alak	anger	0.594
inferno	pokol	anger	0.594
invasion	invázió	anger	0.594
puncture	szúrás	anger	0.594
miserable	nyomorult	anger	0.594
assail	megtámad	anger	0.594
storming	fergeteges	anger	0.594
casualty	sérülés	anger	0.594
bitterness	keserűség	anger	0.594
morbidity	morbiditás	anger	0.594
tempest	vihar	anger	0.594
consternation	megdöbbenés	anger	0.592
depraved	romlott	anger	0.591
raving	dühöngő	anger	0.591
guillotine	guillotine	anger	0.591
guilty	bűnös	anger	0.591
immoral	erkölcstelen	anger	0.591
forcibly	erővel	anger	0.591
overpowering	ellenállhatatlan	anger	0.591
accursed	elátkozott	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	makacs	anger	0.588
invader	határsértő	anger	0.588
scare	megijeszt	anger	0.588
screwed	csavart	anger	0.588
indignation	felháborodás	anger	0.587
jealousy	féltékenység	anger	0.587
vexed	bosszankodó	anger	0.586
confront	szembeszáll	anger	0.582
brute	állat	anger	0.581
throttle	gázkar	anger	0.579
wreck	roncs	anger	0.578
revolver	revolver	anger	0.578
slut	kurva	anger	0.578
yousuck	yousuck	anger	0.578
damage	kár	anger	0.578
butcher	hentes	anger	0.578
conflict	összeütközés	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	bűnösség	anger	0.578
bickering	civakodás	anger	0.578
pillage	fosztogatás	anger	0.578
blaze	lángol	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	puccs	anger	0.578
contentious	vitás	anger	0.578
incarceration	bebörtönzés	anger	0.578
defiant	dacos	anger	0.578
provoking	provokatív	anger	0.578
lash	ostorcsapás	anger	0.578
cancer	rák	anger	0.577
frustration	csalódottság	anger	0.576
gory	véres	anger	0.576
alienation	elidegenítés	anger	0.576
discord	viszály	anger	0.576
disturbance	zavarás	anger	0.576
grope	tapogatózva keres	anger	0.576
condescension	lekezelés	anger	0.576
pernicious	káros	anger	0.576
blasphemy	istenkáromlás	anger	0.576
discriminate	megkülönböztetést	anger	0.576
chaotic	zavaros	anger	0.576
gun	pisztoly	anger	0.576
standoff	tartózkodó	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	gúnymosoly	anger	0.574
lunacy	elmebaj	anger	0.574
oppressive	elnyomó	anger	0.574
death	halál	anger	0.574
jab	döf	anger	0.574
cursed	átkozott	anger	0.574
scandalous	botrányos	anger	0.574
monstrosity	szörnyűség	anger	0.574
shit	szar	anger	0.573
disparaging	becsmérlő	anger	0.571
slash	vágás	anger	0.571
unfair	tisztességtelen	anger	0.571
gallows	akasztófa	anger	0.570
escalate	növekszik	anger	0.569
intolerant	türelmetlen	anger	0.564
lawlessness	törvényellenesség	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kárhozat	anger	0.562
taunt	gúnyolódás	anger	0.562
grouchy	nyűgös	anger	0.562
torpedo	torpedó	anger	0.562
deceived	megtévesztette	anger	0.562
slander	rágalom	anger	0.562
retards	retardált	anger	0.562
bearish	mogorva	anger	0.562
invade	betör	anger	0.562
bellows	fújtató	anger	0.562
beast	vadállat	anger	0.562
frightful	ijesztő	anger	0.562
derogatory	méltatlan	anger	0.562
glare	ragyogás	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	szörnyű	anger	0.562
traitor	áruló	anger	0.562
malign	rosszindulatú	anger	0.562
wrangling	huzavona	anger	0.562
dissension	széthúzás	anger	0.561
banshee	banshee	anger	0.561
shatter	összetör	anger	0.561
conflagration	tűzvész	anger	0.561
jeopardize	veszélyezteti	anger	0.561
thief	tolvaj	anger	0.561
rave	félrebeszél	anger	0.561
grating	rács	anger	0.561
devastating	pusztító	anger	0.561
idiots	idióták	anger	0.561
betrayal	árulás	anger	0.561
uncontrollable	ellenőrizhetetlen	anger	0.561
fits	görcsök	anger	0.561
cross	kereszt	anger	0.561
hurt	sért	anger	0.561
disturbed	zavart	anger	0.559
subjugation	leigázás	anger	0.559
stomped	taposott	anger	0.557
grab	Megragad	anger	0.557
ticked	jelölve	anger	0.556
masochism	mazochizmus	anger	0.556
grievance	sérelem	anger	0.556
defiance	ellenszegülés	anger	0.552
blackmail	zsarolás	anger	0.550
offensive	támadó	anger	0.549
decry	becsmérel	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	megsértése	anger	0.547
punishment	büntetés	anger	0.547
shrill	éles	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	sötét oldal	anger	0.547
misery	szenvedés	anger	0.547
frustrates	meghiúsítja	anger	0.547
disgraceful	szégyenletes	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	erőszakos	anger	0.547
disparity	különbség	anger	0.547
confine	korlátoznia	anger	0.547
firearms	lőfegyverek	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	abszurd	anger	0.547
rebel	lázadó	anger	0.547
deceive	becsap	anger	0.547
stolen	lopott	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	fűtött	anger	0.545
ruined	romos	anger	0.545
menace	fenyegetés	anger	0.545
humiliate	megaláz	anger	0.545
tackle	felszerelés	anger	0.545
conspirator	összeesküvő	anger	0.545
foul	fúj	anger	0.545
antagonist	antagonista	anger	0.545
resentful	bosszús	anger	0.545
prejudice	előítélet	anger	0.545
adversary	ellenség	anger	0.545
argument	érv	anger	0.545
skirmish	csetepaté	anger	0.545
callous	érzéketlen	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	összekuszált	anger	0.544
robbery	rablás	anger	0.544
sting	fullánk	anger	0.544
outcry	felháborodás	anger	0.544
grumble	morog	anger	0.544
irreconcilable	összeegyeztethetetlen	anger	0.543
resistance	ellenállás	anger	0.543
obstructive	akadályozó	anger	0.542
dismay	döbbenet	anger	0.540
mob	csőcselék	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	rosszaság	anger	0.536
ridicule	gúny	anger	0.534
incendiary	gyújtó-	anger	0.533
flares	fáklyák	anger	0.532
degeneracy	degenerációja	anger	0.531
confinement	fogság	anger	0.531
exacerbation	súlyosbodását	anger	0.531
prejudicial	hátrányos	anger	0.531
uprising	felkelés	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	vakmerő	anger	0.531
unbridled	féktelen	anger	0.531
allegation	állítás	anger	0.531
communism	kommunizmus	anger	0.531
whip	ostor	anger	0.531
intruder	betolakodó	anger	0.531
dispute	vita	anger	0.531
belittle	kicsinyel	anger	0.531
bigoted	bigott	anger	0.530
offender	szabálysértő	anger	0.530
hassle	szóváltás	anger	0.530
dissonance	disszonancia	anger	0.530
unjust	igazságtalan	anger	0.530
dictatorial	diktatórikus	anger	0.530
unjustifiable	nem igazolható	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	fajtalanság	anger	0.530
tackled	kezelni	anger	0.530
renegade	renegát	anger	0.529
hot	forró	anger	0.529
prison	börtön	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	kihágás	anger	0.529
suicide	öngyilkosság	anger	0.521
annoy	bosszant	anger	0.520
leavemealone	hagyjon békén	anger	0.517
idiotic	ostoba	anger	0.516
distrust	bizalmatlanság	anger	0.516
depravity	romlottság	anger	0.516
cretins	cretins	anger	0.516
divorce	válás	anger	0.516
broil	civakodás	anger	0.516
grrr	grrr	anger	0.516
venting	szellőztető	anger	0.516
inimical	ellenséges	anger	0.516
duress	kényszer	anger	0.516
disrespectful	tiszteletlen	anger	0.516
tortious	károkozó	anger	0.516
criticize	kritizál	anger	0.516
prisoner	Rab	anger	0.516
dishonest	tisztességtelen	anger	0.516
treason	árulás	anger	0.516
victimized	áldozattá	anger	0.515
bile	epe	anger	0.515
unkind	barátságtalan	anger	0.515
unforgiving	engesztelhetetlen	anger	0.515
unleash	szabadítsa	anger	0.515
coercion	kényszerítés	anger	0.515
scold	szid	anger	0.515
chaos	káosz	anger	0.515
grump	grump	anger	0.515
roar	ordít	anger	0.515
jerks	rándulások	anger	0.515
poaching	orvvadászat	anger	0.515
hangry	hangry	anger	0.515
pow	hadifogoly	anger	0.515
poachers	orvvadászok	anger	0.515
argumentation	érvelés	anger	0.515
frustrating	frusztráló	anger	0.515
tussle	verekedés	anger	0.514
bane	csapás	anger	0.511
accusation	vád	anger	0.510
repudiation	megtagadás	anger	0.510
enmity	ellenségeskedés	anger	0.510
banish	száműz	anger	0.509
disfigured	eltorzított	anger	0.508
storm	vihar	anger	0.507
shun	kitér	anger	0.500
suppression	elnyomás	anger	0.500
unruly	rakoncátlan	anger	0.500
intractable	makacs	anger	0.500
ordeal	megpróbáltatás	anger	0.500
obstruct	akadályozzák	anger	0.500
derogation	eltérés	anger	0.500
fervor	buzgalom	anger	0.500
foaming	habzó	anger	0.500
derision	kicsúfolás	anger	0.500
animus	szándék	anger	0.500
rejects	elutasítja	anger	0.500
bout	küzdelem	anger	0.500
spear	lándzsa	anger	0.500
crazy	őrült	anger	0.500
brazen	arcátlan	anger	0.500
antithesis	ellentét	anger	0.500
injustice	igazságtalanság	anger	0.500
banished	száműzte	anger	0.500
confined	korlátozott	anger	0.500
frenzied	dühöngő	anger	0.500
dominate	uralkodik	anger	0.500
disrupting	megbontó	anger	0.500
hammering	kalapálás	anger	0.500
fear	félelem	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	kín	anger	0.500
brunt	nehezét	anger	0.500
possessed	megszállott	anger	0.500
defy	dacol	anger	0.500
scoff	kötekedés	anger	0.500
patronising	leereszkedő	anger	0.500
delusional	téveszmés	anger	0.500
malpractice	szabálytalanság	anger	0.500
reject	elutasít	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	szívósság	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	őrültség	anger	0.491
sinful	bűnös	anger	0.491
avarice	kapzsiság	anger	0.490
oppress	elnyom	anger	0.490
disapproved	elutasítva	anger	0.485
inhuman	embertelen	anger	0.485
demand	igény	anger	0.485
abolish	megszüntet	anger	0.485
anathema	átok	anger	0.485
fricking	fricking	anger	0.485
complaint	panasz	anger	0.485
disservice	rossz szolgálat	anger	0.485
smuggler	csempész	anger	0.485
revoke	visszavon	anger	0.485
infraction	megszegés	anger	0.485
claw	karom	anger	0.485
dissident	szakadár	anger	0.485
pervert	megront	anger	0.485
incest	vérfertőzés	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	engedetlen	anger	0.485
usurp	bitorol	anger	0.485
alienate	elidegenít	anger	0.485
avenger	bosszúálló	anger	0.485
annoyed	bosszús	anger	0.485
cutting	vágás	anger	0.485
disgrace	szégyen	anger	0.484
deceit	csalás	anger	0.484
suspicious	gyanús	anger	0.484
thresh	csépel	anger	0.484
sucker	szívó	anger	0.484
strained	feszült	anger	0.484
blame	feddés	anger	0.484
upheaval	felfordulás	anger	0.484
renounce	lemond	anger	0.484
obnoxious	kellemetlen	anger	0.484
restrain	visszatartani	anger	0.484
oust	elűz	anger	0.484
litigious	peres	anger	0.484
rivalry	versengés	anger	0.484
penalty	büntetés	anger	0.484
imprisoned	bebörtönzött	anger	0.484
mocking	gúnyos	anger	0.484
opposed	ellentétes	anger	0.484
turbulence	turbulencia	anger	0.483
pound	font	anger	0.481
coldness	hidegség	anger	0.477
ungrateful	hálátlan	anger	0.472
battalion	zászlóalj	anger	0.471
stoopid	stoopid	anger	0.471
hostage	túsz	anger	0.470
infidel	hitetlen	anger	0.470
ram	kos	anger	0.470
accuser	vádló	anger	0.470
gall	epe	anger	0.470
subversion	felforgatás	anger	0.470
annoying	bosszantó	anger	0.470
adversity	balsors	anger	0.470
dispossessed	kisemmizett	anger	0.470
friction	súrlódás	anger	0.470
jealous	irigy	anger	0.470
feudalism	feudalizmus	anger	0.470
armament	fegyverzet	anger	0.470
thump	puffanás	anger	0.469
complain	panaszkodik	anger	0.469
incite	ösztönöz	anger	0.469
steal	lop	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	nem fogad szót	anger	0.469
injury	sérülés	anger	0.469
