word	Corsican-co	emotion	emotion-intensity-score
indignant	indignant	anger	0.641
shackle	manuccatore	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ferita	anger	0.636
suicidal	suicida	anger	0.636
poisoned	poisoned	anger	0.636
batter	batter	anger	0.636
kicking	pidata	anger	0.636
hanging	attaccà	anger	0.636
spanking	sculacciata	anger	0.636
disgusting	disgusting	anger	0.636
combatant	cummuventi	anger	0.636
frustrated	frustratu	anger	0.636
anarchy	anarchia	anger	0.636
glaring	glaring	anger	0.636
inflict	infallu	anger	0.633
wrecked	afflittu	anger	0.633
grievous	averebbe	anger	0.632
prosecute	accusate	anger	0.630
agitated	agitava	anger	0.630
cheat	tramuntana	anger	0.630
swastika	swastika	anger	0.627
defamatory	difamatoriu	anger	0.625
suffocation	suffocazione	anger	0.625
strife	cumbattimentu	anger	0.625
provocation	pruvucazione	anger	0.625
injure	injure	anger	0.625
harassing	assicurannu	anger	0.625
scourge	scorza	anger	0.625
cursing	cursing	anger	0.625
betray	tradiscia	anger	0.625
indict	accuse	anger	0.625
raid	raid	anger	0.625
thundering	trona	anger	0.625
enslaved	esclavi	anger	0.625
arsehole	arsehole	anger	0.624
insane	insana	anger	0.621
fiend	fiend	anger	0.621
irritate	irritate	anger	0.621
convict	cunvinti	anger	0.621
jerk	sceccu	anger	0.621
theft	rouge	anger	0.621
retaliation	rapprisagghia	anger	0.621
deprivation	privisioni	anger	0.621
cussed	cussed	anger	0.619
turmoil	turbulenza	anger	0.618
smack	smack	anger	0.615
retribution	ritruvemu	anger	0.614
twats	tazzi	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	ribellioni	anger	0.609
injurious	injurious	anger	0.609
oppressor	oppressore	anger	0.609
slavery	slaveria	anger	0.609
irritability	irritabilidad	anger	0.609
collision	colisazione	anger	0.609
bitterly	amara	anger	0.609
gang	gang	anger	0.609
antagonism	antagunisimu	anger	0.609
battery	bateria	anger	0.609
adverse	avversu	anger	0.609
disgraced	disgraced	anger	0.608
irritating	irritanti	anger	0.606
revolution	rivoluzione	anger	0.606
thug	matite	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bumbardamentu	anger	0.606
blast	splutazioni	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	discriminazione	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	culo	anger	0.606
frustrate	frustri	anger	0.604
manipulation	manipulazione	anger	0.603
tension	tension	anger	0.603
insult	insulte	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	fugliale	anger	0.603
oppression	oppressione	anger	0.603
disgust	disgust	anger	0.602
spite	malgradu	anger	0.600
intrusive	intrusiva	anger	0.598
harshness	aspra	anger	0.597
slur	slur	anger	0.596
wretch	mischinu	anger	0.594
inferno	inferno	anger	0.594
invasion	invasione	anger	0.594
puncture	puncture	anger	0.594
miserable	miserabbili	anger	0.594
assail	assail	anger	0.594
storming	timperamentu	anger	0.594
casualty	casualty	anger	0.594
bitterness	amarezza	anger	0.594
morbidity	morbidità	anger	0.594
tempest	tempesta	anger	0.594
consternation	consternazione	anger	0.592
depraved	depravata	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	culpèvule	anger	0.591
immoral	immurali	anger	0.591
forcibly	forza	anger	0.591
overpowering	abundanti	anger	0.591
accursed	accictavanu	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	invasore	anger	0.588
scare	scantu	anger	0.588
screwed	invintata	anger	0.588
indignation	indignazione	anger	0.587
jealousy	ghjilosu	anger	0.587
vexed	inghjulazione	anger	0.586
confront	cunfruntassi	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	pesu	anger	0.578
revolver	rivolversore	anger	0.578
slut	slut	anger	0.578
yousuck	sì nullu	anger	0.578
damage	danni	anger	0.578
butcher	u macellu	anger	0.578
conflict	cunflittu	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalità	anger	0.578
bickering	dumandava	anger	0.578
pillage	pillage	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	di colpu	anger	0.578
contentious	cuntzertu	anger	0.578
incarceration	incarcerate	anger	0.578
defiant	desafiant	anger	0.578
provoking	pruvucatu	anger	0.578
lash	lash	anger	0.578
cancer	cancer	anger	0.577
frustration	frustrazione	anger	0.576
gory	gory	anger	0.576
alienation	alienazione	anger	0.576
discord	discord	anger	0.576
disturbance	disturbazione	anger	0.576
grope	grope	anger	0.576
condescension	cundiscendenza	anger	0.576
pernicious	pernicu	anger	0.576
blasphemy	blasphemia	anger	0.576
discriminate	discriminate	anger	0.576
chaotic	caòticu	anger	0.576
gun	fucili	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	oppressivu	anger	0.574
death	morte	anger	0.574
jab	jab	anger	0.574
cursed	malatu	anger	0.574
scandalous	scandalu	anger	0.574
monstrosity	monstruità	anger	0.574
shit	mmerda	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	ingiustu	anger	0.571
gallows	furca	anger	0.570
escalate	scalate	anger	0.569
intolerant	intoleranti	anger	0.564
lawlessness	la dilinquenza	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdizione	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	burlatu	anger	0.562
slander	calumnia	anger	0.562
retards	ritardi	anger	0.562
bearish	bearish	anger	0.562
invade	invadiscia	anger	0.562
bellows	bellows	anger	0.562
beast	bestia	anger	0.562
frightful	spavintusu	anger	0.562
derogatory	scunforti	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	disgraziatu	anger	0.562
traitor	tradituri	anger	0.562
malign	malignu	anger	0.562
wrangling	riunite	anger	0.562
dissension	dissensu	anger	0.561
banshee	banshee	anger	0.561
shatter	si frantumava	anger	0.561
conflagration	conflagraziu	anger	0.561
jeopardize	riscanu	anger	0.561
thief	u latru	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	devastanti	anger	0.561
idiots	idiot	anger	0.561
betrayal	tradimentu	anger	0.561
uncontrollable	incontrollable	anger	0.561
fits	ncontra	anger	0.561
cross	croce	anger	0.561
hurt	ferite	anger	0.561
disturbed	disturbatu	anger	0.559
subjugation	subjugazione	anger	0.559
stomped	stomped	anger	0.557
grab	aghjunghje	anger	0.557
ticked	hà indicatu	anger	0.556
masochism	masochism	anger	0.556
grievance	grievance	anger	0.556
defiance	sfida	anger	0.552
blackmail	scantu	anger	0.550
offensive	offensiva	anger	0.549
decry	dicerianu	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	viulenza	anger	0.547
punishment	punizioni	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	miseria	anger	0.547
frustrates	frustrà	anger	0.547
disgraceful	disgraceful	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	rivolti	anger	0.547
disparity	disparità	anger	0.547
confine	confine	anger	0.547
firearms	arma di focu	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preziosa	anger	0.547
rebel	ribellu	anger	0.547
deceive	burlatu	anger	0.547
stolen	arrubatu	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	mi piace	anger	0.545
heated	calore	anger	0.545
ruined	ruvinatu	anger	0.545
menace	menace	anger	0.545
humiliate	umiliate	anger	0.545
tackle	trattà	anger	0.545
conspirator	conspiratore	anger	0.545
foul	foul	anger	0.545
antagonist	antagunista	anger	0.545
resentful	risicuta	anger	0.545
prejudice	preghjudiziu	anger	0.545
adversary	adversariu	anger	0.545
argument	argumentu	anger	0.545
skirmish	scaramuccia	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ntricciata	anger	0.544
robbery	rottu	anger	0.544
sting	sting	anger	0.544
outcry	critichi	anger	0.544
grumble	murmutulà	anger	0.544
irreconcilable	ricunniscibile	anger	0.543
resistance	resistenza	anger	0.543
obstructive	ostruttiva	anger	0.542
dismay	disgrazia	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	bundanza	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degenerazione	anger	0.531
confinement	confinement	anger	0.531
exacerbation	esaggirati	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	insurgenza	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	imprudente	anger	0.531
unbridled	scantu	anger	0.531
allegation	accusa	anger	0.531
communism	cumunismu	anger	0.531
whip	zotta	anger	0.531
intruder	intruder	anger	0.531
dispute	disputa	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	culpèvule	anger	0.530
hassle	prublemi	anger	0.530
dissonance	dissonance	anger	0.530
unjust	unjust	anger	0.530
dictatorial	dittatoriali	anger	0.530
unjustifiable	unjustificabile	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversione	anger	0.530
tackled	si trattava	anger	0.530
renegade	renegatu	anger	0.529
hot	caldu	anger	0.529
prison	prigiò	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	i rimettimu	anger	0.529
suicide	suicidiu	anger	0.521
annoy	annoys	anger	0.520
leavemealone	lascia mi tranquillu	anger	0.517
idiotic	idiotic	anger	0.516
distrust	distrust	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	u divorziu	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	inimica	anger	0.516
duress	durizza	anger	0.516
disrespectful	disrespectful	anger	0.516
tortious	tortious	anger	0.516
criticize	criticate	anger	0.516
prisoner	prigiuneru	anger	0.516
dishonest	inghjustu	anger	0.516
treason	tradimentu	anger	0.516
victimized	vittimatu	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	senza perdona	anger	0.515
unleash	unleash	anger	0.515
coercion	curazioni	anger	0.515
scold	scold	anger	0.515
chaos	u caosu	anger	0.515
grump	grump	anger	0.515
roar	rmonu	anger	0.515
jerks	scherzi	anger	0.515
poaching	poaching	anger	0.515
hangry	manduca	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	argumintazzioni	anger	0.515
frustrating	frustrante	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	accusazioni	anger	0.510
repudiation	repudiation	anger	0.510
enmity	ingannità	anger	0.510
banish	banish	anger	0.509
disfigured	disfigùtu	anger	0.508
storm	tempesta	anger	0.507
shun	scansa	anger	0.500
suppression	suppressione	anger	0.500
unruly	unruly	anger	0.500
intractable	intractable	anger	0.500
ordeal	travaddu	anger	0.500
obstruct	obstrucir	anger	0.500
derogation	derale	anger	0.500
fervor	fervore	anger	0.500
foaming	sciuma	anger	0.500
derision	sdrigu	anger	0.500
animus	animus	anger	0.500
rejects	rifiutta	anger	0.500
bout	bout	anger	0.500
spear	lanza	anger	0.500
crazy	crazy	anger	0.500
brazen	brazen	anger	0.500
antithesis	antitesi	anger	0.500
injustice	ingiustizia	anger	0.500
banished	spedite	anger	0.500
confined	cunfinata	anger	0.500
frenzied	frenzied	anger	0.500
dominate	domine	anger	0.500
disrupting	disrupting	anger	0.500
hammering	di martellà	anger	0.500
fear	scantu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguish	anger	0.500
brunt	brunt	anger	0.500
possessed	pussidia	anger	0.500
defy	sfida	anger	0.500
scoff	scacciallu	anger	0.500
patronising	patronizing	anger	0.500
delusional	allualiu	anger	0.500
malpractice	mala praise	anger	0.500
reject	rifiutanu	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	tenuezza	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	la fuddìa	anger	0.491
sinful	piccatu	anger	0.491
avarice	avarice	anger	0.490
oppress	oppressu	anger	0.490
disapproved	disapprovate	anger	0.485
inhuman	inumani	anger	0.485
demand	dumanda	anger	0.485
abolish	abulisce	anger	0.485
anathema	anathema	anger	0.485
fricking	fricciante	anger	0.485
complaint	motivazione	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	revucà	anger	0.485
infraction	infraregazione	anger	0.485
claw	gattu	anger	0.485
dissident	dissident	anger	0.485
pervert	pervertite	anger	0.485
incest	incestu	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	disubbidienti	anger	0.485
usurp	usurpà	anger	0.485
alienate	alluntanatu	anger	0.485
avenger	avenger	anger	0.485
annoyed	scuntenti	anger	0.485
cutting	tagliu	anger	0.485
disgrace	disgraziatu	anger	0.484
deceit	falza	anger	0.484
suspicious	suspicious	anger	0.484
thresh	trumbetta	anger	0.484
sucker	lupina	anger	0.484
strained	strained	anger	0.484
blame	culpèvule	anger	0.484
upheaval	trastalettu	anger	0.484
renounce	rinuncemu	anger	0.484
obnoxious	odiu	anger	0.484
restrain	restriisce	anger	0.484
oust	oust	anger	0.484
litigious	litigiosa	anger	0.484
rivalry	rivalità	anger	0.484
penalty	pena	anger	0.484
imprisoned	imprigiunatu	anger	0.484
mocking	si ne ridìanu	anger	0.484
opposed	opposta	anger	0.484
turbulence	turbulenza	anger	0.483
pound	libbra	anger	0.481
coldness	frizza	anger	0.477
ungrateful	ingrati	anger	0.472
battalion	battagghiuni	anger	0.471
stoopid	stoppa	anger	0.471
hostage	a tinta	anger	0.470
infidel	infidate	anger	0.470
ram	ram	anger	0.470
accuser	accusatore	anger	0.470
gall	gallu	anger	0.470
subversion	subversione	anger	0.470
annoying	disgrazia	anger	0.470
adversity	a cuntrarietà	anger	0.470
dispossessed	dispusitivu	anger	0.470
friction	friction	anger	0.470
jealous	ghjilosu	anger	0.470
feudalism	feudalismu	anger	0.470
armament	armamentu	anger	0.470
thump	scherzu	anger	0.469
complain	lagnosa	anger	0.469
incite	incite	anger	0.469
steal	arrubbari	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	disubbidisci	anger	0.469
injury	preghjudiziu	anger	0.469
simmer	simmer	anger	0.469
distress	distress	anger	0.469
insanity	insanità	anger	0.469
selfish	egoista	anger	0.469
huff	huff	anger	0.469
selfishness	egoista	anger	0.469
backoff	backoff	anger	0.469
plunder	scupracciu	anger	0.469
stifled	stifled	anger	0.469
subversive	subversivu	anger	0.469
exile	esiliu	anger	0.469
offense	offisa	anger	0.469
objection	oppunimentu	anger	0.469
recidivism	recidivism	anger	0.469
smother	smother	anger	0.469
perpetrator	perpetratore	anger	0.469
dislike	dislike	anger	0.469
disruption	disruption	anger	0.469
intolerance	intoleranza	anger	0.469
opposition	oppusizioni	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mug	anger	0.467
agony	agunia	anger	0.465
arrogant	arruganti	anger	0.461
sux	sux	anger	0.456
vent	vent	anger	0.456
elimination	eliminazione	anger	0.456
