word	Polish-pl	emotion	emotion-intensity-score
beating	bicie	anger	0.849
desecration	profanacja	anger	0.848
pissingmeoff	wkurza mnie	anger	0.848
outrage	skandal	anger	0.848
stab	zasztyletować	anger	0.844
slaughter	ubój	anger	0.844
violent	gwałtowny	anger	0.844
destroying	niszczenie	anger	0.844
abomination	wstręt	anger	0.844
tumultuous	zgiełkliwy	anger	0.844
irate	zirytowany	anger	0.844
infuriate	rozwścieczyć	anger	0.844
obliterate	wymazać	anger	0.843
belligerent	wojujący	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	brzydzić	anger	0.838
hostilities	działania wojenne	anger	0.837
prick	ukłucie	anger	0.835
torture	torturować	anger	0.833
rabid	wściekły	anger	0.833
horrid	okropny	anger	0.833
rampage	szał	anger	0.833
cruelty	okrucieństwo	anger	0.833
hate	nienawidzić	anger	0.828
demonic	demoniczny	anger	0.828
hating	nienawidzić	anger	0.828
satanic	szatański	anger	0.828
tyrannical	despotyczny	anger	0.828
ragemode	tryb wściekłości	anger	0.828
despicable	podły	anger	0.828
ruinous	rujnujący	anger	0.825
condemn	potępiać	anger	0.825
riots	zamieszki	anger	0.824
demolish	zburzyć	anger	0.824
angry	zły	anger	0.824
extermination	eksterminacja	anger	0.824
dickhead	dickhead	anger	0.824
livid	wściekły	anger	0.821
madman	szaleniec	anger	0.820
vindictive	mściwy	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	okrucieństwo	anger	0.818
venomous	jadowity	anger	0.818
threaten	grozić	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorysta	anger	0.818
abhor	czuć wstręt	anger	0.816
savage	brutalny	anger	0.814
atrocity	okrucieństwo	anger	0.814
carnage	rzeź	anger	0.814
berserk	szał	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	nadużycie	anger	0.812
tyrant	tyran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	wkurwiony	anger	0.812
vendetta	wendeta	anger	0.812
fierce	dziki	anger	0.812
destroyer	niszczyciel	anger	0.812
pissesmeoff	mnie wkurza	anger	0.812
fuming	wściekły	anger	0.812
barbaric	barbarzyński	anger	0.812
anger	gniew	anger	0.811
pieceofshit	Kawałek	anger	0.810
slam	zatrzasnąć	anger	0.803
fights	walki	anger	0.803
punched	uderzony	anger	0.803
bitch	suka	anger	0.803
punching	przebijanie	anger	0.803
homicide	zabójstwo	anger	0.803
destructive	destrukcyjny	anger	0.797
ruthless	bezwzględny	anger	0.797
villainous	nikczemny	anger	0.797
slap	policzkować	anger	0.791
slaughterhouse	rzeźnia	anger	0.788
punishing	karanie	anger	0.788
destroyed	zniszczony	anger	0.788
retaliatory	odwetowy	anger	0.788
riot	zamieszki	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	wrzeszczał	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diaboliczny	anger	0.788
manslaughter	zabójstwo	anger	0.783
clash	kolidować	anger	0.783
bloody	krwawy	anger	0.781
hellish	piekielny	anger	0.781
loath	niechętny	anger	0.781
detonation	detonacja	anger	0.781
quarrel	sprzeczka	anger	0.781
sinister	złowrogi	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	oskarżając	anger	0.779
treacherous	zdradziecki	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	zemścić się	anger	0.773
revulsion	wstręt	anger	0.773
madder	marzanna	anger	0.773
horrific	przerażający	anger	0.773
scorn	pogarda	anger	0.769
deplorable	opłakany	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchista	anger	0.765
devastation	dewastacja	anger	0.765
resent	oburzać się	anger	0.765
firestorm	burza ognia	anger	0.765
contemptible	podły	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	okrutny	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	śmiertelnie	anger	0.758
smash	rozbić	anger	0.758
rant	tyrada	anger	0.758
outburst	wybuch	anger	0.757
snarl	warczenie	anger	0.754
profane	bezcześcić	anger	0.750
offend	obrazić	anger	0.750
douchebags	douchebags	anger	0.750
growling	warczenie	anger	0.750
stfu	Zamknij się	anger	0.750
vulgarity	wulgarność	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	zwariowany	anger	0.750
despise	gardzić	anger	0.750
horror	przerażenie	anger	0.750
aggravating	obciążający	anger	0.750
revolting	oburzający	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	zagrożenie	anger	0.742
erupt	wybuchać	anger	0.742
screaming	krzyczeć	anger	0.742
violence	przemoc	anger	0.742
horrible	okropny	anger	0.742
molestation	molestowanie	anger	0.742
bastards	drani	anger	0.741
revenge	zemsta	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	groźny	anger	0.735
demon	Demon	anger	0.735
crushing	miażdżący	anger	0.735
damn	cholerny	anger	0.735
persecute	prześladować kogoś	anger	0.734
argue	kłócić się	anger	0.734
flog	biczować	anger	0.734
revolt	bunt	anger	0.734
thrash	prać	anger	0.734
deplore	ubolewać	anger	0.734
warfare	działania wojenne	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	gwałtowny	anger	0.734
riotous	rozbrykany	anger	0.734
altercation	sprzeczka	anger	0.729
warlike	wojowniczy	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	bunt	anger	0.727
castrate	wykastrować	anger	0.727
sabotage	sabotaż	anger	0.727
malevolent	wrogi	anger	0.721
strike	strajk	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	fatalny	anger	0.720
tumult	zgiełk	anger	0.719
madden	szaleć	anger	0.719
devil	diabeł	anger	0.719
scream	krzyk	anger	0.719
brutal	brutalny	anger	0.719
treachery	zdrada	anger	0.719
scorching	upalny	anger	0.719
vermin	robactwo	anger	0.719
arseholes	arsehole	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	pogarsza	anger	0.719
spiteful	złośliwy	anger	0.719
slay	zabić	anger	0.719
disdain	pogarda	anger	0.719
choke	dławić się	anger	0.719
bastarding	bękarty	anger	0.719
mangle	magiel	anger	0.714
anarchism	anarchizm	anger	0.714
mutilation	okaleczenie	anger	0.714
criminal	kryminalista	anger	0.714
denunciation	wypowiedzenie	anger	0.713
punch	stempel	anger	0.713
crucifixion	ukrzyżowanie	anger	0.712
virulence	zjadliwość	anger	0.712
battled	walczył	anger	0.712
fatal	fatalny	anger	0.712
holocaust	całopalenie	anger	0.712
blasphemous	bluźnierczy	anger	0.712
hurting	boli	anger	0.712
dumbasses	głupki	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	obłąkany	anger	0.706
atrocious	okrutny	anger	0.706
evil	zło	anger	0.706
irritated	poirytowany	anger	0.706
assassin	morderca	anger	0.703
dicks	Dicks	anger	0.703
persecution	prześladowanie	anger	0.703
slayer	pogromca	anger	0.703
kidnap	porwać kogoś	anger	0.703
scolding	besztanie	anger	0.703
intimidation	zastraszenie	anger	0.703
aggravated	pogarsza się	anger	0.703
aggression	agresja	anger	0.702
armed	uzbrojony	anger	0.700
poison	zatruć	anger	0.697
snarling	warczenie	anger	0.697
venom	jad	anger	0.697
battle	bitwa	anger	0.697
disgruntled	niezadowolony	anger	0.693
insidious	podstępny	anger	0.691
assailant	napastnik	anger	0.691
resentment	uraza	anger	0.691
lynch	zlinczować	anger	0.690
contemptuous	pogardliwy	anger	0.690
temper	hartować	anger	0.688
imprisonment	uwięzienie	anger	0.688
disparage	ubliżać	anger	0.688
bully	tyran	anger	0.688
terrible	straszny	anger	0.688
lunatic	wariat	anger	0.688
curse	przekleństwo	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	zirytowany	anger	0.688
domination	dominacja	anger	0.688
mad	szalony	anger	0.688
infanticide	dzieciobójca	anger	0.688
volatility	zmienność	anger	0.687
eradication	likwidacja	anger	0.685
tantrum	furia	anger	0.682
devastate	niszczyć	anger	0.682
eradicate	wytępić	anger	0.682
scoundrel	łajdak	anger	0.682
aggressively	agresywnie	anger	0.680
agitation	podniecenie	anger	0.680
dictatorship	dyktatura	anger	0.676
irritates	drażni	anger	0.676
profanity	bluźnierstwo	anger	0.673
egregious	skandaliczny	anger	0.672
expletive	dopełniający	anger	0.672
nasty	paskudny	anger	0.672
shove	pchnięcie	anger	0.672
shot	strzał	anger	0.672
harmful	szkodliwy	anger	0.672
aggravation	pogorszenie	anger	0.672
contempt	pogarda	anger	0.672
poisonous	trujący	anger	0.672
dastardly	podły	anger	0.672
shoot	strzelać	anger	0.672
corrupting	korumpujący	anger	0.672
condemnation	potępienie	anger	0.672
wreak	pomścić	anger	0.672
crushed	zgnieciony	anger	0.672
cruelly	okrutnie	anger	0.672
crime	przestępstwo	anger	0.672
maniac	maniak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	wybuch	anger	0.667
odious	wstrętny	anger	0.667
shooting	strzelanie	anger	0.667
kick	kopnięcie	anger	0.667
aggressive	agresywny	anger	0.667
combat	walka	anger	0.667
shout	krzyczeć	anger	0.667
hit	trafienie	anger	0.667
fight	walka	anger	0.667
cutthroat	nożownik	anger	0.667
enemy	wróg	anger	0.667
irritable	drażliwy	anger	0.667
punished	ukarany	anger	0.662
ambush	zasadzka	anger	0.661
yell	krzyk	anger	0.661
harass	nękać	anger	0.659
malignant	złośliwy	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antychryst	anger	0.656
gore	klin	anger	0.656
incense	kadzidło	anger	0.656
expel	usunąć	anger	0.656
destruction	zniszczenie	anger	0.656
grudge	uraza	anger	0.656
cranky	zepsuty	anger	0.653
offended	obrażony	anger	0.652
spank	zbić	anger	0.652
growl	warczeć	anger	0.652
insurrection	insurekcja	anger	0.652
reprisal	akcja odwetowa	anger	0.652
slave	niewolnik	anger	0.652
denounce	potępiać	anger	0.652
animosity	animozja	anger	0.652
insulting	obraźliwy	anger	0.652
clashing	zderzenie	anger	0.652
growls	warczy	anger	0.649
executioner	kat	anger	0.644
twat	twat	anger	0.644
doomsday	Dzień Sądu Ostatecznego	anger	0.643
daemon	demon	anger	0.641
obscenity	nieprzyzwoitość	anger	0.641
bombard	bombardować	anger	0.641
spat	sprzeczka	anger	0.641
havoc	spustoszenie	anger	0.641
feud	wojna	anger	0.641
grr	grr	anger	0.641
arson	podpalenie	anger	0.641
reprimand	nagana	anger	0.641
expulsion	wydalenie	anger	0.641
inexcusable	niewybaczalny	anger	0.641
accused	oskarżony	anger	0.641
indignant	oburzony	anger	0.641
shackle	jarzmo	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	rana	anger	0.636
suicidal	samobójczy	anger	0.636
poisoned	zatrute	anger	0.636
batter	rzadkie ciasto	anger	0.636
kicking	kopanie	anger	0.636
hanging	wiszące	anger	0.636
spanking	lanie	anger	0.636
disgusting	obrzydliwy	anger	0.636
combatant	bojownik	anger	0.636
frustrated	sfrustrowany	anger	0.636
anarchy	anarchia	anger	0.636
glaring	rażący	anger	0.636
inflict	zadać	anger	0.633
wrecked	zrujnowany	anger	0.633
grievous	ciężki	anger	0.632
prosecute	zaskarżyć	anger	0.630
agitated	poruszony	anger	0.630
cheat	oszukać	anger	0.630
swastika	swastyka	anger	0.627
defamatory	oszczerczy	anger	0.625
suffocation	uduszenie	anger	0.625
strife	walka	anger	0.625
provocation	prowokacja	anger	0.625
injure	zranić	anger	0.625
harassing	niepokojenie	anger	0.625
scourge	biczować	anger	0.625
cursing	przeklinanie	anger	0.625
betray	zdradzać	anger	0.625
indict	oskarżać	anger	0.625
raid	nalot	anger	0.625
thundering	grzmiący	anger	0.625
enslaved	zniewolony	anger	0.625
arsehole	arsehole	anger	0.624
insane	szalony	anger	0.621
fiend	diabeł	anger	0.621
irritate	irytować	anger	0.621
convict	skazać	anger	0.621
jerk	szarpnięcie	anger	0.621
theft	kradzież	anger	0.621
retaliation	odwet	anger	0.621
deprivation	pozbawienie	anger	0.621
cussed	przeklęty	anger	0.619
turmoil	zamieszanie	anger	0.618
smack	zadatki	anger	0.615
retribution	zemsta	anger	0.614
twats	dwójki	anger	0.609
intolerable	nie do zniesienia	anger	0.609
rebellion	bunt	anger	0.609
injurious	szkodliwy	anger	0.609
oppressor	prześladowca	anger	0.609
slavery	niewolnictwo	anger	0.609
irritability	drażliwość	anger	0.609
collision	kolizja	anger	0.609
bitterly	gorzko	anger	0.609
gang	banda	anger	0.609
antagonism	antagonizm	anger	0.609
battery	bateria	anger	0.609
adverse	niekorzystny	anger	0.609
disgraced	zhańbiony	anger	0.608
irritating	irytujący	anger	0.606
revolution	rewolucja	anger	0.606
thug	bandyta	anger	0.606
diatribe	diatryba	anger	0.606
bombardment	bombardowanie	anger	0.606
blast	podmuch	anger	0.606
irks	irksy	anger	0.606
sickening	obrzydliwy	anger	0.606
discrimination	dyskryminacja	anger	0.606
antagonistic	antagonistyczny	anger	0.606
ranting	ranting	anger	0.606
asshole	dupek	anger	0.606
frustrate	paraliżować	anger	0.604
manipulation	manipulacja	anger	0.603
tension	napięcie	anger	0.603
insult	zniewaga	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	bolesny	anger	0.603
oppression	ucisk	anger	0.603
disgust	niesmak	anger	0.602
spite	złość	anger	0.600
intrusive	natrętny	anger	0.598
harshness	szorstkość	anger	0.597
slur	łuk	anger	0.596
wretch	nieszczęśnik	anger	0.594
inferno	piekło	anger	0.594
invasion	inwazja	anger	0.594
puncture	przebicie	anger	0.594
miserable	nieszczęśliwy	anger	0.594
assail	atakować	anger	0.594
storming	buńczuczny	anger	0.594
casualty	wypadek	anger	0.594
bitterness	gorycz	anger	0.594
morbidity	zachorowalność	anger	0.594
tempest	nawałnica	anger	0.594
consternation	konsternacja	anger	0.592
depraved	zdeprawowany	anger	0.591
raving	bredzenie	anger	0.591
guillotine	gilotyna	anger	0.591
guilty	winny	anger	0.591
immoral	niemoralny	anger	0.591
forcibly	siłą	anger	0.591
overpowering	przytłaczający	anger	0.591
accursed	przeklęty	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	oporny	anger	0.588
invader	najeźdźca	anger	0.588
scare	przestraszyć	anger	0.588
screwed	pijany	anger	0.588
indignation	oburzenie	anger	0.587
jealousy	zazdrość	anger	0.587
vexed	zdenerwowany	anger	0.586
confront	konfrontować	anger	0.582
brute	bydlę	anger	0.581
throttle	przepustnica	anger	0.579
wreck	wrak	anger	0.578
revolver	rewolwer	anger	0.578
slut	chlapa	anger	0.578
yousuck	yousuck	anger	0.578
damage	uszkodzić	anger	0.578
butcher	rzeźnik	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	przestępczość	anger	0.578
bickering	sprzeczka	anger	0.578
pillage	plądrowanie	anger	0.578
blaze	płomień	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	pucz	anger	0.578
contentious	sporny	anger	0.578
incarceration	uwięzienie	anger	0.578
defiant	wyzywający	anger	0.578
provoking	irytujący	anger	0.578
lash	bicz	anger	0.578
cancer	nowotwór	anger	0.577
frustration	udaremnienie	anger	0.576
gory	krwawy	anger	0.576
alienation	alienacja	anger	0.576
discord	niezgoda	anger	0.576
disturbance	niepokojenie	anger	0.576
grope	iść po omacku	anger	0.576
condescension	łaskawość	anger	0.576
pernicious	zgubny	anger	0.576
blasphemy	bluźnierstwo	anger	0.576
discriminate	dyskryminować	anger	0.576
chaotic	chaotyczny	anger	0.576
gun	pistolet	anger	0.576
standoff	dystans	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	szydzić	anger	0.574
lunacy	obłęd	anger	0.574
oppressive	uciążliwy	anger	0.574
death	śmierć	anger	0.574
jab	ukłucie	anger	0.574
cursed	przeklęty	anger	0.574
scandalous	skandaliczny	anger	0.574
monstrosity	potworność	anger	0.574
shit	gówno	anger	0.573
disparaging	ubliżający	anger	0.571
slash	ciąć	anger	0.571
unfair	niesprawiedliwy	anger	0.571
gallows	szubienica	anger	0.570
escalate	zwiększać	anger	0.569
intolerant	nietolerancyjny	anger	0.564
lawlessness	bezprawie	anger	0.563
bluddy	bluddy	anger	0.562
perdition	zatracenie	anger	0.562
taunt	kpina	anger	0.562
grouchy	zrzędliwy	anger	0.562
torpedo	torpeda	anger	0.562
deceived	oszukani	anger	0.562
slander	oszczerstwo	anger	0.562
retards	opóźnienia	anger	0.562
bearish	niedźwiedzi	anger	0.562
invade	najechać	anger	0.562
bellows	miechy	anger	0.562
beast	bestia	anger	0.562
frightful	straszny	anger	0.562
derogatory	uwłaczający	anger	0.562
glare	blask	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	straszny	anger	0.562
traitor	zdrajca	anger	0.562
malign	złośliwy	anger	0.562
wrangling	spór	anger	0.562
dissension	niezgoda	anger	0.561
banshee	banshee	anger	0.561
shatter	roztrzaskać	anger	0.561
conflagration	pożar	anger	0.561
jeopardize	narazić	anger	0.561
thief	złodziej	anger	0.561
rave	bredzić	anger	0.561
grating	krata	anger	0.561
devastating	niszczycielski	anger	0.561
idiots	idioci	anger	0.561
betrayal	zdrada	anger	0.561
uncontrollable	niepowstrzymany	anger	0.561
fits	pasuje	anger	0.561
cross	krzyż	anger	0.561
hurt	ból	anger	0.561
disturbed	zaniepokojony	anger	0.559
subjugation	ujarzmienie	anger	0.559
stomped	stąpał	anger	0.557
grab	chwycić	anger	0.557
ticked	zaznaczone	anger	0.556
masochism	masochizm	anger	0.556
grievance	skarga	anger	0.556
defiance	bunt	anger	0.552
blackmail	szantaż	anger	0.550
offensive	ofensywa	anger	0.549
decry	potępiać	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	naruszenie	anger	0.547
punishment	kara	anger	0.547
shrill	przenikliwy	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ciemna strona	anger	0.547
misery	nieszczęście	anger	0.547
frustrates	frustruje	anger	0.547
disgraceful	haniebny	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	apodyktyczny	anger	0.547
disparity	różnica	anger	0.547
confine	ograniczać	anger	0.547
firearms	broń palna	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	niedorzeczny	anger	0.547
rebel	Buntownik	anger	0.547
deceive	oszukać	anger	0.547
stolen	skradziony	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ożywiony	anger	0.545
ruined	zrujnowany	anger	0.545
menace	groźba	anger	0.545
humiliate	poniżyć	anger	0.545
tackle	sprzęt	anger	0.545
conspirator	spiskowiec	anger	0.545
foul	faul	anger	0.545
antagonist	antagonista	anger	0.545
resentful	urażony	anger	0.545
prejudice	uprzedzenie	anger	0.545
adversary	przeciwnik	anger	0.545
argument	argument	anger	0.545
skirmish	potyczka	anger	0.545
callous	stwardniały	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	uwikłany	anger	0.544
robbery	rozbój	anger	0.544
sting	Żądło	anger	0.544
outcry	wrzask	anger	0.544
grumble	narzekać	anger	0.544
irreconcilable	nie do pogodzenia	anger	0.543
resistance	odporność	anger	0.543
obstructive	zatykający	anger	0.542
dismay	przerażenie	anger	0.540
mob	tłum	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	niegodziwość	anger	0.536
ridicule	kpiny	anger	0.534
incendiary	zapalający	anger	0.533
flares	flary	anger	0.532
degeneracy	degeneracja	anger	0.531
confinement	uwięzienie	anger	0.531
exacerbation	zaostrzenie	anger	0.531
prejudicial	szkodliwy	anger	0.531
uprising	powstanie	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	lekkomyślny	anger	0.531
unbridled	nieokiełznany	anger	0.531
allegation	zarzut	anger	0.531
communism	komunizm	anger	0.531
whip	bat	anger	0.531
intruder	intruz	anger	0.531
dispute	Spierać się	anger	0.531
belittle	bagatelizować	anger	0.531
bigoted	zajadły	anger	0.530
offender	przestępca	anger	0.530
hassle	kłopot	anger	0.530
dissonance	dysonans	anger	0.530
unjust	niesprawiedliwy	anger	0.530
dictatorial	dyktatorski	anger	0.530
unjustifiable	nieuzasadniony	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perwersja	anger	0.530
tackled	Rozwiązany	anger	0.530
renegade	renegat	anger	0.529
hot	gorąco	anger	0.529
prison	więzienie	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	wykroczenie	anger	0.529
suicide	samobójstwo	anger	0.521
annoy	denerwować	anger	0.520
leavemealone	Zostaw mnie w spokoju	anger	0.517
idiotic	idiotyczny	anger	0.516
distrust	nieufność	anger	0.516
depravity	deprawacja	anger	0.516
cretins	kretyni	anger	0.516
divorce	rozwód	anger	0.516
broil	burda	anger	0.516
grrr	grrr	anger	0.516
venting	odpowietrzanie	anger	0.516
inimical	wrogi	anger	0.516
duress	przymus	anger	0.516
disrespectful	lekceważący	anger	0.516
tortious	tortury	anger	0.516
criticize	krytykować	anger	0.516
prisoner	więzień	anger	0.516
dishonest	nieuczciwy	anger	0.516
treason	zdrada	anger	0.516
victimized	represjonowany	anger	0.515
bile	żółć	anger	0.515
unkind	niedobry	anger	0.515
unforgiving	pamiętliwy	anger	0.515
unleash	rozpętać	anger	0.515
coercion	przymus	anger	0.515
scold	nakrzyczeć	anger	0.515
chaos	chaos	anger	0.515
grump	zrzęda	anger	0.515
roar	ryk	anger	0.515
jerks	targanie	anger	0.515
poaching	kłusownictwo	anger	0.515
hangry	powiesić	anger	0.515
pow	pow	anger	0.515
poachers	kłusownicy	anger	0.515
argumentation	argumentacja	anger	0.515
frustrating	denerwujący	anger	0.515
tussle	bijatyka	anger	0.514
bane	zmora	anger	0.511
accusation	oskarżenie	anger	0.510
repudiation	odrzucenie	anger	0.510
enmity	wrogość	anger	0.510
banish	wygnać	anger	0.509
disfigured	oszpecone	anger	0.508
storm	burza	anger	0.507
shun	unikać	anger	0.500
suppression	tłumienie	anger	0.500
unruly	niesforny	anger	0.500
intractable	trudny	anger	0.500
ordeal	ciężka próba	anger	0.500
obstruct	blokować	anger	0.500
derogation	derogacja	anger	0.500
fervor	zapał	anger	0.500
foaming	pieniący się	anger	0.500
derision	drwina	anger	0.500
animus	animozja	anger	0.500
rejects	odrzuca	anger	0.500
bout	atak	anger	0.500
spear	włócznia	anger	0.500
crazy	zwariowany	anger	0.500
brazen	nachalny	anger	0.500
antithesis	antyteza	anger	0.500
injustice	niesprawiedliwość	anger	0.500
banished	wygnany	anger	0.500
confined	ograniczony	anger	0.500
frenzied	oszalały	anger	0.500
dominate	zdominować	anger	0.500
disrupting	zakłócać	anger	0.500
hammering	kucie	anger	0.500
fear	strach	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	boleść	anger	0.500
brunt	siła	anger	0.500
possessed	opętany	anger	0.500
defy	przeciwstawiać się	anger	0.500
scoff	szydzić	anger	0.500
patronising	protekcjonalny	anger	0.500
delusional	urojeniowy	anger	0.500
malpractice	zaniedbanie	anger	0.500
reject	odrzucać	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	wytrzymałość	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	szaleństwo	anger	0.491
sinful	grzeszny	anger	0.491
avarice	chciwość	anger	0.490
oppress	uciskać	anger	0.490
disapproved	Odrzucona	anger	0.485
inhuman	nieludzki	anger	0.485
demand	żądanie	anger	0.485
abolish	znieść	anger	0.485
anathema	anatema	anger	0.485
fricking	szyderczy	anger	0.485
complaint	skarga	anger	0.485
disservice	niedźwiedzia przysługa	anger	0.485
smuggler	przemytnik	anger	0.485
revoke	unieważnić	anger	0.485
infraction	naruszenie	anger	0.485
claw	pazur	anger	0.485
dissident	dysydent	anger	0.485
pervert	zboczeniec	anger	0.485
incest	kazirodztwo	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	nieposłuszny	anger	0.485
usurp	uzurpować	anger	0.485
alienate	zrazić	anger	0.485
avenger	mściciel	anger	0.485
annoyed	zirytowany	anger	0.485
cutting	tnący	anger	0.485
disgrace	hańba	anger	0.484
deceit	oszustwo	anger	0.484
suspicious	podejrzany	anger	0.484
thresh	namłócić	anger	0.484
sucker	przyssawka	anger	0.484
strained	napięty	anger	0.484
blame	winić	anger	0.484
upheaval	przewrót	anger	0.484
renounce	zrzec się	anger	0.484
obnoxious	nieprzyjemny	anger	0.484
restrain	powstrzymać się	anger	0.484
oust	wyrugować	anger	0.484
litigious	sporny	anger	0.484
rivalry	rywalizacja	anger	0.484
penalty	rzut karny	anger	0.484
imprisoned	uwięziony	anger	0.484
mocking	kpiąco	anger	0.484
opposed	przeciwny	anger	0.484
turbulence	turbulencja	anger	0.483
pound	funt	anger	0.481
coldness	chłód	anger	0.477
ungrateful	niewdzięczny	anger	0.472
battalion	batalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	zakładnik	anger	0.470
infidel	niewierny	anger	0.470
ram	Baran	anger	0.470
accuser	oskarżyciel	anger	0.470
gall	żółć	anger	0.470
subversion	obalenie	anger	0.470
annoying	denerwujący	anger	0.470
adversity	nieszczęście	anger	0.470
dispossessed	wywłaszczony	anger	0.470
friction	tarcie	anger	0.470
jealous	zazdrosny	anger	0.470
feudalism	feudalizm	anger	0.470
