word	Lao-lo	emotion	emotion-intensity-score
chaotic	chaotic	anger	0.576
gun	ປືນ	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	oppressive	anger	0.574
death	ເສຍຊີວິດ	anger	0.574
jab	jab	anger	0.574
cursed	cursed	anger	0.574
scandalous	ເລື່ອງຮໍາຄານ	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	ບໍ່ຍຸດຕິທໍາ	anger	0.571
gallows	ແກະສະຫລັກ	anger	0.570
escalate	escalate	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	lawlessness	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	taunt	anger	0.562
grouchy	ຂີ້ກຽດ	anger	0.562
torpedo	torpedo	anger	0.562
deceived	ຫລອກລວງ	anger	0.562
slander	ການກ່າວໂທດ	anger	0.562
retards	ການຊັກຊ້າ	anger	0.562
bearish	ລົດລົງ	anger	0.562
invade	invade	anger	0.562
bellows	bellows	anger	0.562
beast	ສັດເດຍລະສານ	anger	0.562
frightful	ອັນຕະລາຍ	anger	0.562
derogatory	ການລ່ວງລະເມີດ	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	dreadful	anger	0.562
traitor	traitor	anger	0.562
malign	ຮ້າຍແຮງ	anger	0.562
wrangling	wrangling	anger	0.562
dissension	dissension	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	ເຮັດໃຫ້ເສຍສະຕິ	anger	0.561
thief	ໂຈນ	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	devastating	anger	0.561
idiots	idiots	anger	0.561
betrayal	ການທໍລະຍົດ	anger	0.561
uncontrollable	uncontrollable	anger	0.561
fits	ເຫມາະສົມ	anger	0.561
cross	ຂ້າມ	anger	0.561
hurt	ເຈັບປວດ	anger	0.561
disturbed	ຖືກລົບກວນ	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	grab	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	ການຮ້ອງທຸກ	anger	0.556
defiance	defiance	anger	0.552
blackmail	blackmail	anger	0.550
offensive	offensive	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ການລະເມີດ	anger	0.547
punishment	ການລົງໂທດ	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ດ້ານ​ມືດ	anger	0.547
misery	ຄວາມທຸກທໍລະມານ	anger	0.547
frustrates	frustrates	anger	0.547
disgraceful	ຫນ້າຢ້ານກົວ	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	disparity	anger	0.547
confine	ຂັງ	anger	0.547
firearms	ປືນໃຫຍ່	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ຜິດພາດ	anger	0.547
rebel	rebel	anger	0.547
deceive	ຫລອກລວງ	anger	0.547
stolen	ຖືກລັກ	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ຮ້ອນ	anger	0.545
ruined	ruined	anger	0.545
menace	ອັນຕະລາຍ	anger	0.545
humiliate	humiliate	anger	0.545
tackle	tackle	anger	0.545
conspirator	conspirator	anger	0.545
foul	ເຫມັນ	anger	0.545
antagonist	antagonist	anger	0.545
resentful	ຫນ້າກຽດຊັງ	anger	0.545
prejudice	prejudice	anger	0.545
adversary	opponent	anger	0.545
argument	ການໂຕ້ຖຽງ	anger	0.545
skirmish	skirmish	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ຂັດຂວາງ	anger	0.544
robbery	robbery	anger	0.544
sting	sting	anger	0.544
outcry	outcry	anger	0.544
grumble	ຂົ່ມຂູ່	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	ການຕໍ່ຕ້ານ	anger	0.543
obstructive	ການກີດຂວາງ	anger	0.542
dismay	ຕົກໃຈ	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ຄວາມບໍ່ດີ	anger	0.536
ridicule	ridiculous	anger	0.534
incendiary	incendiary	anger	0.533
flares	ໄຟໄຫມ້	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	confinement	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	uprising	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ບໍ່ສົມຄວນ	anger	0.531
unbridled	unbridled	anger	0.531
allegation	ຂໍ້ກ່າວຫາ	anger	0.531
communism	communism	anger	0.531
whip	whip	anger	0.531
intruder	intruder	anger	0.531
dispute	ຂັດແຍ້ງ	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	ຜູ້ພິພາກສາ	anger	0.530
hassle	ຄວາມສັບສົນ	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ຍຸຕິທໍາ	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	ບໍ່ຖືກຕ້ອງ	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	tackled	anger	0.530
renegade	renegade	anger	0.529
hot	ຮ້ອນ	anger	0.529
prison	ຄຸກ	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	suicide	anger	0.521
annoy	annoy	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotic	anger	0.516
distrust	ບໍ່ຫມັ້ນໃຈ	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	ການຢ່າຮ້າງ	anger	0.516
broil	ຂູດ	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	inimical	anger	0.516
duress	ບັງຄັບ	anger	0.516
disrespectful	ບໍ່ນັບຖື	anger	0.516
tortious	ຮ້າຍແຮງ	anger	0.516
criticize	ຕໍາຫນິ	anger	0.516
prisoner	ນັກໂທດ	anger	0.516
dishonest	dishonest	anger	0.516
treason	treason	anger	0.516
victimized	ຖືກເຄາະຮ້າຍ	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	unleash	anger	0.515
coercion	ການບັງຄັບ	anger	0.515
scold	scold	anger	0.515
chaos	chaos	anger	0.515
grump	grump	anger	0.515
roar	ສຽງດັງ	anger	0.515
jerks	jerks	anger	0.515
poaching	ການຂົ່ມຂູ່	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	ການໂຕ້ຖຽງ	anger	0.515
frustrating	ຫນ້າກຽດຊັງ	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	ຂໍ້ກ່າວຫາ	anger	0.510
repudiation	repudiation	anger	0.510
enmity	ຄວາມຊົ່ວຮ້າຍ	anger	0.510
banish	banish	anger	0.509
disfigured	disfigured	anger	0.508
storm	ພະຍຸ	anger	0.507
shun	shun	anger	0.500
suppression	suppression	anger	0.500
unruly	unruly	anger	0.500
intractable	intractable	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	ຂັດຂວາງ	anger	0.500
derogation	derogation	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	ປະຕິເສດ	anger	0.500
bout	bout	anger	0.500
spear	spear	anger	0.500
crazy	crazy	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	injustice	anger	0.500
banished	ຖືກຍົກເລີກ	anger	0.500
