word	Croatian-hr	emotion	emotion-intensity-score
venomous	otrovan	anger	0.818
threaten	ugroziti	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	mrziti	anger	0.816
savage	divljak	anger	0.814
atrocity	grozota	anger	0.814
carnage	pokolj	anger	0.814
berserk	mahnit	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	zlostavljanje	anger	0.812
tyrant	tiranin	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	ljut	anger	0.812
vendetta	krvna osveta	anger	0.812
fierce	bijesan	anger	0.812
destroyer	razarač	anger	0.812
pissesmeoff	ljuti me	anger	0.812
fuming	dimljiv	anger	0.812
barbaric	varvarski	anger	0.812
anger	bijes	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	zalupiti	anger	0.803
fights	borbe	anger	0.803
punched	bušena	anger	0.803
bitch	kuja	anger	0.803
punching	udaranje	anger	0.803
homicide	umorstvo	anger	0.803
destructive	destruktivno	anger	0.797
ruthless	nemilosrdan	anger	0.797
villainous	prostački	anger	0.797
slap	šamar	anger	0.791
slaughterhouse	klaonica	anger	0.788
punishing	težak	anger	0.788
destroyed	uništen	anger	0.788
retaliatory	odmazdan	anger	0.788
riot	pobuna	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	deranja	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	dijaboličan	anger	0.788
manslaughter	ubistvo bez predoumišljaja	anger	0.783
clash	sukob	anger	0.783
bloody	krvav	anger	0.781
hellish	paklen	anger	0.781
loath	nesklon	anger	0.781
detonation	detonacija	anger	0.781
quarrel	svađa	anger	0.781
sinister	zlokoban	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	optužujući	anger	0.779
treacherous	podmukao	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	osvetiti se	anger	0.773
revulsion	odvratnost	anger	0.773
madder	crvena boja	anger	0.773
horrific	užasavajući	anger	0.773
scorn	prezir	anger	0.769
deplorable	jadan	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarhist	anger	0.765
devastation	pustoš	anger	0.765
resent	vrijeđati	anger	0.765
firestorm	Vatrena oluja	anger	0.765
contemptible	prezren	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	okrutan	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ubojit	anger	0.758
smash	razbiti	anger	0.758
rant	dreka	anger	0.758
outburst	izljev	anger	0.757
snarl	uvrnuti	anger	0.754
profane	skrnaviti	anger	0.750
offend	uvrijediti	anger	0.750
douchebags	douchebags	anger	0.750
growling	reži	anger	0.750
stfu	STFU	anger	0.750
vulgarity	vulgarnost	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	bjesomučan	anger	0.750
despise	prezirati	anger	0.750
horror	užas	anger	0.750
aggravating	otežavajući	anger	0.750
revolting	odvratan	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	prijetnja	anger	0.742
erupt	buknuti	anger	0.742
screaming	vrištanje	anger	0.742
violence	nasilje	anger	0.742
horrible	užasno	anger	0.742
molestation	zlostavljanje	anger	0.742
bastards	gadovi	anger	0.741
revenge	osveta	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	prijeteći	anger	0.735
demon	demon	anger	0.735
crushing	velik	anger	0.735
damn	proklet	anger	0.735
persecute	progoniti	anger	0.734
argue	raspravljati	anger	0.734
flog	šibati	anger	0.734
revolt	pobuna	anger	0.734
thrash	mlatiti	anger	0.734
deplore	žaliti	anger	0.734
warfare	ratovanje	anger	0.734
fedup	fedup	anger	0.734
vehement	žestok	anger	0.734
riotous	raskalašan	anger	0.734
altercation	svađa	anger	0.729
warlike	ratoboran	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	pobuna	anger	0.727
castrate	kastrirati	anger	0.727
sabotage	sabotaža	anger	0.727
malevolent	zlonamjeran	anger	0.721
strike	štrajk	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	katastrofalan	anger	0.720
tumult	buka	anger	0.719
madden	zaluditi	anger	0.719
devil	vrag	anger	0.719
scream	vrisak	anger	0.719
brutal	brutalan	anger	0.719
treachery	izdaja	anger	0.719
scorching	oprljivanje	anger	0.719
vermin	štetočina	anger	0.719
arseholes	šupci	anger	0.719
horseshit	sranje	anger	0.719
aggravates	otežava	anger	0.719
spiteful	zlurad	anger	0.719
slay	ubiti	anger	0.719
disdain	prezir	anger	0.719
choke	gušiti	anger	0.719
bastarding	bastarding	anger	0.719
mangle	komadati	anger	0.714
anarchism	anarhizam	anger	0.714
mutilation	sakaćenje	anger	0.714
criminal	kriminalac	anger	0.714
denunciation	prijava	anger	0.713
punch	bušiti	anger	0.713
crucifixion	raspeće	anger	0.712
virulence	zaraznost	anger	0.712
battled	borili	anger	0.712
fatal	fatalan	anger	0.712
holocaust	uništenje	anger	0.712
blasphemous	bogohulan	anger	0.712
hurting	ranjavanje	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	poremećen	anger	0.706
atrocious	zločest	anger	0.706
evil	zlo	anger	0.706
irritated	razdražen	anger	0.706
assassin	ubica	anger	0.703
dicks	dicks	anger	0.703
persecution	progon	anger	0.703
slayer	ubica	anger	0.703
kidnap	oteti	anger	0.703
scolding	ruženje	anger	0.703
intimidation	prijetnja	anger	0.703
aggravated	pogoršati	anger	0.703
aggression	agresija	anger	0.702
armed	naoružan	anger	0.700
poison	Otrov	anger	0.697
snarling	režao	anger	0.697
venom	otrov	anger	0.697
battle	bitka	anger	0.697
disgruntled	nezadovoljan	anger	0.693
insidious	podmukao	anger	0.691
assailant	napadač	anger	0.691
resentment	jed	anger	0.691
lynch	linčovati	anger	0.690
contemptuous	preziran	anger	0.690
temper	temperament	anger	0.688
imprisonment	zatvor	anger	0.688
disparage	podcjenjivati	anger	0.688
bully	zlostavljati	anger	0.688
terrible	užasan	anger	0.688
lunatic	luđak	anger	0.688
curse	kletva	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	zlovoljan	anger	0.688
domination	dominacija	anger	0.688
mad	lud	anger	0.688
infanticide	čedomorstvo	anger	0.688
volatility	nestalnost	anger	0.687
eradication	iskorjenjivanje	anger	0.685
tantrum	tantrum	anger	0.682
devastate	opustošiti	anger	0.682
eradicate	iskorijeniti	anger	0.682
scoundrel	nitkov	anger	0.682
aggressively	agresivno	anger	0.680
agitation	agitacija	anger	0.680
dictatorship	diktatura	anger	0.676
irritates	iritira	anger	0.676
profanity	vulgarnost	anger	0.673
egregious	nečuven	anger	0.672
expletive	psovka	anger	0.672
nasty	gadan	anger	0.672
shove	gurati	anger	0.672
shot	šut	anger	0.672
harmful	štetan	anger	0.672
aggravation	otežavanje	anger	0.672
contempt	prezir	anger	0.672
poisonous	otrovan	anger	0.672
dastardly	kukavički	anger	0.672
shoot	pucati	anger	0.672
corrupting	oštećenje	anger	0.672
condemnation	osuda	anger	0.672
wreak	iskaliti	anger	0.672
crushed	zgnječen	anger	0.672
cruelly	okrutno	anger	0.672
crime	kriminal	anger	0.672
maniac	manijak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupcija	anger	0.667
odious	odvratan	anger	0.667
shooting	pucanje	anger	0.667
kick	udarac	anger	0.667
aggressive	agresivan	anger	0.667
combat	borba	anger	0.667
shout	vikati	anger	0.667
hit	pogoditi	anger	0.667
fight	borba	anger	0.667
cutthroat	koljač	anger	0.667
enemy	neprijatelj	anger	0.667
irritable	razdražljiv	anger	0.667
punished	kažnjeni	anger	0.662
ambush	zasjeda	anger	0.661
yell	vikati	anger	0.661
harass	uznemiravati	anger	0.659
malignant	zloćudan	anger	0.656
aggressor	agresor	anger	0.656
antichrist	Antihrist	anger	0.656
gore	klin	anger	0.656
incense	tamjan	anger	0.656
expel	protjerati	anger	0.656
destruction	razaranje	anger	0.656
grudge	inat	anger	0.656
cranky	mrzovoljan	anger	0.653
offended	uvrijeđen	anger	0.652
spank	pljuska	anger	0.652
growl	režanje	anger	0.652
insurrection	ustanak	anger	0.652
reprisal	odmazda	anger	0.652
slave	rob	anger	0.652
denounce	otkazati	anger	0.652
animosity	neprijateljstvo	anger	0.652
insulting	uvredljiv	anger	0.652
clashing	sukobljavajući	anger	0.652
growls	reži	anger	0.649
executioner	izvršitelj	anger	0.644
twat	twat	anger	0.644
doomsday	Sudnji dan	anger	0.643
daemon	demon	anger	0.641
obscenity	sramotnost	anger	0.641
bombard	bombardovati	anger	0.641
spat	svađa	anger	0.641
havoc	pustoš	anger	0.641
feud	svađa	anger	0.641
grr	GRrkao	anger	0.641
arson	palež	anger	0.641
reprimand	ukor	anger	0.641
expulsion	isključenje	anger	0.641
inexcusable	neoprostiv	anger	0.641
accused	optuženik	anger	0.641
indignant	ogorčen	anger	0.641
shackle	okovati	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	rana	anger	0.636
suicidal	suicidalan	anger	0.636
poisoned	zatrovan	anger	0.636
batter	tijesto	anger	0.636
kicking	udaranje	anger	0.636
hanging	vješanje	anger	0.636
spanking	šopanje	anger	0.636
disgusting	odvratan	anger	0.636
combatant	borac	anger	0.636
frustrated	frustriran	anger	0.636
anarchy	anarhija	anger	0.636
glaring	sjajan	anger	0.636
inflict	nanositi	anger	0.633
wrecked	upropašćen	anger	0.633
grievous	bolan	anger	0.632
prosecute	goniti	anger	0.630
agitated	uzrujan	anger	0.630
cheat	varati	anger	0.630
swastika	svastika	anger	0.627
defamatory	klevetnički	anger	0.625
suffocation	ugušenje	anger	0.625
strife	svađa	anger	0.625
provocation	provokacija	anger	0.625
injure	ozlijediti	anger	0.625
harassing	uznemirujući	anger	0.625
scourge	bičevati	anger	0.625
cursing	psujući	anger	0.625
betray	izdati	anger	0.625
indict	optužiti	anger	0.625
raid	racija	anger	0.625
thundering	gromovit	anger	0.625
enslaved	porobljen	anger	0.625
arsehole	šupkom	anger	0.624
insane	lud	anger	0.621
fiend	đavo	anger	0.621
irritate	nadražiti	anger	0.621
convict	osuđenik	anger	0.621
jerk	glupan	anger	0.621
theft	krađa	anger	0.621
retaliation	osveta	anger	0.621
deprivation	lišavanje	anger	0.621
cussed	nastran	anger	0.619
turmoil	nemir	anger	0.618
smack	cmok	anger	0.615
retribution	odmazda	anger	0.614
twats	twats	anger	0.609
intolerable	nepodnošljiv	anger	0.609
rebellion	pobuna	anger	0.609
injurious	štetan	anger	0.609
oppressor	tlačitelj	anger	0.609
slavery	ropstvo	anger	0.609
irritability	razdražljivost	anger	0.609
collision	sudar	anger	0.609
bitterly	ogorčeno	anger	0.609
gang	banda	anger	0.609
antagonism	antagonizam	anger	0.609
battery	baterija	anger	0.609
adverse	štetan	anger	0.609
disgraced	osramoćena	anger	0.608
irritating	nadražujući	anger	0.606
revolution	revolucija	anger	0.606
thug	davilac	anger	0.606
diatribe	klevetnički govor	anger	0.606
bombardment	bombardovanje	anger	0.606
blast	eksplozija	anger	0.606
irks	irks	anger	0.606
sickening	odvratan	anger	0.606
discrimination	diskriminacija	anger	0.606
antagonistic	protivnički	anger	0.606
ranting	ranting	anger	0.606
asshole	šupak	anger	0.606
frustrate	frustrirati	anger	0.604
manipulation	manipulacija	anger	0.603
tension	napetost	anger	0.603
insult	uvreda	anger	0.603
bigot	čovjek pun predrasuda	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	štetan	anger	0.603
oppression	ugnjetavanje	anger	0.603
disgust	gađenje	anger	0.602
spite	inat	anger	0.600
intrusive	nametljiv	anger	0.598
harshness	hrapavost	anger	0.597
slur	nipodaštavati	anger	0.596
wretch	bijednik	anger	0.594
inferno	pakao	anger	0.594
invasion	invazija	anger	0.594
puncture	puknuti	anger	0.594
miserable	bijedan	anger	0.594
assail	salijetati	anger	0.594
storming	storming	anger	0.594
casualty	žrtva	anger	0.594
bitterness	gorčina	anger	0.594
morbidity	morbidnost	anger	0.594
tempest	oluja	anger	0.594
consternation	zapanjenost	anger	0.592
depraved	lišen	anger	0.591
raving	buncanje	anger	0.591
guillotine	giljotina	anger	0.591
guilty	kriv	anger	0.591
immoral	nemoralan	anger	0.591
forcibly	energično	anger	0.591
overpowering	neodoljiv	anger	0.591
accursed	proklet	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	neposlušan	anger	0.588
invader	osvajač	anger	0.588
scare	uplašiti	anger	0.588
screwed	pijan	anger	0.588
indignation	gnjev	anger	0.587
jealousy	ljubomora	anger	0.587
vexed	sporan	anger	0.586
confront	suočiti	anger	0.582
brute	zvijer	anger	0.581
throttle	gas	anger	0.579
wreck	olupina	anger	0.578
revolver	revolver	anger	0.578
slut	djevojčura	anger	0.578
yousuck	yousuck	anger	0.578
damage	šteta	anger	0.578
butcher	mesar	anger	0.578
conflict	sukob	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitet	anger	0.578
bickering	svađe	anger	0.578
pillage	pljačka	anger	0.578
blaze	plamen	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	genijalan potez	anger	0.578
contentious	svadljiv	anger	0.578
incarceration	zatvaranje	anger	0.578
defiant	prkosan	anger	0.578
provoking	provokativan	anger	0.578
lash	bič	anger	0.578
cancer	Rak	anger	0.577
frustration	frustracija	anger	0.576
gory	krvav	anger	0.576
alienation	otuđenje	anger	0.576
discord	razdor	anger	0.576
disturbance	poremećaj	anger	0.576
grope	pipati	anger	0.576
condescension	snishodljivost	anger	0.576
pernicious	opasan	anger	0.576
blasphemy	bogohuljenje	anger	0.576
discriminate	praviti razliku	anger	0.576
chaotic	kaotičan	anger	0.576
gun	puška	anger	0.576
standoff	uzdržljivost	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	podsmijeh	anger	0.574
lunacy	ludilo	anger	0.574
oppressive	tiranski	anger	0.574
death	smrt	anger	0.574
jab	ubod	anger	0.574
cursed	proklet	anger	0.574
scandalous	skandalozan	anger	0.574
monstrosity	monstruoznost	anger	0.574
shit	sranje	anger	0.573
disparaging	podcjenjivački	anger	0.571
slash	smanjiti	anger	0.571
unfair	nepravedan	anger	0.571
gallows	vješala	anger	0.570
escalate	eskalirati	anger	0.569
intolerant	netolerantan	anger	0.564
lawlessness	bezakonje	anger	0.563
bluddy	bluddy	anger	0.562
perdition	propast	anger	0.562
taunt	podsmijeh	anger	0.562
grouchy	mrzovoljan	anger	0.562
torpedo	torpedo	anger	0.562
deceived	prevaren	anger	0.562
slander	ogovaranje	anger	0.562
retards	usporava	anger	0.562
bearish	medvjedast	anger	0.562
invade	upasti	anger	0.562
bellows	mijeh	anger	0.562
beast	zvijer	anger	0.562
frightful	strašan	anger	0.562
derogatory	ponižavajući	anger	0.562
glare	bljesak	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	strašan	anger	0.562
traitor	izdajnik	anger	0.562
malign	maligan	anger	0.562
wrangling	nesuglasica	anger	0.562
dissension	razdor	anger	0.561
banshee	Banshee	anger	0.561
shatter	razbiti	anger	0.561
conflagration	požar	anger	0.561
jeopardize	ugroziti	anger	0.561
thief	lopov	anger	0.561
rave	rave	anger	0.561
grating	rešetka	anger	0.561
devastating	poražavajući	anger	0.561
idiots	idioti	anger	0.561
betrayal	izdaja	anger	0.561
uncontrollable	nekontroliran	anger	0.561
fits	odgovara	anger	0.561
cross	križ	anger	0.561
hurt	povrijediti	anger	0.561
disturbed	uznemiren	anger	0.559
subjugation	pokoravanje	anger	0.559
stomped	stupala	anger	0.557
grab	zgrabiti	anger	0.557
ticked	označeno	anger	0.556
masochism	mazohizam	anger	0.556
grievance	uvreda	anger	0.556
defiance	prkos	anger	0.552
blackmail	ucjena	anger	0.550
offensive	uvredljiv	anger	0.549
decry	uvrijediti	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	povreda	anger	0.547
punishment	kazna	anger	0.547
shrill	kreštav	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	tamna strana	anger	0.547
misery	bijeda	anger	0.547
frustrates	frustrira	anger	0.547
disgraceful	sramotan	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ohol	anger	0.547
disparity	disparitet	anger	0.547
confine	ograničiti	anger	0.547
firearms	vatreno oružje	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	smiješan	anger	0.547
rebel	pobunjenik	anger	0.547
deceive	prevariti	anger	0.547
stolen	ukraden	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	onanist	anger	0.545
heated	zagrijan	anger	0.545
ruined	upropastila	anger	0.545
menace	prijetnja	anger	0.545
humiliate	poniziti	anger	0.545
tackle	pribor	anger	0.545
conspirator	zavjerenik	anger	0.545
foul	prekršaj	anger	0.545
antagonist	antagonista	anger	0.545
resentful	uvrijeđen	anger	0.545
prejudice	predrasuda	anger	0.545
adversary	protivnik	anger	0.545
argument	argument	anger	0.545
skirmish	čarka	anger	0.545
callous	zadebljao	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	upetljan	anger	0.544
robbery	pljačka	anger	0.544
sting	ubosti	anger	0.544
outcry	negodovanje	anger	0.544
grumble	roptati	anger	0.544
irreconcilable	nepomirljiv	anger	0.543
resistance	otpornost	anger	0.543
obstructive	opstruktivna	anger	0.542
dismay	zaprepašćenje	anger	0.540
mob	svjetina	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	zloća	anger	0.536
ridicule	ismijavati	anger	0.534
incendiary	palikuća	anger	0.533
flares	baklje	anger	0.532
degeneracy	izrođenost	anger	0.531
confinement	ograničavanje	anger	0.531
exacerbation	pogoršanje	anger	0.531
prejudicial	štetan	anger	0.531
uprising	ustanak	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	bezobzirni	anger	0.531
unbridled	razuzdan	anger	0.531
allegation	navod	anger	0.531
communism	komunizam	anger	0.531
whip	bič	anger	0.531
intruder	nametljivac	anger	0.531
dispute	rasprava	anger	0.531
belittle	omalovažiti	anger	0.531
bigoted	netrpeljiv	anger	0.530
offender	prijestupnik	anger	0.530
hassle	svađa	anger	0.530
dissonance	disonanca	anger	0.530
unjust	nepravedan	anger	0.530
dictatorial	diktatorski	anger	0.530
unjustifiable	neopravdana	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perverzija	anger	0.530
tackled	rješavati	anger	0.530
renegade	otpadnik	anger	0.529
hot	vruće	anger	0.529
prison	zatvor	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	prijestup	anger	0.529
suicide	samoubistvo	anger	0.521
annoy	smetati	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotski	anger	0.516
distrust	nepovjerenje	anger	0.516
depravity	izopačenost	anger	0.516
cretins	kreteni	anger	0.516
divorce	razvod	anger	0.516
broil	svađa	anger	0.516
grrr	grrr	anger	0.516
venting	odzračivanje	anger	0.516
inimical	neprijateljski	anger	0.516
duress	prinuda	anger	0.516
disrespectful	neučtiv	anger	0.516
tortious	PROTUPRAVNI	anger	0.516
criticize	kritikovati	anger	0.516
prisoner	zatvorenik	anger	0.516
dishonest	nepošten	anger	0.516
treason	izdaja	anger	0.516
victimized	žrtve	anger	0.515
bile	žuč	anger	0.515
unkind	neljubazan	anger	0.515
unforgiving	nepopustljiv	anger	0.515
unleash	osloboditi	anger	0.515
coercion	prisila	anger	0.515
scold	grditi	anger	0.515
chaos	haos	anger	0.515
grump	grump	anger	0.515
roar	grmljavina	anger	0.515
jerks	kreteni	anger	0.515
poaching	lovokrađa	anger	0.515
hangry	gladan	anger	0.515
pow	Pow	anger	0.515
poachers	krivolovci	anger	0.515
argumentation	argumentacija	anger	0.515
frustrating	frustrirajući	anger	0.515
tussle	tučnjava	anger	0.514
bane	otrov	anger	0.511
accusation	optužba	anger	0.510
repudiation	odricanje	anger	0.510
enmity	neprijateljstvo	anger	0.510
banish	protjerati	anger	0.509
disfigured	unakažen	anger	0.508
storm	oluja	anger	0.507
shun	izbjegavati	anger	0.500
suppression	suzbijanje	anger	0.500
unruly	nestašan	anger	0.500
intractable	tvrdoglav	anger	0.500
ordeal	teško iskušenje	anger	0.500
obstruct	spriječiti	anger	0.500
derogation	umanjenje	anger	0.500
fervor	zanos	anger	0.500
foaming	pjeniti	anger	0.500
derision	ismijavanje	anger	0.500
animus	zlonamjernost	anger	0.500
rejects	odbacuje	anger	0.500
bout	nastup	anger	0.500
spear	koplje	anger	0.500
crazy	lud	anger	0.500
brazen	mesingan	anger	0.500
antithesis	antiteza	anger	0.500
injustice	nepravda	anger	0.500
banished	prognao	anger	0.500
confined	zatvoren	anger	0.500
frenzied	pomahnitao	anger	0.500
dominate	dominirati	anger	0.500
disrupting	Ometanje	anger	0.500
hammering	zakucavanje	anger	0.500
fear	strah	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	bol	anger	0.500
brunt	težište	anger	0.500
possessed	opsjednut	anger	0.500
defy	prkositi	anger	0.500
scoff	ismijavati	anger	0.500
patronising	pokroviteljski	anger	0.500
delusional	u zabludi	anger	0.500
malpractice	nesavjestan postupak	anger	0.500
reject	odbiti	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	žilavost	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	ludilo	anger	0.491
sinful	griješan	anger	0.491
avarice	škrtost	anger	0.490
oppress	ugnjetavati	anger	0.490
disapproved	odobreni	anger	0.485
inhuman	nehuman	anger	0.485
demand	zahtijevajte	anger	0.485
abolish	ukinuti	anger	0.485
anathema	anatema	anger	0.485
fricking	fricking	anger	0.485
complaint	prigovor	anger	0.485
disservice	hrđava usluga	anger	0.485
smuggler	krijumčar	anger	0.485
revoke	opozvati	anger	0.485
infraction	prekršaj	anger	0.485
claw	kandža	anger	0.485
dissident	disident	anger	0.485
pervert	pokvarenjak	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neposlušan	anger	0.485
usurp	uzurpirati	anger	0.485
alienate	otuđiti	anger	0.485
avenger	osvetnik	anger	0.485
annoyed	ojađen	anger	0.485
cutting	rezanje	anger	0.485
disgrace	sramota	anger	0.484
deceit	obmana	anger	0.484
suspicious	sumnjiv	anger	0.484
thresh	vršati	anger	0.484
sucker	naivčina	anger	0.484
strained	zategnut	anger	0.484
blame	krivica	anger	0.484
upheaval	preokret	anger	0.484
renounce	odreći se	anger	0.484
obnoxious	odvratan	anger	0.484
restrain	obuzdati	anger	0.484
oust	svrgnuti	anger	0.484
litigious	sporan	anger	0.484
rivalry	suparništvo	anger	0.484
penalty	kazna	anger	0.484
imprisoned	zatvoren	anger	0.484
mocking	rugajući	anger	0.484
opposed	Za razliku	anger	0.484
turbulence	nemir	anger	0.483
pound	funta	anger	0.481
coldness	hladnoća	anger	0.477
ungrateful	nezahvalan	anger	0.472
battalion	bataljon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	talac	anger	0.470
infidel	nevjernik	anger	0.470
ram	radna memorija	anger	0.470
accuser	tužilac	anger	0.470
gall	žuč	anger	0.470
subversion	subverzija	anger	0.470
annoying	dosadan	anger	0.470
adversity	nedaće	anger	0.470
dispossessed	protjeraju	anger	0.470
friction	trenje	anger	0.470
jealous	ljubomoran	anger	0.470
feudalism	feudalizam	anger	0.470
armament	naoružanje	anger	0.470
thump	tup udarac	anger	0.469
complain	žaliti se	anger	0.469
incite	poticati	anger	0.469
steal	ukrasti	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	biti neposlušan	anger	0.469
injury	ozljeda	anger	0.469
simmer	krčkati	anger	0.469
distress	nevolja	anger	0.469
insanity	ludilo	anger	0.469
selfish	sebičan	anger	0.469
huff	hvalisati se	anger	0.469
selfishness	sebičnost	anger	0.469
backoff	odstupi	anger	0.469
plunder	plijen	anger	0.469
stifled	ugušena	anger	0.469
subversive	subverzivan	anger	0.469
