word	Norwegian-no	emotion	emotion-intensity-score
slam	slam	anger	0.803
fights	kamper	anger	0.803
punched	punchet	anger	0.803
bitch	tispe	anger	0.803
punching	stansing	anger	0.803
homicide	drap	anger	0.803
destructive	destruktiv	anger	0.797
ruthless	hensynsløs	anger	0.797
villainous	onde	anger	0.797
slap	dask	anger	0.791
slaughterhouse	slakteri	anger	0.788
punishing	straffe	anger	0.788
destroyed	ødelagt	anger	0.788
retaliatory	gjengjeldelses	anger	0.788
riot	opptøyer	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	roping	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	djevelske	anger	0.788
manslaughter	uaktsomt drap	anger	0.783
clash	clash	anger	0.783
bloody	blodig	anger	0.781
hellish	jævli	anger	0.781
loath	nødig	anger	0.781
detonation	detonasjon	anger	0.781
quarrel	krangle	anger	0.781
sinister	skummel	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	anklagende	anger	0.779
treacherous	forrædersk	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	gjengjelde	anger	0.773
revulsion	avsky	anger	0.773
madder	sintere	anger	0.773
horrific	forferdelig	anger	0.773
scorn	forakt	anger	0.769
deplorable	beklagelig	anger	0.766
bomb	bombe	anger	0.766
anarchist	anarkist	anger	0.765
devastation	ødeleggelse	anger	0.765
resent	mislike	anger	0.765
firestorm	Firestorm	anger	0.765
contemptible	foraktelig	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	grusom	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	dødelig	anger	0.758
smash	knuse	anger	0.758
rant	tirade	anger	0.758
outburst	utbrudd	anger	0.757
snarl	snerr	anger	0.754
profane	profane	anger	0.750
offend	fornærme	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	STFU	anger	0.750
vulgarity	vulgaritet	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	gal	anger	0.750
despise	forakte	anger	0.750
horror	skrekk	anger	0.750
aggravating	irriterende	anger	0.750
revolting	frastøtende	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	trussel	anger	0.742
erupt	bryte ut	anger	0.742
screaming	skrik	anger	0.742
violence	vold	anger	0.742
horrible	fryktelig	anger	0.742
molestation	overgrep	anger	0.742
bastards	bastards	anger	0.741
revenge	hevn	anger	0.738
catastrophe	katastrofe	anger	0.735
menacing	truende	anger	0.735
demon	demon	anger	0.735
crushing	knusing	anger	0.735
damn	jævla	anger	0.735
persecute	forfølge	anger	0.734
argue	argumentere	anger	0.734
flog	piske	anger	0.734
revolt	opprør	anger	0.734
thrash	søppel	anger	0.734
deplore	beklage	anger	0.734
warfare	krigføring	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	heftig	anger	0.734
riotous	opprørsk	anger	0.734
altercation	krangel	anger	0.729
warlike	krigersk	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mytteri	anger	0.727
castrate	kastrere	anger	0.727
sabotage	sabotasje	anger	0.727
malevolent	ondskapsfull	anger	0.721
strike	streik	anger	0.721
disaster	katastrofe	anger	0.721
disastrous	katastrofal	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	djevel	anger	0.719
scream	hyle	anger	0.719
brutal	brutal	anger	0.719
treachery	forræderi	anger	0.719
scorching	glohet	anger	0.719
vermin	skadedyr	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	forverrer	anger	0.719
spiteful	ondskapsfull	anger	0.719
slay	slå ihjel	anger	0.719
disdain	forakt	anger	0.719
choke	kvele	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkisme	anger	0.714
mutilation	lemlestelse	anger	0.714
criminal	forbryter	anger	0.714
denunciation	Oppsigelsen	anger	0.713
punch	punsj	anger	0.713
crucifixion	korsfestelsen	anger	0.712
virulence	virulens	anger	0.712
battled	kjempet	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasfemisk	anger	0.712
hurting	sårer	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	sinnsforvirret	anger	0.706
atrocious	fryktelig	anger	0.706
evil	ond	anger	0.706
irritated	irritert	anger	0.706
assassin	snikmorder	anger	0.703
dicks	dicks	anger	0.703
persecution	forfølgelse	anger	0.703
slayer	slakter	anger	0.703
kidnap	kidnappe	anger	0.703
scolding	skjenn	anger	0.703
intimidation	trusler	anger	0.703
aggravated	forverret	anger	0.703
aggression	aggresjon	anger	0.702
armed	bevæpnet	anger	0.700
poison	gift	anger	0.697
snarling	snerrende	anger	0.697
venom	giften	anger	0.697
battle	slag	anger	0.697
disgruntled	misfornøyd	anger	0.693
insidious	snik	anger	0.691
assailant	overfallsmann	anger	0.691
resentment	harme	anger	0.691
lynch	lynch	anger	0.690
contemptuous	foraktelig	anger	0.690
temper	temperament	anger	0.688
imprisonment	fengsling	anger	0.688
disparage	nedvurdere	anger	0.688
bully	bølle	anger	0.688
terrible	fryktelig	anger	0.688
lunatic	galning	anger	0.688
curse	forbannelse	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominans	anger	0.688
mad	gal	anger	0.688
infanticide	barnedrap	anger	0.688
volatility	volatilitet	anger	0.687
eradication	utrydding	anger	0.685
tantrum	raserianfall	anger	0.682
devastate	ødelegge	anger	0.682
eradicate	utrydde	anger	0.682
scoundrel	kjeltring	anger	0.682
aggressively	aggressivt	anger	0.680
agitation	agitasjon	anger	0.680
dictatorship	diktatur	anger	0.676
irritates	irriterer	anger	0.676
profanity	banning	anger	0.673
egregious	skjerpende	anger	0.672
expletive	kraftuttrykk	anger	0.672
nasty	ekkel	anger	0.672
shove	skubbe	anger	0.672
shot	skudd	anger	0.672
harmful	skadelig	anger	0.672
aggravation	forverring	anger	0.672
contempt	forakt	anger	0.672
poisonous	giftig	anger	0.672
dastardly	feige	anger	0.672
shoot	skyte	anger	0.672
corrupting	ødelegge	anger	0.672
condemnation	fordømmelse	anger	0.672
wreak	vrak	anger	0.672
crushed	knust	anger	0.672
cruelly	grusomt	anger	0.672
crime	forbrytelse	anger	0.672
maniac	galning	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	utbrudd	anger	0.667
odious	motbydelig	anger	0.667
shooting	skyting	anger	0.667
kick	sparke	anger	0.667
aggressive	aggressiv	anger	0.667
combat	kamp	anger	0.667
shout	rope	anger	0.667
hit	truffet	anger	0.667
fight	slåss	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	fiende	anger	0.667
irritable	irritabel	anger	0.667
punished	straffet	anger	0.662
ambush	bakhold	anger	0.661
yell	hyle	anger	0.661
harass	trakassere	anger	0.659
malignant	ondartet	anger	0.656
aggressor	angriper	anger	0.656
antichrist	antikrist	anger	0.656
gore	gore	anger	0.656
incense	røkelse	anger	0.656
expel	utvise	anger	0.656
destruction	ødeleggelse	anger	0.656
grudge	nag	anger	0.656
cranky	gretten	anger	0.653
offended	fornærmet	anger	0.652
spank	slå	anger	0.652
growl	knurre	anger	0.652
insurrection	opprør	anger	0.652
reprisal	represalier	anger	0.652
slave	slave	anger	0.652
denounce	fordømme	anger	0.652
animosity	fiendtlighet	anger	0.652
insulting	fornærmende	anger	0.652
clashing	kranglet	anger	0.652
growls	growls	anger	0.649
executioner	bøddel	anger	0.644
twat	twat	anger	0.644
doomsday	dommedag	anger	0.643
daemon	daemon	anger	0.641
obscenity	obskønitet	anger	0.641
bombard	bombardere	anger	0.641
spat	spyttet	anger	0.641
havoc	ødeleggelse	anger	0.641
feud	feide	anger	0.641
grr	grr	anger	0.641
arson	mordbrann	anger	0.641
reprimand	reprimande	anger	0.641
expulsion	utvisning	anger	0.641
inexcusable	utilgivelig	anger	0.641
accused	tiltalte	anger	0.641
indignant	indignert	anger	0.641
shackle	sjakkel	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	sår	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	forgiftet	anger	0.636
batter	røre	anger	0.636
kicking	sparker	anger	0.636
hanging	henger	anger	0.636
spanking	spanking	anger	0.636
disgusting	motbydelig	anger	0.636
combatant	stridende	anger	0.636
frustrated	frustrert	anger	0.636
anarchy	anarki	anger	0.636
glaring	grell	anger	0.636
inflict	påføre	anger	0.633
wrecked	ødelagt	anger	0.633
grievous	alvorlig	anger	0.632
prosecute	tiltale	anger	0.630
agitated	opphisset	anger	0.630
cheat	jukse	anger	0.630
swastika	hakekors	anger	0.627
defamatory	ærekrenkende	anger	0.625
suffocation	kvelning	anger	0.625
strife	stridigheter	anger	0.625
provocation	provokasjon	anger	0.625
injure	skade	anger	0.625
harassing	trakasserende	anger	0.625
scourge	svøpe	anger	0.625
cursing	forbannelse	anger	0.625
betray	forråde	anger	0.625
indict	tiltale	anger	0.625
raid	raid	anger	0.625
thundering	tordn	anger	0.625
enslaved	slaver	anger	0.625
arsehole	arsehole	anger	0.624
insane	sinnsyk	anger	0.621
fiend	djevel	anger	0.621
irritate	irritere	anger	0.621
convict	dømme	anger	0.621
jerk	dust	anger	0.621
theft	tyveri	anger	0.621
retaliation	hevn	anger	0.621
deprivation	deprivasjon	anger	0.621
cussed	cussed	anger	0.619
turmoil	kaos	anger	0.618
smack	smack	anger	0.615
retribution	straff	anger	0.614
twats	twats	anger	0.609
intolerable	uutholdelig	anger	0.609
rebellion	opprør	anger	0.609
injurious	skadelig	anger	0.609
oppressor	undertrykker	anger	0.609
slavery	slaveri	anger	0.609
irritability	irritabilitet	anger	0.609
collision	kollisjon	anger	0.609
bitterly	bittert	anger	0.609
gang	gjeng	anger	0.609
antagonism	antagonisme	anger	0.609
battery	batteri	anger	0.609
adverse	uheldig	anger	0.609
disgraced	vanæret	anger	0.608
irritating	irriterende	anger	0.606
revolution	revolusjon	anger	0.606
thug	bølle	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardement	anger	0.606
blast	blast	anger	0.606
irks	irks	anger	0.606
sickening	kvalm	anger	0.606
discrimination	diskriminering	anger	0.606
antagonistic	antagonistisk	anger	0.606
ranting	ranting	anger	0.606
asshole	drittsekk	anger	0.606
frustrate	frustrere	anger	0.604
manipulation	manipulasjon	anger	0.603
tension	spenning	anger	0.603
insult	fornærmelse	anger	0.603
bigot	fanatiker	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	sårende	anger	0.603
oppression	undertrykkelse	anger	0.603
disgust	avsky	anger	0.602
spite	Til tross	anger	0.600
intrusive	påtrengende	anger	0.598
harshness	strenghet	anger	0.597
slur	Nedsmelting	anger	0.596
wretch	stakkar	anger	0.594
inferno	Helvete	anger	0.594
invasion	invasjon	anger	0.594
puncture	punktering	anger	0.594
miserable	elendig	anger	0.594
assail	angripe	anger	0.594
storming	storming	anger	0.594
casualty	havari	anger	0.594
bitterness	bitterhet	anger	0.594
morbidity	dødelighet	anger	0.594
tempest	uvær	anger	0.594
consternation	bestyrtelse	anger	0.592
depraved	fordervet	anger	0.591
raving	raving	anger	0.591
guillotine	giljotin	anger	0.591
guilty	skyldig	anger	0.591
immoral	umoralsk	anger	0.591
forcibly	med makt	anger	0.591
overpowering	overveldende	anger	0.591
accursed	forbannet	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	trassig	anger	0.588
invader	inntrenger	anger	0.588
scare	skremme	anger	0.588
screwed	skrudd	anger	0.588
indignation	indignasjon	anger	0.587
jealousy	sjalusi	anger	0.587
vexed	ergerlig	anger	0.586
confront	konfrontere	anger	0.582
brute	brute	anger	0.581
throttle	Gasspedal	anger	0.579
wreck	vraket	anger	0.578
revolver	revolver	anger	0.578
slut	ludder	anger	0.578
yousuck	du suger	anger	0.578
damage	skader	anger	0.578
butcher	slakter	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitet	anger	0.578
bickering	krangling	anger	0.578
pillage	plyndring	anger	0.578
blaze	Blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kupp	anger	0.578
contentious	omstridte	anger	0.578
incarceration	fengsling	anger	0.578
defiant	trassig	anger	0.578
provoking	vekk	anger	0.578
lash	lash	anger	0.578
cancer	kreft	anger	0.577
frustration	frustrasjon	anger	0.576
gory	blodig	anger	0.576
alienation	fremmedgjøring	anger	0.576
discord	splid	anger	0.576
disturbance	forstyrrelse	anger	0.576
grope	famle	anger	0.576
condescension	nedlatenhet	anger	0.576
pernicious	pernisiøs	anger	0.576
blasphemy	blasfemi	anger	0.576
discriminate	diskriminere	anger	0.576
chaotic	kaotisk	anger	0.576
gun	våpen	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	flir	anger	0.574
lunacy	galskap	anger	0.574
oppressive	undertrykkende	anger	0.574
death	død	anger	0.574
jab	jab	anger	0.574
cursed	forbannet	anger	0.574
scandalous	skandaløs	anger	0.574
monstrosity	uhyrlighet	anger	0.574
shit	dritt	anger	0.573
disparaging	nedsettende	anger	0.571
slash	skråstrek	anger	0.571
unfair	urettferdig	anger	0.571
gallows	galgen	anger	0.570
escalate	eskalere	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	lovløshet	anger	0.563
bluddy	bluddy	anger	0.562
perdition	fortapelse	anger	0.562
taunt	spydighet	anger	0.562
grouchy	gretten	anger	0.562
torpedo	torpedo	anger	0.562
deceived	bedratt	anger	0.562
slander	bakvaskelse	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	invadere	anger	0.562
bellows	belg	anger	0.562
beast	beist	anger	0.562
frightful	skrekkelig	anger	0.562
derogatory	nedsettende	anger	0.562
glare	blending	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	dreadful	anger	0.562
traitor	forræder	anger	0.562
malign	malign	anger	0.562
wrangling	krangel	anger	0.562
dissension	uenighet	anger	0.561
banshee	banshee	anger	0.561
shatter	knuse	anger	0.561
conflagration	brannen	anger	0.561
jeopardize	sette på spill	anger	0.561
thief	tyv	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	ødeleggende	anger	0.561
idiots	idioter	anger	0.561
betrayal	forræderi	anger	0.561
uncontrollable	ustyrlig	anger	0.561
fits	passer inn	anger	0.561
cross	kryss	anger	0.561
hurt	skade	anger	0.561
disturbed	forstyrret	anger	0.559
subjugation	undertrykkelse	anger	0.559
stomped	trampet	anger	0.557
grab	gripe	anger	0.557
ticked	tikket	anger	0.556
masochism	masochisme	anger	0.556
grievance	klagemål	anger	0.556
defiance	trass	anger	0.552
blackmail	utpressing	anger	0.550
offensive	støtende	anger	0.549
decry	fordømme	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	brudd	anger	0.547
punishment	avstraffelse	anger	0.547
shrill	skingrende	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	mørk side	anger	0.547
misery	elendighet	anger	0.547
frustrates	frustrerer	anger	0.547
disgraceful	skammelig	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	nedlatende	anger	0.547
disparity	misforhold	anger	0.547
confine	begrense	anger	0.547
firearms	skytevåpen	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurd	anger	0.547
rebel	opprører	anger	0.547
deceive	lure	anger	0.547
stolen	stjålet	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	oppvarmet	anger	0.545
ruined	ruinert	anger	0.545
menace	trussel	anger	0.545
humiliate	ydmyke	anger	0.545
tackle	takle	anger	0.545
conspirator	conspirator	anger	0.545
foul	foul	anger	0.545
antagonist	motstander	anger	0.545
resentful	ergerlig	anger	0.545
prejudice	fordommer	anger	0.545
adversary	motpart	anger	0.545
argument	argument	anger	0.545
skirmish	trefning	anger	0.545
callous	ufølsom	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	viklet	anger	0.544
robbery	ran	anger	0.544
sting	stikke	anger	0.544
outcry	ramaskrik	anger	0.544
grumble	beklage	anger	0.544
irreconcilable	uforsonlig	anger	0.543
resistance	motstand	anger	0.543
obstructive	obstruktiv	anger	0.542
dismay	forferdelse	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ondskap	anger	0.536
ridicule	latterlig	anger	0.534
incendiary	brannstifter	anger	0.533
flares	flares	anger	0.532
degeneracy	degenerasjon	anger	0.531
confinement	sperring	anger	0.531
exacerbation	forverring	anger	0.531
prejudicial	skadelig	anger	0.531
uprising	oppstand	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	uforsvarlig	anger	0.531
unbridled	utemmet	anger	0.531
allegation	påstand	anger	0.531
communism	kommunisme	anger	0.531
whip	piske	anger	0.531
intruder	inntrenger	anger	0.531
dispute	tvist	anger	0.531
belittle	bagatelliserer	anger	0.531
bigoted	hyklersk	anger	0.530
offender	lovbryteren	anger	0.530
hassle	bryderi	anger	0.530
dissonance	dissonans	anger	0.530
unjust	urettferdig	anger	0.530
dictatorial	diktatorisk	anger	0.530
unjustifiable	utilbørlig	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversjon	anger	0.530
tackled	taklet	anger	0.530
renegade	løper	anger	0.529
hot	varmt	anger	0.529
prison	fengsel	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	troløshet	anger	0.529
suicide	selvmord	anger	0.521
annoy	irritere	anger	0.520
leavemealone	la meg være i fred	anger	0.517
idiotic	idiotisk	anger	0.516
distrust	mistro	anger	0.516
depravity	fordervelse	anger	0.516
cretins	cretins	anger	0.516
divorce	skilsmisse	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	ventilering	anger	0.516
inimical	fiendtlig	anger	0.516
duress	tvang	anger	0.516
disrespectful	respektløs	anger	0.516
tortious	skadegjørende	anger	0.516
criticize	kritisere	anger	0.516
prisoner	fange	anger	0.516
dishonest	uærlig	anger	0.516
treason	forræderi	anger	0.516
victimized	utsatt	anger	0.515
bile	galle	anger	0.515
unkind	uvennlig	anger	0.515
unforgiving	uforsonlig	anger	0.515
unleash	frigjøre	anger	0.515
coercion	tvang	anger	0.515
scold	skjenne	anger	0.515
chaos	kaos	anger	0.515
grump	fisk?	anger	0.515
roar	brøl	anger	0.515
jerks	rykk	anger	0.515
poaching	Koking	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	krypskyttere	anger	0.515
argumentation	argumentasjon	anger	0.515
frustrating	frustrerende	anger	0.515
tussle	dyst	anger	0.514
bane	bane	anger	0.511
accusation	anklage	anger	0.510
repudiation	repudiation	anger	0.510
enmity	fiendskap	anger	0.510
banish	forvise	anger	0.509
disfigured	vansiret	anger	0.508
storm	storm	anger	0.507
shun	shun	anger	0.500
suppression	undertrykkelse	anger	0.500
unruly	uregjerlig	anger	0.500
intractable	intraktabel	anger	0.500
ordeal	ildprøve	anger	0.500
obstruct	blokkere	anger	0.500
derogation	unntak	anger	0.500
fervor	inderlighet	anger	0.500
foaming	skummende	anger	0.500
derision	hån	anger	0.500
animus	animus	anger	0.500
rejects	avviser	anger	0.500
bout	bout	anger	0.500
spear	spyd	anger	0.500
crazy	gal	anger	0.500
brazen	skamløs	anger	0.500
antithesis	antitese	anger	0.500
injustice	urettferdighet	anger	0.500
banished	forvist	anger	0.500
confined	begrenset	anger	0.500
frenzied	vanvittige	anger	0.500
dominate	dominere	anger	0.500
disrupting	forstyrrende	anger	0.500
hammering	hamring	anger	0.500
fear	frykt	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	kval	anger	0.500
brunt	brunt	anger	0.500
possessed	besatt	anger	0.500
defy	trosse	anger	0.500
scoff	spotter	anger	0.500
patronising	nedlatende	anger	0.500
delusional	vrangforestillinger	anger	0.500
malpractice	malpractice	anger	0.500
reject	avvise	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	seighet	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	galskap	anger	0.491
sinful	syndig	anger	0.491
avarice	gjerrighet	anger	0.490
oppress	undertrykke	anger	0.490
disapproved	ikke godkjent	anger	0.485
inhuman	umenneskelig	anger	0.485
demand	kreve	anger	0.485
abolish	avskaffe	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	klage	anger	0.485
disservice	bjørnetjeneste	anger	0.485
smuggler	smugler	anger	0.485
revoke	tilbakekalle	anger	0.485
infraction	brudd	anger	0.485
claw	klo	anger	0.485
dissident	dissident	anger	0.485
pervert	pervers	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ulydig	anger	0.485
usurp	tilrive	anger	0.485
alienate	fremmedgjøre	anger	0.485
avenger	hevner	anger	0.485
annoyed	irritert	anger	0.485
cutting	skjæring	anger	0.485
disgrace	vanære	anger	0.484
deceit	bedrageri	anger	0.484
suspicious	mistenkelig	anger	0.484
thresh	treske	anger	0.484
sucker	sucker	anger	0.484
strained	anstrengt	anger	0.484
blame	skylde på	anger	0.484
upheaval	omveltning	anger	0.484
renounce	gi avkall på	anger	0.484
obnoxious	ytterst ubehagelig	anger	0.484
restrain	beherske	anger	0.484
oust	utkonkurrere	anger	0.484
litigious	saksøkende	anger	0.484
rivalry	rivalisering	anger	0.484
penalty	straff	anger	0.484
imprisoned	fengslet	anger	0.484
mocking	gjøre narr av	anger	0.484
opposed	motsetning	anger	0.484
turbulence	turbulens	anger	0.483
pound	pund	anger	0.481
coldness	kulde	anger	0.477
ungrateful	utakknemlig	anger	0.472
battalion	bataljon	anger	0.471
stoopid	stoopid	anger	0.471
hostage	gissel	anger	0.470
infidel	vantro	anger	0.470
ram	RAM	anger	0.470
accuser	anklageren	anger	0.470
gall	galle	anger	0.470
subversion	subversion	anger	0.470
annoying	irriterende	anger	0.470
adversity	motgang	anger	0.470
dispossessed	fratatt	anger	0.470
friction	friksjon	anger	0.470
jealous	sjalu	anger	0.470
feudalism	føydalisme	anger	0.470
armament	bevæpning	anger	0.470
thump	dunk	anger	0.469
complain	klage	anger	0.469
incite	egge	anger	0.469
steal	stjele	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	ulydig	anger	0.469
injury	skade	anger	0.469
simmer	småkoke	anger	0.469
distress	nød	anger	0.469
insanity	galskap	anger	0.469
selfish	selvopptatt	anger	0.469
huff	huff	anger	0.469
selfishness	egoisme	anger	0.469
backoff	gå vekk	anger	0.469
plunder	plyndre	anger	0.469
stifled	kvalt	anger	0.469
subversive	undergravende	anger	0.469
exile	eksil	anger	0.469
offense	fornærmelse	anger	0.469
objection	innvending	anger	0.469
recidivism	tilbakefall	anger	0.469
smother	kvele	anger	0.469
perpetrator	gjerningspersonen	anger	0.469
dislike	motvilje	anger	0.469
disruption	avbrudd	anger	0.469
intolerance	intoleranse	anger	0.469
opposition	motstand	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	krus	anger	0.467
agony	smerte	anger	0.465
arrogant	arrogant	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	vent	anger	0.456
