word	Somali-so	emotion	emotion-intensity-score
sinister	niyadjab	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	eedeeyay	anger	0.779
treacherous	khiyaano	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	aargoosi	anger	0.773
revulsion	diidmada	anger	0.773
madder	madder	anger	0.773
horrific	cabsi	anger	0.773
scorn	gardarrada	anger	0.769
deplorable	dhibban	anger	0.766
bomb	bam	anger	0.766
anarchist	anarchist	anger	0.765
devastation	burburin	anger	0.765
resent	murugo	anger	0.765
firestorm	duufaan	anger	0.765
contemptible	cabsigelin	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	naxariis badan	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	dhimasho	anger	0.758
smash	garaacaan	anger	0.758
rant	rant	anger	0.758
outburst	riwaayad	anger	0.757
snarl	sariir	anger	0.754
profane	profane	anger	0.750
offend	dambi	anger	0.750
douchebags	Doolebags	anger	0.750
growling	gaajo	anger	0.750
stfu	stfu	anger	0.750
vulgarity	nacasnimo	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	naxdin leh	anger	0.750
despise	quudhsan	anger	0.750
horror	cabsi	anger	0.750
aggravating	sii xumeynaya	anger	0.750
revolting	kacdoonka	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	hanjabaad	anger	0.742
erupt	guuxa	anger	0.742
screaming	qeylinta	anger	0.742
violence	rabshad	anger	0.742
horrible	cabsi leh	anger	0.742
molestation	faraxumeyn	anger	0.742
bastards	nacaybka	anger	0.741
revenge	aargoosi	anger	0.738
catastrophe	musiibo	anger	0.735
menacing	xannibaad	anger	0.735
demon	jinni	anger	0.735
crushing	burburinta	anger	0.735
damn	damn	anger	0.735
persecute	silciyo	anger	0.734
argue	dood	anger	0.734
flog	flog	anger	0.734
revolt	kacdoonka	anger	0.734
thrash	garaacid	anger	0.734
deplore	gardarrada	anger	0.734
warfare	dagaal	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	culus	anger	0.734
riotous	rabshad	anger	0.734
altercation	faragelinta	anger	0.729
warlike	dagaal sida	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	gabi ahaanba	anger	0.727
castrate	castrate	anger	0.727
sabotage	dulqaadka	anger	0.727
malevolent	nacasnimo	anger	0.721
strike	shaqo joojin	anger	0.721
disaster	masiibo	anger	0.721
disastrous	musiibo	anger	0.720
tumult	baqdin	anger	0.719
madden	madden	anger	0.719
devil	Ibliisku	anger	0.719
scream	qaylo	anger	0.719
brutal	naxdin leh	anger	0.719
treachery	khiyaano	anger	0.719
scorching	xoqan	anger	0.719
vermin	rinjiga	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	Fardows	anger	0.719
aggravates	sii xumeynayaan	anger	0.719
spiteful	Xoog leh	anger	0.719
slay	dilaan	anger	0.719
disdain	diidmo	anger	0.719
choke	digaagga	anger	0.719
bastarding	xayiraad	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	gudniinka	anger	0.714
criminal	dambi	anger	0.714
denunciation	diidmada	anger	0.713
punch	foorar	anger	0.713
crucifixion	iskutallaabta	anger	0.712
virulence	jirro	anger	0.712
battled	Dagaal	anger	0.712
fatal	dhimasho	anger	0.712
holocaust	holocaustka	anger	0.712
blasphemous	caytamaya	anger	0.712
hurting	waxyeelo	anger	0.712
dumbasses	gumeysi	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	dulqaadan	anger	0.706
atrocious	jilicsan	anger	0.706
evil	xumaan	anger	0.706
irritated	xanaaqa	anger	0.706
assassin	dil	anger	0.703
dicks	dicks	anger	0.703
persecution	cadaadis	anger	0.703
slayer	dilka	anger	0.703
kidnap	afduub	anger	0.703
scolding	xakameynaya	anger	0.703
intimidation	cabsi gelin	anger	0.703
aggravated	dhib badan	anger	0.703
aggression	gardarrada	anger	0.702
armed	hubaysan	anger	0.700
poison	sunta	anger	0.697
snarling	gabbasho	anger	0.697
venom	venom	anger	0.697
battle	dagaal	anger	0.697
disgruntled	murugaysan	anger	0.693
insidious	adadag	anger	0.691
assailant	dembiilaha	anger	0.691
resentment	xanaaq	anger	0.691
lynch	lynch	anger	0.690
contemptuous	quudhsan	anger	0.690
temper	xanaaq	anger	0.688
imprisonment	xabsi	anger	0.688
disparage	isfaham la'aan	anger	0.688
bully	cagajugleyn	anger	0.688
terrible	cabsi leh	anger	0.688
lunatic	lunatic	anger	0.688
curse	habaartaa	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	hanti	anger	0.688
domination	xukunka	anger	0.688
mad	waalan	anger	0.688
infanticide	cunug yar	anger	0.688
volatility	isbeddel la'aan	anger	0.687
eradication	ciribtirka	anger	0.685
tantrum	xanaaqa	anger	0.682
devastate	burburin	anger	0.682
eradicate	ciribtirka	anger	0.682
scoundrel	cabudhin	anger	0.682
aggressively	si taxadar leh	anger	0.680
agitation	xanaaq	anger	0.680
dictatorship	kaligii talisnimada	anger	0.676
irritates	xanaaqa	anger	0.676
profanity	nacayb	anger	0.673
egregious	naadir ah	anger	0.672
expletive	baadhitaan	anger	0.672
nasty	xun	anger	0.672
shove	qoryaha	anger	0.672
shot	toogasho	anger	0.672
harmful	halis ah	anger	0.672
aggravation	sii xumeyn	anger	0.672
contempt	ixtiraamka	anger	0.672
poisonous	sun ah	anger	0.672
dastardly	dastardly	anger	0.672
shoot	toogasho	anger	0.672
corrupting	musuqmaasuq	anger	0.672
condemnation	ciqaab	anger	0.672
wreak	gardarrada	anger	0.672
crushed	jajabiyey	anger	0.672
cruelly	si naxariis leh	anger	0.672
crime	dembi	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	qarxinta	anger	0.667
odious	xun	anger	0.667
shooting	toogasho	anger	0.667
kick	laad	anger	0.667
aggressive	gardarrada	anger	0.667
combat	dagaal	anger	0.667
shout	qaylada	anger	0.667
hit	garaacid	anger	0.667
fight	dagaal	anger	0.667
cutthroat	gooyo	anger	0.667
enemy	cadow	anger	0.667
irritable	xanaaq	anger	0.667
punished	ciqaab	anger	0.662
ambush	weerar	anger	0.661
yell	qeylinaya	anger	0.661
harass	dhibaateyn	anger	0.659
malignant	malignant	anger	0.656
aggressor	gardarrada	anger	0.656
antichrist	ka gees ah	anger	0.656
gore	waxay u egtahay	anger	0.656
incense	foox	anger	0.656
expel	ka saarid	anger	0.656
destruction	burburinta	anger	0.656
grudge	qosol	anger	0.656
cranky	murugeysan	anger	0.653
offended	xumaaday	anger	0.652
spank	garaacay	anger	0.652
growl	beert	anger	0.652
insurrection	kacaan	anger	0.652
reprisal	anshax	anger	0.652
slave	addoonto	anger	0.652
denounce	diidmo	anger	0.652
animosity	diidmo	anger	0.652
insulting	cayayaan	anger	0.652
clashing	isku dhafka	anger	0.652
growls	gaajo	anger	0.649
executioner	fuliye	anger	0.644
twat	twat	anger	0.644
doomsday	qiyaastii	anger	0.643
daemon	daemon	anger	0.641
obscenity	qarsoodi	anger	0.641
bombard	boobka	anger	0.641
spat	dufka	anger	0.641
havoc	riwaayad	anger	0.641
feud	dagaal	anger	0.641
grr	rr	anger	0.641
arson	dabka	anger	0.641
reprimand	cambaareyn	anger	0.641
expulsion	eryidda	anger	0.641
inexcusable	aan macquul ahayn	anger	0.641
accused	lagu eedeeyay	anger	0.641
indignant	indignant	anger	0.641
shackle	xargo	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	nabarka	anger	0.636
suicidal	is-dilka	anger	0.636
poisoned	sun ah	anger	0.636
batter	boodh	anger	0.636
kicking	laadkii	anger	0.636
hanging	dhejisid	anger	0.636
spanking	garaacid	anger	0.636
disgusting	qosol	anger	0.636
combatant	dagaalyahan	anger	0.636
frustrated	niyadjabay	anger	0.636
anarchy	dhexdhexaad ah	anger	0.636
glaring	daboolid	anger	0.636
inflict	rar	anger	0.633
wrecked	burburay	anger	0.633
grievous	daran	anger	0.632
prosecute	dacwo	anger	0.630
agitated	gardarrada	anger	0.630
cheat	khiyaameeyaan	anger	0.630
swastika	swastika	anger	0.627
defamatory	niyad jab	anger	0.625
suffocation	ruxitaanka	anger	0.625
strife	dagaal	anger	0.625
provocation	kacdoon	anger	0.625
injure	dhaawici	anger	0.625
harassing	kadeedid	anger	0.625
scourge	karbaash	anger	0.625
cursing	naclad	anger	0.625
betray	gacangelinta	anger	0.625
indict	kufsi	anger	0.625
raid	weerarka	anger	0.625
thundering	xagasho	anger	0.625
enslaved	addoonto	anger	0.625
arsehole	duufaan	anger	0.624
insane	daacadnimo	anger	0.621
fiend	fiend	anger	0.621
irritate	xanaaqa	anger	0.621
convict	xukun	anger	0.621
jerk	jahwareer	anger	0.621
theft	xatooyada	anger	0.621
retaliation	aargoosi	anger	0.621
deprivation	laga mamnuuco	anger	0.621
cussed	ruxay	anger	0.619
turmoil	murugo	anger	0.618
smack	dharbaaxo	anger	0.615
retribution	ciqaab	anger	0.614
twats	laba jeer	anger	0.609
intolerable	aan loo dulqaadan karin	anger	0.609
rebellion	caasimadda	anger	0.609
injurious	dhaawacmay	anger	0.609
oppressor	dulqaad	anger	0.609
slavery	addoonsiga	anger	0.609
irritability	xanaaqa	anger	0.609
collision	isku dhac	anger	0.609
bitterly	qadhaadh	anger	0.609
gang	baandada	anger	0.609
antagonism	diidmo	anger	0.609
battery	batteriga	anger	0.609
adverse	wax xun	anger	0.609
disgraced	qosol badan	anger	0.608
irritating	xanaaqa	anger	0.606
revolution	kacaanka	anger	0.606
thug	thug	anger	0.606
diatribe	diarribe	anger	0.606
bombardment	duqeynta	anger	0.606
blast	qarax	anger	0.606
irks	iris	anger	0.606
sickening	xanuun	anger	0.606
discrimination	takoorid	anger	0.606
antagonistic	dagaal	anger	0.606
ranting	runtu	anger	0.606
asshole	asshole	anger	0.606
frustrate	jahwareer	anger	0.604
manipulation	shaqaynta	anger	0.603
tension	xiisad	anger	0.603
insult	cayayaan	anger	0.603
bigot	weyn	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	dhaawac ah	anger	0.603
oppression	dulqaad	anger	0.603
disgust	nacayb	anger	0.602
spite	xitaa	anger	0.600
intrusive	dulqaad	anger	0.598
harshness	daal	anger	0.597
slur	gabbasho	anger	0.596
wretch	jahwareer	anger	0.594
inferno	daacadnimo	anger	0.594
invasion	duullaan	anger	0.594
puncture	xakameyn	anger	0.594
miserable	murugaysan	anger	0.594
assail	geysato	anger	0.594
storming	duufaan	anger	0.594
casualty	dhaawaca	anger	0.594
bitterness	qadhaadh	anger	0.594
morbidity	cudurrada	anger	0.594
tempest	duufaan	anger	0.594
consternation	xarrago	anger	0.592
depraved	naaqusay	anger	0.591
raving	ruxaya	anger	0.591
guillotine	guillotine	anger	0.591
guilty	dembi	anger	0.591
immoral	akhlaaqda	anger	0.591
forcibly	adag	anger	0.591
overpowering	ka weyn	anger	0.591
accursed	ladilay	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	dib u celin	anger	0.588
invader	weerar	anger	0.588
scare	cabsi	anger	0.588
screwed	xayiray	anger	0.588
indignation	cadho	anger	0.587
jealousy	xaasidnimo	anger	0.587
vexed	walwal	anger	0.586
confront	hortaagan	anger	0.582
brute	naxdin leh	anger	0.581
throttle	goyso	anger	0.579
wreck	burbur	anger	0.578
revolver	kacdoonka	anger	0.578
slut	gaabin	anger	0.578
yousuck	waxaad ku	anger	0.578
damage	dhaawac	anger	0.578
butcher	tuugada	anger	0.578
conflict	isku dhac	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	dembi	anger	0.578
bickering	xagjirnimada	anger	0.578
pillage	dilka	anger	0.578
blaze	dabka	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kufsi	anger	0.578
contentious	muran	anger	0.578
incarceration	xabsi	anger	0.578
defiant	daacad ah	anger	0.578
provoking	caro	anger	0.578
lash	jilicsan	anger	0.578
cancer	kansarka	anger	0.577
frustration	niyadjab	anger	0.576
gory	gory	anger	0.576
alienation	shisheeye	anger	0.576
discord	khilaafka	anger	0.576
disturbance	rabshad	anger	0.576
grope	xadhig	anger	0.576
condescension	gorgortanka	anger	0.576
pernicious	nacasnimo	anger	0.576
blasphemy	cayda	anger	0.576
discriminate	takoorid	anger	0.576
chaotic	boodh	anger	0.576
gun	hub	anger	0.576
standoff	Iskuday	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	kaftanka	anger	0.574
lunacy	diiniga	anger	0.574
oppressive	dulqaad leh	anger	0.574
death	dhimasho	anger	0.574
jab	jab	anger	0.574
cursed	waa la habaaray	anger	0.574
scandalous	fadeexad	anger	0.574
monstrosity	dulqaad	anger	0.574
shit	shit	anger	0.573
disparaging	kala-takoorid	anger	0.571
slash	xoqan	anger	0.571
unfair	caddaalad darro	anger	0.571
gallows	gallow	anger	0.570
escalate	kor u kac	anger	0.569
intolerant	dulqaad la'aan	anger	0.564
lawlessness	sharci la'aanta	anger	0.563
bluddy	bluddy	anger	0.562
perdition	burburka	anger	0.562
taunt	caajis	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	la khiyaaneeyey	anger	0.562
slander	qarsoodi ah	anger	0.562
retards	caqabado	anger	0.562
bearish	roon	anger	0.562
invade	soo gali	anger	0.562
bellows	qashinka	anger	0.562
beast	bahal	anger	0.562
frightful	cabsi leh	anger	0.562
derogatory	fadeexad	anger	0.562
glare	iftiin	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	cabsi badan	anger	0.562
traitor	khiyaanayn	anger	0.562
malign	malignimo	anger	0.562
wrangling	isku dhaca	anger	0.562
dissension	khilaafka	anger	0.561
banshee	banshee	anger	0.561
shatter	burburin	anger	0.561
conflagration	isku dhaca	anger	0.561
jeopardize	khatar gelin kara	anger	0.561
thief	tuug	anger	0.561
rave	rave	anger	0.561
grating	jeexan	anger	0.561
devastating	burburin	anger	0.561
idiots	calaamado	anger	0.561
betrayal	khiyaamo	anger	0.561
uncontrollable	aan la xakameyn karin	anger	0.561
fits	ku habboon	anger	0.561
cross	iskutallaabta	anger	0.561
hurt	dhaawac ah	anger	0.561
disturbed	dhibay	anger	0.559
subjugation	subjugation	anger	0.559
stomped	nadiif ah	anger	0.557
grab	qabsasho	anger	0.557
ticked	sax ah	anger	0.556
masochism	masochism	anger	0.556
grievance	cabasho	anger	0.556
defiance	diidmo	anger	0.552
blackmail	gardarrada	anger	0.550
offensive	weerar	anger	0.549
decry	gooyso	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	xadgudub	anger	0.547
punishment	ciqaab	anger	0.547
shrill	qoyaan	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	madow	anger	0.547
misery	murugo	anger	0.547
frustrates	jahwareer	anger	0.547
disgraceful	ceeb	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	dulqaad	anger	0.547
disparity	kala duwanaan la'aan	anger	0.547
confine	xayiraan	anger	0.547
firearms	qoryaha	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	koritaan	anger	0.547
rebel	mucaarad	anger	0.547
deceive	khiyaamo	anger	0.547
stolen	la xaday	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	kululeey	anger	0.545
ruined	burburay	anger	0.545
menace	cabsi	anger	0.545
humiliate	hoos u dhig	anger	0.545
tackle	tactel	anger	0.545
conspirator	shirqool	anger	0.545
foul	qalad	anger	0.545
antagonist	dhexdhexaadiye	anger	0.545
resentful	roonaan	anger	0.545
prejudice	nacaybka	anger	0.545
adversary	Cadaab	anger	0.545
argument	dood	anger	0.545
skirmish	iskuday	anger	0.545
callous	wacan	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	isdhaafsadeen	anger	0.544
robbery	dhac	anger	0.544
sting	xoqin	anger	0.544
outcry	ka baxsan	anger	0.544
grumble	gaajooday	anger	0.544
irreconcilable	aan la dabooli karin	anger	0.543
resistance	iska caabin	anger	0.543
obstructive	hortaagan	anger	0.542
dismay	murugo	anger	0.540
mob	xanuun	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	xumaanta	anger	0.536
ridicule	jees jees	anger	0.534
incendiary	gubasho	anger	0.533
flares	caleenta	anger	0.532
degeneracy	degenaanta	anger	0.531
confinement	xiritaanka	anger	0.531
exacerbation	sii xumayn	anger	0.531
prejudicial	anshax	anger	0.531
uprising	kacdoonka	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	lakin	anger	0.531
unbridled	aan la shaacin	anger	0.531
allegation	eedeyn	anger	0.531
communism	wada-xaajoodka	anger	0.531
whip	qashin	anger	0.531
intruder	dadka soo galaya	anger	0.531
dispute	khilaaf	anger	0.531
belittle	xejin	anger	0.531
bigoted	weynaaday	anger	0.530
offender	dembiile	anger	0.530
hassle	dhibaato	anger	0.530
dissonance	nacaybka	anger	0.530
unjust	caddaalad darro	anger	0.530
dictatorial	kali taliye	anger	0.530
unjustifiable	aan la isku hallayn karin	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	qallafsan	anger	0.530
tackled	wax laga qabtay	anger	0.530
renegade	dib u noqoshada	anger	0.529
hot	kulul	anger	0.529
prison	xabsiga	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	xadgudub	anger	0.529
suicide	is-dilid	anger	0.521
annoy	annoy	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	macno ahaan	anger	0.516
distrust	kalsooni la'aan	anger	0.516
depravity	qummanaanta	anger	0.516
cretins	qalloocan	anger	0.516
divorce	furiinka	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	joojinta	anger	0.516
inimical	aan caqli-gal ahayn	anger	0.516
duress	halis	anger	0.516
disrespectful	ixtiraam la'aan	anger	0.516
tortious	jirdil	anger	0.516
criticize	dhaleeceeyo	anger	0.516
prisoner	maxbuus	anger	0.516
dishonest	daacadnimo	anger	0.516
treason	khiyaamo Qaran	anger	0.516
victimized	dhibaney	anger	0.515
bile	xitaa	anger	0.515
unkind	xumayn	anger	0.515
unforgiving	xusuusin la'aan	anger	0.515
unleash	xarig	anger	0.515
coercion	khasab	anger	0.515
scold	dillaac	anger	0.515
chaos	fowdo	anger	0.515
grump	boodo	anger	0.515
roar	roor	anger	0.515
jerks	jajab	anger	0.515
poaching	ugaadhsiga	anger	0.515
hangry	hoyga	anger	0.515
pow	pow	anger	0.515
poachers	ugaaratada	anger	0.515
argumentation	dood	anger	0.515
frustrating	niyadjab	anger	0.515
tussle	murqo	anger	0.514
bane	bane	anger	0.511
accusation	eedayn	anger	0.510
repudiation	diidmo	anger	0.510
enmity	cadaawad	anger	0.510
banish	banish	anger	0.509
disfigured	naafo ah	anger	0.508
storm	duufaan	anger	0.507
shun	shun	anger	0.500
suppression	xakamaynta	anger	0.500
unruly	midab darro	anger	0.500
intractable	laga leexan karaa	anger	0.500
ordeal	xasilooni	anger	0.500
obstruct	hortaagan	anger	0.500
derogation	derogeynta	anger	0.500
fervor	fervor	anger	0.500
foaming	xumbo	anger	0.500
derision	murugo	anger	0.500
animus	animus	anger	0.500
rejects	diido	anger	0.500
bout	bout	anger	0.500
spear	waran	anger	0.500
crazy	Waali	anger	0.500
brazen	brazen	anger	0.500
antithesis	diidmo	anger	0.500
injustice	caddaalad darro	anger	0.500
banished	laga saaray	anger	0.500
confined	xiran	anger	0.500
frenzied	qallafsan	anger	0.500
dominate	heysta	anger	0.500
disrupting	carqaladeeyay	anger	0.500
hammering	jilicsan	anger	0.500
fear	cabsi	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	xanaaq	anger	0.500
brunt	caan ah	anger	0.500
possessed	hanti	anger	0.500
defy	diidmo	anger	0.500
scoff	Iskuday	anger	0.500
patronising	ilaalinta	anger	0.500
delusional	been abuur	anger	0.500
malpractice	xumeyn	anger	0.500
reject	diido	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	adag tahay	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	dareen	anger	0.491
sinful	dembi leh	anger	0.491
avarice	kharashka	anger	0.490
oppress	dulqaad	anger	0.490
disapproved	aan la oggolaan	anger	0.485
inhuman	bani-aadannimada	anger	0.485
demand	dalbasho	anger	0.485
abolish	joojiso	anger	0.485
anathema	anathema	anger	0.485
fricking	jajab	anger	0.485
complaint	cabasho	anger	0.485
disservice	nacasnimo	anger	0.485
smuggler	tahriibiye	anger	0.485
revoke	joojiso	anger	0.485
infraction	xadgudub	anger	0.485
claw	dildilaaca	anger	0.485
dissident	mucaarad	anger	0.485
pervert	qallooca	anger	0.485
incest	kufsi	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	caasinimadiisa	anger	0.485
usurp	usurp	anger	0.485
alienate	shisheeye	anger	0.485
avenger	avenger	anger	0.485
annoyed	dhibsaday	anger	0.485
cutting	jarida	anger	0.485
disgrace	ceebeyn	anger	0.484
deceit	khiyaanada	anger	0.484
suspicious	shaki ku jiro	anger	0.484
thresh	buro	anger	0.484
sucker	Gooba	anger	0.484
strained	xanniban	anger	0.484
blame	eedayn	anger	0.484
upheaval	ba'an	anger	0.484
renounce	ka bax	anger	0.484
obnoxious	qallafsan	anger	0.484
restrain	xakamaynta	anger	0.484
oust	iska ilaali	anger	0.484
litigious	dacwad	anger	0.484
rivalry	xafiiltanka	anger	0.484
penalty	ganaax	anger	0.484
imprisoned	xidhay	anger	0.484
mocking	jees jees	anger	0.484
opposed	ka soo horjeeda	anger	0.484
turbulence	buuq	anger	0.483
pound	pound	anger	0.481
coldness	qabow	anger	0.477
ungrateful	Gaalnimo	anger	0.472
battalion	battalion	anger	0.471
stoopid	ciriiri	anger	0.471
hostage	la haystayaal	anger	0.470
infidel	gaalnimo	anger	0.470
ram	ram	anger	0.470
accuser	eedeeysane	anger	0.470
gall	khamri	anger	0.470
subversion	subversion	anger	0.470
annoying	dhibsado	anger	0.470
adversity	dhibaatada	anger	0.470
dispossessed	la tuuray	anger	0.470
friction	xatooyada	anger	0.470
jealous	masayr	anger	0.470
feudalism	feodalism	anger	0.470
armament	hub	anger	0.470
