word	Welsh-cy	emotion	emotion-intensity-score
smite	smite	anger	0.862
brawl	brawl	anger	0.861
assault	ymosodiad	anger	0.859
malicious	maleisus	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	ffrwydro	anger	0.859
assassination	llofruddiaeth	anger	0.859
hostility	gelyniaeth	anger	0.859
loathsome	yn ddrwg	anger	0.857
hell	uffern	anger	0.853
murderous	llofrudd	anger	0.853
attack	ymosodiad	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terfysgaeth	anger	0.851
beating	curo	anger	0.849
desecration	cywiro	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ofid	anger	0.848
stab	stab	anger	0.844
slaughter	lladd	anger	0.844
violent	treisgar	anger	0.844
destroying	dinistrio	anger	0.844
abomination	ffiaidd	anger	0.844
tumultuous	dychrynllyd	anger	0.844
irate	irate	anger	0.844
infuriate	yn niweidiol	anger	0.844
obliterate	dileu	anger	0.843
belligerent	rhwystredig	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	gwendidau	anger	0.837
prick	prick	anger	0.835
torture	tortaith	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	creulondeb	anger	0.833
hate	casineb	anger	0.828
demonic	demonic	anger	0.828
hating	casáu	anger	0.828
satanic	satanig	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	anhygoel	anger	0.828
ruinous	difetha	anger	0.825
condemn	condemnio	anger	0.825
riots	terfysgoedd	anger	0.824
demolish	chwalu	anger	0.824
angry	yn ddig	anger	0.824
extermination	dinistrio	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	ddrwg	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	gwenwynig	anger	0.818
threaten	bygwth	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terfysgol	anger	0.818
abhor	abhor	anger	0.816
savage	saethus	anger	0.814
atrocity	rhyfedd	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	camdriniaeth	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ffyrnig	anger	0.812
destroyer	dinistriwr	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	ffosio	anger	0.812
barbaric	barbaraidd	anger	0.812
anger	dicter	anger	0.811
pieceofshit	darn	anger	0.810
slam	slam	anger	0.803
fights	ymladd	anger	0.803
punched	pwyso	anger	0.803
bitch	bys	anger	0.803
punching	dyrnu	anger	0.803
homicide	lladdiad	anger	0.803
destructive	dinistriol	anger	0.797
ruthless	anghyfreithlon	anger	0.797
villainous	gwenwynog	anger	0.797
slap	slap	anger	0.791
slaughterhouse	lladd-dy	anger	0.788
punishing	cosbi	anger	0.788
destroyed	wedi'i ddinistrio	anger	0.788
retaliatory	adaliad	anger	0.788
riot	terfysg	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	gan wylio	anger	0.788
growthefuckup	tyfu	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	dynladdiad	anger	0.783
clash	gwrthdaro	anger	0.783
bloody	gwaedlyd	anger	0.781
hellish	hellish	anger	0.781
loath	cariad	anger	0.781
detonation	ataliad	anger	0.781
quarrel	cyhuddo	anger	0.781
sinister	sinistr	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	yn cyhuddo	anger	0.779
treacherous	trawiadol	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	cilio	anger	0.773
revulsion	diddymu	anger	0.773
madder	yn ofnadwy	anger	0.773
horrific	erchyll	anger	0.773
scorn	sarhaus	anger	0.769
deplorable	anhygoel	anger	0.766
bomb	bom	anger	0.766
anarchist	anarchydd	anger	0.765
devastation	difrod	anger	0.765
resent	resent	anger	0.765
firestorm	storm tân	anger	0.765
contemptible	yn ddirmyg	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	yn greulon	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	yn farwol	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	allan	anger	0.757
snarl	snarl	anger	0.754
profane	profan	anger	0.750
offend	troseddu	anger	0.750
douchebags	douchebags	anger	0.750
growling	tyfu	anger	0.750
stfu	stfu	anger	0.750
vulgarity	dirgelwch	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	wedi'i bori	anger	0.750
despise	gwaredu	anger	0.750
horror	arswyd	anger	0.750
aggravating	gwaethygu	anger	0.750
revolting	yn gwrthdaro	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	bygythiad	anger	0.742
erupt	erupt	anger	0.742
screaming	sgrechian	anger	0.742
violence	trais	anger	0.742
horrible	yn ofnadwy	anger	0.742
molestation	molestation	anger	0.742
bastards	bastardiaid	anger	0.741
revenge	dial	anger	0.738
catastrophe	trychineb	anger	0.735
menacing	yn flinig	anger	0.735
demon	demon	anger	0.735
crushing	trwsio	anger	0.735
damn	damn	anger	0.735
persecute	erledigaeth	anger	0.734
argue	dadlau	anger	0.734
flog	flog	anger	0.734
revolt	gwrthryfel	anger	0.734
thrash	thrash	anger	0.734
deplore	dadlwch	anger	0.734
warfare	rhyfel	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	wirioneddol	anger	0.734
riotous	yn rhyfedd	anger	0.734
altercation	newidiad	anger	0.729
warlike	rhyfeddol	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	treigl	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	malevolent	anger	0.721
strike	streic	anger	0.721
disaster	trychineb	anger	0.721
disastrous	trychinebus	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	diafol	anger	0.719
scream	sgrechian	anger	0.719
brutal	brwdlon	anger	0.719
treachery	traed	anger	0.719
scorching	crafu	anger	0.719
vermin	gwenwyn	anger	0.719
arseholes	tyllau llysiau	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	yn gwaethygu	anger	0.719
spiteful	yn ofnadwy	anger	0.719
slay	marw	anger	0.719
disdain	diswyddo	anger	0.719
choke	twyllo	anger	0.719
bastarding	bastardio	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarchiaeth	anger	0.714
mutilation	tyllau	anger	0.714
criminal	troseddol	anger	0.714
denunciation	denunciation	anger	0.713
punch	punch	anger	0.713
crucifixion	croeshoelio	anger	0.712
virulence	virulence	anger	0.712
battled	ymladd	anger	0.712
fatal	yn angheuol	anger	0.712
holocaust	holocost	anger	0.712
blasphemous	blasus	anger	0.712
hurting	yn brifo	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	wedi'i ddirwyn	anger	0.706
atrocious	yn rhyfeddol	anger	0.706
evil	drwg	anger	0.706
irritated	poeni	anger	0.706
assassin	llofruddiaeth	anger	0.703
dicks	dicks	anger	0.703
persecution	erledigaeth	anger	0.703
slayer	slayer	anger	0.703
kidnap	herwgipio	anger	0.703
scolding	sgolding	anger	0.703
intimidation	bygythiad	anger	0.703
aggravated	gwaethygu	anger	0.703
aggression	ymosodol	anger	0.702
armed	arfog	anger	0.700
poison	gwenwyn	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	brwydr	anger	0.697
disgruntled	anffodus	anger	0.693
insidious	insidious	anger	0.691
assailant	ymosodwr	anger	0.691
resentment	angerdd	anger	0.691
lynch	lynch	anger	0.690
contemptuous	myfyrgar	anger	0.690
temper	tymer	anger	0.688
imprisonment	carchar	anger	0.688
disparage	disparage	anger	0.688
bully	bwli	anger	0.688
terrible	ofnadwy	anger	0.688
lunatic	llonydd	anger	0.688
curse	curse	anger	0.688
makesmemad	cofnodi	anger	0.688
peeved	peeved	anger	0.688
domination	dominiant	anger	0.688
mad	yn wallgof	anger	0.688
infanticide	babanladdiad	anger	0.688
volatility	ansefydlogrwydd	anger	0.687
eradication	dileu	anger	0.685
tantrum	tantrum	anger	0.682
devastate	yn diflasu	anger	0.682
eradicate	dileu	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	yn ymosodol	anger	0.680
agitation	aflonyddwch	anger	0.680
dictatorship	unbennaeth	anger	0.676
irritates	yn llidro	anger	0.676
profanity	profanoldeb	anger	0.673
egregious	egregious	anger	0.672
expletive	yn expletive	anger	0.672
nasty	cas	anger	0.672
shove	chwythu	anger	0.672
shot	ergyd	anger	0.672
harmful	niweidiol	anger	0.672
aggravation	gwaethygu	anger	0.672
contempt	dirmyg	anger	0.672
poisonous	gwenwynig	anger	0.672
dastardly	yn ddistardig	anger	0.672
shoot	saethu	anger	0.672
corrupting	llygru	anger	0.672
condemnation	condemniad	anger	0.672
wreak	dychryn	anger	0.672
crushed	wedi'i falu	anger	0.672
cruelly	yn greulon	anger	0.672
crime	trosedd	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruption	anger	0.667
odious	odious	anger	0.667
shooting	saethu	anger	0.667
kick	cicio	anger	0.667
aggressive	yn ymosodol	anger	0.667
combat	ymladd	anger	0.667
shout	gweiddi	anger	0.667
hit	taro	anger	0.667
fight	ymladd	anger	0.667
cutthroat	toriad coch	anger	0.667
enemy	gelyn	anger	0.667
irritable	anhygoel	anger	0.667
punished	cosbi	anger	0.662
ambush	ysglyfaethus	anger	0.661
yell	llawen	anger	0.661
harass	aflonyddu	anger	0.659
malignant	malign	anger	0.656
aggressor	ymosodwr	anger	0.656
antichrist	anticrist	anger	0.656
gore	gore	anger	0.656
incense	arogl	anger	0.656
expel	diddymu	anger	0.656
destruction	dinistrio	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	troseddu	anger	0.652
spank	spank	anger	0.652
growl	tyfu	anger	0.652
insurrection	ymosodiad	anger	0.652
reprisal	gwrthdaro	anger	0.652
slave	caethweision	anger	0.652
denounce	denounce	anger	0.652
animosity	animeiddrwydd	anger	0.652
insulting	sarhaus	anger	0.652
clashing	gwrthdaro	anger	0.652
growls	yn tyfu	anger	0.649
executioner	gweithredwr	anger	0.644
twat	twat	anger	0.644
doomsday	dydd Mawrth	anger	0.643
daemon	daemon	anger	0.641
obscenity	anlladrwydd	anger	0.641
bombard	bombard	anger	0.641
spat	ysbwriel	anger	0.641
havoc	dyrnu	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	llosgi bwriadol	anger	0.641
reprimand	cerydd	anger	0.641
expulsion	diddymiad	anger	0.641
inexcusable	anhygoel	anger	0.641
accused	wedi'i gyhuddo	anger	0.641
indignant	yn ddig	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	clwyf	anger	0.636
suicidal	hunanladdol	anger	0.636
poisoned	wedi'i wenwyno	anger	0.636
batter	batter	anger	0.636
kicking	cicio	anger	0.636
hanging	hongian	anger	0.636
spanking	rhychwantu	anger	0.636
disgusting	yn warthus	anger	0.636
combatant	ymladdwr	anger	0.636
frustrated	rhwystredig	anger	0.636
anarchy	anarchiaeth	anger	0.636
glaring	yn syfrdanol	anger	0.636
inflict	chwyddo	anger	0.633
wrecked	wedi torri oddi arno	anger	0.633
grievous	yn galed	anger	0.632
prosecute	erlyn	anger	0.630
agitated	ysgogol	anger	0.630
cheat	twyllo	anger	0.630
swastika	swastika	anger	0.627
defamatory	difenwol	anger	0.625
suffocation	aflonyddu	anger	0.625
strife	ymladd	anger	0.625
provocation	brwydro	anger	0.625
injure	anafu	anger	0.625
harassing	aflonyddu	anger	0.625
scourge	gwrych	anger	0.625
cursing	melltithio	anger	0.625
betray	bradychu	anger	0.625
indict	disgyblu	anger	0.625
raid	cyrch	anger	0.625
thundering	taenu	anger	0.625
enslaved	gwlaidd	anger	0.625
arsehole	gludo	anger	0.624
insane	yn wallgof	anger	0.621
fiend	fiend	anger	0.621
irritate	llid	anger	0.621
convict	yn euog	anger	0.621
jerk	jerk	anger	0.621
theft	dwyn	anger	0.621
retaliation	gwrthdaro	anger	0.621
deprivation	amddifadedd	anger	0.621
cussed	cussed	anger	0.619
turmoil	trallod	anger	0.618
smack	smacio	anger	0.615
retribution	ad-dalu	anger	0.614
twats	twats	anger	0.609
intolerable	annioddefol	anger	0.609
rebellion	gwrthryfel	anger	0.609
injurious	yn niweidiol	anger	0.609
oppressor	gorthrymwr	anger	0.609
slavery	caethwasiaeth	anger	0.609
irritability	llidus	anger	0.609
collision	gwrthdrawiad	anger	0.609
bitterly	yn chwerw	anger	0.609
gang	gang	anger	0.609
antagonism	gwrthdaro	anger	0.609
battery	batri	anger	0.609
adverse	anffafriol	anger	0.609
disgraced	disgraced	anger	0.608
irritating	yn llidus	anger	0.606
revolution	chwyldro	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bomio	anger	0.606
blast	chwyth	anger	0.606
irks	erthyglau	anger	0.606
sickening	yn sâl	anger	0.606
discrimination	gwahaniaethu	anger	0.606
antagonistic	antagonist	anger	0.606
ranting	rhuthro	anger	0.606
asshole	asshole	anger	0.606
frustrate	rhwystredigaeth	anger	0.604
manipulation	trin	anger	0.603
tension	tensiwn	anger	0.603
insult	sarhad	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	yn brifo	anger	0.603
oppression	gormes	anger	0.603
disgust	disgust	anger	0.602
spite	er gwaethaf	anger	0.600
intrusive	ymwthiol	anger	0.598
harshness	llym	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	ymosodiad	anger	0.594
puncture	dyrnu	anger	0.594
miserable	yn ddrwg	anger	0.594
assail	assail	anger	0.594
storming	yn rhyfeddu	anger	0.594
casualty	anafedig	anger	0.594
bitterness	chwerwder	anger	0.594
morbidity	morbidrwydd	anger	0.594
tempest	tywyll	anger	0.594
consternation	gormod	anger	0.592
depraved	cywilydd	anger	0.591
raving	raving	anger	0.591
guillotine	gilotin	anger	0.591
guilty	yn euog	anger	0.591
immoral	anfoesol	anger	0.591
forcibly	yn orfodol	anger	0.591
overpowering	yn gorgyffwrdd	anger	0.591
accursed	anffodus	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	yn anghysbell	anger	0.588
invader	ymosodwr	anger	0.588
scare	ofn	anger	0.588
screwed	sgriwio	anger	0.588
indignation	yn ddig	anger	0.587
jealousy	eiddigedd	anger	0.587
vexed	poeni	anger	0.586
confront	wynebu	anger	0.582
brute	briwt	anger	0.581
throttle	throttle	anger	0.579
wreck	llongddrylliad	anger	0.578
revolver	chwyldro	anger	0.578
slut	slut	anger	0.578
yousuck	chi chi	anger	0.578
damage	difrod	anger	0.578
butcher	cigydd	anger	0.578
conflict	gwrthdaro	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	troseddoldeb	anger	0.578
bickering	bickering	anger	0.578
pillage	cipio	anger	0.578
blaze	fflam	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	dadleuol	anger	0.578
incarceration	carcharu	anger	0.578
defiant	yn amddiffyn	anger	0.578
provoking	ysgogi	anger	0.578
lash	lash	anger	0.578
cancer	canser	anger	0.577
frustration	rhwystredigaeth	anger	0.576
gory	gory	anger	0.576
alienation	dieithrio	anger	0.576
discord	anghytuno	anger	0.576
disturbance	aflonyddwch	anger	0.576
grope	grope	anger	0.576
condescension	cywasgu	anger	0.576
pernicious	yn ddrwg	anger	0.576
blasphemy	blasphemi	anger	0.576
discriminate	gwahaniaethu	anger	0.576
chaotic	yn anhrefnus	anger	0.576
gun	gwn	anger	0.576
standoff	sefyll	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	cywilydd	anger	0.574
oppressive	gormesol	anger	0.574
death	marwolaeth	anger	0.574
jab	jab	anger	0.574
cursed	melltith	anger	0.574
scandalous	yn warthus	anger	0.574
monstrosity	rhyfeddod	anger	0.574
shit	cach	anger	0.573
disparaging	yn ddigalon	anger	0.571
slash	slash	anger	0.571
unfair	annheg	anger	0.571
gallows	gallows	anger	0.570
escalate	cynyddu	anger	0.569
intolerant	anghyfreithlon	anger	0.564
lawlessness	anghyfreithlon	anger	0.563
bluddy	bluddy	anger	0.562
perdition	colli	anger	0.562
taunt	taunt	anger	0.562
grouchy	rugog	anger	0.562
torpedo	torpedo	anger	0.562
deceived	twyllo	anger	0.562
slander	cywilydd	anger	0.562
retards	addewidion	anger	0.562
bearish	rhad ac am ddim	anger	0.562
invade	yn ymosod	anger	0.562
bellows	Meliniaid	anger	0.562
beast	bwystfil	anger	0.562
frightful	yn ofnadwy	anger	0.562
derogatory	gwaharddiad	anger	0.562
glare	llawenydd	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ofnadwy	anger	0.562
traitor	cyfreithiwr	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	anghytuno	anger	0.561
banshee	banshee	anger	0.561
shatter	chwalu	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	yn peryglu	anger	0.561
thief	lleidr	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	yn ddinistriol	anger	0.561
idiots	idiotau	anger	0.561
betrayal	brad	anger	0.561
uncontrollable	heb ei reoli	anger	0.561
fits	yn cyd-fynd	anger	0.561
cross	croesi	anger	0.561
hurt	brifo	anger	0.561
disturbed	aflonyddwch	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	cipio	anger	0.557
ticked	ticio	anger	0.556
masochism	masochiaeth	anger	0.556
grievance	cwyn	anger	0.556
defiance	ddiffygiol	anger	0.552
blackmail	blaendal	anger	0.550
offensive	yn dramgwyddus	anger	0.549
decry	datgan	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	groes	anger	0.547
punishment	cosb	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ochr tywyll	anger	0.547
misery	tristwch	anger	0.547
frustrates	rhwystredigaeth	anger	0.547
disgraceful	gwarthus	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	yn ofnus	anger	0.547
disparity	gwahaniaethau	anger	0.547
confine	cyfyngu	anger	0.547
firearms	arfau tân	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	annisgwyl	anger	0.547
rebel	rebel	anger	0.547
deceive	twyllo	anger	0.547
stolen	wedi'i ddwyn	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	wedi'i gynhesu	anger	0.545
ruined	difetha	anger	0.545
menace	anffodus	anger	0.545
humiliate	gwasgu	anger	0.545
tackle	mynd i'r afael â nhw	anger	0.545
conspirator	conspiradwr	anger	0.545
foul	budr	anger	0.545
antagonist	antagonist	anger	0.545
resentful	yn resentful	anger	0.545
prejudice	rhagfarn	anger	0.545
adversary	gwrthwynebydd	anger	0.545
argument	dadl	anger	0.545
skirmish	ysgubor	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ymuno	anger	0.544
robbery	lladrad	anger	0.544
sting	plymio	anger	0.544
outcry	crynhoi	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	annibynadwy	anger	0.543
resistance	gwrthiant	anger	0.543
obstructive	rhwystr	anger	0.542
dismay	syfrdan	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	gwaelodrwydd	anger	0.536
ridicule	drueni	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	dirywiad	anger	0.531
confinement	cyfyngu	anger	0.531
exacerbation	gwaethygu	anger	0.531
prejudicial	yn niweidiol	anger	0.531
uprising	gwrthryfel	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	yn ddi-hid	anger	0.531
unbridled	anghyfannedd	anger	0.531
allegation	honiad	anger	0.531
communism	comiwnyddiaeth	anger	0.531
whip	chwip	anger	0.531
intruder	ymosodwr	anger	0.531
dispute	anghydfod	anger	0.531
belittle	braidd	anger	0.531
bigoted	bigoted	anger	0.530
offender	troseddwr	anger	0.530
hassle	drafferth	anger	0.530
dissonance	dissoniant	anger	0.530
unjust	anghyfiawn	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	anghyfiawnadwy	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversiwn	anger	0.530
tackled	mynd i'r afael â hi	anger	0.530
renegade	ailnegâd	anger	0.529
hot	poeth	anger	0.529
prison	carchar	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	tresmasu	anger	0.529
suicide	hunanladdiad	anger	0.521
annoy	annoy	anger	0.520
leavemealone	gwyliwr	anger	0.517
idiotic	idiotig	anger	0.516
distrust	diffyg ymddiriedaeth	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	ysgariad	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	fentro	anger	0.516
inimical	inimical	anger	0.516
duress	duedd	anger	0.516
disrespectful	amharchus	anger	0.516
tortious	yn anffodus	anger	0.516
criticize	beirniadu	anger	0.516
prisoner	carcharor	anger	0.516
dishonest	anonest	anger	0.516
treason	treason	anger	0.516
victimized	wedi'i ddioddef	anger	0.515
bile	bilis	anger	0.515
unkind	anhygoel	anger	0.515
unforgiving	anffodus	anger	0.515
unleash	dadlwytho	anger	0.515
coercion	gorfodaeth	anger	0.515
scold	sgold	anger	0.515
chaos	anhrefn	anger	0.515
grump	grwmp	anger	0.515
roar	chwythu	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	powdr	anger	0.515
poachers	poachers	anger	0.515
argumentation	dadliad	anger	0.515
frustrating	rhwystredig	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	cyhuddiad	anger	0.510
repudiation	ad-dalu	anger	0.510
enmity	enmity	anger	0.510
banish	gwahardd	anger	0.509
disfigured	disfigured	anger	0.508
storm	storm	anger	0.507
shun	shun	anger	0.500
suppression	gwaharddiad	anger	0.500
unruly	anghyfrifol	anger	0.500
intractable	yn anymarferol	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	rhwystro	anger	0.500
derogation	rhanddirymiad	anger	0.500
fervor	fervor	anger	0.500
foaming	ewyn	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	yn gwrthod	anger	0.500
bout	bout	anger	0.500
spear	ysgwydd	anger	0.500
crazy	yn wallgof	anger	0.500
brazen	bren	anger	0.500
antithesis	antithesis	anger	0.500
injustice	anghyfiawnder	anger	0.500
banished	gwaredu	anger	0.500
confined	cyfyngedig	anger	0.500
frenzied	frenzied	anger	0.500
dominate	dominyddu	anger	0.500
disrupting	amharu ar	anger	0.500
hammering	morthwylio	anger	0.500
fear	ofn	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguis	anger	0.500
brunt	brunt	anger	0.500
possessed	meddiant	anger	0.500
defy	defy	anger	0.500
scoff	syfrdanol	anger	0.500
patronising	noddwr	anger	0.500
delusional	delusional	anger	0.500
malpractice	camymddygiad	anger	0.500
reject	gwrthod	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	anoddrwydd	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	madness	anger	0.491
sinful	pechadurus	anger	0.491
avarice	avarice	anger	0.490
oppress	gorthrym	anger	0.490
disapproved	heb eu cymeradwyo	anger	0.485
inhuman	annhynol	anger	0.485
demand	galw	anger	0.485
abolish	diddymu	anger	0.485
anathema	anathema	anger	0.485
fricking	ffynnu	anger	0.485
complaint	cwyn	anger	0.485
disservice	anfodlonrwydd	anger	0.485
smuggler	smygwr	anger	0.485
revoke	diddymu	anger	0.485
infraction	trawsnewid	anger	0.485
claw	Crafanc	anger	0.485
dissident	anghydfod	anger	0.485
pervert	gwrthdro	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	anghyfiawn	anger	0.485
usurp	usurp	anger	0.485
alienate	yn estron	anger	0.485
avenger	avenger	anger	0.485
annoyed	yn annifyr	anger	0.485
cutting	torri	anger	0.485
disgrace	gwarth	anger	0.484
deceit	twyll	anger	0.484
suspicious	yn amheus	anger	0.484
thresh	thresh	anger	0.484
sucker	siwgr	anger	0.484
strained	strained	anger	0.484
blame	bai	anger	0.484
upheaval	ymosodiad	anger	0.484
renounce	ailddatgan	anger	0.484
obnoxious	yn frawychus	anger	0.484
restrain	atal	anger	0.484
oust	oust	anger	0.484
litigious	gwallus	anger	0.484
rivalry	cystadleuaeth	anger	0.484
penalty	cosb	anger	0.484
imprisoned	carcharu	anger	0.484
mocking	magu	anger	0.484
opposed	yn gwrthwynebu	anger	0.484
turbulence	trallodrwydd	anger	0.483
pound	bunt	anger	0.481
coldness	annwyd	anger	0.477
ungrateful	yn ddymunol	anger	0.472
battalion	bataliwn	anger	0.471
stoopid	stoopid	anger	0.471
hostage	gwenyn	anger	0.470
infidel	anffyddlon	anger	0.470
ram	Ram	anger	0.470
accuser	cyhuddwr	anger	0.470
gall	gall	anger	0.470
subversion	israddiad	anger	0.470
annoying	yn blino	anger	0.470
adversity	gwrthdaro	anger	0.470
