word	Javanese-jw	emotion	emotion-intensity-score
detest	ngguyu	anger	0.838
hostilities	permusuhan	anger	0.837
prick	prick	anger	0.835
torture	nyiksa	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	kekejeman	anger	0.833
hate	sengit	anger	0.828
demonic	demonic	anger	0.828
hating	hating	anger	0.828
satanic	satanika	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	despicable	anger	0.828
ruinous	ruinous	anger	0.825
condemn	ngukum	anger	0.825
riots	riots	anger	0.824
demolish	ngrusak	anger	0.824
angry	duka	anger	0.824
extermination	extermination	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	kasiksa	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	venomous	anger	0.818
threaten	ngancem	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	teroris	anger	0.818
abhor	nesu	anger	0.816
savage	galak	anger	0.814
atrocity	atrocity	anger	0.814
carnage	nyerang	anger	0.814
berserk	nyerat	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	penyalahgunaan	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	ngguyu	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	galak	anger	0.812
destroyer	pemusnahan	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	nesu	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	gelut	anger	0.803
punched	punched	anger	0.803
bitch	asu	anger	0.803
punching	punching	anger	0.803
homicide	pembunuhan	anger	0.803
destructive	ngrusak	anger	0.797
ruthless	kejem	anger	0.797
villainous	villainous	anger	0.797
slap	tamparan	anger	0.791
slaughterhouse	nyembelih	anger	0.788
punishing	punishing	anger	0.788
destroyed	sirna	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	Rerusuh	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	manslaughter	anger	0.783
clash	gelut	anger	0.783
bloody	getih	anger	0.781
hellish	hellish	anger	0.781
loath	nesu	anger	0.781
detonation	detonasi	anger	0.781
quarrel	gelut	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	nyalahake	anger	0.779
treacherous	cidra	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	Retaliate	anger	0.773
revulsion	ngganggu	anger	0.773
madder	madder	anger	0.773
horrific	horrific	anger	0.773
scorn	nglokro	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bom	anger	0.766
anarchist	anarkis	anger	0.765
devastation	devastasi	anger	0.765
resent	resent	anger	0.765
firestorm	geni	anger	0.765
contemptible	nesu	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kejem	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mateni	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	njeblug	anger	0.757
snarl	snarl	anger	0.754
profane	profane	anger	0.750
offend	nyalahke	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaritas	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	nyepelekake	anger	0.750
horror	horor	anger	0.750
aggravating	nyengsemaken	anger	0.750
revolting	mbalela	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ancaman	anger	0.742
erupt	erupt	anger	0.742
screaming	njerit	anger	0.742
violence	kekerasan	anger	0.742
horrible	nggegirisi	anger	0.742
molestation	molestation	anger	0.742
bastards	bastards	anger	0.741
revenge	mbalela	anger	0.738
catastrophe	musibah	anger	0.735
menacing	menacing	anger	0.735
demon	setan	anger	0.735
crushing	crushing	anger	0.735
damn	peduli	anger	0.735
persecute	nyiksa	anger	0.734
argue	argue	anger	0.734
flog	flog	anger	0.734
revolt	pemberontakan	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	perang	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	kepenak	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotase	anger	0.727
malevolent	malevolent	anger	0.721
strike	serangan	anger	0.721
disaster	bilai	anger	0.721
disastrous	kacilakan	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	setan	anger	0.719
scream	njerit	anger	0.719
brutal	brutal	anger	0.719
treachery	pengkhianat	anger	0.719
scorching	scorching	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	nyengir	anger	0.719
slay	mateni	anger	0.719
disdain	disdain	anger	0.719
choke	keselak	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkisme	anger	0.714
mutilation	mutilasi	anger	0.714
criminal	pidana	anger	0.714
denunciation	denunciation	anger	0.713
punch	Punch	anger	0.713
crucifixion	penyaliban	anger	0.712
virulence	virulence	anger	0.712
battled	battled	anger	0.712
fatal	fatal	anger	0.712
holocaust	nandur	anger	0.712
blasphemous	blasphemous	anger	0.712
hurting	nyerang	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	jahat	anger	0.706
irritated	jengkel	anger	0.706
assassin	assassin	anger	0.703
dicks	dicks	anger	0.703
persecution	buron	anger	0.703
slayer	slayer	anger	0.703
kidnap	kidnap	anger	0.703
scolding	murka	anger	0.703
intimidation	intimidasi	anger	0.703
aggravated	aggravated	anger	0.703
aggression	agresi	anger	0.702
armed	bersenjata	anger	0.700
poison	racun	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	perang	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidious	anger	0.691
assailant	assailant	anger	0.691
resentment	resentment	anger	0.691
lynch	lynch	anger	0.690
contemptuous	ngapusi	anger	0.690
temper	sabar	anger	0.688
imprisonment	penjara	anger	0.688
disparage	disparage	anger	0.688
bully	nelangsa	anger	0.688
terrible	elek	anger	0.688
lunatic	lunatic	anger	0.688
curse	kutuk	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominasi	anger	0.688
mad	mad	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatility	anger	0.687
eradication	eradikasi	anger	0.685
tantrum	tantrum	anger	0.682
devastate	devastate	anger	0.682
eradicate	nyabut	anger	0.682
scoundrel	sengit	anger	0.682
aggressively	agresif	anger	0.680
agitation	agitation	anger	0.680
dictatorship	dictatorship	anger	0.676
irritates	ngganggu	anger	0.676
profanity	profanity	anger	0.673
egregious	egregious	anger	0.672
expletive	expletive	anger	0.672
nasty	nesu	anger	0.672
shove	shove	anger	0.672
shot	dijupuk	anger	0.672
harmful	mbebayani	anger	0.672
aggravation	aggravation	anger	0.672
contempt	penghinaan	anger	0.672
poisonous	beracun	anger	0.672
dastardly	dastardly	anger	0.672
shoot	njupuk	anger	0.672
corrupting	ngrusak	anger	0.672
condemnation	paukuman	anger	0.672
wreak	wreak	anger	0.672
crushed	ulig	anger	0.672
cruelly	kejem	anger	0.672
crime	tindak pidana	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	jeblugan	anger	0.667
odious	odious	anger	0.667
shooting	shooting	anger	0.667
kick	nyepak	anger	0.667
aggressive	agresif	anger	0.667
combat	pertempuran	anger	0.667
shout	bengok	anger	0.667
hit	pencet	anger	0.667
fight	perang	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	mungsuh	anger	0.667
irritable	gampang nyerang	anger	0.667
punished	dihukum	anger	0.662
ambush	ambush	anger	0.661
yell	yell	anger	0.661
harass	ngganggu	anger	0.659
malignant	malignant	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	antikristus	anger	0.656
gore	gore	anger	0.656
incense	dupa	anger	0.656
expel	ngeculake	anger	0.656
destruction	karusakan	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	gelisah	anger	0.652
spank	nggoleki	anger	0.652
growl	growl	anger	0.652
insurrection	pemberontakan	anger	0.652
reprisal	reprisal	anger	0.652
slave	wong lanang	anger	0.652
denounce	denounce	anger	0.652
animosity	kepenak	anger	0.652
insulting	ngina	anger	0.652
clashing	clashing	anger	0.652
growls	growls	anger	0.649
executioner	eksekusi	anger	0.644
twat	twat	anger	0.644
doomsday	kiamat	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenity	anger	0.641
bombard	nyerang	anger	0.641
spat	spat	anger	0.641
havoc	kacilakan	anger	0.641
feud	geger	anger	0.641
grr	grr	anger	0.641
arson	kebakaran	anger	0.641
reprimand	tegas	anger	0.641
expulsion	expulsion	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	dipuntudhuh	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	tatu	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	diracun	anger	0.636
batter	adonan	anger	0.636
kicking	nyepak	anger	0.636
hanging	nggantung	anger	0.636
spanking	spanking	anger	0.636
disgusting	njijiki	anger	0.636
combatant	pejuang	anger	0.636
frustrated	frustrasi	anger	0.636
anarchy	anarki	anger	0.636
glaring	glaring	anger	0.636
inflict	nyegah	anger	0.633
wrecked	rusak	anger	0.633
grievous	grievous	anger	0.632
prosecute	nuntut	anger	0.630
agitated	agitated	anger	0.630
cheat	ngapusi	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	suffocation	anger	0.625
strife	tandhingane	anger	0.625
provocation	provokasi	anger	0.625
injure	luka	anger	0.625
harassing	ngganggu	anger	0.625
scourge	cidra	anger	0.625
cursing	cursing	anger	0.625
betray	ngelanggar	anger	0.625
indict	indict	anger	0.625
raid	raid	anger	0.625
thundering	nggegirisi	anger	0.625
enslaved	dianiaya	anger	0.625
arsehole	arsehole	anger	0.624
insane	edan	anger	0.621
fiend	fiend	anger	0.621
irritate	ngganggu	anger	0.621
convict	convict	anger	0.621
jerk	jerk	anger	0.621
theft	nyolong	anger	0.621
retaliation	pembalasan	anger	0.621
deprivation	nyuda	anger	0.621
cussed	cussed	anger	0.619
turmoil	gangguan	anger	0.618
smack	smack	anger	0.615
retribution	retribusi	anger	0.614
twats	twats	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	pemberontakan	anger	0.609
injurious	injurious	anger	0.609
oppressor	oppressor	anger	0.609
slavery	perbudakan	anger	0.609
irritability	irritability	anger	0.609
collision	tabrakan	anger	0.609
bitterly	kepenak	anger	0.609
gang	gang	anger	0.609
antagonism	antagonism	anger	0.609
battery	baterei	anger	0.609
adverse	adverse	anger	0.609
disgraced	ngremehake	anger	0.608
irritating	ngganggu	anger	0.606
revolution	revolusi	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	pengeboran	anger	0.606
blast	blast	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	diskriminasi	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	mungkasi	anger	0.604
manipulation	manipulasi	anger	0.603
tension	tension	anger	0.603
insult	ngina	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	hurtful	anger	0.603
oppression	oppression	anger	0.603
disgust	nesu	anger	0.602
spite	nyatane	anger	0.600
intrusive	intrusive	anger	0.598
harshness	harshness	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	invasi	anger	0.594
puncture	puncture	anger	0.594
miserable	dakkirim	anger	0.594
assail	nyalahake	anger	0.594
storming	nyerang	anger	0.594
casualty	korban	anger	0.594
bitterness	keprungu	anger	0.594
morbidity	morbidity	anger	0.594
tempest	prahara	anger	0.594
consternation	keprihatinan	anger	0.592
depraved	depraved	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	guilty	anger	0.591
immoral	immoral	anger	0.591
forcibly	kanthi paksa	anger	0.591
overpowering	overpowering	anger	0.591
accursed	kacilakan	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	penyerbu	anger	0.588
scare	ajrih	anger	0.588
screwed	nyengat	anger	0.588
indignation	indignation	anger	0.587
jealousy	cemburu	anger	0.587
vexed	nesu	anger	0.586
confront	ngadhepi	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	wreck	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	yousuck	anger	0.578
damage	karusakan	anger	0.578
butcher	tukang daging	anger	0.578
conflict	konflik	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalitas	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kudeta	anger	0.578
contentious	contentious	anger	0.578
incarceration	dipenjara	anger	0.578
defiant	defiant	anger	0.578
provoking	nyenengake	anger	0.578
lash	lash	anger	0.578
cancer	kanker	anger	0.577
frustration	frustasi	anger	0.576
gory	gory	anger	0.576
alienation	alienation	anger	0.576
discord	prakara	anger	0.576
disturbance	gangguan	anger	0.576
grope	grope	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	pitenah	anger	0.576
discriminate	diskriminasi	anger	0.576
chaotic	kacau	anger	0.576
gun	gun	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	oppressive	anger	0.574
death	mati	anger	0.574
jab	jab	anger	0.574
cursed	dikutuk	anger	0.574
scandalous	skandal	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	taek	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	ora adil	anger	0.571
gallows	sandhangan	anger	0.570
escalate	escalate	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	angger-anggering Toret	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	ngguyu	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	ngapusi	anger	0.562
slander	slander	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	nyerang	anger	0.562
bellows	bunder	anger	0.562
beast	kéwan	anger	0.562
frightful	medeni	anger	0.562
derogatory	derogatory	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	dreadful	anger	0.562
traitor	pengkhianat	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	panyimpangan	anger	0.561
banshee	banshee	anger	0.561
shatter	ngeculake	anger	0.561
conflagration	kebakaran	anger	0.561
jeopardize	jeopardize	anger	0.561
thief	maling	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	nyerang	anger	0.561
idiots	idiots	anger	0.561
betrayal	betrayal	anger	0.561
uncontrollable	ora bisa dikontrol	anger	0.561
fits	cocok	anger	0.561
cross	salib	anger	0.561
hurt	gerah	anger	0.561
disturbed	kaganggu	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	nyekel	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	grievance	anger	0.556
defiance	defiance	anger	0.552
blackmail	ngemut	anger	0.550
offensive	nyerang	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	nglanggar	anger	0.547
punishment	ukuman	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	sisih peteng	anger	0.547
misery	kasangsaran	anger	0.547
frustrates	frustrates	anger	0.547
disgraceful	disgraceful	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	disparity	anger	0.547
confine	ngurung	anger	0.547
firearms	senjata api	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	mbalela	anger	0.547
deceive	ngapusi	anger	0.547
stolen	dicolong	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	digawe panas	anger	0.545
ruined	rusak	anger	0.545
menace	ngganggu	anger	0.545
humiliate	ngina	anger	0.545
tackle	nyangkut	anger	0.545
conspirator	komplotan	anger	0.545
foul	gawe salah	anger	0.545
antagonist	antagonis	anger	0.545
resentful	resentful	anger	0.545
prejudice	prejudis	anger	0.545
adversary	musuh	anger	0.545
argument	argumentasi	anger	0.545
skirmish	skirmish	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	entangled	anger	0.544
robbery	rampokan	anger	0.544
sting	nyengat	anger	0.544
outcry	outcry	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	resistance	anger	0.543
obstructive	obstructive	anger	0.542
dismay	dismay	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	badhan	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	confinement	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	uprising	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	sembrono	anger	0.531
unbridled	unbridled	anger	0.531
allegation	songko	anger	0.531
communism	komunisme	anger	0.531
whip	mecut	anger	0.531
intruder	intruder	anger	0.531
dispute	regejegan	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	pelanggaran	anger	0.530
hassle	gampang	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ora adil	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	unjustifiable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	tackled	anger	0.530
renegade	renegade	anger	0.529
hot	panas	anger	0.529
prison	pakunjaran	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	suicide	anger	0.521
annoy	ngganggu	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	idiotic	anger	0.516
distrust	ora ngandel	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	perceraian	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	disrespectful	anger	0.516
tortious	tortious	anger	0.516
criticize	ngritik	anger	0.516
prisoner	tahanan	anger	0.516
dishonest	ora adil	anger	0.516
treason	pengorbanan	anger	0.516
victimized	korban	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	ora pantes	anger	0.515
unleash	unleash	anger	0.515
coercion	kepeksa	anger	0.515
scold	sengit	anger	0.515
chaos	kekacauan	anger	0.515
grump	grump	anger	0.515
roar	roar	anger	0.515
jerks	jerks	anger	0.515
poaching	pemburu	anger	0.515
hangry	nggantung	anger	0.515
pow	pow	anger	0.515
poachers	tukang ngebor	anger	0.515
argumentation	argumentasi	anger	0.515
frustrating	mungkasi	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	accusation	anger	0.510
repudiation	nolak	anger	0.510
enmity	enmity	anger	0.510
banish	ngilangi	anger	0.509
disfigured	disfigured	anger	0.508
storm	badai	anger	0.507
shun	shun	anger	0.500
suppression	panahan	anger	0.500
unruly	unruly	anger	0.500
intractable	intractable	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	obah	anger	0.500
derogation	derogation	anger	0.500
fervor	semangat	anger	0.500
foaming	foaming	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	nolak	anger	0.500
bout	babak	anger	0.500
spear	tumbak	anger	0.500
crazy	gila	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	ora adil	anger	0.500
banished	dibuwang	anger	0.500
confined	Dibuwang	anger	0.500
frenzied	kegedhen	anger	0.500
dominate	dominasi	anger	0.500
disrupting	ngganggu	anger	0.500
hammering	hammering	anger	0.500
fear	wedi	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	sengsara	anger	0.500
brunt	brunt	anger	0.500
possessed	duweni	anger	0.500
defy	defy	anger	0.500
scoff	ngguyu	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpraktek	anger	0.500
reject	nolak	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	toughness	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	madness	anger	0.491
sinful	dosa	anger	0.491
avarice	avarice	anger	0.490
oppress	nindakake oppress	anger	0.490
disapproved	ora setuju	anger	0.485
inhuman	kejem	anger	0.485
demand	dikarepake	anger	0.485
abolish	mungkasi	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	keluhan	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	batal	anger	0.485
infraction	infraction	anger	0.485
claw	cakar	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	disobedient	anger	0.485
usurp	usurp	anger	0.485
alienate	alienate	anger	0.485
avenger	Pengawal	anger	0.485
annoyed	ngganggu	anger	0.485
cutting	nglereni	anger	0.485
disgrace	disgrace	anger	0.484
deceit	ngapusi	anger	0.484
suspicious	curiga	anger	0.484
thresh	thresh	anger	0.484
sucker	bajingan	anger	0.484
strained	strained	anger	0.484
blame	nyalahke	anger	0.484
upheaval	upheaval	anger	0.484
renounce	mratobat	anger	0.484
obnoxious	obnoxious	anger	0.484
restrain	ngalangi	anger	0.484
oust	ngilangi	anger	0.484
litigious	litigious	anger	0.484
rivalry	saingan	anger	0.484
penalty	paukuman	anger	0.484
imprisoned	ditahan	anger	0.484
mocking	mocking	anger	0.484
opposed	nentang	anger	0.484
turbulence	gangguan	anger	0.483
pound	pound	anger	0.481
coldness	coldness	anger	0.477
ungrateful	ungrateful	anger	0.472
battalion	battalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	sandera	anger	0.470
infidel	infidel	anger	0.470
ram	Ram	anger	0.470
accuser	accuser	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	ngganggu	anger	0.470
adversity	adversity	anger	0.470
dispossessed	dicokot	anger	0.470
friction	gesekan	anger	0.470
jealous	cemburu	anger	0.470
feudalism	feudalisme	anger	0.470
armament	armament	anger	0.470
thump	thump	anger	0.469
complain	sambat	anger	0.469
incite	incite	anger	0.469
steal	nyolong	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	disobey	anger	0.469
injury	cilaka	anger	0.469
simmer	simmer	anger	0.469
distress	kesusu	anger	0.469
insanity	nggegirisi	anger	0.469
selfish	egois	anger	0.469
huff	huff	anger	0.469
selfishness	selfishness	anger	0.469
backoff	Mundur	anger	0.469
plunder	ngrampas	anger	0.469
stifled	stifled	anger	0.469
subversive	subversive	anger	0.469
exile	pengasingan	anger	0.469
offense	pelanggaran	anger	0.469
objection	kabotan	anger	0.469
recidivism	recidivism	anger	0.469
smother	nyenyet	anger	0.469
perpetrator	pelaku	anger	0.469
dislike	ora kaya	anger	0.469
disruption	gangguan	anger	0.469
intolerance	intoleransi	anger	0.469
opposition	oposisi	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mug	anger	0.467
agony	sangsara	anger	0.465
arrogant	arrogant	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	ngeculake	anger	0.456
elimination	penghapusan	anger	0.456
picketing	picketing	anger	0.456
haughty	bangga	anger	0.456
troublesome	troublesome	anger	0.455
clamor	clamor	anger	0.455
busted	dirampas	anger	0.455
constraint	watesan	anger	0.455
crabby	crabby	anger	0.455
veto	veto	anger	0.455
stubbed	stubbed	anger	0.455
mislead	mislead	anger	0.455
illicit	ilegal	anger	0.455
