word	Serbian-sr	emotion	emotion-intensity-score
arseholes	арсехолес	anger	0.719
horseshit	срање	anger	0.719
aggravates	отежава	anger	0.719
spiteful	зезнути	anger	0.719
slay	убиј	anger	0.719
disdain	презир	anger	0.719
choke	загушити	anger	0.719
bastarding	копиле	anger	0.719
mangle	мангле	anger	0.714
anarchism	анархизам	anger	0.714
mutilation	мутилација	anger	0.714
criminal	криминал	anger	0.714
denunciation	денунциатион	anger	0.713
punch	ударац	anger	0.713
crucifixion	распеће	anger	0.712
virulence	вируленција	anger	0.712
battled	бори се	anger	0.712
fatal	фаталан	anger	0.712
holocaust	холокауст	anger	0.712
blasphemous	бласпхем	anger	0.712
hurting	боли	anger	0.712
dumbasses	думбассес	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	поремећени	anger	0.706
atrocious	грозно	anger	0.706
evil	зло	anger	0.706
irritated	изиритиран	anger	0.706
assassin	убица	anger	0.703
dicks	дицкс	anger	0.703
persecution	прогоне	anger	0.703
slayer	убица	anger	0.703
kidnap	киднаповање	anger	0.703
scolding	хватање	anger	0.703
intimidation	застрашивање	anger	0.703
aggravated	отежано	anger	0.703
aggression	агресија	anger	0.702
armed	наоружан	anger	0.700
poison	отров	anger	0.697
snarling	гурати	anger	0.697
venom	отров	anger	0.697
battle	битка	anger	0.697
disgruntled	незадовољан	anger	0.693
insidious	подмукао	anger	0.691
assailant	нападач	anger	0.691
resentment	озлојеђеност	anger	0.691
lynch	линцх	anger	0.690
contemptuous	презир	anger	0.690
temper	темпер	anger	0.688
imprisonment	затварање	anger	0.688
disparage	омаловажавање	anger	0.688
bully	булли	anger	0.688
terrible	страшно	anger	0.688
lunatic	лудак	anger	0.688
curse	проклетство	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	пеевед	anger	0.688
domination	доминација	anger	0.688
mad	луд	anger	0.688
infanticide	инфантициде	anger	0.688
volatility	волатилност	anger	0.687
eradication	искорењивање	anger	0.685
tantrum	наступ беса	anger	0.682
devastate	пусти	anger	0.682
eradicate	искоренити	anger	0.682
scoundrel	нељто	anger	0.682
aggressively	агресивно	anger	0.680
agitation	агитација	anger	0.680
dictatorship	диктатура	anger	0.676
irritates	иритира	anger	0.676
profanity	профанити	anger	0.673
egregious	егрегиоус	anger	0.672
expletive	објашњење	anger	0.672
nasty	гадно	anger	0.672
shove	шав	anger	0.672
shot	пуцањ	anger	0.672
harmful	штетно	anger	0.672
aggravation	погоршање	anger	0.672
contempt	презир	anger	0.672
poisonous	Отрован	anger	0.672
dastardly	дастардли	anger	0.672
shoot	Пуцај	anger	0.672
corrupting	корумпирајући	anger	0.672
condemnation	осуда	anger	0.672
wreak	повреда	anger	0.672
crushed	здробљен	anger	0.672
cruelly	окрутно	anger	0.672
crime	злочин	anger	0.672
maniac	манијак	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ерупција	anger	0.667
odious	одвратан	anger	0.667
shooting	пуцање	anger	0.667
kick	ударац	anger	0.667
aggressive	агресиван	anger	0.667
combat	борба	anger	0.667
shout	узвик	anger	0.667
hit	хит	anger	0.667
fight	борба	anger	0.667
cutthroat	разбојник	anger	0.667
enemy	непријатеља	anger	0.667
irritable	раздражљив	anger	0.667
punished	кажњено	anger	0.662
ambush	заседа	anger	0.661
yell	викати	anger	0.661
harass	узнемиравати	anger	0.659
malignant	малигни	anger	0.656
aggressor	агресор	anger	0.656
antichrist	антихрист	anger	0.656
gore	горе	anger	0.656
incense	тамјан	anger	0.656
expel	екпел	anger	0.656
destruction	уништење	anger	0.656
grudge	жудња	anger	0.656
cranky	Чудно	anger	0.653
offended	увређени	anger	0.652
spank	плек	anger	0.652
growl	грли	anger	0.652
insurrection	инсуррекција	anger	0.652
reprisal	одмазда	anger	0.652
slave	Роб	anger	0.652
denounce	Откажи	anger	0.652
animosity	анимозитет	anger	0.652
insulting	вређање	anger	0.652
clashing	сукоб	anger	0.652
growls	грли	anger	0.649
executioner	извршилац	anger	0.644
twat	тват	anger	0.644
doomsday	Доомсдаи	anger	0.643
daemon	даемон	anger	0.641
obscenity	опсценост	anger	0.641
bombard	бомбардовање	anger	0.641
spat	пљувати	anger	0.641
havoc	хавоц	anger	0.641
feud	завада	anger	0.641
grr	грр	anger	0.641
arson	подметање пожара	anger	0.641
reprimand	укор	anger	0.641
expulsion	протјеривање	anger	0.641
inexcusable	неопростиво	anger	0.641
accused	оптужени	anger	0.641
indignant	огорчен	anger	0.641
shackle	схацкле	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	рана	anger	0.636
suicidal	самоубилачки	anger	0.636
poisoned	отрован	anger	0.636
batter	тесто	anger	0.636
kicking	брзо	anger	0.636
hanging	вешање	anger	0.636
spanking	плекање	anger	0.636
disgusting	одвратан	anger	0.636
combatant	борац	anger	0.636
frustrated	фрустриран	anger	0.636
anarchy	анархија	anger	0.636
glaring	очаравајући	anger	0.636
inflict	нанети	anger	0.633
wrecked	разбијен	anger	0.633
grievous	хришћан	anger	0.632
prosecute	кривично гоњење	anger	0.630
agitated	узнемирен	anger	0.630
cheat	варај	anger	0.630
swastika	свастика	anger	0.627
defamatory	клеветнички	anger	0.625
suffocation	гушење	anger	0.625
strife	борбе	anger	0.625
provocation	провокација	anger	0.625
injure	повредити	anger	0.625
harassing	узнемиравање	anger	0.625
scourge	зла	anger	0.625
cursing	псовање	anger	0.625
betray	издај	anger	0.625
indict	оптужница	anger	0.625
raid	раид	anger	0.625
thundering	грмљавину	anger	0.625
enslaved	поробљен	anger	0.625
arsehole	арсехоле	anger	0.624
insane	лудак	anger	0.621
fiend	фиенд	anger	0.621
irritate	иритирати	anger	0.621
convict	осуђеник	anger	0.621
jerk	кретен	anger	0.621
theft	крађа	anger	0.621
retaliation	одмазда	anger	0.621
deprivation	депривација	anger	0.621
cussed	цуссед	anger	0.619
turmoil	немир	anger	0.618
smack	смак	anger	0.615
retribution	одмазда	anger	0.614
twats	тватс	anger	0.609
intolerable	недопустиво	anger	0.609
rebellion	побуна	anger	0.609
injurious	штета	anger	0.609
oppressor	угњетач	anger	0.609
slavery	ропство	anger	0.609
irritability	раздражљивост	anger	0.609
collision	судар	anger	0.609
bitterly	горко	anger	0.609
gang	банда	anger	0.609
antagonism	антагонизам	anger	0.609
battery	батерија	anger	0.609
adverse	штетан	anger	0.609
disgraced	осрамоћени	anger	0.608
irritating	иритантно	anger	0.606
revolution	револуција	anger	0.606
thug	тхуг	anger	0.606
diatribe	диатрибе	anger	0.606
bombardment	бомбардовање	anger	0.606
blast	експлозија	anger	0.606
irks	иркс	anger	0.606
sickening	болестан	anger	0.606
discrimination	дискриминација	anger	0.606
antagonistic	антагонистички	anger	0.606
ranting	рањавање	anger	0.606
asshole	сероња	anger	0.606
frustrate	фрустрирају	anger	0.604
manipulation	манипулација	anger	0.603
tension	напетост	anger	0.603
insult	увреда	anger	0.603
bigot	фанатик	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	хуртфул	anger	0.603
oppression	угњетавање	anger	0.603
disgust	одуговлачење	anger	0.602
spite	иначе	anger	0.600
intrusive	наметљив	anger	0.598
harshness	крутост	anger	0.597
slur	слур	anger	0.596
wretch	несретни	anger	0.594
inferno	инферно	anger	0.594
invasion	инвазија	anger	0.594
puncture	пункција	anger	0.594
miserable	бедан	anger	0.594
assail	ассаил	anger	0.594
storming	олује	anger	0.594
casualty	жртва	anger	0.594
bitterness	горчина	anger	0.594
morbidity	морбидитет	anger	0.594
tempest	темпест	anger	0.594
consternation	збуњеност	anger	0.592
depraved	одвратан	anger	0.591
raving	бијело	anger	0.591
guillotine	гиљотина	anger	0.591
guilty	крив	anger	0.591
immoral	неморално	anger	0.591
forcibly	присилно	anger	0.591
overpowering	надмоћан	anger	0.591
accursed	проклет	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	непослушни	anger	0.588
invader	инвадер	anger	0.588
scare	престрашити	anger	0.588
screwed	зезнути	anger	0.588
indignation	индигнатион	anger	0.587
jealousy	љубомора	anger	0.587
vexed	збуњен	anger	0.586
confront	суочити	anger	0.582
brute	бруте	anger	0.581
throttle	Гуша	anger	0.579
wreck	олупина	anger	0.578
revolver	револвер	anger	0.578
slut	курва	anger	0.578
yousuck	лош си	anger	0.578
damage	штета	anger	0.578
butcher	месар	anger	0.578
conflict	конфликт	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	криминалитет	anger	0.578
bickering	пецкање	anger	0.578
pillage	пљачка	anger	0.578
blaze	пламен	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	дрзавни удар	anger	0.578
contentious	спорно	anger	0.578
incarceration	затварање	anger	0.578
defiant	пркосно	anger	0.578
provoking	провоцирају	anger	0.578
lash	ласх	anger	0.578
cancer	рак	anger	0.577
frustration	фрустрација	anger	0.576
gory	Крава	anger	0.576
alienation	отуђење	anger	0.576
discord	дискорд	anger	0.576
disturbance	поремећај	anger	0.576
grope	гропе	anger	0.576
condescension	сажаљење	anger	0.576
pernicious	пернициоус	anger	0.576
blasphemy	бласфемија	anger	0.576
discriminate	дискриминишу	anger	0.576
chaotic	хаотичан	anger	0.576
gun	пиштољ	anger	0.576
standoff	стандофф	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	снеер	anger	0.574
lunacy	Лунаци	anger	0.574
oppressive	репресивна	anger	0.574
death	смрт	anger	0.574
jab	јаб	anger	0.574
cursed	проклет	anger	0.574
scandalous	скандалозно	anger	0.574
monstrosity	монстросити	anger	0.574
shit	срање	anger	0.573
disparaging	потцењивачки	anger	0.571
slash	коса црта	anger	0.571
unfair	неправедно	anger	0.571
gallows	виски	anger	0.570
escalate	ескалирају	anger	0.569
intolerant	нетолерантно	anger	0.564
lawlessness	безакоње	anger	0.563
bluddy	блудди	anger	0.562
perdition	пропаст	anger	0.562
taunt	узнемири	anger	0.562
grouchy	гроуцхи	anger	0.562
torpedo	торпедо	anger	0.562
deceived	преварени	anger	0.562
slander	клеветање	anger	0.562
retards	ретарда	anger	0.562
bearish	медвјед	anger	0.562
invade	нападнути	anger	0.562
bellows	мехови	anger	0.562
beast	звер	anger	0.562
frightful	страшно	anger	0.562
derogatory	дерогатори	anger	0.562
glare	блек	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	грозно	anger	0.562
traitor	издајник	anger	0.562
malign	малигни	anger	0.562
wrangling	нервоза	anger	0.562
dissension	диссенсион	anger	0.561
banshee	Бансхее	anger	0.561
shatter	разбити	anger	0.561
conflagration	пожар	anger	0.561
jeopardize	угрозити	anger	0.561
thief	лопов	anger	0.561
rave	раве	anger	0.561
grating	решетка	anger	0.561
devastating	разарајуће	anger	0.561
idiots	идиоти	anger	0.561
betrayal	издаја	anger	0.561
uncontrollable	неконтролисано	anger	0.561
fits	одговара	anger	0.561
cross	крст	anger	0.561
hurt	боли	anger	0.561
disturbed	узнемирен	anger	0.559
subjugation	субјегација	anger	0.559
stomped	стомпед	anger	0.557
grab	граб	anger	0.557
ticked	тицкед	anger	0.556
masochism	масокизам	anger	0.556
grievance	Жалба	anger	0.556
defiance	пркос	anger	0.552
blackmail	уцена	anger	0.550
offensive	офанзивно	anger	0.549
decry	декри	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	кршење	anger	0.547
punishment	казна	anger	0.547
shrill	пузав	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	Тамна страна	anger	0.547
misery	беда	anger	0.547
frustrates	фрустратес	anger	0.547
disgraceful	срамота	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	надмоћ	anger	0.547
disparity	диспаритет	anger	0.547
confine	ограничити	anger	0.547
firearms	ватрено оружје	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	апсурдно	anger	0.547
rebel	Побуњеник	anger	0.547
deceive	обмањују	anger	0.547
stolen	украден	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Чудак	anger	0.545
heated	загрејан	anger	0.545
ruined	уништен	anger	0.545
menace	претња	anger	0.545
humiliate	понижавајуће	anger	0.545
tackle	тацкле	anger	0.545
conspirator	завереник	anger	0.545
foul	фоул	anger	0.545
antagonist	антагонист	anger	0.545
resentful	жалосно	anger	0.545
prejudice	предрасуде	anger	0.545
adversary	противник	anger	0.545
argument	расправа	anger	0.545
skirmish	спреме	anger	0.545
callous	непопустљив	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	заплетена	anger	0.544
robbery	пљачка	anger	0.544
sting	стинг	anger	0.544
outcry	непријатељ	anger	0.544
grumble	зановетати	anger	0.544
irreconcilable	непоправљиво	anger	0.543
resistance	отпорност	anger	0.543
obstructive	опструктивно	anger	0.542
dismay	ужас	anger	0.540
mob	моб	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	лоше	anger	0.536
ridicule	посмех	anger	0.534
incendiary	инцендиари	anger	0.533
flares	ракете	anger	0.532
degeneracy	дегенерација	anger	0.531
confinement	затварање	anger	0.531
exacerbation	погоршање	anger	0.531
prejudicial	штетно	anger	0.531
uprising	устанак	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	несмотрено	anger	0.531
unbridled	неограничено	anger	0.531
allegation	оптужбе	anger	0.531
communism	комунизам	anger	0.531
whip	Бич	anger	0.531
intruder	уљез	anger	0.531
dispute	спор	anger	0.531
belittle	омаловажава	anger	0.531
bigoted	побуњеник	anger	0.530
offender	преступник	anger	0.530
hassle	хватање	anger	0.530
dissonance	диссонанце	anger	0.530
unjust	неправедно	anger	0.530
dictatorial	диктаторски	anger	0.530
unjustifiable	неоправдано	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	перверзије	anger	0.530
tackled	ријешено	anger	0.530
renegade	отпадник	anger	0.529
hot	вруће	anger	0.529
prison	затвор	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	Прекршај	anger	0.529
suicide	самоубиство	anger	0.521
annoy	аннои	anger	0.520
leavemealone	остави ме на миру	anger	0.517
idiotic	идиоти	anger	0.516
distrust	неповерење	anger	0.516
depravity	омаловажавање	anger	0.516
cretins	кретени	anger	0.516
divorce	развод	anger	0.516
broil	писмо	anger	0.516
grrr	гррр	anger	0.516
venting	вентинг	anger	0.516
inimical	непријатељски	anger	0.516
duress	принуда	anger	0.516
disrespectful	непоштив	anger	0.516
tortious	тортуно	anger	0.516
criticize	критиковати	anger	0.516
prisoner	затвореник	anger	0.516
dishonest	непоштено	anger	0.516
treason	издаја	anger	0.516
victimized	жртва	anger	0.515
bile	жуч	anger	0.515
unkind	неукуј	anger	0.515
unforgiving	непропорционалан	anger	0.515
unleash	ослободите се	anger	0.515
coercion	принуда	anger	0.515
scold	наручи	anger	0.515
chaos	хаос	anger	0.515
grump	грумп	anger	0.515
roar	Рар	anger	0.515
jerks	кретен	anger	0.515
poaching	ловљење	anger	0.515
hangry	хангри	anger	0.515
pow	пов	anger	0.515
poachers	ловци	anger	0.515
argumentation	аргументација	anger	0.515
frustrating	фрустрирајуће	anger	0.515
tussle	тркање	anger	0.514
bane	бане	anger	0.511
accusation	оптужба	anger	0.510
repudiation	одбијања	anger	0.510
enmity	непријатељство	anger	0.510
banish	протерати	anger	0.509
disfigured	изобличено	anger	0.508
storm	олуја	anger	0.507
shun	схун	anger	0.500
suppression	супресија	anger	0.500
unruly	непоправљиво	anger	0.500
intractable	неподношљив	anger	0.500
ordeal	тешко	anger	0.500
obstruct	опструирати	anger	0.500
derogation	одступање	anger	0.500
fervor	жудња	anger	0.500
foaming	пене	anger	0.500
derision	Узнемиравање	anger	0.500
animus	анимус	anger	0.500
rejects	одбацује	anger	0.500
bout	боут	anger	0.500
spear	копље	anger	0.500
crazy	луд	anger	0.500
brazen	бравен	anger	0.500
antithesis	антитеза	anger	0.500
injustice	неправда	anger	0.500
banished	протеран	anger	0.500
confined	ограничен	anger	0.500
frenzied	зезнути	anger	0.500
dominate	доминирати	anger	0.500
disrupting	поремећај	anger	0.500
hammering	ударање	anger	0.500
fear	бојати се	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	мучнина	anger	0.500
brunt	брут	anger	0.500
possessed	поседовали	anger	0.500
defy	пркосити	anger	0.500
scoff	љутите	anger	0.500
patronising	покровитељство	anger	0.500
delusional	делусионал	anger	0.500
malpractice	злоупотреба	anger	0.500
reject	одбити	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	жилавост	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	лудило	anger	0.491
sinful	грешно	anger	0.491
avarice	аварице	anger	0.490
oppress	потлачити	anger	0.490
disapproved	неодобрено	anger	0.485
inhuman	нечовјечно	anger	0.485
demand	потражња	anger	0.485
abolish	укинути	anger	0.485
anathema	анатема	anger	0.485
fricking	фрицкинг	anger	0.485
complaint	жалба	anger	0.485
disservice	лоше услуге	anger	0.485
smuggler	шверцер	anger	0.485
revoke	опозвати	anger	0.485
infraction	инфрацтион	anger	0.485
claw	канџа	anger	0.485
dissident	дисидент	anger	0.485
pervert	перверт	anger	0.485
incest	инцест	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	непослушни	anger	0.485
usurp	усурп	anger	0.485
alienate	отуђити	anger	0.485
avenger	Авенгер	anger	0.485
annoyed	изнервиран	anger	0.485
cutting	сечење	anger	0.485
disgrace	срамота	anger	0.484
deceit	превара	anger	0.484
suspicious	сумњив	anger	0.484
thresh	тхресх	anger	0.484
sucker	суцкер	anger	0.484
strained	напета	anger	0.484
blame	кривицу	anger	0.484
upheaval	преокрет	anger	0.484
renounce	одрећи се	anger	0.484
obnoxious	безобразно	anger	0.484
restrain	задржати	anger	0.484
oust	срушити	anger	0.484
litigious	парнични	anger	0.484
rivalry	ривалство	anger	0.484
penalty	казна	anger	0.484
imprisoned	затворен	anger	0.484
mocking	моцкинг	anger	0.484
opposed	против	anger	0.484
turbulence	турбуленција	anger	0.483
pound	фунта	anger	0.481
coldness	хладност	anger	0.477
ungrateful	незахвално	anger	0.472
battalion	батаљон	anger	0.471
stoopid	стоопид	anger	0.471
hostage	талац	anger	0.470
infidel	инфидел	anger	0.470
ram	РАМ	anger	0.470
accuser	оптужилац	anger	0.470
gall	галл	anger	0.470
subversion	субверзија	anger	0.470
annoying	досадно	anger	0.470
adversity	недаће	anger	0.470
dispossessed	одузето	anger	0.470
friction	трење	anger	0.470
jealous	љубоморан	anger	0.470
feudalism	феудализам	anger	0.470
armament	наоружање	anger	0.470
thump	ударац	anger	0.469
complain	жалите се	anger	0.469
incite	подстицати	anger	0.469
steal	укради	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	непослушни	anger	0.469
injury	повреда	anger	0.469
simmer	крчкати	anger	0.469
distress	стрес	anger	0.469
insanity	лудило	anger	0.469
selfish	себично	anger	0.469
huff	Хуфф	anger	0.469
selfishness	себичност	anger	0.469
backoff	одбиј	anger	0.469
plunder	пљачка	anger	0.469
stifled	угушене	anger	0.469
subversive	субверзивно	anger	0.469
exile	изгнанство	anger	0.469
offense	прекршај	anger	0.469
objection	приговор	anger	0.469
recidivism	рецидивизам	anger	0.469
smother	смотати	anger	0.469
perpetrator	извршилац	anger	0.469
dislike	Не волим	anger	0.469
disruption	прекид	anger	0.469
intolerance	нетолеранција	anger	0.469
opposition	опозиција	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	шоља	anger	0.467
agony	агонија	anger	0.465
arrogant	арогантан	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	одушка	anger	0.456
elimination	елиминација	anger	0.456
picketing	пикетање	anger	0.456
haughty	надмашан	anger	0.456
troublesome	мучан	anger	0.455
clamor	шамар	anger	0.455
busted	ухапшен	anger	0.455
constraint	ограничење	anger	0.455
crabby	црабби	anger	0.455
veto	вето	anger	0.455
stubbed	стуббед	anger	0.455
mislead	погрешно	anger	0.455
illicit	незаконито	anger	0.455
