word	Tajik-tg	emotion	emotion-intensity-score
madder	Маздак	anger	0.773
horrific	ваҳшӣ	anger	0.773
scorn	нопадид шудааст	anger	0.769
deplorable	шаффоф	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархист	anger	0.765
devastation	зилзила	anger	0.765
resent	хашмгин	anger	0.765
firestorm	сӯхтор	anger	0.765
contemptible	ихтиёрӣ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	бераҳмона	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	марговар	anger	0.758
smash	зӯроварӣ	anger	0.758
rant	rant	anger	0.758
outburst	барзагов	anger	0.757
snarl	сӯзанак	anger	0.754
profane	бадбахт	anger	0.750
offend	хафагӣ	anger	0.750
douchebags	Дӯкҳо	anger	0.750
growling	ширин	anger	0.750
stfu	stfu	anger	0.750
vulgarity	норозигӣ	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	задааст	anger	0.750
despise	хафа нашавед	anger	0.750
horror	дуд	anger	0.750
aggravating	бадтар	anger	0.750
revolting	исрофкорӣ	anger	0.750
fuckedoff	Садо Ояндасоз	anger	0.742
threat	таҳдид	anger	0.742
erupt	барнагарданд	anger	0.742
screaming	садо дод	anger	0.742
violence	зӯроварӣ	anger	0.742
horrible	шадид	anger	0.742
molestation	бадбинӣ	anger	0.742
bastards	пазироӣ	anger	0.741
revenge	дубора	anger	0.738
catastrophe	фалокат	anger	0.735
menacing	манъ аст	anger	0.735
demon	дев	anger	0.735
crushing	садама	anger	0.735
damn	Шайтон	anger	0.735
persecute	таъқибот	anger	0.734
argue	баҳс мекунанд	anger	0.734
flog	гулӯгиранд	anger	0.734
revolt	исён	anger	0.734
thrash	гандум	anger	0.734
deplore	барнагарданд	anger	0.734
warfare	ҷанг	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	шиддатнокӣ	anger	0.734
riotous	зӯроварӣ	anger	0.734
altercation	аллергӣ	anger	0.729
warlike	ҷанг кардан	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	изтироб	anger	0.727
castrate	кастинг	anger	0.727
sabotage	таҳқир	anger	0.727
malevolent	бадкор	anger	0.721
strike	задааст	anger	0.721
disaster	фалокат	anger	0.721
disastrous	фоҷиа	anger	0.720
tumult	Муборак	anger	0.719
madden	madden	anger	0.719
devil	шайтон	anger	0.719
scream	гиря мекунанд	anger	0.719
brutal	бригадир	anger	0.719
treachery	хиёнаткорона	anger	0.719
scorching	пошхӯрӣ	anger	0.719
vermin	резин	anger	0.719
arseholes	арсеналҳо	anger	0.719
horseshit	атрофи	anger	0.719
aggravates	бадтар	anger	0.719
spiteful	шадид	anger	0.719
slay	кушта шудааст	anger	0.719
disdain	ноком	anger	0.719
choke	нафасгир шудан	anger	0.719
bastarding	қаллобӣ	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	анархия	anger	0.714
mutilation	ҷарима	anger	0.714
criminal	ҷинояткорӣ	anger	0.714
denunciation	дубора	anger	0.713
punch	хӯша	anger	0.713
crucifixion	чапакзанӣ	anger	0.712
virulence	вирусӣ	anger	0.712
battled	мубориза мебурданд	anger	0.712
fatal	марговар	anger	0.712
holocaust	Ҳолокост	anger	0.712
blasphemous	куфр аст	anger	0.712
hurting	зараровар	anger	0.712
dumbasses	кобед	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	данд	anger	0.706
atrocious	золимона	anger	0.706
evil	бад	anger	0.706
irritated	хашмгин	anger	0.706
assassin	куштор	anger	0.703
dicks	диккопҳо	anger	0.703
persecution	таъқибот	anger	0.703
slayer	зӯроварӣ	anger	0.703
kidnap	зӯроварӣ	anger	0.703
scolding	данд	anger	0.703
intimidation	тарсондан	anger	0.703
aggravated	бадтар	anger	0.703
aggression	таҷовуз	anger	0.702
armed	силоҳ	anger	0.700
poison	заҳри	anger	0.697
snarling	сӯзанак	anger	0.697
venom	venom	anger	0.697
battle	ҷанг	anger	0.697
disgruntled	нопадид шудааст	anger	0.693
insidious	беэҳтиётӣ	anger	0.691
assailant	кушташудагон	anger	0.691
resentment	хашмгин	anger	0.691
lynch	линч	anger	0.690
contemptuous	бепарвоӣ	anger	0.690
temper	хоб	anger	0.688
imprisonment	зиндон	anger	0.688
disparage	нопурра	anger	0.688
bully	пурқувват	anger	0.688
terrible	шадид	anger	0.688
lunatic	лонача	anger	0.688
curse	лоғар	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	ба даст оварданд	anger	0.688
domination	domination	anger	0.688
mad	девона	anger	0.688
infanticide	infanticide	anger	0.688
volatility	ногаҳонӣ	anger	0.687
eradication	бартараф кардан	anger	0.685
tantrum	хандовар	anger	0.682
devastate	вайрон	anger	0.682
eradicate	бартараф кардан	anger	0.682
scoundrel	садақа	anger	0.682
aggressively	аз ҳад зиёд	anger	0.680
agitation	ташвишовар	anger	0.680
dictatorship	диктатор	anger	0.676
irritates	азият мекашанд	anger	0.676
profanity	шубҳанок	anger	0.673
egregious	мантиқан	anger	0.672
expletive	тафтиш кунед	anger	0.672
nasty	бад	anger	0.672
shove	канд	anger	0.672
shot	Муборак!	anger	0.672
harmful	зараровар	anger	0.672
aggravation	бадтар	anger	0.672
contempt	ихтиёрӣ	anger	0.672
poisonous	заҳролуд	anger	0.672
dastardly	достардли	anger	0.672
shoot	тиреза	anger	0.672
corrupting	коррупсия	anger	0.672
condemnation	маҳкумшуда	anger	0.672
wreak	садақа	anger	0.672
crushed	задааст	anger	0.672
cruelly	золимона	anger	0.672
crime	ҷинояткорӣ	anger	0.672
maniac	манас	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	кушодан	anger	0.667
odious	афсона	anger	0.667
shooting	тирандозӣ	anger	0.667
kick	буридан	anger	0.667
aggressive	хашмгин	anger	0.667
combat	мубориза мебаранд	anger	0.667
shout	хандиданд	anger	0.667
hit	Садо Ояндасоз	anger	0.667
fight	мубориза баред	anger	0.667
cutthroat	буридан	anger	0.667
enemy	душман	anger	0.667
irritable	хашмгин	anger	0.667
punished	ҷазо дода мешаванд	anger	0.662
ambush	гуруснагӣ	anger	0.661
yell	хандидед	anger	0.661
harass	харобиовар	anger	0.659
malignant	бадбахт	anger	0.656
aggressor	шиканҷа	anger	0.656
antichrist	зиддият	anger	0.656
gore	Горбачёв	anger	0.656
incense	фимиам	anger	0.656
expel	хориҷ кардан	anger	0.656
destruction	нобуд кардан	anger	0.656
grudge	хашмгин	anger	0.656
cranky	бритониёӣ	anger	0.653
offended	хафа шуд	anger	0.652
spank	задааст	anger	0.652
growl	дандон	anger	0.652
insurrection	қасдгирӣ	anger	0.652
reprisal	фахр кардан	anger	0.652
slave	ғулом	anger	0.652
denounce	рад	anger	0.652
animosity	шубҳанок	anger	0.652
insulting	таҳқиромез	anger	0.652
clashing	муноқиша	anger	0.652
growls	сабзавот	anger	0.649
executioner	иҷрокунанда	anger	0.644
twat	twat	anger	0.644
doomsday	Садо Ояндасоз	anger	0.643
daemon	дубора	anger	0.641
obscenity	пинҳонӣ	anger	0.641
bombard	бомбаборон	anger	0.641
spat	spat	anger	0.641
havoc	зӯроварӣ	anger	0.641
feud	дубора	anger	0.641
grr	ш	anger	0.641
arson	сӯхтор	anger	0.641
reprimand	танқидӣ мекунанд	anger	0.641
expulsion	хориҷ кардан	anger	0.641
inexcusable	беэътиноӣ	anger	0.641
accused	айбдор карда шудааст	anger	0.641
indignant	хашмгин	anger	0.641
shackle	Шакл	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	захмдор	anger	0.636
suicidal	худкушӣ	anger	0.636
poisoned	заҳролуд	anger	0.636
batter	бром	anger	0.636
kicking	сӯзон	anger	0.636
hanging	овезон	anger	0.636
spanking	Баҳриддин Камолиддинов	anger	0.636
disgusting	бадбахт	anger	0.636
combatant	ҷангал	anger	0.636
frustrated	хашмгин шуд	anger	0.636
anarchy	anarchy	anger	0.636
glaring	шукрона	anger	0.636
inflict	хоб кунед	anger	0.633
wrecked	харобшуда	anger	0.633
grievous	золимона	anger	0.632
prosecute	судшаванда	anger	0.630
agitated	шадид	anger	0.630
cheat	фиреб	anger	0.630
swastika	швейтсарӣ	anger	0.627
defamatory	ифротгароӣ	anger	0.625
suffocation	бесадо	anger	0.625
strife	муборак	anger	0.625
provocation	шӯришгарон	anger	0.625
injure	зарари	anger	0.625
harassing	таҳрик	anger	0.625
scourge	тазриқи	anger	0.625
cursing	лоғар кардан	anger	0.625
betray	хиёнат кунед	anger	0.625
indict	ҳабс кардан	anger	0.625
raid	рондан	anger	0.625
thundering	шитобон	anger	0.625
enslaved	ғуломӣ буд	anger	0.625
arsehole	арсенал	anger	0.624
insane	дўст	anger	0.621
fiend	вироиш	anger	0.621
irritate	азият мекашед	anger	0.621
convict	маҳкум мекунад	anger	0.621
jerk	данд	anger	0.621
theft	дуздӣ	anger	0.621
retaliation	ҷазо дода мешавад	anger	0.621
deprivation	маҳрум кардан аз озодӣ	anger	0.621
cussed	хандид	anger	0.619
turmoil	хушунат	anger	0.618
smack	smack	anger	0.615
retribution	ҷазо дода мешавад	anger	0.614
twats	twats	anger	0.609
intolerable	бетафовут нестанд	anger	0.609
rebellion	исён	anger	0.609
injurious	зарба мезанад	anger	0.609
oppressor	таҳқиромез	anger	0.609
slavery	ғуломӣ	anger	0.609
irritability	хашмгин	anger	0.609
collision	шитоб	anger	0.609
bitterly	азият мекашад	anger	0.609
gang	гурӯҳ	anger	0.609
antagonism	зиддият	anger	0.609
battery	батарея	anger	0.609
adverse	номусоид	anger	0.609
disgraced	нопадид шудааст	anger	0.608
irritating	азият мекашанд	anger	0.606
revolution	инқилоб	anger	0.606
thug	ҳак	anger	0.606
diatribe	диатриб	anger	0.606
bombardment	бомбаборон	anger	0.606
blast	тарк	anger	0.606
irks	ангуштҳо	anger	0.606
sickening	бемор шудан	anger	0.606
discrimination	табъиз	anger	0.606
antagonistic	зиддият	anger	0.606
ranting	Ростинг	anger	0.606
asshole	Аҳмақ	anger	0.606
frustrate	ғамгин	anger	0.604
manipulation	манъ кардан	anger	0.603
tension	шиддат	anger	0.603
insult	таҳқир	anger	0.603
bigot	Бештар	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	зараровар	anger	0.603
oppression	таҳқир	anger	0.603
disgust	ночор	anger	0.602
spite	тез	anger	0.600
intrusive	бепарвоӣ	anger	0.598
harshness	шадид	anger	0.597
slur	суст	anger	0.596
wretch	фахр кардан	anger	0.594
inferno	бадбахт	anger	0.594
invasion	иштибоҳ	anger	0.594
puncture	пӯст	anger	0.594
miserable	бадбахт	anger	0.594
assail	қаллобӣ	anger	0.594
storming	шитобон	anger	0.594
casualty	қурбонӣ	anger	0.594
bitterness	дилсӯз	anger	0.594
morbidity	бемориҳо	anger	0.594
tempest	шамол	anger	0.594
consternation	шиддатнокӣ	anger	0.592
depraved	суст шудааст	anger	0.591
raving	хандид	anger	0.591
guillotine	гилотин	anger	0.591
guilty	гунаҳкор аст	anger	0.591
immoral	ахлоқӣ	anger	0.591
forcibly	маҷбур аст	anger	0.591
overpowering	аз ҳад зиёд	anger	0.591
accursed	лутфан	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	бозгаштан	anger	0.588
invader	ишғолгар	anger	0.588
scare	тарсед	anger	0.588
screwed	данд	anger	0.588
indignation	хашмгин	anger	0.587
jealousy	ҳасад	anger	0.587
vexed	заҳролуд шудааст	anger	0.586
confront	пешгирӣ карда мешавад	anger	0.582
brute	хушк	anger	0.581
throttle	хишт	anger	0.579
wreck	зарб	anger	0.578
revolver	инқилоб	anger	0.578
slut	суст	anger	0.578
yousuck	ту мемакӣ	anger	0.578
damage	зарар	anger	0.578
butcher	Қассоб	anger	0.578
conflict	муноқиша	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ҷинояткорӣ	anger	0.578
bickering	бибаред	anger	0.578
pillage	зӯроварӣ	anger	0.578
blaze	сӯхтагӣ	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	шубҳа	anger	0.578
contentious	муноқиша	anger	0.578
incarceration	ҷабрдида	anger	0.578
defiant	ношинос	anger	0.578
provoking	шӯришгарон	anger	0.578
lash	лаб	anger	0.578
cancer	саратон	anger	0.577
frustration	ноумедӣ	anger	0.576
gory	гори	anger	0.576
alienation	бегона кардан	anger	0.576
discord	кашф кунед	anger	0.576
disturbance	вайрон шудан	anger	0.576
grope	дандон	anger	0.576
condescension	шиддатнокӣ	anger	0.576
pernicious	кифоя аст	anger	0.576
blasphemy	куфр аст	anger	0.576
discriminate	табъиз	anger	0.576
chaotic	хомӯш	anger	0.576
gun	силсила	anger	0.576
standoff	истодааст	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	снайпер	anger	0.574
lunacy	зебоӣ	anger	0.574
oppressive	золимона	anger	0.574
death	марг	anger	0.574
jab	данд	anger	0.574
cursed	лаънат	anger	0.574
scandalous	шашум	anger	0.574
monstrosity	монастирӣ	anger	0.574
shit	банд	anger	0.573
disparaging	ғайриқонунӣ	anger	0.571
slash	сатил	anger	0.571
unfair	нодуруст	anger	0.571
gallows	galleries	anger	0.570
escalate	афзоиш меёбад	anger	0.569
intolerant	бетафовутӣ	anger	0.564
lawlessness	ғайриқонунӣ	anger	0.563
bluddy	бӯй	anger	0.562
perdition	ба ҳалокат расиданд	anger	0.562
taunt	шӯҳрат	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	тормоз	anger	0.562
deceived	фиреб кард	anger	0.562
slander	дуздӣ	anger	0.562
retards	садақа мекунанд	anger	0.562
bearish	баргашт	anger	0.562
invade	ишғол кунед	anger	0.562
bellows	хобҳо	anger	0.562
beast	ҳайвони ваҳшӣ	anger	0.562
frightful	тарсонанд	anger	0.562
derogatory	бадбахтӣ	anger	0.562
glare	якранг	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	шадид	anger	0.562
traitor	хиёнаткор	anger	0.562
malign	бадбахтӣ	anger	0.562
wrangling	данд	anger	0.562
dissension	Дунёи иқтисод	anger	0.561
banshee	banshee	anger	0.561
shatter	хомӯш	anger	0.561
conflagration	данд	anger	0.561
jeopardize	хатарнок аст	anger	0.561
thief	дузд	anger	0.561
rave	rave	anger	0.561
grating	ширин	anger	0.561
devastating	вайрон шудааст	anger	0.561
idiots	данд	anger	0.561
betrayal	хиёнаткор	anger	0.561
uncontrollable	назоратнашаванда	anger	0.561
fits	данд	anger	0.561
cross	салиб	anger	0.561
hurt	зарар	anger	0.561
disturbed	хавотир	anger	0.559
subjugation	унвон	anger	0.559
stomped	пӯсида	anger	0.557
grab	данд	anger	0.557
ticked	интихоб карда шуд	anger	0.556
masochism	масоҳат	anger	0.556
grievance	шикоят	anger	0.556
defiance	эътироф	anger	0.552
blackmail	шаффофият	anger	0.550
offensive	зӯроварӣ	anger	0.549
decry	фаромӯш накунед	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	вайронкунӣ	anger	0.547
punishment	ҷазо	anger	0.547
shrill	чап	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	торикӣ	anger	0.547
misery	бадбахтӣ	anger	0.547
frustrates	хафа шуд	anger	0.547
disgraceful	золимона	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	азият мекашанд	anger	0.547
disparity	пароканда	anger	0.547
confine	маҳдуд кунед	anger	0.547
firearms	яроқ	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	барпо гардид	anger	0.547
rebel	исён	anger	0.547
deceive	фиреб кардан	anger	0.547
stolen	дуздида шудааст	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	ғолибан	anger	0.545
heated	гарм	anger	0.545
ruined	вайрон шуд	anger	0.545
menace	манъ аст	anger	0.545
humiliate	humiliate	anger	0.545
tackle	ҳал карда мешавад	anger	0.545
conspirator	мушовир	anger	0.545
foul	фоҳиша	anger	0.545
antagonist	антенистор	anger	0.545
resentful	хашмгин	anger	0.545
prejudice	ношоям	anger	0.545
adversary	зиддият	anger	0.545
argument	баҳс	anger	0.545
skirmish	садама	anger	0.545
callous	хандидед	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	данд	anger	0.544
robbery	зӯроварӣ	anger	0.544
sting	данд	anger	0.544
outcry	хомӯш	anger	0.544
grumble	ба ғазаб омад	anger	0.544
irreconcilable	ғайриқонунӣ нестанд	anger	0.543
resistance	муқовимат	anger	0.543
obstructive	ношинос	anger	0.542
dismay	нопадид шудааст	anger	0.540
mob	шад	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	бадӣ	anger	0.536
ridicule	дашном додан	anger	0.534
incendiary	харобиовар	anger	0.533
flares	шиша	anger	0.532
degeneracy	обхезӣ	anger	0.531
confinement	ҳабс кардан	anger	0.531
exacerbation	зиёдтар мешавад	anger	0.531
prejudicial	зӯроварӣ	anger	0.531
uprising	саркашӣ кардан	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	бесабаб нест	anger	0.531
unbridled	ғайриқонунӣ	anger	0.531
allegation	даъво	anger	0.531
communism	коммунизм	anger	0.531
whip	қамчин	anger	0.531
intruder	ҳамлагар	anger	0.531
dispute	мубоҳиса	anger	0.531
belittle	бадбахт	anger	0.531
bigoted	Бештар	anger	0.530
offender	ҷинояткор	anger	0.530
hassle	мушкилот	anger	0.530
dissonance	партофташуда	anger	0.530
unjust	беэътиноӣ	anger	0.530
dictatorial	диктатор	anger	0.530
unjustifiable	ғайриқонунӣ	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	печид	anger	0.530
tackled	ҳал карда шудааст	anger	0.530
renegade	решакан	anger	0.529
hot	гарм	anger	0.529
prison	зиндон	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	гунаҳкор	anger	0.529
suicide	худкушӣ	anger	0.521
annoy	хафа нашавед	anger	0.520
leavemealone	маро ба ҳолам гузоред	anger	0.517
idiotic	зӯроварӣ	anger	0.516
distrust	боварӣ надоред	anger	0.516
depravity	беқурбшавӣ	anger	0.516
cretins	cretins	anger	0.516
divorce	талоқ	anger	0.516
broil	бром	anger	0.516
grrr	граф	anger	0.516
venting	вирус	anger	0.516
inimical	манъ аст	anger	0.516
duress	данд	anger	0.516
disrespectful	эҳтиромона	anger	0.516
tortious	шиканҷа	anger	0.516
criticize	танқид мекунанд	anger	0.516
prisoner	маҳбус	anger	0.516
dishonest	нодуруст	anger	0.516
treason	хиёнаткорона	anger	0.516
victimized	қурбонӣ карда шуд	anger	0.515
bile	ҳатто	anger	0.515
unkind	бадбахт	anger	0.515
unforgiving	истироҳат	anger	0.515
unleash	кушодан	anger	0.515
coercion	маҷбурӣ	anger	0.515
scold	дубора	anger	0.515
chaos	хоб	anger	0.515
grump	гандум	anger	0.515
roar	хлор	anger	0.515
jerks	Дунёи иқтисод	anger	0.515
poaching	пошхӯрӣ	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	сайёҳон	anger	0.515
argumentation	мубоҳиса	anger	0.515
frustrating	нопадид шудан	anger	0.515
tussle	шӯҳрат	anger	0.514
bane	банка	anger	0.511
accusation	айбдоршаванда	anger	0.510
repudiation	радкунӣ	anger	0.510
enmity	душманӣ	anger	0.510
banish	барҳам диҳед	anger	0.509
disfigured	нопадид шудааст	anger	0.508
storm	шӯриш	anger	0.507
shun	хомӯш	anger	0.500
suppression	манъ кардан	anger	0.500
unruly	беэътиноӣ мекунанд	anger	0.500
intractable	интегратсия	anger	0.500
ordeal	Сониян	anger	0.500
obstruct	монеъ шудан	anger	0.500
derogation	делатсия	anger	0.500
fervor	фуҷур	anger	0.500
foaming	шамолкашӣ	anger	0.500
derision	дубора	anger	0.500
animus	анимат	anger	0.500
rejects	рад	anger	0.500
bout	Бут	anger	0.500
spear	равған	anger	0.500
crazy	девона	anger	0.500
brazen	Бразен	anger	0.500
antithesis	зиддият	anger	0.500
injustice	беадолатӣ	anger	0.500
banished	озод карда мешаванд	anger	0.500
confined	маҳдуд	anger	0.500
frenzied	шадид	anger	0.500
dominate	ҳукмронӣ мекунад	anger	0.500
disrupting	вайрон шудан	anger	0.500
hammering	хандидед	anger	0.500
fear	тарс	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	хавотир	anger	0.500
brunt	гандум	anger	0.500
possessed	соҳиби	anger	0.500
defy	дандон	anger	0.500
scoff	Мубориза кунед	anger	0.500
patronising	мудирият	anger	0.500
delusional	гумроҳӣ	anger	0.500
malpractice	манфӣ	anger	0.500
reject	рад	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	қавӣ	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	девона	anger	0.491
sinful	гуноҳ аст	anger	0.491
avarice	харита	anger	0.490
oppress	золимона	anger	0.490
disapproved	рад карда шудааст	anger	0.485
inhuman	ғайриинсонӣ	anger	0.485
demand	талабот	anger	0.485
abolish	бекор карда шудааст	anger	0.485
anathema	антирема	anger	0.485
fricking	шикастан	anger	0.485
complaint	шикоят	anger	0.485
disservice	безараргардонӣ	anger	0.485
smuggler	қочоқчӣ	anger	0.485
revoke	бекор карда мешавад	anger	0.485
infraction	вайронкунӣ	anger	0.485
claw	данд	anger	0.485
dissident	мухолифат мекунанд	anger	0.485
pervert	пӯст	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	беитоатӣ	anger	0.485
usurp	Бештар	anger	0.485
alienate	бегона кардан	anger	0.485
avenger	Авангард	anger	0.485
annoyed	азият мекашад	anger	0.485
cutting	буридан	anger	0.485
