word	Malagasy-mg	emotion	emotion-intensity-score
poisonous	misy poizina	anger	0.672
dastardly	dastardly	anger	0.672
shoot	mitifitra	anger	0.672
corrupting	dratsy	anger	0.672
condemnation	fanamelohana	anger	0.672
wreak	nijinja	anger	0.672
crushed	nanorotoro	anger	0.672
cruelly	nanaovany	anger	0.672
crime	heloka bevava	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	fipoahana	anger	0.667
odious	nampangidy hoditra	anger	0.667
shooting	fitifirana	anger	0.667
kick	daka	anger	0.667
aggressive	masiaka	anger	0.667
combat	ady	anger	0.667
shout	Manaova feo fifaliana	anger	0.667
hit	voa	anger	0.667
fight	ady	anger	0.667
cutthroat	maty eritreritra	anger	0.667
enemy	fahavalo	anger	0.667
irritable	mora tezitra	anger	0.667
punished	voasazy	anger	0.662
ambush	otrika	anger	0.661
yell	mivazavaza	anger	0.661
harass	mampijaly	anger	0.659
malignant	mamohehatra	anger	0.656
aggressor	herisetra	anger	0.656
antichrist	antikristy	anger	0.656
gore	feno herisetra	anger	0.656
incense	ditin-kazo manitra	anger	0.656
expel	handroaka	anger	0.656
destruction	fandringanana	anger	0.656
grudge	lolompo	anger	0.656
cranky	cranky	anger	0.653
offended	nanafintohina	anger	0.652
spank	spank	anger	0.652
growl	Hierona	anger	0.652
insurrection	fikomiana	anger	0.652
reprisal	valifaty	anger	0.652
slave	mpanompo	anger	0.652
denounce	miampanga	anger	0.652
animosity	fankahalana	anger	0.652
insulting	fanompana	anger	0.652
clashing	nifanandrina	anger	0.652
growls	mierona	anger	0.649
executioner	mpiambina	anger	0.644
twat	twat	anger	0.644
doomsday	Olona ny Fara Andro	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenity	anger	0.641
bombard	be dia be	anger	0.641
spat	nandrora	anger	0.641
havoc	nandringana	anger	0.641
feud	mpifanditra	anger	0.641
grr	grr	anger	0.641
arson	fandoroana	anger	0.641
reprimand	fandevilevena	anger	0.641
expulsion	fandroahana	anger	0.641
inexcusable	afa-tsiny	anger	0.641
accused	voampanga	anger	0.641
indignant	tezitra	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ratra	anger	0.636
suicidal	hamono tena	anger	0.636
poisoned	voapoizina	anger	0.636
batter	Mamono	anger	0.636
kicking	mandaka	anger	0.636
hanging	mihantona	anger	0.636
spanking	spanking	anger	0.636
disgusting	maharikoriko	anger	0.636
combatant	mpiady	anger	0.636
frustrated	kivy	anger	0.636
anarchy	anarchy	anger	0.636
glaring	glaring	anger	0.636
inflict	ampitondraina	anger	0.633
wrecked	rendrika	anger	0.633
grievous	mafy	anger	0.632
prosecute	fitsarana	anger	0.630
agitated	mikorontana	anger	0.630
cheat	mamitaka	anger	0.630
swastika	swastika	anger	0.627
defamatory	manala baraka	anger	0.625
suffocation	fahasemporana	anger	0.625
strife	fifandirana	anger	0.625
provocation	fihantsiana	anger	0.625
injure	mandratra	anger	0.625
harassing	manorisory	anger	0.625
scourge	loza	anger	0.625
cursing	ozona	anger	0.625
betray	hamadika	anger	0.625
indict	miampanga	anger	0.625
raid	fanafihana	anger	0.625
thundering	kotroka	anger	0.625
enslaved	andevo	anger	0.625
arsehole	arsehole	anger	0.624
insane	very saina	anger	0.621
fiend	fiend	anger	0.621
irritate	hampahatezitra	anger	0.621
convict	voaheloka	anger	0.621
jerk	jerk	anger	0.621
theft	halatra	anger	0.621
retaliation	valifaty	anger	0.621
deprivation	tsy fananana	anger	0.621
cussed	cussed	anger	0.619
turmoil	korontana	anger	0.618
smack	smack	anger	0.615
retribution	famaizana	anger	0.614
twats	twats	anger	0.609
intolerable	tsy azo leferina	anger	0.609
rebellion	fikomiana	anger	0.609
injurious	dratsy	anger	0.609
oppressor	mpampahory	anger	0.609
slavery	fanandevozana	anger	0.609
irritability	mora tezitra	anger	0.609
collision	fifandonan'ny planeta	anger	0.609
bitterly	mafy	anger	0.609
gang	andian-jiolahy	anger	0.609
antagonism	fanoherana	anger	0.609
battery	bateria	anger	0.609
adverse	voka	anger	0.609
disgraced	afa-baraka	anger	0.608
irritating	mahasosotra	anger	0.606
revolution	revolisiona	anger	0.606
thug	jiolahimboto	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	daroka baomba	anger	0.606
blast	fipoahana	anger	0.606
irks	irks	anger	0.606
sickening	Mankaloiloy	anger	0.606
discrimination	fanavakavahana	anger	0.606
antagonistic	manohitra	anger	0.606
ranting	ranting	anger	0.606
asshole	Dondrom-belona	anger	0.606
frustrate	hahafoana	anger	0.604
manipulation	fanodinkodinana	anger	0.603
tension	olana	anger	0.603
insult	fanevatevana	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	-dratsy	anger	0.603
oppression	famoretana	anger	0.603
disgust	rikoriko	anger	0.602
spite	na dia teo aza	anger	0.600
intrusive	intrusive	anger	0.598
harshness	fatratra	anger	0.597
slur	slur	anger	0.596
wretch	vanona	anger	0.594
inferno	inferno	anger	0.594
invasion	fanafihana	anger	0.594
puncture	puncture	anger	0.594
miserable	fadiranovana	anger	0.594
assail	misambotra	anger	0.594
storming	famelezana	anger	0.594
casualty	niharam-boina	anger	0.594
bitterness	mangidy	anger	0.594
morbidity	morbidity	anger	0.594
tempest	tafio-drivotra	anger	0.594
consternation	consternation	anger	0.592
depraved	ratsy fitondran-tena	anger	0.591
raving	raving	anger	0.591
guillotine	Tapahina ireo taratasim	anger	0.591
guilty	meloka	anger	0.591
immoral	fitondran-tena maloto	anger	0.591
forcibly	an-keriny	anger	0.591
overpowering	eran 'ny aina	anger	0.591
accursed	voaozona	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	mpanafika	anger	0.588
scare	Fampitahoran'ny	anger	0.588
screwed	screwed	anger	0.588
indignation	fahatezerana	anger	0.587
jealousy	fahasaro-piaro	anger	0.587
vexed	sosotra	anger	0.586
confront	miatrika	anger	0.582
brute	tsy manan-tsaina	anger	0.581
throttle	throttle	anger	0.579
wreck	seranam-piaramanidina	anger	0.578
revolver	basy	anger	0.578
slut	slut	anger	0.578
yousuck	mahasosopaty ianao	anger	0.578
damage	fahavoazana	anger	0.578
butcher	mpivaro-kena	anger	0.578
conflict	fifandirana	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	heloka bevava	anger	0.578
bickering	Niteraka fifamaliana	anger	0.578
pillage	horobain'ireo	anger	0.578
blaze	nirehitra	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	fanonganam-panjakana	anger	0.578
contentious	tia ady	anger	0.578
incarceration	nigadra	anger	0.578
defiant	mpikomy	anger	0.578
provoking	mihantsy	anger	0.578
lash	karavasy	anger	0.578
cancer	cancer	anger	0.577
frustration	fahasosorana	anger	0.576
gory	Góry	anger	0.576
alienation	fahafoizako	anger	0.576
discord	fifandirana	anger	0.576
disturbance	korontana	anger	0.576
grope	Mitsapatsapa manara	anger	0.576
condescension	fiambanian	anger	0.576
pernicious	mikiky	anger	0.576
blasphemy	fitenenan-dratsy	anger	0.576
discriminate	manavakavaka	anger	0.576
chaotic	mikorontana	anger	0.576
gun	basy	anger	0.576
standoff	fifanandrinana miantana	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	nampahory	anger	0.574
death	fahafatesana	anger	0.574
jab	jab	anger	0.574
cursed	voaozona	anger	0.574
scandalous	mahamenatra	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	diky	anger	0.573
disparaging	manambany	anger	0.571
slash	tavy	anger	0.571
unfair	tsy ara-drariny	anger	0.571
gallows	hazo	anger	0.570
escalate	hivadika	anger	0.569
intolerant	fandeferana	anger	0.564
lawlessness	ny fandikan-dalàna	anger	0.563
bluddy	bluddy	anger	0.562
perdition	fahaverezana	anger	0.562
taunt	fanesoana	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	voafitaka	anger	0.562
slander	fanendrikendrehana	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	hanafika	anger	0.562
bellows	bellows	anger	0.562
beast	biby	anger	0.562
frightful	mahatahotra	anger	0.562
derogatory	fanambaniana	anger	0.562
glare	Mamirapiratra mankarary maso	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	mahatahotra	anger	0.562
traitor	mpamadika	anger	0.562
malign	hanaratsy	anger	0.562
wrangling	ny adilahy	anger	0.562
dissension	fifandirana	anger	0.561
banshee	banshee	anger	0.561
shatter	manorotoro	anger	0.561
conflagration	adin'ny	anger	0.561
jeopardize	hanimba	anger	0.561
thief	mpangalatra	anger	0.561
rave	fiderana faran'izay tsara	anger	0.561
grating	makarakara	anger	0.561
devastating	voka	anger	0.561
idiots	adala	anger	0.561
betrayal	famadihana	anger	0.561
uncontrollable	voafehy	anger	0.561
fits	mifanentana	anger	0.561
cross	hiampita	anger	0.561
hurt	naratra	anger	0.561
disturbed	Sahiran-tsaina	anger	0.559
subjugation	fahababoana	anger	0.559
stomped	stomped	anger	0.557
grab	haka	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	fahoriana Hianao	anger	0.556
defiance	fihantsiana	anger	0.552
blackmail	fandrahonana	anger	0.550
offensive	manafintohina	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	fanitsakitsahana	anger	0.547
punishment	sazy	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ila maizina	anger	0.547
misery	fahoriana	anger	0.547
frustrates	mahafoana	anger	0.547
disgraceful	-baraka	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	nanjakazaka	anger	0.547
disparity	fitoviana	anger	0.547
confine	velively	anger	0.547
firearms	basy	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	Safodrano	anger	0.547
rebel	mpikomy	anger	0.547
deceive	mamitaka	anger	0.547
stolen	nangalarina	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	mafana	anger	0.545
ruined	simba	anger	0.545
menace	hampidi-doza	anger	0.545
humiliate	baraka	anger	0.545
tackle	hiatrehana	anger	0.545
conspirator	conspirator	anger	0.545
foul	maloto	anger	0.545
antagonist	antagonist	anger	0.545
resentful	tezitra	anger	0.545
prejudice	fitsarana an-tendrony	anger	0.545
adversary	fahavalo	anger	0.545
argument	fandresen-dahatra	anger	0.545
skirmish	niady	anger	0.545
callous	mafy fo	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	Azon'ny tamberintany	anger	0.544
robbery	halatra	anger	0.544
sting	fanindronana	anger	0.544
outcry	fitarainana	anger	0.544
grumble	mimonomonona	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	fanoherana	anger	0.543
obstructive	obstructive	anger	0.542
dismay	fampitahorana	anger	0.540
mob	vahoaka	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ratsy	anger	0.536
ridicule	maneso	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	fitontongananan'ny	anger	0.531
confinement	monina	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	fitsarana an-tendron'ny	anger	0.531
uprising	fikomiana	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	Sahisahy ratsy	anger	0.531
unbridled	voafehy	anger	0.531
allegation	filazana	anger	0.531
communism	kominisma	anger	0.531
whip	karavasy	anger	0.531
intruder	intruder	anger	0.531
dispute	fifandirana	anger	0.531
belittle	tsinontsinona	anger	0.531
bigoted	tery saina	anger	0.530
offender	ratsy	anger	0.530
hassle	manahirana	anger	0.530
dissonance	dissonance	anger	0.530
unjust	tsy rariny	anger	0.530
dictatorial	tsy refesi-mandidy	anger	0.530
unjustifiable	unjustifiable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	fady	anger	0.530
tackled	resahana	anger	0.530
renegade	nikomy	anger	0.529
hot	mafana	anger	0.529
prison	am-ponja	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	fahadisoana	anger	0.529
suicide	famonoan-tena	anger	0.521
annoy	manorisory	anger	0.520
leavemealone	Avelao aho	anger	0.517
idiotic	idiotic	anger	0.516
distrust	fitokisana	anger	0.516
depravity	fitondran-tena maloto	anger	0.516
cretins	cretins	anger	0.516
divorce	fisaraham-panambadiana	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	kevitra ny hanampatra	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	fanajana	anger	0.516
tortious	tortious	anger	0.516
criticize	manakiana	anger	0.516
prisoner	gadra	anger	0.516
dishonest	marina	anger	0.516
treason	mpamadika	anger	0.516
victimized	iharan'ireo	anger	0.515
bile	bile	anger	0.515
unkind	ratsy fanahy	anger	0.515
unforgiving	mpanontolo fo	anger	0.515
unleash	sanatria	anger	0.515
coercion	faneriterena	anger	0.515
scold	nibedy	anger	0.515
chaos	korontana	anger	0.515
grump	grump	anger	0.515
roar	Mierona	anger	0.515
jerks	jerks	anger	0.515
poaching	fihazana	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	mpihaza an-tsokosoko	anger	0.515
argumentation	argumentation	anger	0.515
frustrating	hahakivy	anger	0.515
tussle	tussle	anger	0.514
bane	zava-doza	anger	0.511
accusation	fiampangana	anger	0.510
repudiation	fanipahana marindrano	anger	0.510
enmity	fandrafiana	anger	0.510
banish	hanaisotra	anger	0.509
disfigured	nanimban'ny	anger	0.508
storm	tafio-drivotra	anger	0.507
shun	Aza tia	anger	0.500
suppression	fanafoanana	anger	0.500
unruly	maditra	anger	0.500
intractable	tsy ahitam-bahaolana	anger	0.500
ordeal	nanjo	anger	0.500
obstruct	vato misakana	anger	0.500
derogation	fepetra	anger	0.500
fervor	noforonin'Andriamanitra	anger	0.500
foaming	mandroatra	anger	0.500
derision	fihomehezana	anger	0.500
animus	animus	anger	0.500
rejects	mandà	anger	0.500
bout	bout	anger	0.500
spear	lefona	anger	0.500
crazy	adala	anger	0.500
brazen	varahina	anger	0.500
antithesis	fanoherana-kevitra izany	anger	0.500
injustice	tsy rariny	anger	0.500
banished	voaroaka	anger	0.500
confined	afa-miala	anger	0.500
frenzied	mirediredy	anger	0.500
dominate	hanapaka	anger	0.500
disrupting	fanakorontanana	anger	0.500
hammering	tantanana	anger	0.500
fear	tahotra	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ny fahoriam	anger	0.500
brunt	iharan'izany	anger	0.500
possessed	nahazo	anger	0.500
defy	mihantsy	anger	0.500
scoff	haneso	anger	0.500
patronising	patronizing	anger	0.500
delusional	mirediredy	anger	0.500
malpractice	malpractice	anger	0.500
reject	mandà	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	diso mikasika ny Fahasarotana	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	fahaverezan-tsaina	anger	0.491
sinful	mpanota	anger	0.491
avarice	avarice	anger	0.490
oppress	mampahory	anger	0.490
disapproved	hankasitrahana	anger	0.485
inhuman	feno habibiana	anger	0.485
demand	fangatahana	anger	0.485
abolish	hanafoana	anger	0.485
anathema	voaozona	anger	0.485
fricking	fricking	anger	0.485
complaint	fitarainana	anger	0.485
disservice	hanimba	anger	0.485
smuggler	smuggler	anger	0.485
revoke	manafoana	anger	0.485
infraction	heloka	anger	0.485
claw	claw	anger	0.485
dissident	mpanohitra	anger	0.485
pervert	hamadika ny	anger	0.485
incest	firaisana amin'olom-pady	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	tsy nankatò	anger	0.485
usurp	misandoka	anger	0.485
alienate	hafindrany	anger	0.485
avenger	mpamaly	anger	0.485
annoyed	sosotra	anger	0.485
cutting	fanapahana	anger	0.485
disgrace	afa-baraka	anger	0.484
deceit	fitaka	anger	0.484
suspicious	mampiahiahy	anger	0.484
thresh	miveleza	anger	0.484
sucker	sucker	anger	0.484
strained	sarotra dia sarotra	anger	0.484
blame	tsiny	anger	0.484
upheaval	korontana	anger	0.484
renounce	miala	anger	0.484
obnoxious	isalasalana	anger	0.484
restrain	mifehy	anger	0.484
oust	oust	anger	0.484
litigious	litigious	anger	0.484
rivalry	fifampiandaniana	anger	0.484
penalty	sazy	anger	0.484
imprisoned	naiditra am-ponja	anger	0.484
mocking	fanesoana	anger	0.484
opposed	manohitra	anger	0.484
turbulence	misafotofoto	anger	0.483
pound	farantsanao	anger	0.481
